,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Maryland,3995,4047.6,4251.0,,4015.6,3832.0,4121.3,3879.0,3873.5,4195.4,,3952.9,4577.3,3885.0,,4038.4,52.6,256.0,,20.6,-163.0,126.3,-116.0,-121.5,200.4,,-42.1,582.3,-110.0,,43.4,False,,True,False,False,False,False,False,,True,False,False,,True
Massachusetts,9587,9490.1,9566.0,,8845.5,9220.0,9768.0,9607.0,9119.6,9070.8,,9300.4,9080.5,9432.0,,9460.1,-96.9,-21.0,,-741.5,-367.0,181.0,20.0,-467.4,-516.2,,-286.6,-506.5,-155.0,,-126.9,True,,False,False,False,True,False,False,,False,False,False,,False
Michigan,7219,7118.4,7221.0,,7038.7,7121.0,7407.4,7186.0,6894.6,6959.2,,6952.7,8756.9,7016.0,,7071.1,-100.6,2.0,,-180.3,-98.0,188.4,-33.0,-324.4,-259.8,,-266.3,1537.9,-203.0,,-147.9,True,,False,True,False,True,False,False,,False,False,False,,False
Minnesota,2184,2231.3,2195.0,,2179.7,1892.0,2535.0,2066.0,2027.6,2065.7,,2326.7,2746.0,2304.0,,2173.2,47.3,11.0,,-4.3,-292.0,351.0,-118.0,-156.4,-118.3,,142.7,562.0,120.0,,-10.8,True,,True,False,False,False,False,False,,False,False,False,,True
Mississippi,3096,3309.7,2901.0,,2291.9,2979.0,2972.4,3301.0,2950.3,2723.6,,3187.9,3279.3,2715.0,,2937.0,213.7,-195.0,,-804.1,-117.0,-123.6,205.0,-145.7,-372.4,,91.9,183.3,-381.0,,-159.0,True,,False,True,True,True,True,False,,True,True,False,,True
Missouri,2436,1933.0,1878.0,,2119.0,2167.0,1843.2,1801.0,1648.0,1714.8,,1833.3,2251.5,1808.0,,1859.7,-482.0,-537.0,,-296.0,-248.0,-571.8,-614.0,-767.0,-700.2,,-581.7,-163.5,-607.0,,-555.3,False,,True,True,False,False,False,False,,False,True,False,,False
Montana,209,144.9,126.0,,147.5,147.0,134.3,166.0,126.0,104.8,,136.3,154.9,113.0,,155.3,-64.1,-83.0,,-61.5,-62.0,-74.7,-43.0,-83.0,-104.2,,-72.7,-54.1,-96.0,,-53.7,False,,True,True,False,True,False,False,,False,True,False,,True
Nebraska,519,494.6,554.0,,520.3,413.0,520.1,481.0,411.0,418.5,,447.4,478.7,459.0,,479.3,-24.4,35.0,,1.3,-106.0,1.1,-38.0,-108.0,-100.5,,-71.6,-40.3,-60.0,,-39.7,False,,True,False,True,False,False,False,,False,False,False,,False
Nevada,1659,2054.1,1627.0,,1435.6,1713.0,2265.8,1927.0,1625.4,1270.1,,1938.2,1644.0,1734.0,,1756.1,395.1,-32.0,,-223.4,54.0,606.8,268.0,-33.6,-388.9,,279.2,-15.0,75.0,,97.1,True,,True,True,False,True,True,True,,True,True,True,,True
New Hampshire,455,470.1,466.0,,427.0,435.0,434.8,468.0,442.9,442.3,,471.1,480.9,443.0,,472.6,15.1,11.0,,-28.0,-20.0,-20.2,13.0,-12.1,-12.7,,16.1,25.9,-12.0,,17.6,True,,False,False,False,True,True,True,,False,False,True,,False
