,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7393,7347.1,7321.2,7352.9,7346.0,7352.0,7352.0,7338.0,7345.0,7299.7,7376.0,7395.7,7352.0,7324.6,7343.5,7364.0,7382.0,7341.7,7351.6,7322.9,7322.0,7358.1,7356.8,7347.2,7355.0,7340.6,,7376.0,7336.3,7206.0,,7428.4,7342.2,,7370.0,7133.8,7359.0,7353.7,,7329.8,7360.0,7376.4,7331.0,7339.5,7196.4,7354.8,7157.0,-45.9,-71.8,-40.1,-47.0,-41.0,-41.0,-55.0,-48.0,-93.3,-17.0,2.7,-41.0,-68.4,-49.5,-29.0,-11.0,-51.3,-41.4,-70.1,-71.0,-34.9,-36.2,-45.8,-38.0,-52.4,,-17.0,-56.7,-187.0,,35.4,-50.8,,-23.0,-259.2,-34.0,-39.3,,-63.2,-33.0,-16.6,-62.0,-53.5,-196.6,-38.2,-236.0,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,False,True,False,False,True,True,True,True,False,,True,False,False,,True,False,,True,False,True,True,,False,True,True,False,False,False,True,False
Hawaii,168,176.6,180.4,175.8,173.0,175.0,167.0,161.0,163.0,148.9,163.0,172.9,,177.8,167.2,,,163.5,153.0,219.8,177.3,169.1,168.8,167.0,166.0,160.4,,165.2,170.0,164.0,,,167.7,,164.0,158.6,175.0,160.8,,158.2,170.0,172.1,173.0,173.0,165.9,171.7,147.0,8.6,12.4,7.8,5.0,7.0,-1.0,-7.0,-5.0,-19.1,-5.0,4.9,,9.8,-0.8,,,-4.5,-15.0,51.8,9.3,1.1,0.8,-1.0,-2.0,-7.6,,-2.8,2.0,-4.0,,,-0.3,,-4.0,-9.4,7.0,-7.2,,-9.8,2.0,4.1,5.0,5.0,-2.1,3.7,-21.0,False,True,True,True,True,True,True,False,True,True,,False,True,,,True,False,False,False,True,True,True,True,True,,True,True,True,,,True,,True,False,True,True,,False,True,True,True,True,True,True,False
Idaho,507,500.9,505.8,500.7,501.0,500.0,502.0,512.0,508.0,488.7,505.0,499.4,501.4,504.6,505.3,505.0,507.0,504.4,522.0,519.9,515.7,506.1,498.4,505.0,524.0,496.9,,510.2,505.6,497.0,,,485.5,,502.0,441.0,517.0,500.3,,496.5,501.0,499.2,502.0,498.0,499.9,502.1,503.0,-6.1,-1.2,-6.3,-6.0,-7.0,-5.0,5.0,1.0,-18.3,-2.0,-7.6,-5.6,-2.4,-1.7,-2.0,0.0,-2.6,15.0,12.9,8.7,-0.9,-8.6,-2.0,17.0,-10.1,,3.2,-1.4,-10.0,,,-21.5,,-5.0,-66.0,10.0,-6.7,,-10.5,-6.0,-7.8,-5.0,-9.0,-7.1,-4.9,-4.0,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,True,False,False,,True,True,False,,,False,,True,False,False,False,,False,True,False,True,False,False,True,True
Illinois,9221,9207.1,9201.5,9209.8,9207.0,9214.0,9191.0,9207.0,9183.0,9089.8,9204.0,9178.9,9192.4,9197.0,9124.8,9214.0,9174.0,9192.2,9191.1,9246.8,9197.0,9194.3,9165.2,9221.0,9183.0,9166.7,9091.0,9148.2,9235.9,9171.0,,9161.2,9239.1,,9197.0,9280.0,9212.0,9202.4,,9167.3,9185.0,9213.6,9223.0,9238.0,8861.3,9190.7,8767.0,-13.9,-19.5,-11.2,-14.0,-7.0,-30.0,-14.0,-38.0,-131.2,-17.0,-42.1,-28.6,-24.0,-96.2,-7.0,-47.0,-28.8,-29.9,25.8,-24.0,-26.7,-55.8,0.0,-38.0,-54.3,-130.0,-72.8,14.9,-50.0,,-59.8,18.1,,-24.0,59.0,-9.0,-18.6,,-53.7,-36.0,-7.4,2.0,17.0,-359.7,-30.3,-454.0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,False,True,False,,False,False,True,True,False,False,False,False
Indiana,3782,3754.6,3730.5,3760.7,3760.0,3761.0,3754.0,3754.0,3752.0,3712.1,3753.0,3742.4,3732.0,3754.2,3734.6,3761.0,3769.0,3750.2,3760.6,3779.3,3756.7,3751.4,3752.0,3762.0,3758.0,3770.2,3671.0,3738.6,3780.2,3745.0,,3732.6,3734.6,,3749.0,4307.3,3756.0,3754.9,,3770.9,3749.0,3761.3,3749.0,3755.0,3500.3,3758.8,3677.0,-27.4,-51.5,-21.3,-22.0,-21.0,-28.0,-28.0,-30.0,-69.9,-29.0,-39.6,-50.0,-27.8,-47.4,-21.0,-13.0,-31.8,-21.4,-2.7,-25.3,-30.6,-30.0,-20.0,-24.0,-11.8,-111.0,-43.4,-1.8,-37.0,,-49.4,-47.4,,-33.0,525.3,-26.0,-27.1,,-11.1,-33.0,-20.7,-33.0,-27.0,-281.7,-23.2,-105.0,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,True,True,True,False,False,True,False,,False,False,,False,False,True,True,,True,False,True,False,True,False,True,False
Iowa,1459,1447.9,1450.1,1448.1,1448.0,1448.0,1437.0,1417.0,1431.0,1401.5,1445.0,1438.6,1442.0,1452.2,1427.7,1442.0,1437.0,1446.5,1458.7,1445.9,1435.1,1447.4,1421.2,1450.2,1465.0,1449.0,,1418.1,1448.0,1425.0,,1428.9,1422.6,,1442.0,1527.9,1446.0,1446.2,,1448.8,1435.0,1434.3,1451.0,1446.0,1420.0,1439.5,1418.0,-11.1,-8.9,-10.9,-11.0,-11.0,-22.0,-42.0,-28.0,-57.5,-14.0,-20.4,-17.0,-6.8,-31.3,-17.0,-22.0,-12.5,-0.3,-13.1,-23.9,-11.6,-37.8,-8.8,6.0,-10.0,,-40.9,-11.0,-34.0,,-30.1,-36.4,,-17.0,68.9,-13.0,-12.8,,-10.2,-24.0,-24.7,-8.0,-13.0,-39.0,-19.5,-41.0,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,,False,True,False,,False,False,,False,False,False,False,,True,False,False,True,False,False,False,False
Kansas,773,737.1,737.5,741.1,744.0,745.0,741.0,719.0,755.0,708.6,723.0,730.7,756.1,749.3,747.1,728.0,725.0,742.8,753.0,752.2,736.5,750.1,719.4,727.6,799.0,750.6,,725.6,741.0,749.0,,,704.9,,749.0,730.0,749.0,741.7,,751.6,737.0,737.0,744.0,733.0,713.9,728.0,692.0,-27.9,-27.5,-23.9,-21.0,-20.0,-24.0,-46.0,-10.0,-56.4,-42.0,-34.3,-8.9,-15.7,-17.9,-37.0,-40.0,-22.2,-12.0,-12.8,-28.5,-14.9,-45.6,-37.4,34.0,-14.4,,-39.4,-24.0,-16.0,,,-60.1,,-16.0,-35.0,-16.0,-23.3,,-13.4,-28.0,-28.0,-21.0,-32.0,-51.1,-37.0,-73.0,True,True,True,True,True,False,True,False,False,False,True,True,True,False,False,True,True,True,False,True,False,False,False,True,,False,True,True,,,False,,True,False,True,True,,True,False,False,True,False,False,False,False
Kentucky,1249,1253.6,1255.8,1256.7,1256.0,1256.0,1257.0,1261.0,1253.0,1220.4,1263.0,1258.6,1263.3,1256.5,1260.5,1247.0,1276.0,1262.2,1267.7,1268.6,1269.1,1257.9,1254.2,1259.1,1308.0,1264.2,1264.0,1232.7,1265.5,1272.0,,1246.5,1243.9,,1257.0,1326.8,1265.0,1258.2,,1263.8,1258.0,1249.8,1261.0,1254.0,1241.6,1258.2,1243.0,4.6,6.8,7.7,7.0,7.0,8.0,12.0,4.0,-28.6,14.0,9.6,14.3,7.5,11.5,-2.0,27.0,13.2,18.7,19.6,20.1,8.9,5.2,10.1,59.0,15.2,15.0,-16.3,16.5,23.0,,-2.5,-5.1,,8.0,77.8,16.0,9.2,,14.8,9.0,0.8,12.0,5.0,-7.4,9.2,-6.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,,False,False,False,False,,False,False,True,False,False,False,False,False
Louisiana,5635,5673.0,5671.1,5646.4,5637.0,5646.0,5646.0,5617.0,5622.0,5606.8,5646.0,5646.1,5656.2,5646.7,5608.5,5635.0,5624.0,5633.8,5643.4,5623.4,5630.3,5635.5,5660.1,5640.7,5633.0,5650.8,,5652.8,5646.6,5624.0,,5613.1,5656.6,,5643.0,5355.5,5713.0,5655.0,,5644.8,5624.0,5677.7,5633.0,5652.0,5471.4,5672.9,5667.0,38.0,36.1,11.4,2.0,11.0,11.0,-18.0,-13.0,-28.2,11.0,11.1,21.2,11.7,-26.5,0.0,-11.0,-1.2,8.4,-11.6,-4.7,0.5,25.1,5.7,-2.0,15.8,,17.8,11.6,-11.0,,-21.9,21.6,,8.0,-279.5,78.0,20.0,,9.8,-11.0,42.7,-2.0,17.0,-163.6,37.9,32.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,False,False,True,,True,True,False,True,True,False,True,True
Maine,143,143.7,144.4,143.8,144.0,144.0,144.0,143.0,144.0,143.0,145.0,144.6,144.3,142.9,145.0,144.0,141.0,144.4,143.4,149.3,147.5,144.4,143.7,142.0,153.0,143.6,,142.9,144.0,144.0,,,143.2,,144.0,151.2,148.0,143.0,,144.1,144.0,145.2,145.0,145.0,143.6,143.9,,0.7,1.4,0.8,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.6,1.3,-0.1,2.0,1.0,-2.0,1.4,0.4,6.3,4.5,1.4,0.7,-1.0,10.0,0.6,,-0.1,1.0,1.0,,,0.2,,1.0,8.2,5.0,-0.0,,1.1,1.0,2.2,2.0,2.0,0.6,0.9,,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,,True,False,False,,,True,,False,False,False,True,,False,False,False,False,False,True,False,
