,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7393,7474.7,7548.7,7252.0,7526.1,7402.0,7003.0,7445.0,7266.3,7412.0,8523.8,7215.2,8760.7,,7413.0,7375.3,6983.0,7254.2,7449.3,7180.2,7311.9,7735.9,7187.0,8107.4,,7443.9,7223.4,7322.0,,7851.6,7063.4,,7391.4,7133.8,7366.0,7419.5,,8008.3,7338.0,7518.7,7328.9,7170.0,7914.5,6961.3,7186.6,7133.0,81.7,155.7,-141.0,133.1,9.0,-390.0,52.0,-126.7,19.0,1130.8,-177.8,1367.7,,20.0,-17.7,-410.0,-138.8,56.3,-212.8,-81.1,342.9,-206.0,714.4,,50.9,-169.6,-71.0,,458.6,-329.6,,-1.6,-259.2,-27.0,26.5,,615.3,-55.0,125.7,-64.1,-223.0,521.5,-431.7,-206.4,-260.0,False,False,False,True,False,True,False,True,False,False,False,,True,True,False,False,True,False,True,False,False,False,,True,False,True,,False,False,,True,False,True,True,,False,True,False,True,False,False,False,False,False
Hawaii,168,153.0,141.7,143.0,149.0,145.0,126.0,139.0,149.8,146.0,231.9,,,,,154.8,121.3,215.8,173.1,128.9,140.3,126.8,166.0,140.7,,124.9,135.6,308.0,,,137.2,,157.7,134.4,147.0,147.3,,146.5,133.0,146.2,131.7,134.0,248.0,129.9,148.9,152.0,-15.0,-26.3,-25.0,-19.0,-23.0,-42.0,-29.0,-18.2,-22.0,63.9,,,,,-13.2,-46.7,47.8,5.1,-39.1,-27.7,-41.2,-2.0,-27.3,,-43.1,-32.4,140.0,,,-30.8,,-10.3,-33.6,-21.0,-20.7,,-21.5,-35.0,-21.8,-36.3,-34.0,80.0,-38.1,-19.1,-16.0,False,False,False,False,False,False,False,False,False,,,,,True,False,False,True,False,False,False,True,False,,False,False,False,,,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False
Idaho,507,530.7,558.0,475.0,538.9,521.0,469.0,512.0,523.5,499.0,619.3,525.1,,,523.0,512.7,476.9,621.5,526.8,522.3,491.7,906.1,515.0,510.0,,467.6,581.9,525.0,,,441.4,,510.1,441.0,571.0,519.9,,510.6,482.0,494.2,496.0,520.0,527.0,490.5,514.8,522.0,23.7,51.0,-32.0,31.9,14.0,-38.0,5.0,16.5,-8.0,112.3,18.1,,,16.0,5.7,-30.1,114.5,19.8,15.3,-15.3,399.1,8.0,3.0,,-39.4,74.9,18.0,,,-65.6,,3.1,-66.0,64.0,12.9,,3.6,-25.0,-12.8,-11.0,13.0,20.0,-16.5,7.8,15.0,False,False,False,True,False,True,True,True,False,True,,,True,True,False,False,True,True,True,False,True,True,,False,False,True,,,False,,True,False,False,True,,True,False,True,True,True,True,True,True,True
Illinois,9221,9123.4,9116.2,8998.0,9097.9,9104.0,9444.0,9315.0,9086.6,9094.0,9152.6,9106.3,,,9107.0,9220.4,9845.3,9317.9,9159.6,8867.0,9093.0,8840.0,9046.0,9412.1,10346.5,8610.1,9065.5,9626.0,,8971.2,8887.4,,9125.0,9467.0,9188.0,9021.1,,9334.3,9062.0,9571.9,10455.6,9066.0,9035.0,8872.3,9028.3,8695.0,-97.6,-104.8,-223.0,-123.1,-117.0,223.0,94.0,-134.4,-127.0,-68.4,-114.7,,,-114.0,-0.6,624.3,96.9,-61.4,-354.0,-128.0,-381.0,-175.0,191.1,1125.5,-610.9,-155.5,405.0,,-249.8,-333.6,,-96.0,246.0,-33.0,-199.9,,113.3,-159.0,350.9,1234.6,-155.0,-186.0,-348.7,-192.7,-526.0,False,False,False,False,False,True,False,False,True,False,,,False,True,False,True,True,False,False,False,False,False,False,False,False,False,,False,False,,True,False,True,False,,False,False,False,False,False,False,False,False,False
Indiana,3782,3723.4,3730.2,3699.0,3738.6,3736.0,3814.0,3696.0,3738.8,3813.0,3742.9,3725.4,,,3887.0,3743.4,3988.8,3931.0,3761.4,3683.7,3685.2,3812.3,3663.0,3805.6,3734.5,3837.8,3704.6,3774.0,,3663.6,3554.3,,3711.1,4439.1,3867.0,3683.8,,3733.3,3787.0,3908.9,4428.7,3695.0,3630.0,3405.6,3695.9,3660.0,-58.6,-51.8,-83.0,-43.4,-46.0,32.0,-86.0,-43.2,31.0,-39.1,-56.6,,,105.0,-38.6,206.8,149.0,-20.6,-98.3,-96.8,30.3,-119.0,23.6,-47.5,55.8,-77.4,-8.0,,-118.4,-227.7,,-70.9,657.1,85.0,-98.2,,-48.7,5.0,126.9,646.7,-87.0,-152.0,-376.4,-86.1,-122.0,True,False,True,True,True,False,True,True,True,True,,,False,True,False,False,True,False,False,True,False,True,True,True,False,True,,False,False,,False,False,False,False,,True,True,False,False,False,False,False,False,False
Iowa,1459,1424.4,1440.8,1406.0,1433.7,1435.0,1482.0,1496.0,1480.4,1501.0,1512.1,1405.8,,,1521.0,1505.7,1446.6,1474.4,1684.0,1335.8,1373.4,1430.8,1466.0,1470.1,,1579.2,1472.2,1300.0,,1402.7,1308.0,,1468.7,1594.4,1430.0,1415.4,,1414.4,1359.0,1444.6,1600.3,1498.0,1305.0,1353.6,1446.2,1402.0,-34.6,-18.2,-53.0,-25.3,-24.0,23.0,37.0,21.4,42.0,53.1,-53.2,,,62.0,46.7,-12.4,15.4,225.0,-123.2,-85.6,-28.2,7.0,11.1,,120.2,13.2,-159.0,,-56.3,-151.0,,9.7,135.4,-29.0,-43.6,,-44.6,-100.0,-14.4,141.3,39.0,-154.0,-105.4,-12.8,-57.0,True,False,True,True,True,False,True,False,False,False,,,False,False,True,True,False,False,False,True,True,True,,False,True,False,,False,False,,True,False,True,False,,False,False,True,False,False,False,False,True,False
Kansas,773,709.3,710.5,674.0,710.1,656.0,678.0,636.0,681.2,659.0,671.6,620.2,,,589.0,645.1,646.9,757.4,679.4,565.6,645.8,642.0,758.0,646.8,,636.7,716.7,672.0,,,592.7,,654.3,735.4,607.0,672.1,,672.3,624.0,611.4,657.4,672.0,944.0,585.7,640.7,714.0,-63.7,-62.5,-99.0,-62.9,-117.0,-95.0,-137.0,-91.8,-114.0,-101.4,-152.8,,,-184.0,-127.9,-126.1,-15.6,-93.6,-207.4,-127.2,-131.0,-15.0,-126.2,,-136.3,-56.3,-101.0,,,-180.3,,-118.7,-37.6,-166.0,-100.9,,-100.7,-149.0,-161.6,-115.6,-101.0,171.0,-187.3,-132.3,-59.0,True,False,True,False,False,False,False,False,False,False,,,False,False,False,True,False,False,False,False,True,False,,False,True,False,,,False,,False,True,False,False,,False,False,False,False,False,False,False,False,True
Kentucky,1249,1306.9,1310.2,1253.0,1312.7,1309.0,1353.0,1389.0,1331.8,1289.0,1350.5,1272.0,,,1394.0,1331.6,1289.4,1395.7,1331.9,1244.3,1250.2,1246.5,1318.0,1381.7,1262.5,1235.0,1309.0,1345.0,,1264.7,1181.4,,1295.1,1339.0,1336.0,1299.9,,1370.7,1289.0,1234.3,1408.9,1275.0,1312.0,1190.5,1267.7,1264.0,57.9,61.2,4.0,63.7,60.0,104.0,140.0,82.8,40.0,101.5,23.0,,,145.0,82.6,40.4,146.7,82.9,-4.7,1.2,-2.5,69.0,132.7,13.5,-14.0,60.0,96.0,,15.7,-67.6,,46.1,90.0,87.0,50.9,,121.7,40.0,-14.7,159.9,26.0,63.0,-58.5,18.7,15.0,False,True,False,False,False,False,False,True,False,True,,,False,False,True,False,False,True,True,True,False,False,True,True,False,False,,True,False,,True,False,False,True,,False,True,True,False,True,False,False,True,True
Louisiana,5635,5782.7,5872.8,5661.0,5869.9,5675.0,5639.0,6551.0,5652.5,5623.0,5817.9,5848.1,,,5632.0,5555.9,5563.8,5556.0,5483.9,5727.0,5582.1,6034.4,5536.0,5729.6,,5461.3,5664.5,5514.0,,5623.7,5618.4,,5704.8,5355.5,6250.0,5929.9,,5674.8,5716.0,5915.8,5862.4,5641.0,5550.0,5451.7,5639.7,5597.0,147.7,237.8,26.0,234.9,40.0,4.0,916.0,17.5,-12.0,182.9,213.1,,,-3.0,-79.1,-71.2,-79.0,-151.1,92.0,-52.9,399.4,-99.0,94.6,,-173.7,29.5,-121.0,,-11.3,-16.6,,69.8,-279.5,615.0,294.9,,39.8,81.0,280.8,227.4,6.0,-85.0,-183.3,4.7,-38.0,False,True,False,True,True,False,True,True,False,False,,,True,True,True,True,False,True,True,False,True,True,,False,True,True,,True,True,,True,False,False,False,,True,True,False,False,True,True,False,True,True
Maine,143,143.7,138.5,139.0,140.0,143.0,136.0,140.0,142.2,140.0,150.5,144.2,,,169.0,146.0,147.5,166.5,140.5,144.8,136.6,157.0,164.0,138.8,,138.3,141.1,143.0,,,141.7,,141.1,153.3,156.0,138.6,,144.5,147.0,154.1,157.9,140.0,141.0,145.7,143.6,,0.7,-4.5,-4.0,-3.0,0.0,-7.0,-3.0,-0.8,-3.0,7.5,1.2,,,26.0,3.0,4.5,23.5,-2.5,1.8,-6.4,14.0,21.0,-4.2,,-4.7,-1.9,0.0,,,-1.3,,-1.9,10.3,13.0,-4.4,,1.5,4.0,11.1,14.9,-3.0,-2.0,2.7,0.6,,False,False,False,True,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,,False,False,True,,,False,,False,False,False,False,,False,False,False,False,False,False,False,True,
Maryland,3995,3988.4,3995.4,3993.0,4001.3,3991.0,4290.0,4486.0,4022.4,3875.0,4007.9,4062.7,,,3949.0,4016.2,4157.9,4015.1,3978.7,3969.3,3983.1,3985.8,3969.0,3902.0,,3965.8,3991.1,3897.0,,3999.6,3977.1,,4009.5,4320.8,4009.0,3966.6,,3920.9,4008.0,4302.4,4400.5,4004.0,3930.0,3939.8,3996.3,4025.0,-6.6,0.4,-2.0,6.3,-4.0,295.0,491.0,27.4,-120.0,12.9,67.7,,,-46.0,21.2,162.9,20.1,-16.3,-25.7,-11.9,-9.2,-26.0,-93.0,,-29.2,-3.9,-98.0,,4.6,-17.9,,14.5,325.8,14.0,-28.4,,-74.1,13.0,307.4,405.5,9.0,-65.0,-55.2,1.3,30.0,True,True,True,True,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,,False,True,False,,True,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False
