,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Kansas,773,583.7,,674.6,631.0,581.7,576.0,517.0,,564.0,663.5,,478.7,,584.2,658.4,628.0,,576.1,-189.3,,-98.4,-142.0,-191.3,-197.0,-256.0,,-209.0,-109.5,,-294.3,,-188.8,-114.6,-145.0,,-196.9,,True,True,False,False,False,,False,True,,False,,True,True,True,,False
Kentucky,1249,1262.9,,1333.5,1274.0,1708.0,1134.0,1127.7,2955.0,1292.3,1525.0,,1023.2,,1247.3,1474.5,1245.0,,1200.4,13.9,,84.5,25.0,459.0,-115.0,-121.3,1706.0,43.3,276.0,,-225.8,,-1.7,225.5,-4.0,,-48.6,,False,False,False,False,False,False,False,False,,False,,True,False,True,,False
Louisiana,5635,6014.6,,5461.9,5612.0,6021.2,6014.0,5831.0,,5457.7,7084.0,,5225.6,,6103.7,5815.6,5428.0,,5674.0,379.6,,-173.1,-23.0,386.2,379.0,196.0,,-177.3,1449.0,,-409.4,,468.7,180.6,-207.0,,39.0,,True,True,False,True,True,,True,False,,False,,False,True,True,,True
Maine,143,137.9,,156.9,139.0,144.6,183.0,147.6,,137.5,142.0,,136.6,,139.8,171.6,154.0,,143.9,-5.1,,13.9,-4.0,1.6,40.0,4.6,,-5.5,-1.0,,-6.4,,-3.2,28.6,11.0,,0.9,,False,True,True,False,True,,False,True,,False,,True,False,False,,True
Maryland,3995,4109.3,,3984.8,3837.0,3927.4,3899.0,3917.4,,4034.0,4044.0,,3991.3,,3982.7,4567.7,3986.0,,4041.8,114.3,,-10.2,-158.0,-67.6,-96.0,-77.6,,39.0,49.0,,-3.7,,-12.3,572.7,-9.0,,46.8,,True,False,True,True,True,,True,True,,True,,True,False,True,,True
Massachusetts,9587,9798.7,,9617.7,9255.0,9768.8,9692.0,9388.9,,9363.2,9430.0,,9503.8,,9421.1,9141.9,9676.0,,9506.9,211.7,,30.7,-332.0,181.8,105.0,-198.1,,-223.8,-157.0,,-83.2,,-165.9,-445.1,89.0,,-80.1,,True,False,True,True,True,,False,True,,True,,True,False,True,,True
Michigan,7219,7269.3,,7256.8,7141.0,7379.7,7221.0,7063.7,12711.0,6924.7,7708.0,,7413.3,,6954.6,8814.0,7108.0,,7101.1,50.3,,37.8,-78.0,160.7,2.0,-155.3,5492.0,-294.3,489.0,,194.3,,-264.4,1595.0,-111.0,,-117.9,,True,False,False,True,False,False,False,False,,False,,False,False,False,,False
Minnesota,2184,2169.6,,2276.2,1920.0,2485.1,2151.0,2154.7,4101.5,2485.4,2723.0,,2028.3,,2192.3,2924.5,2306.0,,2162.3,-14.4,,92.2,-264.0,301.1,-33.0,-29.3,1917.5,301.4,539.0,,-155.7,,8.3,740.5,122.0,,-21.7,,False,False,False,False,False,False,False,False,,False,,True,False,False,,False
Mississippi,3096,3618.3,,3241.8,3031.0,3119.7,3460.0,2925.9,,3731.1,2891.0,,2814.8,,3275.3,3209.7,3106.0,,3050.9,522.3,,145.8,-65.0,23.7,364.0,-170.1,,635.1,-205.0,,-281.2,,179.3,113.7,10.0,,-45.1,,True,True,True,True,True,,False,True,,True,,True,True,True,,True
Missouri,2424,2001.6,,2038.9,2085.0,2706.6,1841.0,1825.6,,2242.3,2002.0,,1682.1,,1890.2,2516.2,1947.0,,1919.9,-422.4,,-385.1,-339.0,282.6,-583.0,-598.4,,-181.7,-422.0,,-741.9,,-533.8,92.2,-477.0,,-504.1,,True,True,True,False,False,,True,True,,False,,False,True,False,,False
Montana,209,186.0,,177.8,154.0,106.0,171.0,152.7,,162.6,134.0,,170.9,,162.8,188.6,181.0,,165.3,-23.0,,-31.2,-55.0,-103.0,-38.0,-56.3,,-46.4,-75.0,,-38.1,,-46.2,-20.4,-28.0,,-43.7,,False,False,False,False,False,,False,False,,False,,False,True,False,,False
Nebraska,519,474.0,,511.3,429.0,505.8,483.0,462.0,,480.2,527.0,,406.9,,456.4,564.3,482.0,,478.6,-45.0,,-7.7,-90.0,-13.2,-36.0,-57.0,,-38.8,8.0,,-112.1,,-62.6,45.3,-37.0,,-40.4,,True,False,True,True,False,,True,True,,False,,False,False,True,,True
Nevada,1659,1917.0,,1682.9,1689.0,2373.7,1882.0,1665.2,,1900.4,1598.0,,1829.5,,1883.2,1661.4,1650.0,,1749.2,258.0,,23.9,30.0,714.7,223.0,6.2,,241.4,-61.0,,170.5,,224.2,2.4,-9.0,,90.2,,True,True,False,True,True,,True,True,,True,,True,True,True,,True
New Hampshire,455,449.6,,445.9,436.0,453.4,479.0,446.2,,464.0,438.0,,435.0,,458.2,476.5,453.0,,454.3,-5.4,,-9.1,-19.0,-1.6,24.0,-8.8,,9.0,-17.0,,-20.0,,3.2,21.5,-2.0,,-0.7,,False,False,True,False,False,,False,False,,False,,True,False,True,,True
New Jersey,16171,15884.3,,16079.4,15970.0,16115.7,16196.0,16058.2,,16189.9,15968.0,,15978.4,,16004.7,17072.8,15933.0,,16099.9,-286.7,,-91.6,-201.0,-55.3,25.0,-112.8,,18.9,-203.0,,-192.6,,-166.3,901.8,-238.0,,-71.1,,True,True,True,True,True,,True,True,,True,,True,False,True,,True
New Mexico,907,916.4,,891.3,867.0,980.8,960.0,856.2,,880.8,997.0,,843.1,,875.5,931.9,894.0,,890.8,9.4,,-15.7,-40.0,73.8,53.0,-50.8,,-26.2,90.0,,-63.9,,-31.5,24.9,-13.0,,-16.2,,False,False,False,False,False,,False,False,,False,,False,False,False,,False
New York,33293,33349.3,,33207.5,32959.0,33208.3,33345.0,33139.8,,33699.0,33038.0,,33118.8,,33210.1,34683.5,33260.0,,33269.4,14.3,,-127.5,-376.0,-126.7,10.0,-195.2,,364.0,-297.0,,-216.2,,-124.9,1348.5,-75.0,,-65.6,,False,False,False,True,False,,False,False,,False,,False,False,False,,False
North Carolina,3765,3635.0,,3645.5,3642.0,3664.9,3631.0,3273.1,,3350.9,3455.5,,3357.2,,3477.1,3830.0,3853.0,,3492.5,-130.0,,-119.5,-123.0,-100.1,-134.0,-491.9,,-414.1,-309.5,,-407.8,,-287.9,65.0,88.0,,-272.5,,True,True,True,False,False,,False,False,,False,,False,True,True,,False
North Dakota,336,177.1,,246.6,146.0,233.5,197.0,205.8,,292.0,243.5,,152.7,,146.1,294.0,219.0,,210.2,-158.9,,-89.4,-190.0,-102.5,-139.0,-130.2,,-44.0,-92.5,,-183.3,,-189.9,-42.0,-117.0,,-125.8,,True,False,True,True,True,,True,True,,False,,False,True,True,,True
Ohio,4997,5013.4,,5090.9,4920.0,5180.8,4892.0,4779.5,13402.0,4692.9,7909.0,,5230.1,,5376.4,5741.1,5103.0,,4710.3,16.4,,93.9,-77.0,183.8,-105.0,-217.5,8405.0,-304.1,2912.0,,233.1,,379.4,744.1,106.0,,-286.7,,False,False,False,False,False,False,False,False,,False,,False,False,False,,False
Oklahoma,1095,1226.6,,1191.7,1124.0,1378.6,1184.0,1112.4,,1078.9,1739.0,,927.9,,1121.7,1264.2,1182.0,,1125.2,131.6,,96.7,29.0,283.6,89.0,17.4,,-16.1,644.0,,-167.1,,26.7,169.2,87.0,,30.2,,True,True,False,True,True,,True,False,,False,,True,False,True,,True
Oregon,599,698.1,,610.5,598.0,646.5,575.0,554.5,,590.7,599.5,,597.6,,634.5,620.9,596.0,,642.8,99.1,,11.5,-1.0,47.5,-24.0,-44.5,,-8.3,0.5,,-1.4,,35.5,21.9,-3.0,,43.8,,True,True,True,True,True,,True,True,,True,,True,True,True,,True
Pennsylvania,8324,8249.6,,8293.1,7961.0,8911.4,7931.0,8019.3,,8413.2,7692.0,,7920.6,,8051.6,9161.1,8139.0,,8167.9,-74.4,,-30.9,-363.0,587.4,-393.0,-304.7,,89.2,-632.0,,-403.4,,-272.4,837.1,-185.0,,-156.1,,True,False,False,False,False,,False,False,,False,,False,False,False,,False
Rhode Island,1130,1139.7,,1094.2,1051.0,1114.6,1149.0,1066.7,,1130.0,1052.0,,1269.6,,1107.7,1200.2,1120.0,,1106.5,9.7,,-35.8,-79.0,-15.4,19.0,-63.3,,-0.0,-78.0,,139.6,,-22.3,70.2,-10.0,,-23.5,,False,False,False,False,False,,True,False,,False,,False,False,False,,False
South Carolina,3551,3909.7,,3573.7,3660.0,3738.8,3471.0,3647.2,,3371.0,3424.0,,3604.8,,3665.1,3729.5,3754.0,,3515.1,358.7,,22.7,109.0,187.8,-80.0,96.2,,-180.0,-127.0,,53.8,,114.1,178.5,203.0,,-35.9,,True,True,True,True,True,,True,True,,True,,True,True,True,,True
South Dakota,286,202.1,,267.2,182.0,206.1,229.0,263.7,,257.8,173.0,,212.5,,171.8,461.4,290.0,,239.0,-83.9,,-18.8,-104.0,-79.9,-57.0,-22.3,,-28.2,-113.0,,-73.5,,-114.2,175.4,4.0,,-47.0,,True,False,True,True,True,,True,False,,True,,False,False,True,,True
Tennessee,2758,2801.3,,2523.1,2405.0,3455.0,2542.0,2326.3,,2282.5,3323.5,,2125.6,,2605.7,2312.5,2511.0,,2514.1,43.3,,-234.9,-353.0,697.0,-216.0,-431.7,,-475.5,565.5,,-632.4,,-152.3,-445.5,-247.0,,-243.9,,False,False,False,False,False,,False,False,,False,,False,False,False,,False
Texas,16943,18464.0,,17582.9,18511.0,22055.1,18888.0,15525.1,,17254.7,17293.0,,15690.6,15719.0,17392.6,16366.8,16158.0,,16988.8,1521.0,,639.9,1568.0,5112.1,1945.0,-1417.9,,311.7,350.0,,-1252.4,-1224.0,449.6,-576.2,-785.0,,45.8,,True,False,False,False,True,,True,True,,True,True,True,True,True,,True
Utah,510,535.9,,573.3,469.0,533.7,549.0,495.5,,563.3,497.0,,428.5,,539.5,525.1,532.0,,534.4,25.9,,63.3,-41.0,23.7,39.0,-14.5,,53.3,-13.0,,-81.5,,29.5,15.1,22.0,,24.4,,False,False,True,False,True,,False,True,,False,,False,True,True,,True
Vermont,58,58.0,,61.0,59.0,58.9,61.0,62.0,,61.7,58.0,,58.0,,58.6,72.6,58.0,,63.5,0.0,,3.0,1.0,0.9,3.0,4.0,,3.7,0.0,,0.0,,0.6,14.6,0.0,,5.5,,False,False,False,False,False,,False,True,,True,,False,False,True,,False
Virginia,3351,3166.4,,3087.5,2689.0,2621.4,2953.0,2877.0,,2906.4,3004.0,,2828.1,,2991.3,3535.9,2843.0,,2973.3,-184.6,,-263.5,-662.0,-729.6,-398.0,-474.0,,-444.6,-347.0,,-522.9,,-359.7,184.9,-508.0,,-377.7,,False,False,False,False,False,,False,False,,False,,False,False,False,,False
Washington,2190,2151.0,,2115.9,2393.0,2340.9,2210.0,2142.2,,2169.3,2739.5,,2042.1,,2234.5,2423.9,2223.0,,2228.9,-39.0,,-74.1,203.0,150.9,20.0,-47.8,,-20.7,549.5,,-147.9,,44.5,233.9,33.0,,38.9,,False,False,False,True,False,,True,False,,False,,False,False,True,,True
West Virginia,387,419.0,,358.2,278.0,268.1,279.0,341.5,,276.5,306.0,,415.8,,334.9,342.9,415.0,,350.7,32.0,,-28.8,-109.0,-118.9,-108.0,-45.5,,-110.5,-81.0,,28.8,,-52.1,-44.1,28.0,,-36.3,,True,False,False,False,False,,False,False,,True,,False,False,True,,False
Wisconsin,1458,1362.1,,1434.6,1455.0,1418.8,1361.0,1256.5,3979.0,1489.0,1598.0,,1212.3,,1304.5,1551.8,1352.0,,1389.9,-95.9,,-23.4,-3.0,-39.2,-97.0,-201.5,2521.0,31.0,140.0,,-245.7,,-153.5,93.8,-106.0,,-68.1,,True,True,True,False,False,False,True,False,,False,,False,True,False,,True
Wyoming,54,37.0,,55.5,51.0,34.0,42.0,45.9,,49.0,117.0,,47.3,,39.1,46.4,48.0,,50.9,-17.0,,1.5,-3.0,-20.0,-12.0,-8.1,,-5.0,63.0,,-6.7,,-14.9,-7.6,-6.0,,-3.1,,True,True,False,True,True,,True,False,,True,,True,True,True,,True
US,214370,219766.9,212295.0,214861.1,213031.0,227794.5,215680.0,201476.2,,209298.0,220181.0,210400.5,202435.1,213546.0,212543.2,221654.8,212903.0,203075.0,209841.9,5354.9,-2117.0,449.1,-1381.0,13382.5,1268.0,-12935.8,,-5114.0,5769.0,-4011.5,-11976.9,-866.0,-1868.8,7242.8,-1509.0,-11337.0,-4570.1,True,True,True,False,True,False,,True,False,True,False,True,True,False,True,False,True
