,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7393,7584.9,7531.1,7508.0,7544.0,7418.0,7212.0,7420.0,7165.9,7428.0,7627.7,7444.4,7385.8,,7292.0,7621.0,7411.0,7390.7,7147.2,7340.2,7385.5,7284.4,7437.3,7520.7,7335.0,7519.2,,7424.9,7540.6,7205.0,,7403.0,7293.3,7522.0,7133.8,7420.0,7503.7,,7527.0,7417.0,7492.7,7391.1,7541.0,7116.0,7198.9,7508.9,7179.0,191.9,138.1,115.0,151.0,25.0,-181.0,27.0,-227.1,35.0,234.7,51.4,-7.2,,-101.0,228.0,18.0,-2.3,-245.8,-52.8,-7.5,-108.6,44.3,127.7,-58.0,126.2,,31.9,147.6,-188.0,,10.0,-99.7,129.0,-259.2,27.0,110.7,,134.0,24.0,99.7,-1.9,148.0,-277.0,-194.1,115.9,-214.0,True,True,True,True,True,True,False,True,False,True,True,,True,False,True,True,False,True,True,True,True,True,True,True,,True,True,True,,True,True,True,False,True,True,,True,True,True,True,True,False,False,True,False
Hawaii,168,154.3,155.2,154.0,153.0,155.0,153.0,151.0,142.5,147.0,173.6,,170.0,,144.4,,,149.9,144.9,175.2,155.4,157.1,149.0,172.7,158.0,182.3,,170.4,153.2,156.0,,,143.1,156.0,158.6,169.0,151.4,,191.5,152.0,149.9,142.8,147.0,161.0,149.2,158.0,144.0,-13.7,-12.8,-14.0,-15.0,-13.0,-15.0,-17.0,-25.5,-21.0,5.6,,2.0,,-23.6,,,-18.1,-23.1,7.2,-12.6,-10.9,-19.0,4.7,-10.0,14.3,,2.4,-14.8,-12.0,,,-24.9,-12.0,-9.4,1.0,-16.6,,23.5,-16.0,-18.1,-25.2,-21.0,-7.0,-18.8,-10.0,-24.0,True,False,False,True,False,False,False,False,True,,True,,False,,,False,False,True,True,True,False,True,True,False,,True,False,True,,,False,True,True,True,False,,False,False,False,False,False,True,False,True,False
Idaho,507,491.6,500.0,502.0,498.0,511.0,537.0,558.0,495.6,502.0,519.2,513.7,509.5,,528.0,498.0,512.0,510.7,536.0,543.1,514.3,506.9,503.0,526.0,542.0,530.6,,511.5,508.8,501.0,,,465.5,519.0,441.0,525.0,499.3,,539.0,497.0,501.1,508.4,509.0,483.0,496.3,501.2,486.0,-15.4,-7.0,-5.0,-9.0,4.0,30.0,51.0,-11.4,-5.0,12.2,6.7,2.5,,21.0,-9.0,5.0,3.7,29.0,36.1,7.3,-0.1,-4.0,19.0,35.0,23.6,,4.5,1.8,-6.0,,,-41.5,12.0,-66.0,18.0,-7.7,,32.0,-10.0,-5.9,1.4,2.0,-24.0,-10.7,-5.8,-21.0,True,True,True,True,False,False,True,True,True,True,True,,False,True,True,True,False,False,True,True,True,False,False,False,,True,True,True,,,False,True,False,False,True,,False,True,True,True,True,False,True,True,False
Illinois,9221,9140.3,9153.6,9124.0,9152.5,9150.0,9236.0,9101.0,9048.2,9120.0,9121.7,9131.3,9233.8,,8882.0,9144.0,9147.0,9141.9,9387.3,9190.8,9147.6,9077.1,9187.9,9172.5,9118.0,9196.4,9874.0,9102.7,9181.0,9032.0,,9095.4,9013.1,9154.0,9280.0,9228.0,9127.6,,9204.6,9136.0,9236.7,9734.7,9166.0,9060.5,8754.6,9122.1,8735.0,-80.7,-67.4,-97.0,-68.5,-71.0,15.0,-120.0,-172.8,-101.0,-99.3,-89.7,12.8,,-339.0,-77.0,-74.0,-79.1,166.3,-30.2,-73.4,-143.9,-33.1,-48.5,-103.0,-24.6,653.0,-118.3,-40.0,-189.0,,-125.6,-207.9,-67.0,59.0,7.0,-93.4,,-16.4,-85.0,15.7,513.7,-55.0,-160.5,-466.4,-98.9,-486.0,True,False,True,True,True,False,False,False,False,False,True,,False,True,True,True,False,True,True,False,True,True,False,True,False,False,True,False,,False,False,True,True,True,False,,True,False,True,False,True,False,False,False,False
Indiana,3831,3717.4,3727.4,3718.0,3725.1,3729.0,3767.0,3700.0,3672.2,3752.0,3719.5,3672.1,3790.7,,3758.0,3718.0,3728.0,3722.4,3794.7,3776.3,3719.6,3705.8,3727.9,3804.6,3744.0,3750.6,3835.5,3706.1,3736.5,3729.0,,3694.8,3688.1,3728.0,4307.3,3737.0,3710.5,,3758.8,3725.0,3777.2,4004.7,3716.0,3829.5,3454.3,3725.9,3662.0,-100.6,-90.6,-100.0,-92.9,-89.0,-51.0,-118.0,-145.8,-66.0,-98.5,-145.9,-27.3,,-60.0,-100.0,-90.0,-95.6,-23.3,-41.7,-98.4,-112.2,-90.1,-13.4,-74.0,-67.4,17.5,-111.9,-81.5,-89.0,,-123.2,-129.9,-90.0,489.3,-81.0,-107.5,,-59.2,-93.0,-40.8,186.7,-102.0,11.5,-363.7,-92.1,-156.0,True,True,True,True,True,False,False,True,True,False,True,,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,,False,False,True,False,True,False,,True,True,True,False,False,True,False,True,False
Iowa,1459,1410.7,1412.0,1414.0,1412.0,1413.0,1491.0,1398.0,1379.5,1443.0,1440.9,1399.1,1427.3,,1388.6,1405.0,1435.0,1443.6,1483.1,1427.0,1441.4,1401.4,1417.3,1453.5,1463.0,1416.2,,1390.6,1427.3,1462.0,,1411.1,1362.3,1426.0,1527.9,1421.0,1413.5,,1424.5,1402.0,1409.5,1499.1,1428.0,1359.0,1377.3,1414.8,1350.0,-48.3,-47.0,-45.0,-47.0,-46.0,32.0,-61.0,-79.5,-16.0,-18.1,-59.9,-31.7,,-70.4,-54.0,-24.0,-15.4,24.1,-32.0,-17.6,-57.6,-41.7,-5.5,4.0,-42.8,,-68.4,-31.7,3.0,,-47.9,-96.7,-33.0,68.9,-38.0,-45.5,,-34.5,-57.0,-49.5,40.1,-31.0,-100.0,-81.7,-44.2,-109.0,True,True,True,True,True,False,False,True,True,False,True,,False,False,True,True,True,True,True,False,True,True,True,True,,False,True,True,,True,False,True,False,True,True,,True,False,False,True,True,False,False,True,False
Kansas,773,709.3,711.9,724.0,717.0,713.0,707.0,745.0,761.0,706.0,713.0,749.6,748.0,,915.3,691.0,712.0,724.6,765.0,739.0,751.5,705.5,708.7,740.7,817.0,683.6,,706.9,735.3,748.0,,,652.9,749.0,730.0,736.0,710.8,,691.8,701.0,695.6,714.0,726.0,692.0,676.2,708.0,684.0,-63.7,-61.1,-49.0,-56.0,-60.0,-66.0,-28.0,-12.0,-67.0,-60.0,-23.4,-25.0,,142.3,-82.0,-61.0,-48.4,-8.0,-34.0,-21.5,-67.5,-64.3,-32.3,44.0,-89.4,,-66.1,-37.7,-25.0,,,-120.1,-24.0,-43.0,-37.0,-62.2,,-81.2,-72.0,-77.4,-59.0,-47.0,-81.0,-96.8,-65.0,-89.0,True,True,True,True,False,True,True,False,True,True,True,,False,False,True,True,True,True,True,False,False,True,True,False,,False,True,True,,,False,True,True,True,True,,False,False,False,True,True,False,False,False,False
Kentucky,1249,1242.4,1249.2,1248.0,1246.0,1262.0,1337.0,1261.0,1224.1,1270.0,1265.1,1322.3,1285.3,,1316.2,1236.0,1262.0,1268.2,1274.1,1304.0,1269.9,1237.1,1254.8,1314.6,1331.0,1259.8,1261.0,1220.4,1263.3,1294.0,,,1188.5,1269.0,1326.8,1262.0,1257.1,,1267.9,1265.0,1239.5,1331.7,1253.0,1244.0,1218.3,1259.4,1224.0,-6.6,0.2,-1.0,-3.0,13.0,88.0,12.0,-24.9,21.0,16.1,73.3,36.3,,67.2,-13.0,13.0,19.2,25.1,55.0,20.9,-11.9,5.8,65.6,82.0,10.8,12.0,-28.6,14.3,45.0,,,-60.5,20.0,77.8,13.0,8.1,,18.9,16.0,-9.5,82.7,4.0,-5.0,-30.7,10.4,-25.0,True,True,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,False,False,False,False,False,,False,False,False,False,True,True,False,False,False
Louisiana,5635,5645.1,5650.7,5614.0,5648.3,5641.0,5529.0,5658.0,5643.1,5626.0,5678.9,5708.8,5618.3,,5772.2,5642.0,5631.0,5618.2,5611.7,5580.9,5634.8,5624.8,5608.4,5708.7,5624.0,5654.7,,5595.4,5601.0,5590.0,,5630.9,5591.9,5675.0,5355.5,5732.0,5684.3,,5662.7,5638.0,5745.4,5734.9,5606.0,5580.0,5469.2,5662.9,5540.0,10.1,15.7,-21.0,13.3,6.0,-106.0,23.0,8.1,-9.0,43.9,73.8,-16.7,,137.2,7.0,-4.0,-16.8,-23.3,-54.1,-0.2,-10.2,-26.6,73.7,-11.0,19.7,,-39.6,-34.0,-45.0,,-4.1,-43.1,40.0,-279.5,97.0,49.3,,27.7,3.0,110.4,99.9,-29.0,-55.0,-165.8,27.9,-95.0,False,False,False,True,False,False,True,True,False,False,False,,False,True,True,False,False,False,True,False,False,False,False,False,,False,False,False,,True,False,False,False,False,False,,False,True,False,False,False,False,False,False,False
Maine,143,141.9,142.4,143.0,142.0,144.0,141.0,146.0,146.9,142.0,148.2,145.1,143.7,,144.9,142.0,160.0,145.6,146.2,151.4,144.9,142.9,140.0,151.1,158.0,143.4,,141.5,142.5,144.0,,,140.4,146.0,151.2,144.0,141.9,,151.7,144.0,147.5,152.0,145.0,142.0,143.4,143.2,,-1.1,-0.6,0.0,-1.0,1.0,-2.0,3.0,3.9,-1.0,5.2,2.1,0.7,,1.9,-1.0,17.0,2.6,3.2,8.4,1.9,-0.1,-3.0,8.1,15.0,0.4,,-1.5,-0.5,1.0,,,-2.6,3.0,8.2,1.0,-1.1,,8.7,1.0,4.5,9.0,2.0,-1.0,0.4,0.2,,True,True,True,True,False,False,False,True,False,False,True,,False,True,False,False,False,False,False,True,False,False,False,True,,False,True,True,,,False,False,False,True,True,,False,True,False,False,False,True,True,True,
