,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,MITCovAlliance-SIR,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Georgia,7393,8654.1,6439.0,,6248.1,6450.0,4707.1,5881.0,,7274.4,7020.1,7497.0,7186.4,1261.1,-954.0,,-1144.9,-943.0,-2685.9,-1512.0,,-118.6,-372.9,104.0,-206.6,True,,True,True,False,False,,True,True,True,True
Hawaii,168,110.7,78.0,,281.4,,28.9,60.6,,112.7,194.4,80.0,132.4,-57.3,-90.0,,113.4,,-139.1,-107.4,,-55.3,26.4,-88.0,-35.6,False,,False,,False,False,,True,True,False,True
Idaho,507,520.4,427.0,,487.7,392.0,563.6,318.7,,389.6,429.9,417.0,530.2,13.4,-80.0,,-19.3,-115.0,56.6,-188.3,,-117.4,-77.1,-90.0,23.2,False,,False,False,False,False,,False,False,False,False
Illinois,9221,8819.3,9090.0,,9005.6,8516.0,9331.9,8334.5,,8599.4,11557.5,8839.0,9037.5,-401.7,-131.0,,-215.4,-705.0,110.9,-886.5,,-621.6,2336.5,-382.0,-183.5,True,,True,False,True,False,,False,False,True,True
Indiana,3782,3855.9,3576.0,,3766.7,3595.0,3804.8,3495.2,,3747.7,4873.2,3960.0,3919.2,73.9,-206.0,,-15.3,-187.0,22.8,-286.8,,-34.3,1091.2,178.0,137.2,False,,True,False,True,False,,True,False,False,False
Iowa,1459,1320.7,1268.0,,1271.0,1319.0,1088.9,1152.8,,1146.7,1606.9,1272.0,1328.8,-138.3,-191.0,,-188.0,-140.0,-370.1,-306.2,,-312.3,147.9,-187.0,-130.2,False,,False,False,False,False,,False,False,False,True
Kansas,773,610.3,598.0,,649.8,578.0,514.9,447.9,,539.5,687.6,610.0,600.4,-162.7,-175.0,,-123.2,-195.0,-258.1,-325.1,,-233.5,-85.4,-163.0,-172.6,False,,True,False,False,False,,False,True,False,False
Kentucky,1249,1100.7,1030.0,,,982.0,1314.6,922.3,,1099.2,1358.7,1096.0,1123.2,-148.3,-219.0,,,-267.0,65.6,-326.7,,-149.8,109.7,-153.0,-125.8,False,,,False,True,False,,False,True,False,True
Louisiana,5635,6424.1,5268.0,,,5988.0,4267.8,5672.7,,5242.6,5876.1,5068.0,5589.8,789.1,-367.0,,,353.0,-1367.2,37.7,,-392.4,241.1,-567.0,-45.2,True,,,True,False,True,,True,True,True,True
Maine,143,142.7,149.0,,,137.0,152.2,131.8,,136.8,173.1,136.0,145.2,-0.3,6.0,,,-6.0,9.2,-11.2,,-6.2,30.1,-7.0,2.2,False,,,False,False,False,,False,False,False,False
Maryland,3995,4063.3,4187.0,,,3855.0,4068.7,4042.8,,3950.8,4746.6,3965.0,4241.1,68.3,192.0,,,-140.0,73.7,47.8,,-44.2,751.6,-30.0,246.1,False,,,False,False,True,,True,False,True,False
Massachusetts,9587,9647.3,9483.0,,,8930.0,8535.6,9283.8,,9386.1,9391.7,9627.0,9642.7,60.3,-104.0,,,-657.0,-1051.4,-303.2,,-200.9,-195.3,40.0,55.7,False,,,False,False,False,,False,False,True,True
Michigan,7219,7165.6,7137.0,,,7018.0,8000.5,7028.0,,6953.2,9086.6,7015.0,7114.7,-53.4,-82.0,,,-201.0,781.5,-191.0,,-265.8,1867.6,-204.0,-104.3,False,,,False,False,False,,False,False,False,False
Minnesota,2184,2176.3,2114.0,,,2021.0,2003.8,1979.9,,1805.5,2674.3,1962.0,2153.5,-7.7,-70.0,,,-163.0,-180.2,-204.1,,-378.5,490.3,-222.0,-30.5,False,,,False,False,False,,False,False,False,False
Mississippi,3096,3561.1,2929.0,,,3267.0,2538.9,2665.3,,3066.8,2933.9,2727.0,3034.2,465.1,-167.0,,,171.0,-557.1,-430.7,,-29.2,-162.1,-369.0,-61.8,True,,,True,False,True,,True,True,True,True
Missouri,2424,1768.0,1772.0,,,1688.0,1853.5,1562.3,,2176.3,2841.3,1683.0,1857.8,-656.0,-652.0,,,-736.0,-570.5,-861.7,,-247.7,417.3,-741.0,-566.2,True,,,False,True,False,,True,True,False,True
Montana,209,137.0,118.0,,,166.0,259.8,104.3,,100.7,171.2,179.0,176.5,-72.0,-91.0,,,-43.0,50.8,-104.7,,-108.3,-37.8,-30.0,-32.5,False,,,True,True,False,,False,True,True,True
Nebraska,519,486.7,531.0,,,479.0,439.7,408.2,,451.4,511.8,460.0,479.6,-32.3,12.0,,,-40.0,-79.3,-110.8,,-67.6,-7.2,-59.0,-39.4,True,,,False,False,False,,False,True,False,False
Nevada,1659,1975.6,1558.0,,,1836.0,1252.2,1259.6,,1554.0,1657.2,1636.0,1751.8,316.6,-101.0,,,177.0,-406.8,-399.4,,-105.0,-1.8,-23.0,92.8,True,,,True,False,False,,True,True,True,True
New Hampshire,455,454.4,460.0,,,425.0,480.2,446.6,,479.3,491.8,425.0,472.9,-0.6,5.0,,,-30.0,25.2,-8.4,,24.3,36.8,-30.0,17.9,False,,,False,False,False,,False,False,False,False
New Jersey,16171,16210.6,16873.0,,,16192.0,16093.3,16164.0,,16285.5,17887.5,16326.0,16083.6,39.6,702.0,,,21.0,-77.7,-7.0,,114.5,1716.5,155.0,-87.4,False,,,True,False,True,,False,False,False,False
New Mexico,907,941.9,842.0,,,915.0,942.4,789.4,,879.1,935.8,812.0,946.5,34.9,-65.0,,,8.0,35.4,-117.6,,-27.9,28.8,-95.0,39.5,False,,,True,False,False,,True,True,False,False
New York,33293,33358.6,35042.0,,,33185.0,28661.2,33099.5,,33102.3,36153.8,33229.0,33183.6,41.6,1725.0,,,-132.0,-4655.8,-217.5,,-214.7,2836.8,-88.0,-133.4,False,,,False,False,False,,False,False,False,False
North Carolina,3765,3564.9,3160.0,,,3495.0,2650.2,2868.1,,2951.8,3290.1,3066.0,3501.8,-200.1,-605.0,,,-270.0,-1114.8,-896.9,,-813.2,-474.9,-699.0,-263.2,False,,,False,False,False,,False,False,False,False
North Dakota,336,227.1,174.0,,,194.0,219.3,167.0,,199.6,235.5,195.0,200.4,-108.9,-162.0,,,-142.0,-116.7,-169.0,,-136.4,-100.5,-141.0,-135.6,False,,,False,False,False,,False,True,False,False
Ohio,4997,5059.6,4422.0,,,4654.0,4771.7,4449.6,,4665.4,5454.4,4722.0,4998.4,62.6,-575.0,,,-343.0,-225.3,-547.4,,-331.6,457.4,-275.0,1.4,False,,,False,False,False,,False,False,False,True
Oklahoma,1095,1116.7,937.0,,,944.0,854.2,903.3,,899.2,1148.7,927.0,1064.0,21.7,-158.0,,,-151.0,-240.8,-191.7,,-195.8,53.7,-168.0,-31.0,False,,,False,False,False,,False,False,False,False
Oregon,599,639.4,519.0,,,585.0,1181.9,566.9,,521.0,644.7,600.0,658.6,40.4,-80.0,,,-14.0,582.9,-32.1,,-78.0,45.7,1.0,59.6,False,,,True,False,True,,False,False,True,False
Pennsylvania,8324,8568.7,8141.0,,,7721.0,8205.3,7913.8,,8408.3,9996.0,8240.0,8369.4,244.7,-183.0,,,-603.0,-118.7,-410.2,,84.3,1672.0,-84.0,45.4,True,,,False,True,False,,True,False,True,True
Rhode Island,1130,1076.0,1130.0,,,1071.0,1036.1,1021.9,,1083.2,1254.3,1044.0,1087.1,-48.0,6.0,,,-53.0,-87.9,-102.1,,-40.8,130.3,-80.0,-36.9,True,,,False,False,False,,True,False,False,True
South Carolina,3551,4139.0,3254.0,,,3146.0,2579.5,2983.6,,3331.6,3090.5,3096.0,3645.4,588.0,-297.0,,,-405.0,-971.5,-567.4,,-219.4,-460.5,-455.0,94.4,True,,,True,False,True,,True,True,True,True
South Dakota,286,208.0,210.0,,,227.0,221.4,180.9,,204.4,263.7,205.0,212.3,-78.0,-76.0,,,-59.0,-64.6,-105.1,,-81.6,-22.3,-81.0,-73.7,True,,,True,True,False,,False,True,False,True
Tennessee,2758,2489.6,2127.0,,,2306.0,2063.0,2704.0,,1891.7,2132.7,1848.0,2248.9,-268.4,-631.0,,,-452.0,-695.0,-54.0,,-866.3,-625.3,-910.0,-509.1,False,,,False,False,True,,False,False,False,False
Texas,16943,20131.0,16430.0,,,21036.0,10507.9,15232.8,15449.0,15348.2,16163.8,16789.0,17344.2,3188.0,-513.0,,,4093.0,-6435.1,-1710.2,-1494.0,-1594.8,-779.2,-154.0,401.2,True,,,False,False,True,True,True,True,True,True
Utah,510,575.1,626.0,,,531.0,446.5,439.7,,542.9,478.6,476.0,575.4,65.1,116.0,,,21.0,-63.5,-70.3,,32.9,-31.4,-34.0,65.4,False,,,True,True,False,,True,True,True,False
Vermont,58,58.0,66.0,,,58.0,60.0,58.0,,58.9,82.7,58.0,67.7,0.0,8.0,,,0.0,2.0,0.0,,0.9,24.7,0.0,9.7,False,,,True,False,True,,False,False,True,False
Virginia,3351,2813.1,2976.0,,,2784.0,2714.6,2713.3,,2589.3,3426.4,2554.0,3160.1,-537.9,-375.0,,,-567.0,-636.4,-637.7,,-761.7,75.4,-797.0,-190.9,True,,,False,False,False,,False,True,False,True
Washington,2190,2511.7,2156.0,,,2190.0,2785.9,2756.8,,2033.4,2572.7,2227.0,2543.6,321.7,-34.0,,,0.0,595.9,566.8,,-156.6,382.7,37.0,353.6,True,,,True,False,False,,True,False,True,False
West Virginia,387,325.0,222.0,,,243.0,186.9,185.5,,320.5,307.8,410.0,348.8,-62.0,-165.0,,,-144.0,-200.1,-201.5,,-66.5,-79.2,23.0,-38.2,False,,,False,False,False,,False,False,True,True
Wisconsin,1458,1361.1,1411.0,,,1259.0,1326.0,1251.9,,1206.0,1677.2,1273.0,1440.7,-96.9,-47.0,,,-199.0,-132.0,-206.1,,-252.0,219.2,-185.0,-17.3,True,,,False,False,False,,False,False,False,True
Wyoming,54,45.7,48.0,,,32.0,49.7,30.0,,39.0,62.8,30.0,43.0,-8.3,-6.0,,,-22.0,-4.3,-24.0,,-15.0,8.8,-24.0,-11.0,True,,,False,True,False,,False,False,False,False
US,214370,225947.7,192605.0,211650.0,193523.2,209248.0,187766.1,192842.0,214594.0,211311.4,226103.1,202989.0,213963.9,11559.7,-21783.0,-2738.0,-20864.8,-5140.0,-26621.9,-21546.0,206.0,-3076.6,11715.1,-11399.0,-424.1,False,True,False,True,False,False,True,True,False,True,True
