,actual_deaths,Baseline,Baseline_0.98,COVIDhub-ensemble,CU-select,GT-DeepCOVID,IHME-CurveFit,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_40,UChicago-CovidIL_60,UChicago-CovidIL_80,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-ensemble,error-CU-select,error-GT-DeepCOVID,error-IHME-CurveFit,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_40,error-UChicago-CovidIL_60,error-UChicago-CovidIL_80,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-GT-DeepCOVID,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_40,beat_baseline-UChicago-CovidIL_60,beat_baseline-UChicago-CovidIL_80,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Nevada,417,458.6,433.5,456.8,464.0,,428.6,403.2,408.0,452.1,,410.2,,,,,,620.0,467.7,441.6,41.6,39.8,47.0,,11.6,-13.8,-9.0,35.1,,-6.8,,,,,,203.0,50.7,24.6,True,False,,True,True,True,True,,True,,,,,,False,False,True
New Hampshire,238,267.3,244.6,259.7,240.0,,173.0,200.9,241.0,415.2,,185.7,,,,,,306.0,294.9,230.1,29.3,21.7,2.0,,-65.0,-37.1,3.0,177.2,,-52.3,,,,,,68.0,56.9,-7.9,True,True,,False,False,True,False,,False,,,,,,False,False,True
New Jersey,11634,13213.1,12544.3,11881.2,11443.0,,12993.0,11192.4,12325.0,12320.0,,11716.6,,,,,,11762.0,10854.6,12373.4,1579.1,247.2,-191.0,,1359.0,-441.6,691.0,686.0,,82.6,,,,,,128.0,-779.4,739.4,True,True,,True,True,True,True,,True,,,,,,True,True,True
New Mexico,351,340.0,316.3,334.1,228.0,404.0,310.2,293.8,397.0,374.5,,275.2,,,,,,362.0,381.1,336.9,-11.0,-16.9,-123.0,53.0,-40.8,-57.2,46.0,23.5,,-75.8,,,,,,11.0,30.1,-14.1,False,False,False,False,False,False,False,,False,,,,,,False,False,False
New York,30429,33768.6,32732.7,30897.2,30015.0,,30683.9,29530.3,30042.0,33917.8,,33253.5,,,,,,29434.0,28034.0,30378.7,3339.6,468.2,-414.0,,254.9,-898.7,-387.0,3488.8,,2824.5,,,,,,-995.0,-2395.0,-50.3,True,True,,True,True,True,False,,True,,,,,,True,True,True
North Carolina,929,935.4,872.6,943.6,1139.0,,902.3,886.0,1137.0,878.1,,765.5,,,,,,951.0,893.9,855.6,6.4,14.6,210.0,,-26.7,-43.0,208.0,-50.9,,-163.5,,,,,,22.0,-35.1,-73.4,False,False,,False,False,False,False,,False,,,,,,False,False,False
North Dakota,60,63.6,58.7,67.9,75.0,,57.1,55.1,67.0,100.4,,56.1,,,,,,62.0,82.1,67.7,3.6,7.9,15.0,,-2.9,-4.9,7.0,40.4,,-3.9,,,,,,2.0,22.1,7.7,False,False,,True,False,False,False,,False,,,,,,True,False,False
Ohio,2149,2203.9,2058.0,2120.2,2334.0,,2206.4,1954.3,2079.0,2475.7,2167.0,1867.3,,,,,,2007.0,2054.8,2107.7,54.9,-28.8,185.0,,57.4,-194.7,-70.0,326.7,18.0,-281.7,,,,,,-142.0,-94.2,-41.3,True,False,,False,False,False,False,True,False,,,,,,False,False,True
Oklahoma,334,369.1,352.7,357.8,331.0,340.0,380.5,361.6,371.0,356.9,,380.2,,,,,,360.0,326.0,368.0,35.1,23.8,-3.0,6.0,46.5,27.6,37.0,22.9,,46.2,,,,,,26.0,-8.0,34.0,True,True,True,False,True,False,True,,False,,,,,,True,True,True
Oregon,153,178.4,169.7,176.1,172.0,,172.2,181.9,174.0,178.8,,173.7,,,,,,187.0,176.1,167.5,25.4,23.1,19.0,,19.2,28.9,21.0,25.8,,20.7,,,,,,34.0,23.1,14.5,True,True,,True,False,True,False,,True,,,,,,False,True,True
Pennsylvania,5537,6908.9,6384.4,6151.9,5012.0,7214.2,6835.7,5857.5,6446.0,7691.4,,4664.1,,,,,,6218.0,5668.4,6079.9,1371.9,614.9,-525.0,1677.2,1298.7,320.5,909.0,2154.4,,-872.9,,,,,,681.0,131.4,542.9,True,True,False,True,True,True,False,,True,,,,,,True,True,True
Rhode Island,711,713.4,664.2,725.1,827.0,845.4,614.1,622.7,575.0,927.3,,650.2,,,,,,651.0,603.7,695.0,2.4,14.1,116.0,134.4,-96.9,-88.3,-136.0,216.3,,-60.8,,,,,,-60.0,-107.3,-16.0,False,False,False,False,False,False,False,,False,,,,,,False,False,False
South Carolina,487,491.0,464.0,508.4,532.0,,591.8,498.3,550.0,568.8,,435.7,,,,,,469.0,514.7,506.7,4.0,21.4,45.0,,104.8,11.3,63.0,81.8,,-51.3,,,,,,-18.0,27.7,19.7,False,False,,False,False,False,False,,False,,,,,,False,False,False
South Dakota,62,71.1,64.9,91.5,130.0,,71.1,88.2,51.0,108.9,,49.1,,,,,,111.0,479.1,64.0,9.1,29.5,68.0,,9.1,26.2,-11.0,46.9,,-12.9,,,,,,49.0,417.1,2.0,False,False,,False,False,False,False,,False,,,,,,False,False,True
Tennessee,364,337.3,321.3,337.7,410.0,293.8,378.5,279.0,413.0,307.0,,374.2,,,,,,318.0,319.3,308.9,-26.7,-26.3,46.0,-70.2,14.5,-85.0,49.0,-57.0,,10.2,,,,,,-46.0,-44.7,-55.1,True,False,False,True,False,False,False,,True,,,,,,False,False,False
Texas,1652,1711.1,1606.8,1710.9,2254.0,1580.7,1710.7,1523.5,1424.0,1677.7,,1617.8,,,,,,1864.0,1674.7,1764.3,59.1,58.9,602.0,-71.3,58.7,-128.5,-228.0,25.7,,-34.2,,,,,,212.0,22.7,112.3,True,False,False,True,False,False,True,,True,,,,,,False,True,False
Utah,112,115.6,107.4,115.9,185.0,,104.6,98.9,91.0,104.5,,94.9,,,,,,127.0,133.1,111.7,3.6,3.9,73.0,,-7.4,-13.1,-21.0,-7.5,,-17.1,,,,,,15.0,21.1,-0.3,False,False,,False,False,False,False,,False,,,,,,False,False,True
Vermont,55,53.0,53.0,61.3,55.0,,52.3,57.0,61.0,66.0,,66.2,,,,,,60.0,68.9,64.5,-2.0,6.3,0.0,,-2.7,2.0,6.0,11.0,,11.2,,,,,,5.0,13.9,9.5,False,True,,False,True,False,False,,False,,,,,,False,False,False
Virginia,1370,1350.4,1264.0,1468.9,1624.0,1341.8,1212.5,1365.7,1703.0,1558.4,,1314.8,,,,,,1476.0,1395.2,1374.2,-19.6,98.9,254.0,-28.2,-157.5,-4.3,333.0,188.4,,-55.2,,,,,,106.0,25.2,4.2,False,False,False,False,True,False,False,,False,,,,,,False,False,True
Washington,1118,1208.1,1161.3,1137.3,1238.0,,1061.4,1147.1,998.0,1108.4,,1162.8,,,,,,1203.0,1232.3,1121.5,90.1,19.3,120.0,,-56.6,29.1,-120.0,-9.6,,44.8,,,,,,85.0,114.3,3.5,True,False,,True,True,False,True,,True,,,,,,True,False,True
West Virginia,75,71.1,68.2,78.4,56.0,,66.3,79.3,81.0,89.7,,68.1,,,,,,74.0,97.0,78.9,-3.9,3.4,-19.0,,-8.7,4.3,6.0,14.7,,-6.9,,,,,,-1.0,22.0,3.9,True,False,,False,False,False,False,,False,,,,,,True,False,False
Wisconsin,588,574.3,544.8,622.9,749.0,,550.9,541.6,741.0,562.2,594.5,621.7,,,,,,617.0,611.5,529.8,-13.7,34.9,161.0,,-37.1,-46.4,153.0,-25.8,6.5,33.7,,,,,,29.0,23.5,-58.2,False,False,,False,False,False,False,True,False,,,,,,False,False,False
Wyoming,16,7.0,7.0,11.9,7.0,,6.0,10.0,15.0,12.4,,11.0,,,,,,9.0,10.4,11.3,-9.0,-4.1,-9.0,,-10.0,-6.0,-1.0,-3.6,,-5.0,,,,,,-7.0,-5.6,-4.7,True,False,,False,True,True,True,,True,,,,,,True,True,True
US,104773,115363.6,109530.9,105605.3,106425.0,105479.0,109272.0,99444.4,111885.0,104813.8,,104723.6,,,,,,,102678.6,107120.3,10590.6,832.3,1652.0,706.0,4499.0,-5328.6,7112.0,40.8,,-49.4,,,,,,,-2094.4,2347.3,True,True,True,True,True,True,True,,True,,,,,,,True,True
