,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,Geneva-DetGrowth,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Georgia,2004,2013.0,2174.0,2046.0,1980.5,1919.0,1827.6,1922.0,,,,,2078.0,2073.9,2005.4,1989.1,,2006.0,1997.0,2152.0,1948.9,1984.0,1747.0,1988.0,2003.1,9.0,170.0,42.0,-23.5,-85.0,-176.4,-82.0,,,,,74.0,69.9,1.4,-14.9,,2.0,-7.0,148.0,-55.1,-20.0,-257.0,-16.0,-0.9,False,False,False,False,False,False,,,,,False,False,True,False,,True,True,False,False,False,False,False,True
Hawaii,17,17.0,25.0,17.0,18.3,17.0,17.5,17.0,,,,,,18.8,17.2,17.9,,17.0,57.0,18.0,17.5,17.0,18.3,18.0,18.0,0.0,8.0,0.0,1.3,0.0,0.5,0.0,,,,,,1.8,0.2,0.9,,0.0,40.0,1.0,0.5,0.0,1.3,1.0,1.0,False,True,False,True,False,True,,,,,,False,False,False,,True,False,False,False,True,False,False,False
Idaho,82,84.1,106.0,85.0,83.9,82.0,79.9,81.0,85.1,,,,81.0,93.6,85.3,82.7,,76.0,,94.0,82.3,83.0,81.0,84.0,83.1,2.1,24.0,3.0,1.9,0.0,-2.1,-1.0,3.1,,,,-1.0,11.6,3.3,0.7,,-6.0,,12.0,0.3,1.0,-1.0,2.0,1.1,False,False,True,True,True,True,False,,,,True,False,False,True,,False,,False,True,True,True,True,True
Illinois,5330,5438.0,6430.0,5451.0,5475.5,5456.0,5192.3,5535.0,5364.3,,,,5695.0,5601.8,5460.7,5498.9,2718.0,4567.0,5626.0,5651.0,5500.7,5373.0,5434.8,5534.0,5441.3,108.0,1100.0,121.0,145.5,126.0,-137.7,205.0,34.3,,,,365.0,271.8,130.7,168.9,-2612.0,-763.0,296.0,321.0,170.7,43.0,104.8,204.0,111.3,False,False,False,False,False,False,True,,,,False,False,False,False,False,False,False,False,False,True,True,False,False
Indiana,2125,2168.9,2508.0,2187.0,2166.4,2145.0,2070.1,2170.0,,,,,2292.0,2100.7,2167.5,2230.3,1123.0,2268.0,2071.0,2170.0,2117.8,2136.0,2160.6,2243.0,2177.7,43.9,383.0,62.0,41.4,20.0,-54.9,45.0,,,,,167.0,-24.3,42.5,105.3,-1002.0,143.0,-54.0,45.0,-7.2,11.0,35.6,118.0,52.7,False,False,True,True,False,False,,,,,False,True,True,False,False,False,False,False,True,True,True,False,False
Iowa,531,546.0,625.0,546.0,548.2,542.0,423.5,526.0,552.8,,,,502.0,584.2,539.8,565.5,,502.0,566.0,579.0,518.2,538.0,495.6,569.0,545.0,15.0,94.0,15.0,17.2,11.0,-107.5,-5.0,21.8,,,,-29.0,53.2,8.8,34.5,,-29.0,35.0,48.0,-12.8,7.0,-35.4,38.0,14.0,False,False,False,True,False,True,False,,,,False,False,True,False,,False,False,False,True,True,False,False,True
Kansas,215,213.6,310.0,215.0,220.9,229.0,223.9,233.0,214.0,,,,244.0,238.0,213.6,218.3,,222.0,249.0,233.0,230.8,213.0,212.1,213.0,214.7,-1.4,95.0,0.0,5.9,14.0,8.9,18.0,-1.0,,,,29.0,23.0,-1.4,3.3,,7.0,34.0,18.0,15.8,-2.0,-2.9,-2.0,-0.3,False,True,False,False,False,False,True,,,,False,False,True,False,,False,False,False,False,False,False,False,True
Kentucky,431,439.9,457.0,448.0,431.3,434.0,392.6,440.0,,,,,434.0,463.4,411.3,428.9,182.5,412.0,,434.0,441.8,418.0,462.2,423.0,429.5,8.9,26.0,17.0,0.3,3.0,-38.4,9.0,,,,,3.0,32.4,-19.7,-2.1,-248.5,-19.0,,3.0,10.8,-13.0,31.2,-8.0,-1.5,False,False,True,True,False,False,,,,,True,False,False,True,False,False,,True,False,False,False,True,True
Louisiana,2786,2862.4,3076.0,2857.0,2806.4,2752.0,2714.8,2749.0,2850.7,,,,2832.0,2747.5,2898.5,2782.5,,2846.0,2775.0,2806.0,2819.9,2820.0,2806.4,2817.0,2831.8,76.4,290.0,71.0,20.4,-34.0,-71.2,-37.0,64.7,,,,46.0,-38.5,112.5,-3.5,,60.0,-11.0,20.0,33.9,34.0,20.4,31.0,45.8,False,True,True,True,True,True,True,,,,True,True,False,True,,True,True,True,True,True,True,True,True
Maine,89,84.9,98.0,84.0,86.2,94.0,77.7,87.0,90.6,,,,91.0,88.7,89.8,81.0,,80.0,,103.0,81.9,85.0,83.8,84.0,83.4,-4.1,9.0,-5.0,-2.8,5.0,-11.3,-2.0,1.6,,,,2.0,-0.3,0.8,-8.0,,-9.0,,14.0,-7.1,-4.0,-5.2,-5.0,-5.6,False,False,True,False,False,True,True,,,,True,True,True,False,,False,,False,False,True,False,False,False
Maryland,2509,2521.3,2790.0,2529.0,2529.9,2581.0,2442.4,2629.0,,,,,2667.0,2482.8,2479.3,2509.5,,2494.0,2564.0,2628.0,2546.5,2496.0,2599.8,2565.0,2508.1,12.3,281.0,20.0,20.9,72.0,-66.6,120.0,,,,,158.0,-26.2,-29.7,0.5,,-15.0,55.0,119.0,37.5,-13.0,90.8,56.0,-0.9,False,False,False,False,False,False,,,,,False,False,False,True,,False,False,False,False,False,False,False,True
Massachusetts,6768,6864.9,7871.0,6903.0,6852.7,6795.0,6613.6,6835.0,,,,,7091.0,6860.7,6838.1,6984.1,,6254.0,6799.0,6508.0,6886.3,6770.0,6602.5,6843.0,6828.4,96.9,1103.0,135.0,84.7,27.0,-154.4,67.0,,,,,323.0,92.7,70.1,216.1,,-514.0,31.0,-260.0,118.3,2.0,-165.5,75.0,60.4,False,False,True,True,False,True,,,,,False,True,True,False,,False,True,False,False,True,False,True,True
Michigan,5704,5516.9,5857.0,5565.0,5481.2,5455.0,5348.9,5422.0,5587.6,,,,5496.0,5544.3,5513.8,5469.2,10185.5,5232.0,5435.0,5500.0,5490.0,5429.0,5360.8,5409.5,5469.3,50.9,391.0,99.0,15.2,-11.0,-117.1,-44.0,121.6,,,,30.0,78.3,47.8,3.2,4719.5,-234.0,-31.0,34.0,24.0,-37.0,-105.2,-56.5,3.3,False,False,True,True,False,True,False,,,,True,False,True,True,False,False,True,True,True,True,False,False,True
Minnesota,1036,1004.0,1332.0,1013.0,1063.2,1221.0,1021.8,1192.0,1024.4,,,,999.0,1091.4,1018.0,1041.2,1023.0,996.0,1083.0,1210.0,1027.1,996.0,1026.4,1021.0,1004.5,-32.0,296.0,-23.0,27.2,185.0,-14.2,156.0,-11.6,,,,-37.0,55.4,-18.0,5.2,-13.0,-40.0,47.0,174.0,-8.9,-40.0,-9.6,-15.0,-31.5,False,True,True,False,True,False,True,,,,False,False,True,True,True,False,False,False,True,False,True,True,True
Mississippi,723,714.1,817.0,722.0,716.9,674.0,698.9,703.0,757.8,,,,649.0,731.4,723.4,732.8,,718.0,758.0,748.0,687.6,710.0,681.9,733.0,719.3,-8.9,94.0,-1.0,-6.1,-49.0,-24.1,-20.0,34.8,,,,-74.0,8.4,0.4,9.8,,-5.0,35.0,25.0,-35.4,-13.0,-41.1,10.0,-3.7,False,True,True,False,False,False,False,,,,False,True,True,False,,True,False,False,False,False,False,False,True
Missouri,812,759.7,887.0,770.0,760.0,727.0,689.5,764.0,761.1,,,,825.0,785.2,756.8,764.5,,822.0,804.0,783.0,776.5,743.0,708.4,776.0,765.1,29.7,157.0,40.0,30.0,-3.0,-40.5,34.0,31.1,,,,95.0,55.2,26.8,34.5,,92.0,74.0,53.0,46.5,13.0,-21.6,46.0,35.1,False,False,False,True,False,False,False,,,,False,False,True,False,,False,False,False,False,True,True,False,False
Montana,17,16.0,22.0,16.0,17.4,16.0,16.3,16.0,16.3,,,,16.0,22.1,16.3,16.8,,20.0,40.0,17.0,16.9,16.0,17.3,17.0,16.5,-1.0,5.0,-1.0,0.4,-1.0,-0.7,-1.0,-0.7,,,,-1.0,5.1,-0.7,-0.2,,3.0,23.0,0.0,-0.1,-1.0,0.3,0.0,-0.5,False,False,True,False,True,False,True,,,,False,False,True,True,,False,False,True,True,False,True,True,True
Nebraska,170,167.6,273.0,171.0,182.9,237.0,168.6,184.0,183.4,,,,229.0,202.3,163.0,178.7,,168.0,,224.0,179.9,166.0,156.8,166.0,170.4,-2.4,103.0,1.0,12.9,67.0,-1.4,14.0,13.4,,,,59.0,32.3,-7.0,8.7,,-2.0,,54.0,9.9,-4.0,-13.2,-4.0,0.4,False,True,False,False,True,False,False,,,,False,False,False,False,,True,,False,False,False,False,False,True
Nevada,417,405.7,461.0,427.0,420.9,431.0,382.8,417.0,,,,,469.0,455.3,433.8,419.7,,426.0,,472.0,410.2,404.0,416.2,429.0,405.2,-11.3,44.0,10.0,3.9,14.0,-34.2,0.0,,,,,52.0,38.3,16.8,2.7,,9.0,,55.0,-6.8,-13.0,-0.8,12.0,-11.8,False,True,True,False,False,True,,,,,False,False,False,True,,True,,False,True,False,True,False,False
New Hampshire,238,240.7,259.0,245.0,246.7,236.0,185.9,251.0,,,,,244.0,260.7,244.4,262.1,,240.0,286.0,252.0,236.5,238.0,234.3,253.0,242.1,2.7,21.0,7.0,8.7,-2.0,-52.1,13.0,,,,,6.0,22.7,6.4,24.1,,2.0,48.0,14.0,-1.5,0.0,-3.7,15.0,4.1,False,False,False,True,False,False,,,,,False,False,False,False,,True,False,False,True,True,False,False,False
New Jersey,13450,11802.3,13341.0,11903.0,11705.6,11569.0,11412.3,11667.0,,,,,11986.0,11689.5,11669.3,11788.9,,11867.5,12245.0,11326.0,11749.1,11636.0,11391.2,11768.0,11774.0,141.3,1680.0,242.0,44.6,-92.0,-248.7,6.0,,,,,325.0,28.5,8.3,127.9,,206.5,584.0,-335.0,88.1,-25.0,-269.8,107.0,113.0,False,False,True,True,False,True,,,,,False,True,True,True,,False,False,False,True,True,False,True,True
New Mexico,351,361.6,383.0,345.0,359.6,319.0,299.8,368.0,,,,,349.0,368.2,371.6,357.5,,358.0,,357.0,358.9,361.0,354.6,372.0,364.2,10.6,32.0,-6.0,8.6,-32.0,-51.2,17.0,,,,,-2.0,17.2,20.6,6.5,,7.0,,6.0,7.9,10.0,3.6,21.0,13.2,False,True,True,False,False,False,,,,,True,False,False,True,,True,,True,True,True,True,False,False
New York,30649,29920.1,33004.0,30013.0,29836.1,30014.0,29945.9,29513.0,,,,,30320.0,29206.6,29958.0,29705.2,,28327.0,28983.0,29980.0,29933.7,29724.0,28940.6,29850.5,29865.8,255.1,3339.0,348.0,171.1,349.0,280.9,-152.0,,,,,655.0,-458.4,293.0,40.2,,-1338.0,-682.0,315.0,268.7,59.0,-724.4,185.5,200.8,False,False,True,False,False,True,,,,,False,False,False,True,,False,False,False,False,True,False,True,True
North Carolina,929,868.0,1124.0,880.0,904.0,1018.0,791.9,932.0,,,,,848.0,920.2,885.4,878.5,,850.0,842.0,1152.0,898.4,874.0,908.8,866.0,867.2,-61.0,195.0,-49.0,-25.0,89.0,-137.1,3.0,,,,,-81.0,-8.8,-43.6,-50.5,,-79.0,-87.0,223.0,-30.6,-55.0,-20.2,-63.0,-61.8,False,True,True,False,False,True,,,,,False,True,True,True,,False,False,False,True,True,True,False,False
North Dakota,60,61.6,73.0,62.0,64.7,70.0,52.1,63.0,62.7,,,,78.0,74.9,64.4,63.4,,60.0,149.0,69.0,59.4,62.0,62.3,67.0,61.4,1.6,13.0,2.0,4.7,10.0,-7.9,3.0,2.7,,,,18.0,14.9,4.4,3.4,,0.0,89.0,9.0,-0.6,2.0,2.3,7.0,1.4,False,False,False,False,False,False,False,,,,False,False,False,False,,True,False,False,True,False,False,False,True
Ohio,2149,2263.9,2098.0,2302.0,2250.2,2193.0,2082.4,2178.0,,,,,2198.0,2475.6,2220.4,2292.9,684.5,2250.0,,2230.0,2165.3,2217.0,2279.4,2280.5,2242.7,114.9,-51.0,153.0,101.2,44.0,-66.6,29.0,,,,,49.0,326.6,71.4,143.9,-1464.5,101.0,,81.0,16.3,68.0,130.4,131.5,93.7,True,False,True,True,True,True,,,,,True,False,True,False,False,True,,True,True,True,False,False,True
Oklahoma,334,330.7,374.0,334.0,332.4,325.0,312.7,336.0,333.3,,,,313.0,361.4,332.6,326.3,,323.5,,358.0,328.8,328.0,340.4,327.0,329.4,-3.3,40.0,0.0,-1.6,-9.0,-21.3,2.0,-0.7,,,,-21.0,27.4,-1.4,-7.7,,-10.5,,24.0,-5.2,-6.0,6.4,-7.0,-4.6,False,True,True,False,False,True,True,,,,False,False,True,False,,False,,False,False,False,False,False,False
Oregon,153,157.4,203.0,157.0,159.1,163.0,151.4,160.0,168.0,,,,153.0,177.6,154.4,155.8,,158.0,183.0,154.0,159.7,155.0,161.4,155.0,155.7,4.4,50.0,4.0,6.1,10.0,-1.6,7.0,15.0,,,,0.0,24.6,1.4,2.8,,5.0,30.0,1.0,6.7,2.0,8.4,2.0,2.7,False,True,False,False,True,False,False,,,,True,False,True,True,,False,False,True,False,True,False,True,True
Pennsylvania,5537,5685.4,5918.0,5744.0,5648.8,5517.0,5235.9,5690.0,,,,,5401.0,5787.3,5603.0,5798.4,,6013.0,5890.0,5378.0,5597.6,5569.0,5050.9,5622.5,5647.4,148.4,381.0,207.0,111.8,-20.0,-301.1,153.0,,,,,-136.0,250.3,66.0,261.4,,476.0,353.0,-159.0,60.6,32.0,-486.1,85.5,110.4,False,False,True,True,False,False,,,,,True,False,True,False,,False,False,False,True,True,False,True,True
Rhode Island,711,701.4,728.0,705.0,689.8,650.0,586.0,655.0,737.2,,,,671.0,723.4,678.8,695.2,,604.0,707.0,662.0,670.6,689.0,583.1,691.0,693.4,1.4,28.0,5.0,-10.2,-50.0,-114.0,-45.0,37.2,,,,-29.0,23.4,-21.2,-4.8,,-96.0,7.0,-38.0,-29.4,-11.0,-116.9,-9.0,-6.6,False,False,False,False,False,False,False,,,,False,False,False,False,,False,False,False,False,False,False,False,False
South Carolina,487,477.9,523.0,470.0,481.8,469.0,428.3,490.0,,,,,458.0,498.9,492.3,472.5,,480.0,517.0,516.0,476.5,476.0,476.4,484.0,478.9,-9.1,36.0,-17.0,-5.2,-18.0,-58.7,3.0,,,,,-29.0,11.9,5.3,-14.5,,-7.0,30.0,29.0,-10.5,-11.0,-10.6,-3.0,-8.1,False,False,True,False,False,True,,,,,False,False,True,False,,True,False,False,False,False,False,True,True
South Dakota,62,55.1,101.0,56.0,58.3,57.0,56.5,60.0,57.2,,,,62.0,68.5,59.0,58.1,,42.0,84.0,85.0,55.2,56.0,55.3,58.0,57.3,-6.9,39.0,-6.0,-3.7,-5.0,-5.5,-2.0,-4.8,,,,0.0,6.5,-3.0,-3.9,,-20.0,22.0,23.0,-6.8,-6.0,-6.7,-4.0,-4.7,False,True,True,True,True,True,True,,,,True,True,True,True,,False,False,False,True,True,True,True,True
Tennessee,364,368.6,542.0,363.0,371.5,400.0,357.8,367.0,367.6,,,,382.0,387.4,366.2,365.6,,352.0,,466.0,357.6,370.0,364.5,376.0,368.6,4.6,178.0,-1.0,7.5,36.0,-6.2,3.0,3.6,,,,18.0,23.4,2.2,1.6,,-12.0,,102.0,-6.4,6.0,0.5,12.0,4.6,False,True,False,False,False,True,True,,,,False,False,True,True,,False,,False,False,False,True,False,False
Texas,1809,1686.6,2159.0,1638.0,1710.8,1740.0,1580.5,1681.0,1676.7,,,,1772.0,1856.6,1674.7,1649.9,,1788.0,1772.0,1555.0,1722.5,1696.0,1710.5,1735.0,1712.5,-6.4,466.0,-55.0,17.8,47.0,-112.5,-12.0,-16.3,,,,79.0,163.6,-18.3,-43.1,,95.0,79.0,-138.0,29.5,3.0,17.5,42.0,19.5,False,False,False,False,False,False,False,,,,False,False,False,False,,False,False,False,False,True,False,False,False
Utah,112,111.6,182.0,116.0,114.7,126.0,108.1,108.0,127.9,,,,102.0,124.6,110.0,114.6,,112.0,147.0,166.0,110.4,109.0,108.8,118.0,111.2,-0.4,70.0,4.0,2.7,14.0,-3.9,-4.0,15.9,,,,-10.0,12.6,-2.0,2.6,,0.0,35.0,54.0,-1.6,-3.0,-3.2,6.0,-0.8,False,False,False,False,False,False,False,,,,False,False,False,False,,True,False,False,False,False,False,False,False
Vermont,55,54.0,66.0,55.0,56.2,54.0,54.8,55.0,55.0,,,,54.0,57.3,54.8,56.1,,57.0,,55.0,57.2,54.0,56.1,55.0,55.7,-1.0,11.0,0.0,1.2,-1.0,-0.2,0.0,-0.0,,,,-1.0,2.3,-0.2,1.1,,2.0,,0.0,2.2,-1.0,1.1,0.0,0.7,False,True,False,False,True,True,True,,,,False,False,True,False,,False,,True,False,False,False,True,True
Virginia,1370,1309.0,1570.0,1315.0,1335.5,1438.0,1209.2,1361.0,1309.7,,,,1353.0,1443.8,1267.9,1314.6,,1265.0,1404.0,1402.0,1315.5,1306.0,1404.2,1315.0,1301.7,-61.0,200.0,-55.0,-34.5,68.0,-160.8,-9.0,-60.3,,,,-17.0,73.8,-102.1,-55.4,,-105.0,34.0,32.0,-54.5,-64.0,34.2,-55.0,-68.3,False,True,True,False,False,True,True,,,,True,False,False,True,,False,True,True,True,False,True,True,False
Washington,1117,1112.4,1268.0,1101.0,1106.2,1108.0,1078.0,1098.0,,,,,1150.0,1130.1,1120.1,1097.4,,1098.0,1136.0,1106.0,1102.5,1104.0,1083.8,1099.0,1104.8,18.4,174.0,7.0,12.2,14.0,-16.0,4.0,,,,,56.0,36.1,26.1,3.4,,4.0,42.0,12.0,8.5,10.0,-10.2,5.0,10.8,False,True,True,True,True,True,,,,,False,False,False,True,,True,False,True,True,True,True,True,True
West Virginia,75,76.3,90.0,80.0,80.8,73.0,72.2,78.0,83.3,,,,74.0,95.6,90.9,79.3,,78.0,99.0,104.0,79.5,78.0,78.2,77.0,77.2,1.3,15.0,5.0,5.8,-2.0,-2.8,3.0,8.3,,,,-1.0,20.6,15.9,4.3,,3.0,24.0,29.0,4.5,3.0,3.2,2.0,2.2,False,False,False,False,False,False,False,,,,True,False,False,False,,False,False,False,False,False,False,False,False
Wisconsin,645,558.9,677.0,561.0,573.2,617.0,521.0,595.0,577.7,,,,580.0,604.6,567.9,553.2,375.5,553.0,587.0,679.0,558.8,560.0,587.0,554.0,552.0,-32.1,86.0,-30.0,-17.8,26.0,-70.0,4.0,-13.3,,,,-11.0,13.6,-23.1,-37.8,-215.5,-38.0,-4.0,88.0,-32.2,-31.0,-4.0,-37.0,-39.0,False,True,True,True,False,True,True,,,,True,True,True,False,False,False,True,False,False,True,True,False,False
Wyoming,16,15.4,18.0,17.0,13.8,12.0,11.9,13.0,15.3,,,,12.0,17.2,13.1,14.4,,8.0,0.0,16.0,12.5,13.0,13.2,15.0,14.0,-0.6,2.0,1.0,-2.2,-4.0,-4.1,-3.0,-0.7,,,,-4.0,1.2,-2.9,-1.6,,-8.0,-16.0,0.0,-3.5,-3.0,-2.8,-1.0,-2.0,False,False,False,False,False,False,False,,,,False,False,False,False,,False,False,True,False,False,False,False,False
US,107022,104712.6,,105420.0,104492.2,104883.0,100779.1,104181.0,104586.8,103022.0,104662.0,104671.0,106274.0,105826.0,104085.2,104240.8,,101674.0,,105547.0,104204.1,103684.0,101873.8,104735.5,104436.0,986.6,,1694.0,766.2,1157.0,-2946.9,455.0,860.8,-704.0,936.0,945.0,2548.0,2100.0,359.2,514.8,,-2052.0,,1821.0,478.1,-42.0,-1852.2,1009.5,710.0,,False,True,False,False,True,True,True,True,True,False,False,True,True,,False,,False,True,True,False,False,True
