,Truth,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,GT-DeepCOVID,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,UA-EpiCovDA,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_10_increase,UChicago-CovidIL_30_increase,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch
Georgia,2004.0,1988.9,1946.6,2174.0,1903.5,1766.0,1977.6,1934.2,1823.0,2395.6,1821.6,1820.0,1909.5,,1999.0,1855.0,1877.8,,,,,1880.0,1708.8,1792.5,1964.1
Hawaii,17.0,17.0,17.0,25.0,19.8,18.0,,19.0,,23.2,17.5,19.0,19.7,,17.0,19.0,19.4,,,,,17.0,18.7,19.4,19.9
Idaho,82.0,84.1,82.9,106.0,85.3,81.0,82.0,80.7,74.0,142.4,84.8,80.0,82.3,,76.0,100.0,87.7,,,,,80.0,79.2,86.0,80.9
Illinois,5330.0,5608.9,5449.0,6430.0,5663.4,5533.0,5567.5,5954.1,5871.0,8356.0,5193.7,6105.0,5773.7,5642.5,6033.0,5380.0,5576.0,6651.0,6663.9,6651.0,6666.1,5394.0,5212.6,5094.4,5697.9
Indiana,2125.0,2202.3,2151.9,2508.0,2259.8,2013.0,2466.1,1967.7,2181.0,2258.9,2149.1,2317.0,2510.2,2830.0,2462.0,2340.0,2065.7,,,,,2145.0,2203.2,2138.4,2265.9
Iowa,531.0,510.7,492.9,625.0,564.2,506.0,543.5,538.6,463.0,1008.8,470.4,546.0,605.8,,626.0,486.0,516.7,,,,,487.0,402.5,534.3,551.3
Kansas,215.0,234.0,229.6,310.0,236.1,240.0,221.7,243.7,240.0,359.4,213.2,342.0,233.5,,228.0,216.0,235.9,,,,,219.0,287.2,226.1,228.2
Kentucky,431.0,389.7,383.5,457.0,402.1,440.0,399.3,419.4,399.0,466.3,391.6,481.0,398.9,367.0,412.0,513.0,386.4,,,,,379.0,464.1,378.9,388.7
Louisiana,2786.0,2871.7,2829.2,3076.0,2815.5,2618.0,2773.0,2845.9,2720.0,2843.7,3014.5,2520.0,2736.2,,2801.5,2758.0,2772.0,,,,,2813.0,2647.7,2647.6,2813.3
Maine,89.0,81.1,79.9,98.0,88.1,95.0,81.8,78.0,120.0,119.7,92.9,95.0,78.2,,72.0,111.0,85.8,,,,,83.0,87.3,81.4,81.2
Maryland,2509.0,2638.3,2566.1,2790.0,2584.5,2458.0,,2567.5,2680.0,3009.4,2489.3,2973.0,2639.2,,2620.0,2809.0,2589.4,,,,,2540.0,2487.6,2438.9,2563.6
Massachusetts,6768.0,7316.1,7146.6,7871.0,7222.9,6753.0,,7281.7,7429.0,8175.7,6987.4,7511.0,7685.2,,7309.0,7631.0,7221.5,,,,,7037.0,6270.8,6662.3,7054.2
Michigan,5704.0,5757.3,5686.6,5857.0,5501.9,5371.0,5439.9,5530.7,5512.5,5438.3,5653.2,5626.0,5566.2,5243.0,5138.0,5338.0,5489.9,,,,,5313.0,4811.6,5184.1,5448.8
Minnesota,1036.0,1015.1,983.4,1332.0,1086.7,1560.0,,1094.8,945.0,817.2,1007.5,1765.0,1158.9,1236.5,1056.0,1473.0,1057.6,,,,,1019.0,1307.2,1088.9,1020.9
Mississippi,723.0,690.0,671.1,817.0,717.4,652.0,,711.8,576.0,959.2,682.3,687.0,764.7,,786.0,794.0,671.1,,,,,691.0,656.1,653.7,722.7
Missouri,812.0,870.7,851.4,887.0,777.2,690.0,,856.7,815.0,911.1,742.3,752.0,764.5,,825.0,784.0,731.1,,,,,749.0,678.6,752.1,801.1
Montana,17.0,16.0,16.0,22.0,19.9,17.0,17.5,12.0,16.0,42.6,16.6,16.0,18.2,,16.0,18.0,18.1,,,,,16.0,17.6,19.9,17.7
Nebraska,170.0,184.3,177.4,273.0,214.4,269.0,,156.5,244.0,367.7,146.5,244.0,201.0,,144.0,433.0,213.7,,,,,179.0,137.9,175.1,178.6
Nevada,417.0,424.3,416.0,461.0,429.5,400.0,,438.8,470.0,234.1,437.8,407.0,417.0,,454.0,380.0,419.7,,,,,424.0,408.1,413.3,423.0
New Hampshire,238.0,244.4,236.3,259.0,251.7,242.0,307.2,243.0,235.0,363.6,221.1,252.0,308.4,,318.0,182.0,238.9,,,,,252.0,224.9,248.3,251.8
New Jersey,11634.0,12418.9,12189.4,13341.0,11998.8,11365.0,,12266.3,12365.0,12816.0,11582.1,11834.0,12057.2,,12310.0,11696.0,11708.7,,,,,11780.0,10774.1,11230.6,12127.3
New Mexico,351.0,385.7,372.2,383.0,374.7,265.0,,371.3,318.0,388.9,354.0,391.0,421.2,,404.0,388.0,407.0,,,,,375.0,354.8,372.9,388.1
New York,29710.0,31186.7,30856.9,33004.0,30502.8,29100.0,,30633.5,31506.0,26931.9,30461.1,29722.0,30253.0,,27215.5,25465.0,30172.4,,,,,30004.0,28752.6,29279.9,30271.5
North Carolina,929.0,912.6,887.3,1124.0,957.2,1076.0,,996.4,689.0,1240.3,933.9,1069.0,902.7,,941.0,1345.0,900.7,,,,,922.0,969.2,865.6,898.2
North Dakota,60.0,57.9,56.2,73.0,63.6,37.0,,69.2,65.0,63.0,66.2,64.0,66.6,,56.0,120.0,55.3,,,,,62.0,62.8,60.4,60.9
Ohio,2149.0,2152.4,2093.6,2098.0,2069.9,2061.0,,2195.5,2020.0,2822.4,2009.3,2055.0,2189.6,2167.0,2402.0,2016.0,2057.0,,,,,2036.0,2193.5,2000.4,2153.7
Oklahoma,334.0,317.7,314.4,374.0,334.3,317.0,316.2,332.2,288.0,394.8,351.7,362.0,329.8,,358.0,410.0,346.5,,,,,324.0,351.1,306.6,328.5
Oregon,153.0,155.6,153.5,203.0,162.3,176.0,,175.6,153.0,292.4,154.9,175.0,161.5,,161.0,172.0,167.3,,,,,156.0,166.5,155.4,155.6
Pennsylvania,5537.0,5774.6,5631.7,5918.0,5687.4,5299.0,5587.0,6347.1,5865.0,6436.7,5320.5,6200.0,6435.4,,6450.0,5722.0,5467.3,,,,,5505.0,4805.0,5289.7,5759.1
Rhode Island,711.0,642.0,626.0,728.0,657.3,940.0,,627.5,774.0,144.6,622.5,592.0,689.5,,664.0,656.0,646.2,,,,,615.0,521.0,596.5,640.5
South Carolina,487.0,485.3,474.1,523.0,483.9,463.0,,455.5,391.0,596.6,506.0,546.0,524.9,,569.5,416.0,474.5,,,,,470.0,468.2,463.7,498.7
South Dakota,62.0,62.6,60.5,101.0,83.1,72.0,,76.2,92.0,184.0,55.2,65.0,73.8,,52.5,101.0,55.0,,,,,61.0,52.2,92.9,63.7
Tennessee,364.0,400.1,388.7,542.0,412.4,422.0,,371.3,432.0,664.1,335.0,387.0,396.3,,320.0,481.0,390.0,,,,,364.0,374.7,360.2,362.3
Texas,1652.0,1805.4,1753.8,2159.0,1872.3,1813.0,,1873.3,1625.0,2813.7,1717.5,1604.0,1745.6,,1727.0,2863.0,1785.1,,,,,1904.0,1772.7,1719.7,1873.1
Utah,112.0,104.1,101.4,182.0,120.6,134.0,,102.4,87.0,265.7,104.2,100.0,101.2,,114.0,210.0,98.1,,,,,105.0,104.1,112.0,107.1
Vermont,55.0,55.9,55.6,66.0,58.6,55.0,,49.0,53.0,74.9,55.9,57.0,59.1,,59.0,56.0,62.4,,,,,56.0,61.0,58.9,59.2
Virginia,1370.0,1327.6,1292.1,1570.0,1341.2,1550.0,1328.4,1386.5,1296.0,1601.6,1281.5,1556.0,1345.9,,1417.5,1850.0,1309.5,,,,,1362.0,1417.7,1257.9,1323.5
Washington,1118.0,1131.0,1116.5,1268.0,1143.0,1157.0,1170.0,1138.9,1187.5,1766.5,1117.2,1063.0,1114.2,,1154.0,1839.0,1105.2,,,,,1106.0,1083.6,1128.9,1111.3
West Virginia,75.0,91.1,88.4,90.0,86.3,66.0,,79.0,63.0,146.6,83.3,79.0,93.0,,72.0,84.0,81.9,,,,,87.0,79.3,90.0,84.6
Wisconsin,588.0,551.4,540.4,677.0,572.6,700.0,,565.2,587.0,902.1,566.5,694.0,545.4,594.5,528.0,863.0,556.5,,,,,559.0,631.0,540.2,540.0
Wyoming,16.0,9.9,9.6,18.0,12.8,7.0,,4.0,7.0,34.2,10.3,11.0,9.6,,8.0,15.0,9.8,,,,,10.0,7.1,9.9,10.0
US,104054.0,108533.1,106452.4,,104399.3,103428.0,103124.9,108568.5,107180.0,121273.9,103461.3,107810.0,104442.9,,105802.0,107550.0,106568.4,,,,,104694.0,99550.6,101059.5,106431.8
