,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,MITCovAlliance-SIR,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Iowa,1716,1591.3,11683.0,2050.0,,2573.2,1729.0,2048.8,1573.2,1296.3,,1587.1,1745.9,1553.0,1376.2,1686.4,-124.7,9967.0,334.0,,857.2,13.0,332.8,-142.8,-419.7,,-128.9,29.9,-163.0,-339.8,-29.6,False,False,,False,True,False,False,False,,False,True,False,False,True
Kansas,1029,732.4,1276.0,806.0,,798.0,638.0,719.6,732.2,518.3,,726.6,726.0,652.0,562.5,669.9,-296.6,247.0,-223.0,,-231.0,-391.0,-309.4,-296.8,-510.7,,-302.4,-303.0,-377.0,-466.5,-359.1,True,True,,True,False,False,False,False,,False,False,False,False,False
Kentucky,1485,1522.4,2394.0,1609.8,,2051.8,1247.0,1486.4,1387.9,1175.4,,1611.0,1694.5,1520.0,1170.4,1396.8,37.4,909.0,124.8,,566.8,-238.0,1.4,-97.1,-309.6,,126.0,209.5,35.0,-314.6,-88.2,False,False,,False,False,True,False,False,,False,False,True,False,False
Louisiana,5919,6365.9,6578.0,5714.7,,7035.6,5988.0,5737.8,6580.7,5593.2,,6088.6,6231.3,5555.0,5598.0,5835.4,446.9,659.0,-204.3,,1116.6,69.0,-181.2,661.7,-325.8,,169.6,312.3,-364.0,-321.0,-83.6,False,True,,False,True,True,False,True,,True,True,True,True,True
Maine,147,149.7,251.0,150.5,,168.5,180.0,159.4,192.0,136.5,,143.2,187.2,154.0,146.6,149.7,2.7,104.0,3.5,,21.5,33.0,12.4,45.0,-10.5,,-3.8,40.2,7.0,-0.4,2.7,False,False,,False,False,False,False,False,,False,False,False,True,False
Maryland,4147,4168.3,4098.0,4185.2,,4591.3,4030.0,4141.3,4075.6,4025.7,,4023.6,5255.6,4243.0,3964.1,4146.5,21.3,-49.0,38.2,,444.3,-117.0,-5.7,-71.4,-121.3,,-123.4,1108.6,96.0,-182.9,-0.5,False,False,,False,False,True,False,False,,False,False,False,False,True
Massachusetts,9991,9722.1,9299.0,12123.8,,10881.1,9350.0,9936.9,9463.1,9439.2,,9302.6,11790.4,9221.0,9383.9,9532.8,-268.9,-692.0,2132.8,,890.1,-641.0,-54.1,-527.9,-551.8,,-688.4,1799.4,-770.0,-607.1,-458.2,False,False,,False,False,True,False,False,,False,False,False,False,False
Michigan,7699,7261.7,8469.0,7380.6,,7966.2,7434.0,7462.4,7338.4,7452.3,,7222.6,8608.4,7310.0,6968.1,7241.7,-437.3,770.0,-318.4,,267.2,-265.0,-236.6,-360.6,-246.7,,-476.4,909.4,-389.0,-730.9,-457.3,False,True,,True,True,True,True,True,,False,False,True,False,False
Minnesota,2511,2254.7,3747.0,2356.2,,3264.3,2223.0,2392.3,2158.8,2103.1,,2251.6,3015.7,2322.0,1986.9,2265.7,-256.3,1236.0,-154.8,,753.3,-288.0,-118.7,-352.2,-407.9,,-259.4,504.7,-189.0,-524.1,-245.3,False,True,,False,False,True,False,False,,False,False,True,False,True
Mississippi,3334,3707.6,3823.0,3523.7,,3722.8,3732.0,3387.7,3576.0,2994.7,,3254.1,3357.9,3313.0,3118.3,3208.2,373.6,489.0,189.7,,388.8,398.0,53.7,242.0,-339.3,,-79.9,23.9,-21.0,-215.7,-125.8,False,True,,False,False,True,True,True,,True,True,True,True,True
Missouri,3026,2879.3,3169.0,2849.3,,2435.5,2102.0,2300.5,2665.4,2127.7,,2301.4,3375.1,2833.0,1873.5,2342.8,-146.7,143.0,-176.7,,-590.5,-924.0,-725.5,-360.6,-898.3,,-724.6,349.1,-193.0,-1152.5,-683.2,True,False,,False,False,False,False,False,,False,False,False,False,False
Montana,375,219.1,563.0,249.1,,167.4,267.0,212.2,337.8,152.1,,175.0,225.3,245.0,151.1,209.0,-155.9,188.0,-125.9,,-207.6,-108.0,-162.8,-37.2,-222.9,,-200.0,-149.7,-130.0,-223.9,-166.0,False,True,,False,True,False,True,False,,False,True,True,False,False
Nebraska,652,498.3,675.0,566.1,,554.9,533.0,542.7,616.9,462.1,,469.2,534.4,505.0,458.2,513.5,-153.7,23.0,-85.9,,-97.1,-119.0,-109.3,-35.1,-189.9,,-182.8,-117.6,-147.0,-193.8,-138.5,True,True,,True,True,True,True,False,,False,True,True,False,True
Nevada,1777,2072.6,1753.0,1782.9,,2330.6,1905.0,1802.5,2256.6,1483.3,,1976.8,1743.8,1720.0,1726.0,1862.3,295.6,-24.0,5.9,,553.6,128.0,25.5,479.6,-293.7,,199.8,-33.2,-57.0,-51.0,85.3,True,True,,False,True,True,False,True,,True,True,True,True,True
