,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7979,7995.1,7692.8,7914.5,7918.0,8009.2,7896.0,7794.0,7807.0,7919.3,8012.0,7972.0,7867.9,7928.9,7946.0,7817.9,7860.9,7952.4,7818.6,7898.7,7839.5,7892.8,7874.0,7830.7,,8033.0,7862.8,7767.0,,8288.0,7827.8,,8027.0,7772.9,8031.0,8003.7,,7785.1,7928.0,8071.6,7771.0,7813.0,7711.6,7946.0,7668.0,16.1,-286.2,-64.5,-61.0,30.2,-83.0,-185.0,-172.0,-59.7,33.0,-7.0,-111.1,-50.1,-33.0,-161.1,-118.1,-26.6,-160.4,-80.3,-139.5,-86.2,-105.0,-148.3,,54.0,-116.2,-212.0,,309.0,-151.2,,48.0,-206.1,52.0,24.7,,-193.9,-51.0,92.6,-208.0,-166.0,-267.4,-33.0,-311.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False
Hawaii,219,248.6,350.6,242.8,217.0,241.0,199.0,182.0,194.0,171.9,178.0,221.3,,208.6,,190.0,175.9,390.5,245.5,206.2,202.9,197.4,196.0,178.5,,190.6,217.6,196.0,,,175.0,,196.0,206.9,238.0,181.5,,173.1,220.0,227.8,232.0,231.0,192.2,217.5,192.0,29.6,131.6,23.8,-2.0,22.0,-20.0,-37.0,-25.0,-47.1,-41.0,2.3,,-10.4,,-29.0,-43.1,171.5,26.5,-12.8,-16.1,-21.6,-23.0,-40.5,,-28.4,-1.4,-23.0,,,-44.0,,-23.0,-12.1,19.0,-37.5,,-45.9,1.0,8.8,13.0,12.0,-26.8,-1.5,-27.0,False,True,True,True,True,False,True,False,False,True,,True,,True,False,False,True,True,True,True,True,False,,True,True,True,,,False,,True,True,True,False,,False,True,True,True,True,True,True,True
Idaho,629,566.9,617.7,562.3,586.0,560.0,573.0,640.0,748.0,579.3,577.0,545.0,570.5,581.9,574.0,601.1,634.4,640.1,625.1,583.7,541.3,591.2,626.0,535.8,,610.4,595.4,538.0,,,491.3,,573.0,469.2,644.0,562.4,,539.9,593.0,557.1,593.0,536.0,541.0,575.5,502.0,-62.1,-11.3,-66.7,-43.0,-69.0,-56.0,11.0,119.0,-49.7,-52.0,-84.0,-58.5,-47.1,-55.0,-27.9,5.4,11.1,-3.9,-45.3,-87.7,-37.8,-3.0,-93.2,,-18.6,-33.6,-91.0,,,-137.7,,-56.0,-159.8,15.0,-66.6,,-89.1,-36.0,-71.9,-36.0,-93.0,-88.0,-53.5,-127.0,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,,True,True,False,,,False,,True,False,True,False,,False,True,False,True,False,False,True,False
Illinois,10040,9792.1,10000.4,9750.2,9709.0,9787.2,9640.0,9829.0,9666.0,9540.2,9565.0,9577.1,9714.1,9457.6,9596.0,9767.2,9812.2,10214.8,9723.8,9714.8,9470.2,9807.3,9583.0,9613.6,9551.0,9516.4,9980.8,9624.5,,9519.6,9686.7,,9719.0,9982.5,9900.0,9625.6,,9622.5,9676.0,9861.7,9884.0,10123.0,9072.1,9717.3,9294.0,-247.9,-39.6,-289.8,-331.0,-252.8,-400.0,-211.0,-374.0,-499.8,-475.0,-462.9,-325.9,-582.4,-444.0,-272.8,-227.8,174.8,-316.2,-325.2,-569.8,-232.7,-457.0,-426.4,-489.0,-523.6,-59.2,-415.5,,-520.4,-353.3,,-321.0,-57.5,-140.0,-414.4,,-417.5,-364.0,-178.3,-156.0,83.0,-967.9,-322.7,-746.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,,False,False,,False,True,True,False,,False,False,True,True,True,False,False,False
Indiana,4332,4036.6,4025.0,4029.3,4017.0,4037.7,4025.0,4161.0,4025.0,3976.2,4001.0,3934.6,3901.1,3938.2,4025.0,4003.0,4087.6,4155.4,4026.7,4002.4,3950.3,4078.7,4009.0,4110.2,3726.0,3962.1,4185.9,3969.0,,3905.2,3829.6,,4006.0,4961.3,4164.0,3952.1,,4120.3,4102.0,4049.1,4054.0,4118.0,3638.7,4126.9,3900.0,-295.4,-307.0,-302.7,-315.0,-294.3,-307.0,-171.0,-307.0,-355.8,-331.0,-397.4,-430.9,-393.8,-307.0,-329.0,-244.4,-176.6,-305.3,-329.6,-381.7,-253.3,-323.0,-221.8,-606.0,-369.9,-146.1,-363.0,,-426.8,-502.4,,-326.0,629.3,-168.0,-379.9,,-211.7,-230.0,-282.9,-278.0,-214.0,-693.3,-205.1,-432.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,,False,False,,False,False,True,False,,True,True,True,True,True,False,True,False
Iowa,1716,1660.9,1731.2,1647.4,1647.0,1648.8,1619.0,1514.0,1595.0,1588.8,1643.0,1593.8,1634.2,1580.5,1597.0,1679.4,1649.1,1672.5,1652.2,1682.4,1504.1,1653.7,1684.0,1667.3,,1522.7,1663.8,1542.0,,1577.4,1505.8,,1619.0,1791.1,1649.0,1624.5,,1673.6,1585.0,1600.8,1693.0,1674.0,1507.5,1639.1,1585.0,-55.1,15.2,-68.6,-69.0,-67.2,-97.0,-202.0,-121.0,-127.2,-73.0,-122.2,-81.8,-135.5,-119.0,-36.6,-66.9,-43.5,-63.8,-33.6,-211.9,-62.3,-32.0,-48.7,,-193.3,-52.2,-174.0,,-138.6,-210.2,,-97.0,75.1,-67.0,-91.5,,-42.4,-131.0,-115.2,-23.0,-42.0,-208.5,-76.9,-131.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,,False,True,False,,False,False,,False,False,False,False,,True,False,False,True,True,False,False,False
Kansas,1029,902.1,912.5,899.3,889.0,910.0,883.0,833.0,983.0,868.6,837.0,842.3,971.3,913.9,827.0,904.3,900.1,973.6,890.6,940.6,793.6,844.7,1008.0,966.3,,846.6,922.7,920.0,,,732.1,,925.0,920.4,890.0,866.4,,977.5,925.0,858.8,876.0,867.0,774.6,872.9,876.0,-118.9,-108.5,-121.7,-132.0,-111.0,-138.0,-188.0,-38.0,-152.4,-184.0,-178.7,-49.7,-107.1,-194.0,-116.7,-120.9,-47.4,-130.4,-80.4,-227.4,-176.3,-13.0,-54.7,,-174.4,-98.3,-101.0,,,-288.9,,-96.0,-100.6,-131.0,-154.6,,-43.5,-96.0,-162.2,-145.0,-154.0,-246.4,-148.1,-145.0,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,False,True,True,,False,True,True,,,False,,True,True,False,False,,True,True,False,False,False,False,False,False
Kentucky,1485,1409.6,1454.8,1405.1,1435.0,1408.9,1437.0,1499.0,1429.0,1381.9,1453.0,1394.8,1431.4,1442.0,1437.0,1461.0,1438.4,1517.5,1537.5,1422.9,1369.7,1446.1,1544.0,1482.2,1581.0,1289.4,1489.3,1485.0,,1365.6,1358.7,,1421.0,1543.9,1503.0,1437.0,,1487.9,1464.0,1379.0,1475.0,1363.5,1324.4,1455.2,1313.0,-75.4,-30.2,-79.9,-50.0,-76.1,-48.0,14.0,-56.0,-103.1,-32.0,-90.2,-53.6,-43.0,-48.0,-24.0,-46.6,32.5,52.5,-62.1,-115.3,-38.9,59.0,-2.8,96.0,-195.6,4.3,0.0,,-119.4,-126.3,,-64.0,58.9,18.0,-48.0,,2.9,-21.0,-106.0,-10.0,-121.5,-160.6,-29.8,-172.0,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,,False,False,,True,True,True,True,,True,True,False,True,False,False,True,False
Louisiana,5919,6009.0,6014.3,5924.5,5862.0,5950.2,5860.0,5830.0,5772.0,5841.4,5824.0,5849.2,6015.6,5795.4,5860.0,5880.9,5852.0,5872.8,5821.2,5863.2,5862.8,5846.6,5864.0,6003.8,,5881.0,5853.3,5793.0,,5775.9,5839.6,,5925.0,5522.4,6158.0,6056.8,,5978.9,5862.0,6118.3,5829.0,5845.0,5730.8,5983.4,5650.0,90.0,95.3,5.5,-57.0,31.2,-59.0,-89.0,-147.0,-77.6,-95.0,-69.8,96.6,-123.6,-59.0,-38.1,-67.0,-46.2,-97.8,-55.8,-56.2,-72.4,-55.0,84.8,,-38.0,-65.7,-126.0,,-143.1,-79.4,,6.0,-396.6,239.0,137.8,,59.9,-57.0,199.3,-90.0,-74.0,-188.2,64.4,-269.0,False,True,True,True,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,True,True,True,,True,True,False,,False,True,,True,False,False,False,,True,True,False,False,True,False,True,False
Maine,147,149.7,146.3,150.0,151.0,150.6,150.0,143.0,148.0,150.4,151.0,154.9,151.4,155.7,150.0,152.0,151.2,159.6,170.4,152.6,148.9,142.0,183.0,149.0,,145.6,151.5,148.0,,,146.0,,150.0,161.5,161.0,145.5,,158.2,152.0,155.9,152.0,150.0,148.5,153.7,,2.7,-0.7,3.0,4.0,3.6,3.0,-4.0,1.0,3.4,4.0,7.9,4.4,8.7,3.0,5.0,4.2,12.6,23.4,5.6,1.9,-5.0,36.0,2.0,,-1.4,4.5,1.0,,,-1.0,,3.0,14.5,14.0,-1.5,,11.2,5.0,8.9,5.0,3.0,1.5,6.7,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,True,False,True,,,True,,False,False,False,True,,False,False,False,False,False,True,False,
Maryland,4147,4046.7,3986.9,4088.8,4099.0,4091.3,4101.0,4223.0,4098.0,4106.8,4023.0,4112.1,,4180.7,4084.0,4097.2,4174.0,4154.3,4189.3,4119.1,4051.1,4089.8,4120.0,4082.5,,4215.8,4110.8,4085.0,,4100.8,4026.9,,4109.0,4506.3,4112.0,4056.2,,4086.3,4108.0,4130.7,4100.0,4096.5,4043.7,4163.6,4103.0,-100.3,-160.1,-58.2,-48.0,-55.7,-46.0,76.0,-49.0,-40.2,-124.0,-34.9,,33.7,-63.0,-49.8,27.0,7.3,42.3,-27.9,-95.9,-57.2,-27.0,-64.5,,68.8,-36.2,-62.0,,-46.2,-120.1,,-38.0,359.3,-35.0,-90.8,,-60.7,-39.0,-16.3,-47.0,-50.5,-103.3,16.6,-44.0,False,True,True,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,,True,False,True,True,,True,True,True,True,True,False,True,True
