,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,7979,7955.6,8014.6,8018.2,8048.0,8009.0,8007.0,7989.0,8099.0,8042.0,7967.0,8032.6,8000.8,7996.5,8007.9,,8035.1,8028.0,8059.0,8000.5,8030.5,7820.0,7925.2,8003.0,8015.7,7994.5,7975.2,7977.0,7996.6,7992.2,,7940.6,8015.5,7753.0,,8060.9,8005.9,,8024.0,8291.7,7987.0,8007.6,,7990.3,7999.8,7973.0,8026.4,7992.9,8049.0,7953.0,7797.3,7974.0,-23.4,35.6,39.2,69.0,30.0,28.0,10.0,120.0,63.0,-12.0,53.6,21.8,17.5,28.9,,56.1,49.0,80.0,21.5,51.5,-159.0,-53.8,24.0,36.7,15.5,-3.8,-2.0,17.6,13.2,,-38.4,36.5,-226.0,,81.9,26.9,,45.0,312.7,8.0,28.6,,11.3,20.8,-6.0,47.4,13.9,70.0,-26.0,-181.7,-5.0,False,False,False,False,False,True,False,False,True,False,True,True,False,,False,False,False,True,False,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,,False,False,True,False,,True,True,True,False,True,False,False,False,True
Hawaii,219,233.4,243.2,238.7,234.0,238.0,230.0,218.0,231.0,230.4,224.0,234.1,,247.4,221.2,,210.4,,,233.8,221.4,231.0,231.7,233.0,229.0,225.8,224.4,228.0,232.5,235.2,,245.2,232.0,230.0,,,196.2,,231.0,169.5,244.0,219.0,,226.8,234.3,227.0,229.3,216.6,233.0,234.0,222.5,234.0,14.4,24.2,19.7,15.0,19.0,11.0,-1.0,12.0,11.4,5.0,15.1,,28.4,2.2,,-8.6,,,14.8,2.4,12.0,12.7,14.0,10.0,6.8,5.4,9.0,13.5,16.2,,26.2,13.0,11.0,,,-22.8,,12.0,-49.5,25.0,0.0,,7.8,15.3,8.0,10.3,-2.4,14.0,15.0,3.5,15.0,False,False,False,False,True,True,True,True,True,False,,False,True,,True,,,False,True,True,True,True,True,True,True,True,True,False,,False,True,True,,,False,,True,False,False,True,,True,False,True,True,True,True,False,True,False
Idaho,629,611.6,628.0,613.4,607.0,615.0,610.0,628.0,604.0,593.2,593.0,607.0,618.1,625.1,609.9,,558.1,622.0,608.0,610.2,597.6,617.0,604.7,600.5,619.1,597.3,615.9,626.0,620.1,622.7,,608.8,612.0,622.0,,,557.8,,609.0,560.0,614.0,612.4,,591.9,625.2,609.0,605.4,614.5,619.0,610.0,591.6,608.0,-17.4,-1.0,-15.6,-22.0,-14.0,-19.0,-1.0,-25.0,-35.8,-36.0,-22.0,-10.9,-3.9,-19.1,,-70.9,-7.0,-21.0,-18.8,-31.4,-12.0,-24.3,-28.5,-9.9,-31.7,-13.1,-3.0,-8.9,-6.3,,-20.2,-17.0,-7.0,,,-71.2,,-20.0,-69.0,-15.0,-16.6,,-37.1,-3.8,-20.0,-23.6,-14.5,-10.0,-19.0,-37.4,-21.0,True,True,False,True,False,True,False,False,False,False,True,True,False,,False,True,False,False,False,True,False,False,True,False,True,True,True,True,,False,True,True,,,False,,False,False,True,True,,False,True,False,False,True,True,False,False,False
Illinois,10040,10033.0,10113.7,10048.6,10021.0,10050.0,10050.0,10107.0,10197.0,10093.2,10036.0,10037.9,10110.7,10144.3,10039.9,,9722.0,10050.0,10021.0,10064.2,10215.4,9729.0,9947.3,9985.0,10119.6,10005.8,10112.8,9953.0,10066.6,10072.8,9975.5,9910.9,10122.0,9951.0,,9966.6,9862.8,,10089.0,9851.0,10083.0,10022.7,,9972.1,10082.2,10050.0,10033.5,10380.1,10124.0,10082.0,9637.0,9858.0,-7.0,73.7,8.6,-19.0,10.0,10.0,67.0,157.0,53.2,-4.0,-2.1,70.7,104.3,-0.1,,-318.0,10.0,-19.0,24.2,175.4,-311.0,-92.7,-55.0,79.6,-34.2,72.8,-87.0,26.6,32.8,-64.5,-129.1,82.0,-89.0,,-73.4,-177.2,,49.0,-189.0,43.0,-17.3,,-67.9,42.2,10.0,-6.5,340.1,84.0,42.0,-403.0,-182.0,False,False,False,False,False,False,False,False,True,True,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False
Indiana,4332,4295.4,4373.8,4319.0,4318.0,4318.0,4307.0,4321.0,4385.0,4348.2,4259.0,4284.6,4301.7,4345.4,4286.7,,4232.8,4303.0,4291.0,4315.0,4342.9,4061.0,4205.2,4279.0,4342.9,4287.9,4324.0,4260.0,4299.3,4321.9,4367.0,4280.2,4342.7,4223.0,,4257.6,4179.4,,4330.0,4745.5,4327.0,4297.1,,4252.1,4306.8,4299.0,4251.6,4490.0,4348.0,4334.5,3961.5,4357.0,-36.6,41.8,-13.0,-14.0,-14.0,-25.0,-11.0,53.0,16.2,-73.0,-47.4,-30.3,13.4,-45.3,,-99.2,-29.0,-41.0,-17.0,10.9,-271.0,-126.8,-53.0,10.9,-44.1,-8.0,-72.0,-32.7,-10.1,35.0,-51.8,10.7,-109.0,,-74.4,-152.6,,-2.0,413.5,-5.0,-34.9,,-79.9,-25.2,-33.0,-80.4,158.0,16.0,2.5,-370.5,25.0,False,True,True,True,True,True,False,True,False,False,True,True,False,,False,True,False,True,True,False,False,False,True,False,True,False,True,True,True,False,True,False,,False,False,,True,False,True,True,,False,True,True,False,False,True,True,False,True
Iowa,1716,1723.3,1754.8,1739.4,1724.0,1740.0,1731.0,1679.0,1738.0,1741.8,1705.0,1723.5,1731.4,1739.4,1731.0,,1705.2,1715.0,1717.0,1734.1,1735.9,1758.0,1687.3,1722.0,1731.6,1717.9,1732.5,1738.0,1731.4,1735.1,,1727.1,1751.3,1712.0,,1714.8,1626.0,,1731.0,1956.6,1723.0,1732.7,,1712.2,1735.7,1709.0,1713.2,1756.7,1732.0,1723.0,1675.5,1738.0,7.3,38.8,23.4,8.0,24.0,15.0,-37.0,22.0,25.8,-11.0,7.5,15.4,23.4,15.0,,-10.8,-1.0,1.0,18.1,19.9,42.0,-28.7,6.0,15.6,1.9,16.5,22.0,15.4,19.1,,11.1,35.3,-4.0,,-1.2,-90.0,,15.0,240.6,7.0,16.7,,-3.8,19.7,-7.0,-2.8,40.7,16.0,7.0,-40.5,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,True,False,False,False,False,True,False,True,False,False,False,False,,False,False,True,,True,False,,False,False,True,False,,True,False,True,True,False,False,True,False,False
Kansas,1029,1039.1,1075.6,1053.0,1069.0,1053.0,1048.0,1006.0,1095.0,1064.4,1014.0,1047.7,1042.3,1084.1,1037.0,,1074.6,1027.0,1049.0,1071.0,1084.7,1047.0,1014.8,1051.0,1049.9,1011.9,1034.3,1076.0,1056.5,1053.1,,1016.3,1053.3,1067.0,,,953.3,,1070.0,952.2,1037.0,1044.3,,1052.9,1060.1,1047.0,1052.2,1004.0,1055.0,1034.0,995.8,1045.0,29.1,65.6,43.0,59.0,43.0,38.0,-4.0,85.0,54.4,4.0,37.7,32.3,74.1,27.0,,64.6,17.0,39.0,61.0,74.7,37.0,4.8,41.0,39.9,1.9,24.3,66.0,46.5,43.1,,6.3,43.3,57.0,,,-56.7,,60.0,-57.8,27.0,34.3,,42.9,50.1,37.0,42.2,-6.0,45.0,24.0,-14.2,35.0,False,False,False,False,False,True,False,False,True,False,False,False,True,,False,True,False,False,False,False,True,False,False,True,True,False,False,False,,True,False,False,,,False,,False,False,True,False,,False,False,False,False,True,False,True,True,False
Kentucky,1485,1483.3,1520.9,1497.3,1486.0,1496.0,1482.0,1491.0,1484.0,1464.9,1472.0,1480.2,1470.8,1500.7,1483.3,,1419.1,1467.0,1514.0,1479.7,1470.2,1500.0,1474.7,1495.0,1488.9,1479.2,1489.1,1517.0,1499.7,1499.2,1481.0,1446.3,1502.5,1470.0,,1465.6,1450.5,,1489.0,1522.0,1479.0,1492.9,,1450.6,1505.1,1479.0,1467.6,1549.0,1497.0,1484.0,1445.5,1505.0,-1.7,35.9,12.3,1.0,11.0,-3.0,6.0,-1.0,-20.1,-13.0,-4.8,-14.2,15.7,-1.7,,-65.9,-18.0,29.0,-5.3,-14.8,15.0,-10.3,10.0,3.9,-5.8,4.1,32.0,14.7,14.2,-4.0,-38.7,17.5,-15.0,,-19.4,-34.5,,4.0,37.0,-6.0,7.9,,-34.4,20.1,-6.0,-17.4,64.0,12.0,-1.0,-39.5,20.0,False,False,True,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,False
Louisiana,5919,5911.6,5910.9,5913.9,5905.0,5913.0,5914.0,5890.0,5918.0,5915.9,5882.0,5915.5,5916.6,5916.3,5909.5,,5913.8,5898.0,5908.0,5901.9,5926.8,5716.0,5871.0,5903.5,5910.6,5917.2,5897.3,5890.0,5921.3,5912.8,,5914.2,5906.9,5950.5,,5927.8,5925.6,,5918.0,5710.1,5929.0,5919.8,,5894.4,5924.0,5905.0,5942.0,5940.8,5914.0,5903.0,5704.2,5922.0,-7.4,-8.1,-5.1,-14.0,-6.0,-5.0,-29.0,-1.0,-3.1,-37.0,-3.5,-2.4,-2.7,-9.5,,-5.2,-21.0,-11.0,-17.1,7.8,-203.0,-48.0,-15.5,-8.4,-1.8,-21.7,-29.0,2.3,-6.2,,-4.8,-12.1,31.5,,8.8,6.6,,-1.0,-208.9,10.0,0.8,,-24.6,5.0,-14.0,23.0,21.8,-5.0,-16.0,-214.8,3.0,False,True,False,True,True,False,True,True,False,True,True,True,False,,True,False,False,False,False,False,False,False,False,True,False,False,True,True,,True,False,False,,False,True,,True,False,False,True,,False,True,False,False,False,True,False,False,True
Maine,147,146.0,146.8,146.0,148.0,146.0,148.0,147.0,148.0,148.0,149.0,149.3,147.8,146.5,146.9,,147.2,146.0,150.0,147.1,149.0,149.0,151.5,146.0,147.5,148.3,146.1,157.0,147.8,150.5,,146.7,147.2,147.0,,,152.7,,148.0,159.0,150.0,146.1,,146.9,153.3,148.0,148.7,152.5,148.0,147.0,147.4,,-1.0,-0.2,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,2.0,2.3,0.8,-0.5,-0.1,,0.2,-1.0,3.0,0.1,2.0,2.0,4.5,-1.0,0.5,1.3,-0.9,10.0,0.8,3.5,,-0.3,0.2,0.0,,,5.7,,1.0,12.0,3.0,-0.9,,-0.1,6.3,1.0,1.7,5.5,1.0,0.0,0.4,,True,False,False,False,False,True,False,True,False,False,True,True,True,,True,False,False,True,False,False,False,False,True,False,True,False,True,False,,True,True,True,,,False,,False,False,False,True,,True,False,False,False,False,False,True,True,
Maryland,4147,4146.6,4144.8,4143.8,4132.0,4146.0,4140.0,4194.0,4133.0,4120.3,4127.0,4151.3,4137.4,4142.8,4136.7,,4134.7,4142.0,4135.0,4134.2,4130.9,4120.0,4137.8,4130.5,4140.0,4134.4,4152.7,4134.0,4143.6,4143.7,,4142.0,4141.0,4121.0,,4133.4,4099.9,4182.0,4139.0,4236.5,4141.0,4140.7,,4127.8,4149.3,4137.0,4143.5,4233.1,4142.0,4197.0,4106.8,4202.0,-0.4,-2.2,-3.2,-15.0,-1.0,-7.0,47.0,-14.0,-26.7,-20.0,4.3,-9.6,-4.2,-10.3,,-12.3,-5.0,-12.0,-12.8,-16.1,-27.0,-9.2,-16.5,-7.0,-12.6,5.7,-13.0,-3.4,-3.3,,-5.0,-6.0,-26.0,,-13.6,-47.1,35.0,-8.0,89.5,-6.0,-6.3,,-19.2,2.3,-10.0,-3.5,86.1,-5.0,50.0,-40.2,55.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Massachusetts,9991,9972.9,9978.1,9963.5,9973.0,9955.0,9971.0,10023.0,9964.0,9997.4,9995.0,9996.4,9956.5,9983.2,10036.6,,9945.4,9932.0,9971.0,9972.9,9987.5,9936.0,9934.8,9910.5,9985.3,9982.8,9996.3,9923.0,9953.8,9984.6,,9969.5,9991.1,9950.0,,9964.7,9887.0,,9984.0,10248.2,10000.0,9941.7,,9948.4,9958.9,9987.0,9955.4,10129.8,9986.0,10024.0,9889.6,9863.0,-18.1,-12.9,-27.5,-18.0,-36.0,-20.0,32.0,-27.0,6.4,4.0,5.4,-34.5,-7.8,45.6,,-45.6,-59.0,-20.0,-18.1,-3.5,-55.0,-56.2,-80.5,-5.7,-8.2,5.3,-68.0,-37.2,-6.4,,-21.5,0.1,-41.0,,-26.3,-104.0,,-7.0,257.2,9.0,-49.3,,-42.6,-32.1,-4.0,-35.6,138.8,-5.0,33.0,-101.4,-128.0,True,False,True,False,False,False,False,True,True,True,False,True,False,,False,False,False,False,True,False,False,False,True,True,True,False,False,True,,False,True,False,,False,False,,True,False,True,False,,False,False,True,False,False,True,False,False,False
Michigan,7699,7678.0,7759.6,7700.5,7689.0,7704.0,7701.0,7741.0,7734.0,7686.7,7651.0,7651.3,7764.0,7719.8,7595.6,,7627.7,7679.0,7714.0,7701.4,7729.4,7586.0,7651.2,7668.5,7703.2,7598.1,7696.5,7656.0,7718.8,7701.1,8110.0,7560.9,7732.6,7650.0,,7552.9,7563.7,,7711.0,8041.4,7653.0,7682.3,,7626.3,7725.0,7704.0,7649.8,8028.3,7728.0,7668.0,7484.6,7666.0,-21.0,60.6,1.5,-10.0,5.0,2.0,42.0,35.0,-12.3,-48.0,-47.7,65.0,20.8,-103.4,,-71.3,-20.0,15.0,2.4,30.4,-113.0,-47.8,-30.5,4.2,-100.9,-2.5,-43.0,19.8,2.1,411.0,-138.1,33.6,-49.0,,-146.1,-135.3,,12.0,342.4,-46.0,-16.7,,-72.7,26.0,5.0,-49.2,329.3,29.0,-31.0,-214.4,-33.0,False,True,True,True,True,False,False,True,False,False,False,True,False,,False,True,True,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,,False,False,,True,False,False,True,,False,False,True,False,False,False,False,False,False
Minnesota,2511,2500.6,2512.6,2490.6,2468.0,2492.0,2491.0,2482.0,2506.0,2489.7,2504.0,2494.6,,2496.6,2490.8,,2481.2,2483.0,2490.0,2497.3,2442.7,2440.0,2457.9,2485.0,2481.7,2490.1,2513.8,2500.0,2497.5,2510.0,2441.0,2487.7,2509.8,2503.0,,2476.2,2456.5,,2472.0,2767.5,2500.0,2485.6,,2472.7,2504.1,2505.0,2477.9,2599.5,2494.0,2556.0,2389.5,2551.0,-10.4,1.6,-20.4,-43.0,-19.0,-20.0,-29.0,-5.0,-21.3,-7.0,-16.4,,-14.4,-20.2,,-29.8,-28.0,-21.0,-13.7,-68.3,-71.0,-53.1,-26.0,-29.3,-20.9,2.8,-11.0,-13.5,-1.0,-70.0,-23.3,-1.2,-8.0,,-34.8,-54.5,,-39.0,256.5,-11.0,-25.4,,-38.3,-6.9,-6.0,-33.1,88.5,-17.0,45.0,-121.5,40.0,True,False,False,False,False,False,True,False,True,False,,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,,False,False,,False,False,False,False,,False,True,True,False,False,False,False,False,False
Mississippi,3334,3327.0,3346.7,3337.8,3342.0,3339.0,3338.0,3349.0,3347.0,3360.3,3310.0,3330.3,3321.5,3314.2,3357.8,,3387.5,3347.0,3324.0,3337.6,3371.6,3332.0,3296.0,3323.0,3361.8,3307.0,3327.2,3333.0,3340.1,3344.2,,3333.6,3347.4,3337.0,,3322.1,3240.2,,3356.0,3011.4,3306.0,3338.5,,3317.3,3345.7,3338.0,3342.1,3391.6,3346.0,3301.0,3324.4,3323.0,-7.0,12.7,3.8,8.0,5.0,4.0,15.0,13.0,26.3,-24.0,-3.7,-12.5,-19.8,23.8,,53.5,13.0,-10.0,3.6,37.6,-2.0,-38.0,-11.0,27.8,-27.0,-6.8,-1.0,6.1,10.2,,-0.4,13.4,3.0,,-11.9,-93.8,,22.0,-322.6,-28.0,4.5,,-16.7,11.7,4.0,8.1,57.6,12.0,-33.0,-9.6,-11.0,False,True,False,True,True,False,False,False,False,True,False,False,False,,False,False,False,True,False,True,False,False,False,False,True,True,True,False,,True,False,True,,False,False,,False,False,False,True,,False,False,True,False,False,False,False,False,False
Missouri,3037,3015.4,2999.8,3047.4,3037.0,3035.0,3024.0,3096.0,3043.0,3107.0,2948.0,3012.3,3040.1,3050.3,2845.0,,2634.9,3059.0,2931.0,3061.4,2787.0,2814.0,2920.1,2993.5,2982.5,2996.5,3009.3,2985.0,3039.7,3017.5,,2958.8,3055.4,3033.0,,2843.5,3014.9,,3034.0,2945.9,3031.0,2872.9,,3035.6,3060.6,2944.0,2968.8,3011.7,3052.0,3118.0,2700.7,3126.0,-21.6,-37.2,10.4,0.0,-2.0,-13.0,59.0,6.0,70.0,-89.0,-24.7,3.1,13.3,-192.0,,-402.1,22.0,-106.0,24.4,-250.0,-223.0,-116.9,-43.5,-54.5,-40.5,-27.7,-52.0,2.7,-19.5,,-78.2,18.4,-4.0,,-193.5,-22.1,,-3.0,-91.1,-6.0,-164.1,,-1.4,23.6,-93.0,-68.2,-25.3,15.0,81.0,-336.3,89.0,False,True,True,True,True,False,True,False,False,False,True,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,False,True,True,,False,False,,True,False,True,False,,True,False,False,False,False,True,False,False,False
Montana,375,345.0,361.7,350.8,326.0,349.0,341.0,326.0,344.0,325.4,330.0,330.5,348.5,351.1,344.2,,334.4,354.0,322.0,346.3,352.0,339.0,311.5,330.0,340.8,334.1,341.5,366.0,358.5,351.0,,329.0,355.4,324.0,,,280.2,,352.0,415.3,343.0,316.4,,322.5,363.5,344.0,329.9,349.7,352.0,334.0,314.7,357.0,-30.0,-13.3,-24.2,-49.0,-26.0,-34.0,-49.0,-31.0,-49.6,-45.0,-44.5,-26.5,-23.9,-30.8,,-40.6,-21.0,-53.0,-28.7,-23.0,-36.0,-63.5,-45.0,-34.2,-40.9,-33.5,-9.0,-16.5,-24.0,,-46.0,-19.6,-51.0,,,-94.8,,-23.0,40.3,-32.0,-58.6,,-52.5,-11.5,-31.0,-45.1,-25.3,-23.0,-41.0,-60.3,-18.0,True,True,False,True,False,False,False,False,False,False,True,True,False,,False,True,False,True,True,False,False,False,False,False,False,True,True,True,,False,True,False,,,False,,True,False,False,False,,False,True,False,False,True,True,False,False,True
Nebraska,652,637.1,665.8,643.2,644.0,643.0,640.0,674.0,643.0,626.3,636.0,639.6,646.8,684.2,640.1,,587.3,622.0,645.0,636.8,629.4,645.0,627.6,635.0,640.4,620.7,638.4,699.0,642.8,644.1,,623.6,650.0,624.0,,,605.7,,642.0,605.1,638.0,637.5,,621.7,648.2,629.0,617.7,648.6,646.0,644.0,613.2,653.0,-14.9,13.8,-8.8,-8.0,-9.0,-12.0,22.0,-9.0,-25.7,-16.0,-12.4,-5.2,32.2,-11.9,,-64.7,-30.0,-7.0,-15.2,-22.6,-7.0,-24.4,-17.0,-11.6,-31.3,-13.6,47.0,-9.2,-7.9,,-28.4,-2.0,-28.0,,,-46.3,,-10.0,-46.9,-14.0,-14.5,,-30.3,-3.8,-23.0,-34.3,-3.4,-6.0,-8.0,-38.8,1.0,True,True,True,True,True,False,True,False,False,True,True,False,True,,False,False,True,False,False,True,False,False,True,False,True,False,True,True,,False,True,False,,,False,,True,False,True,True,,False,True,False,False,True,True,True,False,True
Nevada,1777,1773.1,1771.3,1768.7,1785.0,1771.0,1786.0,1805.0,1787.0,1802.0,1774.0,1789.8,1775.4,1787.4,1780.6,,1851.6,1773.0,1800.0,1780.2,1827.5,1774.0,1770.9,1774.0,1792.0,1787.7,1785.9,1782.0,1776.3,1790.5,,1793.9,1789.0,1760.0,,1795.1,1772.6,,1792.0,1973.1,1784.0,1777.1,,1777.8,1779.6,1788.0,1782.7,1812.1,1773.0,1787.0,1782.4,1793.0,0.1,-1.7,-4.3,12.0,-2.0,13.0,32.0,14.0,29.0,1.0,16.8,2.4,14.4,7.6,,78.6,0.0,27.0,7.2,54.5,1.0,-2.1,1.0,19.0,14.7,12.9,9.0,3.3,17.5,,20.9,16.0,-13.0,,22.1,-0.4,,19.0,200.1,11.0,4.1,,4.8,6.6,15.0,9.7,39.1,0.0,14.0,9.4,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,True,False,False,False
New Hampshire,483,479.0,478.1,479.4,480.0,480.0,483.0,480.0,490.0,509.5,484.0,483.4,488.2,479.4,484.1,,489.8,478.0,481.0,484.5,493.3,481.0,481.2,480.0,488.3,480.5,479.2,484.0,479.0,483.3,,478.6,480.6,481.0,,,485.3,,484.0,476.0,483.0,479.6,,487.4,484.9,481.0,484.8,503.9,485.0,485.0,475.7,480.0,-4.0,-4.9,-3.6,-3.0,-3.0,0.0,-3.0,7.0,26.5,1.0,0.4,5.2,-3.6,1.1,,6.8,-5.0,-2.0,1.5,10.3,-2.0,-1.8,-3.0,5.3,-2.5,-3.8,1.0,-4.0,0.3,,-4.4,-2.4,-2.0,,,2.3,,1.0,-7.0,0.0,-3.4,,4.4,1.9,-2.0,1.8,20.9,2.0,2.0,-7.3,-3.0,False,True,True,True,True,True,False,False,True,True,False,True,True,,False,False,True,True,False,True,True,True,False,True,True,True,False,True,,False,True,True,,,True,,True,False,True,True,,False,True,True,True,False,True,True,False,True
New Jersey,16350,16348.4,16374.7,16354.9,16349.0,16358.0,16352.0,16563.0,16339.0,16331.6,16396.0,16336.1,,16388.2,16378.1,,16216.8,16356.0,16352.0,16335.6,16355.4,16359.0,16345.0,16351.0,16349.4,16331.2,16358.9,16338.0,16374.6,16355.2,,16348.9,16351.0,16290.0,,16314.7,16263.6,,16351.0,18155.3,16343.0,16350.1,,16315.9,16381.0,16350.0,16474.0,16748.4,16363.0,16542.0,16291.8,16565.0,-1.6,24.7,4.9,-1.0,8.0,2.0,213.0,-11.0,-18.4,46.0,-13.9,,38.2,28.1,,-133.2,6.0,2.0,-14.4,5.4,9.0,-5.0,1.0,-0.6,-18.8,8.9,-12.0,24.6,5.2,,-1.1,1.0,-60.0,,-35.3,-86.4,,1.0,1805.3,-7.0,0.1,,-34.1,31.0,0.0,124.0,398.4,13.0,192.0,-58.2,215.0,False,False,True,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,True,True,False,,False,False,,True,False,False,True,,False,False,True,False,False,False,False,False,False
