,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Georgia,7979,8616.9,8085.0,7695.0,8064.0,,7996.3,7934.0,7935.4,7474.7,7885.2,7923.1,7573.0,8340.1,,8113.6,7691.0,,7654.1,8248.6,,7895.7,8227.0,7683.1,8345.1,637.9,106.0,-284.0,85.0,,17.3,-45.0,-43.6,-504.3,-93.8,-55.9,-406.0,361.1,,134.6,-288.0,,-324.9,269.6,,-83.3,248.0,-295.9,366.1,True,True,True,,True,True,True,True,True,True,True,True,,True,True,,True,True,,True,True,True,True
Hawaii,219,190.3,165.0,160.7,161.0,,158.5,,164.4,167.7,264.3,182.6,185.3,269.8,,299.8,190.0,,151.5,175.9,,158.6,164.0,169.7,203.2,-28.7,-54.0,-58.3,-58.0,,-60.5,,-54.6,-51.3,45.3,-36.4,-33.7,50.8,,80.8,-29.0,,-67.5,-43.1,,-60.4,-55.0,-49.3,-15.8,False,False,False,,False,,False,False,False,False,False,False,,False,False,,False,False,,False,False,False,True
Idaho,629,542.6,989.0,570.5,557.0,,615.3,567.0,612.0,654.2,660.2,596.0,556.3,606.9,,585.4,548.0,,470.1,558.7,,609.4,612.0,532.8,565.8,-86.4,360.0,-58.5,-72.0,,-13.7,-62.0,-17.0,25.2,31.2,-33.0,-72.7,-22.1,,-43.6,-81.0,,-158.9,-70.3,,-19.6,-17.0,-96.2,-63.2,False,True,True,,True,True,True,True,True,True,True,True,,True,True,,False,True,,True,True,False,True
Illinois,10040,9617.3,9423.0,9438.1,9325.0,,9512.5,9499.0,9657.1,10052.0,9701.9,9628.8,9315.0,9761.8,12338.5,9546.7,9301.0,,9198.0,9512.5,,11245.3,9625.0,8935.5,9596.0,-422.7,-617.0,-601.9,-715.0,,-527.5,-541.0,-382.9,12.0,-338.1,-411.2,-725.0,-278.2,2298.5,-493.3,-739.0,,-842.0,-527.5,,1205.3,-415.0,-1104.5,-444.0,False,False,False,,False,False,True,True,True,True,False,True,False,False,False,,False,False,,False,True,False,False
Indiana,4504,3939.4,3858.0,3851.9,3992.0,,4123.8,3917.0,3930.8,4060.2,4087.7,3923.3,3835.8,4252.1,4501.5,3885.1,3955.0,,3787.5,3870.4,,4756.8,3906.0,3581.9,4019.0,-551.6,-633.0,-639.1,-499.0,,-367.2,-574.0,-560.2,-430.8,-403.3,-567.7,-655.2,-238.9,10.5,-605.9,-536.0,,-703.5,-620.6,,265.8,-585.0,-909.1,-472.0,False,False,True,,True,False,False,True,True,False,False,True,True,False,True,,False,False,,True,False,False,True
Iowa,1716,1563.7,1490.0,1503.2,1632.0,,1507.2,1603.0,1655.4,1717.6,1656.3,1676.8,1489.7,1688.9,,1459.8,1709.0,,1406.8,1566.2,,1832.0,1551.0,1453.8,1587.7,-152.3,-226.0,-212.8,-84.0,,-208.8,-113.0,-60.6,1.6,-59.7,-39.2,-226.3,-27.1,,-256.2,-7.0,,-309.2,-149.8,,116.0,-165.0,-262.2,-128.3,False,False,True,,False,True,True,True,True,True,False,True,,False,True,,False,True,,True,False,False,True
Kansas,1029,829.3,875.0,928.4,821.0,,1608.1,802.0,848.1,956.7,891.5,938.9,782.3,953.6,,850.6,960.0,,671.7,811.6,,829.5,889.0,727.1,849.7,-199.7,-154.0,-100.6,-208.0,,579.1,-227.0,-180.9,-72.3,-137.5,-90.1,-246.7,-75.4,,-178.4,-69.0,,-357.3,-217.4,,-199.5,-140.0,-301.9,-179.3,True,True,False,,False,False,True,True,True,True,False,True,,True,True,,False,False,,True,True,False,True
Kentucky,1485,1380.4,1433.0,1365.8,1451.0,,1629.9,1388.0,1455.5,1445.5,1611.1,1451.1,1319.9,1632.8,1534.0,1271.2,1529.0,,1220.3,1439.5,,1646.5,1421.0,1292.3,1458.4,-104.6,-52.0,-119.2,-34.0,,144.9,-97.0,-29.5,-39.5,126.1,-33.9,-165.1,147.8,49.0,-213.8,44.0,,-264.7,-45.5,,161.5,-64.0,-192.7,-26.6,True,False,True,,False,True,True,True,False,True,False,False,True,False,True,,False,True,,False,True,False,True
Louisiana,5919,5936.1,5954.0,5911.5,5804.0,,6228.5,5906.0,5841.6,5794.6,5781.8,5863.8,5787.5,6067.9,,5741.3,5724.0,,5738.0,6114.2,,6041.8,5766.0,5713.2,5961.2,17.1,35.0,-7.5,-115.0,,309.5,-13.0,-77.4,-124.4,-137.2,-55.2,-131.5,148.9,,-177.7,-195.0,,-181.0,195.2,,122.8,-153.0,-205.8,42.2,False,True,False,,False,True,False,False,False,False,False,False,,False,False,,False,False,,False,False,False,False
Maine,147,144.9,157.0,157.8,144.0,,154.4,184.0,155.9,156.4,173.1,153.7,146.1,181.3,,143.4,150.0,,140.7,144.3,,170.2,155.0,148.1,152.1,-2.1,10.0,10.8,-3.0,,7.4,37.0,8.9,9.4,26.1,6.7,-0.9,34.3,,-3.6,3.0,,-6.3,-2.7,,23.2,8.0,1.1,5.1,False,False,False,,False,False,False,False,False,False,True,False,,False,False,,False,False,,False,False,True,False
Maryland,4147,4207.0,4132.0,4088.4,3954.0,,4108.6,4203.0,4112.4,4183.3,4222.6,4145.9,4052.3,4289.3,,4171.6,4105.0,,4015.9,4092.9,,4520.1,4102.0,4040.1,4212.2,60.0,-15.0,-58.6,-193.0,,-38.4,56.0,-34.6,36.3,75.6,-1.1,-94.7,142.3,,24.6,-42.0,,-131.1,-54.1,,373.1,-45.0,-106.9,65.2,True,True,False,,True,True,True,True,False,True,False,False,,True,True,,False,True,,False,True,False,False
Massachusetts,9991,9860.6,10358.0,9915.0,9501.0,,9948.7,9629.0,10035.2,9837.4,9869.1,9830.5,9823.5,9950.9,,9651.6,9445.0,,9612.1,9674.0,,10506.4,10177.0,9591.1,9789.0,-130.4,367.0,-76.0,-490.0,,-42.3,-362.0,44.2,-153.6,-121.9,-160.5,-167.5,-40.1,,-339.4,-546.0,,-378.9,-317.0,,515.4,186.0,-399.9,-202.0,False,True,False,,True,False,True,False,True,False,False,True,,False,False,,False,False,,False,False,False,False
Michigan,7699,7408.3,7397.0,7351.2,7155.0,,7447.5,7486.0,7422.3,8028.5,7744.4,7493.8,7183.7,7638.6,7354.0,7232.9,7468.0,,7184.6,7305.5,,8587.3,7422.0,7117.4,7408.0,-290.7,-302.0,-347.8,-544.0,,-251.5,-213.0,-276.7,329.5,45.4,-205.2,-515.3,-60.4,-345.0,-466.1,-231.0,,-514.4,-393.5,,888.3,-277.0,-581.6,-291.0,False,False,False,,True,True,True,False,True,True,False,True,False,False,True,,False,False,,False,True,False,False
Minnesota,2511,2268.9,2413.0,2298.5,2113.0,,2511.0,2331.0,2330.5,2489.7,2394.6,2322.0,2295.0,2341.7,2512.0,2141.8,2357.0,,2138.4,2317.6,,3028.4,2437.0,2153.1,2374.9,-242.1,-98.0,-212.5,-398.0,,0.0,-180.0,-180.5,-21.3,-116.4,-189.0,-216.0,-169.3,1.0,-369.2,-154.0,,-372.6,-193.4,,517.4,-74.0,-357.9,-136.1,True,True,False,,True,True,True,True,True,True,True,True,True,False,True,,False,True,,False,True,False,True
Mississippi,3334,3448.4,3361.0,3252.5,3255.0,,3544.2,3251.0,3334.6,3209.9,3180.9,3253.2,3239.8,3354.5,,3197.1,3227.0,,3206.4,3379.0,,3400.7,3393.0,3271.1,3339.6,114.4,27.0,-81.5,-79.0,,210.2,-83.0,0.6,-124.1,-153.1,-80.8,-94.2,20.5,,-136.9,-107.0,,-127.6,45.0,,66.7,59.0,-62.9,5.6,True,True,True,,False,True,True,False,False,True,True,True,,False,True,,False,True,,True,True,True,True
Missouri,3055,3155.6,2889.0,2519.5,2574.0,,2515.8,2274.0,2630.0,2492.3,2653.8,2720.5,2634.6,2952.3,,2694.0,2741.0,,2470.3,2728.2,,3048.6,3115.0,2164.6,2777.0,129.6,-137.0,-506.5,-452.0,,-510.2,-752.0,-396.0,-533.7,-372.2,-305.5,-391.4,-73.7,,-332.0,-285.0,,-555.7,-297.8,,22.6,89.0,-861.4,-249.0,False,False,False,,False,False,False,False,False,False,False,True,,False,False,,False,False,,True,True,False,False
Montana,375,250.7,675.0,319.8,205.0,,281.3,247.0,286.0,297.7,262.6,315.9,259.6,332.2,,247.4,277.0,,199.1,231.8,,311.3,322.0,210.1,291.4,-124.3,300.0,-55.2,-170.0,,-93.7,-128.0,-89.0,-77.3,-112.4,-59.1,-115.4,-42.8,,-127.6,-98.0,,-175.9,-143.2,,-63.7,-53.0,-164.9,-83.6,False,True,False,,True,False,True,True,True,True,True,True,,False,True,,False,False,,True,True,False,True
Nebraska,652,606.0,655.0,584.5,508.0,,694.0,589.0,589.2,647.5,631.3,611.4,542.6,580.4,,564.3,584.0,,531.3,550.0,,642.3,573.0,518.3,585.6,-46.0,3.0,-67.5,-144.0,,42.0,-63.0,-62.8,-4.5,-20.7,-40.6,-109.4,-71.6,,-87.7,-68.0,,-120.7,-102.0,,-9.7,-79.0,-133.7,-66.4,True,False,False,,True,False,False,True,True,True,False,False,,False,False,,False,False,,True,False,False,False
Nevada,1777,1847.3,2189.0,1818.9,1792.0,,2016.1,1819.0,1817.8,1739.6,1803.8,1760.4,1874.5,1868.4,,1746.6,1769.0,,1678.8,1922.0,,1860.8,1997.0,1794.6,1805.7,70.3,412.0,41.9,15.0,,239.1,42.0,40.8,-37.4,26.8,-16.6,97.5,91.4,,-30.4,-8.0,,-98.2,145.0,,83.8,220.0,17.6,28.7,False,True,True,,False,True,True,True,True,True,False,False,,True,True,,False,False,,False,False,True,True
New Hampshire,483,443.9,450.0,452.6,439.0,,458.9,450.0,449.2,468.8,478.0,463.3,452.1,471.3,,462.9,441.0,,445.4,452.4,,516.1,443.0,447.5,449.1,-39.1,-33.0,-30.4,-44.0,,-24.1,-33.0,-33.8,-14.2,-5.0,-19.7,-30.9,-11.7,,-20.1,-42.0,,-37.6,-30.6,,33.1,-40.0,-35.5,-33.9,True,True,False,,True,True,True,True,True,True,True,True,,True,False,,True,True,,True,False,True,True
New Jersey,16350,16295.4,16883.0,16378.6,16130.0,,16948.0,16302.0,16368.6,16669.5,16370.8,16329.7,16294.0,16763.0,,16451.8,16107.0,,16292.5,16246.0,,17813.5,16353.0,16322.1,16365.9,-54.6,533.0,28.6,-220.0,,598.0,-48.0,18.6,319.5,20.8,-20.3,-56.0,413.0,,101.8,-243.0,,-57.5,-104.0,,1463.5,3.0,-27.9,15.9,False,True,False,,False,True,True,False,True,True,False,False,,False,False,,False,False,,False,True,True,True
New Mexico,1018,972.0,1129.0,960.1,923.0,,978.7,975.0,991.7,972.9,1051.4,1002.1,993.3,1043.9,,987.6,913.0,,903.4,948.4,,1080.4,1070.0,948.3,1019.8,-46.0,111.0,-57.9,-95.0,,-39.3,-43.0,-26.3,-45.1,33.4,-15.9,-24.7,25.9,,-30.4,-105.0,,-114.6,-69.6,,62.4,52.0,-69.7,1.8,False,False,False,,True,True,True,True,True,True,True,True,,True,False,,False,False,,False,False,False,True
New York,33730,33344.7,33373.0,33393.8,33133.0,,33516.9,33341.0,33408.6,34104.1,33698.8,33371.6,33302.8,34681.2,,33294.8,33184.0,,33333.3,33294.8,,35538.7,33382.0,33177.9,33534.1,-223.3,-195.0,-174.2,-435.0,,-51.1,-227.0,-159.4,536.1,130.8,-196.4,-265.2,1113.2,,-273.2,-384.0,,-234.7,-273.2,,1970.7,-186.0,-390.1,-33.9,True,True,False,,True,False,True,False,True,True,False,False,,False,False,,False,False,,False,True,False,True
North Carolina,4378,4402.7,4369.0,4109.6,4058.0,,4510.6,4203.0,4321.4,4254.0,4571.9,4224.5,4219.6,4293.5,,3994.7,4581.0,,3857.2,4216.9,,4786.6,4577.0,3906.8,4439.5,24.7,-9.0,-268.4,-320.0,,132.6,-175.0,-56.6,-124.0,193.9,-153.5,-158.4,-84.5,,-383.3,203.0,,-520.8,-161.1,,408.6,199.0,-471.2,61.5,True,False,False,,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False,False
North Dakota,524,420.4,425.0,389.7,232.0,,426.7,291.0,418.5,404.7,302.8,463.2,341.4,349.9,,495.5,543.0,,382.3,284.5,,393.5,434.0,275.0,468.0,-103.6,-99.0,-134.3,-292.0,,-97.3,-233.0,-105.5,-119.3,-221.2,-60.8,-182.6,-174.1,,-28.5,19.0,,-141.7,-239.5,,-130.5,-90.0,-249.0,-56.0,True,False,False,,True,False,False,False,False,True,False,False,,True,True,,False,False,,False,True,False,True
Ohio,5271,5353.0,5340.0,5433.3,5361.0,,5577.2,5192.0,5444.6,5273.4,5664.6,5488.6,5233.8,5844.2,5384.5,5032.0,5602.0,,4948.9,5322.7,,5883.3,5327.0,5194.7,5542.5,-294.0,-307.0,-213.7,-286.0,,-69.8,-455.0,-202.4,-373.6,17.6,-158.4,-413.2,197.2,-262.5,-615.0,-45.0,,-698.1,-324.3,,236.3,-320.0,-452.3,-104.5,False,True,True,,True,False,True,False,True,True,False,True,True,False,True,,False,False,,True,False,False,True
Oklahoma,1337,1297.4,1474.0,1273.0,1317.0,,1369.1,1242.0,1392.9,1545.4,1413.7,1360.6,1160.4,1384.8,,1051.8,1245.0,,1111.7,1281.9,,1477.8,1367.0,1146.4,1308.5,-39.6,137.0,-64.0,-20.0,,32.1,-95.0,55.9,208.4,76.7,23.6,-176.6,47.8,,-285.2,-92.0,,-225.3,-55.1,,140.8,30.0,-190.6,-28.5,False,False,True,,True,False,False,False,False,True,False,False,,False,False,,False,False,,False,True,False,True
Oregon,689,625.6,781.0,633.9,626.0,,674.6,647.0,649.8,673.5,827.4,623.8,631.3,684.5,,657.7,774.0,,583.0,645.5,,715.5,700.0,608.4,691.0,-63.4,92.0,-55.1,-63.0,,-14.4,-42.0,-39.2,-15.5,138.4,-65.2,-57.7,-4.5,,-31.3,85.0,,-106.0,-43.5,,26.5,11.0,-80.6,2.0,False,True,True,,True,True,True,True,False,False,True,True,,True,False,,False,True,,True,True,False,True
Pennsylvania,8800,8698.0,8696.0,8712.6,8317.0,,8747.7,8619.0,8667.9,8811.6,8944.6,8633.6,8441.7,9025.5,,8288.8,8837.0,,8277.1,8515.4,,9751.0,8788.0,8368.8,8822.4,-102.0,-104.0,-87.4,-483.0,,-52.3,-181.0,-132.1,11.6,144.6,-166.4,-358.3,225.5,,-511.2,37.0,,-522.9,-284.6,,951.0,-12.0,-431.2,22.4,False,True,False,,True,False,False,True,False,False,False,False,,False,True,,False,False,,False,True,False,True
Rhode Island,1216,1199.3,1268.0,1210.6,1108.0,,1245.0,1159.0,1194.3,1183.5,1222.4,1217.6,1127.8,1309.9,,1206.4,1226.0,,1126.9,1163.3,,1221.9,1179.0,0.0,1196.1,-2.7,66.0,8.6,-94.0,,43.0,-43.0,-7.7,-18.5,20.4,15.6,-74.2,107.9,,4.4,24.0,,-75.1,-38.7,,19.9,-23.0,-1202.0,-5.9,False,False,False,,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False,False
South Carolina,3935,3942.9,4167.0,3952.0,3869.0,,4122.8,3752.0,4086.1,3854.8,3760.0,4235.9,3691.7,3903.8,,3786.1,3779.0,,3545.0,3946.6,,4102.5,4147.0,3728.5,3890.6,7.9,232.0,17.0,-66.0,,187.8,-183.0,151.1,-80.2,-175.0,300.9,-243.3,-31.2,,-148.9,-156.0,,-390.0,11.6,,167.5,212.0,-206.5,-44.4,False,False,False,,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False,False
South Dakota,425,295.7,310.0,306.8,224.0,,321.4,274.0,306.9,403.0,262.9,313.6,296.5,307.1,,268.0,352.0,,225.5,258.4,,413.6,333.0,247.7,318.6,-129.3,-115.0,-118.2,-201.0,,-103.6,-151.0,-118.1,-22.0,-162.1,-111.4,-128.5,-117.9,,-157.0,-73.0,,-199.5,-166.6,,-11.4,-92.0,-177.3,-106.4,True,True,False,,True,False,True,True,False,True,True,True,,False,True,,False,False,,True,True,False,True
Tennessee,3353,3149.3,3257.0,3098.3,2973.0,,3980.0,2910.0,3026.2,2838.6,3095.9,3137.0,3034.1,3076.5,,2802.0,3155.5,,2624.8,3144.9,,2933.2,3077.0,2714.8,3035.6,-203.7,-96.0,-254.7,-380.0,,627.0,-443.0,-326.8,-514.4,-257.1,-216.0,-318.9,-276.5,,-551.0,-197.5,,-728.2,-208.1,,-419.8,-276.0,-638.2,-317.4,True,False,False,,False,False,False,False,False,False,False,False,,False,True,,False,False,,False,False,False,False
Texas,18788,18936.1,29697.0,18916.2,18022.0,,20072.9,18441.0,18402.4,19247.3,18415.0,19082.9,17446.6,18557.1,,17964.7,17827.0,,16597.4,18683.4,,18956.5,18926.0,17627.2,18633.1,432.1,11193.0,412.2,-482.0,,1568.9,-63.0,-101.6,743.3,-89.0,578.9,-1057.4,53.1,,-539.3,-677.0,,-1906.6,179.4,,452.5,422.0,-876.8,129.1,False,True,False,,False,True,True,False,True,False,False,True,,False,False,,False,True,,False,True,False,True
Utah,604,516.1,643.0,638.9,538.0,,487.4,515.0,567.1,710.0,569.8,550.9,564.1,524.1,,600.9,472.0,,466.7,520.0,,695.0,539.0,407.1,550.5,-87.9,39.0,34.9,-66.0,,-116.6,-89.0,-36.9,106.0,-34.2,-53.1,-39.9,-79.9,,-3.1,-132.0,,-137.3,-84.0,,91.0,-65.0,-196.9,-53.5,True,True,True,,False,False,True,False,True,True,True,True,,True,False,,False,True,,False,True,False,True
Vermont,58,58.0,58.0,59.0,59.0,,58.6,58.0,58.0,63.8,70.0,58.7,59.1,64.6,,61.1,58.0,,58.0,58.5,,63.2,58.0,58.1,59.5,0.0,0.0,1.0,1.0,,0.6,0.0,0.0,5.8,12.0,0.7,1.1,6.6,,3.1,0.0,,0.0,0.5,,5.2,0.0,0.1,1.5,True,False,False,,False,True,True,False,False,False,False,False,,False,True,,True,False,,False,True,False,False
Virginia,3654,3856.4,4061.0,4114.0,3283.0,,3227.0,3754.0,3742.5,3567.5,3828.0,3904.0,3620.5,3887.2,,3489.3,4025.0,,3468.9,3583.6,,3787.9,3458.0,3482.5,3855.4,204.4,409.0,462.0,-369.0,,-425.0,102.0,90.5,-84.5,176.0,252.0,-31.5,235.2,,-162.7,373.0,,-183.1,-68.4,,135.9,-194.0,-169.5,203.4,False,False,False,,False,True,True,True,True,False,True,False,,True,False,,True,True,,True,True,True,True
Washington,2345,2406.0,2503.0,2330.1,2462.0,,2244.7,2278.0,2282.0,2411.1,2491.6,2302.2,2290.9,2340.5,,2290.0,2461.0,,2191.4,2401.0,,2658.7,2462.0,2265.9,2463.6,42.0,139.0,-33.9,98.0,,-119.3,-86.0,-82.0,47.1,127.6,-61.8,-73.1,-23.5,,-74.0,97.0,,-172.6,37.0,,294.7,98.0,-98.1,99.6,False,True,False,,False,False,False,False,False,False,False,True,,False,False,,False,True,,False,False,False,False
