,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Maryland,4147,4105.4,6031.0,4178.9,3878.0,,4015.0,4156.6,4320.1,4021.9,4082.6,,4059.7,,4036.0,4794.3,4112.0,3986.6,4102.4,-41.6,1884.0,31.9,-269.0,,-132.0,9.6,173.1,-125.1,-64.4,,-87.3,,-111.0,647.3,-35.0,-160.4,-44.6,False,True,False,,False,True,False,False,False,,False,,False,False,True,False,False
Massachusetts,9991,9792.9,9207.0,9423.5,9264.0,,9491.0,9848.9,9202.9,9566.5,9592.2,,9474.8,,9481.5,11874.4,9764.0,9455.7,9598.1,-198.1,-784.0,-567.5,-727.0,,-500.0,-142.1,-788.1,-424.5,-398.8,,-516.2,,-509.5,1883.4,-227.0,-535.3,-392.9,False,False,False,,False,True,False,False,False,,False,,False,False,False,False,False
Michigan,7699,7631.0,8446.0,7643.4,7267.0,,7482.0,7615.7,8115.9,7092.2,7389.8,,7046.2,,7323.4,8974.8,7702.0,7047.8,7368.6,-68.0,747.0,-55.6,-432.0,,-217.0,-83.3,416.9,-606.8,-309.2,,-652.8,,-375.6,1275.8,3.0,-651.2,-330.4,False,True,False,,False,False,False,False,False,,False,,False,False,True,False,False
Minnesota,2511,2396.1,2388.0,2288.7,2021.0,,2484.0,2234.9,2449.8,2095.0,2189.3,,2182.7,,2337.5,2640.4,2214.0,2059.4,2300.4,-114.9,-123.0,-222.3,-490.0,,-27.0,-276.1,-61.2,-416.0,-321.7,,-328.3,,-173.5,129.4,-297.0,-451.6,-210.6,False,False,False,,True,False,True,False,False,,False,,False,False,False,False,False
Mississippi,3334,3471.9,3400.0,3162.9,3219.0,,4072.0,3194.0,3035.4,3042.7,3561.4,,2998.5,,3357.8,3244.3,3061.0,3170.0,3126.6,137.9,66.0,-171.1,-115.0,,738.0,-140.0,-298.6,-291.3,227.4,,-335.5,,23.8,-89.7,-273.0,-164.0,-207.4,True,False,True,,False,False,False,False,False,,False,,True,True,False,False,False
Missouri,3055,2046.4,4080.0,2667.2,2403.0,,2171.0,2499.2,2515.1,2282.9,2622.4,,1866.6,,2088.6,3102.6,2208.0,1885.4,2266.9,-981.6,1052.0,-360.8,-625.0,,-857.0,-528.8,-512.9,-745.1,-405.6,,-1161.4,,-939.4,74.6,-820.0,-1142.6,-761.1,False,True,True,,True,True,True,True,True,,False,,True,True,True,False,True
Montana,375,258.4,293.0,270.4,185.0,,386.0,233.8,200.4,177.6,341.8,,149.1,,207.5,207.6,211.0,171.7,235.3,-116.6,-82.0,-104.6,-190.0,,11.0,-141.2,-174.6,-197.4,-33.2,,-225.9,,-167.5,-167.4,-164.0,-203.3,-139.7,True,True,False,,True,False,False,False,True,,False,,False,False,False,False,False
Nebraska,652,639.7,758.0,669.1,454.0,,744.0,608.2,574.1,503.1,636.9,,492.3,,551.9,591.5,579.0,493.8,556.1,-12.3,106.0,17.1,-198.0,,92.0,-43.8,-77.9,-148.9,-15.1,,-159.7,,-100.1,-60.5,-73.0,-158.2,-95.9,False,False,False,,False,False,False,False,False,,False,,False,False,False,False,False
Nevada,1777,1884.0,1695.0,1742.1,1785.0,,1903.0,1683.4,1607.2,1671.0,2222.0,,1512.9,,1966.5,1691.2,1650.0,1746.3,1726.9,107.0,-82.0,-34.9,8.0,,126.0,-93.6,-169.8,-106.0,445.0,,-264.1,,189.5,-85.8,-127.0,-30.7,-50.1,True,True,True,,False,True,False,True,False,,False,,False,True,False,True,True
New Hampshire,483,456.6,512.0,462.6,438.0,,480.0,467.8,488.2,456.3,453.8,,507.6,,463.3,597.0,494.0,447.2,457.1,-26.4,29.0,-20.4,-45.0,,-3.0,-15.2,5.2,-26.7,-29.2,,24.6,,-19.7,114.0,11.0,-35.8,-25.9,False,True,False,,True,True,True,False,False,,True,,True,False,True,False,True
