,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,7979,8050.3,8108.5,8033.3,8021.0,8035.1,8027.0,7980.0,8014.2,7818.1,7957.0,8093.2,8017.5,8013.5,,7912.6,8009.0,7986.6,7961.4,7866.4,7880.6,7952.7,8013.1,8046.8,8005.0,7966.0,8035.8,7980.5,,7931.1,8072.0,7783.0,,8066.8,8036.6,,8064.0,7982.0,8114.0,8026.5,,8035.5,8032.0,8048.3,8078.0,8009.5,7818.2,8057.0,71.3,129.5,54.3,42.0,56.1,48.0,1.0,35.2,-160.9,-22.0,114.2,38.5,34.5,,-66.4,30.0,7.6,-17.6,-112.6,-98.4,-26.3,34.1,67.8,26.0,-13.0,56.8,1.5,,-47.9,93.0,-196.0,,87.8,57.6,,85.0,3.0,135.0,47.5,,56.5,53.0,69.3,99.0,30.5,-160.8,78.0,False,True,True,True,True,True,True,False,True,False,True,True,,True,True,True,True,False,False,True,True,True,True,True,True,True,,True,False,False,,False,True,,False,True,False,True,,True,True,True,False,True,False,False
Hawaii,219,220.4,222.4,224.8,222.0,222.0,215.0,201.0,,210.7,208.0,225.5,,199.4,,223.5,,215.3,227.1,209.7,233.6,214.9,214.7,205.0,230.2,223.0,210.7,222.9,,221.7,215.0,211.0,,,204.8,,219.0,169.5,239.0,199.2,,209.4,208.0,219.4,218.0,229.0,206.0,220.0,1.4,3.4,5.8,3.0,3.0,-4.0,-18.0,,-8.3,-11.0,6.5,,-19.6,,4.5,,-3.7,8.1,-9.3,14.6,-4.1,-4.3,-14.0,11.2,4.0,-8.3,3.9,,2.7,-4.0,-8.0,,,-14.2,,0.0,-49.5,20.0,-19.8,,-9.6,-11.0,0.4,-1.0,10.0,-13.0,1.0,False,False,False,False,False,False,,False,False,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,True,False,False,False,,False,False,True,True,False,False,True
Idaho,629,567.0,570.0,575.8,583.0,573.0,579.0,627.0,581.4,564.2,560.0,576.9,597.6,576.0,,618.6,578.0,583.9,611.7,615.8,593.0,608.1,569.4,585.9,558.6,622.0,599.2,606.5,,599.7,582.4,550.0,,,561.2,,588.0,478.2,591.0,573.7,,606.3,581.0,572.5,577.0,564.0,559.6,572.0,-62.0,-59.0,-53.2,-46.0,-56.0,-50.0,-2.0,-47.6,-64.8,-69.0,-52.1,-31.4,-53.0,,-10.4,-51.0,-45.1,-17.3,-13.2,-36.0,-20.9,-59.6,-43.1,-70.4,-7.0,-29.8,-22.5,,-29.3,-46.6,-79.0,,,-67.8,,-41.0,-150.8,-38.0,-55.3,,-22.7,-48.0,-56.5,-52.0,-65.0,-69.4,-57.0,True,True,True,True,True,True,True,False,False,True,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,False,,,False,,True,False,True,True,,True,True,True,True,False,False,True
Illinois,10040,9927.1,10169.1,9914.0,9869.0,9913.7,9914.0,10056.0,10178.1,9725.8,9704.0,9959.7,9979.9,9814.9,,9699.5,9851.0,9916.1,10043.2,9670.0,9826.0,10013.7,9957.3,10039.8,9909.1,9876.0,9776.0,9957.6,9740.5,9745.5,10026.7,9708.0,,9786.6,9912.3,,9964.0,9811.4,10137.0,9844.5,,9789.8,10008.0,9936.1,9998.0,10019.5,9447.6,9764.0,-112.9,129.1,-126.0,-171.0,-126.3,-126.0,16.0,138.1,-314.2,-336.0,-80.3,-60.1,-225.1,,-340.5,-189.0,-123.9,3.2,-370.0,-214.0,-26.3,-82.7,-0.2,-130.9,-164.0,-264.0,-82.4,-299.5,-294.5,-13.3,-332.0,,-253.4,-127.7,,-76.0,-228.6,97.0,-195.5,,-250.2,-32.0,-103.9,-42.0,-20.5,-592.4,-276.0,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,False,,False,False,,True,False,True,False,,False,True,True,True,True,False,False
Indiana,4332,4211.9,4342.3,4190.5,4180.0,4190.0,4204.0,4305.0,4430.3,4070.0,4080.0,4198.7,4194.4,4172.5,,4220.5,4068.0,4176.2,4297.6,3978.5,4094.1,4241.2,4152.7,4264.8,4182.3,4186.0,4212.5,4181.3,4340.5,4225.9,4299.2,4109.0,,4090.8,4204.3,,4229.0,4961.3,4258.0,4141.9,,4222.3,4236.0,4139.9,4289.0,4310.0,3816.0,4310.0,-120.1,10.3,-141.5,-152.0,-142.0,-128.0,-27.0,98.3,-262.0,-252.0,-133.3,-137.6,-159.5,,-111.5,-264.0,-155.8,-34.4,-353.5,-237.9,-90.8,-179.3,-67.2,-149.7,-146.0,-119.5,-150.7,8.5,-106.1,-32.8,-223.0,,-241.2,-127.7,,-103.0,629.3,-74.0,-190.1,,-109.7,-96.0,-192.1,-43.0,-22.0,-516.0,-22.0,True,False,False,False,False,True,True,False,False,False,False,False,,True,False,False,True,False,False,True,False,True,False,False,True,False,True,True,True,False,,False,False,,True,False,True,False,,True,True,False,True,True,False,True
Iowa,1716,1662.0,1674.4,1668.3,1691.0,1666.0,1674.0,1626.0,1765.1,1639.7,1622.0,1666.8,1662.7,1677.1,,1700.7,1654.0,1676.0,1727.1,1734.0,1644.4,1700.4,1626.6,1687.5,1664.0,1725.0,1682.0,1689.9,,1701.4,1701.6,1726.0,,1667.6,1639.7,,1689.0,1996.8,1683.0,1656.4,,1686.8,1662.0,1659.9,1684.0,1684.5,1608.1,1677.0,-54.0,-41.6,-47.7,-25.0,-50.0,-42.0,-90.0,49.1,-76.3,-94.0,-49.2,-53.3,-38.9,,-15.3,-62.0,-40.0,11.1,18.0,-71.6,-15.6,-89.4,-28.5,-52.0,9.0,-34.0,-26.1,,-14.6,-14.4,10.0,,-48.4,-76.3,,-27.0,280.8,-33.0,-59.6,,-29.2,-54.0,-56.1,-32.0,-31.5,-107.9,-39.0,True,True,True,True,True,False,True,False,False,True,True,True,,True,False,True,True,True,False,True,False,True,True,True,True,True,,True,True,True,,True,False,,True,False,True,False,,True,False,False,True,True,False,True
Kansas,1029,1016.9,1092.0,1037.1,1056.0,1031.0,1015.0,971.0,1067.4,902.2,873.0,1036.3,1056.4,995.1,,1095.3,972.0,1028.4,999.7,1056.1,977.2,1018.8,966.4,999.4,995.5,1051.0,1043.0,1010.3,,945.0,1047.7,1011.0,,,1020.4,,1034.0,893.1,1007.0,1002.2,,1048.1,1098.0,1034.5,1045.0,1006.0,923.7,1014.0,-12.1,63.0,8.1,27.0,2.0,-14.0,-58.0,38.4,-126.8,-156.0,7.3,27.4,-33.9,,66.3,-57.0,-0.6,-29.3,27.1,-51.8,-10.2,-62.6,-29.6,-33.5,22.0,14.0,-18.7,,-84.0,18.7,-18.0,,,-8.6,,5.0,-135.9,-22.0,-26.8,,19.1,69.0,5.5,16.0,-23.0,-105.3,-15.0,False,True,False,True,False,False,False,False,False,True,False,False,,False,False,True,False,False,False,True,False,False,False,False,False,False,,False,False,False,,,True,,True,False,False,False,,False,False,True,False,False,False,False
Kentucky,1485,1440.6,1496.8,1437.2,1451.0,1438.0,1440.0,1468.0,1434.7,1366.9,1418.0,1455.5,,1433.4,,1476.8,1427.0,1432.6,1425.0,1477.4,1452.8,1456.6,1402.2,1438.6,1459.6,1495.0,1463.0,1438.8,1481.0,1386.1,1452.6,1370.0,,1391.1,1455.6,,1451.0,1537.0,1427.0,1440.6,,1471.4,1457.0,1407.9,1461.0,1427.0,1386.0,1450.0,-44.4,11.8,-47.8,-34.0,-47.0,-45.0,-17.0,-50.3,-118.1,-67.0,-29.5,,-51.6,,-8.2,-58.0,-52.4,-60.0,-7.6,-32.2,-28.4,-82.8,-46.4,-25.4,10.0,-22.0,-46.2,-4.0,-98.9,-32.4,-115.0,,-93.9,-29.4,,-34.0,52.0,-58.0,-44.4,,-13.6,-28.0,-77.1,-24.0,-58.0,-99.0,-35.0,True,False,True,False,False,True,False,False,False,True,,False,,True,False,False,False,True,True,True,False,False,True,True,True,False,True,False,True,False,,False,True,,True,False,False,True,,True,True,False,True,False,False,True
Louisiana,5919,5926.4,5885.2,5912.3,5893.0,5911.0,5895.0,5867.0,5888.8,5819.0,5872.0,5912.7,5937.9,5884.5,,5920.7,5843.0,5888.8,5882.8,5721.4,5839.4,5882.3,5919.9,5875.6,5934.2,5885.0,5921.3,5887.9,,5897.5,5895.2,5806.0,,5888.1,5871.3,,5926.0,5710.1,5965.0,5939.1,,5920.8,5883.0,5978.7,5895.0,5881.0,5715.1,5915.0,7.4,-33.8,-6.7,-26.0,-8.0,-24.0,-52.0,-30.2,-100.0,-47.0,-6.3,18.9,-34.5,,1.7,-76.0,-30.2,-36.2,-197.6,-79.6,-36.7,0.9,-43.4,15.2,-34.0,2.3,-31.1,,-21.5,-23.8,-113.0,,-30.9,-47.7,,7.0,-208.9,46.0,20.1,,1.8,-36.0,59.7,-24.0,-38.0,-203.9,-4.0,False,True,False,False,False,False,False,False,False,True,False,False,,True,False,False,False,False,False,False,True,False,False,False,True,False,,False,False,False,,False,False,,True,False,False,False,,True,False,False,False,False,False,True
Maine,147,151.6,159.0,150.7,152.0,152.0,150.0,147.0,147.5,145.9,148.0,153.3,150.4,150.1,,145.8,148.0,148.2,146.4,154.8,157.7,150.7,148.7,146.5,154.0,161.0,150.9,156.1,,147.8,151.2,147.0,,,146.2,,150.0,169.6,161.0,147.6,,159.4,150.0,152.7,151.0,150.0,149.2,,4.6,12.0,3.7,5.0,5.0,3.0,0.0,0.5,-1.1,1.0,6.3,3.4,3.1,,-1.2,1.0,1.2,-0.6,7.8,10.7,3.7,1.7,-0.5,7.0,14.0,3.9,9.1,,0.8,4.2,0.0,,,-0.8,,3.0,22.6,14.0,0.6,,12.4,3.0,5.7,4.0,3.0,2.2,,False,True,False,False,True,True,True,True,True,False,True,True,,True,True,True,True,False,False,True,True,True,False,False,True,False,,True,True,True,,,True,,True,False,False,True,,False,True,False,True,True,True,
