,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Idaho,629,607.0,601.0,570.0,553.0,,557.4,646.0,584.8,558.0,683.9,545.4,1901.1,,526.5,557.0,,486.5,,575.2,581.3,587.0,543.6,575.3,-22.0,-28.0,-59.0,-76.0,,-71.6,17.0,-44.2,-71.0,54.9,-83.6,1272.1,,-102.5,-72.0,,-142.5,,-53.8,-47.7,-42.0,-85.4,-53.7,False,False,False,,False,True,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
Illinois,9994,9535.3,9329.0,9409.7,9278.0,,9301.9,9412.0,9646.0,10101.4,9762.1,9212.4,9102.5,9971.5,9484.6,9469.0,,9091.0,,9392.4,11488.4,9445.0,9041.4,9386.8,-458.7,-665.0,-584.3,-716.0,,-692.1,-582.0,-348.0,107.4,-231.9,-781.6,-891.5,-22.5,-509.4,-525.0,,-903.0,,-601.6,1494.4,-549.0,-952.6,-607.2,False,False,False,,False,False,True,True,True,False,False,True,False,False,,False,,False,False,False,False,False
Indiana,4332,3904.3,3888.0,3864.7,4019.0,,3937.2,3973.0,3943.4,4358.6,4166.2,3729.9,4120.3,3988.5,3861.3,3963.0,,3755.5,,3826.5,4815.7,3869.0,3572.0,3882.2,-427.7,-444.0,-467.3,-313.0,,-394.8,-359.0,-388.6,26.6,-165.8,-602.1,-211.7,-343.5,-470.7,-369.0,,-576.5,,-505.5,483.7,-463.0,-760.0,-449.8,False,False,True,,True,True,True,True,True,False,True,True,False,True,,False,,False,False,False,False,False
Iowa,1716,1528.6,1379.0,1501.5,1662.0,,1666.1,1659.0,1652.4,1623.5,1714.7,1463.9,1578.4,,1657.4,1451.0,,1323.6,,1545.8,1932.2,1453.0,1435.9,1556.6,-187.4,-337.0,-214.5,-54.0,,-49.9,-57.0,-63.6,-92.5,-1.3,-252.1,-137.6,,-58.6,-265.0,,-392.4,,-170.2,216.2,-263.0,-280.1,-159.4,False,False,True,,True,True,True,True,True,False,True,,True,False,,False,,True,False,False,False,True
Kansas,1025,987.4,802.0,900.5,808.0,,1045.5,830.0,822.1,827.5,909.5,782.3,802.0,,733.4,1279.0,,651.6,,866.0,812.0,897.0,705.1,818.6,-37.6,-223.0,-124.5,-217.0,,20.5,-195.0,-202.9,-197.5,-115.5,-242.7,-223.0,,-291.6,254.0,,-373.4,,-159.0,-213.0,-128.0,-319.9,-206.4,False,False,False,,True,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
Kentucky,1485,1409.7,1553.0,1438.0,1463.0,,1559.9,1710.0,1500.6,1488.2,1690.1,1328.5,1419.6,1709.0,1233.3,1591.0,,1283.4,,1463.5,1633.7,1401.0,1278.9,1431.3,-75.3,68.0,-47.0,-22.0,,74.9,225.0,15.6,3.2,205.1,-156.5,-65.4,224.0,-251.7,106.0,,-201.6,,-21.5,148.7,-84.0,-206.1,-53.7,True,True,True,,True,False,True,True,False,False,True,False,False,False,,False,,True,False,False,False,True
Louisiana,5919,6147.0,6808.0,5963.7,5813.0,,6024.5,6261.0,5820.4,5783.3,5774.5,5811.8,6599.3,,5597.8,5770.0,,5849.2,,6341.7,6043.0,5885.0,5817.5,5946.0,228.0,889.0,44.7,-106.0,,105.5,342.0,-98.6,-135.7,-144.5,-107.2,680.3,,-321.2,-149.0,,-69.8,,422.7,124.0,-34.0,-101.5,27.0,False,True,True,,True,False,True,True,True,True,False,,False,True,,True,,False,True,True,True,True
Maine,147,156.6,155.0,149.0,143.0,,139.4,206.0,157.4,168.3,192.2,149.8,189.6,,142.7,145.0,,144.4,,151.6,185.8,162.0,150.3,155.4,9.6,8.0,2.0,-4.0,,-7.6,59.0,10.4,21.3,45.2,2.8,42.6,,-4.3,-2.0,,-2.6,,4.6,38.8,15.0,3.3,8.4,True,True,True,,True,False,False,False,False,True,False,,True,True,,True,,True,False,False,True,True
Maryland,4147,4119.1,4546.0,4110.4,3901.0,,4258.1,4132.0,4149.0,4325.5,4198.0,4020.1,4091.4,,4245.0,4110.0,,3979.1,,4051.1,4721.6,4128.0,4101.9,4103.2,-27.9,399.0,-36.6,-246.0,,111.1,-15.0,2.0,178.5,51.0,-126.9,-55.6,,98.0,-37.0,,-167.9,,-95.9,574.6,-19.0,-45.1,-43.8,False,False,False,,False,True,True,False,False,False,False,,False,False,,False,,False,False,True,False,False
Massachusetts,9991,9895.7,33863.0,9452.5,9339.0,,10003.9,9515.0,9858.0,9754.1,9807.4,9688.8,9639.8,,9597.4,9479.0,,9628.5,,9610.9,10918.0,10293.0,9779.4,9655.9,-95.3,23872.0,-538.5,-652.0,,12.9,-476.0,-133.0,-236.9,-183.6,-302.2,-351.2,,-393.6,-512.0,,-362.5,,-380.1,927.0,302.0,-211.6,-335.1,False,False,False,,True,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
Michigan,7699,7308.7,7703.0,7469.6,7247.0,,7177.0,7694.0,7480.0,7962.8,7873.3,7065.1,7381.0,8967.0,7169.9,7481.0,,7293.2,,7191.4,8537.5,7155.0,7290.1,7325.5,-390.3,4.0,-229.4,-452.0,,-522.0,-5.0,-219.0,263.8,174.3,-633.9,-318.0,1268.0,-529.1,-218.0,,-405.8,,-507.6,838.5,-544.0,-408.9,-373.5,True,True,False,,False,True,True,True,True,False,True,False,False,True,,False,,False,False,False,False,True
Minnesota,2511,2286.4,2229.0,2272.2,2080.0,,2352.0,2494.0,2340.9,2497.1,2440.3,2299.9,2196.2,2983.5,2232.0,2434.0,,2168.6,,2367.2,3427.2,2439.0,2134.0,2301.5,-224.6,-282.0,-238.8,-431.0,,-159.0,-17.0,-170.1,-13.9,-70.7,-211.1,-314.8,472.5,-279.0,-77.0,,-342.4,,-143.8,916.2,-72.0,-377.0,-209.5,False,False,False,,True,True,True,True,True,True,False,False,False,True,,False,,True,False,True,False,True
Mississippi,3334,3471.9,3300.0,3141.5,3236.0,,3029.7,3763.0,3373.3,3128.3,3175.6,3255.3,3535.7,,3079.0,2968.0,,3002.9,,3411.4,3373.8,3264.0,3250.6,3235.3,137.9,-34.0,-192.5,-98.0,,-304.3,429.0,39.3,-205.7,-158.4,-78.7,201.7,,-255.0,-366.0,,-331.1,,77.4,39.8,-70.0,-83.4,-98.7,True,False,True,,False,False,True,False,False,True,False,,False,False,,False,,True,True,True,True,True
Missouri,3037,2382.4,3030.0,2410.3,2423.0,,2127.0,2523.0,2487.7,2478.7,2480.2,2143.8,2658.9,,3104.6,2608.0,,2002.3,,2234.2,2887.1,2249.0,1957.5,2306.5,-654.6,-7.0,-626.7,-614.0,,-910.0,-514.0,-549.3,-558.3,-556.8,-893.2,-378.1,,67.6,-429.0,,-1034.7,,-802.8,-149.9,-788.0,-1079.5,-730.5,True,True,True,,False,True,True,True,True,False,True,,True,True,,False,,False,True,False,False,False
Montana,375,285.9,299.0,283.0,198.0,,207.4,227.0,266.7,219.7,258.1,250.6,348.0,,211.9,256.0,,185.7,,243.0,298.9,317.0,200.0,258.3,-89.1,-76.0,-92.0,-177.0,,-167.6,-148.0,-108.3,-155.3,-116.9,-124.4,-27.0,,-163.1,-119.0,,-189.3,,-132.0,-76.1,-58.0,-175.0,-116.7,True,False,False,,False,False,False,False,False,False,True,,False,False,,False,,False,True,True,False,False
Nebraska,652,488.9,758.0,631.3,475.0,,715.1,553.0,592.8,584.2,626.4,508.6,627.8,,578.1,562.0,,480.6,,476.8,633.6,552.0,495.5,531.9,-163.1,106.0,-20.7,-177.0,,63.1,-99.0,-59.2,-67.8,-25.6,-143.4,-24.2,,-73.9,-90.0,,-171.4,,-175.2,-18.4,-100.0,-156.5,-120.1,True,True,False,,True,True,True,True,True,True,True,,True,True,,False,,False,True,True,True,True
Nevada,1773,1993.7,1721.0,1728.3,1804.0,,1791.6,1896.0,1767.8,1675.0,1812.6,1808.5,2196.1,,1756.4,1766.0,,1645.8,,2008.5,1781.6,1859.0,1810.9,1805.5,220.7,-52.0,-44.7,31.0,,18.6,123.0,-5.2,-98.0,39.6,35.5,423.1,,-16.6,-7.0,,-127.2,,235.5,8.6,86.0,37.9,32.5,True,True,True,,True,True,True,True,True,True,False,,True,True,,True,,False,True,True,True,True
New Hampshire,483,449.7,734.0,459.2,439.0,,446.8,456.0,459.7,494.8,483.6,457.8,476.8,,472.3,441.0,,448.4,,461.3,558.3,462.0,459.1,460.5,-33.3,251.0,-23.8,-44.0,,-36.2,-27.0,-23.3,11.8,0.6,-25.2,-6.2,,-10.7,-42.0,,-34.6,,-21.7,75.3,-21.0,-23.9,-22.5,False,True,False,,False,True,True,True,True,True,True,,True,False,,False,,True,False,True,True,True
New Jersey,16350,16277.9,17145.0,16398.7,16096.0,,17124.2,16604.0,16320.7,16659.5,16381.5,16206.9,16618.0,,16371.5,16112.0,,16151.2,,16231.4,17889.0,16385.0,16717.5,16229.1,-72.1,795.0,48.7,-254.0,,774.2,254.0,-29.3,309.5,31.5,-143.1,268.0,,21.5,-238.0,,-198.8,,-118.6,1539.0,35.0,367.5,-120.9,False,True,False,,False,False,True,False,True,False,False,,True,False,,False,,False,False,True,False,False
New Mexico,1018,1001.3,984.0,927.8,910.0,,987.8,1083.0,959.5,933.8,1042.5,944.6,1279.6,,947.7,937.0,,885.1,,944.4,998.3,986.0,945.1,982.2,-16.7,-34.0,-90.2,-108.0,,-30.2,65.0,-58.5,-84.2,24.5,-73.4,261.6,,-70.3,-81.0,,-132.9,,-73.6,-19.7,-32.0,-72.9,-35.8,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
New York,33511,33461.9,33602.0,33381.8,33089.0,,33938.3,33723.0,33526.1,34247.1,33958.9,33265.7,34949.8,,33828.6,33081.0,,34251.3,,33312.8,35417.7,33478.0,34191.9,33421.9,-49.1,91.0,-129.2,-422.0,,427.3,212.0,15.1,736.1,447.9,-245.3,1438.8,,317.6,-430.0,,740.3,,-198.2,1906.7,-33.0,680.9,-89.1,False,False,False,,False,False,True,False,False,False,False,,False,False,,False,,False,False,True,False,False
North Carolina,4378,4361.7,4002.0,4036.0,4019.0,,4404.6,4597.0,4182.2,3779.1,4500.9,3918.1,4210.1,,3866.0,4241.0,,3762.5,,4081.8,4137.1,4057.0,3774.1,4100.3,-16.3,-376.0,-342.0,-359.0,,26.6,219.0,-195.8,-598.9,122.9,-459.9,-167.9,,-512.0,-137.0,,-615.5,,-296.2,-240.9,-321.0,-603.9,-277.7,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
North Dakota,524,332.6,336.0,325.4,193.0,,270.2,286.0,325.7,294.0,274.8,267.9,278.8,,401.6,330.5,,253.7,,198.1,380.6,321.0,231.0,294.3,-191.4,-188.0,-198.6,-331.0,,-253.8,-238.0,-198.3,-230.0,-249.2,-256.1,-245.2,,-122.4,-193.5,,-270.3,,-325.9,-143.4,-203.0,-293.0,-229.7,True,False,False,,False,False,False,False,False,False,False,,True,False,,False,,False,True,False,False,False
Ohio,5301,5786.4,5724.0,5368.9,5377.0,,5507.8,5545.0,5517.0,5495.0,5799.1,5129.0,5823.1,5998.0,4615.1,5455.0,,4874.0,,5511.7,5968.6,5496.0,5173.9,5444.9,485.4,423.0,67.9,76.0,,206.8,244.0,216.0,194.0,498.1,-172.0,522.1,697.0,-685.9,154.0,,-427.0,,210.7,667.6,195.0,-127.1,143.9,True,True,True,,True,True,True,True,False,True,False,False,False,True,,True,,True,False,True,True,True
Oklahoma,1337,1186.1,1800.0,1238.7,1297.0,,1123.4,1454.0,1399.1,1365.4,1393.2,1174.8,1514.8,,1341.7,1176.0,,1049.3,,1217.2,1591.2,1256.0,1116.4,1212.6,-150.9,463.0,-98.3,-40.0,,-213.6,117.0,62.1,28.4,56.2,-162.2,177.8,,4.7,-161.0,,-287.7,,-119.8,254.2,-81.0,-220.6,-124.4,False,True,True,,False,True,True,True,True,False,False,,True,False,,False,,True,False,True,False,True
Oregon,689,625.6,644.0,638.0,627.0,,620.5,648.0,650.9,633.9,895.2,629.1,813.1,,664.3,677.0,,582.2,,640.5,712.6,653.0,611.1,674.1,-63.4,-45.0,-51.0,-62.0,,-68.5,-41.0,-38.1,-55.1,206.2,-59.9,124.1,,-24.7,-12.0,,-106.8,,-48.5,23.6,-36.0,-77.9,-14.9,True,True,True,,False,True,True,True,False,True,False,,True,True,,False,,True,True,True,False,True
Pennsylvania,8800,8727.3,8895.0,8514.1,8184.0,,8771.4,8436.0,8598.9,8925.7,8993.4,8264.0,8443.4,,8419.7,8359.0,,8719.7,,8335.5,9758.4,8624.0,8496.1,8470.2,-72.7,95.0,-285.9,-616.0,,-28.6,-364.0,-201.1,125.7,193.4,-536.0,-356.6,,-380.3,-441.0,,-80.3,,-464.5,958.4,-176.0,-303.9,-329.8,False,False,False,,True,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
Rhode Island,1201,1187.6,1302.0,1168.6,1090.0,,1196.3,1136.0,1187.1,1186.8,1245.0,1112.5,1579.8,,1157.0,1110.0,,1104.5,,1146.4,1220.7,1170.0,0.0,1161.0,-13.4,101.0,-32.4,-111.0,,-4.7,-65.0,-13.9,-14.2,44.0,-88.5,378.8,,-44.0,-91.0,,-96.5,,-54.6,19.7,-31.0,-1201.0,-40.0,False,False,False,,True,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
South Carolina,3935,3989.7,5703.0,4230.5,3911.0,,4076.9,4119.0,4157.8,3778.3,3706.5,3608.6,4005.1,,3802.8,3762.0,,3533.6,,3961.4,3958.3,3940.0,3656.1,3890.1,54.7,1768.0,295.5,-24.0,,141.9,184.0,222.8,-156.7,-228.5,-326.4,70.1,,-132.2,-173.0,,-401.4,,26.4,23.3,5.0,-278.9,-44.9,False,False,True,,False,False,False,False,False,False,False,,False,False,,False,,True,True,True,False,True
South Dakota,425,307.4,248.0,290.2,211.0,,235.4,294.0,301.9,284.1,247.9,253.6,395.3,,288.0,250.0,,251.1,,225.5,393.8,284.0,231.9,294.7,-117.6,-177.0,-134.8,-214.0,,-189.6,-131.0,-123.1,-140.9,-177.1,-171.4,-29.7,,-137.0,-175.0,,-173.9,,-199.5,-31.2,-141.0,-193.1,-130.3,False,False,False,,False,False,False,False,False,False,True,,False,False,,False,,False,True,False,False,False
Tennessee,3353,3038.0,4095.0,3147.6,2877.0,,3761.5,3419.0,2916.6,2816.5,3085.8,2972.3,4032.0,,2710.2,3765.0,,2579.8,,3107.2,2911.8,3078.0,2599.5,2912.4,-315.0,742.0,-205.4,-476.0,,408.5,66.0,-436.4,-536.5,-267.2,-380.7,679.0,,-642.8,412.0,,-773.2,,-245.8,-441.2,-275.0,-753.5,-440.6,False,True,False,,False,True,False,False,True,False,False,,False,False,,False,,True,False,True,False,False
Texas,18465,19088.4,17927.0,17539.8,18083.0,,17883.9,19811.0,18121.9,18011.6,18197.8,17702.7,20449.3,,17144.7,17675.0,,16157.5,18522.0,18598.1,18699.5,19112.0,17223.2,17958.0,623.4,-538.0,-925.2,-382.0,,-581.1,1346.0,-343.1,-453.4,-267.2,-762.3,1984.3,,-1320.3,-790.0,,-2307.5,57.0,133.1,234.5,647.0,-1241.8,-507.0,True,False,True,,True,False,True,True,True,False,False,,False,False,,False,True,True,True,False,False,True
Utah,604,481.0,678.0,617.5,500.0,,518.6,563.0,570.3,558.3,590.4,554.3,557.6,,686.0,478.0,,451.3,,525.5,821.1,515.0,406.7,531.7,-123.0,74.0,13.5,-104.0,,-85.4,-41.0,-33.7,-45.7,-13.6,-49.7,-46.4,,82.0,-126.0,,-152.7,,-78.5,217.1,-89.0,-197.3,-72.3,True,True,True,,True,True,True,True,True,True,True,,True,False,,False,,True,False,True,False,True
Vermont,58,58.0,58.0,60.1,59.0,,58.6,59.0,58.0,74.1,74.9,58.5,66.6,,61.7,58.0,,58.0,,58.7,64.5,58.0,57.9,64.7,0.0,0.0,2.1,1.0,,0.6,1.0,0.0,16.1,16.9,0.5,8.6,,3.7,0.0,,0.0,,0.7,6.5,0.0,-0.1,6.7,True,False,False,,False,False,True,False,False,False,False,,False,True,,True,,False,False,True,False,False
Virginia,3654,4705.7,4686.0,3635.2,3156.0,,3293.2,3792.0,3689.2,3718.7,3832.1,3421.2,3481.3,,3482.8,3586.0,,3830.3,,3768.8,3819.5,3650.0,3373.1,3725.4,1053.7,1034.0,-16.8,-496.0,,-358.8,140.0,37.2,66.7,180.1,-230.8,-170.7,,-169.2,-66.0,,178.3,,116.8,167.5,-2.0,-278.9,73.4,True,True,True,,True,True,True,True,True,True,True,,True,True,,True,,True,True,True,True,True
Washington,2366,2306.4,2237.0,2216.3,2481.0,,2285.6,2336.0,2229.9,2307.1,2488.8,2176.6,2620.8,,2174.3,2226.0,,2109.8,,2351.3,2494.1,2254.0,2226.9,2324.3,-59.6,-129.0,-149.7,115.0,,-80.4,-30.0,-136.1,-58.9,122.8,-189.4,254.8,,-191.7,-140.0,,-256.2,,-14.7,128.1,-112.0,-139.1,-41.7,False,False,False,,False,True,False,True,False,False,False,,False,False,,False,,True,False,False,False,True
West Virginia,459,589.3,906.0,597.8,443.0,,445.3,519.0,614.3,447.9,609.5,458.8,718.6,,431.1,428.0,,402.6,,465.9,491.4,573.0,395.0,508.6,130.3,447.0,138.8,-16.0,,-13.7,60.0,155.3,-11.1,150.5,-0.2,259.6,,-27.9,-31.0,,-56.4,,6.9,32.4,114.0,-64.0,49.6,False,False,True,,True,True,False,True,False,True,False,,True,True,,True,,True,True,True,True,True
Wisconsin,2031,1429.4,3073.0,1693.0,1638.0,,1662.5,1612.0,1660.9,1919.6,1786.7,1786.7,1518.4,1442.5,1448.6,1550.0,,1325.7,,1430.0,4036.3,1896.0,1376.3,1583.7,-601.6,1042.0,-338.0,-393.0,,-368.5,-419.0,-370.1,-111.4,-244.3,-244.3,-512.6,-588.5,-582.4,-481.0,,-705.3,,-601.0,2005.3,-135.0,-654.7,-447.3,False,True,True,,True,True,True,True,True,True,True,True,True,True,,False,,True,False,True,False,True
Wyoming,87,90.0,120.0,65.0,61.0,,45.7,59.0,73.7,102.2,88.5,75.7,218.7,,59.0,84.5,,49.0,,69.8,90.4,66.0,82.2,65.2,3.0,33.0,-22.0,-26.0,,-41.3,-28.0,-13.3,15.2,1.5,-11.3,131.7,,-28.0,-2.5,,-38.0,,-17.2,3.4,-21.0,-4.8,-21.8,False,False,False,,False,False,False,False,True,False,False,,False,True,,False,,False,False,False,False,False
