,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Nebraska,652,534.7,,518.0,,475.0,520.4,-117.3,,-134.0,,-177.0,-131.6,,False,,False,False
Nevada,1777,2320.6,,2035.0,,1632.1,1907.5,543.6,,258.0,,-144.9,130.5,,True,,True,True
New Hampshire,483,466.4,,427.0,,498.4,491.6,-16.6,,-56.0,,15.4,8.6,,False,,True,True
New Jersey,16350,16324.6,,16218.0,,16403.1,16118.6,-25.4,,-132.0,,53.1,-231.4,,False,,False,False
New Mexico,1018,1028.9,,963.0,,913.7,1028.1,10.9,,-55.0,,-104.3,10.1,,False,,False,True
New York,33730,33556.6,,33213.0,,33151.2,33250.6,-197.4,,-541.0,,-602.8,-503.4,,False,,False,False
North Carolina,4378,4029.9,,3934.0,,3028.1,3879.3,-348.1,,-444.0,,-1349.9,-498.7,,False,,False,False
North Dakota,524,266.1,,222.0,,230.1,230.1,-257.9,,-302.0,,-293.9,-293.9,,False,,False,False
Ohio,5301,5530.6,,4973.0,,4840.7,5437.1,229.6,,-328.0,,-460.3,136.1,,False,,False,True
Oklahoma,1337,1290.7,,1068.0,,950.2,1221.3,-46.3,,-269.0,,-386.8,-115.7,,False,,False,False
Oregon,689,735.4,,631.0,,547.1,777.9,46.4,,-58.0,,-141.9,88.9,,False,,False,False
Pennsylvania,8800,8994.7,,7810.0,,8652.1,8698.8,194.7,,-990.0,,-147.9,-101.2,,False,,True,True
Rhode Island,1201,1097.0,,1079.0,,1101.4,1106.1,-98.0,,-116.0,,-93.6,-88.9,,False,,True,True
South Carolina,3935,4853.0,,3370.0,,3500.0,3925.4,918.0,,-565.0,,-435.0,-9.6,,True,,True,True
South Dakota,425,229.0,,256.0,,250.3,231.9,-196.0,,-169.0,,-174.7,-193.1,,True,,True,True
Tennessee,3353,2918.6,,2640.0,,1974.4,2519.9,-434.4,,-713.0,,-1378.6,-833.1,,False,,False,False
Texas,18788,23848.0,,25066.0,17245.0,16145.0,18717.7,5427.0,,6645.0,-1176.0,-2276.0,296.7,,False,True,True,True
Utah,604,656.1,,591.0,,588.0,655.1,52.1,,-13.0,,-16.0,51.1,,True,,True,True
Vermont,58,58.0,,58.0,,59.7,73.3,0.0,,0.0,,1.7,15.3,,True,,False,False
Virginia,3654,2978.1,,2861.0,,2623.7,3421.7,-675.9,,-793.0,,-1030.3,-232.3,,False,,False,True
Washington,2345,2790.7,,2280.0,,2074.2,2829.4,466.7,,-44.0,,-249.8,505.4,,True,,True,False
West Virginia,459,388.0,,275.0,,355.9,428.7,-71.0,,-184.0,,-103.1,-30.3,,False,,False,True
Wisconsin,2339,1484.1,,1345.0,,1233.4,1602.4,-794.9,,-934.0,,-1045.6,-676.6,,False,,False,True
Wyoming,87,51.7,,32.0,,41.1,48.8,-35.3,,-55.0,,-45.9,-38.2,,False,,False,False
US,231420,247289.7,202539.5,220940.0,229881.0,220174.5,225376.6,16299.7,-28450.5,-10050.0,-1109.0,-10815.5,-5613.4,False,True,True,True,True
