,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,7979,8141.7,8028.0,8119.1,8055.0,8173.8,8013.0,7981.0,7921.4,7821.4,8042.0,8117.0,8001.2,8010.7,,7942.0,7939.3,7847.1,7865.0,7987.8,7992.6,8052.4,7901.0,8226.4,8060.0,,7802.3,8061.4,7523.0,,8068.3,7824.4,,8034.0,8127.2,8132.0,8115.5,,8234.3,8014.0,8111.6,7895.3,7964.0,7927.0,7791.7,8133.0,162.7,49.0,140.1,76.0,194.8,34.0,2.0,-57.6,-157.6,63.0,138.0,22.2,31.7,,-37.0,-39.7,-131.9,-114.0,8.8,13.6,73.4,-78.0,247.4,81.0,,-176.7,82.4,-456.0,,89.3,-154.6,,55.0,148.2,153.0,136.5,,255.3,35.0,132.6,-83.7,-15.0,-52.0,-187.3,154.0,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,,False,True,False,,True,True,,True,True,True,True,,False,True,True,True,True,True,False,True
Hawaii,219,206.1,240.2,217.5,213.0,213.0,204.0,190.0,332.4,188.9,203.0,224.9,,193.2,,,209.3,213.3,234.8,203.6,213.0,196.0,205.0,187.8,225.0,,191.6,207.2,203.0,,,182.4,,222.0,189.2,197.0,202.2,,187.7,204.0,216.2,183.0,213.0,230.0,196.1,217.0,-12.9,21.2,-1.5,-6.0,-6.0,-15.0,-29.0,113.4,-30.1,-16.0,5.9,,-25.8,,,-9.7,-5.7,15.8,-15.4,-6.0,-23.0,-14.0,-31.2,6.0,,-27.4,-11.8,-16.0,,,-36.6,,3.0,-29.8,-22.0,-16.8,,-31.3,-15.0,-2.8,-36.0,-6.0,11.0,-22.9,-2.0,False,True,True,True,False,False,False,False,False,True,,False,,,True,True,False,False,True,False,False,False,True,,False,True,False,,,False,,True,False,False,False,,False,False,True,False,True,True,False,True
Idaho,629,578.4,668.0,591.0,594.0,588.0,591.0,640.0,634.3,565.8,569.0,580.8,613.2,586.5,,582.0,593.6,606.8,601.5,605.6,556.7,585.3,630.0,619.7,621.4,,635.8,612.2,541.0,,,525.9,,611.0,478.2,611.0,583.8,,628.5,576.0,576.4,621.9,605.0,547.0,552.2,572.0,-50.6,39.0,-38.0,-35.0,-41.0,-38.0,11.0,5.3,-63.2,-60.0,-48.2,-15.8,-42.5,,-47.0,-35.4,-22.2,-27.5,-23.4,-72.3,-43.7,1.0,-9.3,-7.6,,6.8,-16.8,-88.0,,,-103.1,,-18.0,-150.8,-18.0,-45.2,,-0.5,-53.0,-52.6,-7.1,-24.0,-82.0,-76.8,-57.0,True,True,True,True,True,True,True,False,False,True,True,True,,True,True,True,True,True,False,True,True,True,True,,True,True,False,,,False,,True,False,True,True,,True,False,False,True,True,False,False,False
Illinois,10040,9772.9,10011.5,9812.8,9823.0,9814.0,9810.0,9931.0,9894.3,9612.9,9690.0,9765.7,9775.0,9652.1,,9757.0,9910.6,9986.9,9720.6,9794.3,9751.2,9909.6,9685.0,9701.9,9811.3,10349.5,9617.1,9892.7,9851.0,,9669.6,9760.0,,9823.0,9811.4,9978.0,9719.1,,9717.1,9845.0,9884.9,10797.1,9931.0,9818.5,9292.0,9610.0,-267.1,-28.5,-227.2,-217.0,-226.0,-230.0,-109.0,-145.7,-427.1,-350.0,-274.3,-265.0,-387.9,,-283.0,-129.4,-53.1,-319.4,-245.7,-288.8,-130.4,-355.0,-338.1,-228.7,309.5,-422.9,-147.3,-189.0,,-370.4,-280.0,,-217.0,-228.6,-62.0,-320.9,,-322.9,-195.0,-155.1,757.1,-109.0,-221.5,-748.0,-430.0,True,True,True,True,True,True,True,False,False,False,True,False,,False,True,True,False,True,False,True,False,False,True,False,False,True,True,,False,False,,True,True,True,False,,False,True,True,False,True,True,False,False
Indiana,4504,4117.6,4238.3,4128.5,4130.0,4121.2,4123.0,4242.0,4217.2,3990.0,4053.0,4026.3,4040.9,4096.4,,4016.0,4163.5,4221.4,4047.4,4142.3,4096.0,4196.9,4066.0,4119.1,4084.9,3991.0,4148.6,4283.6,4020.0,,4002.7,3981.6,,4121.0,4961.3,4242.0,4045.7,,4133.2,4180.0,4085.5,4651.0,4206.0,4148.0,3717.4,4244.0,-323.4,-202.7,-312.5,-311.0,-319.8,-318.0,-199.0,-223.8,-451.0,-388.0,-414.7,-400.1,-344.6,,-425.0,-277.5,-219.6,-393.6,-298.7,-345.0,-244.1,-375.0,-321.9,-356.1,-450.0,-292.4,-157.4,-421.0,,-438.3,-459.4,,-320.0,520.3,-199.0,-395.3,,-307.8,-261.0,-355.5,210.0,-235.0,-293.0,-723.6,-197.0,True,True,True,True,True,True,True,False,False,False,False,False,,False,True,True,False,True,False,True,False,True,False,False,True,True,False,,False,False,,True,False,True,False,,True,True,False,True,True,True,False,True
Iowa,1716,1676.3,1784.6,1695.4,1685.0,1693.0,1666.0,1544.0,1674.1,1600.1,1652.0,1596.9,1646.5,1654.4,,1611.0,1654.8,1679.8,1642.2,1715.0,1629.9,1711.2,1715.0,1753.4,1703.7,,1637.2,1722.2,1681.0,,1634.8,1597.0,,1665.0,1996.8,1691.0,1663.7,,1763.1,1660.0,1663.7,1799.9,1702.0,1666.0,1564.0,1728.0,-39.7,68.6,-20.6,-31.0,-23.0,-50.0,-172.0,-41.9,-115.9,-64.0,-119.1,-69.5,-61.6,,-105.0,-61.2,-36.2,-73.8,-1.0,-86.1,-4.8,-1.0,37.4,-12.3,,-78.8,6.2,-35.0,,-81.2,-119.0,,-51.0,280.8,-25.0,-52.3,,47.1,-56.0,-52.3,83.9,-14.0,-50.0,-152.0,12.0,False,True,True,True,False,False,False,False,False,False,False,False,,False,False,True,False,True,False,True,True,True,True,,False,True,True,,False,False,,False,False,True,False,,False,False,False,False,True,False,False,True
Kansas,1029,1014.0,1360.5,1036.1,997.0,1022.0,969.0,873.0,979.2,852.0,900.0,950.8,1068.9,1032.0,,960.0,931.0,976.9,928.2,975.4,892.7,943.3,1034.0,1020.5,935.7,,841.4,1048.0,1063.0,,,825.6,,969.0,893.1,920.0,869.8,,1035.1,956.0,989.2,916.1,1005.0,942.5,853.3,1069.0,-15.0,331.5,7.1,-32.0,-7.0,-60.0,-156.0,-49.8,-177.0,-129.0,-78.2,39.9,3.0,,-69.0,-98.0,-52.1,-100.8,-53.6,-136.3,-85.7,5.0,-8.5,-93.3,,-187.6,19.0,34.0,,,-203.4,,-60.0,-135.9,-109.0,-159.2,,6.1,-73.0,-39.8,-112.9,-24.0,-86.5,-175.7,40.0,False,True,False,True,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,True,True,False,,False,False,False,,,False,,False,False,False,False,,True,False,False,False,False,False,False,False
Kentucky,1485,1374.9,1398.4,1386.4,1395.0,1381.0,1422.0,1460.0,1499.6,1370.2,1445.0,1409.1,1440.4,1449.3,,1444.0,1424.1,1506.4,1467.1,1457.0,1363.7,1405.3,1514.0,1410.4,1441.0,1548.0,1351.0,1422.8,1316.5,,1389.3,1330.1,,1426.0,1542.2,1434.0,1420.7,,1417.6,1433.0,1378.0,1613.5,1439.0,1366.0,1341.1,1384.0,-110.1,-86.6,-98.6,-90.0,-104.0,-63.0,-25.0,14.6,-114.8,-40.0,-75.9,-44.6,-35.7,,-41.0,-60.9,21.4,-17.9,-28.0,-121.3,-79.7,29.0,-74.6,-44.0,63.0,-134.0,-62.2,-168.5,,-95.7,-154.9,,-59.0,57.2,-51.0,-64.3,,-67.4,-52.0,-107.0,128.5,-46.0,-119.0,-143.9,-101.0,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,False,True,False,,True,False,,True,True,True,True,,True,True,True,False,True,False,False,True
Louisiana,5919,5877.9,5871.4,5903.8,5867.0,5905.8,5871.0,5850.0,5802.9,5813.7,5823.0,5896.4,5965.0,5851.6,,5845.0,5818.8,5913.5,5809.4,5854.2,5891.3,5824.5,5851.0,5984.0,5876.3,,5869.5,5836.7,5775.0,,5883.6,5806.8,,5925.0,5710.1,6038.0,6142.3,,5975.5,5863.0,6028.6,5984.9,5871.0,5813.0,5717.9,5856.0,-41.1,-47.6,-15.2,-52.0,-13.2,-48.0,-69.0,-116.1,-105.3,-96.0,-22.6,46.0,-67.4,,-74.0,-100.2,-5.5,-109.6,-64.8,-27.7,-94.5,-68.0,65.0,-42.7,,-49.5,-82.3,-144.0,,-35.4,-112.2,,6.0,-208.9,119.0,223.3,,56.5,-56.0,109.6,65.9,-48.0,-106.0,-201.1,-63.0,False,True,False,True,False,False,False,False,False,True,False,False,,False,False,True,False,False,True,False,False,False,False,,False,False,False,,True,False,,True,False,False,False,,False,False,False,False,False,False,False,False
Maine,147,145.9,149.8,147.8,147.0,146.9,148.0,143.0,146.5,147.0,150.0,150.7,148.7,149.1,,150.0,144.8,149.0,162.7,148.1,147.5,143.2,172.0,147.5,152.4,,145.4,146.9,145.0,,,144.7,,148.0,169.6,148.0,145.6,,158.2,149.0,152.6,162.5,148.0,147.0,147.8,,-1.1,2.8,0.8,0.0,-0.1,1.0,-4.0,-0.5,0.0,3.0,3.7,1.7,2.1,,3.0,-2.2,2.0,15.7,1.1,0.5,-3.8,25.0,0.5,5.4,,-1.6,-0.1,-2.0,,,-2.3,,1.0,22.6,1.0,-1.4,,11.2,2.0,5.6,15.5,1.0,0.0,0.8,,False,True,True,True,True,False,True,True,False,False,False,False,,False,False,False,False,True,True,False,False,True,False,,False,True,False,,,False,,True,False,True,False,,False,False,False,False,True,True,True,
Maryland,4147,4116.1,4088.7,4106.3,4126.0,4110.4,4109.0,4182.0,4058.9,4074.9,4045.0,4098.9,4152.1,4137.6,,4080.0,4126.1,4138.9,4170.0,4114.2,4082.2,4112.1,4106.0,4122.1,4116.0,,4086.9,4136.6,4107.0,,4076.6,4040.5,4294.0,4097.0,4535.8,4109.0,4086.7,,4132.3,4116.0,4118.1,4383.2,4110.0,4136.0,4075.2,4176.0,-30.9,-58.3,-40.7,-21.0,-36.6,-38.0,35.0,-88.1,-72.1,-102.0,-48.1,5.1,-9.4,,-67.0,-20.9,-8.1,23.0,-32.8,-64.8,-34.9,-41.0,-24.9,-31.0,,-60.1,-10.4,-40.0,,-70.4,-106.5,147.0,-50.0,388.8,-38.0,-60.3,,-14.7,-31.0,-28.9,236.2,-37.0,-11.0,-71.8,29.0,False,False,True,False,False,False,False,False,False,False,True,True,,False,True,True,True,False,False,False,False,True,False,,False,True,False,,False,False,False,False,False,False,False,,True,False,True,False,False,True,False,True
