,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR
Kentucky,740,659.7,507.1,477.0,448.0,845.2,-80.3,-232.9,-263.0,-292.0,105.2,False,False,False,False
Louisiana,3949,4716.7,3140.5,3285.0,3126.2,2724.9,767.7,-808.5,-664.0,-822.8,-1224.1,False,True,False,False
Maine,123,135.1,79.5,1164.0,128.8,151.8,12.1,-43.5,1041.0,5.8,28.8,False,False,True,False
Maryland,3506,5770.3,4338.4,3068.0,3774.5,2981.3,2264.3,832.4,-438.0,268.5,-524.7,True,True,True,True
Massachusetts,8626,14678.1,8945.5,8348.5,10275.5,6518.4,6052.1,319.5,-277.5,1649.5,-2107.6,True,True,True,True
Michigan,6457,8539.0,6042.1,5888.0,6227.0,4945.1,2315.0,-181.9,-336.0,3.0,-1278.9,True,True,True,True
Minnesota,1646,2392.1,1808.8,3125.5,1928.8,2600.9,746.1,162.8,1479.5,282.8,954.9,True,False,True,False
Mississippi,1693,1509.0,984.3,983.0,1039.0,892.3,-184.0,-708.7,-710.0,-654.0,-800.7,False,False,False,False
Missouri,1276,1653.1,1499.1,1035.0,1036.5,890.3,475.1,321.1,-143.0,-141.5,-287.7,True,True,True,True
Montana,61,16.0,12.0,16.0,21.9,17.8,-45.0,-49.0,-45.0,-39.1,-43.2,False,False,True,True
Nebraska,332,481.3,242.5,364.0,471.7,141.3,149.3,-89.5,32.0,139.7,-190.7,True,True,True,False
Nevada,832,784.3,608.7,515.0,561.8,525.4,-47.7,-223.3,-317.0,-270.2,-306.6,False,False,False,False
New Hampshire,416,595.4,315.2,354.0,533.8,356.6,179.4,-100.8,-62.0,117.8,-59.4,True,True,True,True
New Jersey,15830,22381.9,14066.9,13136.0,13696.7,10969.6,8306.9,-8.1,-939.0,-378.3,-3105.4,True,True,True,True
New Mexico,651,970.7,519.3,329.0,1017.7,553.6,319.7,-131.7,-322.0,366.7,-97.4,True,False,False,True
New York,32684,45505.7,32134.5,32769.5,32193.5,29119.0,13560.7,189.5,824.5,248.5,-2826.0,True,True,True,True
North Carolina,1979,2010.6,2489.0,759.0,1499.1,1975.3,31.6,510.0,-1220.0,-479.9,-3.7,False,False,False,True
North Dakota,103,129.9,131.8,89.0,84.5,118.1,26.9,28.8,-14.0,-18.5,15.1,False,True,True,True
Ohio,3515,4708.4,2959.7,2144.0,2963.6,3469.0,1193.4,-555.3,-1371.0,-551.4,-46.0,True,False,True,True
Oklahoma,549,461.7,367.8,295.0,441.5,520.1,-87.3,-181.2,-254.0,-107.5,-28.9,False,False,False,True
Oregon,325,245.6,231.1,159.0,245.1,276.6,-79.4,-93.9,-166.0,-79.9,-48.4,False,False,False,True
Pennsylvania,7219,11975.6,9596.8,6369.0,7589.4,5444.5,4756.6,2377.8,-850.0,370.4,-1774.5,True,True,True,True
Rhode Island,1007,1335.0,775.5,1348.0,909.1,547.3,328.0,-231.5,341.0,-97.9,-459.7,True,False,True,False
South Carolina,1751,971.3,484.9,426.0,692.2,669.3,-779.7,-1266.1,-1325.0,-1058.8,-1081.7,False,False,False,False
South Dakota,134,152.6,125.9,233.0,77.5,57.1,18.6,-8.1,99.0,-56.5,-76.9,True,False,False,False
Tennessee,1067,895.1,489.1,815.0,628.8,519.7,-171.9,-577.9,-252.0,-438.2,-547.3,False,False,False,False
Texas,7576,4046.4,3678.5,2372.0,2909.5,3512.8,-3461.6,-3829.5,-5136.0,-4598.5,-3995.2,False,False,False,False
Utah,310,221.1,150.0,88.0,142.0,181.8,-88.9,-160.0,-222.0,-168.0,-128.2,False,False,False,False
Vermont,57,64.9,49.0,53.0,77.0,64.3,7.9,-8.0,-4.0,20.0,7.3,False,True,False,True
Virginia,2215,2866.6,1976.4,1452.5,1882.2,2148.0,651.6,-238.6,-762.5,-332.8,-67.0,True,False,True,True
Washington,1592,1761.0,1262.0,1255.5,1310.1,1259.1,169.0,-330.0,-336.5,-281.9,-332.9,False,False,False,False
West Virginia,116,208.1,106.7,64.0,117.4,117.5,92.1,-9.3,-52.0,1.4,1.5,True,True,True,True
Wisconsin,947,1028.4,733.7,1237.0,743.3,1183.3,81.4,-213.3,290.0,-203.7,236.3,False,False,False,False
Wyoming,26,18.9,4.0,7.0,13.9,11.2,-7.1,-22.0,-19.0,-12.1,-14.8,False,False,False,False
US,155149,198524.3,142913.1,123268.0,136310.0,118421.7,46268.3,-9342.9,-28988.0,-15946.0,-33834.3,True,True,True,True
