,actual_deaths,Baseline,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Hawaii,26,22.9,25.5,18.0,20.7,,23.1,18.5,,30.1,18.0,19.0,18.7,22.8,25.6,19.2,,-3.1,-0.5,-8.0,-5.3,,-2.9,-7.5,,4.1,-8.0,-7.0,-7.3,-3.2,-0.4,-6.8,,True,False,False,,True,False,,False,False,False,False,False,True,False,
Idaho,197,100.7,157.6,140.0,104.2,100.0,123.1,127.2,,137.2,96.0,,98.7,237.4,185.6,106.0,,-96.3,-39.4,-57.0,-92.8,-97.0,-73.9,-69.8,,-59.8,-101.0,,-98.3,40.4,-11.4,-91.0,,True,True,True,False,True,True,,True,False,,False,True,True,True,
Illinois,7700,8058.6,7279.5,7119.0,7875.2,8290.0,7996.1,7494.7,8843.0,7762.4,12491.5,7847.0,7464.6,7186.2,7353.9,8038.2,7874.3,358.6,-420.5,-581.0,175.2,590.0,296.1,-205.3,1143.0,62.4,4791.5,147.0,-235.4,-513.8,-346.1,338.2,174.3,False,False,True,False,True,True,False,True,False,True,True,False,True,True,True
Indiana,2971,3002.7,2874.8,2852.0,2740.8,2753.0,3022.7,2991.6,3087.5,2861.7,2885.5,2909.0,2797.9,3179.0,2971.8,3064.9,,31.7,-96.2,-119.0,-230.2,-218.0,51.7,20.6,116.5,-109.3,-85.5,-62.0,-173.1,208.0,0.8,93.9,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,
Iowa,874,803.1,912.6,780.0,788.9,800.0,849.4,992.5,,742.6,1104.0,886.0,829.1,868.7,858.5,853.7,,-70.9,38.6,-94.0,-85.1,-74.0,-24.6,118.5,,-131.4,230.0,12.0,-44.9,-5.3,-15.5,-20.3,,True,False,False,False,True,False,,False,False,True,True,True,True,True,
Kansas,358,327.3,334.3,283.0,337.5,288.0,344.1,343.0,,340.2,342.0,284.0,292.4,266.6,381.7,337.1,,-30.7,-23.7,-75.0,-20.5,-70.0,-13.9,-15.0,,-17.8,-16.0,-74.0,-65.6,-91.4,23.7,-20.9,,True,False,True,False,True,True,,True,True,False,False,False,True,True,
Kentucky,740,713.4,660.5,744.0,662.2,730.0,648.2,1245.7,853.5,682.4,632.5,645.0,723.5,707.2,712.6,722.3,,-26.6,-79.5,4.0,-77.8,-10.0,-91.8,505.7,113.5,-57.6,-107.5,-95.0,-16.5,-32.8,-27.4,-17.7,,False,True,False,True,False,False,False,False,False,False,True,False,False,True,
Louisiana,3949,3655.6,3571.8,3536.0,3779.5,3351.0,3707.5,3466.7,,3374.8,3387.5,3392.0,3334.2,3227.0,4131.1,3624.0,,-293.4,-377.2,-413.0,-169.5,-598.0,-241.5,-482.3,,-574.2,-561.5,-557.0,-614.8,-722.0,182.1,-325.0,,False,False,True,False,True,False,,False,False,False,False,False,True,False,
Maine,123,113.7,115.8,125.0,113.8,110.0,121.4,171.0,,128.4,109.0,,108.3,123.0,130.5,116.3,,-9.3,-7.2,2.0,-9.2,-13.0,-1.6,48.0,,5.4,-14.0,,-14.7,0.0,7.5,-6.7,,True,True,True,False,True,False,,True,False,,False,True,True,True,
Maryland,3506,3663.4,3431.4,3382.0,3379.4,3456.0,3499.0,4172.6,,3392.4,3535.0,3493.0,3417.3,3494.1,3435.2,3671.3,3416.0,157.4,-74.6,-124.0,-126.6,-50.0,-7.0,666.6,,-113.6,29.0,-13.0,-88.7,-11.9,-70.8,165.3,-90.0,True,True,True,True,True,False,,True,True,True,True,True,True,False,True
Massachusetts,8626,9040.1,8268.4,8230.0,8807.0,8297.0,8607.0,8467.4,,8409.4,8393.0,8663.0,8392.0,8580.0,8745.1,8709.8,8701.0,415.1,-356.6,-395.0,182.0,-328.0,-18.0,-157.6,,-215.6,-232.0,38.0,-233.0,-45.0,120.1,84.8,76.0,True,True,True,True,True,True,,True,True,True,True,True,True,True,True
Michigan,6457,6482.4,6306.2,6232.0,6369.2,6495.0,6812.0,7489.0,7381.5,6380.3,6279.0,6336.0,6417.8,6373.5,6519.5,6506.1,,25.4,-150.8,-225.0,-87.8,38.0,355.0,1032.0,924.5,-76.7,-178.0,-121.0,-39.2,-83.5,62.5,49.1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Minnesota,1646,1693.1,1759.8,1602.0,1698.8,1485.0,1796.7,2067.8,2249.0,1577.5,1682.0,1746.0,1702.1,1498.3,1764.8,1777.2,,47.1,113.8,-44.0,52.8,-161.0,150.7,421.8,603.0,-68.5,36.0,100.0,56.1,-147.7,118.8,131.2,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,
Mississippi,1693,1529.6,1471.5,1460.0,1470.4,1365.0,1325.5,1763.5,,1321.4,1278.0,1339.0,1205.4,1294.7,1682.0,1561.8,,-163.4,-221.5,-233.0,-222.6,-328.0,-367.5,70.5,,-371.6,-415.0,-354.0,-487.6,-398.3,-11.0,-131.2,,False,False,False,False,False,True,,False,False,False,False,False,True,True,
Missouri,1276,1193.4,1275.1,1313.0,1343.9,1257.0,1223.2,1990.0,,1170.3,1084.0,1115.0,1348.0,1391.5,1363.0,1241.8,,-72.6,9.1,47.0,77.9,-9.0,-42.8,724.0,,-95.7,-182.0,-151.0,82.0,125.5,97.0,-24.2,,True,True,False,True,True,False,,False,False,False,False,False,False,True,
Montana,61,31.7,32.2,25.0,27.8,26.0,36.1,27.3,,125.6,22.0,22.0,24.5,36.8,39.2,28.6,,-29.3,-28.8,-36.0,-33.2,-35.0,-24.9,-33.7,,64.6,-39.0,-39.0,-36.5,-24.2,-21.8,-32.4,,True,False,False,False,True,False,,False,False,False,False,True,True,False,
Nebraska,332,378.7,319.3,287.0,372.9,318.0,340.9,422.9,,414.5,579.5,353.0,322.7,278.7,333.2,413.8,,46.7,-12.7,-45.0,40.9,-14.0,8.9,90.9,,82.5,247.5,21.0,-9.3,-53.3,1.2,81.8,,True,True,True,True,True,False,,False,False,True,True,False,True,False,
Nevada,832,563.1,791.9,799.0,671.3,548.0,803.7,652.9,,526.5,542.0,548.0,610.9,728.2,981.5,650.4,,-268.9,-40.1,-33.0,-160.7,-284.0,-28.3,-179.1,,-305.5,-290.0,-284.0,-221.1,-103.8,149.5,-181.6,,True,True,True,False,True,True,,False,False,False,True,True,True,True,
New Hampshire,416,503.0,437.3,441.0,510.8,376.0,440.4,615.7,,450.6,437.0,515.0,457.3,437.8,427.4,464.8,,87.0,21.3,25.0,94.8,-40.0,24.4,199.7,,34.6,21.0,99.0,41.3,21.8,11.4,48.8,,True,True,False,True,True,False,,True,True,False,True,True,True,True,
New Jersey,15830,24864.1,13416.4,15233.0,15679.2,16218.0,15663.1,13568.1,,35878.2,15734.0,15532.0,15239.7,13638.1,16087.4,15645.5,35760.3,9034.1,-2413.6,-597.0,-150.8,388.0,-166.9,-2261.9,,20048.2,-96.0,-298.0,-590.3,-2191.9,257.4,-184.5,19930.3,True,True,True,True,True,True,,False,True,True,True,True,True,True,False
New Mexico,651,603.7,642.9,593.0,649.3,666.0,649.8,657.7,,563.3,621.0,598.0,580.1,590.6,607.4,624.7,,-47.3,-8.1,-58.0,-1.7,15.0,-1.2,6.7,,-87.7,-30.0,-53.0,-70.9,-60.4,-43.6,-26.3,,True,False,True,True,True,True,,False,True,False,False,False,True,True,
New York,32694,32718.1,31645.3,31460.0,32499.4,31966.0,32337.1,31164.8,,31888.8,31713.0,31668.0,31744.7,32683.6,31921.8,32212.9,32142.3,570.1,-502.7,-688.0,351.4,-182.0,189.1,-983.2,,-259.2,-435.0,-480.0,-403.3,535.6,-226.2,64.9,-5.7,True,False,True,True,True,False,,True,True,True,True,True,True,True,True
North Carolina,1979,1978.6,2077.9,3163.0,1766.4,1798.0,1834.6,1700.6,,1625.8,1835.0,1691.0,1813.1,1803.7,1939.8,2053.8,2128.3,-0.4,98.9,1184.0,-212.6,-181.0,-144.4,-278.4,,-353.2,-144.0,-288.0,-165.9,-175.3,-39.2,74.8,149.3,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
North Dakota,103,88.7,91.3,86.0,85.8,98.0,92.9,111.6,,123.1,140.0,87.0,91.0,88.8,96.1,98.2,,-14.3,-11.7,-17.0,-17.2,-5.0,-10.1,8.6,,20.1,37.0,-16.0,-12.0,-14.2,-6.9,-4.8,,True,False,False,True,True,True,,False,False,False,True,True,True,True,
Ohio,3515,3326.7,3330.9,3278.0,3466.0,3224.0,3451.7,4150.5,4055.5,3042.1,3247.0,3301.0,3372.3,3652.4,3924.0,3443.5,3689.3,-188.3,-184.1,-237.0,-49.0,-291.0,-63.3,635.5,540.5,-472.9,-268.0,-214.0,-142.7,137.4,409.0,-71.5,174.3,True,False,True,False,True,False,False,False,False,False,True,True,False,True,True
Oklahoma,549,462.7,580.3,633.0,443.0,416.0,451.2,564.0,,447.9,402.0,400.0,437.0,544.6,604.2,488.0,,-86.3,31.3,84.0,-106.0,-133.0,-97.8,15.0,,-101.1,-147.0,-149.0,-112.0,-4.4,55.2,-61.0,,True,True,False,False,False,True,,False,False,False,False,True,True,True,
Oregon,325,260.3,301.8,328.0,292.8,328.0,279.4,267.5,,330.2,222.0,302.0,250.6,305.1,330.1,275.4,,-64.7,-23.2,3.0,-32.2,3.0,-45.6,-57.5,,5.2,-103.0,-23.0,-74.4,-19.9,5.1,-49.6,,True,True,True,True,True,True,,True,False,True,False,True,True,True,
Pennsylvania,7219,7494.9,7296.8,7023.0,7334.1,7295.0,7368.8,7217.7,,6948.5,7177.0,7312.0,7164.8,7216.3,7113.0,7549.4,7248.0,275.9,77.8,-196.0,115.1,76.0,149.8,-1.3,,-270.5,-42.0,93.0,-54.2,-2.7,-106.0,330.4,29.0,True,True,True,True,True,True,,True,True,True,True,True,True,False,True
Rhode Island,1007,1087.3,1025.1,1001.0,1122.0,1148.0,982.4,1008.2,,1019.9,1075.0,1058.0,1052.0,836.7,977.6,1108.5,,80.3,18.1,-6.0,115.0,141.0,-24.6,1.2,,12.9,68.0,51.0,45.0,-170.3,-29.4,101.5,,True,True,False,False,True,True,,True,True,True,True,False,True,False,
South Carolina,1751,1022.0,1543.8,1398.0,1010.2,813.0,1089.3,980.2,,976.4,967.5,851.0,839.1,1343.6,1347.2,1148.8,,-729.0,-207.2,-353.0,-740.8,-938.0,-661.7,-770.8,,-774.6,-783.5,-900.0,-911.9,-407.4,-403.8,-602.2,,True,True,False,False,True,False,,False,False,False,False,True,True,True,
South Dakota,134,139.6,111.7,114.0,142.1,107.0,117.6,194.4,,153.1,173.0,134.0,102.4,107.9,114.9,137.5,,5.6,-22.3,-20.0,8.1,-27.0,-16.4,60.4,,19.1,39.0,0.0,-31.6,-26.1,-19.1,3.5,,False,False,False,False,False,False,,False,False,True,False,False,False,True,
Tennessee,1067,865.7,918.2,958.0,991.7,1097.0,718.9,915.0,,815.5,827.5,733.0,721.8,783.5,970.6,958.4,,-201.3,-148.8,-109.0,-75.3,30.0,-348.1,-152.0,,-251.5,-239.5,-334.0,-345.2,-283.5,-96.4,-108.6,,True,True,True,True,False,True,,False,False,False,False,False,True,True,
Texas,6865,3426.9,4655.2,5022.0,4490.8,3002.0,3180.3,3435.5,,3165.5,3104.5,3144.0,3558.7,4443.8,5733.7,3934.6,3763.7,-3437.1,-2208.8,-1842.0,-2373.2,-3862.0,-3683.7,-3428.5,,-3698.5,-3759.5,-3720.0,-3305.3,-2420.2,-1130.3,-2929.4,-3100.3,True,True,True,False,False,True,,False,False,False,True,True,True,True,True
Utah,310,210.7,420.6,365.0,256.7,213.0,240.6,264.5,,314.6,315.5,214.0,208.1,269.8,260.8,269.6,,-99.3,110.6,55.0,-53.3,-97.0,-69.4,-45.5,,4.6,5.5,-96.0,-101.9,-40.2,-49.2,-40.4,,False,True,True,True,True,True,,True,True,True,False,True,True,True,
Vermont,57,56.0,59.9,59.0,61.1,56.0,63.3,59.5,,62.9,56.0,,60.4,51.2,57.5,59.2,,-1.0,2.9,2.0,4.1,-1.0,6.3,2.5,,5.9,-1.0,,3.4,-5.8,0.5,2.2,,False,False,False,False,False,False,,False,False,,False,False,True,False,
Virginia,2215,2319.7,1971.2,1937.0,2004.5,2119.0,1999.2,2187.4,,2047.6,1936.0,2085.0,1866.5,1874.7,1865.3,2056.6,2257.7,104.7,-243.8,-278.0,-210.5,-96.0,-215.8,-27.6,,-167.4,-279.0,-130.0,-348.5,-340.3,-349.7,-158.4,42.7,False,False,False,True,False,True,,False,False,False,False,False,False,False,True
Washington,1592,1504.3,1508.4,1607.0,1541.2,1366.0,1495.5,1549.9,,1502.5,1410.0,1398.0,1382.8,1573.1,1658.2,1560.3,,-87.7,-83.6,15.0,-50.8,-226.0,-96.5,-42.1,,-89.5,-182.0,-194.0,-209.2,-18.9,66.2,-31.7,,True,True,True,False,False,True,,False,False,False,False,True,True,True,
West Virginia,116,112.4,107.2,123.0,114.6,96.0,117.4,189.2,,138.1,93.0,104.0,111.9,125.9,136.3,111.2,,-3.6,-8.8,7.0,-1.4,-20.0,1.4,73.2,,22.1,-23.0,-12.0,-4.1,9.9,20.3,-4.8,,False,False,True,False,True,False,,False,False,False,False,False,False,False,
Wisconsin,947,937.3,931.1,960.0,997.4,914.0,1003.3,1110.1,1095.5,903.9,969.0,920.0,860.0,891.7,1078.1,1025.7,,-9.7,-15.9,13.0,50.4,-33.0,56.3,163.1,148.5,-43.1,22.0,-27.0,-87.0,-55.3,131.1,78.7,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Wyoming,26,20.0,34.1,31.0,21.0,21.0,32.7,31.2,,42.3,20.0,43.0,21.1,31.6,24.7,26.6,,-6.0,8.1,5.0,-5.0,-5.0,6.7,5.2,,16.3,-6.0,17.0,-4.9,5.6,-1.3,0.6,,False,True,True,True,False,True,,False,False,False,True,True,True,True,
US,154447,154091.0,146583.2,151496.0,146065.0,133310.0,147222.6,147549.6,,153906.3,144582.0,139002.0,141136.7,148580.9,158752.4,147277.4,146651.0,202.0,-7305.8,-2393.0,-7824.0,-20579.0,-6666.4,-6339.4,,17.3,-9307.0,-14887.0,-12752.3,-5308.1,4863.4,-6611.6,-7238.0,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
