,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Pennsylvania,7219,7641.3,7586.1,7195.1,6746.0,7330.8,,7227.3,7362.0,,7233.0,7257.4,7249.6,422.3,367.1,-23.9,-473.0,111.8,,8.3,143.0,,14.0,38.4,30.6,True,True,False,True,,True,True,,True,True,True
Rhode Island,1027,1251.3,1033.8,1080.7,1005.0,988.7,,1004.1,1162.0,,1059.4,789.2,1120.8,274.3,56.8,103.7,28.0,11.7,,27.1,185.0,,82.4,-187.8,143.8,True,True,True,True,,True,True,,True,True,True
South Carolina,1751,963.4,1503.9,942.5,940.0,1079.9,,1396.0,857.0,,1035.8,1628.6,1130.2,-787.6,-247.1,-808.5,-811.0,-671.1,,-355.0,-894.0,,-715.2,-122.4,-620.8,True,False,False,True,,True,False,,True,True,True
South Dakota,134,116.1,109.3,136.5,91.0,105.7,,104.3,197.5,,96.7,101.8,130.8,-17.9,-24.7,2.5,-43.0,-28.3,,-29.7,63.5,,-37.3,-32.2,-3.2,False,True,False,False,,False,False,,False,False,True
Tennessee,1067,830.6,803.5,831.2,980.0,764.0,,729.3,765.0,,693.8,791.4,882.6,-236.4,-263.5,-235.8,-87.0,-303.0,,-337.7,-302.0,,-373.2,-275.6,-184.4,False,True,True,False,,False,False,,False,False,True
Texas,7927,3403.4,3597.1,4800.5,3824.0,3839.5,,3514.0,2976.5,4657.0,3216.1,4242.2,3843.7,-4243.6,-4049.9,-2846.5,-3823.0,-3807.5,,-4133.0,-4670.5,-2990.0,-4430.9,-3404.8,-3803.3,True,True,True,True,,True,False,True,False,True,True
Utah,310,269.3,435.6,273.8,253.0,289.9,,335.6,329.0,,204.8,310.8,288.5,-40.7,125.6,-36.2,-57.0,-20.1,,25.6,19.0,,-105.2,0.8,-21.5,False,True,False,True,,True,True,,False,True,True
Vermont,57,61.9,61.9,61.3,57.0,60.6,,59.9,56.0,,62.2,52.2,59.8,4.9,4.9,4.3,0.0,3.6,,2.9,-1.0,,5.2,-4.8,2.8,False,True,True,True,,True,True,,False,True,True
Virginia,2215,1991.7,2030.1,1743.0,1870.0,1842.3,,1876.9,1950.5,,1826.7,1790.8,1952.0,-223.3,-184.9,-472.0,-345.0,-372.7,,-338.1,-264.5,,-388.3,-424.2,-263.0,True,False,False,False,,False,False,,False,False,False
Washington,1619,1580.4,1465.5,1526.4,1459.0,1567.3,,1542.8,1395.0,,1361.1,1612.9,1577.0,-60.6,-175.5,-114.6,-182.0,-73.7,,-98.2,-246.0,,-279.9,-28.1,-64.0,False,False,False,False,,False,False,,False,True,False
West Virginia,116,94.9,100.0,104.4,89.0,113.1,,115.5,93.0,,117.3,125.7,110.1,-21.1,-16.0,-11.6,-27.0,-2.9,,-0.5,-23.0,,1.3,9.7,-5.9,True,True,False,True,,True,False,,True,True,True
Wisconsin,981,1048.6,931.5,931.4,901.0,972.1,1438.0,856.7,1017.5,,854.0,869.4,1050.7,103.6,-13.5,-13.6,-44.0,27.1,493.0,-88.3,72.5,,-91.0,-75.6,105.7,True,True,True,True,False,True,True,,True,True,False
Wyoming,26,31.7,27.5,19.8,18.0,32.8,,29.6,20.0,,21.4,33.6,35.2,5.7,1.5,-6.2,-8.0,6.8,,3.6,-6.0,,-4.6,7.6,9.2,True,False,False,False,,True,False,,True,False,False
US,155207,144768.1,142536.7,144138.7,138633.0,144357.1,,132987.9,142909.5,133392.0,132570.0,144117.7,143496.6,-7636.9,-9868.3,-8266.3,-13772.0,-8047.9,,-19417.1,-9495.5,-19013.0,-19835.0,-8287.3,-8908.4,False,False,False,False,,False,False,False,False,False,False
