,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Mississippi,1693,1551.9,1578.2,1558.0,1431.0,,1595.5,1577.0,1546.0,,1651.8,1492.0,1569.9,1540.5,1639.0,1598.9,,1549.6,1632.1,1468.0,,3369.5,,1603.0,1544.0,1598.0,1549.4,1541.7,1658.8,1647.5,1580.1,1515.0,-141.1,-114.8,-135.0,-262.0,,-97.5,-116.0,-147.0,,-41.2,-201.0,-123.1,-152.5,-54.0,-94.1,,-143.4,-60.9,-225.0,,1676.5,,-90.0,-149.0,-95.0,-143.6,-151.3,-34.2,-45.5,-112.9,-178.0,True,True,False,,True,True,False,,True,False,True,False,True,True,,False,True,False,,False,,True,False,True,False,False,True,True,True,False
Missouri,1276,1217.7,1225.9,1240.0,1265.0,,1264.8,1302.0,1232.4,,1258.0,1185.0,1291.9,1236.6,1306.9,1300.6,,1227.9,1255.9,1178.0,,991.6,,1254.0,1239.5,1249.0,1216.4,1269.5,1250.2,1230.0,1233.3,,-58.3,-50.1,-36.0,-11.0,,-11.2,26.0,-43.6,,-18.0,-91.0,15.9,-39.4,30.9,24.6,,-48.1,-20.1,-98.0,,-284.4,,-22.0,-36.5,-27.0,-59.6,-6.5,-25.8,-46.0,-42.7,,True,True,True,,True,True,True,,True,False,True,True,True,True,,True,True,False,,False,,True,True,True,False,True,True,True,True,
Montana,61,51.9,53.0,53.0,38.0,,43.1,52.0,57.5,,45.4,46.0,58.9,51.4,53.3,58.1,,69.9,61.8,43.0,,0.0,,46.0,51.1,57.0,42.4,51.8,69.8,74.0,51.6,,-9.1,-8.0,-8.0,-23.0,,-17.9,-9.0,-3.5,,-15.6,-15.0,-2.1,-9.6,-7.7,-2.9,,8.9,0.8,-18.0,,-61.0,,-15.0,-9.9,-4.0,-18.6,-9.2,8.8,13.0,-9.4,,True,True,False,,False,True,True,,False,False,True,False,True,True,,True,True,False,,False,,False,False,True,False,False,True,False,False,
Nebraska,332,330.7,333.0,327.0,326.0,,336.0,308.0,361.8,,288.6,319.0,358.5,317.7,329.2,330.0,,345.4,334.9,328.0,,0.0,,314.0,326.6,322.0,330.3,375.8,341.5,344.0,330.5,,-1.3,1.0,-5.0,-6.0,,4.0,-24.0,29.8,,-43.4,-13.0,26.5,-14.3,-2.8,-2.0,,13.4,2.9,-4.0,,-332.0,,-18.0,-5.4,-10.0,-1.7,43.8,9.5,12.0,-1.5,,True,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,
Nevada,832,747.3,754.0,784.0,772.0,,784.1,839.0,791.1,,871.7,799.0,843.9,773.4,693.1,797.7,,815.4,782.8,819.0,,1395.7,,775.0,742.7,788.0,700.7,889.9,827.8,850.0,779.2,765.0,-84.7,-78.0,-48.0,-60.0,,-47.9,7.0,-40.9,,39.7,-33.0,11.9,-58.6,-138.9,-34.3,,-16.6,-49.2,-13.0,,563.7,,-57.0,-89.3,-44.0,-131.3,57.9,-4.2,18.0,-52.8,-67.0,True,True,True,,True,True,True,,True,True,True,True,False,True,,True,True,True,,False,,True,False,True,False,True,True,True,True,True
New Hampshire,416,411.0,407.0,413.0,396.0,,424.1,414.0,416.1,,412.9,398.0,414.4,421.1,426.8,425.3,,411.8,408.9,420.0,,0.0,,409.0,413.5,410.0,415.4,415.0,403.8,420.0,411.2,,-5.0,-9.0,-3.0,-20.0,,8.1,-2.0,0.1,,-3.1,-18.0,-1.6,5.1,10.8,9.3,,-4.2,-7.1,4.0,,-416.0,,-7.0,-2.5,-6.0,-0.6,-1.0,-12.2,4.0,-4.8,,False,True,False,,False,True,True,,True,False,True,False,False,False,,True,False,True,,False,,False,True,False,True,True,False,True,True,
New Jersey,15830,16042.1,16066.6,15974.0,15808.0,,15792.2,15925.0,16837.8,,16336.1,16002.0,15894.9,15914.9,15662.3,16447.2,,16007.5,16010.9,15979.0,,2239.0,,15777.0,15962.6,15882.0,,15810.1,15976.3,16149.0,15917.8,14443.0,212.1,236.6,144.0,-22.0,,-37.8,95.0,1007.8,,506.1,172.0,64.9,84.9,-167.7,617.2,,177.5,180.9,149.0,,-13591.0,,-53.0,132.6,52.0,,-19.9,146.3,319.0,87.8,-1387.0,False,True,True,,True,True,False,,False,True,True,True,True,False,,True,True,True,,False,,True,True,True,,True,True,False,True,False
New Mexico,651,619.3,621.0,624.0,600.0,,629.8,638.0,633.3,,676.7,633.0,666.9,620.3,652.1,638.8,,605.0,629.4,601.0,,410.8,,621.0,620.2,625.0,616.6,618.3,629.7,630.5,629.8,,-31.7,-30.0,-27.0,-51.0,,-21.2,-13.0,-17.7,,25.7,-18.0,15.9,-30.7,1.1,-12.2,,-46.0,-21.6,-50.0,,-240.2,,-30.0,-30.8,-26.0,-34.4,-32.7,-21.3,-20.5,-21.2,,True,True,False,,True,True,True,,True,True,True,True,True,True,,False,True,False,,False,,True,True,True,False,False,True,True,True,
New York,32694,32764.3,32795.0,32733.0,32710.0,,32445.8,32597.0,32888.7,,33106.8,32961.0,32503.5,32776.0,28067.5,32612.7,,32317.8,32753.4,32660.0,,37389.7,,32601.0,32713.7,32745.0,,32858.3,32741.1,32800.0,32697.9,32772.0,70.3,101.0,39.0,16.0,,-248.2,-97.0,194.7,,412.8,267.0,-190.5,82.0,-4626.5,-81.3,,-376.2,59.4,-34.0,,4695.7,,-93.0,19.7,51.0,,164.3,47.1,106.0,3.9,78.0,False,True,True,,False,False,False,,False,False,False,False,False,False,,False,True,True,,False,,False,True,True,,False,True,False,True,False
North Carolina,1979,1893.4,1918.0,1940.0,1948.0,,1965.8,2253.0,1852.0,2505.0,1765.7,1772.0,2168.6,1823.2,1816.4,1929.5,,1824.5,1965.3,1756.5,,3562.0,,1835.0,1895.0,1885.0,1839.3,2337.5,1971.0,1917.0,1893.4,1835.0,-85.6,-61.0,-39.0,-31.0,,-13.2,274.0,-127.0,526.0,-213.3,-207.0,189.6,-155.8,-162.6,-49.5,,-154.5,-13.7,-222.5,,1583.0,,-144.0,-84.0,-94.0,-139.7,358.5,-8.0,-62.0,-85.6,-144.0,True,True,True,,True,False,False,False,False,False,False,False,False,True,,False,True,False,,False,,False,True,False,False,False,True,True,True,False
North Dakota,103,101.3,96.0,99.0,90.0,,100.3,96.0,105.0,,112.2,92.0,117.7,103.3,103.8,95.6,,104.4,100.0,94.0,,106.5,,96.0,96.7,109.0,,113.3,107.4,104.0,101.7,,-1.7,-7.0,-4.0,-13.0,,-2.7,-7.0,2.0,,9.2,-11.0,14.7,0.3,0.8,-7.4,,1.4,-3.0,-9.0,,3.5,,-7.0,-6.3,6.0,,10.3,4.4,1.0,-1.3,,False,False,False,,False,False,False,,False,False,False,True,True,False,,True,False,False,,False,,False,False,False,,False,False,True,True,
Ohio,3515,3389.4,3324.1,3421.0,3394.0,,3511.6,3643.0,,,3440.6,3242.0,3579.0,3352.6,3666.7,3678.0,3317.0,3266.1,3396.0,3265.0,,1945.4,,3537.0,3404.4,3486.0,3333.2,3470.8,3477.0,3470.0,3470.3,3345.0,-125.6,-190.9,-94.0,-121.0,,-3.4,128.0,,,-74.4,-273.0,64.0,-162.4,151.7,163.0,-198.0,-248.9,-119.0,-250.0,,-1569.6,,22.0,-110.6,-29.0,-181.8,-44.2,-38.0,-45.0,-44.7,-170.0,False,True,True,,True,False,,,True,False,True,False,False,False,False,False,True,False,,False,,True,True,True,False,True,True,True,True,False
Oklahoma,549,504.9,511.0,522.0,548.0,,558.3,560.0,537.5,,506.5,499.0,612.1,480.5,501.6,513.9,,486.4,526.5,484.0,,674.7,,476.0,498.7,515.0,,653.4,539.4,544.0,509.1,,-44.1,-38.0,-27.0,-1.0,,9.3,11.0,-11.5,,-42.5,-50.0,63.1,-68.5,-47.4,-35.1,,-62.6,-22.5,-65.0,,125.7,,-73.0,-50.3,-34.0,,104.4,-9.6,-5.0,-39.9,,True,True,True,,True,True,True,,True,False,False,False,False,True,,False,True,False,,False,,False,False,True,,False,True,True,True,
