,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,3825,3176.3,3336.0,3181.5,3626.5,5016.0,,3923.8,8355.8,4374.0,,4925.3,3266.9,3481.0,3724.8,3267.6,3436.4,3687.9,,3040.9,3526.4,3245.5,,3073.4,,3369.0,3526.1,3782.0,,4298.5,5126.0,3122.0,3640.9,3288.3,-648.7,-489.0,-643.5,-198.5,1191.0,,98.8,4530.8,549.0,,1100.3,-558.1,-344.0,-100.2,-557.4,-388.6,-137.1,,-784.1,-298.6,-579.5,,-751.6,,-456.0,-298.9,-43.0,,473.5,1301.0,-703.0,-184.1,-536.7,True,True,True,False,,True,False,True,,False,True,True,True,True,True,True,,False,True,True,,False,,True,True,True,,True,False,False,True,True
Hawaii,26,22.9,24.0,23.0,21.5,20.0,,24.4,51.9,21.0,,,18.0,,25.2,23.1,18.5,19.9,,30.5,24.4,19.0,,19.0,,24.0,19.5,26.0,,19.8,29.2,20.0,20.0,,-3.1,-2.0,-3.0,-4.5,-6.0,,-1.6,25.9,-5.0,,,-8.0,,-0.8,-2.9,-7.5,-6.1,,4.5,-1.6,-7.0,,-7.0,,-2.0,-6.5,0.0,,-6.2,3.2,-6.0,-6.0,,True,True,False,False,,True,False,False,,,False,,True,True,False,False,,False,True,False,,False,,True,False,True,,False,False,False,False,
Idaho,197,100.7,133.0,102.1,120.1,297.0,,196.5,212.5,169.0,119.1,,105.0,159.0,179.5,137.3,125.9,101.3,,110.8,132.0,93.0,,95.2,,111.0,104.3,143.0,,229.2,152.3,98.0,106.4,,-96.3,-64.0,-94.9,-76.9,100.0,,-0.5,15.5,-28.0,-77.9,,-92.0,-38.0,-17.5,-59.7,-71.1,-95.7,,-86.2,-65.0,-104.0,,-101.8,,-86.0,-92.7,-54.0,,32.2,-44.7,-99.0,-90.6,,True,True,True,False,,True,True,True,True,,True,True,True,True,True,True,,True,True,False,,False,,True,True,True,,True,True,False,True,
Illinois,7700,7529.1,7711.0,7580.0,7902.6,8167.0,,7337.4,7928.9,7206.0,7208.9,,7749.6,7823.0,8295.4,7653.6,7149.0,7791.4,8670.0,7636.3,7755.0,10493.5,,7500.2,,7545.0,7754.0,7505.0,,7357.2,7787.9,7392.0,7531.8,7412.0,-170.9,11.0,-120.0,202.6,467.0,,-362.6,228.9,-494.0,-491.1,,49.6,123.0,595.4,-46.4,-551.0,91.4,970.0,-63.7,55.0,2793.5,,-199.8,,-155.0,54.0,-195.0,,-342.8,87.9,-308.0,-168.2,-288.0,True,True,False,False,,False,False,False,False,,True,True,False,True,False,True,False,True,True,False,,False,,True,True,False,,False,True,False,True,False
Indiana,2899,2978.4,2919.0,2973.6,2983.6,2960.0,,2879.4,3078.1,2947.0,2950.6,,2778.2,2803.0,3062.1,3084.9,2992.9,2922.5,2986.5,2859.7,3059.0,2843.0,,2638.8,,3019.0,2905.8,3193.0,,3062.0,3075.7,3032.0,2990.5,3035.3,5.4,-54.0,0.6,10.6,-13.0,,-93.6,105.1,-26.0,-22.4,,-194.8,-170.0,89.1,111.9,19.9,-50.5,13.5,-113.3,86.0,-130.0,,-334.2,,46.0,-67.2,220.0,,89.0,102.7,59.0,17.5,62.3,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,,False,False,False,False,False
Iowa,874,778.9,875.0,789.5,818.6,972.0,,913.6,825.1,828.0,755.2,,783.0,784.0,934.3,820.3,989.2,827.2,,745.3,825.6,979.0,,782.8,,769.0,792.1,781.0,,863.4,887.3,752.0,793.5,,-95.1,1.0,-84.5,-55.4,98.0,,39.6,-48.9,-46.0,-118.8,,-91.0,-90.0,60.3,-53.7,115.2,-46.8,,-128.7,-48.4,105.0,,-91.2,,-105.0,-81.9,-93.0,,-10.6,13.3,-122.0,-80.5,,True,True,True,False,,True,True,True,False,,True,True,True,True,False,True,,False,True,False,,True,,False,True,True,,True,True,False,True,
Kansas,358,341.9,364.0,343.0,355.8,349.0,,378.6,486.5,322.0,409.0,,358.3,313.0,492.1,343.7,332.5,320.0,,338.8,417.3,343.0,,312.1,,303.0,315.8,366.0,,329.7,456.2,414.0,330.7,,-16.1,6.0,-15.0,-2.2,-9.0,,20.6,128.5,-36.0,51.0,,0.3,-45.0,134.1,-14.3,-25.5,-38.0,,-19.2,59.3,-15.0,,-45.9,,-55.0,-42.2,8.0,,-28.3,98.2,56.0,-27.3,,True,True,True,True,,False,False,False,False,,True,False,False,True,False,False,,False,False,True,,False,,False,False,True,,False,False,False,False,
Kentucky,740,689.1,686.0,709.3,705.5,663.0,,663.6,965.9,712.0,852.2,,705.1,717.0,964.2,631.2,1106.4,666.5,864.0,686.0,695.8,661.0,,658.0,,613.0,669.0,651.0,,738.9,710.3,697.0,697.8,,-50.9,-54.0,-30.7,-34.5,-77.0,,-76.4,225.9,-28.0,112.2,,-34.9,-23.0,224.2,-108.8,366.4,-73.5,124.0,-54.0,-44.2,-79.0,,-82.0,,-127.0,-71.0,-89.0,,-1.1,-29.7,-43.0,-42.2,,False,True,True,False,,False,False,True,False,,True,True,False,False,False,False,False,False,True,False,,False,,False,False,False,,True,True,True,True,
Louisiana,3949,3631.3,3602.0,3631.7,3736.2,4390.0,,3642.4,3470.9,4050.0,3859.4,,3708.0,4066.0,3951.8,3734.6,3476.9,4022.4,,3450.3,3914.2,3420.5,,3402.2,,4024.0,3554.5,3917.0,,3870.0,4103.7,3588.0,3671.6,3739.7,-317.7,-347.0,-317.3,-212.8,441.0,,-306.6,-478.1,101.0,-89.6,,-241.0,117.0,2.8,-214.4,-472.1,73.4,,-498.7,-34.8,-528.5,,-546.8,,75.0,-394.5,-32.0,,-79.0,154.7,-361.0,-277.4,-209.3,False,True,True,False,,True,False,True,True,,True,True,True,True,False,True,,False,True,False,,False,,True,False,True,,True,True,False,True,True
Maine,123,128.3,125.0,119.4,119.4,167.0,,117.5,134.2,122.0,112.6,,116.8,117.0,156.4,118.5,169.9,113.1,,126.7,125.8,112.0,,120.3,,126.0,112.4,126.0,,131.4,119.5,116.0,120.6,,5.3,2.0,-3.6,-3.6,44.0,,-5.5,11.2,-1.0,-10.4,,-6.2,-6.0,33.4,-4.5,46.9,-9.9,,3.7,2.8,-11.0,,-2.7,,3.0,-10.6,3.0,,8.4,-3.5,-7.0,-2.4,,True,True,True,False,,False,False,True,False,,False,False,False,True,False,False,,True,True,False,,True,,True,False,True,,False,True,False,True,
Maryland,3506,3532.3,3570.0,3554.0,3531.8,3834.0,,3415.0,3512.8,3365.0,3270.9,,3458.9,3635.0,3948.5,3514.0,4127.3,3528.4,,3455.5,3588.6,3485.0,,3464.7,,3496.0,3480.7,3477.0,,3563.0,3618.1,3658.0,3542.6,3554.3,26.3,64.0,48.0,25.8,328.0,,-91.0,6.8,-141.0,-235.1,,-47.1,129.0,442.5,8.0,621.3,22.4,,-50.5,82.6,-21.0,,-41.3,,-10.0,-25.3,-29.0,,57.0,112.1,152.0,36.6,48.3,False,False,True,False,,False,True,False,False,,False,False,False,True,False,True,,False,False,True,,False,,True,True,False,,False,False,False,False,False
Massachusetts,8626,8657.4,8680.0,8737.5,8650.9,8609.0,,8298.8,8508.0,8357.0,8559.5,,9105.8,8760.0,8652.0,8636.5,8432.3,8693.6,,8573.1,8740.6,8404.0,,8604.6,,8550.0,8591.2,8469.0,,8330.6,8832.3,8920.0,8548.5,8929.7,31.4,54.0,111.5,24.9,-17.0,,-327.2,-118.0,-269.0,-66.5,,479.8,134.0,26.0,10.5,-193.7,67.6,,-52.9,114.6,-222.0,,-21.4,,-76.0,-34.8,-157.0,,-295.4,206.3,294.0,-77.5,303.7,False,False,True,True,,False,False,False,False,,False,False,True,True,False,False,,False,False,False,,True,,False,False,False,,False,False,False,False,False
Michigan,6457,6453.3,6547.0,6518.7,6454.1,6748.0,,6348.5,6599.0,6647.0,6618.0,,6452.6,6516.0,6971.8,6521.2,7190.8,6327.7,6593.0,6399.7,6517.5,6362.0,,6162.9,,6294.0,6386.0,6454.0,,6547.9,6768.3,6301.0,6469.8,6507.7,-3.7,90.0,61.7,-2.9,291.0,,-108.5,142.0,190.0,161.0,,-4.4,59.0,514.8,64.2,733.8,-129.3,136.0,-57.3,60.5,-95.0,,-294.1,,-163.0,-71.0,-3.0,,90.9,311.3,-156.0,12.8,50.7,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,,False,False,True,,False,False,False,False,False
Minnesota,1646,1693.1,1690.0,1706.9,1699.3,1770.0,,1728.0,1708.8,1674.0,1539.2,,1709.8,1667.0,2053.6,1662.8,2055.5,1776.8,1824.5,1583.0,1645.2,1635.5,,1657.5,,1610.0,1663.8,1624.0,,1673.2,1738.8,1632.0,1732.8,1692.3,47.1,44.0,60.9,53.3,124.0,,82.0,62.8,28.0,-106.8,,63.8,21.0,407.6,16.8,409.5,130.8,178.5,-63.0,-0.8,-10.5,,11.5,,-36.0,17.8,-22.0,,27.2,92.8,-14.0,86.8,46.3,True,False,False,False,,False,False,True,False,,False,True,False,True,False,False,False,False,True,True,,True,,True,True,True,,True,False,True,False,True
Mississippi,1693,1388.7,1280.0,1395.1,1452.2,1596.0,,1544.2,1540.3,1664.0,1081.5,,1514.2,1488.0,1433.0,1321.4,1742.9,1441.0,,1327.5,1694.8,1303.0,,1430.5,,1342.0,1432.8,1401.0,,1604.7,1823.8,1382.0,1471.2,1521.7,-304.3,-413.0,-297.9,-240.8,-97.0,,-148.8,-152.7,-29.0,-611.5,,-178.8,-205.0,-260.0,-371.6,49.9,-252.0,,-365.5,1.8,-390.0,,-262.5,,-351.0,-260.2,-292.0,,-88.3,130.8,-311.0,-221.8,-171.3,False,True,True,True,,True,True,True,False,,True,True,True,False,True,True,,False,True,False,,True,,False,True,True,,True,True,False,True,True
Missouri,1289,1193.7,1176.0,1194.6,1238.9,1303.0,,1307.8,2925.8,1382.0,1208.6,,1303.6,1210.0,1361.5,1249.7,1593.5,1192.9,,1144.7,1299.7,1156.0,,1079.1,,1095.0,1260.2,1180.0,,1415.0,1480.4,1262.0,1207.1,,-84.3,-102.0,-83.4,-39.1,25.0,,29.8,1647.8,104.0,-69.4,,25.6,-68.0,83.5,-28.3,315.5,-85.1,,-133.3,21.7,-122.0,,-198.9,,-183.0,-17.8,-98.0,,137.0,202.4,-16.0,-70.9,,False,True,True,True,,True,False,False,True,,True,True,True,True,False,False,,False,True,False,,False,,False,True,False,,False,False,True,True,
Montana,61,26.9,29.0,27.6,35.7,27.0,,36.7,86.3,33.0,34.5,,21.9,27.0,56.3,41.2,27.2,29.0,,63.5,31.2,23.0,,50.9,,30.0,29.0,51.0,,62.9,55.9,28.0,28.1,,-34.1,-32.0,-33.4,-25.3,-34.0,,-24.3,25.3,-28.0,-26.5,,-39.1,-34.0,-4.7,-19.8,-33.8,-32.0,,2.5,-29.8,-38.0,,-10.1,,-31.0,-32.0,-10.0,,1.9,-5.1,-33.0,-32.9,,True,True,True,True,,True,True,True,True,,False,True,True,True,True,True,,True,True,False,,True,,True,True,True,,True,True,True,True,
Nebraska,332,349.6,381.0,352.0,365.3,339.0,,329.5,363.6,308.0,307.3,,378.6,343.0,453.1,337.7,436.3,369.2,,370.4,362.4,471.0,,368.9,,351.0,328.5,330.0,,311.1,351.9,376.5,360.9,,17.6,49.0,20.0,33.3,7.0,,-2.5,31.6,-24.0,-24.7,,46.6,11.0,121.1,5.7,104.3,37.2,,38.4,30.4,139.0,,36.9,,19.0,-3.5,-2.0,,-20.9,19.9,44.5,28.9,,False,False,False,True,,True,False,False,False,,False,True,False,True,False,False,,False,False,False,,False,,False,True,True,,False,False,False,False,
Nevada,832,665.1,648.0,649.8,709.7,1049.0,,811.3,1333.0,997.0,,,679.6,595.0,923.8,682.5,649.5,708.5,,581.9,778.7,575.0,,598.8,,701.0,635.9,827.0,,1040.5,913.8,666.0,680.8,,-166.9,-184.0,-182.2,-122.3,217.0,,-20.7,501.0,165.0,,,-152.4,-237.0,91.8,-149.5,-182.5,-123.5,,-250.1,-53.3,-257.0,,-233.2,,-131.0,-196.1,-5.0,,208.5,81.8,-166.0,-151.2,,False,False,True,False,,True,False,True,,,True,False,True,True,False,True,,False,True,False,,False,,True,False,True,,False,True,True,True,
New Hampshire,416,435.0,438.0,427.5,436.6,390.0,,432.5,402.2,430.0,395.1,,462.1,384.0,470.9,418.3,605.9,465.8,,413.4,423.0,444.0,,447.5,,398.0,447.2,416.0,,431.1,421.8,461.5,447.1,,19.0,22.0,11.5,20.6,-26.0,,16.5,-13.8,14.0,-20.9,,46.1,-32.0,54.9,2.3,189.9,49.8,,-2.6,7.0,28.0,,31.5,,-18.0,31.2,0.0,,15.1,5.8,45.5,31.1,,False,True,False,False,,True,True,True,False,,False,False,False,True,False,False,,True,True,False,,False,,True,False,True,,True,True,False,False,
New Jersey,15830,16121.3,18481.0,16301.7,15954.3,15768.0,,13437.7,15698.3,15610.0,,,15879.2,17260.0,16214.6,15925.6,13525.1,17021.1,,15763.1,16151.2,16125.0,,13853.4,,16026.0,15913.4,15630.0,,15366.5,18160.9,16238.0,15666.9,14274.7,291.3,2651.0,471.7,124.3,-62.0,,-2392.3,-131.7,-220.0,,,49.2,1430.0,384.6,95.6,-2304.9,1191.1,,-66.9,321.2,295.0,,-1976.6,,196.0,83.4,-200.0,,-463.5,2330.9,408.0,-163.1,-1555.3,False,False,True,True,,False,True,True,,,True,False,False,True,False,False,,True,False,False,,False,,True,True,True,,False,False,False,True,False
New Mexico,651,594.0,585.0,601.2,620.6,589.0,,654.4,638.9,644.0,578.2,,639.1,555.0,732.4,619.7,653.6,603.4,,569.0,671.0,617.0,,589.9,,639.0,617.5,607.0,,663.9,739.2,604.5,604.4,,-57.0,-66.0,-49.8,-30.4,-62.0,,3.4,-12.1,-7.0,-72.8,,-11.9,-96.0,81.4,-31.3,2.6,-47.6,,-82.0,20.0,-34.0,,-61.1,,-12.0,-33.5,-44.0,,12.9,88.2,-46.5,-46.6,,False,True,True,False,,True,True,True,False,,True,False,False,True,True,True,,False,True,True,,False,,True,True,True,,True,False,True,True,
New York,32684,33220.4,33994.0,33449.0,32791.3,33094.0,,32337.4,32420.4,32723.0,34015.9,,31705.1,33868.0,33274.2,32969.2,27322.3,32399.2,,32327.5,33256.3,32406.5,,25580.5,,32440.0,32522.1,33352.0,,32333.5,33225.4,32841.0,32695.5,32950.3,574.4,1348.0,803.0,145.3,448.0,,-308.6,-225.6,77.0,1369.9,,-940.9,1222.0,628.2,323.2,-5323.7,-246.8,,-318.5,610.3,-239.5,,-7065.5,,-206.0,-123.9,706.0,,-312.5,579.4,195.0,49.5,304.3,False,False,True,True,,True,True,True,False,,False,False,False,True,False,True,,True,False,True,,False,,True,True,False,,True,False,True,True,True
North Carolina,1979,1696.9,1787.0,1697.8,1877.0,2528.0,,2036.3,2484.7,2566.0,1528.8,2505.0,1679.3,1665.0,2562.6,1677.5,1649.0,1906.5,,1633.3,1734.9,1734.0,,1620.8,,1625.0,1906.4,1657.0,,2144.8,1993.5,1854.0,1756.0,1842.0,-282.1,-192.0,-281.2,-102.0,549.0,,57.3,505.7,587.0,-450.2,526.0,-299.7,-314.0,583.6,-301.5,-330.0,-72.5,,-345.7,-244.1,-245.0,,-358.2,,-354.0,-72.6,-322.0,,165.8,14.5,-125.0,-223.0,-137.0,True,True,True,False,,True,False,False,False,False,False,False,False,False,False,True,,False,True,True,,False,,False,True,False,,True,True,True,True,True
