,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Oklahoma,549,458.0,401.2,454.3,376.0,405.0,458.8,476.7,-91.0,-147.8,-94.7,-173.0,-144.0,-90.2,-72.3,False,False,False,False,True,True
Oregon,325,241.6,179.2,218.5,189.0,218.5,223.4,212.8,-83.4,-145.8,-106.5,-136.0,-106.5,-101.6,-112.2,False,False,False,False,False,False
Pennsylvania,7219,8991.6,6413.2,7427.9,6516.0,7977.4,6370.0,8216.4,1772.6,-805.8,208.9,-703.0,758.4,-849.0,997.4,True,True,True,True,True,True
Rhode Island,1027,1196.3,845.6,989.6,937.0,973.7,637.5,1374.5,283.3,-67.4,76.6,24.0,60.7,-275.5,461.5,True,True,True,True,True,False
South Carolina,1751,954.6,732.6,833.7,644.0,857.1,1003.1,1276.9,-796.4,-1018.4,-917.3,-1107.0,-893.9,-747.9,-474.1,False,False,False,False,True,True
South Dakota,134,88.6,109.6,100.2,82.0,88.3,74.8,138.4,-45.4,-24.4,-33.8,-52.0,-45.7,-59.2,4.4,True,True,False,False,False,True
Tennessee,1067,842.3,695.5,801.2,742.0,644.2,683.9,890.0,-224.7,-371.5,-265.8,-325.0,-422.8,-383.1,-177.0,False,False,False,False,False,True
Texas,7927,3145.3,2821.3,3348.6,2435.0,2724.8,3571.4,3802.8,-4580.7,-4904.7,-4377.4,-5291.0,-5001.2,-4154.6,-3923.2,False,True,False,False,True,True
Utah,310,183.9,309.6,322.3,242.0,253.9,244.2,285.0,-126.1,-0.4,12.3,-68.0,-56.1,-65.8,-25.0,True,True,True,True,True,True
Vermont,57,55.0,57.7,63.2,56.0,63.7,51.6,60.7,-2.0,0.7,6.2,-1.0,6.7,-5.4,3.7,True,False,True,False,False,False
Virginia,2215,2136.7,2047.3,2199.2,1978.0,2161.0,2138.0,2636.1,-67.3,-156.7,-4.8,-226.0,-43.0,-66.0,432.1,False,True,False,True,True,False
Washington,1619,1463.4,1378.0,1231.4,1356.0,1297.1,1405.0,1552.2,-142.6,-228.0,-374.6,-250.0,-308.9,-201.0,-53.8,False,False,False,False,False,True
West Virginia,116,154.7,111.6,133.4,85.0,123.9,121.0,126.4,38.7,-4.4,17.4,-31.0,7.9,5.0,10.4,True,True,True,True,True,True
Wisconsin,981,1079.1,970.5,1710.6,958.0,839.5,1018.6,1311.5,146.1,37.5,777.6,25.0,-93.5,85.6,378.5,True,False,True,True,True,False
Wyoming,26,24.9,23.6,26.5,17.0,18.3,24.9,28.7,-1.1,-2.4,0.5,-9.0,-7.7,-1.1,2.7,False,True,False,False,True,False
US,155207,158701.9,126819.1,144081.4,131168.0,131742.8,128336.6,156202.0,6582.9,-25299.9,-8037.6,-20951.0,-20376.2,-23782.4,4083.0,False,False,False,False,False,True
