,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
New York,32684,35479.1,31870.4,31293.8,32970.0,31281.9,28813.1,32346.1,3710.1,101.4,-475.2,1201.0,-487.1,-2955.9,577.1,True,True,True,True,True,True
North Carolina,1979,2292.1,1647.4,1498.3,1410.0,1829.2,2600.5,2479.9,313.1,-331.6,-480.7,-569.0,-149.8,621.5,500.9,False,False,False,True,False,False
North Dakota,103,131.9,102.3,95.1,303.0,88.9,89.1,179.6,28.9,-0.7,-7.9,200.0,-14.1,-13.9,76.6,True,True,False,True,True,False
Ohio,3515,3802.4,2715.2,3218.7,2846.0,3227.5,2642.2,4814.4,287.4,-799.8,-296.3,-669.0,-287.5,-872.8,1299.4,False,False,False,False,False,False
Oklahoma,549,537.7,393.7,361.1,389.0,390.5,485.0,528.2,-11.3,-155.3,-187.9,-160.0,-158.5,-64.0,-20.8,False,False,False,False,False,False
Oregon,325,197.3,172.5,176.4,176.0,209.3,229.7,203.6,-127.7,-152.5,-148.6,-149.0,-115.7,-95.3,-121.4,False,False,False,True,True,True
Pennsylvania,7219,9266.1,6256.2,6415.2,5941.0,7844.7,6131.0,8172.3,2047.1,-962.8,-803.8,-1278.0,625.7,-1088.0,953.3,True,True,True,True,True,True
Rhode Island,1020,1692.3,792.1,1157.6,973.0,975.7,635.3,1455.2,779.3,-120.9,244.6,60.0,62.7,-277.7,542.2,True,True,True,True,True,True
South Carolina,1751,1016.6,660.6,729.0,632.0,845.0,927.4,1367.4,-734.4,-1090.4,-1022.0,-1119.0,-906.0,-823.6,-383.6,False,False,False,False,False,True
South Dakota,134,168.3,115.2,80.2,130.0,90.5,76.0,202.0,34.3,-18.8,-53.8,-4.0,-43.5,-58.0,68.0,True,False,True,False,False,False
Tennessee,1067,612.0,603.2,725.9,651.0,476.4,486.3,762.0,-455.0,-463.8,-341.1,-416.0,-590.6,-580.7,-305.0,False,True,True,False,False,True
Texas,7582,2977.0,2719.7,2022.3,2812.0,2865.2,3133.3,4186.8,-4490.0,-4747.3,-5444.7,-4655.0,-4601.8,-4333.7,-3280.2,False,False,False,False,True,True
Utah,310,254.7,293.3,218.3,185.0,243.8,173.0,365.7,-55.3,-16.7,-91.7,-125.0,-66.2,-137.0,55.7,True,False,False,False,False,False
Vermont,57,63.9,57.0,56.5,55.0,67.5,54.3,62.2,6.9,-0.0,-0.5,-2.0,10.5,-2.7,5.2,True,True,True,False,True,True
Virginia,2215,3181.9,1989.0,2563.1,2140.0,2578.5,2712.8,3235.9,966.9,-226.0,348.1,-75.0,363.5,497.8,1020.9,True,True,True,True,True,False
Washington,1592,1622.9,1330.8,1198.9,1308.0,1290.5,1320.6,1485.9,30.9,-261.2,-393.1,-284.0,-301.5,-271.4,-106.1,False,False,False,False,False,False
West Virginia,116,101.6,110.7,106.6,78.0,137.8,130.3,110.5,-14.4,-5.3,-9.4,-38.0,21.8,14.3,-5.5,True,True,False,False,True,True
Wisconsin,981,1318.3,947.5,796.9,1054.0,878.0,1782.0,1268.5,395.3,24.5,-126.1,131.0,-45.0,859.0,345.5,True,True,True,True,False,True
Wyoming,26,51.4,23.3,38.1,17.0,18.0,19.1,49.7,25.4,-2.7,12.1,-9.0,-8.0,-6.9,23.7,True,True,True,True,True,True
US,155202,163387.3,124381.3,134499.8,134229.0,128151.2,124568.8,160887.6,11478.3,-27527.7,-17409.2,-17680.0,-23757.8,-27340.2,8978.6,False,False,False,False,False,True
