,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,3825,3775.7,3806.0,3819.0,3758.0,3860.0,,3689.7,3863.0,3751.0,3789.0,3631.3,3842.3,3639.0,3758.0,3807.1,3661.8,3806.2,3679.2,3774.2,3537.1,3813.6,,3377.7,3842.8,3520.0,,3608.2,,3814.0,3865.9,,3735.0,3640.7,3856.6,3758.0,3686.0,3768.8,3760.0,-49.3,-19.0,-6.0,-67.0,35.0,,-135.3,38.0,-74.0,-36.0,-193.7,17.3,-186.0,-67.0,-17.9,-163.2,-18.8,-145.8,-50.8,-287.9,-11.4,,-447.3,17.8,-305.0,,-216.8,,-11.0,40.9,,-90.0,-184.3,31.6,-67.0,-139.0,-56.2,-65.0,True,True,False,True,,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,,False,True,False,,False,,True,True,,False,False,True,False,False,False,False
Hawaii,26,27.7,28.0,28.0,28.0,29.0,,25.5,27.0,29.8,,,28.0,26.1,,28.5,29.4,28.7,29.4,26.2,25.4,28.1,,29.5,28.4,31.0,,26.9,,29.0,27.3,,28.0,,28.1,29.0,30.0,27.7,,1.7,2.0,2.0,2.0,3.0,,-0.5,1.0,3.8,,,2.0,0.1,,2.5,3.4,2.7,3.4,0.2,-0.6,2.1,,3.5,2.4,5.0,,0.9,,3.0,1.3,,2.0,,2.1,3.0,4.0,1.7,,False,False,False,False,,True,True,False,,,False,True,,False,False,False,False,True,True,False,,False,False,False,,True,,False,True,,False,,False,False,False,False,
Idaho,197,169.1,172.0,169.0,170.0,176.0,,196.4,170.0,191.4,169.2,,169.1,140.0,170.0,181.4,183.2,167.3,161.3,163.8,156.1,168.0,,155.2,168.6,194.0,,154.7,,179.0,169.6,,165.0,,168.2,172.0,208.0,171.4,,-27.9,-25.0,-28.0,-27.0,-21.0,,-0.6,-27.0,-5.6,-27.8,,-27.9,-57.0,-27.0,-15.6,-13.8,-29.7,-35.7,-33.2,-40.9,-29.0,,-41.8,-28.4,-3.0,,-42.3,,-18.0,-27.4,,-32.0,,-28.8,-25.0,11.0,-25.6,,True,False,True,True,,True,True,True,True,,False,False,True,True,True,False,False,False,False,False,,False,False,True,,False,,True,True,,False,,False,True,True,True,
Illinois,7700,7677.4,7695.0,7695.0,7704.0,7759.0,,7658.5,7617.0,7677.1,7722.2,,7701.2,7566.9,7754.0,7678.3,7546.4,7699.2,7700.9,7680.0,7926.6,7727.6,7763.0,7630.5,7693.2,7681.0,,7764.9,,7704.0,7704.6,,7679.0,7802.7,7823.5,7677.0,7664.0,7677.5,7396.0,-22.6,-5.0,-5.0,4.0,59.0,,-41.5,-83.0,-22.9,22.2,,1.2,-133.1,54.0,-21.7,-153.6,-0.8,0.9,-20.0,226.6,27.6,63.0,-69.5,-6.8,-19.0,,64.9,,4.0,4.6,,-21.0,102.7,123.5,-23.0,-36.0,-22.5,-304.0,True,True,True,False,,False,False,False,True,,True,False,False,True,False,True,True,True,False,False,False,False,True,True,,False,,True,True,,True,False,False,False,False,True,False
Indiana,2971,2972.4,2972.0,2970.0,2985.0,2982.0,,2927.2,3009.0,2962.1,2986.6,,2979.7,2938.6,2944.0,2994.2,2801.4,2972.6,2969.7,2970.6,3103.0,3029.2,3028.0,2920.2,2981.1,2926.0,,3067.8,,2988.0,2973.3,,2985.0,2969.5,3051.9,2977.0,3030.0,2985.0,3023.0,1.4,1.0,-1.0,14.0,11.0,,-43.8,38.0,-8.9,15.6,,8.7,-32.4,-27.0,23.2,-169.6,1.6,-1.3,-0.4,132.0,58.2,57.0,-50.8,10.1,-45.0,,96.8,,17.0,2.3,,14.0,-1.5,80.9,6.0,59.0,14.0,52.0,True,True,False,False,,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False
Iowa,874,859.9,864.0,863.0,860.0,861.0,,874.8,861.0,852.3,863.2,,862.7,864.5,860.0,872.3,877.8,884.7,850.7,856.1,862.5,884.6,,843.3,860.5,834.0,,846.3,,860.0,859.3,,856.0,857.4,889.4,861.0,867.0,868.1,,-14.1,-10.0,-11.0,-14.0,-13.0,,0.8,-13.0,-21.7,-10.8,,-11.3,-9.5,-14.0,-1.7,3.8,10.7,-23.3,-17.9,-11.5,10.6,,-30.7,-13.5,-40.0,,-27.7,,-14.0,-14.7,,-18.0,-16.6,15.4,-13.0,-7.0,-5.9,,True,True,True,True,,True,True,False,True,,True,True,True,True,True,True,False,False,True,True,,False,True,False,,False,,True,False,,False,False,False,True,True,True,
Kansas,358,349.9,352.0,350.0,351.0,374.0,,381.4,344.0,352.4,,,362.3,329.6,369.0,362.8,372.5,342.0,343.0,350.2,346.0,346.3,,335.0,350.9,342.0,,352.1,,356.0,351.9,,348.0,,363.3,347.0,359.0,348.9,,-8.1,-6.0,-8.0,-7.0,16.0,,23.4,-14.0,-5.6,,,4.3,-28.4,11.0,4.8,14.5,-16.0,-15.0,-7.8,-12.0,-11.7,,-23.0,-7.1,-16.0,,-5.9,,-2.0,-6.1,,-10.0,,5.3,-11.0,1.0,-9.1,,True,True,True,False,,False,False,True,,,True,False,False,True,False,False,False,True,False,False,,False,True,False,,True,,True,True,,False,,True,False,True,False,
Kentucky,740,725.7,727.0,725.0,738.0,762.0,,725.2,756.0,746.9,732.6,,733.3,740.6,724.0,733.1,763.6,752.2,729.9,734.1,801.2,728.2,738.0,767.2,732.0,733.0,,736.8,,735.0,720.3,,739.0,724.9,755.9,729.0,752.0,740.1,,-14.3,-13.0,-15.0,-2.0,22.0,,-14.8,16.0,6.9,-7.4,,-6.7,0.6,-16.0,-6.9,23.6,12.2,-10.1,-5.9,61.2,-11.8,-2.0,27.2,-8.0,-7.0,,-3.2,,-5.0,-19.7,,-1.0,-15.1,15.9,-11.0,12.0,0.1,,True,False,True,False,,False,False,True,True,,True,True,False,True,False,True,True,True,False,True,True,False,True,True,,True,,True,False,,True,False,False,True,True,True,
Louisiana,3949,3951.6,3907.0,3921.0,3950.0,4001.0,,3724.1,3996.0,3972.7,3909.8,,3874.2,3820.3,3956.0,3997.9,3819.0,3920.5,3933.9,3929.1,3722.5,3964.0,,3763.9,3926.0,3826.0,,3883.2,,4009.0,3949.6,,3958.0,,4149.1,3948.0,3987.0,3915.6,3868.0,2.6,-42.0,-28.0,1.0,52.0,,-224.9,47.0,23.7,-39.2,,-74.8,-128.7,7.0,48.9,-130.0,-28.5,-15.1,-19.9,-226.5,15.0,,-185.1,-23.0,-123.0,,-65.8,,60.0,0.6,,9.0,,200.1,-1.0,38.0,-33.4,-81.0,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,,False,True,,False,,False,True,False,False,False
Maine,123,120.7,121.0,121.0,121.0,118.0,,117.4,121.0,122.0,123.1,,122.1,122.9,127.0,120.9,123.9,122.2,120.4,119.2,124.3,120.8,,121.8,121.2,120.0,,121.0,,120.0,119.9,,121.0,121.3,122.9,121.0,123.0,121.0,,-2.3,-2.0,-2.0,-2.0,-5.0,,-5.6,-2.0,-1.0,0.1,,-0.9,-0.1,4.0,-2.1,0.9,-0.8,-2.6,-3.8,1.3,-2.2,,-1.2,-1.8,-3.0,,-2.0,,-3.0,-3.1,,-2.0,-1.7,-0.1,-2.0,0.0,-2.0,,True,True,True,False,,False,True,True,True,,True,True,False,True,True,True,False,False,True,True,,True,True,False,,True,,False,False,,True,True,True,True,True,True,
Maryland,3506,3494.0,3499.0,3498.0,3508.0,3555.0,,3473.9,3523.0,3482.4,3522.4,,3501.9,3550.8,3545.0,3492.7,3510.5,3493.5,3504.6,3494.3,3540.3,3488.0,,3492.5,3511.7,3464.0,,3501.9,,3512.0,3501.4,,3504.0,,3568.1,3498.0,3558.0,3503.0,3528.0,-12.0,-7.0,-8.0,2.0,49.0,,-32.1,17.0,-23.6,16.4,,-4.1,44.8,39.0,-13.3,4.5,-12.5,-1.4,-11.7,34.3,-18.0,,-13.5,5.7,-42.0,,-4.1,,6.0,-4.6,,-2.0,,62.1,-8.0,52.0,-3.0,22.0,True,True,True,False,,False,False,False,False,,True,False,False,False,True,False,True,True,False,False,,False,True,False,,True,,True,True,,True,,False,True,False,True,False
Massachusetts,8626,8613.0,8599.0,8601.0,8615.0,8617.0,,8430.2,8551.0,8598.2,8638.2,,8601.2,8773.7,8571.0,8595.3,8589.1,8562.2,8685.6,8599.8,8396.4,8653.1,,8539.5,8614.5,8535.0,,8616.3,,8605.0,8596.1,,8609.0,,8623.5,8621.0,8681.0,8584.2,8437.0,-13.0,-27.0,-25.0,-11.0,-9.0,,-195.8,-75.0,-27.8,12.2,,-24.8,147.7,-55.0,-30.7,-36.9,-63.8,59.6,-26.2,-229.6,27.1,,-86.5,-11.5,-91.0,,-9.7,,-21.0,-29.9,,-17.0,,-2.5,-5.0,55.0,-41.8,-189.0,False,False,True,True,,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,,False,True,False,,True,,False,False,,False,,True,True,False,False,False
Michigan,6457,6429.1,6435.0,6436.0,6463.0,6475.0,,6437.9,6498.0,6441.2,6481.7,,6429.3,6546.6,6500.0,6453.4,6415.4,6464.5,6459.4,6432.0,6798.8,6422.0,7798.0,6510.9,6431.5,6415.0,,6520.1,,6437.0,6433.6,,6438.0,6471.1,6657.7,6429.0,6436.0,6428.9,6405.0,-27.9,-22.0,-21.0,6.0,18.0,,-19.1,41.0,-15.8,24.7,,-27.7,89.6,43.0,-3.6,-41.6,7.5,2.4,-25.0,341.8,-35.0,1341.0,53.9,-25.5,-42.0,,63.1,,-20.0,-23.4,,-19.0,14.1,200.7,-28.0,-21.0,-28.1,-52.0,True,True,True,True,,True,False,True,True,,True,False,False,True,False,True,True,True,False,False,False,False,True,False,,False,,True,True,,True,True,False,False,True,False,False
Minnesota,1646,1642.3,1646.0,1644.0,1651.0,1684.0,,1695.0,1655.0,1633.7,1655.6,,1647.4,1643.3,1639.0,1655.8,1590.1,1657.6,1650.4,1644.3,1688.2,1653.6,1648.0,1618.9,1644.8,1615.0,,,,1651.0,1642.8,,1646.0,1662.7,1716.1,1643.0,1636.0,1647.9,,-3.7,0.0,-2.0,5.0,38.0,,49.0,9.0,-12.3,9.6,,1.4,-2.7,-7.0,9.8,-55.9,11.6,4.4,-1.7,42.2,7.6,2.0,-27.1,-1.2,-31.0,,,,5.0,-3.2,,0.0,16.7,70.1,-3.0,-10.0,1.9,,True,True,False,False,,False,False,False,False,,True,True,False,False,False,False,False,True,False,False,True,False,True,False,,,,False,True,,True,False,False,True,False,True,
Mississippi,1693,1611.3,1610.0,1610.0,1613.0,1651.0,,1611.2,1623.0,1630.4,1636.6,,1616.7,1611.7,1564.0,1633.7,1606.8,1591.6,1601.4,1608.9,1594.5,1612.0,,1566.8,1638.1,1599.0,,1544.9,,1659.0,1612.9,,1628.0,1593.0,1622.9,1632.0,1628.0,1602.3,1566.0,-81.7,-83.0,-83.0,-80.0,-42.0,,-81.8,-70.0,-62.6,-56.4,,-76.3,-81.3,-129.0,-59.3,-86.2,-101.4,-91.6,-84.1,-98.5,-81.0,,-126.2,-54.9,-94.0,,-148.1,,-34.0,-80.1,,-65.0,-100.0,-70.1,-61.0,-65.0,-90.7,-127.0,False,False,True,True,,False,True,True,True,,True,True,False,True,False,False,False,False,False,True,,False,True,False,,False,,True,True,,True,False,True,True,True,False,False
Missouri,1276,1271.6,1266.0,1264.0,1267.0,1328.0,,1268.1,1316.0,1267.7,1245.8,,1263.0,1238.1,1252.0,1292.5,1278.8,1240.2,1267.4,1267.9,1270.3,1266.5,,1239.0,1286.8,1234.0,,1288.8,,1283.0,1273.6,,1291.0,1245.0,1298.2,1283.0,1274.0,1265.9,,-4.4,-10.0,-12.0,-9.0,52.0,,-7.9,40.0,-8.3,-30.2,,-13.0,-37.9,-24.0,16.5,2.8,-35.8,-8.6,-8.1,-5.7,-9.5,,-37.0,10.8,-42.0,,12.8,,7.0,-2.4,,15.0,-31.0,22.2,7.0,-2.0,-10.1,,False,False,False,False,,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,,False,False,False,,False,,False,True,,False,False,False,False,True,False,
Montana,61,53.7,54.0,55.0,55.0,47.0,,41.9,53.0,59.9,54.9,,55.9,45.4,48.0,53.3,59.1,59.7,54.1,51.6,56.1,58.7,,61.6,55.6,59.5,,47.3,,59.0,54.1,,55.0,,53.0,52.0,64.0,54.9,,-7.3,-7.0,-6.0,-6.0,-14.0,,-19.1,-8.0,-1.1,-6.1,,-5.1,-15.6,-13.0,-7.7,-1.9,-1.3,-6.9,-9.4,-4.9,-2.3,,0.6,-5.4,-1.5,,-13.7,,-2.0,-6.9,,-6.0,,-8.0,-9.0,3.0,-6.1,,True,True,True,False,,False,False,True,True,,True,False,False,False,True,True,True,False,True,True,,True,True,True,,False,,True,True,,True,,False,False,True,True,
Nebraska,332,328.9,330.0,331.0,330.0,340.0,,338.9,328.0,331.1,337.3,,335.0,305.3,328.0,336.4,341.7,325.3,327.7,327.4,337.5,330.1,,335.4,332.2,319.0,,312.7,,335.0,330.1,,328.0,,330.5,330.0,338.0,330.6,,-3.1,-2.0,-1.0,-2.0,8.0,,6.9,-4.0,-0.9,5.3,,3.0,-26.7,-4.0,4.4,9.7,-6.7,-4.3,-4.6,5.5,-1.9,,3.4,0.2,-13.0,,-19.3,,3.0,-1.9,,-4.0,,-1.5,-2.0,6.0,-1.4,,True,True,True,False,,False,False,True,False,,True,False,False,False,False,False,False,False,False,True,,False,True,False,,False,,True,True,,False,,True,True,False,True,
