,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Iowa,3597,2988.0,,2732.1,2833.7,1639.0,3291.1,1812.0,2088.2,2231.8,3579.0,304.1,3171.1,,1498.7,3207.6,-609.0,,-864.9,-763.3,-1958.0,-305.9,-1785.0,-1508.8,-1365.2,-18.0,-3292.9,-425.9,,-2098.3,-389.4,,False,False,False,True,False,False,False,True,False,True,,False,True
Kansas,2776,2294.0,,2311.7,2513.7,1122.0,2686.9,3081.0,1946.3,1418.6,2892.0,171.1,1815.4,,744.7,2917.5,-482.0,,-464.3,-262.3,-1654.0,-89.1,305.0,-829.7,-1357.4,116.0,-2604.9,-960.6,,-2031.3,141.5,,True,True,False,True,True,False,False,True,False,False,,False,True
Kentucky,2745,1209.0,,1470.6,1369.5,1350.0,1114.2,1971.0,3278.3,575.1,1240.0,144.3,1333.2,,1143.8,1242.5,-1536.0,,-1274.4,-1375.5,-1395.0,-1630.8,-774.0,533.3,-2169.9,-1505.0,-2600.7,-1411.8,,-1601.2,-1502.5,,True,True,True,False,True,True,False,True,False,True,,False,True
Louisiana,13514,8520.0,,8005.3,8414.9,5946.0,7581.5,10364.0,6757.7,7317.1,10661.0,472.7,10385.9,,2460.9,8488.8,-4994.0,,-5508.7,-5099.1,-7568.0,-5932.5,-3150.0,-6756.3,-6196.9,-2853.0,-13041.3,-3128.1,,-11053.1,-5025.2,,False,False,False,False,True,False,False,True,False,True,,False,False
Maine,123,243.0,,160.9,239.6,184.0,247.9,181.0,399.0,146.2,259.0,31.3,237.0,,179.6,241.0,120.0,,37.9,116.6,61.0,124.9,58.0,276.0,23.2,136.0,-91.7,114.0,,56.6,118.0,,True,True,True,False,True,False,True,False,True,True,,True,True
Maryland,3126,2891.0,,1506.1,2407.5,1335.0,2915.7,2512.0,6369.3,1730.6,2623.0,347.5,2427.7,,1561.2,2965.4,-235.0,,-1619.9,-718.5,-1791.0,-210.3,-614.0,3243.3,-1395.4,-503.0,-2778.5,-698.3,,-1564.8,-160.6,,False,False,False,True,False,False,False,False,False,False,,False,True
Massachusetts,1496,1395.0,,795.6,1135.5,548.0,1471.2,1398.0,4275.0,914.2,1326.0,188.0,1166.5,,344.6,1401.6,-101.0,,-700.4,-360.5,-948.0,-24.8,-98.0,2779.0,-581.8,-170.0,-1308.0,-329.5,,-1151.4,-94.4,,False,False,False,True,True,False,False,False,False,False,,False,True
Michigan,3789,2902.0,,1691.4,2813.7,2128.0,3514.1,3284.0,7837.9,1813.0,3658.0,265.6,2812.8,,821.9,3357.2,-887.0,,-2097.6,-975.3,-1661.0,-274.9,-505.0,4048.9,-1976.0,-131.0,-3523.4,-976.2,,-2967.1,-431.8,,False,False,False,True,True,False,False,True,False,False,,False,True
Minnesota,3947,2591.0,,1745.7,2379.1,2189.0,1930.3,2760.0,5641.3,1624.7,2582.0,249.9,2957.9,,1006.9,1972.4,-1356.0,,-2201.3,-1567.9,-1758.0,-2016.7,-1187.0,1694.3,-2322.3,-1365.0,-3697.1,-989.1,,-2940.1,-1974.6,,False,False,False,False,True,False,False,False,False,True,,False,False
Mississippi,4745,5143.0,,4826.6,5047.1,4512.0,6213.3,4932.0,2784.7,2575.5,6436.0,846.3,4983.5,,3402.6,6173.6,398.0,,81.6,302.1,-233.0,1468.3,187.0,-1960.3,-2169.5,1691.0,-3898.7,238.5,,-1342.4,1428.6,,True,True,True,False,True,False,False,False,False,True,,False,False
Missouri,4023,3011.0,,3613.0,4688.2,2604.0,3189.8,4138.0,3142.1,2105.0,3826.0,195.9,3195.3,,1966.0,2952.9,-1012.0,,-410.0,665.2,-1419.0,-833.2,115.0,-880.9,-1918.0,-197.0,-3827.1,-827.7,,-2057.0,-1070.1,,True,True,False,True,True,True,False,True,False,True,,False,False
Montana,510,315.0,,444.7,435.9,185.0,371.3,108.0,299.5,257.7,394.0,37.2,347.0,,421.0,421.2,-195.0,,-65.3,-74.1,-325.0,-138.7,-402.0,-210.5,-252.3,-116.0,-472.8,-163.0,,-89.0,-88.8,,True,True,False,True,False,False,False,True,False,True,,True,True
Nebraska,1171,1052.0,,736.2,955.7,601.0,1150.8,1139.0,1697.3,643.1,1062.0,133.4,846.1,,322.9,967.2,-119.0,,-434.8,-215.3,-570.0,-20.2,-32.0,526.3,-527.9,-109.0,-1037.6,-324.9,,-848.1,-203.8,,False,False,False,True,True,False,False,True,False,False,,False,False
Nevada,5263,5236.0,,7050.9,5554.6,4870.0,5648.6,5198.0,3688.6,4314.7,6978.0,636.0,5268.0,,6269.7,6305.0,-27.0,,1787.9,291.6,-393.0,385.6,-65.0,-1574.4,-948.3,1715.0,-4627.0,5.0,,1006.7,1042.0,,False,False,False,False,False,False,False,False,False,True,,False,False
New Hampshire,152,155.0,,108.0,130.4,103.0,171.6,129.0,788.6,95.0,148.0,34.1,139.5,,140.4,123.4,3.0,,-44.0,-21.6,-49.0,19.6,-23.0,636.6,-57.0,-4.0,-117.9,-12.5,,-11.6,-28.6,,False,False,False,False,False,False,False,False,False,False,,False,False
New Jersey,1926,2160.0,,1494.7,1993.7,474.0,2285.5,3724.0,8879.0,1464.3,2125.0,238.1,2700.5,,133.2,2173.7,234.0,,-431.3,67.7,-1452.0,359.5,1798.0,6953.0,-461.7,199.0,-1687.9,774.5,,-1792.8,247.7,,False,True,False,False,False,False,False,True,False,False,,False,False
New Mexico,1710,1444.0,,1096.5,1396.3,1181.0,1768.8,1501.0,1726.0,1052.4,1885.0,176.7,1491.3,,934.3,1562.6,-266.0,,-613.5,-313.7,-529.0,58.8,-209.0,16.0,-657.6,175.0,-1533.3,-218.7,,-775.7,-147.4,,False,False,False,True,True,True,False,True,False,True,,False,True
New York,4823,4675.0,,3584.2,4177.3,3444.0,5145.7,4670.0,14720.5,3050.9,4650.0,394.7,4179.4,,191.8,4964.7,-148.0,,-1238.8,-645.7,-1379.0,322.7,-153.0,9897.5,-1772.1,-173.0,-4428.3,-643.6,,-4631.2,141.7,,False,False,False,False,False,False,False,False,False,False,,False,True
North Carolina,12713,10858.0,,11903.9,11815.5,12208.0,11534.9,14919.0,10622.2,6593.1,11797.0,1498.0,10168.7,,11065.2,10046.9,-1855.0,,-809.1,-897.5,-505.0,-1178.1,2206.0,-2090.8,-6119.9,-916.0,-11215.0,-2544.3,,-1647.8,-2666.1,,True,True,True,True,False,False,False,True,False,False,,True,False
North Dakota,464,321.0,,198.6,303.1,257.0,409.0,152.0,371.0,215.4,373.0,32.0,253.3,,143.2,379.2,-143.0,,-265.4,-160.9,-207.0,-55.0,-312.0,-93.0,-248.6,-91.0,-432.0,-210.7,,-320.8,-84.8,,False,False,False,True,False,True,False,True,False,False,,False,True
Ohio,8031,6728.0,,6627.0,6561.3,13168.0,7631.2,6986.0,12615.0,4831.8,9064.0,817.2,7557.5,,4037.4,7868.0,-1303.0,,-1404.0,-1469.7,5137.0,-399.8,-1045.0,4584.0,-3199.2,1033.0,-7213.8,-473.5,,-3993.6,-163.0,,False,False,False,True,True,False,False,True,False,True,,False,True
Oklahoma,4131,3002.0,,4534.2,4206.4,2360.0,3509.7,3496.0,1441.2,1900.3,3988.0,372.5,3071.9,,3140.8,2998.2,-1129.0,,403.2,75.4,-1771.0,-621.3,-635.0,-2689.8,-2230.7,-143.0,-3758.5,-1059.1,,-990.2,-1132.8,,True,True,False,True,True,False,False,True,False,True,,True,False
Oregon,1921,1836.0,,2322.7,2070.5,1448.0,2335.8,2432.0,2343.3,1578.6,2520.0,273.4,2147.2,,1973.0,1842.2,-85.0,,401.7,149.5,-473.0,414.8,511.0,422.3,-342.4,599.0,-1647.6,226.2,,52.0,-78.8,,False,False,False,False,False,False,False,False,False,False,,True,True
Pennsylvania,5294,4476.0,,3370.6,4212.3,3334.0,4871.0,5346.0,8314.0,2697.2,5229.0,667.1,4606.1,,1784.4,4743.5,-818.0,,-1923.4,-1081.7,-1960.0,-423.0,52.0,3020.0,-2596.8,-65.0,-4626.9,-687.9,,-3509.6,-550.5,,False,False,False,True,True,False,False,True,False,True,,False,True
Rhode Island,321,330.0,,207.0,271.6,217.0,303.3,381.0,212.2,150.0,219.0,50.4,255.7,,48.5,207.5,9.0,,-114.0,-49.4,-104.0,-17.7,60.0,-108.8,-171.0,-102.0,-270.6,-65.3,,-272.5,-113.5,,False,False,False,False,False,False,False,False,False,False,,False,False
South Carolina,11313,11447.0,,15470.0,14674.8,9523.0,14487.5,13657.0,5188.9,7729.2,14825.0,1098.4,11546.9,,13112.1,12400.2,134.0,,4157.0,3361.8,-1790.0,3174.5,2344.0,-6124.1,-3583.8,3512.0,-10214.6,233.9,,1799.1,1087.2,,False,False,False,False,False,False,False,False,False,False,,False,False
South Dakota,426,402.0,,356.0,383.6,314.0,425.7,625.0,579.0,261.4,396.0,58.6,328.9,,182.4,421.9,-24.0,,-70.0,-42.4,-112.0,-0.3,199.0,153.0,-164.6,-30.0,-367.4,-97.1,,-243.6,-4.1,,False,False,False,True,False,False,False,False,False,False,,False,True
Tennessee,10866,9968.0,,9586.8,10383.0,10971.0,9572.9,7840.0,5308.8,6288.5,12475.0,827.1,10077.0,,7267.7,12592.4,-898.0,,-1279.2,-483.0,105.0,-1293.1,-3026.0,-5557.2,-4577.5,1609.0,-10038.9,-789.0,,-3598.3,1726.4,,False,True,True,False,False,False,False,False,False,True,,False,False
Texas,60477,46259.0,,64880.0,76367.1,43842.0,52932.5,77814.0,27907.7,15788.4,59319.0,5263.7,41291.9,,52818.7,48138.1,-14218.0,,4403.0,15890.1,-16635.0,-7544.5,17337.0,-32569.3,-44688.6,-1158.0,-55213.3,-19185.1,,-7658.3,-12338.9,,True,False,False,True,False,False,False,True,False,False,,True,True
Utah,4313,3914.0,,5033.7,4519.3,4075.0,4201.6,5942.0,2607.5,2412.1,4579.0,496.9,3720.3,,3960.7,3470.2,-399.0,,720.7,206.3,-238.0,-111.4,1629.0,-1705.5,-1900.9,266.0,-3816.1,-592.7,,-352.3,-842.8,,False,True,True,True,False,False,False,True,False,False,,True,False
Vermont,45,38.0,,41.1,37.8,12.0,44.2,34.0,101.8,34.0,43.0,4.4,48.7,,0.1,35.3,-7.0,,-3.9,-7.2,-33.0,-0.8,-11.0,56.8,-11.0,-2.0,-40.6,3.7,,-44.9,-9.7,,True,False,False,True,False,False,False,True,False,True,,False,False
Virginia,4673,3862.0,,2375.3,3654.9,2887.0,4194.0,4974.0,6747.9,2737.8,4001.0,574.0,4276.6,,2370.4,3157.6,-811.0,,-2297.7,-1018.1,-1786.0,-479.0,301.0,2074.9,-1935.2,-672.0,-4099.0,-396.4,,-2302.6,-1515.4,,False,False,False,True,True,False,False,True,False,True,,False,False
Washington,4770,3843.0,,4355.4,3780.8,2930.0,4190.4,7522.0,3697.3,2851.1,4832.0,406.6,4286.5,,2170.4,4090.3,-927.0,,-414.6,-989.2,-1840.0,-579.6,2752.0,-1072.7,-1918.9,62.0,-4363.4,-483.5,,-2599.6,-679.7,,True,False,False,True,False,False,False,True,False,True,,False,True
West Virginia,941,423.0,,380.6,706.4,395.0,552.3,346.0,609.4,347.3,565.0,30.4,495.9,,283.3,549.8,-518.0,,-560.4,-234.6,-546.0,-388.7,-595.0,-331.6,-593.7,-376.0,-910.6,-445.1,,-657.7,-391.2,,False,True,False,True,False,True,False,True,False,True,,False,True
Wisconsin,4624,3769.0,,2338.6,3899.3,2768.0,4441.8,3005.0,3917.9,2727.3,4974.0,626.9,4050.7,,2857.8,4282.0,-855.0,,-2285.4,-724.7,-1856.0,-182.2,-1619.0,-706.1,-1896.7,350.0,-3997.1,-573.3,,-1766.2,-342.0,,False,True,False,True,False,True,False,True,False,True,,False,True
Wyoming,233,214.0,,341.8,265.6,195.0,215.0,105.0,127.4,137.6,284.0,20.9,238.1,,184.1,190.9,-19.0,,108.8,32.6,-38.0,-18.0,-128.0,-105.6,-95.4,51.0,-212.1,5.1,,-48.9,-42.1,,False,False,False,True,False,False,False,False,False,True,,False,False
US,405892,329177.0,458708.0,402431.2,,310563.0,362289.8,403019.0,291364.8,248291.1,416275.0,39710.6,346765.9,258992.0,307162.3,357465.2,-76715.0,52816.0,-3460.8,,-95329.0,-43602.2,-2873.0,-114527.2,-157600.9,10383.0,-366181.5,-59126.1,-146900.0,-98729.7,-48426.8,True,True,,False,True,True,False,False,True,False,True,False,False,True
