,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01021,86,46.0,,64.0,,,,,58.0,38.7,29.9,,61.0,,,,,,-40.0,,-22.0,,,,,-28.0,-47.3,-56.1,,-25.0,,,,,,,True,,,,,True,False,False,,True,,,,,
01023,21,7.0,,0.0,,,,,36.0,11.3,0.7,,,,,,,,-14.0,,-21.0,,,,,15.0,-9.7,-20.3,,,,,,,,,False,,,,,False,True,False,,,,,,,
01025,44,17.0,,42.0,,,,,53.0,39.9,3.5,,,,,,,,-27.0,,-2.0,,,,,9.0,-4.1,-40.5,,,,,,,,,True,,,,,True,True,False,,,,,,,
01027,16,29.0,,0.0,,,,,7.0,6.4,3.7,,25.0,,,,,,13.0,,-16.0,,,,,-9.0,-9.6,-12.3,,9.0,,,,,,,False,,,,,True,True,True,,True,,,,,
01029,8,11.0,,0.0,,,,,3.0,4.8,1.7,,9.0,,,,,,3.0,,-8.0,,,,,-5.0,-3.2,-6.3,,1.0,,,,,,,False,,,,,False,False,False,,True,,,,,
01031,50,34.0,,54.0,,,,,93.0,44.4,12.5,,53.0,,,,,,-16.0,,4.0,,,,,43.0,-5.6,-37.5,,3.0,,,,,,,True,,,,,False,True,False,,True,,,,,
01033,112,50.0,,52.0,,,,,105.0,70.0,18.5,,61.0,,,,,,-62.0,,-60.0,,,,,-7.0,-42.0,-93.5,,-51.0,,,,,,,True,,,,,True,True,False,,True,,,,,
01035,21,41.0,,0.0,,,,,30.0,40.8,18.3,14.8,47.0,,,,,,20.0,,-21.0,,,,,9.0,19.8,-2.7,-6.2,26.0,,,,,,,False,,,,,True,True,True,True,False,,,,,
01037,9,3.0,,0.0,,,,,3.0,7.6,3.4,,,,,,,,-6.0,,-9.0,,,,,-6.0,-1.4,-5.6,,,,,,,,,False,,,,,False,True,True,,,,,,,
01039,75,61.0,,101.0,,,,,80.0,65.9,31.5,57.9,81.0,,,,,,-14.0,,26.0,,,,,5.0,-9.1,-43.5,-17.1,6.0,,,,,,,False,,,,,True,True,False,False,True,,,,,
01041,8,4.0,,0.0,,,,,50.0,13.7,0.6,7.6,,,,,,,-4.0,,-8.0,,,,,42.0,5.7,-7.4,-0.4,,,,,,,,False,,,,,False,False,False,True,,,,,,
01043,151,67.0,,105.0,,,,,130.0,101.7,28.6,67.3,86.0,,,,,,-84.0,,-46.0,,,,,-21.0,-49.3,-122.4,-83.7,-65.0,,,,,,,True,,,,,True,True,False,True,True,,,,,
01045,101,52.0,,0.0,,,,,68.0,52.2,36.0,35.0,76.0,,,,,,-49.0,,-101.0,,,,,-33.0,-48.8,-65.0,-66.0,-25.0,,,,,,,False,,,,,True,True,False,False,True,,,,,
01047,129,135.0,,155.0,,,,,113.0,97.6,43.7,92.9,156.0,,,,,,6.0,,26.0,,,,,-16.0,-31.4,-85.3,-36.1,27.0,,,,,,,False,,,,,False,False,False,False,False,,,,,
01049,244,179.0,,400.0,,,,,141.0,64.4,137.0,127.6,224.0,,,,,,-65.0,,156.0,,,,,-103.0,-179.6,-107.0,-116.4,-20.0,,,,,,,False,,,,,False,False,False,False,True,,,,,
01051,145,132.0,,120.0,,,,,167.0,121.6,102.4,91.8,189.0,,139.0,,,,-13.0,,-25.0,,,,,22.0,-23.4,-42.6,-53.2,44.0,,-6.0,,,,,False,,,,,False,False,False,False,False,,True,,,
01053,132,122.0,,222.0,,,,,75.0,46.9,78.3,49.1,147.0,,,,,,-10.0,,90.0,,,,,-57.0,-85.1,-53.7,-82.9,15.0,,,,,,,False,,,,,False,False,False,False,False,,,,,
01055,259,180.0,,372.0,,,,,202.0,109.6,123.0,141.1,202.0,,212.7,,,,-79.0,,113.0,,,,,-57.0,-149.4,-136.0,-117.9,-57.0,,-46.3,,,,,False,,,,,True,False,False,False,True,,True,,,
01057,17,3.0,,7.0,,,,,10.0,12.7,4.8,,,,,,,,-14.0,,-10.0,,,,,-7.0,-4.3,-12.2,,,,,,,,,True,,,,,True,True,True,,,,,,,
01059,43,60.0,,58.0,,,,,181.0,71.5,30.1,30.3,,,,,,,17.0,,15.0,,,,,138.0,28.5,-12.9,-12.7,,,,,,,,True,,,,,False,False,True,True,,,,,,
01061,19,19.0,,14.0,,,,,40.0,17.4,4.7,,31.0,,,,,,0.0,,-5.0,,,,,21.0,-1.6,-14.3,,12.0,,,,,,,False,,,,,False,False,False,,False,,,,,
01063,12,19.0,,7.0,,,,,9.0,11.6,7.9,1.7,34.0,,,,,,7.0,,-5.0,,,,,-3.0,-0.4,-4.1,-10.3,22.0,,,,,,,True,,,,,True,True,True,False,False,,,,,
01065,40,37.0,,32.0,,,,,38.0,38.6,11.7,16.9,50.0,,,,,,-3.0,,-8.0,,,,,-2.0,-1.4,-28.3,-23.1,10.0,,,,,,,False,,,,,True,True,False,False,False,,,,,
01067,20,0.0,,7.0,,,,,15.0,15.9,1.1,12.1,,,,,,,-20.0,,-13.0,,,,,-5.0,-4.1,-18.9,-7.9,,,,,,,,True,,,,,True,True,True,True,,,,,,
01069,118,59.0,,87.0,,,,,162.0,76.5,48.7,65.9,108.0,,,,,,-59.0,,-31.0,,,,,44.0,-41.5,-69.3,-52.1,-10.0,,,,,,,True,,,,,True,True,False,True,True,,,,,
01071,166,74.0,,121.0,,,,,47.0,43.2,51.7,60.6,99.0,,,,,,-92.0,,-45.0,,,,,-119.0,-122.8,-114.3,-105.4,-67.0,,,,,,,True,,,,,False,False,False,False,True,,,,,
01073,1486,1341.0,,2582.0,,,,,1361.0,1024.0,1148.6,958.9,1579.0,,1519.4,,,,-145.0,,1096.0,,,,,-125.0,-462.0,-337.4,-527.1,93.0,,33.4,,,,,False,,,,,True,False,False,False,True,,True,,,
01075,11,11.0,,0.0,,,,,10.0,14.0,5.2,,12.0,,,,,,0.0,,-11.0,,,,,-1.0,3.0,-5.8,,1.0,,,,,,,False,,,,,False,False,False,,False,,,,,
01077,87,126.0,,162.0,,,,,150.0,104.5,61.9,114.0,143.0,,,,,,39.0,,75.0,,,,,63.0,17.5,-25.1,27.0,56.0,,,,,,,False,,,,,False,True,True,True,False,,,,,
01079,29,17.0,,32.0,,,,,20.0,23.0,2.9,19.2,17.0,,,,,,-12.0,,3.0,,,,,-9.0,-6.0,-26.1,-9.8,-12.0,,,,,,,True,,,,,True,True,False,True,False,,,,,
01081,229,315.0,,432.0,,,,,248.0,140.1,217.6,210.4,354.0,,385.0,,,,86.0,,203.0,,,,,19.0,-88.9,-11.4,-18.6,125.0,,156.0,,,,,False,,,,,True,False,True,True,False,,False,,,
01083,138,130.0,,240.0,,,,,115.0,39.0,84.1,126.6,142.0,,,,,,-8.0,,102.0,,,,,-23.0,-99.0,-53.9,-11.4,4.0,,,,,,,False,,,,,False,False,False,False,True,,,,,
01085,16,31.0,,40.0,,,,,25.0,26.7,3.7,2.3,,,,,,,15.0,,24.0,,,,,9.0,10.7,-12.3,-13.7,,,,,,,,False,,,,,True,True,True,True,,,,,,
01087,28,25.0,,29.0,,,,,11.0,32.5,13.9,17.3,40.0,,,,,,-3.0,,1.0,,,,,-17.0,4.5,-14.1,-10.7,12.0,,,,,,,True,,,,,False,False,False,False,False,,,,,
01089,852,463.0,,1106.0,,,,,383.0,229.7,464.1,397.8,615.0,,538.3,,,,-389.0,,254.0,,,,,-469.0,-622.4,-387.9,-454.2,-237.0,,-313.7,,,,,True,,,,,False,False,True,False,True,,True,,,
01091,46,38.0,,67.0,,,,,48.0,32.0,12.4,18.9,48.0,,,,,,-8.0,,21.0,,,,,2.0,-14.0,-33.6,-27.1,2.0,,,,,,,False,,,,,True,False,False,False,True,,,,,
01093,63,31.0,,46.0,,,,,38.0,22.8,12.8,20.7,41.0,,,,,,-32.0,,-17.0,,,,,-25.0,-40.2,-50.2,-42.3,-22.0,,,,,,,True,,,,,True,False,False,False,True,,,,,
01095,262,313.0,,688.0,,,,,442.0,133.7,196.6,192.2,380.0,,377.2,,,,51.0,,426.0,,,,,180.0,-128.3,-65.4,-69.8,118.0,,115.2,,,,,False,,,,,False,False,False,False,False,,False,,,
01097,816,643.0,,887.0,,,,,603.0,415.8,448.4,305.1,806.0,,738.6,,,,-173.0,,71.0,,,,,-213.0,-400.2,-367.6,-510.9,-10.0,,-77.4,,,,,True,,,,,False,False,False,False,True,,True,,,
01099,30,47.0,,0.0,,,,,39.0,35.1,19.7,27.4,66.0,,,,,,17.0,,-30.0,,,,,9.0,5.1,-10.3,-2.6,36.0,,,,,,,False,,,,,True,True,True,True,False,,,,,
01101,480,445.0,,377.0,,,,,519.0,564.1,265.6,296.4,643.0,,525.9,,,,-35.0,,-103.0,,,,,39.0,84.1,-214.4,-183.6,163.0,,45.9,,,,,False,,,,,False,False,False,False,False,,False,,,
01103,247,164.0,,197.0,,,,,312.0,128.5,124.9,154.8,236.0,,,,,,-83.0,,-50.0,,,,,65.0,-118.5,-122.1,-92.2,-11.0,,,,,,,True,,,,,True,False,False,False,True,,,,,
01105,77,60.0,,0.0,,,,,9.0,23.6,35.2,7.8,61.0,,,,,,-17.0,,-77.0,,,,,-68.0,-53.4,-41.8,-69.2,-16.0,,,,,,,False,,,,,False,False,False,False,True,,,,,
01107,39,37.0,,48.0,,,,,22.0,22.1,19.5,25.5,53.0,,,,,,-2.0,,9.0,,,,,-17.0,-16.9,-19.5,-13.5,14.0,,,,,,,False,,,,,False,False,False,False,False,,,,,
01109,51,32.0,,31.0,,,,,93.0,50.2,15.0,30.7,60.0,,,,,,-19.0,,-20.0,,,,,42.0,-0.8,-36.0,-20.3,9.0,,,,,,,False,,,,,False,True,False,False,True,,,,,
01111,55,46.0,,1.0,,,,,23.0,17.3,23.8,9.0,60.0,,,,,,-9.0,,-54.0,,,,,-32.0,-37.7,-31.2,-46.0,5.0,,,,,,,False,,,,,False,False,False,False,True,,,,,
01113,138,130.0,,116.0,,,,,69.0,71.7,66.3,84.1,143.0,,,,,,-8.0,,-22.0,,,,,-69.0,-66.3,-71.7,-53.9,5.0,,,,,,,False,,,,,False,False,False,False,True,,,,,
01115,161,119.0,,221.0,,,,,75.0,38.2,88.2,86.7,146.0,,,,,,-42.0,,60.0,,,,,-86.0,-122.8,-72.8,-74.3,-15.0,,,,,,,False,,,,,False,False,False,False,True,,,,,
01117,428,285.0,,425.0,,,,,352.0,162.7,226.4,221.1,363.0,,373.9,,,,-143.0,,-3.0,,,,,-76.0,-265.3,-201.6,-206.9,-65.0,,-54.1,,,,,True,,,,,True,False,False,False,True,,True,,,
01119,9,10.0,,0.0,,,,,47.0,12.7,2.0,4.5,,,,,,,1.0,,-9.0,,,,,38.0,3.7,-7.0,-4.5,,,,,,,,False,,,,,False,False,False,False,,,,,,
01121,105,83.0,,151.0,,,,,118.0,88.9,39.5,67.7,89.0,,89.6,,,,-22.0,,46.0,,,,,13.0,-16.1,-65.5,-37.3,-16.0,,-15.4,,,,,False,,,,,True,True,False,False,True,,True,,,
01123,40,49.0,,67.0,,,,,82.0,34.9,17.3,19.0,,,,,,,9.0,,27.0,,,,,42.0,-5.1,-22.7,-21.0,,,,,,,,False,,,,,False,True,False,False,,,,,,
01125,402,387.0,,514.0,,,,,589.0,394.6,304.2,265.2,518.0,,398.8,,,,-15.0,,112.0,,,,,187.0,-7.4,-97.8,-136.8,116.0,,-3.2,,,,,False,,,,,False,True,False,False,False,,True,,,
01127,144,134.0,,181.0,,,,,227.0,155.9,66.5,85.4,169.0,,166.4,,,,-10.0,,37.0,,,,,83.0,11.9,-77.5,-58.6,25.0,,22.4,,,,,False,,,,,False,False,False,False,False,,False,,,
01129,37,7.0,,7.0,,,,,25.0,11.4,2.1,5.3,,,,,,,-30.0,,-30.0,,,,,-12.0,-25.6,-34.9,-31.7,,,,,,,,False,,,,,True,True,False,False,,,,,,
01131,10,19.0,,0.0,,,,,31.0,16.6,4.0,15.6,,,,,,,9.0,,-10.0,,,,,21.0,6.6,-6.0,5.6,,,,,,,,False,,,,,False,True,True,True,,,,,,
01133,38,38.0,,61.0,,,,,46.0,38.6,15.6,33.1,48.0,,,,,,0.0,,23.0,,,,,8.0,0.6,-22.4,-4.9,10.0,,,,,,,False,,,,,False,False,False,False,False,,,,,
02013,0,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,True,,,,,,True,,,True,,,,,
02016,1,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,-1.0,,-1.0,,,,,,-1.0,,,-1.0,,,,,,,False,,,,,,False,,,False,,,,,
02020,165,129.0,,243.0,,,,,,81.7,97.3,73.3,155.0,,144.3,,,,-36.0,,78.0,,,,,,-83.3,-67.7,-91.7,-10.0,,-20.7,,,,,False,,,,,,False,False,False,True,,True,,,
02050,2,2.0,,0.0,,,,,,5.5,0.3,,0.0,,,,,,0.0,,-2.0,,,,,,3.5,-1.7,,-2.0,,,,,,,False,,,,,,False,False,,False,,,,,
02060,0,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,True,,,,,,True,,,True,,,,,
02068,0,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,True,,,,,,True,,,True,,,,,
02070,0,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,True,,,,,,True,,,True,,,,,
02090,62,30.0,,0.0,,,,,,27.2,12.1,9.7,34.0,,,,,,-32.0,,-62.0,,,,,,-34.8,-49.9,-52.3,-28.0,,,,,,,False,,,,,,False,False,False,True,,,,,
02100,0,0.0,,0.0,,,,,,2.3,,,0.0,,,,,,0.0,,0.0,,,,,,2.3,,,0.0,,,,,,,True,,,,,,False,,,True,,,,,
02105,0,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,True,,,,,,True,,,True,,,,,
02110,3,2.0,,0.0,,,,,,8.9,2.2,,,,,,,,-1.0,,-3.0,,,,,,5.9,-0.8,,,,,,,,,False,,,,,,False,True,,,,,,,
02122,32,30.0,,0.0,,,,,,22.6,5.7,23.7,29.0,,,,,,-2.0,,-32.0,,,,,,-9.4,-26.3,-8.3,-3.0,,,,,,,False,,,,,,False,False,False,False,,,,,
02130,2,1.0,,0.0,,,,,,2.8,0.7,,,,,,,,-1.0,,-2.0,,,,,,0.8,-1.3,,,,,,,,,False,,,,,,True,False,,,,,,,
02150,1,1.0,,0.0,,,,,,10.6,0.1,,0.0,,,,,,0.0,,-1.0,,,,,,9.6,-0.9,,-1.0,,,,,,,False,,,,,,False,False,,False,,,,,
02158,1,1.0,,0.0,,,,,,,,,,,,,,,0.0,,-1.0,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
02164,9,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,-9.0,,-9.0,,,,,,-9.0,,,-9.0,,,,,,,False,,,,,,False,,,False,,,,,
02170,20,43.0,,0.0,,,,,,35.7,29.9,19.0,47.0,,,,,,23.0,,-20.0,,,,,,15.7,9.9,-1.0,27.0,,,,,,,True,,,,,,True,True,True,False,,,,,
02180,4,3.0,,0.0,,,,,,4.0,0.2,,,,,,,,-1.0,,-4.0,,,,,,0.0,-3.8,,,,,,,,,False,,,,,,True,False,,,,,,,
02185,0,0.0,,0.0,,,,,,5.6,0.1,,0.0,,,,,,0.0,,0.0,,,,,,5.6,0.1,,0.0,,,,,,,True,,,,,,False,False,,True,,,,,
02188,1,1.0,,0.0,,,,,,4.0,0.1,,0.0,,,,,,0.0,,-1.0,,,,,,3.0,-0.9,,-1.0,,,,,,,False,,,,,,False,False,,False,,,,,
02195,2,1.0,,0.0,,,,,,1.1,0.1,,0.0,,,,,,-1.0,,-2.0,,,,,,-0.9,-1.9,,-2.0,,,,,,,False,,,,,,True,False,,False,,,,,
02198,0,0.0,,0.0,,,,,,3.6,0.0,,0.0,,,,,,0.0,,0.0,,,,,,3.6,0.0,,0.0,,,,,,,True,,,,,,False,False,,True,,,,,
02220,1,1.0,,0.0,,,,,,4.4,0.3,,0.0,,,,,,0.0,,-1.0,,,,,,3.4,-0.7,,-1.0,,,,,,,False,,,,,,False,False,,False,,,,,
02230,0,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,True,,,,,,True,,,True,,,,,
02240,6,7.0,,0.0,,,,,,2.7,0.2,,6.0,,,,,,1.0,,-6.0,,,,,,-3.3,-5.8,,0.0,,,,,,,False,,,,,,False,False,,True,,,,,
02261,3,3.0,,0.0,,,,,,0.0,0.1,,5.0,,,,,,0.0,,-3.0,,,,,,-3.0,-2.9,,2.0,,,,,,,False,,,,,,False,False,,False,,,,,
02275,0,0.0,,0.0,,,,,,3.1,,,0.0,,,,,,0.0,,0.0,,,,,,3.1,,,0.0,,,,,,,True,,,,,,False,,,True,,,,,
02282,0,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,True,,,,,,True,,,True,,,,,
02290,3,1.0,,0.0,,,,,,5.6,0.1,,0.0,,,,,,-2.0,,-3.0,,,,,,2.6,-2.9,,-3.0,,,,,,,False,,,,,,False,False,,False,,,,,
04001,128,173.0,,216.0,,,,,315.0,198.8,48.5,49.3,,,146.1,,,,45.0,,88.0,,,,,187.0,70.8,-79.5,-78.7,,,18.1,,,,,False,,,,,False,False,False,False,,,True,,,
04003,280,202.0,,320.0,,,,,55.0,274.3,131.8,151.8,274.0,,265.4,,,,-78.0,,40.0,,,,,-225.0,-5.7,-148.2,-128.2,-6.0,,-14.6,,,,,True,,,,,False,True,False,False,True,,True,,,
04005,320,372.0,,411.0,,,,,254.0,203.3,247.8,123.7,466.0,,391.1,,,,52.0,,91.0,,,,,-66.0,-116.7,-72.2,-196.3,146.0,,71.1,,,,,False,,,,,False,False,False,False,False,,False,,,
04007,109,86.0,,0.0,,,,,121.0,96.0,51.4,58.9,108.0,,,,,,-23.0,,-109.0,,,,,12.0,-13.0,-57.6,-50.1,-1.0,,,,,,,False,,,,,True,True,False,False,True,,,,,
04009,74,45.0,,0.0,,,,,34.0,28.7,42.8,24.4,61.0,,,,,,-29.0,,-74.0,,,,,-40.0,-45.3,-31.2,-49.6,-13.0,,,,,,,False,,,,,False,False,False,False,True,,,,,
04011,14,0.0,,0.0,,,,,8.0,4.6,0.1,,,,,,,,-14.0,,-14.0,,,,,-6.0,-9.4,-13.9,,,,,,,,,False,,,,,True,True,True,,,,,,,
04012,41,42.0,,0.0,,,,,58.0,53.6,7.5,31.6,,,,,,,1.0,,-41.0,,,,,17.0,12.6,-33.5,-9.4,,,,,,,,False,,,,,False,False,False,False,,,,,,
04013,18652,17455.0,,29548.0,,,,,22468.0,5267.8,14953.3,13752.7,22619.0,,20123.2,,,,-1197.0,,10896.0,,,,,3816.0,-13384.2,-3698.7,-4899.3,3967.0,,1471.2,,,,,False,,,,,False,False,False,False,False,,False,,,
04015,401,396.0,,715.0,,,,,247.0,531.6,269.8,295.4,480.0,,386.7,,,,-5.0,,314.0,,,,,-154.0,130.6,-131.2,-105.6,79.0,,-14.3,,,,,False,,,,,False,False,False,False,False,,False,,,
04017,431,451.0,,507.0,,,,,544.0,293.1,204.3,279.3,603.0,,363.8,,,,20.0,,76.0,,,,,113.0,-137.9,-226.7,-151.7,172.0,,-67.2,,,,,False,,,,,False,False,False,False,False,,False,,,
04019,2130,2227.0,,2300.0,,,,,2686.0,2182.5,1573.5,1690.2,2772.0,,2353.1,,,,97.0,,170.0,,,,,556.0,52.5,-556.5,-439.8,642.0,,223.1,,,,,False,,,,,False,True,False,False,False,,False,,,
04021,1276,1083.0,,1440.0,,,,,901.0,805.0,893.4,812.9,1347.0,,1243.0,,,,-193.0,,164.0,,,,,-375.0,-471.0,-382.6,-463.1,71.0,,-33.0,,,,,True,,,,,False,False,False,False,True,,True,,,
04023,230,278.0,,183.0,,,,,535.0,228.9,156.1,45.5,404.0,,,,,,48.0,,-47.0,,,,,305.0,-1.1,-73.9,-184.5,174.0,,,,,,,True,,,,,False,True,False,False,False,,,,,
04025,201,253.0,,567.0,,,,,417.0,335.8,147.6,235.5,238.0,,365.3,,,,52.0,,366.0,,,,,216.0,134.8,-53.4,34.5,37.0,,164.3,,,,,False,,,,,False,False,False,True,True,,False,,,
04027,1081,1382.0,,1408.0,,,,,1522.0,886.8,927.5,1006.7,1975.0,,1696.3,,,,301.0,,327.0,,,,,441.0,-194.2,-153.5,-74.3,894.0,,615.3,,,,,False,,,,,False,True,True,True,False,,False,,,
05001,19,11.0,,0.0,,,,,5.0,7.8,1.5,,12.0,,,,,,-8.0,,-19.0,,,,,-14.0,-11.2,-17.5,,-7.0,,,,,,,False,,,,,False,False,False,,True,,,,,
05003,18,12.0,,0.0,,,,,14.0,11.9,5.1,,15.0,,,,,,-6.0,,-18.0,,,,,-4.0,-6.1,-12.9,,-3.0,,,,,,,False,,,,,True,False,False,,True,,,,,
05005,5,6.0,,0.0,,,,,3.0,4.7,0.7,,6.0,,,,,,1.0,,-5.0,,,,,-2.0,-0.3,-4.3,,1.0,,,,,,,False,,,,,False,True,False,,False,,,,,
05007,455,388.0,,399.0,,,,,476.0,266.4,214.3,468.1,462.0,,342.1,,,,-67.0,,-56.0,,,,,21.0,-188.6,-240.7,13.1,7.0,,-112.9,,,,,True,,,,,True,False,False,True,True,,False,,,
05009,17,7.0,,7.0,,,,,9.0,5.4,1.1,,11.0,,,,,,-10.0,,-10.0,,,,,-8.0,-11.6,-15.9,,-6.0,,,,,,,False,,,,,True,False,False,,True,,,,,
05011,20,14.0,,0.0,,,,,9.0,4.5,2.6,,6.0,,,,,,-6.0,,-20.0,,,,,-11.0,-15.5,-17.4,,-14.0,,,,,,,False,,,,,False,False,False,,False,,,,,
05013,0,2.0,,0.0,,,,,0.0,1.1,,,0.0,,,,,,2.0,,0.0,,,,,0.0,1.1,,,0.0,,,,,,,True,,,,,True,True,,,True,,,,,
05015,38,26.0,,51.0,,,,,17.0,37.5,9.2,31.9,30.0,,,,,,-12.0,,13.0,,,,,-21.0,-0.5,-28.8,-6.1,-8.0,,,,,,,False,,,,,False,True,False,True,True,,,,,
05017,51,39.0,,0.0,,,,,22.0,10.3,31.1,21.5,61.0,,,,,,-12.0,,-51.0,,,,,-29.0,-40.7,-19.9,-29.5,10.0,,,,,,,False,,,,,False,False,False,False,True,,,,,
05019,17,3.0,,6.0,,,,,8.0,1.5,2.5,,,,,,,,-14.0,,-11.0,,,,,-9.0,-15.5,-14.5,,,,,,,,,True,,,,,True,False,False,,,,,,,
05021,15,13.0,,0.0,,,,,4.0,13.0,3.7,,16.0,,,,,,-2.0,,-15.0,,,,,-11.0,-2.0,-11.3,,1.0,,,,,,,False,,,,,False,False,False,,True,,,,,
