,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Montana,1304,630.0,,944.8,1058.0,334.0,219.0,658.3,623.2,966.0,65.1,686.9,,1021.4,1176.7,-674.0,,-359.2,-246.0,-970.0,-1085.0,-645.7,-680.8,-338.0,-1238.9,-617.1,,-282.6,-127.3,,True,True,False,False,True,False,True,False,True,,True,True
Nebraska,2654,2104.0,,1499.4,1823.4,1001.0,2139.0,3407.2,1420.2,2219.0,260.1,1466.3,,541.5,2096.2,-550.0,,-1154.6,-830.6,-1653.0,-515.0,753.2,-1233.8,-435.0,-2393.9,-1187.7,,-2112.5,-557.8,,False,False,False,True,False,False,True,False,False,,False,False
Nevada,12902,10472.0,,15415.3,11387.8,9784.0,9885.0,7964.0,10329.9,16216.0,1096.8,10560.9,,13915.2,15519.9,-2430.0,,2513.3,-1514.2,-3118.0,-3017.0,-4938.0,-2572.1,3314.0,-11805.2,-2341.1,,1013.2,2617.9,,False,True,False,False,False,False,False,False,True,,True,False
New Hampshire,316,310.0,,213.4,241.6,176.0,232.0,1747.3,200.4,262.0,66.1,260.1,,248.5,244.4,-6.0,,-102.6,-74.4,-140.0,-84.0,1431.3,-115.6,-54.0,-249.9,-55.9,,-67.5,-71.6,,False,False,False,False,False,False,False,False,False,,False,False
New Jersey,3781,4320.0,,3002.6,3826.1,728.0,6548.0,19233.8,3148.5,4358.0,445.6,5638.1,,210.3,4991.9,539.0,,-778.4,45.1,-3053.0,2767.0,15452.8,-632.5,577.0,-3335.4,1857.1,,-3570.7,1210.9,,False,True,False,False,False,False,False,False,False,,False,False
New Mexico,3673,2888.0,,2227.1,2746.2,2146.0,2850.0,3890.4,2352.2,4501.0,313.4,3339.8,,1814.5,3729.3,-785.0,,-1445.9,-926.8,-1527.0,-823.0,217.4,-1320.8,828.0,-3359.6,-333.2,,-1858.5,56.3,,False,False,False,False,True,False,False,False,True,,False,True
New York,9707,9350.0,,7433.3,7995.7,5214.0,8194.0,31356.4,6623.5,10030.0,738.2,8083.7,,302.9,11624.2,-357.0,,-2273.7,-1711.3,-4493.0,-1513.0,21649.4,-3083.5,323.0,-8968.8,-1623.3,,-9404.1,1917.2,,False,False,False,False,False,False,True,False,False,,False,False
North Carolina,26715,21716.0,,23167.1,24416.1,25941.0,32033.0,22857.5,14876.3,25086.0,2990.1,20371.6,,22356.9,22336.9,-4999.0,,-3547.9,-2298.9,-774.0,5318.0,-3857.5,-11838.7,-1629.0,-23724.9,-6343.4,,-4358.1,-4378.1,,True,True,True,False,True,False,True,False,False,,True,True
North Dakota,1128,642.0,,406.9,590.1,436.0,313.0,741.5,481.1,926.0,63.0,426.3,,257.0,966.0,-486.0,,-721.1,-537.9,-692.0,-815.0,-386.5,-646.9,-202.0,-1065.0,-701.7,,-871.0,-162.0,,False,False,False,False,True,False,True,False,False,,False,True
Ohio,17638,13456.0,,13793.1,12959.2,24660.0,12702.0,28118.1,10950.9,21441.0,1432.2,17421.7,,7875.1,19485.3,-4182.0,,-3844.9,-4678.8,7022.0,-4936.0,10480.1,-6687.1,3803.0,-16205.8,-216.3,,-9762.9,1847.3,,True,False,False,False,False,False,True,False,True,,False,True
Oklahoma,9409,6004.0,,9365.8,10050.4,4680.0,8046.0,2930.8,4429.8,9750.0,737.5,6976.0,,6644.5,7137.9,-3405.0,,-43.2,641.4,-4729.0,-1363.0,-6478.2,-4979.2,341.0,-8671.5,-2433.0,,-2764.5,-2271.1,,True,True,False,True,False,False,True,False,True,,True,True
Oregon,4219,3672.0,,4640.7,4424.6,2931.0,4871.0,5435.9,3701.9,6056.0,531.5,4517.5,,4235.0,4419.5,-547.0,,421.7,205.6,-1288.0,652.0,1216.9,-517.1,1837.0,-3687.5,298.5,,16.0,200.5,,True,True,False,False,False,True,False,False,True,,True,True
Pennsylvania,10858,8952.0,,7075.0,8167.3,5505.0,10487.0,17611.6,5886.6,12455.0,1150.7,10133.1,,3260.2,11159.6,-1906.0,,-3783.0,-2690.7,-5353.0,-371.0,6753.6,-4971.4,1597.0,-9707.3,-724.9,,-7597.8,301.6,,False,False,False,True,False,False,True,False,True,,False,True
Rhode Island,802,660.0,,410.1,497.3,342.0,697.0,471.9,326.7,462.0,96.1,469.4,,77.8,419.4,-142.0,,-391.9,-304.7,-460.0,-105.0,-330.1,-475.3,-340.0,-705.9,-332.6,,-724.2,-382.6,,False,False,False,True,False,False,False,False,False,,False,False
South Carolina,24226,22894.0,,31038.1,32956.1,18065.0,28579.0,10883.1,18273.2,34984.0,2183.2,22340.8,,27437.0,29006.8,-1332.0,,6812.1,8730.1,-6161.0,4353.0,-13342.9,-5952.8,10758.0,-22042.8,-1885.2,,3211.0,4780.8,,False,False,False,False,False,False,False,False,False,,False,False
South Dakota,834,804.0,,755.4,748.4,573.0,1276.0,1160.0,572.3,832.0,116.6,656.1,,323.0,973.4,-30.0,,-78.6,-85.6,-261.0,442.0,326.0,-261.7,-2.0,-717.4,-177.9,,-511.0,139.4,,False,False,False,False,False,False,True,False,False,,False,False
Tennessee,26196,19936.0,,19376.7,21819.2,22451.0,16084.0,11028.2,14483.0,30586.0,1651.1,19264.3,,14819.3,31045.1,-6260.0,,-6819.3,-4376.8,-3745.0,-10112.0,-15167.8,-11713.0,4390.0,-24544.9,-6931.7,,-11376.7,4849.1,,False,True,True,False,False,False,True,False,False,,False,True
Texas,133148,92518.0,,132050.7,196211.0,90682.0,172991.0,58630.5,35623.3,145460.0,8610.7,84774.3,,111804.3,108723.2,-40630.0,,-1097.3,63063.0,-42466.0,39843.0,-74517.5,-97524.7,12312.0,-124537.3,-48373.7,,-21343.7,-24424.8,,True,False,False,True,False,False,True,False,False,,True,True
Utah,8790,7828.0,,9986.2,9619.4,8509.0,12352.0,5609.9,5482.6,10155.0,991.9,7442.8,,8074.8,7402.2,-962.0,,1196.2,829.4,-281.0,3562.0,-3180.1,-3307.4,1365.0,-7798.1,-1347.2,,-715.2,-1387.8,,False,True,True,False,False,False,False,False,False,,True,False
Vermont,100,76.0,,75.1,75.3,20.0,66.0,234.9,74.4,69.0,8.3,96.8,,0.1,76.3,-24.0,,-24.9,-24.7,-80.0,-34.0,134.9,-25.6,-31.0,-91.7,-3.2,,-99.9,-23.7,,False,False,False,False,False,False,False,False,True,,False,True
Virginia,11264,7724.0,,4669.5,7110.4,5022.0,9460.0,15282.9,6025.5,8000.0,1107.3,8595.4,,4191.1,6182.5,-3540.0,,-6594.5,-4153.6,-6242.0,-1804.0,4018.9,-5238.5,-3264.0,-10156.7,-2668.6,,-7072.9,-5081.5,,False,False,False,True,False,False,True,False,True,,False,False
Washington,10779,7686.0,,8835.5,7571.9,5612.0,14224.0,8284.4,6397.2,10926.0,733.5,8500.9,,4253.4,9684.7,-3093.0,,-1943.5,-3207.1,-5167.0,3445.0,-2494.6,-4381.8,147.0,-10045.5,-2278.1,,-6525.6,-1094.3,,True,False,False,False,True,False,True,False,True,,False,True
West Virginia,1689,846.0,,811.0,1967.2,775.0,709.0,1338.4,790.3,1380.0,60.7,1034.8,,571.4,1471.2,-843.0,,-878.0,278.2,-914.0,-980.0,-350.6,-898.7,-309.0,-1628.3,-654.2,,-1117.6,-217.8,,False,True,False,False,True,False,True,False,True,,False,True
Wisconsin,10430,7538.0,,5030.3,7704.4,5079.0,6072.0,8633.5,6152.3,11986.0,1034.8,8840.9,,5633.6,10427.7,-2892.0,,-5399.7,-2725.6,-5351.0,-4358.0,-1796.5,-4277.7,1556.0,-9395.2,-1589.1,,-4796.4,-2.3,,False,True,False,False,True,False,True,False,True,,False,True
Wyoming,502,428.0,,726.7,603.1,374.0,206.0,254.0,312.7,640.0,36.4,526.4,,374.7,417.7,-74.0,,224.7,101.1,-128.0,-296.0,-248.0,-189.3,138.0,-465.6,24.4,,-127.3,-84.3,,False,False,False,False,False,False,False,False,True,,False,False
US,870287,658354.0,1011116.0,830980.4,,620059.0,819206.0,618779.8,552007.5,953800.0,67238.2,705575.2,598727.1,634099.6,849252.1,-211933.0,140829.0,-39306.6,,-250228.0,-51081.0,-251507.2,-318279.5,83513.0,-803048.8,-164711.8,-271559.9,-236187.4,-21034.9,True,True,,False,True,False,False,True,False,True,False,False,True
