,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,25479,21082.0,,29241.8,17552.0,27811.7,25731.0,10349.4,12976.5,23609.8,27950.0,,25926.4,21303.0,,18106.9,31035.0,-4397.0,,3762.8,-7927.0,2332.7,252.0,-15129.6,-12502.5,-1869.2,2471.0,,447.4,-4176.0,,-7372.1,5556.0,,True,False,True,True,False,False,True,True,,True,True,,False,False
Hawaii,154,201.0,,247.3,57.0,257.7,,196.8,146.5,219.2,247.0,,81.7,195.1,,71.4,186.4,47.0,,93.3,-97.0,103.7,,42.8,-7.5,65.2,93.0,,-72.3,41.1,,-82.6,32.4,,False,False,False,,True,True,False,False,,False,True,,False,True
Idaho,3797,3136.0,,4793.7,2082.0,4036.9,4665.0,1281.1,2374.1,3352.5,4110.0,,2393.3,3464.1,,2719.9,3058.9,-661.0,,996.7,-1715.0,239.9,868.0,-2515.9,-1422.9,-444.5,313.0,,-1403.7,-332.9,,-1077.1,-738.1,,False,False,True,False,False,False,True,True,,False,True,,False,False
Illinois,7691,7482.0,,4214.7,842.0,8803.7,8325.0,9720.0,4623.5,8011.8,9029.0,,7823.5,8308.2,,1305.3,6286.0,-209.0,,-3476.3,-6849.0,1112.7,634.0,2029.0,-3067.5,320.8,1338.0,,132.5,617.2,,-6385.7,-1405.0,,False,False,False,False,False,False,False,False,,True,False,,False,False
Indiana,4575,3647.0,,3058.0,2014.0,4162.5,3816.0,4956.3,2859.3,4306.7,4256.0,,3158.9,3696.7,,1831.6,3444.0,-928.0,,-1517.0,-2561.0,-412.5,-759.0,381.3,-1715.7,-268.3,-319.0,,-1416.1,-878.3,,-2743.4,-1131.0,,False,False,True,True,True,False,True,True,,False,True,,False,False
Iowa,3655,3597.0,,3629.9,1442.0,4303.1,4745.0,2832.4,3263.7,4829.3,4651.0,,3133.4,4416.1,,2092.6,3806.2,-58.0,,-25.1,-2213.0,648.1,1090.0,-822.6,-391.3,1174.3,996.0,,-521.6,761.1,,-1562.4,151.2,,True,False,False,False,False,False,False,False,,False,False,,False,False
Kansas,3006,2776.0,,3798.9,1176.0,3198.1,4691.0,1969.3,1816.4,3042.2,3794.0,,1794.6,3014.4,,1418.6,4140.1,-230.0,,792.9,-1830.0,192.1,1685.0,-1036.7,-1189.6,36.2,788.0,,-1211.4,8.4,,-1587.4,1134.1,,False,False,True,False,False,False,True,False,,False,True,,False,False
Kentucky,3063,2745.0,,2144.9,1889.0,2273.5,3070.0,2439.4,1635.0,2947.7,3144.0,,1298.2,2734.0,,1469.0,1225.8,-318.0,,-918.1,-1174.0,-789.5,7.0,-623.6,-1428.0,-115.3,81.0,,-1764.8,-329.0,,-1594.0,-1837.2,,False,False,False,True,False,False,True,True,,False,False,,False,False
Louisiana,11787,13514.0,,13983.9,7689.0,16153.9,18188.0,7112.7,7425.5,13456.4,14444.0,,6956.9,12702.3,,10494.2,8868.9,1727.0,,2196.9,-4098.0,4366.9,6401.0,-4674.3,-4361.5,1669.4,2657.0,,-4830.1,915.3,,-1292.8,-2918.1,,False,False,False,False,False,False,True,False,,False,True,,True,False
Maine,125,123.0,,151.8,148.0,114.8,122.0,297.4,81.3,141.8,126.0,,204.6,103.5,,143.4,260.3,-2.0,,26.8,23.0,-10.2,-3.0,172.4,-43.7,16.8,1.0,,79.6,-21.5,,18.4,135.3,,False,False,False,False,False,False,False,True,,False,False,,False,False
Maryland,4739,3126.0,,1619.8,1066.0,3333.5,3351.0,3665.9,2501.2,4097.8,3679.0,,5198.6,3992.3,,1331.9,3437.1,-1613.0,,-3119.2,-3673.0,-1405.5,-1388.0,-1073.1,-2237.8,-641.2,-1060.0,,459.6,-746.7,,-3407.1,-1301.9,,False,False,True,True,True,False,True,True,,True,True,,False,True
Massachusetts,1585,1560.0,,954.6,434.0,1615.2,1530.0,2960.1,1061.6,1448.9,1585.0,,1292.4,1536.7,,268.0,1512.6,-25.0,,-630.4,-1151.0,30.2,-55.0,1375.1,-523.4,-136.1,0.0,,-292.6,-48.3,,-1317.0,-72.4,,False,False,False,False,False,False,False,True,,False,False,,False,False
Michigan,4968,3789.0,,3443.5,2014.0,4634.6,5309.0,5920.6,2489.8,4038.9,4733.0,,2533.9,4049.8,,856.6,4370.2,-1179.0,,-1524.5,-2954.0,-333.4,341.0,952.6,-2478.2,-929.1,-235.0,,-2434.1,-918.2,,-4111.4,-597.8,,False,False,True,True,True,False,True,True,,False,True,,False,True
Minnesota,3899,3947.0,,2366.1,1922.0,3940.1,3756.0,4042.4,3140.4,4889.6,4495.0,,1365.4,4288.1,,1265.0,1740.9,48.0,,-1532.9,-1977.0,41.1,-143.0,143.4,-758.6,990.6,596.0,,-2533.6,389.1,,-2634.0,-2158.1,,False,False,True,False,False,False,False,False,,False,False,,False,False
Mississippi,6427,4745.0,,6355.7,4216.0,5617.0,5721.0,3932.7,4029.1,6165.8,6687.0,,1120.5,5598.1,,4200.9,7448.1,-1682.0,,-71.3,-2211.0,-810.0,-706.0,-2494.3,-2397.9,-261.2,260.0,,-5306.5,-828.9,,-2226.1,1021.1,,True,False,True,True,False,False,True,True,,False,True,,False,True
Missouri,5166,4023.0,,4705.4,3016.0,4699.6,5174.0,3266.8,2179.9,4085.4,4961.0,,4008.5,4021.1,,2820.2,3232.5,-1143.0,,-460.6,-2150.0,-466.4,8.0,-1899.2,-2986.1,-1080.6,-205.0,,-1157.5,-1144.9,,-2345.8,-1933.5,,True,False,True,True,False,False,True,True,,False,False,,False,False
Montana,794,510.0,,740.9,304.0,936.3,395.0,383.2,487.1,660.7,678.0,,316.0,568.7,,796.7,666.4,-284.0,,-53.1,-490.0,142.3,-399.0,-410.8,-306.9,-133.3,-116.0,,-478.0,-225.3,,2.7,-127.6,,True,False,True,False,False,False,True,True,,False,True,,True,True
Nebraska,1483,1171.0,,817.1,400.0,1166.9,2685.0,1528.4,846.2,1337.3,1263.0,,860.1,1205.2,,296.4,967.1,-312.0,,-665.9,-1083.0,-316.1,1202.0,45.4,-636.8,-145.7,-220.0,,-622.9,-277.8,,-1186.6,-515.9,,False,False,False,False,True,False,True,True,,False,True,,False,False
Nevada,7639,5263.0,,8937.8,4783.0,5688.9,9985.0,3856.6,4178.9,6248.2,7295.0,,4090.1,5462.0,,6655.5,8013.9,-2376.0,,1298.8,-2856.0,-1950.1,2346.0,-3782.4,-3460.1,-1390.8,-344.0,,-3548.9,-2177.0,,-983.5,374.9,,True,False,True,True,False,False,True,True,,False,True,,True,True
New Hampshire,164,152.0,,92.1,74.0,154.6,148.0,386.6,105.8,183.7,137.0,,172.3,162.3,,98.3,102.3,-12.0,,-71.9,-90.0,-9.4,-16.0,222.6,-58.2,19.7,-27.0,,8.3,-1.7,,-65.7,-61.7,,False,False,True,False,False,False,False,False,,True,True,,False,False
New Jersey,2191,1926.0,,1557.8,307.0,2013.3,4131.0,4563.7,1223.0,1890.2,2026.0,,1630.9,1839.1,,86.6,2434.5,-265.0,,-633.2,-1884.0,-177.7,1940.0,2372.7,-968.0,-300.8,-165.0,,-560.1,-351.9,,-2104.4,243.5,,False,False,True,False,False,False,False,True,,False,False,,False,True
New Mexico,1963,1710.0,,1763.3,1157.0,1776.8,2174.0,1940.5,1193.6,1972.9,2137.0,,1712.2,1919.6,,1081.6,1881.5,-253.0,,-199.7,-806.0,-186.2,211.0,-22.5,-769.4,9.9,174.0,,-250.8,-43.4,,-881.4,-81.5,,True,False,True,True,True,False,True,True,,True,True,,False,True
New York,5503,4431.0,,3858.3,1770.0,4752.1,26135.0,10928.5,2905.4,4649.0,4768.0,,2628.8,4550.5,,117.7,5766.7,-1072.0,,-1644.7,-3733.0,-750.9,20632.0,5425.5,-2597.6,-854.0,-735.0,,-2874.2,-952.5,,-5385.3,263.7,,False,False,True,False,False,False,True,True,,False,True,,False,True
North Carolina,14002,12236.0,,12889.6,13733.0,13544.1,24917.0,10446.5,9031.5,14224.8,13623.0,,10653.7,13454.7,,12237.6,10562.1,-1766.0,,-1112.4,-269.0,-457.9,10915.0,-3555.5,-4970.5,222.8,-379.0,,-3348.3,-547.3,,-1764.4,-3439.9,,True,True,True,False,False,False,True,True,,False,True,,True,False
North Dakota,664,464.0,,301.5,179.0,667.9,652.0,442.0,414.7,647.2,645.0,,178.1,540.3,,249.4,513.1,-200.0,,-362.5,-485.0,3.9,-12.0,-222.0,-249.3,-16.8,-19.0,,-485.9,-123.7,,-414.6,-150.9,,False,False,True,True,False,False,True,True,,False,True,,False,True
Ohio,9607,8031.0,,9581.4,11492.0,8683.9,8344.0,7951.1,6747.4,10192.8,10887.0,,8788.1,9296.2,,5336.1,10126.0,-1576.0,,-25.6,1885.0,-923.1,-1263.0,-1655.9,-2859.6,585.8,1280.0,,-818.9,-310.8,,-4270.9,519.0,,True,False,True,True,False,False,True,True,,True,True,,False,True
Oklahoma,5278,4131.0,,5544.6,2925.0,4758.7,9629.0,3405.4,2648.3,4588.7,5450.0,,4303.6,4639.2,,4529.6,3591.5,-1147.0,,266.6,-2353.0,-519.3,4351.0,-1872.6,-2629.7,-689.3,172.0,,-974.4,-638.8,,-748.4,-1686.5,,True,False,True,False,False,False,True,True,,True,True,,True,False
Oregon,2298,1921.0,,2527.4,1584.0,2140.9,3370.0,2595.5,1632.0,2420.3,2566.0,,2002.1,2080.2,,2267.3,2235.9,-377.0,,229.4,-714.0,-157.1,1072.0,297.5,-666.0,122.3,268.0,,-295.9,-217.8,,-30.7,-62.1,,True,False,True,False,True,False,True,True,,True,True,,True,True
Pennsylvania,5564,5294.0,,5231.7,2204.0,5946.5,6948.0,6040.3,3195.1,5614.0,6249.0,,6143.8,5893.8,,1615.6,5557.9,-270.0,,-332.3,-3360.0,382.5,1384.0,476.3,-2368.9,50.0,685.0,,579.8,329.8,,-3948.4,-6.1,,False,False,False,False,False,False,True,False,,False,False,,False,True
Rhode Island,481,321.0,,210.4,87.0,310.0,1049.0,69.8,129.7,221.6,305.0,,281.0,259.9,,38.6,179.5,-160.0,,-270.6,-394.0,-171.0,568.0,-411.2,-351.3,-259.4,-176.0,,-200.0,-221.1,,-442.4,-301.5,,False,False,False,False,False,False,False,False,,False,False,,False,False
South Carolina,12913,11313.0,,18702.8,8679.0,12891.8,11382.0,7923.9,10162.0,13996.2,15052.0,,7540.4,12009.5,,12792.8,14349.2,-1600.0,,5789.8,-4234.0,-21.2,-1531.0,-4989.1,-2751.0,1083.2,2139.0,,-5372.6,-903.5,,-120.2,1436.2,,False,False,True,True,False,False,True,False,,False,True,,True,True
South Dakota,408,426.0,,351.4,271.0,440.9,391.0,589.9,297.3,419.3,433.0,,414.7,394.3,,211.0,476.4,18.0,,-56.6,-137.0,32.9,-17.0,181.9,-110.7,11.3,25.0,,6.7,-13.7,,-197.0,68.4,,False,False,False,True,False,False,True,False,,True,True,,False,False
Tennessee,15330,10866.0,,13725.5,11374.0,12193.1,11102.0,6828.4,5708.2,10903.9,15246.0,,3983.7,10060.2,,9273.4,16044.5,-4464.0,,-1604.5,-3956.0,-3136.9,-4228.0,-8501.6,-9621.8,-4426.1,-84.0,,-11346.3,-5269.8,,-6056.6,714.5,,True,True,True,True,False,False,True,True,,False,False,,False,True
Texas,72291,60457.0,,91246.7,52831.0,75454.2,89422.0,30908.5,43575.3,68814.8,81904.0,,40903.0,71139.7,,70921.6,52117.1,-11834.0,,18955.7,-19460.0,3163.2,17131.0,-41382.5,-28715.7,-3476.2,9613.0,,-31388.0,-1151.3,,-1369.4,-20173.9,,False,False,True,False,False,False,True,True,,False,True,,True,False
Utah,4477,4313.0,,5182.1,4346.0,4869.6,5422.0,3074.3,3157.5,4870.7,4962.0,,3001.1,4740.3,,4498.0,3358.6,-164.0,,705.1,-131.0,392.6,945.0,-1402.7,-1319.5,393.7,485.0,,-1475.9,263.3,,21.0,-1118.4,,False,True,False,False,False,False,False,False,,False,False,,True,False
Vermont,55,45.0,,36.5,8.0,46.6,39.0,85.5,35.3,60.2,51.0,,37.8,52.2,,0.0,35.3,-10.0,,-18.5,-47.0,-8.4,-16.0,30.5,-19.7,5.2,-4.0,,-17.2,-2.8,,-55.0,-19.7,,False,False,True,False,False,False,True,True,,False,True,,False,False
Virginia,6591,4673.0,,3014.0,3418.0,5365.7,6676.0,5579.4,3779.7,6157.9,5450.0,,3367.9,5299.4,,2743.4,2545.9,-1918.0,,-3577.0,-3173.0,-1225.3,85.0,-1011.6,-2811.3,-433.1,-1141.0,,-3223.1,-1291.6,,-3847.6,-4045.1,,False,False,True,True,True,False,True,True,,False,True,,False,False
Washington,6284,3971.0,,5427.3,3380.0,3489.9,5320.0,4119.9,4182.1,6510.1,5314.0,,5052.2,5789.7,,3018.7,4849.3,-2313.0,,-856.7,-2904.0,-2794.1,-964.0,-2164.1,-2101.9,226.1,-970.0,,-1231.8,-494.3,,-3265.3,-1434.7,,True,False,False,True,True,True,True,True,,True,True,,False,True
West Virginia,748,941.0,,879.7,987.0,1187.8,522.0,598.7,721.0,1066.9,1118.0,,235.0,970.4,,800.4,810.5,193.0,,131.7,239.0,439.8,-226.0,-149.3,-27.0,318.9,370.0,,-513.0,222.4,,52.4,62.5,,True,False,False,False,True,True,False,False,,False,False,,True,True
Wisconsin,5806,4624.0,,4152.0,3078.0,5684.7,4464.0,4172.7,3876.0,5809.2,6313.0,,6258.0,5255.9,,3458.7,5344.2,-1182.0,,-1654.0,-2728.0,-121.3,-1342.0,-1633.3,-1930.0,3.2,507.0,,452.0,-550.1,,-2347.3,-461.8,,False,False,True,False,False,False,True,True,,True,True,,False,True
Wyoming,269,233.0,,378.6,189.0,229.4,177.0,261.3,142.8,235.4,255.0,,209.8,222.2,,216.4,194.4,-36.0,,109.6,-80.0,-39.6,-92.0,-7.7,-126.2,-33.6,-14.0,,-59.2,-46.8,,-52.6,-74.6,,False,False,False,False,True,False,True,True,,False,False,,False,False
US,464053,404684.0,450933.0,479683.8,337818.0,460803.6,477985.0,281647.3,293453.0,458997.2,516180.0,465568.9,415140.9,433069.6,379524.3,371290.1,426245.4,-59369.0,-13120.0,15630.8,-126235.0,-3249.4,13932.0,-182405.7,-170600.0,-5055.8,52127.0,1515.9,-48912.1,-30983.4,-84528.7,-92762.9,-37807.6,True,True,False,True,True,False,False,True,True,True,True,True,False,False,True
