,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Kansas,115811,39872.0,51537.0,,33824.0,,36008.0,41496.9,71163.9,21849.1,21568.0,-75939.0,-64274.0,,-81987.0,,-79803.0,-74314.1,-44647.1,-93961.9,-94243.0,True,,False,,False,True,True,False,False
Kentucky,133862,58816.0,135323.9,,56952.5,,49032.0,62647.3,69991.1,22707.7,88501.0,-75046.0,1461.9,,-76909.5,,-84830.0,-71214.7,-63870.9,-111154.3,-45361.0,True,,False,,False,True,True,False,True
Louisiana,86465,30080.0,18590.3,,21850.5,,26224.0,18984.4,22078.5,12663.3,12678.0,-56385.0,-67874.7,,-64614.5,,-60241.0,-67480.6,-64386.5,-73801.7,-73787.0,False,,False,,False,False,False,False,False
Maine,9708,1736.0,13767.7,,1358.0,,2354.0,2047.7,2691.3,1200.2,1628.0,-7972.0,4059.7,,-8350.0,,-7354.0,-7660.3,-7016.7,-8507.8,-8080.0,True,,False,,True,True,True,False,False
Maryland,96882,34656.0,58245.5,,29650.3,,23539.0,36734.5,20288.4,21073.5,38618.0,-62226.0,-38636.5,,-67231.7,,-73343.0,-60147.5,-76593.6,-75808.5,-58264.0,True,,False,,False,True,False,False,True
Massachusetts,142795,36720.0,49422.8,,25892.5,,18506.0,42959.0,24419.9,18584.2,32731.0,-106075.0,-93372.2,,-116902.5,,-124289.0,-99836.0,-118375.1,-124210.8,-110064.0,True,,False,,False,True,False,False,False
Michigan,304054,93216.0,208719.3,,79657.2,,59583.0,109997.7,73301.1,53664.5,189008.0,-210838.0,-95334.7,,-224396.8,,-244471.0,-194056.3,-230752.9,-250389.5,-115046.0,True,,False,,False,True,False,False,True
Minnesota,254308,82096.0,161557.1,,71450.9,,82923.0,72222.0,81955.7,42737.5,62633.0,-172212.0,-92750.9,,-182857.1,,-171385.0,-182086.0,-172352.3,-211570.5,-191675.0,True,,False,,True,False,False,False,False
Mississippi,67941,42944.0,48438.0,,24511.0,,30026.0,34010.3,35488.7,17909.7,25273.0,-24997.0,-19503.0,,-43430.0,,-37915.0,-33930.7,-32452.3,-50031.3,-42668.0,True,,False,,False,False,False,False,False
Missouri,193280,91408.0,123354.6,,90113.4,,76517.0,84488.9,154937.7,31541.0,43418.0,-101872.0,-69925.4,,-103166.6,,-116763.0,-108791.1,-38342.3,-161739.0,-149862.0,True,,False,,False,False,True,False,False
Montana,50419,32864.0,58537.6,,37971.1,,35663.0,21850.8,166280.8,8907.0,15611.0,-17555.0,8118.6,,-12447.9,,-14756.0,-28568.2,115861.8,-41512.0,-34808.0,True,,True,,True,False,False,False,False
Nebraska,90356,43560.0,113332.2,,43414.7,,31274.0,31557.4,76870.9,19936.0,29142.0,-46796.0,22976.2,,-46941.3,,-59082.0,-58798.6,-13485.1,-70420.0,-61214.0,True,,False,,False,False,True,False,False
Nevada,94297,34024.0,53661.9,,30945.1,,17438.0,36893.1,28576.0,14208.5,39593.0,-60273.0,-40635.1,,-63351.9,,-76859.0,-57403.9,-65721.0,-80088.5,-54704.0,True,,False,,False,True,False,False,True
New Hampshire,20619,4264.0,2028.0,,4452.4,,3701.0,9286.0,5953.6,2904.1,5618.0,-16355.0,-18591.0,,-16166.6,,-16918.0,-11333.0,-14665.4,-17714.9,-15001.0,False,,True,,False,True,True,False,True
New Jersey,177758,46888.0,38930.7,,29737.6,,33950.0,61208.2,22946.6,29064.4,44180.0,-130870.0,-138827.3,,-148020.4,,-143808.0,-116549.8,-154811.4,-148693.6,-133578.0,False,,False,,False,True,False,False,False
New Mexico,82015,28968.0,53649.5,,30990.5,,22700.0,32639.7,35977.3,10324.1,26766.0,-53047.0,-28365.5,,-51024.5,,-59315.0,-49375.3,-46037.7,-71690.9,-55249.0,True,,True,,False,True,True,False,False
New York,288021,77984.0,22052.1,,15275.7,,40955.0,111436.6,66656.8,29538.7,60632.0,-210037.0,-265968.9,,-272745.3,,-247066.0,-176584.4,-221364.2,-258482.3,-227389.0,False,,False,,False,True,False,False,False
North Carolina,186051,111784.0,310488.0,,89660.6,,94375.0,116711.6,120544.9,48821.5,88842.0,-74267.0,124437.0,,-96390.4,,-91676.0,-69339.4,-65506.1,-137229.5,-97209.0,False,,False,,False,True,True,False,False
North Dakota,56329,37072.0,32283.3,,27588.7,,29526.0,15713.3,63375.3,11286.4,46475.0,-19257.0,-24045.7,,-28740.3,,-26803.0,-40615.7,7046.3,-45042.6,-9854.0,False,,False,,False,False,True,False,True
Ohio,373236,102136.0,62995.2,,102194.2,,84732.0,106528.6,127152.3,45175.0,99477.0,-271100.0,-310240.8,,-271041.8,,-288504.0,-266707.4,-246083.7,-328061.0,-273759.0,False,,True,,False,True,True,False,False
Oklahoma,126868,62776.0,185608.9,,57587.4,,64812.0,59918.3,76007.3,19349.9,33906.0,-64092.0,58740.9,,-69280.6,,-62056.0,-66949.7,-50860.7,-107518.1,-92962.0,True,,False,,True,False,True,False,False
Oregon,53524,19128.0,16374.7,,17297.0,,14343.0,27725.8,38854.8,6348.5,20256.0,-34396.0,-37149.3,,-36227.0,,-39181.0,-25798.2,-14669.2,-47175.5,-33268.0,False,,False,,False,True,True,False,True
Pennsylvania,299662,78968.0,79143.4,,72202.5,,67038.0,101968.4,103791.1,29711.1,100622.0,-220694.0,-220518.6,,-227459.5,,-232624.0,-197693.6,-195870.9,-269950.9,-199040.0,True,,False,,False,True,True,False,True
Rhode Island,43127,11176.0,34252.4,,8025.3,,6325.0,8741.2,8493.8,4720.6,11639.0,-31951.0,-8874.6,,-35101.7,,-36802.0,-34385.8,-34633.2,-38406.4,-31488.0,True,,False,,False,False,False,False,True
South Carolina,85584,52744.0,52555.2,,42616.2,,36851.0,51458.9,45218.6,21693.3,34802.0,-32840.0,-33028.8,,-42967.8,,-48733.0,-34125.1,-40365.4,-63890.7,-50782.0,False,,False,,False,False,False,False,False
South Dakota,57796,37312.0,31455.0,,34433.7,,36262.0,19840.6,81506.2,12350.7,15316.0,-20484.0,-26341.0,,-23362.3,,-21534.0,-37955.4,23710.2,-45445.3,-42480.0,False,,False,,False,False,False,False,False
Tennessee,216814,107920.0,97243.9,,111849.2,,78927.0,91503.2,136994.0,44804.0,71947.0,-108894.0,-119570.1,,-104964.8,,-137887.0,-125310.8,-79820.0,-172010.0,-144867.0,False,,True,,False,False,True,False,False
Texas,616670,260216.0,253932.9,,181619.8,,250842.0,241393.8,240131.9,121346.6,158426.0,-356454.0,-362737.1,,-435050.2,,-365828.0,-375276.2,-376538.1,-495323.4,-458244.0,False,,False,,False,False,False,False,False
Utah,138524,69224.0,23963.6,,65647.4,,54852.0,52496.5,57451.9,18488.0,31643.0,-69300.0,-114560.4,,-72876.6,,-83672.0,-86027.5,-81072.1,-120036.0,-106881.0,False,,False,,False,False,False,False,False
Vermont,3700,552.0,193.9,,755.5,,583.0,1041.2,2946.9,340.8,920.0,-3148.0,-3506.1,,-2944.5,,-3117.0,-2658.8,-753.1,-3359.2,-2780.0,False,,True,,True,True,True,False,True
Virginia,113377,57488.0,95076.3,,57570.7,,37859.0,66119.5,89518.8,24586.7,54313.0,-55889.0,-18300.7,,-55806.3,,-75518.0,-47257.5,-23858.2,-88790.3,-59064.0,True,,True,,False,True,True,False,False
Washington,108612,37088.0,80400.2,,17429.8,,15846.0,38563.8,34653.0,19089.0,38661.0,-71524.0,-28211.8,,-91182.2,,-92766.0,-70048.2,-73959.0,-89523.0,-69951.0,True,,False,,False,True,False,False,True
West Virginia,42346,15024.0,25319.4,,12321.7,,8695.0,14232.5,49680.1,6825.8,10544.0,-27322.0,-17026.6,,-30024.3,,-33651.0,-28113.5,7334.1,-35520.2,-31802.0,True,,False,,False,False,True,False,False
Wisconsin,299805,149008.0,192832.1,,144072.1,,125658.0,102096.8,288023.1,134180.2,60283.0,-150797.0,-106972.9,,-155732.9,,-174147.0,-197708.2,-11781.9,-165624.8,-239522.0,True,,False,,False,False,True,False,False
Wyoming,30091,10888.0,18436.0,,10538.9,,9871.0,9688.0,39805.0,4903.5,6288.0,-19203.0,-11655.0,,-19552.1,,-20220.0,-20403.0,9714.0,-25187.5,-23803.0,True,,False,,False,False,True,False,False
US,8053158,3107616.0,4325698.5,4477109.2,1999261.8,3164154.0,2264082.0,2933407.5,3561484.5,1853626.3,2428705.0,-4945542.0,-3727459.5,-3576048.8,-6053896.2,-4889004.0,-5789076.0,-5119750.5,-4491673.5,-6199531.7,-5624453.0,True,True,False,True,False,False,True,False,False
