,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01027,184,200.0,,175.0,,,,,82.0,,166.7,,139.0,,,208.0,16.0,,-9.0,,,,,-102.0,,-17.3,,-45.0,,,24.0,,True,,,,,False,,False,,False,,,False
01029,252,195.0,,83.0,,,,,110.0,,181.6,,54.0,,,100.0,-57.0,,-169.0,,,,,-142.0,,-70.4,,-198.0,,,-152.0,,False,,,,,False,,False,,False,,,False
01031,902,525.0,,366.0,,,,,248.0,,375.0,,521.0,,393.8,282.0,-377.0,,-536.0,,,,,-654.0,,-527.0,,-381.0,,-508.2,-620.0,,False,,,,,False,,False,,False,,False,False
01033,1347,1495.0,,2210.0,,,,,577.0,,1968.3,,1177.5,,806.4,770.0,148.0,,863.0,,,,,-770.0,,621.3,,-169.5,,-540.6,-577.0,,False,,,,,False,,False,,False,,False,False
01035,171,135.0,,37.0,,,,,50.0,,97.1,,104.0,,,63.0,-36.0,,-134.0,,,,,-121.0,,-73.9,,-67.0,,,-108.0,,False,,,,,False,,False,,False,,,False
01037,192,65.0,,78.0,,,,,46.0,,81.2,,93.0,,,38.0,-127.0,,-114.0,,,,,-146.0,,-110.8,,-99.0,,,-154.0,,True,,,,,False,,True,,True,,,False
01039,577,275.0,,437.0,,,,,216.0,,595.0,,206.0,,166.4,253.0,-302.0,,-140.0,,,,,-361.0,,18.0,,-371.0,,-410.6,-324.0,,True,,,,,False,,True,,False,,False,False
01041,128,105.0,,32.0,,,,,57.0,,96.1,,99.0,,,79.0,-23.0,,-96.0,,,,,-71.0,,-31.9,,-29.0,,,-49.0,,False,,,,,False,,False,,False,,,False
01043,2443,1795.0,,1635.0,,,,,809.0,,2411.5,,2518.0,,845.3,626.0,-648.0,,-808.0,,,,,-1634.0,,-31.5,,75.0,,-1597.7,-1817.0,,False,,,,,False,,True,,True,,False,False
01045,707,605.0,,1264.0,,,,,249.0,,714.2,,984.5,,318.9,363.0,-102.0,,557.0,,,,,-458.0,,7.2,,277.5,,-388.1,-344.0,,False,,,,,False,,True,,False,,False,False
01047,503,375.0,,86.0,,,,,178.0,,266.2,,624.0,,222.7,543.0,-128.0,,-417.0,,,,,-325.0,,-236.8,,121.0,,-280.3,40.0,,False,,,,,False,,False,,True,,False,True
01049,1896,995.0,,1273.0,,,,,659.0,,1116.7,,872.0,,418.7,405.0,-901.0,,-623.0,,,,,-1237.0,,-779.3,,-1024.0,,-1477.3,-1491.0,,True,,,,,False,,True,,False,,False,False
01051,1461,645.0,,633.0,,,,,364.0,,439.7,,758.0,,539.2,703.0,-816.0,,-828.0,,,,,-1097.0,,-1021.3,,-703.0,,-921.8,-758.0,,False,,,,,False,,False,,True,,False,True
01053,432,285.0,,20.0,,,,,237.0,,214.5,,388.0,,188.3,422.0,-147.0,,-412.0,,,,,-195.0,,-217.5,,-44.0,,-243.7,-10.0,,False,,,,,False,,False,,True,,False,True
01055,3036,1705.0,,2736.0,,,,,839.0,,1713.2,,1997.0,,1087.7,669.0,-1331.0,,-300.0,,,,,-2197.0,,-1322.8,,-1039.0,,-1948.3,-2367.0,,True,,,,,False,,True,,True,,False,False
01057,494,250.0,,192.0,,,,,112.0,,166.0,,339.0,,,280.0,-244.0,,-302.0,,,,,-382.0,,-328.0,,-155.0,,,-214.0,,False,,,,,False,,False,,True,,,True
01059,601,625.0,,140.0,,,,,376.0,,567.2,,210.0,,395.6,949.0,24.0,,-461.0,,,,,-225.0,,-33.8,,-391.0,,-205.4,348.0,,False,,,,,False,,False,,False,,False,False
01061,372,225.0,,174.0,,,,,154.0,,283.6,,405.0,,,96.0,-147.0,,-198.0,,,,,-218.0,,-88.4,,33.0,,,-276.0,,False,,,,,False,,True,,True,,,False
01063,184,35.0,,0.0,,,,,35.0,,35.8,,51.0,,,60.0,-149.0,,-184.0,,,,,-149.0,,-148.2,,-133.0,,,-124.0,,False,,,,,False,,True,,True,,,True
01065,298,150.0,,45.0,,,,,78.0,,159.3,,114.5,,,54.0,-148.0,,-253.0,,,,,-220.0,,-138.7,,-183.5,,,-244.0,,False,,,,,False,,True,,False,,,False
01067,207,160.0,,44.0,,,,,71.0,,158.2,,169.0,,,62.0,-47.0,,-163.0,,,,,-136.0,,-48.8,,-38.0,,,-145.0,,False,,,,,False,,False,,True,,,False
01069,1539,860.0,,1270.0,,,,,587.0,,715.8,,1381.0,,734.0,302.0,-679.0,,-269.0,,,,,-952.0,,-823.2,,-158.0,,-805.0,-1237.0,,True,,,,,False,,False,,True,,False,False
01071,1833,720.0,,550.0,,,,,499.0,,852.2,,560.0,,352.8,367.0,-1113.0,,-1283.0,,,,,-1334.0,,-980.8,,-1273.0,,-1480.2,-1466.0,,False,,,,,False,,True,,False,,False,False
01073,14447,6710.0,,9279.0,,,,,3960.0,,5747.0,,8629.0,,3637.6,4847.0,-7737.0,,-5168.0,,,,,-10487.0,,-8700.0,,-5818.0,,-10809.4,-9600.0,,True,,,,,False,,False,,True,,False,False
01075,289,115.0,,158.0,,,,,110.0,,99.1,,69.0,,,50.0,-174.0,,-131.0,,,,,-179.0,,-189.9,,-220.0,,,-239.0,,True,,,,,False,,False,,False,,,False
01077,2074,2230.0,,4299.0,,,,,984.0,,3981.8,,1189.0,,998.2,1303.0,156.0,,2225.0,,,,,-1090.0,,1907.8,,-885.0,,-1075.8,-771.0,,False,,,,,False,,False,,False,,False,False
01079,567,395.0,,459.0,,,,,305.0,,575.8,,302.0,,,0.0,-172.0,,-108.0,,,,,-262.0,,8.8,,-265.0,,,-567.0,,True,,,,,False,,True,,False,,,False
01081,1775,880.0,,1555.0,,,,,751.0,,675.5,,1431.5,,821.2,1088.0,-895.0,,-220.0,,,,,-1024.0,,-1099.5,,-343.5,,-953.8,-687.0,,True,,,,,False,,False,,True,,False,True
01083,1889,1400.0,,1927.0,,,,,798.0,,1443.3,,1177.0,,756.3,1214.0,-489.0,,38.0,,,,,-1091.0,,-445.7,,-712.0,,-1132.7,-675.0,,True,,,,,False,,True,,False,,False,False
01085,111,95.0,,0.0,,,,,37.0,,79.0,,66.0,,,0.0,-16.0,,-111.0,,,,,-74.0,,-32.0,,-45.0,,,-111.0,,False,,,,,False,,False,,False,,,False
01087,228,200.0,,290.0,,,,,56.0,,254.9,,334.0,,,186.0,-28.0,,62.0,,,,,-172.0,,26.9,,106.0,,,-42.0,,False,,,,,False,,True,,False,,,False
01089,6418,3020.0,,7045.0,,,,,2219.0,,2552.4,,2712.5,,1948.5,640.0,-3398.0,,627.0,,,,,-4199.0,,-3865.6,,-3705.5,,-4469.5,-5778.0,,True,,,,,False,,False,,False,,False,False
01091,365,145.0,,43.0,,,,,125.0,,131.8,,89.0,,99.8,36.0,-220.0,,-322.0,,,,,-240.0,,-233.2,,-276.0,,-265.2,-329.0,,False,,,,,False,,False,,False,,False,False
01093,460,410.0,,935.0,,,,,257.0,,410.0,,551.0,,240.4,332.0,-50.0,,475.0,,,,,-203.0,,-50.0,,91.0,,-219.6,-128.0,,False,,,,,False,,False,,False,,False,False
01095,2885,1360.0,,2360.0,,,,,915.0,,1206.0,,2077.0,,610.1,2096.0,-1525.0,,-525.0,,,,,-1970.0,,-1679.0,,-808.0,,-2274.9,-789.0,,True,,,,,False,,False,,True,,False,True
01097,4256,2340.0,,3256.0,,,,,2303.0,,1917.4,,2814.0,,1301.3,534.0,-1916.0,,-1000.0,,,,,-1953.0,,-2338.6,,-1442.0,,-2954.7,-3722.0,,True,,,,,False,,False,,True,,False,False
01099,229,120.0,,53.0,,,,,92.0,,102.6,,96.0,,,95.0,-109.0,,-176.0,,,,,-137.0,,-126.4,,-133.0,,,-134.0,,False,,,,,False,,False,,False,,,False
01101,2576,2130.0,,2818.0,,,,,968.0,,1868.6,,2125.5,,1203.5,1660.0,-446.0,,242.0,,,,,-1608.0,,-707.4,,-450.5,,-1372.5,-916.0,,True,,,,,False,,False,,False,,False,False
01103,3521,1720.0,,2150.0,,,,,1042.0,,2033.6,,1679.0,,756.1,783.0,-1801.0,,-1371.0,,,,,-2479.0,,-1487.4,,-1842.0,,-2764.9,-2738.0,,True,,,,,False,,True,,False,,False,False
01105,120,70.0,,0.0,,,,,37.0,,58.5,,40.0,,,48.0,-50.0,,-120.0,,,,,-83.0,,-61.5,,-80.0,,,-72.0,,False,,,,,False,,False,,False,,,False
01107,405,375.0,,234.0,,,,,126.0,,473.4,,282.5,,,133.0,-30.0,,-171.0,,,,,-279.0,,68.4,,-122.5,,,-272.0,,False,,,,,False,,False,,False,,,False
01109,303,230.0,,193.0,,,,,165.0,,209.0,,233.0,,116.6,260.0,-73.0,,-110.0,,,,,-138.0,,-94.0,,-70.0,,-186.4,-43.0,,False,,,,,False,,False,,True,,False,True
01111,230,145.0,,163.0,,,,,141.0,,141.5,,78.0,,,96.0,-85.0,,-67.0,,,,,-89.0,,-88.5,,-152.0,,,-134.0,,True,,,,,False,,False,,False,,,False
01113,437,90.0,,97.0,,,,,259.0,,87.5,,67.0,,60.0,30.0,-347.0,,-340.0,,,,,-178.0,,-349.5,,-370.0,,-377.0,-407.0,,True,,,,,True,,False,,False,,False,False
01115,1734,1205.0,,1295.0,,,,,504.0,,1536.8,,1254.0,,540.1,19.0,-529.0,,-439.0,,,,,-1230.0,,-197.2,,-480.0,,-1193.9,-1715.0,,True,,,,,False,,True,,True,,False,False
01117,4303,2330.0,,3059.0,,,,,1013.0,,1953.2,,2955.0,,1511.7,1438.0,-1973.0,,-1244.0,,,,,-3290.0,,-2349.8,,-1348.0,,-2791.3,-2865.0,,True,,,,,False,,False,,True,,False,False
01119,152,95.0,,61.0,,,,,56.0,,45.6,,95.0,,,112.0,-57.0,,-91.0,,,,,-96.0,,-106.4,,-57.0,,,-40.0,,False,,,,,False,,False,,False,,,True
01121,1362,690.0,,465.0,,,,,501.0,,642.1,,795.5,,459.8,471.0,-672.0,,-897.0,,,,,-861.0,,-719.9,,-566.5,,-902.2,-891.0,,False,,,,,False,,False,,True,,False,False
01123,572,345.0,,52.0,,,,,198.0,,353.0,,481.0,,181.4,201.0,-227.0,,-520.0,,,,,-374.0,,-219.0,,-91.0,,-390.6,-371.0,,False,,,,,False,,True,,True,,False,False
01125,4183,2035.0,,1591.0,,,,,1534.0,,1572.3,,2466.0,,1200.0,709.0,-2148.0,,-2592.0,,,,,-2649.0,,-2610.7,,-1717.0,,-2983.0,-3474.0,,False,,,,,False,,False,,True,,False,False
01127,1266,900.0,,1215.0,,,,,558.0,,1030.2,,946.0,,466.5,530.0,-366.0,,-51.0,,,,,-708.0,,-235.8,,-320.0,,-799.5,-736.0,,True,,,,,False,,True,,True,,False,False
01129,211,190.0,,0.0,,,,,105.0,,175.3,,257.0,,,51.0,-21.0,,-211.0,,,,,-106.0,,-35.7,,46.0,,,-160.0,,False,,,,,False,,False,,False,,,False
01131,187,80.0,,0.0,,,,,38.0,,57.6,,67.0,,,30.0,-107.0,,-187.0,,,,,-149.0,,-129.4,,-120.0,,,-157.0,,False,,,,,False,,False,,False,,,False
01133,595,310.0,,172.0,,,,,214.0,,310.3,,282.0,,,184.0,-285.0,,-423.0,,,,,-381.0,,-284.7,,-313.0,,,-411.0,,False,,,,,False,,True,,False,,,False
02013,26,15.0,,0.0,,,,,,,14.3,,5.0,,,70.0,-11.0,,-26.0,,,,,,,-11.7,,-21.0,,,44.0,,False,,,,,,,False,,False,,,False
02016,55,20.0,,0.0,,,,,,,15.7,,5.0,,,23.0,-35.0,,-55.0,,,,,,,-39.3,,-50.0,,,-32.0,,False,,,,,,,False,,False,,,True
02020,10136,7575.0,,8876.0,,,,,,,10957.9,,13912.0,,6718.5,0.0,-2561.0,,-1260.0,,,,,,,821.9,,3776.0,,-3417.5,-10136.0,,True,,,,,,,True,,False,,False,False
02050,1289,835.0,,0.0,,,,,,,2694.1,,1420.0,,,260.0,-454.0,,-1289.0,,,,,,,1405.1,,131.0,,,-1029.0,,False,,,,,,,False,,True,,,False
02060,0,0.0,,0.0,,,,,,,0.3,,,,,,0.0,,0.0,,,,,,,0.3,,,,,,,True,,,,,,,False,,,,,
02068,22,10.0,,0.0,,,,,,,28.6,,14.0,,,1.0,-12.0,,-22.0,,,,,,,6.6,,-8.0,,,-21.0,,False,,,,,,,True,,True,,,False
02070,43,30.0,,0.0,,,,,,,28.0,,37.0,,,10.0,-13.0,,-43.0,,,,,,,-15.0,,-6.0,,,-33.0,,False,,,,,,,False,,True,,,False
02090,1733,1220.0,,0.0,,,,,,,1986.5,,1116.5,,1409.0,369.0,-513.0,,-1733.0,,,,,,,253.5,,-616.5,,-324.0,-1364.0,,False,,,,,,,True,,False,,True,False
02100,4,10.0,,0.0,,,,,,,17.8,,5.0,,,12.0,6.0,,-4.0,,,,,,,13.8,,1.0,,,8.0,,True,,,,,,,False,,True,,,False
02105,0,0.0,,0.0,,,,,,,3.0,,,,,,0.0,,0.0,,,,,,,3.0,,,,,,,True,,,,,,,False,,,,,
02110,301,360.0,,700.0,,,,,,,639.0,,307.0,,,216.0,59.0,,399.0,,,,,,,338.0,,6.0,,,-85.0,,False,,,,,,,False,,True,,,False
02122,1902,1045.0,,1886.0,,,,,,,2331.0,,3597.0,,346.5,571.0,-857.0,,-16.0,,,,,,,429.0,,1695.0,,-1555.5,-1331.0,,True,,,,,,,True,,False,,False,False
02130,106,155.0,,48.0,,,,,,,137.2,,179.0,,,721.0,49.0,,-58.0,,,,,,,31.2,,73.0,,,615.0,,False,,,,,,,True,,False,,,False
02150,525,85.0,,0.0,,,,,,,300.6,,118.0,,,91.0,-440.0,,-525.0,,,,,,,-224.4,,-407.0,,,-434.0,,False,,,,,,,True,,True,,,True
02158,287,395.0,,76.0,,,,,,,950.4,,311.0,,,105.0,108.0,,-211.0,,,,,,,663.4,,24.0,,,-182.0,,False,,,,,,,False,,True,,,False
02164,37,15.0,,0.0,,,,,,,37.8,,8.0,,,0.0,-22.0,,-37.0,,,,,,,0.8,,-29.0,,,-37.0,,False,,,,,,,True,,False,,,False
02170,3457,2220.0,,19.0,,,,,,,7647.2,,3570.0,,1589.5,665.0,-1237.0,,-3438.0,,,,,,,4190.2,,113.0,,-1867.5,-2792.0,,False,,,,,,,False,,True,,False,False
02180,100,70.0,,0.0,,,,,,,78.8,,102.0,,,75.0,-30.0,,-100.0,,,,,,,-21.2,,2.0,,,-25.0,,False,,,,,,,True,,True,,,True
02185,332,185.0,,0.0,,,,,,,148.0,,92.0,,,79.0,-147.0,,-332.0,,,,,,,-184.0,,-240.0,,,-253.0,,False,,,,,,,False,,False,,,False
02188,102,125.0,,0.0,,,,,,,239.6,,101.0,,,0.0,23.0,,-102.0,,,,,,,137.6,,-1.0,,,-102.0,,False,,,,,,,False,,True,,,False
02195,9,5.0,,0.0,,,,,,,8.1,,5.0,,,8.0,-4.0,,-9.0,,,,,,,-0.9,,-4.0,,,-1.0,,False,,,,,,,True,,False,,,True
02198,27,15.0,,0.0,,,,,,,6.0,,8.0,,,85.0,-12.0,,-27.0,,,,,,,-21.0,,-19.0,,,58.0,,False,,,,,,,False,,False,,,False
02220,135,75.0,,14.0,,,,,,,93.3,,25.0,,,126.0,-60.0,,-121.0,,,,,,,-41.7,,-110.0,,,-9.0,,False,,,,,,,True,,False,,,True
02230,4,0.0,,0.0,,,,,,,0.1,,,,,0.0,-4.0,,-4.0,,,,,,,-3.9,,,,,-4.0,,False,,,,,,,True,,,,,False
02240,257,70.0,,0.0,,,,,,,157.6,,59.0,,,60.0,-187.0,,-257.0,,,,,,,-99.4,,-198.0,,,-197.0,,False,,,,,,,True,,False,,,False
02261,106,110.0,,,,,,,,,157.0,,88.0,,,161.0,4.0,,,,,,,,,51.0,,-18.0,,,55.0,,,,,,,,,False,,False,,,False
02275,5,0.0,,0.0,,,,,,,0.4,,0.0,,,0.0,-5.0,,-5.0,,,,,,,-4.6,,-5.0,,,-5.0,,False,,,,,,,True,,False,,,False
02282,16,0.0,,0.0,,,,,,,0.7,,10.0,,,0.0,-16.0,,-16.0,,,,,,,-15.3,,-6.0,,,-16.0,,False,,,,,,,True,,True,,,False
02290,62,35.0,,0.0,,,,,,,81.3,,0.0,,,18.0,-27.0,,-62.0,,,,,,,19.3,,-62.0,,,-44.0,,False,,,,,,,True,,False,,,False
04001,2285,620.0,,625.0,,,,,1158.0,,423.5,,624.5,,191.8,178.0,-1665.0,,-1660.0,,,,,-1127.0,,-1861.5,,-1660.5,,-2093.2,-2107.0,,True,,,,,True,,False,,True,,False,False
04003,2675,885.0,,2748.0,,,,,981.0,,758.5,,506.0,,394.0,758.0,-1790.0,,73.0,,,,,-1694.0,,-1916.5,,-2169.0,,-2281.0,-1917.0,,True,,,,,True,,False,,False,,False,False
04005,3196,1990.0,,2481.0,,,,,1096.0,,1302.6,,2642.0,,741.4,1327.0,-1206.0,,-715.0,,,,,-2100.0,,-1893.4,,-554.0,,-2454.6,-1869.0,,True,,,,,False,,False,,True,,False,False
04007,1449,795.0,,1496.0,,,,,344.0,,830.1,,726.0,,406.4,934.0,-654.0,,47.0,,,,,-1105.0,,-618.9,,-723.0,,-1042.6,-515.0,,True,,,,,False,,True,,False,,False,True
04009,1135,810.0,,1371.0,,,,,313.0,,975.8,,1070.0,,332.4,502.0,-325.0,,236.0,,,,,-822.0,,-159.2,,-65.0,,-802.6,-633.0,,True,,,,,False,,True,,True,,False,False
04011,211,35.0,,0.0,,,,,71.0,,27.7,,12.0,,,11.0,-176.0,,-211.0,,,,,-140.0,,-183.3,,-199.0,,,-200.0,,False,,,,,True,,False,,False,,,False
04012,433,60.0,,56.0,,,,,78.0,,211.6,,69.0,,,48.0,-373.0,,-377.0,,,,,-355.0,,-221.4,,-364.0,,,-385.0,,False,,,,,True,,True,,True,,,False
04013,84617,34705.0,,69024.0,,,,,22808.0,,26011.4,,48794.5,,16710.1,37030.0,-49912.0,,-15593.0,,,,,-61809.0,,-58605.6,,-35822.5,,-67906.9,-47587.0,,True,,,,,False,,False,,True,,False,True
04015,3609,1410.0,,2944.0,,,,,1009.0,,1157.3,,1890.0,,805.1,1584.0,-2199.0,,-665.0,,,,,-2600.0,,-2451.7,,-1719.0,,-2803.9,-2025.0,,True,,,,,False,,False,,True,,False,True
04017,2787,1450.0,,313.0,,,,,1549.0,,1052.3,,1621.0,,628.5,2402.0,-1337.0,,-2474.0,,,,,-1238.0,,-1734.7,,-1166.0,,-2158.5,-385.0,,False,,,,,True,,False,,True,,False,True
04019,20786,7340.0,,9650.0,,,,,4342.0,,6143.2,,12720.5,,3515.6,10842.0,-13446.0,,-11136.0,,,,,-16444.0,,-14642.8,,-8065.5,,-17270.4,-9944.0,,True,,,,,False,,False,,True,,False,True
04021,8323,3255.0,,5644.0,,,,,1846.0,,2740.0,,3627.0,,1405.3,5002.0,-5068.0,,-2679.0,,,,,-6477.0,,-5583.0,,-4696.0,,-6917.7,-3321.0,,True,,,,,False,,False,,True,,False,True
04023,1729,330.0,,67.0,,,,,267.0,,247.3,,358.0,,125.4,0.0,-1399.0,,-1662.0,,,,,-1462.0,,-1481.7,,-1371.0,,-1603.6,-1729.0,,False,,,,,False,,False,,True,,False,False
04025,4467,1270.0,,4563.0,,,,,1044.0,,969.4,,482.0,,783.0,823.0,-3197.0,,96.0,,,,,-3423.0,,-3497.6,,-3985.0,,-3684.0,-3644.0,,True,,,,,False,,False,,False,,False,False
04027,7504,2235.0,,960.0,,,,,712.0,,1869.1,,3293.0,,1126.0,3926.0,-5269.0,,-6544.0,,,,,-6792.0,,-5634.9,,-4211.0,,-6378.0,-3578.0,,False,,,,,False,,False,,True,,False,True
05001,321,315.0,,236.0,,,,,244.0,,392.9,,278.0,,,0.0,-6.0,,-85.0,,,,,-77.0,,71.9,,-43.0,,,-321.0,,False,,,,,False,,False,,False,,,False
05003,435,270.0,,7.0,,,,,211.0,,214.2,,247.0,,,235.0,-165.0,,-428.0,,,,,-224.0,,-220.8,,-188.0,,,-200.0,,False,,,,,False,,False,,False,,,False
05005,748,785.0,,1017.0,,,,,488.0,,1595.9,,784.0,,,493.0,37.0,,269.0,,,,,-260.0,,847.9,,36.0,,,-255.0,,False,,,,,False,,False,,True,,,False
05007,4779,4605.0,,12342.0,,,,,3540.0,,3613.0,,5385.5,,2866.8,3993.0,-174.0,,7563.0,,,,,-1239.0,,-1166.0,,606.5,,-1912.2,-786.0,,False,,,,,False,,False,,False,,False,False
05009,963,515.0,,778.0,,,,,515.0,,437.7,,512.0,,386.8,734.0,-448.0,,-185.0,,,,,-448.0,,-525.3,,-451.0,,-576.2,-229.0,,True,,,,,False,,False,,False,,False,True
05011,290,50.0,,0.0,,,,,79.0,,33.7,,24.0,,,42.0,-240.0,,-290.0,,,,,-211.0,,-256.3,,-266.0,,,-248.0,,False,,,,,True,,False,,False,,,False
05013,100,95.0,,74.0,,,,,60.0,,166.7,,116.0,,,141.0,-5.0,,-26.0,,,,,-40.0,,66.7,,16.0,,,41.0,,False,,,,,False,,False,,False,,,False
05015,650,270.0,,187.0,,,,,298.0,,231.4,,167.5,,159.1,197.0,-380.0,,-463.0,,,,,-352.0,,-418.6,,-482.5,,-490.9,-453.0,,False,,,,,True,,False,,False,,False,False
05017,238,35.0,,0.0,,,,,129.0,,16.5,,14.0,,19.5,16.0,-203.0,,-238.0,,,,,-109.0,,-221.5,,-224.0,,-218.5,-222.0,,False,,,,,True,,False,,False,,False,False
05019,463,375.0,,226.0,,,,,274.0,,362.2,,401.0,,,459.0,-88.0,,-237.0,,,,,-189.0,,-100.8,,-62.0,,,-4.0,,False,,,,,False,,False,,True,,,True
05021,549,290.0,,191.0,,,,,214.0,,268.0,,271.0,,,176.0,-259.0,,-358.0,,,,,-335.0,,-281.0,,-278.0,,,-373.0,,False,,,,,False,,False,,False,,,False
05023,343,345.0,,422.0,,,,,415.0,,480.0,,192.0,,,475.0,2.0,,79.0,,,,,72.0,,137.0,,-151.0,,,132.0,,False,,,,,False,,False,,False,,,False
05025,185,135.0,,2.0,,,,,94.0,,210.1,,198.0,,,85.0,-50.0,,-183.0,,,,,-91.0,,25.1,,13.0,,,-100.0,,False,,,,,False,,True,,True,,,False
05027,523,265.0,,241.0,,,,,249.0,,271.5,,235.0,,,305.0,-258.0,,-282.0,,,,,-274.0,,-251.5,,-288.0,,,-218.0,,False,,,,,False,,True,,False,,,True
05029,509,210.0,,188.0,,,,,408.0,,163.0,,129.0,,,331.0,-299.0,,-321.0,,,,,-101.0,,-346.0,,-380.0,,,-178.0,,False,,,,,True,,False,,False,,,True
05031,2881,3155.0,,5556.0,,,,,1819.0,,3128.5,,3009.0,,3003.7,4777.0,274.0,,2675.0,,,,,-1062.0,,247.5,,128.0,,122.7,1896.0,,False,,,,,False,,True,,True,,True,False
