,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,177250,67110.0,59719.3,74706.0,,68905.2,19493.0,,70967.0,69401.5,61019.7,36985.6,76710.0,33317.0,78350.0,-110140.0,-117530.7,-102544.0,,-108344.8,-157757.0,,-106283.0,-107848.5,-116230.3,-140264.4,-100540.0,-143933.0,-98900.0,False,True,,True,False,,True,True,False,False,True,False,True
Hawaii,4227,3108.0,8872.6,2777.0,,3811.4,1264.0,,,5587.9,5160.0,4580.8,2649.0,1602.1,700.0,-1119.0,4645.6,-1450.0,,-415.6,-2963.0,,,1360.9,933.0,353.8,-1578.0,-2624.9,-3527.0,False,False,,True,False,,,False,True,True,False,False,False
Idaho,56024,35484.0,120776.4,33274.0,,37560.7,16933.0,,33465.0,45530.3,65599.9,11770.2,35920.0,9980.6,14425.0,-20540.0,64752.4,-22750.0,,-18463.3,-39091.0,,-22559.0,-10493.7,9575.9,-44253.8,-20104.0,-46043.4,-41599.0,False,False,,True,False,,False,True,True,False,True,False,False
Illinois,425141,202482.0,308789.9,300780.0,,270270.8,131227.0,,197458.0,217364.7,237591.9,132354.4,441898.0,118856.6,113895.0,-222659.0,-116351.1,-124361.0,,-154870.2,-293914.0,,-227683.0,-207776.3,-187549.1,-292786.6,16757.0,-306284.4,-311246.0,True,True,,True,False,,False,True,True,False,True,False,False
Indiana,240178,113424.0,118692.7,157049.0,,104262.5,367988.0,,106211.0,118506.3,160093.9,77952.4,143412.0,61611.2,179470.0,-126754.0,-121485.3,-83129.0,,-135915.5,127810.0,,-133967.0,-121671.7,-80084.1,-162225.6,-96766.0,-178566.8,-60708.0,True,True,,False,False,,False,True,True,False,True,False,True
Iowa,126499,82044.0,75942.3,106476.0,,81157.5,38012.0,,63567.0,72356.7,87294.3,26316.2,118332.5,39592.8,145435.0,-44455.0,-50556.7,-20023.0,,-45341.5,-88487.0,,-62932.0,-54142.3,-39204.7,-100182.8,-8166.5,-86906.2,18936.0,False,True,,False,False,,False,False,True,False,True,False,True
Kansas,101383,43470.0,42326.3,62955.0,,43688.3,40784.0,,36669.0,43721.0,56557.5,12966.2,59901.5,25543.9,24964.0,-57913.0,-59056.7,-38428.0,,-57694.7,-60599.0,,-64714.0,-57662.0,-44825.5,-88416.8,-41481.5,-75839.1,-76419.0,False,True,,True,False,,False,True,True,False,True,False,False
Kentucky,113440,70434.0,82688.5,96250.0,,73052.6,43772.0,,64389.0,72065.2,128122.6,24656.6,110637.0,41637.9,109001.0,-43006.0,-30751.5,-17190.0,,-40387.4,-69668.0,,-49051.0,-41374.8,14682.6,-88783.4,-2803.0,-71802.1,-4439.0,True,True,,True,False,,False,True,True,False,True,False,True
Louisiana,77542,20400.0,20434.6,17299.0,,22496.7,5694.0,,25249.0,30812.3,22369.5,18622.7,30428.5,10066.9,7787.0,-57142.0,-57107.4,-60243.0,,-55045.3,-71848.0,,-52293.0,-46729.7,-55172.5,-58919.3,-47113.5,-67475.1,-69755.0,True,False,,True,False,,True,True,True,False,True,False,False
Maine,8958,3156.0,329.5,9162.0,,2012.8,784.0,,4079.0,1665.6,14908.7,4591.0,3772.0,1993.8,8243.0,-5802.0,-8628.5,204.0,,-6945.2,-8174.0,,-4879.0,-7292.4,5950.7,-4367.0,-5186.0,-6964.2,-715.0,False,True,,False,False,,True,False,False,True,True,False,True
Maryland,86728,34764.0,31291.9,51420.0,,38190.3,5622.0,,28859.0,32474.5,25302.9,28719.1,42377.5,24705.1,38344.0,-51964.0,-55436.1,-35308.0,,-48537.7,-81106.0,,-57869.0,-54253.5,-61425.1,-58008.9,-44350.5,-62022.9,-48384.0,False,True,,True,False,,False,False,False,False,True,False,True
Massachusetts,127149,54528.0,38277.2,83986.0,,62552.0,28122.0,,51064.0,48844.5,41466.5,54178.3,77881.0,32785.0,59511.0,-72621.0,-88871.8,-43163.0,,-64597.0,-99027.0,,-76085.0,-78304.5,-85682.5,-72970.7,-49268.0,-94364.0,-67638.0,False,True,,True,False,,False,False,False,False,True,False,True
Michigan,267753,130764.0,166809.0,208326.0,,155908.9,114590.0,,129842.0,121600.6,142536.3,120648.9,243924.5,74312.2,264723.0,-136989.0,-100944.0,-59427.0,,-111844.1,-153163.0,,-137911.0,-146152.4,-125216.7,-147104.1,-23828.5,-193440.8,-3030.0,True,True,,True,False,,False,False,True,False,True,False,True
Minnesota,226926,98100.0,99471.6,154173.0,,103214.3,125928.0,,121546.0,94839.0,103495.3,31182.3,135052.5,43914.6,75140.0,-128826.0,-127454.4,-72753.0,,-123711.7,-100998.0,,-105380.0,-132087.0,-123430.7,-195743.7,-91873.5,-183011.4,-151786.0,True,True,,True,True,,True,False,True,False,True,False,False
Mississippi,57787,30432.0,30024.8,29994.0,,26548.7,11146.0,,30411.0,34342.6,37171.8,11230.9,31480.5,23284.4,25368.0,-27355.0,-27762.2,-27793.0,,-31238.3,-46641.0,,-27376.0,-23444.4,-20615.2,-46556.2,-26306.5,-34502.6,-32419.0,False,False,,False,False,,False,True,True,False,True,False,False
Missouri,181481,96978.0,90454.7,119450.0,,95643.3,60142.0,,77890.0,99863.8,115614.5,28629.2,102248.5,71663.1,42065.0,-84503.0,-91026.3,-62031.0,,-85837.7,-121339.0,,-103591.0,-81617.2,-65866.5,-152851.8,-79232.5,-109817.9,-139416.0,False,True,,False,False,,False,True,True,False,True,False,False
Montana,39843,33954.0,32986.7,36007.0,,30492.0,25060.0,,31906.0,51268.5,101170.8,3866.6,34186.0,12080.4,19923.0,-5889.0,-6856.3,-3836.0,,-9351.0,-14783.0,,-7937.0,11425.5,61327.8,-35976.4,-5657.0,-27762.6,-19920.0,False,True,,False,False,,False,False,False,False,True,False,False
Nebraska,76956,45102.0,91740.6,62499.0,,45579.4,41440.0,,42081.0,45852.2,67926.9,20219.6,58975.0,24665.3,28603.0,-31854.0,14784.6,-14457.0,,-31376.6,-35516.0,,-34875.0,-31103.8,-9029.1,-56736.4,-17981.0,-52290.7,-48353.0,True,True,,True,False,,False,True,True,False,True,False,False
Nevada,83188,35694.0,15918.7,41554.0,,34575.4,8340.0,,27510.0,37155.0,27777.2,22396.4,42340.5,15038.5,36504.0,-47494.0,-67269.3,-41634.0,,-48612.6,-74848.0,,-55678.0,-46033.0,-55410.8,-60791.6,-40847.5,-68149.5,-46684.0,False,True,,False,False,,False,True,False,False,True,False,True
New Hampshire,20035,5076.0,681.7,8112.0,,4990.5,4970.0,,4229.0,4084.0,5042.0,8432.8,5643.5,4799.2,7470.0,-14959.0,-19353.3,-11923.0,,-15044.5,-15065.0,,-15806.0,-15951.0,-14993.0,-11602.2,-14391.5,-15235.8,-12565.0,False,True,,False,False,,False,False,False,True,True,False,True
New Jersey,185681,63282.0,77087.3,94892.0,,69281.1,73018.0,,53685.0,56272.9,40703.6,85809.5,96660.5,32779.9,93605.0,-122399.0,-108593.7,-90789.0,,-116399.9,-112663.0,,-131996.0,-129408.1,-144977.4,-99871.5,-89020.5,-152901.1,-92076.0,True,True,,True,True,,False,False,False,True,True,False,True
New Mexico,71868,32700.0,48892.7,37821.0,,35337.5,9954.0,,38753.0,36269.4,48732.8,16814.6,48831.5,22437.9,22938.0,-39168.0,-22975.3,-34047.0,,-36530.5,-61914.0,,-33115.0,-35598.6,-23135.2,-55053.4,-23036.5,-49430.1,-48930.0,True,True,,True,False,,True,True,True,False,True,False,False
New York,262467,82266.0,41062.9,120322.0,,132553.9,35823.0,,52699.0,67553.6,69347.0,201612.7,96422.5,56487.6,92915.0,-180201.0,-221404.1,-142145.0,,-129913.1,-226644.0,,-209768.0,-194913.4,-193120.0,-60854.3,-166044.5,-205979.4,-169552.0,False,True,,True,False,,False,False,False,True,True,False,True
North Carolina,155141,98058.0,153830.7,124709.0,,89939.8,53240.0,,95080.0,106971.5,114066.0,62422.0,95979.0,108665.5,102504.0,-57083.0,-1310.3,-30432.0,,-65201.2,-101901.0,,-60061.0,-48169.5,-41075.0,-92719.0,-59162.0,-46475.5,-52637.0,True,True,,False,False,,False,True,True,False,False,True,True
North Dakota,43674,42252.0,19917.8,39907.0,,36432.8,13392.0,,42425.0,55270.3,71621.3,7394.0,59478.0,26032.5,50800.0,-1422.0,-23756.2,-3767.0,,-7241.2,-30282.0,,-1249.0,11596.3,27947.3,-36280.0,15804.0,-17641.5,7126.0,False,False,,False,False,,True,False,False,False,False,False,False
Ohio,337764,119346.0,531013.3,164788.0,,117318.2,51169.0,,123340.0,119659.4,121970.8,111238.0,210144.5,53084.5,109233.0,-218418.0,193249.3,-172976.0,,-220445.8,-286595.0,,-214424.0,-218104.6,-215793.2,-226526.0,-127619.5,-284679.5,-228531.0,True,True,,False,False,,True,True,True,False,True,False,False
Oklahoma,110574,42462.0,84247.2,35909.0,,48979.7,29667.0,,56466.0,74058.5,71888.7,21343.2,39850.5,15073.2,24472.0,-68112.0,-26326.8,-74665.0,,-61594.3,-80907.0,,-54108.0,-36515.5,-38685.3,-89230.8,-70723.5,-95500.8,-86102.0,True,False,,True,False,,True,True,True,False,False,False,False
Oregon,47918,19092.0,25083.7,24447.0,,18570.9,10837.0,,17265.0,19794.4,28349.7,15423.6,22825.0,9112.0,24459.0,-28826.0,-22834.3,-23471.0,,-29347.1,-37081.0,,-30653.0,-28123.6,-19568.3,-32494.4,-25093.0,-38806.0,-23459.0,True,True,,False,False,,False,True,True,False,True,False,True
Pennsylvania,272539,92526.0,89765.4,135638.0,,102290.0,55357.0,,87980.0,92757.5,109780.5,118320.5,127729.5,61243.3,91836.0,-180013.0,-182773.6,-136901.0,,-170249.0,-217182.0,,-184559.0,-179781.5,-162758.5,-154218.5,-144809.5,-211295.7,-180703.0,False,True,,True,False,,False,True,True,True,True,False,False
Rhode Island,37944,16536.0,14876.7,20811.0,,21578.6,15723.0,,47246.0,17673.8,15447.4,5606.9,68636.5,7066.7,7811.0,-21408.0,-23067.3,-17133.0,,-16365.4,-22221.0,,9302.0,-20270.2,-22496.6,-32337.1,30692.5,-30877.3,-30133.0,False,True,,True,False,,True,True,False,False,False,False,False
South Carolina,72186,43626.0,88821.0,51979.0,,46254.0,18038.0,,40673.0,44310.8,46081.6,19105.7,46419.5,20148.5,36294.0,-28560.0,16635.0,-20207.0,,-25932.0,-54148.0,,-31513.0,-27875.2,-26104.4,-53080.3,-25766.5,-52037.5,-35892.0,True,True,,True,False,,False,True,True,False,True,False,False
South Dakota,44415,47106.0,45784.2,51781.0,,42422.3,29552.0,,46902.0,56598.7,78029.7,3934.9,69959.0,25203.5,10548.0,2691.0,1369.2,7366.0,,-1992.7,-14863.0,,2487.0,12183.7,33614.7,-40480.1,25544.0,-19211.5,-33867.0,True,False,,True,False,,True,False,False,False,False,False,False
Tennessee,182281,99510.0,182951.2,86845.0,,110862.6,47793.0,,103591.0,125029.0,146211.1,36331.0,90878.5,74597.0,63471.0,-82771.0,670.2,-95436.0,,-71418.4,-134488.0,,-78690.0,-57252.0,-36069.9,-145950.0,-91402.5,-107684.0,-118810.0,True,False,,True,False,,True,True,True,False,False,False,False
Texas,531426,263394.0,268957.7,337483.0,,273951.4,81712.0,,335525.0,260340.4,376834.0,167865.1,331329.5,113202.9,271921.0,-268032.0,-262468.3,-193943.0,,-257474.6,-449714.0,,-195901.0,-271085.6,-154592.0,-363560.9,-200096.5,-418223.1,-259505.0,True,True,,True,False,,True,False,True,False,True,False,True
Utah,117165,69234.0,43661.7,63213.0,,66504.7,19002.0,,70909.0,79178.6,39233.9,38294.5,90975.0,33257.9,43970.0,-47931.0,-73503.3,-53952.0,,-50660.3,-98163.0,,-46256.0,-37986.4,-77931.1,-78870.5,-26190.0,-83907.1,-73195.0,False,False,,False,False,,True,True,False,False,True,False,False
Vermont,3447,816.0,177.3,1681.0,,164.2,272.0,,1120.0,597.6,5259.8,932.8,924.5,633.7,1296.0,-2631.0,-3269.7,-1766.0,,-3282.8,-3175.0,,-2327.0,-2849.4,1812.8,-2514.2,-2522.5,-2813.3,-2151.0,False,True,,False,False,,True,False,True,True,True,False,True
Virginia,97425,52908.0,111547.7,69873.0,,50758.4,9223.0,,45015.0,52196.0,77937.7,41489.2,61738.0,42606.2,57647.0,-44517.0,14122.7,-27552.0,,-46666.6,-88202.0,,-52410.0,-45229.0,-19487.3,-55935.8,-35687.0,-54818.8,-39778.0,True,True,,False,False,,False,False,True,False,True,False,True
Washington,97909,31422.0,46022.1,40593.0,,42278.7,16259.0,,25625.0,33501.6,32453.7,44144.3,38423.5,22501.8,37861.0,-66487.0,-51886.9,-57316.0,,-55630.3,-81650.0,,-72284.0,-64407.4,-65455.3,-53764.7,-59485.5,-75407.2,-60048.0,True,True,,True,False,,False,True,True,True,True,False,True
West Virginia,37691,16464.0,32712.2,25122.0,,14756.5,12011.0,,13177.0,17588.2,50389.5,10564.6,25469.5,8008.6,12044.0,-21227.0,-4978.8,-12569.0,,-22934.5,-25680.0,,-24514.0,-20102.8,12698.5,-27126.4,-12221.5,-29682.4,-25647.0,True,True,,False,False,,False,True,True,False,True,False,False
Wisconsin,228122,184974.0,345213.9,207963.0,,186399.7,79435.0,,168234.0,249923.2,349202.5,53943.2,216644.0,262639.5,88601.0,-43148.0,117091.9,-20159.0,,-41722.3,-148687.0,,-59888.0,21801.2,121080.5,-174178.8,-11478.0,34517.5,-139521.0,False,True,,True,False,,False,True,False,False,True,True,False
Wyoming,25609,14958.0,48256.9,16091.0,,17240.3,8920.0,,16519.0,20720.2,59361.7,2446.8,27330.5,20891.4,11018.0,-10651.0,22647.9,-9518.0,,-8368.7,-16689.0,,-9090.0,-4888.8,33752.7,-23162.2,1721.5,-4717.6,-14591.0,False,True,,True,False,,True,True,False,False,True,True,False
US,7079258,3291984.0,3782162.1,4174254.0,11822033.0,4446218.5,2520270.0,3487291.0,3207424.0,3519345.8,4113200.0,2144071.8,5139530.5,3375058.0,3315846.5,-3787274.0,-3297095.9,-2905004.0,4742775.0,-2633039.5,-4558988.0,-3591967.0,-3871834.0,-3559912.2,-2966058.0,-4935186.2,-1939727.5,-3704200.0,-3763411.5,True,True,False,True,False,True,False,True,True,False,True,True,True
