,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,155,138.0,,139.6,,138.0,60.0,,,,,116.8,,133.0,,,,153.0,,188.5,,76.3,102.5,,145.0,148.4,,,149.0,182.0,16.8,,,,,129.3,139.9,,,,93.4,-17.0,,-15.4,,-17.0,-95.0,,,,,-38.2,,-22.0,,,,-2.0,,33.5,,-78.7,-52.5,,-10.0,-6.6,,,-6.0,27.0,-138.2,,,,,-25.7,-15.1,,,,-61.6,,True,,False,False,,,,,False,,False,,,,True,,False,,False,False,,True,True,,,True,False,False,,,,,False,True,,,,False
01023,15,16.0,,15.7,,15.0,4.0,,,,,16.4,,9.7,,,,45.0,,30.0,,6.2,,,8.0,15.1,,,16.0,30.0,4.7,,,,,,23.0,,,,9.9,1.0,,0.7,,0.0,-11.0,,,,,1.4,,-5.3,,,,30.0,,15.0,,-8.8,,,-7.0,0.1,,,1.0,15.0,-10.3,,,,,,8.0,,,,-5.1,,True,,True,False,,,,,False,,False,,,,False,,False,,False,,,False,True,,,False,False,False,,,,,,False,,,,False
01025,373,76.0,,79.0,,76.0,49.0,,,,,68.6,,77.3,,,,87.0,,86.0,,40.7,,,59.0,83.5,,,81.0,98.0,7.1,,,,,,82.9,,,,53.9,-297.0,,-294.0,,-297.0,-324.0,,,,,-304.4,,-295.7,,,,-286.0,,-287.0,,-332.3,,,-314.0,-289.5,,,-292.0,-275.0,-365.9,,,,,,-290.1,,,,-319.1,,True,,False,False,,,,,False,,True,,,,True,,True,,False,,,False,True,,,True,True,False,,,,,,True,,,,False
01027,42,37.0,,37.2,,37.0,24.0,,,,,41.9,,39.6,,,,52.0,,43.2,,16.7,,,44.0,47.4,,,37.0,51.0,5.7,,,,,,36.2,,,,3.8,-5.0,,-4.8,,-5.0,-18.0,,,,,-0.1,,-2.4,,,,10.0,,1.2,,-25.3,,,2.0,5.4,,,-5.0,9.0,-36.3,,,,,,-5.8,,,,-38.2,,True,,False,False,,,,,True,,True,,,,False,,True,,False,,,True,False,,,False,False,False,,,,,,False,,,,False
01029,59,47.0,,40.8,,38.0,7.0,,,,,40.1,,50.6,,,,61.0,,38.4,,18.4,,,38.0,45.5,,,40.0,59.0,8.4,,,,,,60.5,,,,25.5,-12.0,,-18.2,,-21.0,-52.0,,,,,-18.9,,-8.4,,,,2.0,,-20.6,,-40.6,,,-21.0,-13.5,,,-19.0,0.0,-50.6,,,,,,1.5,,,,-33.5,,False,,False,False,,,,,False,,True,,,,True,,False,,False,,,False,False,,,False,True,False,,,,,,True,,,,False
01031,249,183.0,,185.7,,162.0,212.0,,,,,137.3,,195.6,,,,151.0,,167.5,,131.3,151.0,,162.0,192.0,,,204.0,218.0,26.9,,,,,168.5,209.1,,,,89.5,-66.0,,-63.3,,-87.0,-37.0,,,,,-111.7,,-53.4,,,,-98.0,,-81.5,,-117.7,-98.0,,-87.0,-57.0,,,-45.0,-31.0,-222.1,,,,,-80.5,-39.9,,,,-159.5,,True,,False,True,,,,,False,,True,,,,False,,False,,False,False,,False,True,,,True,True,False,,,,,False,True,,,,False
01033,290,397.0,,414.3,,306.0,322.0,,,,,196.8,,322.3,,,,320.0,,461.0,,193.7,225.5,,306.5,276.4,,,425.0,399.0,20.6,,,,,342.4,425.6,,,,189.4,107.0,,124.3,,16.0,32.0,,,,,-93.2,,32.3,,,,30.0,,171.0,,-96.3,-64.5,,16.5,-13.6,,,135.0,109.0,-269.4,,,,,52.4,135.6,,,,-100.6,,False,,True,True,,,,,True,,True,,,,True,,False,,True,True,,True,True,,,False,False,False,,,,,True,False,,,,True
01035,41,51.0,,54.4,,35.0,22.0,,,,,29.4,,28.5,,,,35.0,,63.2,,15.6,,,9.0,36.4,,,48.0,55.0,3.7,,,,,,50.6,,,,35.2,10.0,,13.4,,-6.0,-19.0,,,,,-11.6,,-12.5,,,,-6.0,,22.2,,-25.4,,,-32.0,-4.6,,,7.0,14.0,-37.3,,,,,,9.6,,,,-5.8,,False,,True,False,,,,,False,,False,,,,True,,False,,False,,,False,True,,,True,False,False,,,,,,True,,,,True
01037,37,49.0,,48.8,,47.0,57.0,,,,,27.2,,44.3,,,,28.0,,52.1,,13.6,,,47.0,38.9,,,59.0,53.0,3.6,,,,,,40.8,,,,44.3,12.0,,11.8,,10.0,20.0,,,,,-9.8,,7.3,,,,-9.0,,15.1,,-23.4,,,10.0,1.9,,,22.0,16.0,-33.4,,,,,,3.8,,,,7.3,,True,,True,False,,,,,True,,True,,,,True,,False,,False,,,True,True,,,False,False,False,,,,,,True,,,,True
01039,159,169.0,,181.5,,123.0,79.0,,,,,98.2,,145.0,,,,123.0,,241.4,,71.5,94.0,,74.0,139.1,,,173.0,183.0,13.8,,,,,155.1,166.0,,,,124.1,10.0,,22.5,,-36.0,-80.0,,,,,-60.8,,-14.0,,,,-36.0,,82.4,,-87.5,-65.0,,-85.0,-19.9,,,14.0,24.0,-145.2,,,,,-3.9,7.0,,,,-34.9,,False,,False,False,,,,,False,,False,,,,False,,False,,False,False,,False,False,,,False,False,False,,,,,True,True,,,,False
01041,30,30.0,,32.9,,30.0,14.0,,,,,27.7,,29.6,,,,38.0,,23.6,,14.8,,,26.0,34.3,,,27.0,45.0,6.1,,,,,,36.3,,,,29.6,0.0,,2.9,,0.0,-16.0,,,,,-2.3,,-0.4,,,,8.0,,-6.4,,-15.2,,,-4.0,4.3,,,-3.0,15.0,-23.9,,,,,,6.3,,,,-0.4,,False,,True,False,,,,,False,,False,,,,False,,False,,False,,,False,False,,,False,False,False,,,,,,False,,,,False
01043,648,591.0,,636.0,,464.0,385.0,,,,,349.4,,517.0,,,,464.0,,538.5,,291.0,404.0,,635.0,494.0,,,603.0,598.0,39.9,,,,,560.7,495.3,,,,236.4,-57.0,,-12.0,,-184.0,-263.0,,,,,-298.6,,-131.0,,,,-184.0,,-109.5,,-357.0,-244.0,,-13.0,-154.0,,,-45.0,-50.0,-608.1,,,,,-87.3,-152.7,,,,-411.6,,True,,False,False,,,,,False,,False,,,,False,,False,,False,False,,True,False,,,True,True,False,,,,,False,False,,,,False
01045,238,184.0,,189.1,,160.0,109.0,,,,,115.6,,188.1,,,,151.0,,166.3,,81.5,109.0,,202.0,178.9,,,190.0,211.0,13.8,,,,,164.4,234.4,,,,160.1,-54.0,,-48.9,,-78.0,-129.0,,,,,-122.4,,-49.9,,,,-87.0,,-71.7,,-156.5,-129.0,,-36.0,-59.1,,,-48.0,-27.0,-224.2,,,,,-73.6,-3.6,,,,-77.9,,True,,False,False,,,,,False,,True,,,,False,,False,,False,False,,True,False,,,True,True,False,,,,,False,True,,,,False
01047,109,116.0,,117.5,,98.0,59.0,,,,,97.9,,98.3,,,,112.0,,117.3,,95.2,76.5,,76.0,101.0,,,108.0,142.0,12.5,,,,,102.1,100.6,,,,98.2,7.0,,8.5,,-11.0,-50.0,,,,,-11.1,,-10.7,,,,3.0,,8.3,,-13.8,-32.5,,-33.0,-8.0,,,-1.0,33.0,-96.5,,,,,-6.9,-8.4,,,,-10.8,,False,,False,False,,,,,False,,False,,,,True,,False,,False,False,,False,False,,,True,False,False,,,,,True,False,,,,False
01049,503,427.0,,422.1,,381.0,431.0,,,,,288.4,,454.0,,,,381.0,,383.4,,218.2,298.0,,381.0,407.7,,,463.0,446.0,38.1,,,,,357.5,327.1,,,,0.1,-76.0,,-80.9,,-122.0,-72.0,,,,,-214.6,,-49.0,,,,-122.0,,-119.6,,-284.8,-205.0,,-122.0,-95.3,,,-40.0,-57.0,-464.9,,,,,-145.5,-175.9,,,,-502.9,,False,,False,True,,,,,False,,True,,,,False,,False,,False,False,,False,False,,,True,True,False,,,,,False,False,,,,False
01051,463,378.0,,379.8,,321.0,388.0,,,,,252.9,,324.0,,,,240.0,,441.0,,191.3,252.0,,321.0,346.1,,,387.0,411.0,35.2,,,,,365.8,399.3,,,,305.7,-85.0,,-83.2,,-142.0,-75.0,,,,,-210.1,,-139.0,,,,-223.0,,-22.0,,-271.7,-211.0,,-142.0,-116.9,,,-76.0,-52.0,-427.8,,,,,-97.2,-63.7,,,,-157.3,,True,,False,True,,,,,False,,False,,,,False,,True,,False,False,,False,False,,,True,True,False,,,,,False,True,,,,False
01053,162,113.0,,109.7,,97.0,7.0,,,,,74.0,,75.2,,,,128.0,,153.8,,48.1,75.0,,40.0,92.3,,,112.0,137.0,9.5,,,,,,125.0,,,,101.0,-49.0,,-52.3,,-65.0,-155.0,,,,,-88.0,,-86.8,,,,-34.0,,-8.2,,-113.9,-87.0,,-122.0,-69.7,,,-50.0,-25.0,-152.5,,,,,,-37.0,,,,-61.0,,False,,False,False,,,,,False,,False,,,,True,,True,,False,False,,False,False,,,False,True,False,,,,,,True,,,,False
01055,751,892.0,,942.2,,740.0,826.0,,,,,490.9,,601.2,,,,507.0,,1094.5,,459.1,542.5,,850.0,740.1,,,943.0,881.0,69.8,,,,,872.5,839.3,,,,615.2,141.0,,191.2,,-11.0,75.0,,,,,-260.1,,-149.8,,,,-244.0,,343.5,,-291.9,-208.5,,99.0,-10.9,,,192.0,130.0,-681.2,,,,,121.5,88.3,,,,-135.8,,False,,True,True,,,,,False,,False,,,,False,,False,,False,False,,True,True,,,False,True,False,,,,,True,True,,,,True
01057,115,129.0,,130.5,,125.0,78.0,,,,,79.1,,148.2,,,,82.0,,152.3,,63.1,,,131.0,124.8,,,149.0,122.0,10.7,,,,,,121.0,,,,125.1,14.0,,15.5,,10.0,-37.0,,,,,-35.9,,33.2,,,,-33.0,,37.3,,-51.9,,,16.0,9.8,,,34.0,7.0,-104.3,,,,,,6.0,,,,10.1,,False,,True,False,,,,,False,,False,,,,False,,False,,False,,,False,True,,,False,True,False,,,,,,True,,,,True
01059,163,159.0,,159.9,,145.0,55.0,,,,,127.2,,173.9,,,,204.0,,177.8,,79.2,108.5,,138.0,144.8,,,182.0,175.0,11.9,,,,,152.2,159.1,,,,195.1,-4.0,,-3.1,,-18.0,-108.0,,,,,-35.8,,10.9,,,,41.0,,14.8,,-83.8,-54.5,,-25.0,-18.2,,,19.0,12.0,-151.1,,,,,-10.8,-3.9,,,,32.1,,True,,False,False,,,,,False,,False,,,,False,,False,,False,False,,False,False,,,False,False,False,,,,,False,True,,,,False
01061,93,84.0,,82.8,,75.0,56.0,,,,,60.6,,86.8,,,,86.0,,74.9,,44.3,,,71.0,87.7,,,84.0,104.0,7.5,,,,,,106.6,,,,71.9,-9.0,,-10.2,,-18.0,-37.0,,,,,-32.4,,-6.2,,,,-7.0,,-18.1,,-48.7,,,-22.0,-5.3,,,-9.0,11.0,-85.5,,,,,,13.6,,,,-21.1,,False,,False,False,,,,,False,,True,,,,True,,False,,False,,,False,True,,,False,False,False,,,,,,False,,,,False
01063,78,40.0,,40.1,,40.0,0.0,,,,,29.6,,40.7,,,,24.0,,46.2,,12.8,,,61.0,43.3,,,46.0,40.0,4.1,,,,,,36.4,,,,47.6,-38.0,,-37.9,,-38.0,-78.0,,,,,-48.4,,-37.3,,,,-54.0,,-31.8,,-65.2,,,-17.0,-34.7,,,-32.0,-38.0,-73.9,,,,,,-41.6,,,,-30.4,,True,,False,False,,,,,False,,True,,,,False,,True,,False,,,True,True,,,True,False,False,,,,,,False,,,,True
01065,98,54.0,,55.7,,54.0,7.0,,,,,50.4,,53.3,,,,55.0,,66.4,,36.0,,,32.0,53.9,,,69.0,64.0,9.6,,,,,,53.3,,,,60.9,-44.0,,-42.3,,-44.0,-91.0,,,,,-47.6,,-44.7,,,,-43.0,,-31.6,,-62.0,,,-66.0,-44.1,,,-29.0,-34.0,-88.4,,,,,,-44.7,,,,-37.1,,True,,False,False,,,,,False,,False,,,,True,,True,,False,,,False,False,,,True,True,False,,,,,,False,,,,True
01067,63,67.0,,69.0,,53.0,3.0,,,,,40.0,,57.4,,,,49.0,,77.0,,25.1,,,29.0,53.1,,,63.0,75.0,4.7,,,,,,58.6,,,,87.3,4.0,,6.0,,-10.0,-60.0,,,,,-23.0,,-5.6,,,,-14.0,,14.0,,-37.9,,,-34.0,-9.9,,,0.0,12.0,-58.3,,,,,,-4.4,,,,24.3,,False,,False,False,,,,,False,,False,,,,False,,False,,False,,,False,False,,,True,False,False,,,,,,False,,,,False
01069,374,394.0,,399.4,,348.0,428.0,,,,,267.8,,297.7,,,,298.0,,407.6,,185.2,290.0,,387.0,348.5,,,380.0,453.0,20.9,,,,,374.3,421.0,,,,299.8,20.0,,25.4,,-26.0,54.0,,,,,-106.2,,-76.3,,,,-76.0,,33.6,,-188.8,-84.0,,13.0,-25.5,,,6.0,79.0,-353.1,,,,,0.3,47.0,,,,-74.2,,False,,False,False,,,,,False,,False,,,,False,,False,,False,False,,True,False,,,True,False,False,,,,,True,False,,,,False
01071,467,635.0,,601.4,,523.0,262.0,,,,,311.1,,585.0,,,,283.0,,1094.1,,245.5,380.5,,965.0,523.4,,,660.0,581.0,41.9,,,,,568.4,550.0,,,,698.3,168.0,,134.4,,56.0,-205.0,,,,,-155.9,,118.0,,,,-184.0,,627.1,,-221.5,-86.5,,498.0,56.4,,,193.0,114.0,-425.1,,,,,101.4,83.0,,,,231.3,,True,,True,False,,,,,True,,True,,,,False,,False,,False,True,,False,True,,,False,True,False,,,,,True,True,,,,False
01073,4230,3688.0,,3665.0,3826.1,3676.0,4816.0,,,,,2507.8,,4209.9,,4493.6,,2621.0,,4028.2,,2191.8,2522.5,,3659.0,3887.0,,,3434.0,3840.0,210.4,,,,,3848.9,3116.5,3791.0,,,2576.5,-542.0,,-565.0,-403.9,-554.0,586.0,,,,,-1722.2,,-20.1,,263.6,,-1609.0,,-201.8,,-2038.2,-1707.5,,-571.0,-343.0,,,-796.0,-390.0,-4019.6,,,,,-381.1,-1113.5,-439.0,,,-1653.5,,False,True,False,False,,,,,False,,True,,True,,False,,True,,False,False,,False,True,,,False,True,False,,,,,True,False,True,,,False
01075,97,65.0,,65.0,,65.0,46.0,,,,,47.0,,62.9,,,,61.0,,110.3,,24.4,,,87.0,70.7,,,87.0,74.0,8.4,,,,,,63.1,,,,78.5,-32.0,,-32.0,,-32.0,-51.0,,,,,-50.0,,-34.1,,,,-36.0,,13.3,,-72.6,,,-10.0,-26.3,,,-10.0,-23.0,-88.6,,,,,,-33.9,,,,-18.5,,False,,False,False,,,,,False,,False,,,,False,,True,,False,,,True,True,,,True,True,False,,,,,,False,,,,True
01077,412,515.0,,518.4,,452.0,515.0,,,,,311.5,,395.7,,,,547.0,,511.6,,291.9,366.5,,439.0,451.5,,,539.0,567.0,61.3,,,,,449.7,514.9,,,,419.1,103.0,,106.4,,40.0,103.0,,,,,-100.5,,-16.3,,,,135.0,,99.6,,-120.1,-45.5,,27.0,39.5,,,127.0,155.0,-350.7,,,,,37.7,102.9,,,,7.1,,False,,True,False,,,,,True,,True,,,,False,,True,,False,True,,True,True,,,False,False,False,,,,,True,True,,,,True
01079,148,142.0,,143.7,,120.0,123.0,,,,,80.8,,142.9,,,,171.0,,131.4,,73.9,99.5,,106.0,116.7,,,144.0,165.0,12.1,,,,,,145.0,,,,98.7,-6.0,,-4.3,,-28.0,-25.0,,,,,-67.2,,-5.1,,,,23.0,,-16.6,,-74.1,-48.5,,-42.0,-31.3,,,-4.0,17.0,-135.9,,,,,,-3.0,,,,-49.3,,True,,False,False,,,,,False,,True,,,,False,,False,,False,False,,False,False,,,True,False,False,,,,,,True,,,,False
