,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Indiana,44517,46011.0,51901.5,46212.2,46362.0,42723.0,,44406.1,57722.0,44553.7,46814.9,46845.7,,46362.2,53229.0,45306.0,53915.9,42611.5,43779.0,25409.8,46062.5,47418.3,50225.0,49361.9,47997.8,47526.3,46009.0,44696.0,,58771.4,33826.3,,51116.6,65211.7,49083.6,46875.8,47872.0,63782.2,6351.9,1494.0,7384.5,1695.2,1845.0,-1794.0,,-110.9,13205.0,36.7,2297.9,2328.7,,1845.2,8712.0,789.0,9398.9,-1905.5,-738.0,-19107.2,1545.5,2901.3,5708.0,4844.9,3480.8,3009.3,1492.0,179.0,,14254.4,-10690.7,,6599.6,20694.7,4566.6,2358.8,3355.0,19265.2,-38165.1,False,False,False,False,,True,False,True,False,False,,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,,False,False,,False,False,False,False,False,False,False
Iowa,11624,16206.0,20752.4,15699.2,15858.0,12433.0,,16273.2,31990.0,15368.1,12133.4,12720.1,,11806.6,16218.0,17784.0,17232.4,11057.8,18453.0,9401.4,16400.0,11912.4,12101.5,13769.5,14104.3,13213.4,13644.0,15850.0,,15494.7,12220.6,,16160.2,36185.6,18619.0,,12113.0,19112.5,1893.0,4582.0,9128.4,4075.2,4234.0,809.0,,4649.2,20366.0,3744.1,509.4,1096.1,,182.6,4594.0,6160.0,5608.4,-566.2,6829.0,-2222.6,4776.0,288.4,477.5,2145.5,2480.3,1589.4,2020.0,4226.0,,3870.7,596.6,,4536.2,24561.6,6995.0,,489.0,7488.5,-9731.0,False,True,True,True,,False,False,True,True,True,,True,False,False,False,True,False,True,False,True,True,True,True,True,True,True,,True,True,,True,False,False,,True,False,False
Kansas,17115,15863.0,23974.0,15686.2,15647.0,13880.0,,17751.2,24453.0,7746.9,28841.4,152.0,,2128.2,17199.0,15650.0,21269.3,16272.4,18942.0,10374.7,14206.0,13397.9,8919.5,12021.0,16652.0,16782.7,16308.0,14954.0,,14461.0,20319.2,,15643.2,31405.3,17912.3,,10005.0,18101.9,2707.9,-1252.0,6859.0,-1428.8,-1468.0,-3235.0,,636.2,7338.0,-9368.1,11726.4,-16963.0,,-14986.8,84.0,-1465.0,4154.3,-842.6,1827.0,-6740.3,-2909.0,-3717.1,-8195.5,-5094.0,-463.0,-332.3,-807.0,-2161.0,,-2654.0,3204.2,,-1471.8,14290.3,797.3,,-7110.0,986.9,-14407.1,False,False,False,False,,True,False,False,False,False,,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,,False,False,,False,False,True,,False,True,False
Kentucky,22595,23882.0,29127.8,24058.6,23976.0,22928.0,,22731.8,20482.0,22576.2,24496.2,29542.7,,25551.1,23987.0,23176.0,27893.1,26510.2,23986.0,12200.6,25206.5,27221.3,22733.0,23719.5,24629.3,24711.8,25412.0,23824.0,,32284.0,22590.1,,26216.8,29844.9,27614.8,,23894.0,31869.6,3712.7,1287.0,6532.8,1463.6,1381.0,333.0,,136.8,-2113.0,-18.8,1901.2,6947.7,,2956.1,1392.0,581.0,5298.1,3915.2,1391.0,-10394.4,2611.5,4626.3,138.0,1124.5,2034.3,2116.8,2817.0,1229.0,,9689.0,-4.9,,3621.8,7249.9,5019.8,,1299.0,9274.6,-18882.3,False,False,False,True,,True,False,True,False,False,,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,,False,True,,False,False,False,,False,False,False
Louisiana,17014,16575.0,18164.4,16967.2,17846.0,17424.0,,18221.5,17663.0,188469.1,18753.2,14690.9,,14447.5,15262.0,19212.0,19813.6,29330.8,18213.0,13011.6,15602.5,27195.2,15084.0,17556.7,22847.7,22162.8,17118.0,17925.0,,15113.3,24264.7,,15603.9,24433.5,18963.7,,17943.0,19433.4,2635.0,-439.0,1150.4,-46.8,832.0,410.0,,1207.5,649.0,171455.1,1739.2,-2323.1,,-2566.5,-1752.0,2198.0,2799.6,12316.8,1199.0,-4002.4,-1411.5,10181.2,-1930.0,542.7,5833.7,5148.8,104.0,911.0,,-1900.7,7250.7,,-1410.1,7419.5,1949.7,,929.0,2419.4,-14379.0,False,True,False,True,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,,False,False,False
Maine,2493,1839.0,1897.1,1713.0,1832.0,1999.0,,1387.4,2343.0,1219.7,1955.4,2659.7,,991.1,1709.0,1977.0,1783.2,1822.8,1724.0,1625.2,1583.5,1861.5,1876.0,1885.3,2029.7,2059.0,1818.0,2337.0,,2433.7,2369.8,,2126.7,2092.3,2171.7,,1706.0,1943.5,223.2,-654.0,-595.9,-780.0,-661.0,-494.0,,-1105.6,-150.0,-1273.3,-537.6,166.7,,-1501.9,-784.0,-516.0,-709.8,-670.2,-769.0,-867.8,-909.5,-631.5,-617.0,-607.7,-463.3,-434.0,-675.0,-156.0,,-59.3,-123.2,,-366.3,-400.7,-321.3,,-787.0,-549.5,-2269.8,True,False,False,True,,False,True,False,True,True,,False,False,True,False,False,False,False,False,True,True,True,True,True,False,True,,True,True,,True,True,True,,False,True,False
Maryland,19625,17936.0,20726.7,17695.6,19158.0,19101.0,,17812.7,26511.0,20547.0,17264.6,22733.4,,20305.4,17975.0,16816.0,19331.3,18610.9,17163.0,14235.7,17739.5,20476.9,17903.5,20504.9,20788.6,20561.6,19604.0,19650.0,,21345.3,17356.6,,19215.0,23382.3,18265.3,,17836.0,22232.9,3437.9,-1689.0,1101.7,-1929.4,-467.0,-524.0,,-1812.3,6886.0,922.0,-2360.4,3108.4,,680.4,-1650.0,-2809.0,-293.7,-1014.1,-2462.0,-5389.3,-1885.5,851.9,-1721.5,879.9,1163.6,936.6,-21.0,25.0,,1720.3,-2268.4,,-410.0,3757.3,-1359.7,,-1789.0,2607.9,-16187.1,True,False,True,True,,False,False,True,False,False,,True,True,False,True,True,False,False,False,True,False,True,True,True,True,True,,False,False,,True,False,True,,False,False,False
Massachusetts,33708,29548.0,29197.5,30329.9,30435.0,33340.0,,23288.6,28489.0,22539.7,33863.0,35654.0,,30540.3,29787.0,29408.0,25780.4,34515.8,35022.0,22209.4,24318.5,34975.7,33977.5,35239.7,38060.6,37355.3,25025.0,31547.0,,47541.8,24525.5,,32980.7,29355.6,27805.2,,33909.0,42679.7,3087.5,-4160.0,-4510.5,-3378.1,-3273.0,-368.0,,-10419.4,-5219.0,-11168.3,155.0,1946.0,,-3167.7,-3921.0,-4300.0,-7927.6,807.8,1314.0,-11498.6,-9389.5,1267.7,269.5,1531.7,4352.6,3647.3,-8683.0,-2161.0,,13833.8,-9182.5,,-727.3,-4352.4,-5902.8,,201.0,8971.7,-30620.5,False,True,True,True,,False,False,False,True,True,,True,True,False,False,True,True,False,False,True,True,True,False,True,False,True,,False,False,,True,False,False,,True,False,False
Michigan,38583,48424.0,60558.8,46685.1,50028.0,43277.0,,53260.9,63488.0,57735.2,43022.2,36215.4,,50820.1,52456.0,54991.0,59293.4,52241.4,49597.0,35844.1,55377.5,51986.1,41416.0,43953.9,47458.5,47461.7,50905.0,45880.0,,51557.3,45376.3,,50277.4,81672.3,46851.9,43004.5,36256.0,70172.4,7633.9,9841.0,21975.8,8102.1,11445.0,4694.0,,14677.9,24905.0,19152.2,4439.2,-2367.6,,12237.1,13873.0,16408.0,20710.4,13658.4,11014.0,-2738.9,16794.5,13403.1,2833.0,5370.9,8875.5,8878.7,12322.0,7297.0,,12974.3,6793.3,,11694.4,43089.3,8268.9,4421.5,-2327.0,31589.4,-30949.1,False,True,False,True,,False,False,False,True,True,,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,,False,True,,False,False,True,True,True,False,False
Minnesota,30117,41258.0,41871.5,41560.5,40647.0,39279.0,,44978.7,81117.0,29109.1,37042.8,42422.0,,36032.6,41461.0,41466.0,48484.6,34735.4,39450.0,20160.0,38521.5,36405.7,26892.5,36416.3,41540.5,40617.3,38837.0,38575.0,,37999.8,31744.9,,43175.8,70002.2,37845.1,,41073.0,63128.8,7024.0,11141.0,11754.5,11443.5,10530.0,9162.0,,14861.7,51000.0,-1007.9,6925.8,12305.0,,5915.6,11344.0,11349.0,18367.6,4618.4,9333.0,-9957.0,8404.5,6288.7,-3224.5,6299.3,11423.5,10500.3,8720.0,8458.0,,7882.8,1627.9,,13058.8,39885.2,7728.1,,10956.0,33011.8,-23093.0,False,False,True,True,,False,False,True,True,False,,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,,True,True,,False,False,True,,True,False,False
Mississippi,14489,13518.0,11499.9,13793.2,12869.0,10638.0,,10993.4,11055.0,12831.4,15896.9,13620.4,,14144.4,13202.0,13480.0,12718.6,16367.6,15355.0,6475.8,11642.0,12141.4,12556.0,13098.5,14196.8,14098.5,14385.0,14660.0,,18845.7,6181.0,,12608.8,12214.0,14010.5,,13966.0,14766.9,1772.5,-971.0,-2989.1,-695.8,-1620.0,-3851.0,,-3495.6,-3434.0,-1657.6,1407.9,-868.6,,-344.6,-1287.0,-1009.0,-1770.4,1878.6,866.0,-8013.2,-2847.0,-2347.6,-1933.0,-1390.5,-292.2,-390.5,-104.0,171.0,,4356.7,-8308.0,,-1880.2,-2275.0,-478.5,,-523.0,277.9,-12716.5,False,True,False,False,,False,False,False,False,True,,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True,,False,False,,False,False,True,,True,True,False
