,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,459,268.0,,249.4,,256.0,242.0,,,,205.5,,291.0,,128.1,,199.8,321.0,,238.5,329.8,,,,,,240.4,,,,,372.9,-191.0,,-209.6,,-203.0,-217.0,,,,-253.5,,-168.0,,-330.9,,-259.2,-138.0,,-220.5,-129.2,,,,,,-218.6,,,,,-86.1,,False,,False,False,,,,False,,True,,False,,False,True,,False,True,,,,,,False,,,,,True
01023,43,12.0,,13.3,,14.0,0.0,,,,18.3,,65.0,,14.7,,34.3,,,10.0,33.9,,,,,,,,,,,29.7,-31.0,,-29.7,,-29.0,-43.0,,,,-24.7,,22.0,,-28.3,,-8.7,,,-33.0,-9.1,,,,,,,,,,,-13.3,,True,,True,False,,,,True,,True,,True,,True,,,False,True,,,,,,,,,,,True
01025,539,240.0,,219.9,,202.0,172.0,,,,145.0,,147.0,,97.9,,157.5,,,241.0,267.0,,,,,,194.7,,,,,216.1,-299.0,,-319.1,,-337.0,-367.0,,,,-394.0,,-392.0,,-441.1,,-381.5,,,-298.0,-272.0,,,,,,-344.3,,,,,-322.9,,False,,False,False,,,,False,,False,,False,,False,,,True,True,,,,,,False,,,,,False
01027,153,132.0,,133.8,,130.0,112.0,,,,94.9,,100.0,,23.9,,56.1,,,138.0,185.0,,,,,,,,,,,176.5,-21.0,,-19.2,,-23.0,-41.0,,,,-58.1,,-53.0,,-129.1,,-96.9,,,-15.0,32.0,,,,,,,,,,,23.5,,True,,False,False,,,,False,,False,,False,,False,,,True,False,,,,,,,,,,,False
01029,219,148.0,,137.2,,123.0,76.0,,,,80.9,,127.0,,65.4,,77.3,,,107.0,201.3,,,,,,,,,,,225.7,-71.0,,-81.8,,-96.0,-143.0,,,,-138.1,,-92.0,,-153.6,,-141.7,,,-112.0,-17.7,,,,,,,,,,,6.7,,False,,False,False,,,,False,,False,,False,,False,,,False,True,,,,,,,,,,,True
01031,731,740.0,,683.0,,704.0,659.0,,,,348.5,,274.0,,879.3,,552.2,706.0,,1119.0,839.6,,,,,,544.3,,,,,762.1,9.0,,-48.0,,-27.0,-72.0,,,,-382.5,,-457.0,,148.3,,-178.8,-25.0,,388.0,108.6,,,,,,-186.7,,,,,31.1,,False,,False,False,,,,False,,False,,False,,False,False,,False,False,,,,,,False,,,,,False
01033,1099,1028.0,,1111.0,,1028.0,1297.0,,,,451.2,,659.0,,308.4,,665.6,1153.0,,1384.0,1048.1,,,,,,414.8,,,,,779.2,-71.0,,12.0,,-71.0,198.0,,,,-647.8,,-440.0,,-790.6,,-433.4,54.0,,285.0,-50.9,,,,,,-684.2,,,,,-319.8,,True,,False,False,,,,False,,False,,False,,False,True,,False,True,,,,,,False,,,,,False
01035,137,140.0,,143.4,,141.0,46.0,,,,49.6,,62.0,,297.7,,51.4,,,218.0,186.4,,,,,,,,,,,317.0,3.0,,6.4,,4.0,-91.0,,,,-87.4,,-75.0,,160.7,,-85.6,,,81.0,49.4,,,,,,,,,,,180.0,,False,,False,False,,,,False,,False,,False,,False,,,False,False,,,,,,,,,,,False
01037,163,128.0,,135.7,,115.0,87.0,,,,56.4,,57.0,,50.7,,44.6,,,152.0,147.0,,,,,,,,,,,116.0,-35.0,,-27.3,,-48.0,-76.0,,,,-106.6,,-106.0,,-112.3,,-118.4,,,-11.0,-16.0,,,,,,,,,,,-47.0,,True,,False,False,,,,False,,False,,False,,False,,,True,True,,,,,,,,,,,False
01039,495,324.0,,342.5,,273.0,270.0,,,,232.0,,224.0,,71.3,,250.5,365.5,,276.0,420.7,,,,,,223.6,,,,,319.8,-171.0,,-152.5,,-222.0,-225.0,,,,-263.0,,-271.0,,-423.7,,-244.5,-129.5,,-219.0,-74.3,,,,,,-271.4,,,,,-175.2,,True,,False,False,,,,False,,False,,False,,False,True,,False,True,,,,,,False,,,,,False
01041,100,120.0,,113.1,,118.0,58.0,,,,52.4,,66.0,,213.8,,56.9,,,134.0,150.0,,,,,,,,,,,116.9,20.0,,13.1,,18.0,-42.0,,,,-47.6,,-34.0,,113.8,,-43.1,,,34.0,50.0,,,,,,,,,,,16.9,,True,,True,False,,,,False,,False,,False,,False,,,False,False,,,,,,,,,,,True
01043,1982,2044.0,,2073.1,,2056.0,2475.0,,,,921.5,,886.0,,1650.5,,1276.2,2533.0,,2423.0,2230.1,,,,,,1085.7,,,,,2362.7,62.0,,91.1,,74.0,493.0,,,,-1060.5,,-1096.0,,-331.5,,-705.8,551.0,,441.0,248.1,,,,,,-896.3,,,,,380.7,,False,,False,False,,,,False,,False,,False,,False,False,,False,False,,,,,,False,,,,,False
01045,591,520.0,,520.3,,522.0,743.0,,,,298.9,,284.0,,172.5,,489.7,636.0,,659.0,592.7,,,,,,299.0,,,,,794.8,-71.0,,-70.7,,-69.0,152.0,,,,-292.1,,-307.0,,-418.5,,-101.3,45.0,,68.0,1.7,,,,,,-292.0,,,,,203.8,,True,,True,False,,,,False,,False,,False,,False,True,,True,True,,,,,,False,,,,,False
01047,432,296.0,,275.1,,281.0,168.0,,,,173.4,,213.0,,277.7,,224.5,282.0,,620.0,414.0,,,,,,116.4,,,,,348.2,-136.0,,-156.9,,-151.0,-264.0,,,,-258.6,,-219.0,,-154.3,,-207.5,-150.0,,188.0,-18.0,,,,,,-315.6,,,,,-83.8,,False,,False,False,,,,False,,False,,False,,False,False,,False,True,,,,,,False,,,,,True
01049,1610,1272.0,,1400.2,,1080.0,1051.0,,,,880.9,,751.0,,634.3,,807.4,1190.0,,1163.5,1445.5,,,,,,729.4,,,,,1194.6,-338.0,,-209.8,,-530.0,-559.0,,,,-729.1,,-859.0,,-975.7,,-802.6,-420.0,,-446.5,-164.5,,,,,,-880.6,,,,,-415.4,,True,,False,False,,,,False,,False,,False,,False,False,,False,True,,,,,,False,,,,,False
01051,1285,744.0,,742.2,,728.0,880.0,,,,515.2,,436.0,,807.1,,450.6,681.5,,818.0,1035.6,,,,,,496.3,,,,,615.5,-541.0,,-542.8,,-557.0,-405.0,,,,-769.8,,-849.0,,-477.9,,-834.4,-603.5,,-467.0,-249.4,,,,,,-788.7,,,,,-669.5,,False,,False,True,,,,False,,False,,True,,False,False,,True,True,,,,,,False,,,,,False
01053,389,184.0,,170.7,,178.0,38.0,,,,140.0,,237.0,,75.5,,158.2,202.0,,343.0,305.0,,,,,,151.3,,,,,179.7,-205.0,,-218.3,,-211.0,-351.0,,,,-249.0,,-152.0,,-313.5,,-230.8,-187.0,,-46.0,-84.0,,,,,,-237.7,,,,,-209.3,,False,,False,False,,,,False,,True,,False,,False,True,,True,True,,,,,,False,,,,,False
01055,2629,1748.0,,1772.5,,1762.0,1962.0,,,,2218.1,,959.0,,877.3,,1018.2,1882.5,,2121.0,2184.3,,,,,,1078.1,,,,,1999.1,-881.0,,-856.5,,-867.0,-667.0,,,,-410.9,,-1670.0,,-1751.7,,-1610.8,-746.5,,-508.0,-444.7,,,,,,-1550.9,,,,,-629.9,,True,,True,True,,,,True,,False,,False,,False,True,,True,True,,,,,,False,,,,,True
01057,433,276.0,,276.4,,276.0,226.0,,,,109.1,,140.0,,736.8,,131.6,,,414.0,322.3,,,,,,,,,,,327.9,-157.0,,-156.6,,-157.0,-207.0,,,,-323.9,,-293.0,,303.8,,-301.4,,,-19.0,-110.7,,,,,,,,,,,-105.1,,True,,False,False,,,,False,,False,,False,,False,,,True,True,,,,,,,,,,,True
01059,528,300.0,,276.0,,277.0,120.0,,,,205.8,,417.0,,45.1,,305.2,358.0,,224.0,383.1,,,,,,172.7,,,,,348.9,-228.0,,-252.0,,-251.0,-408.0,,,,-322.2,,-111.0,,-482.9,,-222.8,-170.0,,-304.0,-144.9,,,,,,-355.3,,,,,-179.1,,False,,False,False,,,,False,,True,,False,,True,True,,False,True,,,,,,False,,,,,True
01061,314,272.0,,291.5,,249.0,313.0,,,,132.5,,155.0,,129.5,,165.7,,,423.0,368.7,,,,,,217.6,,,,,226.6,-42.0,,-22.5,,-65.0,-1.0,,,,-181.5,,-159.0,,-184.5,,-148.3,,,109.0,54.7,,,,,,-96.4,,,,,-87.4,,True,,False,True,,,,False,,False,,False,,False,,,False,False,,,,,,False,,,,,False
01063,170,64.0,,63.7,,55.0,0.0,,,,33.4,,42.0,,34.8,,34.8,,,53.0,64.5,,,,,,,,,,,71.7,-106.0,,-106.3,,-115.0,-170.0,,,,-136.6,,-128.0,,-135.2,,-135.2,,,-117.0,-105.5,,,,,,,,,,,-98.3,,False,,False,False,,,,False,,False,,False,,False,,,False,True,,,,,,,,,,,True
01065,254,180.0,,191.2,,129.0,56.0,,,,100.1,,97.0,,57.9,,100.3,,,134.0,199.9,,,,,,,,,,,163.7,-74.0,,-62.8,,-125.0,-198.0,,,,-153.9,,-157.0,,-196.1,,-153.7,,,-120.0,-54.1,,,,,,,,,,,-90.3,,True,,False,False,,,,False,,False,,False,,False,,,False,True,,,,,,,,,,,False
01067,174,136.0,,169.5,,121.0,45.0,,,,80.3,,77.0,,41.3,,98.0,,,140.0,166.6,,,,,,,,,,,145.8,-38.0,,-4.5,,-53.0,-129.0,,,,-93.7,,-97.0,,-132.7,,-76.0,,,-34.0,-7.4,,,,,,,,,,,-28.2,,True,,False,False,,,,False,,False,,False,,False,,,True,True,,,,,,,,,,,True
01069,1311,964.0,,1238.9,,958.0,1409.0,,,,802.9,,669.0,,498.0,,712.8,917.5,,1628.5,1255.3,,,,,,808.1,,,,,670.4,-347.0,,-72.1,,-353.0,98.0,,,,-508.1,,-642.0,,-813.0,,-598.2,-393.5,,317.5,-55.7,,,,,,-502.9,,,,,-640.6,,True,,False,True,,,,False,,False,,False,,False,False,,True,True,,,,,,False,,,,,False
01071,1618,892.0,,873.5,,868.0,829.0,,,,471.0,,590.0,,400.9,,557.9,839.5,,886.5,1109.4,,,,,,531.4,,,,,1081.3,-726.0,,-744.5,,-750.0,-789.0,,,,-1147.0,,-1028.0,,-1217.1,,-1060.1,-778.5,,-731.5,-508.6,,,,,,-1086.6,,,,,-536.7,,False,,False,False,,,,False,,False,,False,,False,False,,False,True,,,,,,False,,,,,True
01073,12653,7808.0,,7807.7,10035.6,8045.0,14028.0,,,,10887.0,,4317.0,,7667.3,,5192.8,7942.5,,13299.5,11074.4,,,,,,4358.8,19488.0,,,,8294.7,-4845.0,,-4845.3,-2617.4,-4608.0,1375.0,,,,-1766.0,,-8336.0,,-4985.7,,-7460.2,-4710.5,,646.5,-1578.6,,,,,,-8294.2,6835.0,,,,-4358.3,,False,True,True,True,,,,True,,False,,False,,False,True,,True,True,,,,,,False,False,,,,True
01075,260,112.0,,93.0,,107.0,116.0,,,,55.8,,129.0,,99.2,,58.0,,,80.0,128.5,,,,,,,,,,,123.5,-148.0,,-167.0,,-153.0,-144.0,,,,-204.2,,-131.0,,-160.8,,-202.0,,,-180.0,-131.5,,,,,,,,,,,-136.5,,False,,False,True,,,,False,,True,,False,,False,,,False,True,,,,,,,,,,,True
01077,1746,1392.0,,1477.4,,1242.0,1009.0,,,,670.2,,1083.0,,401.8,,1032.9,1745.0,,1436.0,1422.1,,,,,,511.0,,,,,1735.2,-354.0,,-268.6,,-504.0,-737.0,,,,-1075.8,,-663.0,,-1344.2,,-713.1,-1.0,,-310.0,-323.9,,,,,,-1235.0,,,,,-10.8,,True,,False,False,,,,False,,False,,False,,False,True,,True,True,,,,,,False,,,,,True
01079,498,304.0,,307.5,,299.0,257.0,,,,173.0,,378.0,,70.5,,202.6,328.5,,249.0,334.9,,,,,,,,,,,368.4,-194.0,,-190.5,,-199.0,-241.0,,,,-325.0,,-120.0,,-427.5,,-295.4,-169.5,,-249.0,-163.1,,,,,,,,,,,-129.6,,True,,False,False,,,,False,,True,,False,,False,True,,False,True,,,,,,,,,,,True
01081,1494,1212.0,,1242.1,,1192.0,2164.0,,,,2133.0,,902.0,,1056.2,,574.9,1017.5,,2389.0,1888.7,,,,,,1002.5,2433.0,,,,519.7,-282.0,,-251.9,,-302.0,670.0,,,,639.0,,-592.0,,-437.8,,-919.1,-476.5,,895.0,394.7,,,,,,-491.5,939.0,,,,-974.3,,True,,False,False,,,,False,,False,,False,,False,False,,False,False,,,,,,False,False,,,,False
01083,1629,1216.0,,1197.2,,1195.0,1449.0,,,,715.0,,915.0,,806.0,,690.2,1273.0,,1363.0,1447.0,,,,,,837.3,,,,,1162.0,-413.0,,-431.8,,-434.0,-180.0,,,,-914.0,,-714.0,,-823.0,,-938.8,-356.0,,-266.0,-182.0,,,,,,-791.7,,,,,-467.0,,False,,False,True,,,,False,,False,,False,,False,True,,True,True,,,,,,False,,,,,False
01085,98,52.0,,49.2,,45.0,0.0,,,,37.7,,44.0,,15.8,,43.1,,,47.0,88.0,,,,,,,,,,,70.3,-46.0,,-48.8,,-53.0,-98.0,,,,-60.3,,-54.0,,-82.2,,-54.9,,,-51.0,-10.0,,,,,,,,,,,-27.7,,False,,False,False,,,,False,,False,,False,,False,,,False,True,,,,,,,,,,,True
01087,189,204.0,,197.0,,193.0,244.0,,,,70.2,,70.0,,103.4,,116.7,,,263.5,196.7,,,,,,,,,,,229.3,15.0,,8.0,,4.0,55.0,,,,-118.8,,-119.0,,-85.6,,-72.3,,,74.5,7.7,,,,,,,,,,,40.3,,True,,True,False,,,,False,,False,,False,,False,,,False,True,,,,,,,,,,,False
01089,5605,3484.0,,3436.5,,3965.0,5683.0,,,,4615.8,,2576.0,,4407.2,,2603.7,3331.0,,5445.0,5073.8,,,,,,2000.7,6427.0,,,,5339.7,-2121.0,,-2168.5,,-1640.0,78.0,,,,-989.2,,-3029.0,,-1197.8,,-3001.3,-2274.0,,-160.0,-531.2,,,,,,-3604.3,822.0,,,,-265.3,,False,,True,True,,,,True,,False,,True,,False,False,,True,True,,,,,,False,True,,,,True
01091,329,160.0,,141.6,,126.0,44.0,,,,107.0,,127.0,,66.5,,124.3,,,96.0,179.2,,,,,,131.1,,,,,170.4,-169.0,,-187.4,,-203.0,-285.0,,,,-222.0,,-202.0,,-262.5,,-204.7,,,-233.0,-149.8,,,,,,-197.9,,,,,-158.6,,False,,False,False,,,,False,,False,,False,,False,,,False,True,,,,,,False,,,,,True
01093,406,240.0,,250.9,,286.0,441.0,,,,118.1,,292.0,,84.6,,165.2,312.5,,408.0,347.5,,,,,,131.4,,,,,275.2,-166.0,,-155.1,,-120.0,35.0,,,,-287.9,,-114.0,,-321.4,,-240.8,-93.5,,2.0,-58.5,,,,,,-274.6,,,,,-130.8,,True,,True,True,,,,False,,True,,False,,False,True,,True,True,,,,,,False,,,,,True
01095,2493,1736.0,,1698.8,,1750.0,2267.0,,,,1747.3,,1000.0,,2157.3,,1015.8,1684.0,,3242.5,2350.4,,,,,,833.8,,,,,2264.3,-757.0,,-794.2,,-743.0,-226.0,,,,-745.7,,-1493.0,,-335.7,,-1477.2,-809.0,,749.5,-142.6,,,,,,-1659.2,,,,,-228.7,,False,,True,True,,,,True,,False,,True,,False,False,,True,True,,,,,,False,,,,,True
01097,3589,2864.0,,3573.2,3344.3,2722.0,4089.0,,,,3310.7,,2356.0,,1139.1,,4069.4,2357.0,,2551.5,3440.7,,,,,,1615.5,,,,,4489.7,-725.0,,-15.8,-244.7,-867.0,500.0,,,,-278.3,,-1233.0,,-2449.9,,480.4,-1232.0,,-1037.5,-148.3,,,,,,-1973.5,,,,,900.7,,True,True,False,True,,,,True,,False,,False,,True,False,,False,True,,,,,,False,,,,,False
01099,199,124.0,,123.5,,124.0,117.0,,,,59.4,,102.0,,151.2,,89.8,,,146.0,211.4,,,,,,,,,,,84.9,-75.0,,-75.5,,-75.0,-82.0,,,,-139.6,,-97.0,,-47.8,,-109.2,,,-53.0,12.4,,,,,,,,,,,-114.1,,False,,False,False,,,,False,,False,,True,,False,,,True,True,,,,,,,,,,,False
01101,2143,1792.0,,1932.1,2505.0,1762.0,2459.0,,,,3143.4,,1203.0,,720.4,,1782.1,1979.5,,1711.5,2493.3,,,,,,1057.2,1178.0,,,,2043.1,-351.0,,-210.9,362.0,-381.0,316.0,,,,1000.4,,-940.0,,-1422.6,,-360.9,-163.5,,-431.5,350.3,,,,,,-1085.8,-965.0,,,,-99.9,,True,False,False,True,,,,False,,False,,False,,False,True,,False,True,,,,,,False,False,,,,True
01103,3060,2060.0,,2054.6,,2033.0,2860.0,,,,2945.5,,1186.0,,1693.1,,1404.2,2130.0,,2328.5,2511.9,,,,,,1160.8,,,,,2092.7,-1000.0,,-1005.4,,-1027.0,-200.0,,,,-114.5,,-1874.0,,-1366.9,,-1655.8,-930.0,,-731.5,-548.1,,,,,,-1899.2,,,,,-967.3,,False,,False,True,,,,True,,False,,False,,False,True,,True,True,,,,,,False,,,,,True
01105,99,84.0,,81.8,,58.0,0.0,,,,45.0,,50.0,,55.9,,37.1,,,48.0,89.4,,,,,,,,,,,97.3,-15.0,,-17.2,,-41.0,-99.0,,,,-54.0,,-49.0,,-43.1,,-61.9,,,-51.0,-9.6,,,,,,,,,,,-1.7,,False,,False,False,,,,False,,False,,False,,False,,,False,True,,,,,,,,,,,True
01107,332,304.0,,304.9,,240.0,155.0,,,,146.0,,155.0,,112.2,,196.5,,,339.0,346.2,,,,,,,,,,,228.9,-28.0,,-27.1,,-92.0,-177.0,,,,-186.0,,-177.0,,-219.8,,-135.5,,,7.0,14.2,,,,,,,,,,,-103.1,,True,,False,False,,,,False,,False,,False,,False,,,True,True,,,,,,,,,,,False
01109,239,268.0,,253.0,,244.0,227.0,,,,151.5,,191.0,,126.1,,191.9,223.5,,286.0,320.9,,,,,,298.1,,,,,140.3,29.0,,14.0,,5.0,-12.0,,,,-87.5,,-48.0,,-112.9,,-47.1,-15.5,,47.0,81.9,,,,,,59.1,,,,,-98.7,,True,,True,True,,,,False,,False,,False,,False,True,,False,False,,,,,,False,,,,,False
01111,182,204.0,,206.0,,172.0,152.0,,,,101.7,,165.0,,62.2,,128.6,,,154.0,236.6,,,,,,,,,,,203.1,22.0,,24.0,,-10.0,-30.0,,,,-80.3,,-17.0,,-119.8,,-53.4,,,-28.0,54.6,,,,,,,,,,,21.1,,False,,True,False,,,,False,,True,,False,,False,,,False,False,,,,,,,,,,,True
01113,400,144.0,,115.2,,125.0,97.0,,,,157.0,,315.0,,14.0,,190.5,153.0,,166.0,245.9,,,,,,121.5,,,,,121.6,-256.0,,-284.8,,-275.0,-303.0,,,,-243.0,,-85.0,,-386.0,,-209.5,-247.0,,-234.0,-154.1,,,,,,-278.5,,,,,-278.4,,False,,False,False,,,,True,,True,,False,,True,True,,True,True,,,,,,False,,,,,False
