,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,91236,71697.0,13395.3,52318.0,79483.0,89333.0,,56429.6,140677.0,122202.9,71193.5,,66522.0,80266.0,27788.9,116025.0,47099.7,122942.5,79976.0,84744.8,91464.7,103237.0,85471.0,,140285.1,57334.2,,59806.7,121010.5,52817.9,64218.7,94563.0,61618.8,-19539.0,-77840.7,-38918.0,-11753.0,-1903.0,,-34806.4,49441.0,30966.9,-20042.5,,-24714.0,-10970.0,-63447.1,24789.0,-44136.3,31706.5,-11260.0,-6491.2,228.7,12001.0,-5765.0,,49049.1,-33901.8,,-31429.3,29774.5,-38418.1,-27017.3,3327.0,-29617.2,False,False,True,True,,False,False,False,False,,False,True,False,False,False,False,True,True,True,True,True,,False,False,,False,False,False,False,True,False
Hawaii,2150,1806.0,5276.8,1702.9,1842.0,1522.0,,1766.9,1769.0,2234.9,3586.4,,,2483.1,511.5,2533.0,3342.8,2026.5,2490.0,2782.5,2938.4,2181.0,3927.0,,2069.8,1849.9,,1635.4,3345.1,2570.9,2687.7,1723.0,1420.4,-344.0,3126.8,-447.1,-308.0,-628.0,,-383.1,-381.0,84.9,1436.4,,,333.1,-1638.5,383.0,1192.8,-123.5,340.0,632.5,788.4,31.0,1777.0,,-80.2,-300.1,,-514.6,1195.1,420.9,537.7,-427.0,-729.6,False,False,True,False,,False,False,True,False,,,True,False,False,False,True,True,False,False,True,False,,True,True,,False,False,False,False,False,False
Idaho,29798,28551.0,42218.3,28299.7,31154.0,24848.0,,27407.8,32472.0,65724.9,35870.2,,33661.0,36659.0,27428.5,39233.0,16476.2,40857.1,29752.5,28761.3,37090.6,36420.0,39417.0,,29402.6,26280.9,,31270.3,48485.1,25879.6,16457.6,32087.0,31701.5,-1247.0,12420.3,-1498.3,1356.0,-4950.0,,-2390.2,2674.0,35926.9,6072.2,,3863.0,6861.0,-2369.5,9435.0,-13321.8,11059.1,-45.5,-1036.7,7292.6,6622.0,9619.0,,-395.4,-3517.1,,1472.3,18687.1,-3918.4,-13340.4,2289.0,1903.5,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,False,,True,False,,False,False,False,False,False,False
Illinois,195402,249903.0,298152.8,249592.6,247486.0,201366.0,,232870.4,502547.0,425743.4,381069.4,,260021.0,356365.3,226628.8,277404.0,208099.5,236833.7,240405.0,221169.5,271578.0,305126.0,307875.0,,218957.8,137453.2,,309329.9,500914.7,253378.1,128775.1,224385.0,258380.7,54501.0,102750.8,54190.6,52084.0,5964.0,,37468.4,307145.0,230341.4,185667.4,,64619.0,160963.3,31226.8,82002.0,12697.5,41431.7,45003.0,25767.5,76176.0,109724.0,112473.0,,23555.8,-57948.8,,113927.9,305512.7,57976.1,-66626.9,28983.0,62978.7,False,True,True,True,,True,False,False,False,,False,False,True,False,True,True,True,True,False,False,False,,True,False,,False,False,False,False,True,False
Indiana,130353,132888.0,172374.9,133832.8,170239.0,131532.0,,121602.9,219987.0,199948.1,182610.4,,149820.0,180431.2,189010.0,182672.0,100291.6,235309.7,136134.0,136396.1,173629.3,171848.0,172652.0,,148957.2,70787.0,,168771.5,230908.1,181982.4,93181.5,196353.0,177265.0,2535.0,42021.9,3479.8,39886.0,1179.0,,-8750.1,89634.0,69595.1,52257.4,,19467.0,50078.2,58657.0,52319.0,-30061.4,104956.7,5781.0,6043.1,43276.3,41495.0,42299.0,,18604.2,-59566.0,,38418.5,100555.1,51629.4,-37171.5,66000.0,46912.0,False,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Iowa,45806,76944.0,78480.2,74162.1,74899.0,61060.0,,69377.4,131860.0,101627.8,115155.8,,90801.0,129995.1,60532.9,101684.0,45529.4,75986.6,60813.0,66493.2,99624.4,99838.0,84153.0,,40997.5,105967.8,,70736.7,164237.8,47858.2,26246.5,66729.0,85595.2,31138.0,32674.2,28356.1,29093.0,15254.0,,23571.4,86054.0,55821.8,69349.8,,44995.0,84189.1,14726.9,55878.0,-276.6,30180.6,15007.0,20687.2,53818.4,54032.0,38347.0,,-4808.5,60161.8,,24930.7,118431.8,2052.2,-19559.5,20923.0,39789.2,False,True,True,True,,True,False,False,False,,False,False,True,False,True,True,True,True,False,False,False,,True,False,,True,False,True,True,True,False
Kansas,51292,58629.0,83367.9,59644.4,59568.0,59840.0,,55025.7,104797.0,33226.8,67947.3,,56844.0,69314.5,100298.3,87963.0,36212.4,98078.1,24410.0,47361.4,63988.4,74166.0,78904.0,,54962.7,72833.5,,51270.9,83104.9,33623.6,24196.7,62856.0,62454.3,7337.0,32075.9,8352.4,8276.0,8548.0,,3733.7,53505.0,-18065.2,16655.3,,5552.0,18022.5,49006.3,36671.0,-15079.6,46786.1,-26882.0,-3930.6,12696.4,22874.0,27612.0,,3670.7,21541.5,,-21.1,31812.9,-17668.4,-27095.3,11564.0,11162.3,False,False,False,False,,True,False,False,False,,True,False,False,False,False,False,False,True,False,False,False,,True,False,,True,False,False,False,False,False
Kentucky,64751,59313.0,98661.7,58519.6,75002.0,65699.0,,55102.5,59148.0,121907.3,76400.6,,74248.0,80722.6,75967.3,90228.0,39240.7,79844.0,77482.5,73405.5,80499.3,81824.0,80383.0,,101716.1,63529.1,,62103.2,88051.3,96981.8,51605.5,75407.0,60171.5,-5438.0,33910.7,-6231.4,10251.0,948.0,,-9648.5,-5603.0,57156.3,11649.6,,9497.0,15971.6,11216.3,25477.0,-25510.3,15093.0,12731.5,8654.5,15748.3,17073.0,15632.0,,36965.1,-1221.9,,-2647.8,23300.3,32230.8,-13145.5,10656.0,-4579.5,False,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,True,,True,False,False,False,False,True
Louisiana,47482,44184.0,91403.3,43452.9,57411.0,64877.0,,47013.7,27010.0,184215.1,42840.5,,57995.0,39481.8,540199.2,60225.0,45343.5,105719.5,66440.5,63551.4,80960.3,59572.0,68597.0,,61511.6,13083.0,,34837.5,56598.2,45640.4,60648.0,77649.0,79270.2,-3298.0,43921.3,-4029.1,9929.0,17395.0,,-468.3,-20472.0,136733.1,-4641.5,,10513.0,-8000.2,492717.2,12743.0,-2138.5,58237.5,18958.5,16069.4,33478.3,12090.0,21115.0,,14029.6,-34399.0,,-12644.5,9116.2,-1841.6,13166.0,30167.0,31788.2,False,False,False,False,,True,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,False,True,False,False,False
Maine,5497,3996.0,2017.3,4004.7,4684.0,4617.0,,3990.0,11934.0,4650.3,4997.0,,5305.0,5485.1,5772.8,6068.0,6561.5,12256.8,4522.5,5339.5,7324.2,5433.0,8678.0,,3541.2,3028.1,,4300.6,6226.2,4223.4,5046.0,3880.0,4777.5,-1501.0,-3479.7,-1492.3,-813.0,-880.0,,-1507.0,6437.0,-846.7,-500.0,,-192.0,-11.9,275.8,571.0,1064.5,6759.8,-974.5,-157.5,1827.2,-64.0,3181.0,,-1955.8,-2468.9,,-1196.4,729.2,-1273.6,-451.0,-1617.0,-719.5,False,True,True,True,,False,False,True,True,,True,True,True,True,True,False,True,True,False,True,False,,False,False,,True,True,True,True,False,True
Maryland,52038,47643.0,81631.1,47416.5,60387.0,61093.0,,42996.7,149057.0,62133.5,54862.4,,44335.0,53360.2,79915.6,73439.0,47972.8,110468.4,65996.5,61818.4,71372.8,66200.0,62413.0,,54719.4,45745.9,,44235.7,47384.7,96956.7,57817.0,70471.0,57818.9,-4395.0,29593.1,-4621.5,8349.0,9055.0,,-9041.3,97019.0,10095.5,2824.4,,-7703.0,1322.2,27877.6,21401.0,-4065.2,58430.4,13958.5,9780.4,19334.8,14162.0,10375.0,,2681.4,-6292.1,,-7802.3,-4653.3,44918.7,5779.0,18433.0,5780.9,False,False,False,False,,False,False,False,True,,False,True,False,False,True,False,False,False,False,False,False,,True,False,,False,False,False,False,False,False
Massachusetts,81570,54039.0,63078.1,56125.0,65525.0,47442.0,,53578.9,95605.0,98264.0,88583.1,,59249.0,72854.5,79258.0,77377.0,63335.3,96072.5,75962.0,64744.2,82074.1,65996.0,73894.0,,60800.0,69565.6,,80989.0,79750.8,83367.7,54082.8,53534.0,59744.0,-27531.0,-18491.9,-25445.0,-16045.0,-34128.0,,-27991.1,14035.0,16694.0,7013.1,,-22321.0,-8715.5,-2312.0,-4193.0,-18234.7,14502.5,-5608.0,-16825.8,504.1,-15574.0,-7676.0,,-20770.0,-12004.4,,-581.0,-1819.2,1797.7,-27487.2,-28036.0,-21826.0,True,True,True,False,,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,True,False,True
Michigan,136138,159687.0,168633.0,160873.3,210634.0,146461.0,,160093.7,317720.0,312586.3,269966.2,,200686.0,214157.6,220760.5,229058.0,172726.0,299113.4,261515.5,164894.9,194465.6,205208.0,208423.0,,204657.7,326101.8,,166847.6,263369.5,259335.4,78304.1,207064.0,215898.6,23549.0,32495.0,24735.3,74496.0,10323.0,,23955.7,181582.0,176448.3,133828.2,,64548.0,78019.6,84622.5,92920.0,36588.0,162975.4,125377.5,28756.9,58327.6,69070.0,72285.0,,68519.7,189963.8,,30709.6,127231.5,123197.4,-57833.9,70926.0,79760.6,False,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Minnesota,112446,140772.0,181928.2,141257.8,169927.0,127422.0,,126871.7,305247.0,177651.6,204305.1,,193924.0,185234.5,268368.1,195786.0,77564.6,275441.8,131752.5,135140.8,187109.8,182435.0,190711.0,,134617.3,34621.4,,132257.5,228424.2,186858.6,98909.8,156062.0,191747.8,28326.0,69482.2,28811.8,57481.0,14976.0,,14425.7,192801.0,65205.6,91859.1,,81478.0,72788.5,155922.1,83340.0,-34881.4,162995.8,19306.5,22694.8,74663.8,69989.0,78265.0,,22171.3,-77824.6,,19811.5,115978.2,74412.6,-13536.2,43616.0,79301.8,False,False,False,True,,True,False,False,False,,False,False,False,False,False,False,True,True,False,False,False,,True,False,,True,False,False,True,False,False
Mississippi,35546,27183.0,32984.9,26629.4,31007.0,23554.0,,21720.9,19922.0,41818.4,33020.3,,35025.0,34595.3,35699.3,43401.0,18429.1,33551.5,26670.0,31203.6,35501.6,37974.0,39662.0,,34601.6,18811.2,,27990.7,37230.0,25798.4,25477.5,33181.0,26353.9,-8363.0,-2561.1,-8916.6,-4539.0,-11992.0,,-13825.1,-15624.0,6272.4,-2525.7,,-521.0,-950.7,153.3,7855.0,-17116.9,-1994.5,-8876.0,-4342.4,-44.4,2428.0,4116.0,,-944.4,-16734.8,,-7555.3,1684.0,-9747.6,-10068.5,-2365.0,-9192.1,True,False,True,False,,False,False,True,True,,True,True,True,True,False,True,False,True,True,True,True,,True,False,,True,True,False,False,True,False
Missouri,77266,87177.0,118969.4,87461.2,100094.0,68583.0,,96905.3,202343.0,134235.4,126396.5,,94061.0,137599.1,112022.5,113759.0,53540.2,151787.4,87329.0,101169.0,127534.2,130379.0,118020.0,,87668.7,143069.0,,96007.5,195835.7,80270.0,64382.1,111353.0,98303.8,9911.0,41703.4,10195.2,22828.0,-8683.0,,19639.3,125077.0,56969.4,49130.5,,16795.0,60333.1,34756.5,36493.0,-23725.8,74521.4,10063.0,23903.0,50268.2,53113.0,40754.0,,10402.7,65803.0,,18741.5,118569.7,3004.0,-12883.9,34087.0,21037.8,False,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,False,False,False
Montana,18102,25968.0,36912.0,26188.2,28928.0,22954.0,,24432.9,16353.0,38375.2,29578.8,,30379.0,36120.4,56515.5,34617.0,10633.4,30169.2,26097.5,26399.0,29463.0,26885.0,34842.0,,34634.5,28535.9,,20860.2,36775.9,31448.2,15212.6,33897.0,24363.5,7866.0,18810.0,8086.2,10826.0,4852.0,,6330.9,-1749.0,20273.2,11476.8,,12277.0,18018.4,38413.5,16515.0,-7468.6,12067.2,7995.5,8297.0,11361.0,8783.0,16740.0,,16532.5,10433.9,,2758.2,18673.9,13346.2,-2889.4,15795.0,6261.5,False,False,False,True,,True,True,False,False,,False,False,False,False,True,False,False,False,False,False,False,,False,False,,True,False,False,True,False,True
Nebraska,34659,48585.0,74913.9,49599.5,53217.0,42306.0,,44948.4,63777.0,56881.7,62344.3,,58434.0,68255.2,62910.4,69547.0,28683.2,76256.3,38650.5,40891.2,59488.9,58039.0,66108.0,,45581.0,49867.8,,53533.1,75964.8,46401.1,20222.6,49158.0,55348.7,13926.0,40254.9,14940.5,18558.0,7647.0,,10289.4,29118.0,22222.7,27685.3,,23775.0,33596.2,28251.4,34888.0,-5975.8,41597.3,3991.5,6232.2,24829.9,23380.0,31449.0,,10922.0,15208.8,,18874.1,41305.8,11742.1,-14436.4,14499.0,20689.7,False,False,False,True,,True,False,False,False,,False,False,False,False,True,False,True,True,False,False,False,,True,False,,False,False,True,False,False,False
Nevada,52216,38181.0,54913.3,38185.9,47729.0,41125.0,,37471.4,61777.0,67235.8,49813.2,,40134.0,46734.0,61625.4,52873.0,38970.8,57239.2,55624.5,45973.5,58419.2,55099.0,48502.0,,50518.0,4655.9,,28964.5,58447.4,44236.0,37620.0,53268.0,44685.5,-14035.0,2697.3,-14030.1,-4487.0,-11091.0,,-14744.6,9561.0,15019.8,-2402.8,,-12082.0,-5482.0,9409.4,657.0,-13245.2,5023.2,3408.5,-6242.5,6203.2,2883.0,-3714.0,,-1698.0,-47560.1,,-23251.5,6231.4,-7980.0,-14596.0,1052.0,-7530.5,True,True,True,True,,False,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,,True,False,,False,True,True,False,True,True
New Hampshire,12929,8982.0,17751.1,8859.7,11108.0,11285.0,,9081.1,21692.0,10391.7,11830.8,,12427.0,9780.8,24491.1,13078.0,14086.1,24342.3,16764.0,10861.9,14007.2,11711.0,14865.0,,,13821.7,,10417.2,8787.5,20790.1,10822.4,13388.0,9739.8,-3947.0,4822.1,-4069.3,-1821.0,-1644.0,,-3847.9,8763.0,-2537.3,-1098.2,,-502.0,-3148.2,11562.1,149.0,1157.1,11413.3,3835.0,-2067.1,1078.2,-1218.0,1936.0,,,892.7,,-2511.8,-4141.5,7861.1,-2106.6,459.0,-3189.2,False,False,True,True,,True,False,True,True,,True,True,False,True,True,False,True,True,True,True,True,,,True,,True,False,False,True,True,True
New Jersey,108807,81909.0,112938.5,81158.6,106494.0,100130.0,,99350.9,155137.0,153467.6,109557.1,,77567.0,98119.9,154426.2,123778.0,98105.6,151014.8,128793.5,93760.7,116349.7,103880.0,103787.0,,100010.3,78185.8,,120569.4,120889.4,165061.8,73384.8,78173.0,109438.2,-26898.0,4131.5,-27648.4,-2313.0,-8677.0,,-9456.1,46330.0,44660.6,750.1,,-31240.0,-10687.1,45619.2,14971.0,-10701.4,42207.8,19986.5,-15046.3,7542.7,-4927.0,-5020.0,,-8796.7,-30621.2,,11762.4,12082.4,56254.8,-35422.2,-30634.0,631.2,True,False,True,True,,True,False,False,True,,False,True,False,True,True,False,True,True,True,True,True,,True,False,,True,True,False,False,False,True
