,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Missouri,141447,114745.0,81835.2,179361.0,,116145.4,53207.0,,106114.0,92037.5,149753.2,154130.0,162085.0,,68436.4,40442.0,-26702.0,-59611.8,37914.0,,-25301.6,-88240.0,,-35333.0,-49409.5,8306.2,12683.0,20638.0,,-73010.6,-101005.0,False,False,,True,False,,False,False,True,True,True,,False,False
Montana,33696,30735.0,21931.6,28634.0,,31804.9,23908.0,,28832.0,37753.3,72971.4,48121.6,31447.0,,11778.1,16224.0,-2961.0,-11764.4,-5062.0,,-1891.1,-9788.0,,-4864.0,4057.3,39275.4,14425.6,-2249.0,,-21917.9,-17472.0,False,False,,True,False,,False,False,False,False,True,,False,False
Nebraska,65293,58315.0,49685.2,84176.0,,55986.6,57675.0,,66126.0,49091.2,99123.7,121943.1,92759.5,,58211.1,21611.0,-6978.0,-15607.8,18883.0,,-9306.4,-7618.0,,833.0,-16201.8,33830.7,56650.1,27466.5,,-7081.9,-43682.0,False,False,,False,False,,True,False,False,False,False,,False,False
Nevada,75203,39925.0,111520.3,59692.0,,34334.1,8769.0,,35194.0,32466.0,29678.8,60646.2,57897.0,,18310.7,35500.0,-35278.0,36317.3,-15511.0,,-40868.9,-66434.0,,-40009.0,-42737.0,-45524.2,-14556.8,-17306.0,,-56892.3,-39703.0,False,True,,False,False,,False,False,False,True,True,,False,False
New Hampshire,18003,5785.0,6523.1,11592.0,,5833.0,3938.0,,7798.0,5506.7,17086.8,11917.7,8569.5,,6156.4,8462.0,-12218.0,-11479.9,-6411.0,,-12170.0,-14065.0,,-10205.0,-12496.3,-916.2,-6085.3,-9433.5,,-11846.6,-9541.0,True,True,,True,False,,True,False,True,True,True,,True,True
New Jersey,143914,73480.0,50820.3,125719.0,,65771.4,87564.0,,52768.0,61408.0,45847.3,141384.8,119129.0,,60673.3,65592.0,-70434.0,-93093.7,-18195.0,,-78142.6,-56350.0,,-91146.0,-82506.0,-98066.7,-2529.2,-24785.0,,-83240.7,-78322.0,False,True,,False,True,,False,False,False,True,True,,False,False
New Mexico,64687,35905.0,42099.2,40074.0,,30190.0,9945.0,,35063.0,38717.3,50825.6,90179.7,51068.0,,28756.1,22754.0,-28782.0,-22587.8,-24613.0,,-34497.0,-54742.0,,-29624.0,-25969.7,-13861.4,25492.7,-13619.0,,-35930.9,-41933.0,True,True,,False,False,,False,True,True,True,True,,False,False
New York,244010,90325.0,182284.4,166079.0,,207251.6,41987.0,,77326.0,67041.2,69566.2,141586.7,132462.0,,55416.7,96318.0,-153685.0,-61725.6,-77931.0,,-36758.4,-202023.0,,-166684.0,-176968.8,-174443.8,-102423.3,-111548.0,,-188593.3,-147692.0,True,True,,True,False,,False,False,False,True,True,,False,True
North Carolina,138531,83050.0,96680.8,96331.0,,77672.5,48660.0,,76681.0,90368.8,100048.5,122272.9,97611.0,,90065.7,76448.0,-55481.0,-41850.2,-42200.0,,-60858.5,-89871.0,,-61850.0,-48162.2,-38482.5,-16258.1,-40920.0,,-48465.3,-62083.0,True,True,,False,False,,False,True,True,True,True,,True,False
North Dakota,34386,46440.0,59778.2,38441.0,,41880.3,44263.0,,45194.0,31474.8,94187.9,77737.3,61193.5,,34833.3,37283.0,12054.0,25392.2,4055.0,,7494.3,9877.0,,10808.0,-2911.2,59801.9,43351.3,26807.5,,447.3,2897.0,False,True,,True,True,,True,True,False,False,False,,True,True
Ohio,307734,150150.0,294821.9,279217.0,,133503.3,50735.0,,155357.0,131967.0,161327.8,366328.3,279019.0,,69604.7,130954.0,-157584.0,-12912.1,-28517.0,,-174230.7,-256999.0,,-152377.0,-175767.0,-146406.2,58594.3,-28715.0,,-238129.3,-176780.0,True,True,,False,False,,True,False,True,True,True,,False,False
Oklahoma,101585,44945.0,59283.4,52472.0,,42894.7,33484.0,,58415.0,53135.3,64436.4,52077.2,62176.0,,28866.9,31745.0,-56640.0,-42301.6,-49113.0,,-58690.3,-68101.0,,-43170.0,-48449.7,-37148.6,-49507.8,-39409.0,,-72718.1,-69840.0,True,True,,False,False,,True,True,True,True,True,,False,False
Oregon,43252,23330.0,37033.5,41053.0,,23410.7,10093.0,,21726.0,18289.9,35177.8,26182.7,34233.0,,11277.7,29187.0,-19922.0,-6218.5,-2199.0,,-19841.3,-33159.0,,-21526.0,-24962.1,-8074.2,-17069.3,-9019.0,,-31974.3,-14065.0,True,True,,True,False,,False,False,True,True,True,,False,True
Pennsylvania,252837,98510.0,142930.5,160313.0,,97622.3,55491.0,,95114.0,93917.5,110399.9,170279.6,156648.5,,79542.8,92778.0,-154327.0,-109906.5,-92524.0,,-155214.7,-197346.0,,-157723.0,-158919.5,-142437.1,-82557.4,-96188.5,,-173294.2,-160059.0,True,True,,False,False,,False,False,True,True,True,,False,False
Rhode Island,34438,17530.0,15541.9,13488.0,,18980.6,14124.0,,19110.0,21165.8,14459.1,41551.1,28375.0,,10078.2,8235.0,-16908.0,-18896.1,-20950.0,,-15457.4,-20314.0,,-15328.0,-13272.2,-19978.9,7113.1,-6063.0,,-24359.8,-26203.0,False,False,,True,False,,True,True,False,True,True,,False,False
South Carolina,64056,40650.0,17538.6,49673.0,,36590.7,15199.0,,39632.0,38814.2,38494.6,33297.4,37678.0,,19222.7,32244.0,-23406.0,-46517.4,-14383.0,,-27465.3,-48857.0,,-24424.0,-25241.8,-25561.4,-30758.6,-26378.0,,-44833.3,-31812.0,False,True,,False,False,,False,False,False,False,False,,False,False
South Dakota,36431,39920.0,57480.2,36805.0,,39595.0,29300.0,,49049.0,34979.8,75324.6,73205.0,43600.0,,25035.3,4044.0,3489.0,21049.2,374.0,,3164.0,-7131.0,,12618.0,-1451.2,38893.6,36774.0,7169.0,,-11395.7,-32387.0,False,True,,True,False,,False,True,False,False,False,,False,False
Tennessee,164738,87715.0,57205.4,106716.0,,77183.8,44209.0,,105387.0,115351.8,95476.4,137999.6,96208.5,,80457.2,51372.0,-77023.0,-107532.6,-58022.0,,-87554.2,-120529.0,,-59351.0,-49386.2,-69261.6,-26738.4,-68529.5,,-84280.8,-113366.0,False,True,,False,False,,True,True,True,True,True,,False,False
Texas,441856,264000.0,394607.9,467333.0,,256299.7,77547.0,,268004.0,237928.0,383620.1,375443.9,317056.5,,128942.4,274025.0,-177856.0,-47248.1,25477.0,,-185556.3,-364309.0,,-173852.0,-203928.0,-58235.9,-66412.1,-124799.5,,-312913.6,-167831.0,True,True,,False,False,,True,False,True,True,True,,False,True
Utah,101586,77895.0,119048.0,99806.0,,69370.0,16815.0,,84443.0,67197.0,51323.7,142017.2,119267.0,,83055.2,46068.0,-23691.0,17462.0,-1780.0,,-32216.0,-84771.0,,-17143.0,-34389.0,-50262.3,40431.2,17681.0,,-18530.8,-55518.0,True,True,,False,False,,True,False,False,False,True,,True,False
Vermont,3279,840.0,29358.4,1774.0,,74.3,558.0,,801.0,805.0,5822.6,1987.3,1383.5,,669.3,1086.0,-2439.0,26079.4,-1505.0,,-3204.7,-2721.0,,-2478.0,-2474.0,2543.6,-1291.7,-1895.5,,-2609.7,-2193.0,False,True,,False,False,,False,False,False,True,True,,False,True
Virginia,87742,48415.0,10822.2,66210.0,,48724.7,20618.0,,39818.0,48270.4,75293.4,57262.8,61696.5,,33209.1,52171.0,-39327.0,-76919.8,-21532.0,,-39017.3,-67124.0,,-47924.0,-39471.6,-12448.6,-30479.2,-26045.5,,-54532.9,-35571.0,False,True,,True,False,,False,False,True,True,True,,False,True
Washington,88496,42550.0,58502.0,104407.0,,54091.9,14213.0,,34982.0,26950.3,42401.3,46314.1,54707.0,,33319.1,58111.0,-45946.0,-29994.0,15911.0,,-34404.1,-74283.0,,-53514.0,-61545.7,-46094.7,-42181.9,-33789.0,,-55176.9,-30385.0,True,True,,True,False,,False,False,False,True,True,,False,True
West Virginia,34542,15745.0,27628.4,27295.0,,15875.1,11626.0,,17449.0,16362.2,53917.7,28529.0,27106.5,,7611.8,10182.0,-18797.0,-6913.6,-7247.0,,-18666.9,-22916.0,,-17093.0,-18179.8,19375.7,-6013.0,-7435.5,,-26930.2,-24360.0,True,True,,True,False,,True,True,False,True,True,,False,False
Wisconsin,188488,188805.0,199060.9,210218.0,,173181.4,76275.0,,205248.0,207443.8,345334.1,246666.0,189623.5,,254691.9,93163.0,317.0,10572.9,21730.0,,-15306.6,-112213.0,,16760.0,18955.8,156846.1,58178.0,1135.5,,66203.9,-95325.0,False,False,,False,False,,False,False,False,False,False,,False,False
Wyoming,22310,16495.0,13135.6,15094.0,,15245.6,13162.0,,17149.0,14898.0,46889.8,33882.0,29029.5,,20138.9,7582.0,-5815.0,-9174.4,-7216.0,,-7064.4,-9148.0,,-5161.0,-7412.0,24579.8,11572.0,6719.5,,-2171.1,-14728.0,False,False,,False,False,,True,False,False,False,False,,True,False
US,6210760,3635770.0,4973703.9,5677796.0,8617692.0,4961306.8,3089260.0,4075142.0,3096351.0,3304602.7,4485128.5,6568537.8,6383660.5,4277794.0,4760711.5,3105465.5,-2574990.0,-1237056.1,-532964.0,2406932.0,-1249453.2,-3121500.0,-2135618.0,-3114409.0,-2906157.3,-1725631.5,357777.8,172900.5,-1932966.0,-1450048.5,-3105294.5,True,True,True,True,False,True,False,False,True,True,True,True,True,False
