,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01043,2812,2046.0,,2928.0,,,,,1113.0,,2443.1,149.5,3436.5,974.8,785.0,-766.0,,116.0,,,,,-1699.0,,-368.9,-2662.5,624.5,-1837.2,-2027.0,,True,,,,,False,,True,False,True,False,False
01045,824,930.0,,516.0,,,,,437.0,,1192.4,142.7,1392.0,475.4,608.0,106.0,,-308.0,,,,,-387.0,,368.4,-681.3,568.0,-348.6,-216.0,,False,,,,,False,,False,False,False,False,False
01047,581,246.0,,135.0,,,,,342.0,,104.2,56.2,360.0,161.8,321.0,-335.0,,-446.0,,,,,-239.0,,-476.8,-524.8,-221.0,-419.2,-260.0,,False,,,,,True,,False,False,True,False,True
01049,2099,1620.0,,1353.0,,,,,1192.0,,1649.3,211.7,1833.5,502.7,562.0,-479.0,,-746.0,,,,,-907.0,,-449.7,-1887.3,-265.5,-1596.3,-1537.0,,False,,,,,False,,True,False,True,False,False
01051,1605,654.0,,528.0,,,,,573.0,,710.4,233.8,593.0,373.2,402.0,-951.0,,-1077.0,,,,,-1032.0,,-894.6,-1371.2,-1012.0,-1231.8,-1203.0,,False,,,,,False,,True,False,False,False,False
01053,487,246.0,,25.0,,,,,505.0,,197.6,64.4,340.0,184.4,286.0,-241.0,,-462.0,,,,,18.0,,-289.4,-422.6,-147.0,-302.6,-201.0,,False,,,,,True,,False,False,True,False,True
01055,3397,1482.0,,2173.0,,,,,1334.0,,1374.1,301.3,1996.5,622.8,640.0,-1915.0,,-1224.0,,,,,-2063.0,,-2022.9,-3095.7,-1400.5,-2774.2,-2757.0,,True,,,,,False,,False,False,True,False,False
01057,547,204.0,,131.0,,,,,178.0,,240.2,61.4,257.0,,114.0,-343.0,,-416.0,,,,,-369.0,,-306.8,-485.6,-290.0,,-433.0,,False,,,,,False,,True,False,True,,False
01059,672,408.0,,179.0,,,,,519.0,,296.3,141.0,545.0,302.1,1448.0,-264.0,,-493.0,,,,,-153.0,,-375.7,-531.0,-127.0,-369.9,776.0,,False,,,,,True,,False,False,True,False,False
01061,425,426.0,,318.0,,,,,276.0,,681.6,161.3,467.0,,261.0,1.0,,-107.0,,,,,-149.0,,256.6,-263.7,42.0,,-164.0,,False,,,,,False,,False,False,False,,False
01063,194,54.0,,0.0,,,,,50.0,,38.8,14.5,4.0,,24.0,-140.0,,-194.0,,,,,-144.0,,-155.2,-179.5,-190.0,,-170.0,,False,,,,,False,,False,False,False,,False
01065,324,156.0,,66.0,,,,,164.0,,167.1,57.9,116.0,,51.0,-168.0,,-258.0,,,,,-160.0,,-156.9,-266.1,-208.0,,-273.0,,False,,,,,True,,True,False,False,,False
01067,235,216.0,,115.0,,,,,119.0,,806.7,72.3,217.0,,116.0,-19.0,,-120.0,,,,,-116.0,,571.7,-162.7,-18.0,,-119.0,,False,,,,,False,,False,False,True,,False
01069,1706,912.0,,1995.0,,,,,1042.0,,5123.3,523.0,1230.0,623.4,599.0,-794.0,,289.0,,,,,-664.0,,3417.3,-1183.0,-476.0,-1082.6,-1107.0,,True,,,,,True,,False,False,True,False,False
01071,1978,1032.0,,1335.0,,,,,894.0,,1041.8,193.4,1228.0,274.0,411.0,-946.0,,-643.0,,,,,-1084.0,,-936.2,-1784.6,-750.0,-1704.0,-1567.0,,True,,,,,False,,True,False,True,False,False
01073,15852,6936.0,,7979.0,,,,,4784.0,,5768.9,1557.4,8964.0,4240.8,6292.0,-8916.0,,-7873.0,,,,,-11068.0,,-10083.1,-14294.6,-6888.0,-11611.2,-9560.0,,True,,,,,False,,False,False,True,False,False
01075,312,240.0,,244.0,,,,,169.0,,447.3,39.2,302.0,,125.0,-72.0,,-68.0,,,,,-143.0,,135.3,-272.8,-10.0,,-187.0,,True,,,,,False,,False,False,True,,False
01077,2265,1218.0,,1565.0,,,,,1340.0,,2161.9,211.5,2349.0,518.0,1782.0,-1047.0,,-700.0,,,,,-925.0,,-103.1,-2053.5,84.0,-1747.0,-483.0,,True,,,,,True,,True,False,True,False,True
01079,625,396.0,,469.0,,,,,414.0,,466.2,94.1,457.0,,25.0,-229.0,,-156.0,,,,,-211.0,,-158.8,-530.9,-168.0,,-600.0,,True,,,,,True,,True,False,True,,False
01081,1969,1008.0,,2339.0,,,,,1299.0,,698.8,349.8,1308.0,851.2,982.0,-961.0,,370.0,,,,,-670.0,,-1270.2,-1619.2,-661.0,-1117.8,-987.0,,True,,,,,True,,False,False,True,False,False
01083,2127,1134.0,,962.0,,,,,1202.0,,1435.2,190.0,1032.0,581.4,1182.0,-993.0,,-1165.0,,,,,-925.0,,-691.8,-1937.0,-1095.0,-1545.6,-945.0,,False,,,,,True,,True,False,False,False,True
01085,128,102.0,,0.0,,,,,47.0,,78.7,20.9,65.0,,2.0,-26.0,,-128.0,,,,,-81.0,,-49.3,-107.1,-63.0,,-126.0,,False,,,,,False,,False,False,False,,False
01087,274,144.0,,67.0,,,,,90.0,,78.3,33.3,146.0,,334.0,-130.0,,-207.0,,,,,-184.0,,-195.7,-240.7,-128.0,,60.0,,False,,,,,False,,False,False,True,,True
01089,7019,2400.0,,2199.0,,,,,3301.0,,1946.3,726.7,3091.0,1551.6,907.0,-4619.0,,-4820.0,,,,,-3718.0,,-5072.7,-6292.3,-3928.0,-5467.4,-6112.0,,False,,,,,True,,False,False,True,False,False
01091,398,318.0,,0.0,,,,,271.0,,283.7,56.9,271.0,154.7,61.0,-80.0,,-398.0,,,,,-127.0,,-114.3,-341.1,-127.0,-243.3,-337.0,,False,,,,,False,,False,False,False,False,False
01093,547,270.0,,319.0,,,,,374.0,,284.2,69.3,419.0,211.7,228.0,-277.0,,-228.0,,,,,-173.0,,-262.8,-477.7,-128.0,-335.3,-319.0,,True,,,,,True,,True,False,True,False,False
01095,3181,936.0,,1239.0,,,,,1381.0,,694.3,231.2,1347.0,393.6,1163.0,-2245.0,,-1942.0,,,,,-1800.0,,-2486.7,-2949.8,-1834.0,-2787.4,-2018.0,,True,,,,,True,,False,False,True,False,True
01097,4772,2472.0,,3548.0,,,,,6645.0,,24151.4,636.9,3689.0,1323.1,911.0,-2300.0,,-1224.0,,,,,1873.0,,19379.4,-4135.1,-1083.0,-3448.9,-3861.0,,True,,,,,True,,False,False,True,False,False
01099,255,126.0,,33.0,,,,,218.0,,133.5,18.7,218.0,,78.0,-129.0,,-222.0,,,,,-37.0,,-121.5,-236.3,-37.0,,-177.0,,False,,,,,True,,True,False,True,,False
01101,2999,2742.0,,3375.0,,,,,1492.0,,3405.8,474.6,3702.0,1883.5,2380.0,-257.0,,376.0,,,,,-1507.0,,406.8,-2524.4,703.0,-1115.5,-619.0,,False,,,,,False,,False,False,False,False,False
01103,3868,2124.0,,2993.0,,,,,1450.0,,1571.4,272.2,1879.0,1085.9,1463.0,-1744.0,,-875.0,,,,,-2418.0,,-2296.6,-3595.8,-1989.0,-2782.1,-2405.0,,True,,,,,False,,False,False,False,False,False
01105,133,90.0,,0.0,,,,,51.0,,66.9,9.1,103.5,,107.0,-43.0,,-133.0,,,,,-82.0,,-66.1,-123.9,-29.5,,-26.0,,False,,,,,False,,False,False,True,,True
01107,470,414.0,,165.0,,,,,209.0,,375.1,64.2,606.0,,171.0,-56.0,,-305.0,,,,,-261.0,,-94.9,-405.8,136.0,,-299.0,,False,,,,,False,,False,False,False,,False
01109,344,264.0,,228.0,,,,,288.0,,213.7,93.9,305.0,211.0,359.0,-80.0,,-116.0,,,,,-56.0,,-130.3,-250.1,-39.0,-133.0,15.0,,False,,,,,True,,False,False,True,False,True
01111,255,216.0,,295.0,,,,,251.0,,204.4,112.2,205.0,,120.0,-39.0,,40.0,,,,,-4.0,,-50.6,-142.8,-50.0,,-135.0,,False,,,,,True,,False,False,False,,False
01113,460,360.0,,531.0,,,,,498.0,,318.0,80.4,401.5,223.5,385.0,-100.0,,71.0,,,,,38.0,,-142.0,-379.6,-58.5,-236.5,-75.0,,True,,,,,True,,False,False,True,False,True
01115,1979,1686.0,,1688.0,,,,,750.0,,1589.2,291.2,2513.0,897.0,230.0,-293.0,,-291.0,,,,,-1229.0,,-389.8,-1687.8,534.0,-1082.0,-1749.0,,True,,,,,False,,False,False,False,False,False
01117,4754,2268.0,,2260.0,,,,,1299.0,,2391.4,797.8,3152.5,1063.7,1692.0,-2486.0,,-2494.0,,,,,-3455.0,,-2362.6,-3956.2,-1601.5,-3690.3,-3062.0,,False,,,,,False,,True,False,True,False,False
01119,172,90.0,,26.0,,,,,97.0,,44.7,37.9,67.0,,91.0,-82.0,,-146.0,,,,,-75.0,,-127.3,-134.1,-105.0,,-81.0,,False,,,,,True,,False,False,False,,True
01121,1493,864.0,,627.0,,,,,781.0,,851.8,257.7,1073.0,621.9,463.0,-629.0,,-866.0,,,,,-712.0,,-641.2,-1235.3,-420.0,-871.1,-1030.0,,False,,,,,False,,False,False,True,False,False
01123,650,486.0,,224.0,,,,,343.0,,321.8,102.5,769.5,282.9,391.0,-164.0,,-426.0,,,,,-307.0,,-328.2,-547.5,119.5,-367.1,-259.0,,False,,,,,False,,False,False,True,False,False
01125,4609,2628.0,,2476.0,,,,,2170.0,,2321.3,982.5,3155.5,2362.4,1047.0,-1981.0,,-2133.0,,,,,-2439.0,,-2287.7,-3626.5,-1453.5,-2246.6,-3562.0,,False,,,,,False,,False,False,True,False,False
01127,1436,1062.0,,1465.0,,,,,803.0,,862.8,160.2,1132.5,564.1,514.0,-374.0,,29.0,,,,,-633.0,,-573.2,-1275.8,-303.5,-871.9,-922.0,,True,,,,,False,,False,False,True,False,False
01129,250,144.0,,2.0,,,,,301.0,,1385.8,32.4,169.0,,60.0,-106.0,,-248.0,,,,,51.0,,1135.8,-217.6,-81.0,,-190.0,,False,,,,,True,,False,False,True,,False
01131,202,36.0,,0.0,,,,,50.0,,49.8,9.3,37.0,,26.0,-166.0,,-202.0,,,,,-152.0,,-152.2,-192.7,-165.0,,-176.0,,False,,,,,True,,True,False,True,,False
01133,653,252.0,,218.0,,,,,323.0,,199.9,82.0,259.0,,190.0,-401.0,,-435.0,,,,,-330.0,,-453.1,-571.0,-394.0,,-463.0,,False,,,,,True,,False,False,True,,False
02013,29,0.0,,0.0,,,,,,,6.5,3.1,0.0,,0.0,-29.0,,-29.0,,,,,,,-22.5,-25.9,-29.0,,-29.0,,False,,,,,,,True,True,False,,False
02016,59,12.0,,0.0,,,,,,,5.5,0.6,7.0,,107.0,-47.0,,-59.0,,,,,,,-53.5,-58.4,-52.0,,48.0,,False,,,,,,,False,False,False,,False
02020,11651,7860.0,,12265.0,,,,,,,13132.4,2314.5,11877.5,7622.3,159.0,-3791.0,,614.0,,,,,,,1481.4,-9336.5,226.5,-4028.7,-11492.0,,True,,,,,,,True,False,True,False,False
02050,1456,636.0,,0.0,,,,,,,4031.0,35.6,1039.0,,190.0,-820.0,,-1456.0,,,,,,,2575.0,-1420.4,-417.0,,-1266.0,,False,,,,,,,False,False,True,,False
02060,0,0.0,,0.0,,,,,,,1.3,0.0,,,,0.0,,0.0,,,,,,,1.3,0.0,,,,,True,,,,,,,False,True,,,
02068,24,36.0,,0.0,,,,,,,235.3,8.2,21.0,,20.0,12.0,,-24.0,,,,,,,211.3,-15.8,-3.0,,-4.0,,False,,,,,,,False,False,True,,True
02070,49,90.0,,0.0,,,,,,,223.0,17.2,29.0,,74.0,41.0,,-49.0,,,,,,,174.0,-31.8,-20.0,,25.0,,False,,,,,,,False,True,True,,True
02090,1977,1824.0,,2228.0,,,,,,,2716.1,340.1,1235.0,2457.6,448.0,-153.0,,251.0,,,,,,,739.1,-1636.9,-742.0,480.6,-1529.0,,False,,,,,,,False,False,False,False,False
02100,6,6.0,,0.0,,,,,,,14.5,0.3,6.0,,4.0,0.0,,-6.0,,,,,,,8.5,-5.7,0.0,,-2.0,,False,,,,,,,False,False,True,,False
02105,0,0.0,,0.0,,,,,,,6.0,1.9,,,,0.0,,0.0,,,,,,,6.0,1.9,,,,,True,,,,,,,False,False,,,
02110,373,582.0,,1073.0,,,,,,,960.5,114.5,731.0,,547.0,209.0,,700.0,,,,,,,587.5,-258.5,358.0,,174.0,,False,,,,,,,False,False,False,,True
02122,2111,1548.0,,2321.0,,,,,,,3189.3,102.8,2725.5,,1114.0,-563.0,,210.0,,,,,,,1078.3,-2008.2,614.5,,-997.0,,True,,,,,,,False,False,False,,False
02130,137,42.0,,,,,,,,,12.5,7.8,28.0,,287.0,-95.0,,,,,,,,,-124.5,-129.2,-109.0,,150.0,,,,,,,,,False,False,False,,False
02150,542,156.0,,0.0,,,,,,,43.9,18.3,56.0,,316.0,-386.0,,-542.0,,,,,,,-498.1,-523.7,-486.0,,-226.0,,False,,,,,,,False,False,False,,True
02158,366,444.0,,131.0,,,,,,,4388.6,,597.5,,99.0,78.0,,-235.0,,,,,,,4022.6,,231.5,,-267.0,,False,,,,,,,False,,False,,False
02164,40,60.0,,,,,,,,,39.7,0.9,23.0,,0.0,20.0,,,,,,,,,-0.3,-39.1,-17.0,,-40.0,,,,,,,,,True,False,True,,False
02170,3901,2658.0,,0.0,,,,,,,15550.7,468.4,5446.0,1234.1,1110.0,-1243.0,,-3901.0,,,,,,,11649.7,-3432.6,1545.0,-2666.9,-2791.0,,False,,,,,,,False,False,False,False,False
02180,114,66.0,,0.0,,,,,,,198.7,12.9,41.0,,26.0,-48.0,,-114.0,,,,,,,84.7,-101.1,-73.0,,-88.0,,False,,,,,,,False,False,False,,False
02185,369,198.0,,0.0,,,,,,,453.8,35.3,250.0,,95.0,-171.0,,-369.0,,,,,,,84.8,-333.7,-119.0,,-274.0,,False,,,,,,,True,False,True,,False
02188,127,198.0,,0.0,,,,,,,214.0,18.9,93.0,,1.0,71.0,,-127.0,,,,,,,87.0,-108.1,-34.0,,-126.0,,False,,,,,,,False,False,True,,False
02195,10,24.0,,0.0,,,,,,,10.0,0.3,6.0,,65.0,14.0,,-10.0,,,,,,,0.0,-9.7,-4.0,,55.0,,True,,,,,,,True,True,True,,False
02198,30,6.0,,0.0,,,,,,,5.9,4.1,0.0,,26.0,-24.0,,-30.0,,,,,,,-24.1,-25.9,-30.0,,-4.0,,False,,,,,,,False,False,False,,True
02220,150,60.0,,,,,,,,,20.8,6.8,23.0,,161.0,-90.0,,,,,,,,,-129.2,-143.2,-127.0,,11.0,,,,,,,,,False,False,False,,True
02230,4,12.0,,0.0,,,,,,,636.2,16.9,,,2.0,8.0,,-4.0,,,,,,,632.2,12.9,,,-2.0,,True,,,,,,,False,False,,,True
02240,271,132.0,,0.0,,,,,,,301.7,3.3,198.0,,149.0,-139.0,,-271.0,,,,,,,30.7,-267.7,-73.0,,-122.0,,False,,,,,,,True,False,True,,True
02261,128,84.0,,,,,,,,,147.1,3.2,106.0,,133.0,-44.0,,,,,,,,,19.1,-124.8,-22.0,,5.0,,,,,,,,,True,False,True,,True
02275,5,0.0,,0.0,,,,,,,0.5,0.2,0.0,,0.0,-5.0,,-5.0,,,,,,,-4.5,-4.8,-5.0,,-5.0,,False,,,,,,,True,True,False,,False
02282,16,12.0,,0.0,,,,,,,21.2,0.0,6.0,,0.0,-4.0,,-16.0,,,,,,,5.2,-16.0,-10.0,,-16.0,,False,,,,,,,False,False,False,,False
02290,69,78.0,,0.0,,,,,,,134.7,0.9,24.0,,65.0,9.0,,-69.0,,,,,,,65.7,-68.1,-45.0,,-4.0,,False,,,,,,,False,False,False,,True
04001,2409,894.0,,690.0,,,,,1509.0,,502.0,478.0,805.0,374.3,104.0,-1515.0,,-1719.0,,,,,-900.0,,-1907.0,-1931.0,-1604.0,-2034.7,-2305.0,,False,,,,,True,,False,False,False,False,False
04003,2852,594.0,,1470.0,,,,,1126.0,,422.7,781.4,759.0,244.2,297.0,-2258.0,,-1382.0,,,,,-1726.0,,-2429.3,-2070.6,-2093.0,-2607.8,-2555.0,,True,,,,,True,,False,True,True,False,False
04005,3594,2304.0,,3152.0,,,,,1448.0,,1320.2,1321.2,2574.0,1010.4,1050.0,-1290.0,,-442.0,,,,,-2146.0,,-2273.8,-2272.8,-1020.0,-2583.6,-2544.0,,True,,,,,False,,False,False,True,False,False
04007,1608,852.0,,1023.0,,,,,627.0,,897.3,502.1,785.0,319.5,662.0,-756.0,,-585.0,,,,,-981.0,,-710.7,-1105.9,-823.0,-1288.5,-946.0,,True,,,,,False,,True,False,False,False,False
04009,1297,816.0,,1017.0,,,,,396.0,,1008.7,178.2,1355.0,343.2,470.0,-481.0,,-280.0,,,,,-901.0,,-288.3,-1118.8,58.0,-953.8,-827.0,,True,,,,,False,,True,False,True,False,False
04011,218,12.0,,0.0,,,,,118.0,,465.6,20.7,43.0,,5.0,-206.0,,-218.0,,,,,-100.0,,247.6,-197.3,-175.0,,-213.0,,False,,,,,True,,False,True,True,,False
04012,445,96.0,,81.0,,,,,63.0,,223.5,81.6,96.0,,39.0,-349.0,,-364.0,,,,,-382.0,,-221.5,-363.4,-349.0,,-406.0,,False,,,,,False,,True,False,False,,False
04013,91558,33504.0,,60852.0,,,,,22523.0,,21699.2,16454.8,40841.5,16339.5,30352.0,-58054.0,,-30706.0,,,,,-69035.0,,-69858.8,-75103.2,-50716.5,-75218.5,-61206.0,,True,,,,,False,,False,False,True,False,False
04015,3891,1044.0,,1021.0,,,,,1203.0,,638.2,1011.0,1957.0,616.6,909.0,-2847.0,,-2870.0,,,,,-2688.0,,-3252.8,-2880.0,-1934.0,-3274.4,-2982.0,,False,,,,,True,,False,False,True,False,False
04017,3077,1380.0,,314.0,,,,,1866.0,,604.0,605.7,2644.0,565.9,2119.0,-1697.0,,-2763.0,,,,,-1211.0,,-2473.0,-2471.3,-433.0,-2511.1,-958.0,,False,,,,,True,,False,False,True,False,True
04019,22254,7086.0,,80744.0,,,,,3692.0,,4233.2,7839.0,9146.0,3132.5,10096.0,-15168.0,,58490.0,,,,,-18562.0,,-18020.8,-14415.0,-13108.0,-19121.5,-12158.0,,False,,,,,False,,False,True,True,False,True
04021,8974,2568.0,,2878.0,,,,,1465.0,,1779.6,2548.4,3154.5,979.3,2015.0,-6406.0,,-6096.0,,,,,-7509.0,,-7194.4,-6425.6,-5819.5,-7994.7,-6959.0,,True,,,,,False,,False,False,True,False,False
04023,1795,432.0,,0.0,,,,,364.0,,201.3,225.7,612.0,176.2,21.0,-1363.0,,-1795.0,,,,,-1431.0,,-1593.7,-1569.3,-1183.0,-1618.8,-1774.0,,False,,,,,False,,False,False,True,False,False
04025,4721,888.0,,1599.0,,,,,1160.0,,745.8,982.9,1419.0,694.1,405.0,-3833.0,,-3122.0,,,,,-3561.0,,-3975.2,-3738.1,-3302.0,-4026.9,-4316.0,,True,,,,,True,,False,True,True,False,False
04027,7951,2580.0,,1879.0,,,,,731.0,,1703.5,1321.5,3347.0,1869.7,3396.0,-5371.0,,-6072.0,,,,,-7220.0,,-6247.5,-6629.5,-4604.0,-6081.3,-4555.0,,False,,,,,False,,False,False,True,False,True
05001,384,324.0,,300.0,,,,,239.0,,394.6,118.9,300.5,,17.0,-60.0,,-84.0,,,,,-145.0,,10.6,-265.1,-83.5,,-367.0,,False,,,,,False,,True,False,False,,False
05003,489,192.0,,0.0,,,,,193.0,,245.2,39.2,223.0,,256.0,-297.0,,-489.0,,,,,-296.0,,-243.8,-449.8,-266.0,,-233.0,,False,,,,,True,,True,False,True,,True
05005,905,636.0,,738.0,,,,,611.0,,1138.4,183.3,912.0,,546.0,-269.0,,-167.0,,,,,-294.0,,233.4,-721.7,7.0,,-359.0,,True,,,,,False,,True,False,True,,False
05007,5700,2856.0,,2475.0,,,,,3871.0,,2887.8,855.6,4257.5,1936.2,3071.0,-2844.0,,-3225.0,,,,,-1829.0,,-2812.2,-4844.4,-1442.5,-3763.8,-2629.0,,False,,,,,True,,True,False,True,False,True
05009,1066,408.0,,408.0,,,,,670.0,,494.8,122.6,541.0,,427.0,-658.0,,-658.0,,,,,-396.0,,-571.2,-943.4,-525.0,,-639.0,,False,,,,,True,,True,False,True,,True
05011,300,24.0,,0.0,,,,,110.0,,32.4,10.9,0.0,,4.0,-276.0,,-300.0,,,,,-190.0,,-267.6,-289.1,-300.0,,-296.0,,False,,,,,True,,True,False,False,,False
05013,119,54.0,,0.0,,,,,36.0,,109.4,15.0,71.0,,67.0,-65.0,,-119.0,,,,,-83.0,,-9.6,-104.0,-48.0,,-52.0,,False,,,,,False,,True,False,True,,True
05015,704,330.0,,206.0,,,,,342.0,,298.4,161.0,382.0,,161.0,-374.0,,-498.0,,,,,-362.0,,-405.6,-543.0,-322.0,,-543.0,,False,,,,,True,,False,False,True,,False
05017,245,36.0,,0.0,,,,,124.0,,59.2,16.3,35.0,13.9,10.0,-209.0,,-245.0,,,,,-121.0,,-185.8,-228.7,-210.0,-231.1,-235.0,,False,,,,,True,,True,False,False,False,False
05019,538,174.0,,155.0,,,,,247.0,,155.5,63.0,155.0,,172.0,-364.0,,-383.0,,,,,-291.0,,-382.5,-475.0,-383.0,,-366.0,,False,,,,,True,,False,False,False,,False
