,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,293,180.0,,182.3,,186.0,150.0,,,,,158.0,158.9,,,247.0,,197.4,,152.9,,184.0,190.4,,236.0,263.0,,,,,159.0,147.4,,,,,216.9,-113.0,,-110.7,,-107.0,-143.0,,,,,-135.0,-134.1,,,-46.0,,-95.6,,-140.1,,-109.0,-102.6,,-57.0,-30.0,,,,,-134.0,-145.6,,,,,-76.1,,True,,True,False,,,,,False,False,,,True,,True,,False,,True,True,,True,True,,,,,False,False,,,,,True
01023,31,12.0,,11.3,,12.0,0.0,,,,,25.6,11.8,,,58.0,,11.0,,11.6,,17.0,19.7,,18.0,46.0,,,,,,9.5,,,,,13.7,-19.0,,-19.7,,-19.0,-31.0,,,,,-5.4,-19.2,,,27.0,,-20.0,,-19.4,,-14.0,-11.3,,-13.0,15.0,,,,,,-21.5,,,,,-17.3,,False,,False,False,,,,,True,False,,,False,,False,,False,,True,True,,True,True,,,,,,False,,,,,True
01025,449,74.0,,73.4,,81.0,85.0,,,,,99.0,80.5,,,123.0,,54.1,,83.4,,91.0,80.5,,80.0,138.0,,,,,,69.1,,,,,96.8,-375.0,,-375.6,,-368.0,-364.0,,,,,-350.0,-368.5,,,-326.0,,-394.9,,-365.6,,-358.0,-368.5,,-369.0,-311.0,,,,,,-379.9,,,,,-352.2,,False,,True,True,,,,,True,True,,,True,,False,,True,,True,True,,True,True,,,,,,False,,,,,True
01027,79,72.0,,74.2,,71.0,55.0,,,,,61.5,63.1,,,76.0,,78.6,,31.0,,62.0,59.1,,80.0,92.0,,,,,,74.5,,,,,79.9,-7.0,,-4.8,,-8.0,-24.0,,,,,-17.5,-15.9,,,-3.0,,-0.4,,-48.0,,-17.0,-19.9,,1.0,13.0,,,,,,-4.5,,,,,0.9,,True,,False,False,,,,,False,False,,,True,,True,,False,,False,False,,True,False,,,,,,True,,,,,True
01029,106,64.0,,41.0,,64.0,78.0,,,,,63.7,52.2,,,85.0,,177.7,,42.7,,15.0,61.8,,116.0,95.0,,,,,,61.9,,,,,109.5,-42.0,,-65.0,,-42.0,-28.0,,,,,-42.3,-53.8,,,-21.0,,71.7,,-63.3,,-91.0,-44.2,,10.0,-11.0,,,,,,-44.1,,,,,3.5,,False,,False,True,,,,,False,False,,,True,,False,,False,,False,False,,True,True,,,,,,False,,,,,True
01031,432,346.0,,358.3,,281.0,233.0,,,,,210.5,248.1,,,229.0,,226.2,,247.6,,299.0,276.5,,349.0,407.0,,,,,323.3,418.3,,,,,538.9,-86.0,,-73.7,,-151.0,-199.0,,,,,-221.5,-183.9,,,-203.0,,-205.8,,-184.4,,-133.0,-155.5,,-83.0,-25.0,,,,,-108.7,-13.7,,,,,106.9,,True,,False,False,,,,,False,False,,,False,,False,,False,,False,False,,True,True,,,,,False,True,,,,,False
01033,687,392.0,,419.7,,364.0,309.0,,,,,324.2,340.6,,,456.0,,193.1,,275.0,,423.0,382.4,,420.0,474.0,,,,,277.0,447.1,,,,,422.0,-295.0,,-267.3,,-323.0,-378.0,,,,,-362.8,-346.4,,,-231.0,,-493.9,,-412.0,,-264.0,-304.6,,-267.0,-213.0,,,,,-410.0,-239.9,,,,,-265.0,,True,,False,False,,,,,False,False,,,True,,False,,False,,True,False,,True,True,,,,,False,True,,,,,True
01035,92,32.0,,34.4,,27.0,16.0,,,,,42.8,21.8,,,51.0,,26.1,,33.5,,1.0,23.7,,32.0,54.0,,,,,,28.5,,,,,37.2,-60.0,,-57.6,,-65.0,-76.0,,,,,-49.2,-70.2,,,-41.0,,-65.9,,-58.5,,-91.0,-68.3,,-60.0,-38.0,,,,,,-63.5,,,,,-54.8,,True,,False,False,,,,,True,False,,,True,,False,,True,,False,False,,False,True,,,,,,False,,,,,True
01037,86,80.0,,75.5,,63.0,63.0,,,,,42.4,36.9,,,43.0,,186.3,,20.5,,49.0,54.6,,113.0,83.0,,,,,,68.2,,,,,93.7,-6.0,,-10.5,,-23.0,-23.0,,,,,-43.6,-49.1,,,-43.0,,100.3,,-65.5,,-37.0,-31.4,,27.0,-3.0,,,,,,-17.8,,,,,7.7,,False,,False,False,,,,,False,False,,,False,,False,,False,,False,False,,False,True,,,,,,False,,,,,False
01039,328,146.0,,173.4,,150.0,79.0,,,,,130.7,127.0,,,184.0,,168.3,,126.4,,133.0,154.2,,163.0,210.0,,,,,131.9,157.0,,,,,183.6,-182.0,,-154.6,,-178.0,-249.0,,,,,-197.3,-201.0,,,-144.0,,-159.7,,-201.6,,-195.0,-173.8,,-165.0,-118.0,,,,,-196.1,-171.0,,,,,-144.4,,True,,True,False,,,,,False,False,,,True,,True,,False,,False,True,,True,True,,,,,False,True,,,,,True
01041,60,22.0,,30.1,,26.0,40.0,,,,,47.4,25.6,,,60.0,,21.8,,32.2,,10.0,28.8,,22.0,70.0,,,,,,34.4,,,,,29.8,-38.0,,-29.9,,-34.0,-20.0,,,,,-12.6,-34.4,,,0.0,,-38.2,,-27.8,,-50.0,-31.2,,-38.0,10.0,,,,,,-25.6,,,,,-30.2,,True,,True,True,,,,,True,True,,,True,,False,,True,,False,True,,False,True,,,,,,True,,,,,True
01043,1239,658.0,,638.2,,647.0,521.0,,,,,484.5,1120.3,,,705.0,,427.0,,477.3,,629.5,689.0,,601.0,745.0,,,,,687.1,490.9,,,,,846.4,-581.0,,-600.8,,-592.0,-718.0,,,,,-754.5,-118.7,,,-534.0,,-812.0,,-761.7,,-609.5,-550.0,,-638.0,-494.0,,,,,-551.9,-748.1,,,,,-392.6,,False,,False,False,,,,,False,True,,,True,,False,,False,,False,True,,False,True,,,,,True,False,,,,,True
01045,422,168.0,,181.0,,161.0,162.0,,,,,160.3,162.0,,,232.0,,69.3,,126.6,,123.0,175.8,,108.0,238.0,,,,,148.0,197.1,,,,,240.2,-254.0,,-241.0,,-261.0,-260.0,,,,,-261.7,-260.0,,,-190.0,,-352.7,,-295.4,,-299.0,-246.2,,-314.0,-184.0,,,,,-274.0,-224.9,,,,,-181.8,,True,,False,False,,,,,False,False,,,True,,False,,False,,False,True,,False,True,,,,,False,True,,,,,True
01047,225,148.0,,141.4,,154.0,260.0,,,,,150.0,115.2,,,172.0,,432.8,,140.3,,162.0,126.4,,218.0,203.0,,,,,107.3,93.8,,,,,162.6,-77.0,,-83.6,,-71.0,35.0,,,,,-75.0,-109.8,,,-53.0,,207.8,,-84.7,,-63.0,-98.6,,-7.0,-22.0,,,,,-117.7,-131.2,,,,,-62.4,,False,,True,True,,,,,True,False,,,True,,False,,False,,True,False,,True,True,,,,,False,False,,,,,True
01049,930,556.0,,543.9,,551.0,800.0,,,,,407.9,784.4,,,555.0,,842.2,,352.0,,500.0,546.5,,655.0,624.0,,,,,531.1,400.0,,,,,700.1,-374.0,,-386.1,,-379.0,-130.0,,,,,-522.1,-145.6,,,-375.0,,-87.8,,-578.0,,-430.0,-383.5,,-275.0,-306.0,,,,,-398.9,-530.0,,,,,-229.9,,False,,False,True,,,,,False,True,,,False,,True,,False,,False,False,,True,True,,,,,False,False,,,,,True
01051,841,366.0,,367.6,,364.0,250.0,,,,,326.3,397.6,,,356.0,,565.2,,294.7,,288.0,363.9,,437.0,537.0,,,,,360.2,397.0,,,,,398.5,-475.0,,-473.4,,-477.0,-591.0,,,,,-514.7,-443.4,,,-485.0,,-275.8,,-546.3,,-553.0,-477.1,,-404.0,-304.0,,,,,-480.8,-444.0,,,,,-442.5,,True,,False,False,,,,,False,True,,,False,,True,,False,,False,False,,True,True,,,,,False,True,,,,,True
01053,275,86.0,,85.9,,87.0,113.0,,,,,100.5,82.1,,,187.0,,151.5,,71.2,,64.0,72.4,,120.0,144.0,,,,,,113.2,,,,,109.9,-189.0,,-189.1,,-188.0,-162.0,,,,,-174.5,-192.9,,,-88.0,,-123.5,,-203.8,,-211.0,-202.6,,-155.0,-131.0,,,,,,-161.8,,,,,-165.1,,False,,True,True,,,,,True,False,,,True,,True,,False,,False,False,,True,True,,,,,,True,,,,,True
01055,1643,952.0,,933.3,,925.0,973.0,,,,,672.4,1150.3,,,730.0,,983.9,,732.4,,1265.0,855.3,,1175.0,1032.0,,,,,1138.3,900.3,,,,,1327.3,-691.0,,-709.7,,-718.0,-670.0,,,,,-970.6,-492.7,,,-913.0,,-659.1,,-910.6,,-378.0,-787.7,,-468.0,-611.0,,,,,-504.7,-742.7,,,,,-315.7,,False,,False,True,,,,,False,True,,,False,,True,,False,,True,False,,True,True,,,,,True,False,,,,,True
01057,244,196.0,,198.7,,196.0,80.0,,,,,104.3,120.0,,,125.0,,263.0,,91.5,,229.0,150.4,,272.0,189.0,,,,,,148.9,,,,,207.6,-48.0,,-45.3,,-48.0,-164.0,,,,,-139.7,-124.0,,,-119.0,,19.0,,-152.5,,-15.0,-93.6,,28.0,-55.0,,,,,,-95.1,,,,,-36.4,,True,,False,False,,,,,False,False,,,False,,True,,False,,True,False,,True,False,,,,,,False,,,,,True
01059,322,212.0,,204.7,,205.0,124.0,,,,,200.7,173.5,,,299.0,,201.4,,166.0,,220.0,204.7,,258.0,252.0,,,,,207.1,170.1,,,,,249.0,-110.0,,-117.3,,-117.0,-198.0,,,,,-121.3,-148.5,,,-23.0,,-120.6,,-156.0,,-102.0,-117.3,,-64.0,-70.0,,,,,-114.9,-151.9,,,,,-73.0,,False,,False,False,,,,,False,False,,,True,,False,,False,,True,False,,True,True,,,,,False,False,,,,,True
01061,177,132.0,,135.9,,133.0,103.0,,,,,100.9,95.3,,,134.0,,106.7,,94.3,,158.0,146.1,,125.0,169.0,,,,,,118.3,,,,,148.2,-45.0,,-41.1,,-44.0,-74.0,,,,,-76.1,-81.7,,,-43.0,,-70.3,,-82.7,,-19.0,-30.9,,-52.0,-8.0,,,,,,-58.7,,,,,-28.8,,True,,True,False,,,,,False,False,,,True,,False,,False,,True,True,,False,True,,,,,,False,,,,,True
01063,118,60.0,,61.2,,40.0,8.0,,,,,34.6,27.1,,,32.0,,117.8,,18.9,,22.0,39.7,,80.0,60.0,,,,,,38.7,,,,,86.0,-58.0,,-56.8,,-78.0,-110.0,,,,,-83.4,-90.9,,,-86.0,,-0.2,,-99.1,,-96.0,-78.3,,-38.0,-58.0,,,,,,-79.3,,,,,-32.0,,True,,False,False,,,,,False,False,,,False,,True,,False,,False,False,,True,False,,,,,,False,,,,,True
01065,152,120.0,,122.8,,105.0,86.0,,,,,76.4,75.7,,,73.0,,104.8,,62.6,,122.0,97.5,,134.0,127.0,,,,,,54.3,,,,,108.4,-32.0,,-29.2,,-47.0,-66.0,,,,,-75.6,-76.3,,,-79.0,,-47.2,,-89.4,,-30.0,-54.5,,-18.0,-25.0,,,,,,-97.7,,,,,-43.6,,True,,False,False,,,,,False,False,,,False,,False,,False,,True,False,,True,True,,,,,,False,,,,,False
01067,130,36.0,,33.8,,36.0,30.0,,,,,59.3,40.4,,,77.0,,26.4,,40.7,,45.0,65.5,,27.0,85.0,,,,,,42.4,,,,,65.2,-94.0,,-96.2,,-94.0,-100.0,,,,,-70.7,-89.6,,,-53.0,,-103.6,,-89.3,,-85.0,-64.5,,-103.0,-45.0,,,,,,-87.6,,,,,-64.8,,False,,False,False,,,,,True,True,,,True,,False,,True,,True,True,,False,True,,,,,,True,,,,,True
01069,768,522.0,,517.7,,555.0,636.0,,,,,447.7,608.7,,,448.0,,597.9,,319.8,,846.0,593.4,,676.0,698.0,,,,,510.6,560.0,,,,,577.1,-246.0,,-250.3,,-213.0,-132.0,,,,,-320.3,-159.3,,,-320.0,,-170.1,,-448.2,,78.0,-174.6,,-92.0,-70.0,,,,,-257.4,-208.0,,,,,-190.9,,False,,True,True,,,,,False,True,,,False,,True,,False,,True,True,,True,True,,,,,False,True,,,,,True
01071,1102,638.0,,675.7,,558.0,707.0,,,,,338.5,494.5,,,401.0,,464.4,,284.2,,546.0,569.6,,816.0,657.0,,,,,587.5,397.7,,,,,753.5,-464.0,,-426.3,,-544.0,-395.0,,,,,-763.5,-607.5,,,-701.0,,-637.6,,-817.8,,-556.0,-532.4,,-286.0,-445.0,,,,,-514.5,-704.3,,,,,-348.5,,True,,False,True,,,,,False,False,,,False,,False,,False,,False,False,,True,True,,,,,False,False,,,,,True
01073,7918,4574.0,,4469.9,5513.6,4465.0,3591.0,,,,,3194.5,6234.3,,,3740.0,,5674.2,,3146.7,,4862.5,4827.3,,6080.0,5465.0,,,,,4875.4,4052.7,3690.0,,,,5965.4,-3344.0,,-3448.1,-2404.4,-3453.0,-4327.0,,,,,-4723.5,-1683.7,,,-4178.0,,-2243.8,,-4771.3,,-3055.5,-3090.7,,-1838.0,-2453.0,,,,,-3042.6,-3865.3,-4228.0,,,,-1952.6,,False,True,False,False,,,,,False,True,,,False,,True,,False,,True,True,,True,True,,,,,True,False,False,,,,True
01075,162,140.0,,140.0,,98.0,87.0,,,,,64.7,70.8,,,98.0,,114.6,,47.7,,71.0,93.3,,164.0,134.0,,,,,,93.1,,,,,169.7,-22.0,,-22.0,,-64.0,-75.0,,,,,-97.3,-91.2,,,-64.0,,-47.4,,-114.3,,-91.0,-68.7,,2.0,-28.0,,,,,,-68.9,,,,,7.7,,False,,False,False,,,,,False,False,,,False,,False,,False,,False,False,,True,False,,,,,,False,,,,,True
01077,927,732.0,,698.2,,739.0,768.0,,,,,491.7,684.0,,,764.0,,917.1,,588.0,,986.5,690.4,,919.0,864.0,,,,,795.0,489.4,,,,,668.6,-195.0,,-228.8,,-188.0,-159.0,,,,,-435.3,-243.0,,,-163.0,,-9.9,,-339.0,,59.5,-236.6,,-8.0,-63.0,,,,,-132.0,-437.6,,,,,-258.4,,False,,True,True,,,,,False,False,,,True,,True,,False,,True,False,,True,True,,,,,True,False,,,,,False
01079,290,156.0,,165.5,,178.0,189.0,,,,,130.6,114.7,,,276.0,,438.5,,120.3,,175.0,183.1,,211.0,230.0,,,,,,114.5,,,,,207.0,-134.0,,-124.5,,-112.0,-101.0,,,,,-159.4,-175.3,,,-14.0,,148.5,,-169.7,,-115.0,-106.9,,-79.0,-60.0,,,,,,-175.5,,,,,-83.0,,True,,True,True,,,,,False,False,,,True,,False,,False,,True,True,,True,True,,,,,,False,,,,,True
01081,918,558.0,,558.2,,559.0,579.0,,,,,482.6,652.4,,,684.0,,513.7,,465.6,,643.0,556.7,,694.0,718.0,,,,,429.8,601.1,518.0,,,,567.9,-360.0,,-359.8,,-359.0,-339.0,,,,,-435.4,-265.6,,,-234.0,,-404.3,,-452.4,,-275.0,-361.3,,-224.0,-200.0,,,,,-488.2,-316.9,-400.0,,,,-350.1,,True,,True,True,,,,,False,True,,,True,,False,,False,,True,False,,True,True,,,,,False,True,False,,,,True
01083,993,562.0,,545.0,,585.0,521.0,,,,,428.4,864.1,,,633.0,,694.3,,403.9,,688.0,606.7,,711.0,697.0,,,,,523.7,514.8,,,,,694.3,-431.0,,-448.0,,-408.0,-472.0,,,,,-564.6,-128.9,,,-360.0,,-298.7,,-589.1,,-305.0,-386.3,,-282.0,-296.0,,,,,-469.3,-478.2,,,,,-298.7,,False,,True,False,,,,,False,True,,,True,,True,,False,,True,True,,True,True,,,,,False,False,,,,,True
01085,57,34.0,,28.7,,30.0,17.0,,,,,56.1,31.6,,,31.0,,47.0,,29.2,,26.0,31.8,,54.0,38.0,,,,,,15.1,,,,,42.7,-23.0,,-28.3,,-27.0,-40.0,,,,,-0.9,-25.4,,,-26.0,,-10.0,,-27.8,,-31.0,-25.2,,-3.0,-19.0,,,,,,-41.9,,,,,-14.3,,False,,False,False,,,,,True,False,,,False,,True,,False,,False,False,,True,True,,,,,,False,,,,,True
01087,101,98.0,,94.1,,84.0,135.0,,,,,60.1,56.3,,,55.0,,82.1,,62.6,,87.0,82.9,,100.0,106.0,,,,,,78.1,,,,,91.4,-3.0,,-6.9,,-17.0,34.0,,,,,-40.9,-44.7,,,-46.0,,-18.9,,-38.4,,-14.0,-18.1,,-1.0,5.0,,,,,,-22.9,,,,,-9.6,,False,,False,False,,,,,False,False,,,False,,False,,False,,False,False,,True,False,,,,,,False,,,,,False
01089,3537,2262.0,,2259.6,,2137.0,1923.0,,,,,1510.2,1833.8,,,1959.0,,1914.0,,1468.0,,2566.0,2373.1,,2965.0,2507.0,,,,,2414.0,2210.6,1953.0,,,,2625.6,-1275.0,,-1277.4,,-1400.0,-1614.0,,,,,-2026.8,-1703.2,,,-1578.0,,-1623.0,,-2069.0,,-971.0,-1163.9,,-572.0,-1030.0,,,,,-1123.0,-1326.4,-1584.0,,,,-911.4,,False,,False,False,,,,,False,False,,,False,,False,,False,,True,True,,True,True,,,,,True,False,False,,,,True
01091,244,108.0,,111.9,,105.0,28.0,,,,,83.7,77.6,,,100.0,,58.9,,58.4,,133.0,113.3,,122.0,128.0,,,,,,89.4,,,,,142.8,-136.0,,-132.1,,-139.0,-216.0,,,,,-160.3,-166.4,,,-144.0,,-185.1,,-185.7,,-111.0,-130.7,,-122.0,-116.0,,,,,,-154.6,,,,,-101.2,,True,,False,False,,,,,False,False,,,False,,False,,False,,True,True,,True,True,,,,,,False,,,,,True
