,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01031,605,378.0,,396.7,,421.0,482.0,,,,,540.2,,424.0,,509.9,,264.9,,431.0,458.0,,540.0,745.0,,,,,244.3,,,,,442.7,-227.0,,-208.3,,-184.0,-123.0,,,,,-64.8,,-181.0,,-95.1,,-340.1,,-174.0,-147.0,,-65.0,140.0,,,,,-360.7,,,,,-162.3,,True,,True,True,,,,,True,,True,,True,,False,,True,True,,True,True,,,,,False,,,,,True
01033,883,648.0,,677.0,,637.0,773.0,,,,,818.5,,848.0,,621.2,,490.2,,683.0,628.5,,1076.0,1068.0,,,,,349.0,,,,,649.5,-235.0,,-206.0,,-246.0,-110.0,,,,,-64.5,,-35.0,,-261.8,,-392.8,,-200.0,-254.5,,193.0,185.0,,,,,-534.0,,,,,-233.5,,True,,False,True,,,,,True,,True,,False,,False,,True,False,,True,True,,,,,False,,,,,True
01035,108,87.0,,89.1,,86.0,33.0,,,,,111.1,,90.0,,55.9,,52.6,,87.0,90.6,,124.0,160.0,,,,,,,,,,98.5,-21.0,,-18.9,,-22.0,-75.0,,,,,3.1,,-18.0,,-52.1,,-55.4,,-21.0,-17.4,,16.0,52.0,,,,,,,,,,-9.5,,True,,False,False,,,,,True,,True,,False,,False,,False,True,,True,False,,,,,,,,,,True
01037,126,111.0,,102.5,,105.0,110.0,,,,,141.7,,75.0,,902.0,,41.3,,92.5,104.9,,176.0,174.0,,,,,,,,,,151.1,-15.0,,-23.5,,-21.0,-16.0,,,,,15.7,,-51.0,,776.0,,-84.7,,-33.5,-21.1,,50.0,48.0,,,,,,,,,,25.1,,False,,False,False,,,,,False,,False,,False,,False,,False,False,,False,False,,,,,,,,,,False
01039,401,282.0,,319.5,,243.0,170.0,,,,,399.5,,353.0,,97.0,,217.7,,224.0,253.8,,316.0,507.0,,,,,169.3,,,,,302.1,-119.0,,-81.5,,-158.0,-231.0,,,,,-1.5,,-48.0,,-304.0,,-183.3,,-177.0,-147.2,,-85.0,106.0,,,,,-231.7,,,,,-98.9,,True,,False,False,,,,,True,,True,,False,,False,,False,False,,True,True,,,,,False,,,,,True
01041,71,87.0,,91.8,,85.0,31.0,,,,,128.0,,112.0,,30.2,,63.4,,64.0,98.3,,123.0,173.0,,,,,,,,,,94.4,16.0,,20.8,,14.0,-40.0,,,,,57.0,,41.0,,-40.8,,-7.6,,-7.0,27.3,,52.0,102.0,,,,,,,,,,23.4,,False,,True,False,,,,,False,,False,,False,,True,,True,False,,False,False,,,,,,,,,,False
01043,1568,1242.0,,1187.7,,1160.0,1178.0,,,,,1490.1,,1121.0,,1350.9,,931.2,,1128.0,1112.1,,1486.0,1745.0,,,,,561.5,,,,,1405.6,-326.0,,-380.3,,-408.0,-390.0,,,,,-77.9,,-447.0,,-217.1,,-636.8,,-440.0,-455.9,,-82.0,177.0,,,,,-1006.5,,,,,-162.4,,False,,False,False,,,,,True,,False,,True,,False,,False,False,,True,True,,,,,False,,,,,True
01045,506,255.0,,288.6,,269.0,327.0,,,,,410.8,,433.0,,256.6,,252.8,,293.0,219.3,,186.0,605.0,,,,,221.8,,,,,324.8,-251.0,,-217.4,,-237.0,-179.0,,,,,-95.2,,-73.0,,-249.4,,-253.2,,-213.0,-286.7,,-320.0,99.0,,,,,-284.2,,,,,-181.2,,True,,True,True,,,,,True,,True,,True,,False,,True,False,,False,True,,,,,False,,,,,True
01047,299,399.0,,395.2,,323.0,146.0,,,,,463.9,,287.0,,240.0,,236.4,,778.0,397.1,,571.0,563.0,,,,,241.3,,,,,344.8,100.0,,96.2,,24.0,-153.0,,,,,164.9,,-12.0,,-59.0,,-62.6,,479.0,98.1,,272.0,264.0,,,,,-57.7,,,,,45.8,,True,,True,False,,,,,False,,True,,True,,True,,False,True,,False,False,,,,,True,,,,,True
01049,1208,1206.0,,1161.8,,1169.0,1749.0,,,,,1331.9,,838.0,,1357.0,,696.4,,1540.0,1199.7,,1792.0,1612.0,,,,,782.3,,,,,906.3,-2.0,,-46.2,,-39.0,541.0,,,,,123.9,,-370.0,,149.0,,-511.6,,332.0,-8.3,,584.0,404.0,,,,,-425.7,,,,,-301.7,,False,,False,False,,,,,False,,False,,False,,False,,False,False,,False,False,,,,,False,,,,,False
01051,1024,783.0,,789.1,,768.0,1070.0,,,,,898.8,,613.0,,1283.1,,456.2,,827.0,825.2,,1166.0,1193.0,,,,,619.3,,,,,624.4,-241.0,,-234.9,,-256.0,46.0,,,,,-125.2,,-411.0,,259.1,,-567.8,,-197.0,-198.8,,142.0,169.0,,,,,-404.7,,,,,-399.6,,True,,False,True,,,,,True,,False,,False,,False,,True,True,,True,True,,,,,False,,,,,False
01053,318,213.0,,213.1,,205.0,21.0,,,,,273.7,,350.0,,212.2,,135.7,,157.0,205.5,,319.0,426.0,,,,,126.6,,,,,229.0,-105.0,,-104.9,,-113.0,-297.0,,,,,-44.3,,32.0,,-105.8,,-182.3,,-161.0,-112.5,,1.0,108.0,,,,,-191.4,,,,,-89.0,,True,,False,False,,,,,True,,True,,False,,False,,False,False,,True,False,,,,,False,,,,,True
01055,2119,1530.0,,1501.1,,1524.0,2046.0,,,,,1559.3,,1158.0,,2488.4,,900.8,,1892.0,1518.2,,2343.0,2075.0,,,,,874.0,,,,,1873.5,-589.0,,-617.9,,-595.0,-73.0,,,,,-559.7,,-961.0,,369.4,,-1218.2,,-227.0,-600.8,,224.0,-44.0,,,,,-1245.0,,,,,-245.5,,False,,False,True,,,,,True,,False,,True,,False,,True,False,,True,True,,,,,False,,,,,True
01057,342,273.0,,285.3,,249.0,154.0,,,,,325.9,,213.0,,219.5,,116.9,,372.0,291.6,,385.0,355.0,,,,,,,,,,240.3,-69.0,,-56.7,,-93.0,-188.0,,,,,-16.1,,-129.0,,-122.5,,-225.1,,30.0,-50.4,,43.0,13.0,,,,,,,,,,-101.7,,True,,False,False,,,,,True,,False,,False,,False,,True,True,,True,True,,,,,,,,,,False
01059,428,300.0,,290.4,,242.0,118.0,,,,,407.5,,524.0,,114.9,,247.4,,224.0,340.5,,382.0,505.0,,,,,205.5,,,,,247.9,-128.0,,-137.6,,-186.0,-310.0,,,,,-20.5,,96.0,,-313.1,,-180.6,,-204.0,-87.5,,-46.0,77.0,,,,,-222.5,,,,,-180.1,,False,,False,False,,,,,True,,True,,False,,False,,False,True,,True,True,,,,,False,,,,,False
01061,243,213.0,,221.2,,204.0,169.0,,,,,287.6,,251.0,,188.8,,152.4,,208.0,239.8,,224.0,365.0,,,,,166.9,,,,,202.5,-30.0,,-21.8,,-39.0,-74.0,,,,,44.6,,8.0,,-54.2,,-90.6,,-35.0,-3.2,,-19.0,122.0,,,,,-76.1,,,,,-40.5,,True,,False,False,,,,,False,,True,,False,,False,,False,True,,True,False,,,,,False,,,,,False
01063,148,66.0,,67.9,,67.0,0.0,,,,,84.9,,50.0,,161.4,,28.4,,116.0,72.2,,104.0,92.0,,,,,,,,,,72.6,-82.0,,-80.1,,-81.0,-148.0,,,,,-63.1,,-98.0,,13.4,,-119.6,,-32.0,-75.8,,-44.0,-56.0,,,,,,,,,,-75.4,,True,,True,False,,,,,True,,False,,True,,False,,True,True,,True,True,,,,,,,,,,True
01065,212,126.0,,129.4,,126.0,16.0,,,,,177.7,,127.0,,203.2,,79.1,,111.0,137.7,,215.0,171.0,,,,,,,,,,139.0,-86.0,,-82.6,,-86.0,-196.0,,,,,-34.3,,-85.0,,-8.8,,-132.9,,-101.0,-74.3,,3.0,-41.0,,,,,,,,,,-73.0,,True,,False,False,,,,,True,,True,,True,,False,,False,True,,True,True,,,,,,,,,,True
01067,148,78.0,,66.0,,62.0,21.0,,,,,159.3,,133.0,,17.3,,71.2,,56.0,91.2,,63.0,195.0,,,,,,,,,,80.2,-70.0,,-82.0,,-86.0,-127.0,,,,,11.3,,-15.0,,-130.7,,-76.8,,-92.0,-56.8,,-85.0,47.0,,,,,,,,,,-67.8,,False,,False,False,,,,,True,,True,,False,,False,,False,True,,False,True,,,,,,,,,,True
01069,1029,846.0,,792.4,,838.0,1396.0,,,,,986.9,,831.0,,820.9,,595.4,,1174.0,1052.3,,1308.0,1489.0,,,,,639.4,,,,,750.2,-183.0,,-236.6,,-191.0,367.0,,,,,-42.1,,-198.0,,-208.1,,-433.6,,145.0,23.3,,279.0,460.0,,,,,-389.6,,,,,-278.8,,False,,False,False,,,,,True,,False,,False,,False,,True,True,,False,False,,,,,False,,,,,False
01071,1421,591.0,,621.1,,568.0,451.0,,,,,812.9,,688.0,,474.4,,425.6,,558.0,624.7,,823.0,953.0,,,,,326.5,,,,,587.1,-830.0,,-799.9,,-853.0,-970.0,,,,,-608.1,,-733.0,,-946.6,,-995.4,,-863.0,-796.3,,-598.0,-468.0,,,,,-1094.5,,,,,-833.9,,True,,False,False,,,,,True,,True,,False,,False,,False,True,,True,True,,,,,False,,,,,False
01073,10205,7344.0,,7219.5,10309.3,7447.0,7930.0,,,,,5495.4,,5253.0,,10280.3,,4430.3,,9653.0,8648.5,,11084.0,10007.0,,,,,4263.3,7360.0,,,,6176.9,-2861.0,,-2985.5,104.3,-2758.0,-2275.0,,,,,-4709.6,,-4952.0,,75.3,,-5774.7,,-552.0,-1556.5,,879.0,-198.0,,,,,-5941.7,-2845.0,,,,-4028.1,,False,True,True,True,,,,,False,,False,,True,,False,,True,True,,True,True,,,,,False,True,,,,False
01075,232,84.0,,81.1,,79.0,68.0,,,,,146.0,,169.0,,32.6,,64.3,,70.0,138.8,,78.0,171.0,,,,,,,,,,84.0,-148.0,,-150.9,,-153.0,-164.0,,,,,-86.0,,-63.0,,-199.4,,-167.7,,-162.0,-93.2,,-154.0,-61.0,,,,,,,,,,-148.0,,False,,False,False,,,,,True,,True,,False,,False,,False,True,,False,True,,,,,,,,,,False
01077,1293,1359.0,,1263.6,,1352.0,1585.0,,,,,1405.2,,1369.0,,1462.3,,730.0,,2138.0,1549.6,,1986.0,1969.0,,,,,832.9,,,,,852.0,66.0,,-29.4,,59.0,292.0,,,,,112.2,,76.0,,169.3,,-563.0,,845.0,256.6,,693.0,676.0,,,,,-460.1,,,,,-441.0,,True,,True,False,,,,,False,,False,,False,,False,,False,False,,False,False,,,,,False,,,,,False
01079,368,390.0,,398.2,,394.0,324.0,,,,,479.4,,489.0,,513.6,,197.8,,700.0,406.5,,530.0,562.0,,,,,247.5,,,,,291.1,22.0,,30.2,,26.0,-44.0,,,,,111.4,,121.0,,145.6,,-170.2,,332.0,38.5,,162.0,194.0,,,,,-120.5,,,,,-76.9,,False,,False,False,,,,,False,,False,,False,,False,,False,False,,False,False,,,,,False,,,,,False
01081,1197,891.0,,890.0,,1022.0,1005.0,,,,,1008.7,,1139.0,,1749.3,,563.6,,1311.0,1195.8,,1528.0,1855.0,,,,,513.2,1194.0,,,,1045.8,-306.0,,-307.0,,-175.0,-192.0,,,,,-188.3,,-58.0,,552.3,,-633.4,,114.0,-1.2,,331.0,658.0,,,,,-683.8,-3.0,,,,-151.2,,False,,True,True,,,,,True,,True,,False,,False,,True,True,,False,False,,,,,False,True,,,,True
01083,1274,1065.0,,1044.8,,1059.0,1232.0,,,,,1259.9,,1061.0,,780.0,,616.3,,1298.0,1152.4,,1610.0,1588.0,,,,,635.6,,,,,1244.1,-209.0,,-229.2,,-215.0,-42.0,,,,,-14.1,,-213.0,,-494.0,,-657.7,,24.0,-121.6,,336.0,314.0,,,,,-638.4,,,,,-29.9,,False,,False,True,,,,,True,,False,,False,,False,,True,True,,False,False,,,,,False,,,,,True
01085,74,72.0,,66.2,,59.0,0.0,,,,,113.9,,53.0,,58.3,,40.9,,55.0,85.7,,104.0,110.0,,,,,,,,,,66.8,-2.0,,-7.8,,-15.0,-74.0,,,,,39.9,,-21.0,,-15.7,,-33.1,,-19.0,11.7,,30.0,36.0,,,,,,,,,,-7.2,,False,,False,False,,,,,False,,False,,False,,False,,False,False,,False,False,,,,,,,,,,False
01087,150,117.0,,110.7,,109.0,195.0,,,,,170.0,,96.0,,84.5,,82.7,,108.0,131.0,,155.0,211.0,,,,,,,,,,129.4,-33.0,,-39.3,,-41.0,45.0,,,,,20.0,,-54.0,,-65.5,,-67.3,,-42.0,-19.0,,5.0,61.0,,,,,,,,,,-20.6,,False,,False,False,,,,,True,,False,,False,,False,,False,True,,True,False,,,,,,,,,,True
01089,4668,2811.0,,2803.0,,2826.0,2262.0,,,,,2593.0,,2906.0,,5953.9,,2248.3,,3414.0,2776.0,,4457.0,4463.0,,,,,1531.5,4216.0,,,,3295.5,-1857.0,,-1865.0,,-1842.0,-2406.0,,,,,-2075.0,,-1762.0,,1285.9,,-2419.7,,-1254.0,-1892.0,,-211.0,-205.0,,,,,-3136.5,-452.0,,,,-1372.5,,False,,True,False,,,,,False,,True,,True,,False,,True,False,,True,True,,,,,False,True,,,,True
01091,298,93.0,,92.7,,86.0,0.0,,,,,173.3,,176.0,,52.4,,99.6,,60.0,108.5,,55.0,227.0,,,,,89.3,,,,,106.0,-205.0,,-205.3,,-212.0,-298.0,,,,,-124.7,,-122.0,,-245.6,,-198.4,,-238.0,-189.5,,-243.0,-71.0,,,,,-208.7,,,,,-192.0,,False,,False,False,,,,,True,,True,,False,,True,,False,True,,False,True,,,,,False,,,,,True
01093,339,201.0,,180.8,,180.0,248.0,,,,,272.7,,398.0,,150.8,,126.2,,167.0,207.5,,229.0,379.0,,,,,137.8,,,,,185.8,-138.0,,-158.2,,-159.0,-91.0,,,,,-66.3,,59.0,,-188.2,,-212.8,,-172.0,-131.5,,-110.0,40.0,,,,,-201.2,,,,,-153.2,,False,,False,True,,,,,True,,True,,False,,False,,False,True,,True,True,,,,,False,,,,,False
01095,2026,1401.0,,1396.6,,1410.0,1774.0,,,,,1388.7,,1151.0,,2662.4,,959.6,,2166.0,1472.8,,2165.0,1949.0,,,,,776.6,,,,,1431.7,-625.0,,-629.4,,-616.0,-252.0,,,,,-637.3,,-875.0,,636.4,,-1066.4,,140.0,-553.2,,139.0,-77.0,,,,,-1249.4,,,,,-594.3,,False,,True,True,,,,,False,,False,,False,,False,,True,True,,True,True,,,,,False,,,,,True
01097,2845,2232.0,,2497.2,3415.8,2420.0,8875.0,,,,,1793.3,,2880.0,,2176.8,,2168.0,,3125.5,3242.7,,3626.0,4423.0,,,,,1304.0,1816.0,,,,2153.9,-613.0,,-347.8,570.8,-425.0,6030.0,,,,,-1051.7,,35.0,,-668.2,,-677.0,,280.5,397.7,,781.0,1578.0,,,,,-1541.0,-1029.0,,,,-691.1,,True,True,True,False,,,,,False,,True,,False,,False,,True,True,,False,False,,,,,False,False,,,,False
01099,156,129.0,,127.2,,128.0,109.0,,,,,171.6,,160.0,,113.1,,64.0,,136.0,136.9,,193.0,253.0,,,,,,,,,,146.8,-27.0,,-28.8,,-28.0,-47.0,,,,,15.6,,4.0,,-42.9,,-92.0,,-20.0,-19.1,,37.0,97.0,,,,,,,,,,-9.2,,False,,False,False,,,,,True,,True,,False,,False,,True,True,,False,False,,,,,,,,,,True
01101,1719,1272.0,,1321.5,,1249.0,1592.0,,,,,1244.9,,1554.0,,1200.5,,1383.3,,1049.0,1340.3,,1191.0,2328.0,,,,,1036.5,888.0,,,,1287.2,-447.0,,-397.5,,-470.0,-127.0,,,,,-474.1,,-165.0,,-518.5,,-335.7,,-670.0,-378.7,,-528.0,609.0,,,,,-682.5,-831.0,,,,-431.8,,True,,False,True,,,,,False,,True,,False,,True,,False,True,,False,False,,,,,False,False,,,,True
01103,2362,2094.0,,2105.2,,2092.0,2832.0,,,,,2099.2,,1428.0,,2449.7,,1179.0,,2719.0,2279.8,,3010.0,2727.0,,,,,1191.9,,,,,1964.1,-268.0,,-256.8,,-270.0,470.0,,,,,-262.8,,-934.0,,87.7,,-1183.0,,357.0,-82.2,,648.0,365.0,,,,,-1170.1,,,,,-397.9,,True,,False,False,,,,,True,,False,,True,,False,,False,True,,False,False,,,,,False,,,,,False
