,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,115135,71472.0,28776.2,87329.7,75088.0,90076.0,,25392.0,110661.7,267979.5,,61260.0,123125.9,36731.7,122039.0,60061.8,69379.0,88784.3,77692.5,85033.8,155664.1,,92605.3,18113.8,,29681.5,269666.5,73658.4,10339.2,59016.0,87411.0,-43663.0,-86358.8,-27805.3,-40047.0,-25059.0,,-89743.0,-4473.3,152844.5,,-53875.0,7990.9,-78403.3,6904.0,-55073.2,-45756.0,-26350.7,-37442.5,-30101.2,40529.1,,-22529.7,-97021.2,,-85453.5,154531.5,-41476.6,-104795.8,-56119.0,-27724.0,False,True,True,True,,False,True,False,,False,True,False,True,False,False,True,True,True,True,,True,False,,False,False,True,False,False,True
Hawaii,2752,2832.0,706.1,2696.1,2699.0,1818.0,,1009.0,1690.8,3017.7,,,3952.9,2589.8,4773.0,7488.3,2850.5,2068.7,2655.0,3018.4,3505.4,,2951.6,1879.2,,1428.3,3559.7,4661.3,1534.5,2177.0,2932.1,80.0,-2045.9,-55.9,-53.0,-934.0,,-1743.0,-1061.2,265.7,,,1200.9,-162.2,2021.0,4736.3,98.5,-683.3,-97.0,266.4,753.4,,199.6,-872.8,,-1323.7,807.7,1909.3,-1217.5,-575.0,180.1,False,True,True,False,,False,False,False,,,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Idaho,39315,36020.0,49158.4,36574.6,41599.0,36294.0,,14173.0,69486.3,54460.0,,39428.0,50773.4,46009.9,59392.0,19680.8,45332.0,56235.4,41241.5,46348.7,46995.9,,52743.0,32096.6,,19396.7,45283.8,36213.4,21885.3,18426.0,49457.0,-3295.0,9843.4,-2740.4,2284.0,-3021.0,,-25142.0,30171.3,15145.0,,113.0,11458.4,6694.9,20077.0,-19634.2,6017.0,16920.4,1926.5,7033.7,7680.9,,13428.0,-7218.4,,-19918.3,5968.8,-3101.6,-17429.7,-20889.0,10142.0,False,True,True,True,,False,False,False,,True,False,False,False,False,False,False,True,False,False,,False,False,,False,False,True,False,False,False
Illinois,278703,340028.0,594758.3,346836.2,406867.0,342561.0,,370267.0,566293.3,544276.2,,299602.0,408627.8,800142.1,412875.0,251309.2,525845.5,700001.0,582635.5,413748.4,441384.1,,454191.9,101909.5,,173473.3,388120.5,756859.4,211118.3,184996.0,615344.0,61325.0,316055.3,68133.2,128164.0,63858.0,,91564.0,287590.3,265573.2,,20899.0,129924.8,521439.1,134172.0,-27393.8,247142.5,421298.0,303932.5,135045.4,162681.1,,175488.9,-176793.5,,-105229.7,109417.5,478156.4,-67584.7,-93707.0,336641.0,False,False,False,False,,False,False,False,,True,False,False,False,True,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Indiana,174649,156660.0,216825.0,156218.5,221772.0,202950.0,,441939.0,274454.7,196475.5,,176775.0,181810.5,306606.5,237477.0,130321.8,214553.0,258490.0,293763.0,263943.7,249158.8,,208944.2,52041.9,,132512.9,162652.9,514118.8,157512.5,265772.0,278809.8,-17989.0,42176.0,-18430.5,47123.0,28301.0,,267290.0,99805.7,21826.5,,2126.0,7161.5,131957.5,62828.0,-44327.2,39904.0,83841.0,119114.0,89294.7,74509.8,,34295.2,-122607.1,,-42136.1,-11996.1,339469.8,-17136.5,91123.0,104160.8,False,False,False,False,,False,False,False,,True,True,False,False,False,False,False,False,False,False,,False,False,,False,True,False,True,False,False
Iowa,71454,133204.0,213385.7,128317.0,157780.0,144827.0,,192628.0,159545.4,213759.2,,127596.0,134965.8,337466.5,200210.0,76892.8,218276.5,337912.3,215722.0,141401.6,181523.4,,194134.4,53541.1,,83982.1,125230.1,211788.5,45168.1,173109.0,169877.4,61750.0,141931.7,56863.0,86326.0,73373.0,,121174.0,88091.4,142305.2,,56142.0,63511.8,266012.5,128756.0,5438.8,146822.5,266458.3,144268.0,69947.6,110069.4,,122680.4,-17912.9,,12528.1,53776.1,140334.5,-26285.9,101655.0,98423.4,False,True,False,False,,False,False,False,,True,False,False,False,True,False,False,False,False,False,,False,True,,True,True,False,True,False,False
Kansas,70839,71004.0,99215.6,71294.5,69854.0,82069.0,,34533.0,45611.9,91147.7,,77873.0,70059.8,65548.3,103606.0,44205.6,92655.0,147740.9,54772.5,52131.9,75781.9,,73037.2,74773.7,,49351.5,72763.7,113875.6,29623.2,28765.0,97900.7,165.0,28376.6,455.5,-985.0,11230.0,,-36306.0,-25227.1,20308.7,,7034.0,-779.2,-5290.7,32767.0,-26633.4,21816.0,76901.9,-16066.5,-18707.1,4942.9,,2198.2,3934.7,,-21487.5,1924.7,43036.6,-41215.8,-42074.0,27061.7,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Kentucky,84522,65904.0,107172.1,64723.3,81589.0,82841.0,,31040.0,160507.2,106029.2,,59136.0,84567.0,81687.6,106098.0,51080.2,83207.0,80102.0,79947.5,91067.7,86312.5,,90788.0,65519.6,,61612.0,77095.9,112036.5,59156.8,95965.0,76568.7,-18618.0,22650.1,-19798.7,-2933.0,-1681.0,,-53482.0,75985.2,21507.2,,-25386.0,45.0,-2834.4,21576.0,-33441.8,-1315.0,-4420.0,-4574.5,6545.7,1790.5,,6266.0,-19002.4,,-22910.0,-7426.1,27514.5,-25365.2,11443.0,-7953.3,False,False,True,True,,False,False,False,,False,True,True,False,False,True,True,True,True,True,,True,False,,False,True,False,False,True,True
Louisiana,62210,41064.0,48902.2,37882.1,36139.0,44761.0,,5782.0,207776.1,242403.5,,34532.0,25048.7,126863.5,62301.0,32096.3,32197.0,25998.2,22080.5,32401.9,43946.2,,55943.8,5011.6,,26734.7,25448.6,54426.0,29210.8,45680.0,40028.5,-21146.0,-13307.8,-24327.9,-26071.0,-17449.0,,-56428.0,145566.1,180193.5,,-27678.0,-37161.3,64653.5,91.0,-30113.7,-30013.0,-36211.8,-40129.5,-29808.1,-18263.8,,-6266.2,-57198.4,,-35475.3,-36761.4,-7784.0,-32999.2,-16530.0,-22181.5,True,False,False,True,,False,False,False,,False,False,False,True,False,False,False,False,False,True,,True,False,,False,False,True,False,True,False
Maine,6829,4764.0,7614.1,4779.0,6486.0,10142.0,,34703.0,4947.4,17333.4,,5248.0,5023.1,41612.3,7401.0,9184.1,6343.0,29225.6,5494.0,6882.6,7865.8,,6744.6,1995.7,,3137.7,5453.1,9263.5,6604.1,5937.0,11024.7,-2065.0,785.1,-2050.0,-343.0,3313.0,,27874.0,-1881.6,10504.4,,-1581.0,-1805.9,34783.3,572.0,2355.1,-486.0,22396.6,-1335.0,53.6,1036.8,,-84.4,-4833.3,,-3691.3,-1375.9,2434.5,-224.9,-892.0,4195.7,True,True,True,False,,False,True,False,,True,True,False,True,False,True,False,True,True,True,,True,False,,False,True,False,True,True,False
Maryland,67919,44700.0,94342.3,46075.5,62123.0,65140.0,,33091.0,71884.3,74621.8,,42738.0,60841.8,85074.3,70013.0,52970.4,48609.0,116056.6,70162.5,75310.5,67492.8,,74283.1,8762.4,,27042.3,43454.1,87920.7,73920.2,48519.0,59162.1,-23219.0,26423.3,-21843.5,-5796.0,-2779.0,,-34828.0,3965.3,6702.8,,-25181.0,-7077.2,17155.3,2094.0,-14948.6,-19310.0,48137.6,2243.5,7391.5,-426.2,,6364.1,-59156.6,,-40876.7,-24464.9,20001.7,6001.2,-19400.0,-8756.9,False,True,True,True,,False,True,True,,False,True,True,True,True,True,False,True,True,True,,True,False,,False,False,True,True,True,True
Massachusetts,99583,66264.0,75834.4,66658.5,87179.0,86019.0,,41505.0,120931.0,244593.9,,73654.0,79743.6,144325.5,108182.0,89340.5,86150.0,158793.1,99672.0,100701.6,96534.2,,92894.9,69701.0,,52546.2,70011.4,169146.3,100433.1,67513.0,98405.5,-33319.0,-23748.6,-32924.5,-12404.0,-13564.0,,-58078.0,21348.0,145010.9,,-25929.0,-19839.4,44742.5,8599.0,-10242.5,-13433.0,59210.1,89.0,1118.6,-3048.8,,-6688.1,-29882.0,,-47036.8,-29571.6,69563.3,850.1,-32070.0,-1177.5,True,True,True,True,,False,True,False,,True,True,False,True,True,True,False,True,True,True,,True,True,,False,True,False,True,True,True
Michigan,189367,186876.0,354308.3,183913.7,266926.0,236685.0,,559568.0,419690.1,255936.6,,207145.0,212231.9,345829.6,290283.0,233088.6,290877.5,413921.8,325981.0,229090.2,250862.8,,278342.6,368012.0,,143502.4,200431.3,552324.7,128760.1,332556.0,321431.8,-2491.0,164941.3,-5453.3,77559.0,47318.0,,370201.0,230323.1,66569.6,,17778.0,22864.9,156462.6,100916.0,43721.6,101510.5,224554.8,136614.0,39723.2,61495.8,,88975.6,178645.0,,-45864.6,11064.3,362957.7,-60606.9,143189.0,132064.8,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Minnesota,159370,164296.0,363176.7,168640.9,232071.0,206456.0,,267559.0,247214.9,235754.1,,244402.0,166292.4,450994.1,228031.0,116531.4,254719.0,281917.7,389503.0,266042.2,247295.0,,238206.0,45667.9,,94409.5,155182.8,489217.2,161799.8,103483.0,306006.5,4926.0,203806.7,9270.9,72701.0,47086.0,,108189.0,87844.9,76384.1,,85032.0,6922.4,291624.1,68661.0,-42838.6,95349.0,122547.7,230133.0,106672.2,87925.0,,78836.0,-113702.1,,-64960.5,-4187.2,329847.2,2429.8,-55887.0,146636.5,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True,False,True,False,False
Mississippi,44607,29820.0,34285.6,30285.0,31878.0,26109.0,,9489.0,47690.4,32074.4,,33110.0,39990.0,41401.6,47029.0,22049.4,28455.5,31507.0,35093.5,42361.9,39417.9,,28218.2,17186.7,,24834.5,31986.3,27333.4,32244.6,25355.0,34816.3,-14787.0,-10321.4,-14322.0,-12729.0,-18498.0,,-35118.0,3083.4,-12532.6,,-11497.0,-4617.0,-3205.4,2422.0,-22557.6,-16151.5,-13100.0,-9513.5,-2245.1,-5189.1,,-16388.8,-27420.3,,-19772.5,-12620.7,-17273.6,-12362.4,-19252.0,-9790.7,True,True,True,False,,False,True,True,,True,True,True,True,False,False,True,True,True,True,,False,False,,False,True,False,True,False,True
Missouri,106416,139284.0,247622.5,141517.0,145257.0,156349.0,,51803.0,136132.2,232106.4,,128905.0,162382.9,248247.8,204391.0,69254.3,164822.5,219415.9,143332.5,162736.2,168156.9,,105974.6,76164.3,,95544.9,128768.6,186537.6,86404.5,39129.0,161028.5,32868.0,141206.5,35101.0,38841.0,49933.0,,-54613.0,29716.2,125690.4,,22489.0,55966.9,141831.8,97975.0,-37161.7,58406.5,112999.9,36916.5,56320.2,61740.9,,-441.4,-30251.7,,-10871.1,22352.6,80121.6,-20011.5,-67287.0,54612.5,False,False,False,False,,False,True,False,,True,False,False,False,False,False,False,False,False,False,,True,True,,True,True,False,True,False,False
Montana,26758,27752.0,23116.1,27827.0,31549.0,24666.0,,21188.0,43258.8,29855.1,,31343.0,38862.6,27820.9,42240.0,13635.1,38020.0,36127.3,32150.5,44344.8,38128.8,,50982.4,48604.0,,13227.0,38449.3,38892.5,29749.2,10963.0,34346.4,994.0,-3641.9,1069.0,4791.0,-2092.0,,-5570.0,16500.8,3097.1,,4585.0,12104.6,1062.9,15482.0,-13122.9,11262.0,9369.3,5392.5,17586.8,11370.8,,24224.4,21846.0,,-13531.0,11691.3,12134.5,2991.2,-15795.0,7588.4,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Nebraska,50854,57756.0,135827.8,56640.7,70929.0,49630.0,,64656.0,109590.0,77136.2,,64856.0,74282.1,115506.3,90635.0,35431.3,82254.5,112305.1,83485.5,68749.3,83392.3,,87758.7,53415.9,,53021.1,67553.9,87418.8,26382.5,23344.0,65041.0,6902.0,84973.8,5786.7,20075.0,-1224.0,,13802.0,58736.0,26282.2,,14002.0,23428.1,64652.3,39781.0,-15422.7,31400.5,61451.1,32631.5,17895.3,32538.3,,36904.7,2561.9,,2167.1,16699.9,36564.8,-24471.5,-27510.0,14187.0,False,True,False,True,,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,True,,True,False,False,False,False,False
Nevada,64943,41040.0,50610.6,40418.7,49214.0,51021.0,,9429.0,55075.1,44280.9,,37254.0,53228.1,65937.7,51423.0,40764.8,49741.5,60781.8,56812.5,56780.1,56577.3,,65663.8,6687.1,,20531.8,48030.0,43564.5,37704.5,36365.0,70095.3,-23903.0,-14332.4,-24524.3,-15729.0,-13922.0,,-55514.0,-9867.9,-20662.1,,-27689.0,-11714.9,994.7,-13520.0,-24178.2,-15201.5,-4161.2,-8130.5,-8162.9,-8365.7,,720.8,-58255.9,,-44411.2,-16913.0,-21378.5,-27238.5,-28578.0,5152.3,True,False,True,True,,False,True,True,,False,True,True,True,False,True,True,True,True,True,,True,False,,False,True,True,False,False,True
New Hampshire,15923,8320.0,24383.4,8137.9,12073.0,13776.0,,8118.0,14097.4,18247.6,,8985.0,7339.4,20321.8,12845.0,9152.2,10193.5,26948.2,16866.5,14085.5,12780.9,,14374.7,9881.5,,6479.5,6881.9,27706.7,18222.3,11726.0,9369.9,-7603.0,8460.4,-7785.1,-3850.0,-2147.0,,-7805.0,-1825.6,2324.6,,-6938.0,-8583.6,4398.8,-3078.0,-6770.8,-5729.5,11025.2,943.5,-1837.5,-3142.1,,-1548.3,-6041.5,,-9443.5,-9041.1,11783.7,2299.3,-4197.0,-6553.1,False,False,True,True,,False,True,True,,True,False,True,True,True,True,False,True,True,True,,True,True,,False,False,False,True,True,True
New Jersey,140541,88616.0,143075.5,88460.5,121014.0,121748.0,,76693.0,190446.4,97351.2,,78644.0,108378.9,110418.3,148794.0,141597.1,116224.0,189849.4,157788.5,165147.5,137652.4,,149558.7,96546.6,,67632.1,90115.3,269338.9,133073.8,86567.0,133985.4,-51925.0,2534.5,-52080.5,-19527.0,-18793.0,,-63848.0,49905.4,-43189.8,,-61897.0,-32162.1,-30122.7,8253.0,1056.1,-24317.0,49308.4,17247.5,24606.5,-2888.6,,9017.7,-43994.4,,-72908.9,-50425.7,128797.9,-7467.2,-53974.0,-6555.6,True,False,True,True,,False,True,True,,False,True,True,True,True,True,True,True,True,True,,True,True,,False,True,False,True,False,True
New Mexico,55187,38000.0,38287.7,37859.6,43837.0,42096.0,,10939.0,89329.3,46965.8,,39119.0,56104.4,96620.3,62127.0,34414.6,54405.5,78546.0,53941.0,44284.0,49595.5,,45288.9,267027.4,,30651.7,46261.3,71890.7,25420.1,25166.0,48901.1,-17187.0,-16899.3,-17327.4,-11350.0,-13091.0,,-44248.0,34142.3,-8221.2,,-16068.0,917.4,41433.3,6940.0,-20772.4,-781.5,23359.0,-1246.0,-10903.0,-5591.5,,-9898.1,211840.4,,-24535.3,-8925.7,16703.7,-29766.9,-30021.0,-6285.9,True,False,True,True,,False,False,True,,True,True,False,True,False,True,False,True,True,True,,True,False,,False,True,True,False,False,True
New York,212307,123772.0,103677.9,124587.8,157581.0,191012.0,,51585.0,183515.0,260133.5,,112398.0,121434.1,419760.3,194922.0,239209.7,143203.0,302076.6,207048.0,188463.9,170963.9,,188822.2,89319.0,,93870.8,105532.7,508447.5,179482.8,151239.0,157575.2,-88535.0,-108629.1,-87719.2,-54726.0,-21295.0,,-160722.0,-28792.0,47826.5,,-99909.0,-90872.9,207453.3,-17385.0,26902.7,-69104.0,89769.6,-5259.0,-23843.1,-41343.1,,-23484.8,-122988.0,,-118436.2,-106774.3,296140.5,-32824.2,-61068.0,-54731.8,False,True,True,True,,False,True,True,,False,False,False,True,True,True,False,True,True,True,,True,False,,False,False,False,True,True,True
