,actual_deaths,Baseline,COVIDhub-baseline,CU-select,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,LANL-GrowthRate,MOBS-GLEAM_COVID,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-CU-select,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-CU-select,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Minnesota,244,188.9,178.0,148.0,,193.2,,,187.4,170.4,209.7,194.8,-55.1,-66.0,-96.0,,-50.8,,,-56.6,-73.6,-34.3,-49.2,False,False,,True,,,False,False,True,True
Mississippi,221,213.0,211.0,163.0,,233.5,,,193.2,,203.3,209.1,-8.0,-10.0,-58.0,,12.5,,,-27.8,,-17.7,-11.9,False,False,,False,,,False,,False,False
Missouri,357,268.4,278.0,347.0,,254.6,,,228.5,502.8,259.9,250.1,-45.6,-36.0,33.0,,-59.4,,,-85.5,188.8,-54.1,-63.9,True,True,,False,,,False,False,False,False
Montana,14,13.4,14.0,12.0,,14.0,,,10.5,21.1,12.6,13.3,-0.6,0.0,-2.0,,-0.0,,,-3.5,7.1,-1.4,-0.7,True,False,,True,,,False,False,False,False
Nebraska,50,37.4,31.0,12.0,,50.2,,,41.8,57.7,38.0,40.4,-12.6,-19.0,-38.0,,0.2,,,-8.2,7.7,-12.0,-9.6,False,False,,True,,,True,True,True,True
Nevada,205,197.4,200.0,214.0,,197.4,,,194.2,264.3,202.7,189.4,-7.6,-5.0,9.0,,-7.6,,,-10.8,59.3,-2.3,-15.6,True,False,,False,,,False,False,True,False
New Hampshire,53,50.9,54.0,76.0,,55.0,,,52.2,59.1,58.7,54.3,-2.1,1.0,23.0,,2.0,,,-0.8,6.1,5.7,1.3,True,False,,True,,,True,False,False,True
New Jersey,7274,6086.6,5957.0,7469.0,,5735.0,,,5991.6,3954.2,5143.0,5685.0,-44.4,-174.0,1338.0,,-396.0,,,-139.4,-2176.8,-988.0,-446.0,False,False,,False,,,False,False,False,False
New Mexico,93,79.9,87.0,81.0,,78.9,,,73.3,46.4,82.7,80.5,-13.1,-6.0,-12.0,,-14.1,,,-19.7,-46.6,-10.3,-12.5,True,True,,False,,,False,False,True,True
New York,22511,22987.7,26715.0,19217.0,,21013.8,,,23915.6,20383.3,16210.7,21219.2,999.7,4727.0,-2771.0,,-974.2,,,1927.6,-1604.7,-5777.3,-768.8,False,False,,True,,,False,False,False,True
North Carolina,305,295.1,285.0,219.0,,279.7,,,286.1,272.0,279.7,310.2,-9.9,-20.0,-86.0,,-25.3,,,-18.9,-33.0,-25.3,5.2,False,False,,False,,,False,False,False,True
North Dakota,16,10.7,11.0,9.0,,27.7,,,11.0,19.0,12.4,11.9,-5.3,-5.0,-7.0,,11.7,,,-5.0,3.0,-3.6,-4.1,True,False,,False,,,True,True,True,True
Ohio,711,657.9,655.0,664.0,,665.8,,,776.5,641.5,666.6,650.1,-53.1,-56.0,-47.0,,-45.2,,,65.5,-69.5,-44.4,-60.9,False,True,,True,,,False,False,True,False
Oklahoma,194,177.7,178.0,154.0,,181.3,,,163.3,306.7,174.9,172.3,-16.3,-16.0,-40.0,,-12.7,,,-30.7,112.7,-19.1,-21.7,True,False,,True,,,False,False,False,False
Oregon,87,92.9,96.0,98.0,,91.3,,,91.5,125.4,98.6,92.7,5.9,9.0,11.0,,4.3,,,4.5,38.4,11.6,5.7,False,False,,True,,,True,False,False,True
Pennsylvania,1793,1892.3,1581.0,2137.0,,1775.6,,,1923.3,1274.7,2000.0,1825.3,99.3,-212.0,344.0,,-17.4,,,130.3,-518.3,207.0,32.3,False,False,,True,,,False,False,False,True
Rhode Island,215,224.6,218.0,83.0,,262.1,,,218.8,137.2,262.6,233.0,9.6,3.0,-132.0,,47.1,,,3.8,-77.8,47.6,18.0,True,False,,False,,,True,False,False,False
South Carolina,166,152.6,158.0,200.0,,160.0,,,150.4,260.3,150.0,148.8,-13.4,-8.0,34.0,,-6.0,,,-15.6,94.3,-16.0,-17.2,True,False,,True,,,False,False,False,False
South Dakota,10,7.9,8.0,77.0,,9.8,,,11.4,49.1,21.1,12.4,-2.1,-2.0,67.0,,-0.2,,,1.4,39.1,11.1,2.4,True,False,,True,,,True,False,False,False
Tennessee,177,184.0,178.0,255.0,,183.9,,,183.9,387.1,209.3,180.4,7.0,1.0,78.0,,6.9,,,6.9,210.1,32.3,3.4,True,False,,True,,,True,False,False,True
Texas,720,667.4,686.0,855.0,,692.0,,,654.7,913.4,685.4,646.1,3.4,22.0,191.0,,28.0,,,-9.3,249.4,21.4,-17.9,False,False,,False,,,False,False,False,False
Utah,41,34.7,32.0,74.0,,63.7,,,32.1,53.1,45.7,35.6,-6.3,-9.0,33.0,,22.7,,,-8.9,12.1,4.7,-5.4,False,False,,False,,,False,False,True,True
Vermont,46,47.4,51.0,45.0,,41.2,,,40.0,83.3,45.1,44.6,1.4,5.0,-1.0,,-4.8,,,-6.0,37.3,-0.9,-1.4,False,True,,False,,,False,False,True,False
Virginia,437,393.6,386.0,396.0,,433.5,,,408.4,387.6,422.9,392.9,-43.4,-51.0,-41.0,,-3.5,,,-28.6,-49.4,-14.1,-44.1,False,True,,True,,,True,False,True,False
Washington,737,747.4,731.0,807.0,,712.9,,,730.2,1381.2,716.1,711.4,10.4,-6.0,70.0,,-24.1,,,-6.8,644.2,-20.9,-25.6,True,False,,False,,,True,False,False,False
West Virginia,32,28.3,27.0,19.0,,31.3,,,20.2,17.0,30.1,34.4,-3.7,-5.0,-13.0,,-0.7,,,-11.8,-15.0,-1.9,2.4,False,False,,True,,,False,False,True,True
Wisconsin,266,285.1,287.0,284.0,,279.3,,,277.1,395.5,295.9,275.9,19.1,21.0,18.0,,13.3,,,11.1,129.5,29.9,9.9,False,True,,True,,,True,False,False,True
Wyoming,7,3.7,4.0,1.0,,25.2,,,2.1,2.8,3.0,4.1,-3.3,-3.0,-6.0,,18.2,,,-4.9,-4.2,-4.0,-2.9,True,False,,False,,,False,False,False,True
US,55959,53681.3,56866.0,55212.0,49766.0,51312.3,66597.0,66826.0,,49779.2,46184.4,50936.9,-352.7,2832.0,1178.0,-4268.0,-2721.7,12563.0,12792.0,,-4254.8,-7849.6,-3097.1,False,False,False,False,False,False,,False,False,False
