,actual_deaths,Baseline,Columbia_UNC-SurvCon,IHME-CurveFit,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-IHME-CurveFit,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Louisiana,5545,6274.4,,6097.7,,5434.0,6330.7,4853.0,5482.0,729.4,,552.7,,-111.0,785.7,-692.0,-63.0,,True,,True,False,True,True
Maine,142,140.7,,140.6,,130.4,147.1,133.0,142.2,-1.3,,-1.4,,-11.6,5.1,-9.0,0.2,,False,,False,False,False,True
Maryland,3957,4135.0,,4143.6,,3945.7,4934.2,3912.0,4355.4,178.0,,186.6,,-11.3,977.2,-45.0,398.4,,False,,True,False,True,False
Massachusetts,9507,9497.1,,9285.2,,9140.7,10502.1,9769.0,9599.5,-9.9,,-221.8,,-366.3,995.1,262.0,92.5,,False,,False,False,False,False
Michigan,7124,7006.1,,7023.3,,6870.6,8650.4,6868.0,7055.8,-117.9,,-100.7,,-253.4,1526.4,-256.0,-68.2,,True,,False,False,False,True
Minnesota,2126,2043.7,,1934.0,,1984.0,2876.4,2024.0,2112.8,-82.3,,-192.0,,-142.0,750.4,-102.0,-13.2,,False,,False,False,False,True
Mississippi,3011,3412.4,,3058.2,,2673.1,2954.6,2554.0,3004.5,401.4,,47.2,,-337.9,-56.4,-457.0,-6.5,,True,,True,True,False,True
Missouri,2177,1789.7,,2786.7,,1834.2,2109.0,1657.0,1896.5,-387.3,,609.7,,-342.8,-68.0,-520.0,-280.5,,False,,True,True,False,True
Montana,186,185.0,,139.9,,112.4,162.3,194.0,194.1,-1.0,,-46.1,,-73.6,-23.7,8.0,8.1,,False,,False,False,False,False
Nebraska,497,447.1,,473.6,,404.0,481.5,421.0,467.8,-49.9,,-23.4,,-93.0,-15.5,-76.0,-29.2,,True,,False,True,False,True
Nevada,1620,1939.1,,1953.7,,1499.2,1551.3,1519.0,1701.6,319.1,,333.7,,-120.8,-68.7,-101.0,81.6,,False,,True,True,True,True
New Hampshire,442,434.7,,481.4,,461.9,510.9,446.0,489.4,-7.3,,39.4,,19.9,68.9,4.0,47.4,,False,,False,False,True,False
New Jersey,16135,16172.6,,16228.6,,16247.9,19005.5,16243.0,16200.0,37.6,,93.6,,112.9,2870.5,108.0,65.0,,False,,False,False,False,False
New Mexico,890,928.6,,997.4,,811.9,934.8,827.0,953.4,38.6,,107.4,,-78.1,44.8,-63.0,63.4,,False,,False,False,False,False
New York,33197,33276.9,,33238.9,,33073.1,35353.8,33130.0,33164.0,60.9,,22.9,,-142.9,2137.8,-86.0,-52.0,,True,,False,False,False,True
North Carolina,3629,3834.1,,3917.4,,3368.6,3257.9,3176.0,3498.8,205.1,,288.4,,-260.4,-371.1,-453.0,-130.2,,False,,False,False,False,True
North Dakota,271,167.0,,152.1,,187.3,220.4,190.0,173.6,-104.0,,-118.9,,-83.7,-50.6,-81.0,-97.4,,False,,True,True,True,True
Ohio,4925,4769.0,,5504.5,,4201.1,5593.5,4616.0,4904.4,-156.0,,579.5,,-723.9,668.5,-309.0,-20.6,,False,,False,False,False,True
Oklahoma,1051,1019.4,,1317.5,,848.1,1033.8,871.0,1023.5,-31.6,,266.5,,-202.9,-17.2,-180.0,-27.5,,False,,False,True,False,True
Oregon,571,591.7,,927.3,,436.5,617.9,542.0,652.0,20.7,,356.3,,-134.5,46.9,-29.0,81.0,,False,,False,False,False,False
Pennsylvania,8180,8002.4,,7947.7,,7873.4,9420.8,7790.0,8089.2,-177.6,,-232.3,,-306.6,1240.8,-390.0,-90.8,,False,,False,False,False,True
Rhode Island,1118,1069.0,,1052.8,,1093.9,1240.9,1040.0,1090.8,-49.0,,-65.2,,-24.1,122.9,-78.0,-27.2,,False,,True,False,False,True
South Carolina,3442,4026.7,,3414.0,,2987.0,3079.3,3091.0,3684.3,584.7,,-28.0,,-455.0,-362.7,-351.0,242.3,,True,,True,True,True,True
South Dakota,248,232.4,,188.1,,216.6,265.0,305.0,209.5,-15.6,,-59.9,,-31.4,17.0,57.0,-38.5,,False,,False,False,False,False
Tennessee,2560,2401.6,,1897.3,,2190.2,2054.7,1715.0,2160.2,-158.4,,-662.7,,-369.8,-505.3,-845.0,-399.8,,False,,False,False,False,False
Texas,16295,21539.9,,18507.4,15281.0,13803.7,15055.3,16189.0,17558.6,5244.9,,2212.4,-1014.0,-2491.3,-1239.7,-106.0,1263.6,,True,True,True,True,True,True
Utah,476,532.4,,568.0,,451.6,466.2,458.0,581.9,56.4,,92.0,,-24.4,-9.8,-18.0,105.9,,False,,True,True,True,False
Vermont,58,65.9,,59.2,,62.3,68.7,58.0,67.0,7.9,,1.2,,4.3,10.7,0.0,9.0,,True,,True,False,True,False
Virginia,3267,3174.6,,3846.8,,2717.1,3996.6,2550.0,3519.2,-92.4,,579.8,,-549.9,729.6,-717.0,252.2,,False,,False,False,False,False
Washington,2142,2410.9,,2442.2,,2088.3,2619.9,2270.0,2486.9,268.9,,300.2,,-53.7,477.9,128.0,344.9,,False,,True,False,True,False
West Virginia,363,311.9,,183.9,,194.7,252.1,230.0,303.4,-51.1,,-179.1,,-168.3,-110.9,-133.0,-59.6,,False,,False,False,False,False
Wisconsin,1372,1390.9,,1601.4,,1212.6,1730.2,1333.0,1503.5,18.9,,229.4,,-159.4,358.2,-39.0,131.5,,False,,False,False,False,False
Wyoming,53,43.7,,27.0,,41.7,41.4,29.0,38.9,-9.3,,-26.0,,-11.3,-11.6,-24.0,-14.1,,False,,False,False,False,False
US,209384,220868.7,194731.0,217452.5,209454.0,198712.5,223371.0,197518.0,212238.9,11465.7,-14672.0,8049.5,51.0,-10690.5,13968.0,-11885.0,2835.9,False,True,True,True,False,False,True
