,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7133,7101.6,7266.4,7174.0,7222.8,7124.0,6936.0,7113.0,6896.1,7121.0,7138.7,7163.6,6951.9,,7011.5,7270.0,7257.0,7155.0,6929.9,7049.0,7138.3,7033.6,7023.1,7287.7,7126.0,7323.6,,7060.0,7185.5,6972.0,,7187.6,6848.9,,7183.0,7093.0,7191.1,,7327.8,7116.0,7178.6,7113.7,7095.0,7130.0,6865.0,7051.8,6867.0,-31.4,133.4,41.0,89.8,-9.0,-197.0,-20.0,-236.9,-12.0,5.7,30.6,-181.1,,-121.5,137.0,124.0,22.0,-203.1,-84.0,5.3,-99.4,-109.9,154.7,-7.0,190.6,,-73.0,52.5,-161.0,,54.6,-284.1,,50.0,-40.0,58.1,,194.8,-17.0,45.6,-19.3,-38.0,-3.0,-268.0,-81.2,-266.0,False,False,False,True,False,True,False,True,True,True,False,,False,False,False,True,False,False,True,False,False,False,True,False,,False,False,False,,False,False,,False,False,False,,False,True,False,True,False,True,False,False,False
Hawaii,153,159.0,168.4,162.0,166.0,151.0,138.0,130.0,129.5,140.0,164.9,,162.4,,128.5,,,150.6,128.7,175.5,154.2,140.6,140.1,133.5,154.0,155.5,,132.7,157.0,147.0,,,125.4,,151.0,165.0,159.1,,163.6,143.0,152.7,137.2,144.0,184.0,137.5,154.9,,6.0,15.4,9.0,13.0,-2.0,-15.0,-23.0,-23.5,-13.0,11.9,,9.4,,-24.5,,,-2.4,-24.3,22.5,1.2,-12.4,-12.9,-19.5,1.0,2.5,,-20.3,4.0,-6.0,,,-27.6,,-2.0,12.0,6.1,,10.6,-10.0,-0.3,-15.8,-9.0,31.0,-15.5,1.9,,False,False,False,True,False,False,False,False,False,,False,,False,,,True,False,False,True,False,False,False,True,True,,False,True,False,,,False,,True,False,False,,False,False,True,False,False,False,False,True,
Idaho,480,495.0,492.5,483.0,493.0,492.0,485.0,493.0,478.7,485.0,530.5,494.6,506.6,,476.5,498.0,522.0,491.5,473.9,528.4,486.3,492.3,486.5,662.6,512.0,509.7,,485.1,506.5,488.0,,,463.8,,496.0,522.0,490.5,,517.1,484.0,485.1,479.6,488.0,498.0,483.8,490.6,492.0,15.0,12.5,3.0,13.0,12.0,5.0,13.0,-1.3,5.0,50.5,14.6,26.6,,-3.5,18.0,42.0,11.5,-6.1,48.4,6.3,12.3,6.5,182.6,32.0,29.7,,5.1,26.5,8.0,,,-16.2,,16.0,42.0,10.5,,37.1,4.0,5.1,-0.4,8.0,18.0,3.8,10.6,12.0,True,True,True,True,True,True,True,True,False,True,False,,True,False,False,True,True,False,True,True,True,False,False,False,,True,False,True,,,False,,False,False,True,,False,True,True,True,True,False,True,True,True
Illinois,9023,8955.3,8961.0,8958.0,8961.5,8960.0,9096.0,8941.0,8896.6,9006.0,8932.4,8954.3,8838.6,,8649.8,8982.0,8978.0,8994.6,9218.3,9043.1,8989.5,8920.4,8958.1,8830.5,8971.0,9001.5,9043.0,8931.7,8942.3,8938.0,,8922.4,8849.6,,8978.0,8952.0,8940.5,,9008.7,8959.0,9160.8,9693.5,8948.0,8902.0,8610.3,8929.4,8574.0,-67.7,-62.0,-65.0,-61.5,-63.0,73.0,-82.0,-126.4,-17.0,-90.6,-68.7,-184.4,,-373.2,-41.0,-45.0,-28.4,195.3,20.1,-33.5,-102.6,-64.9,-192.5,-52.0,-21.5,20.0,-91.3,-80.7,-85.0,,-100.6,-173.4,,-45.0,-71.0,-82.5,,-14.3,-64.0,137.8,670.5,-75.0,-121.0,-412.7,-93.6,-449.0,True,True,True,True,False,False,False,True,False,False,False,,False,True,True,True,False,True,True,False,True,False,True,True,True,False,False,False,,False,False,,True,False,False,,True,True,False,False,False,False,False,False,False
Indiana,3669,3632.3,3628.0,3638.0,3635.0,3635.0,3690.0,3633.0,3609.4,3689.0,3635.7,3642.6,3597.9,,3610.7,3630.0,3680.0,3652.8,3794.6,3719.1,3645.2,3604.5,3629.7,3681.8,3659.0,3618.8,3623.5,3636.3,3634.6,3657.0,,3627.2,3589.2,,3646.0,3648.0,3625.5,,3626.0,3645.0,3731.6,3946.2,3634.0,3608.0,3379.9,3629.7,3565.0,-36.7,-41.0,-31.0,-34.0,-34.0,21.0,-36.0,-59.6,20.0,-33.3,-26.4,-71.1,,-58.3,-39.0,11.0,-16.2,125.6,50.1,-23.8,-64.5,-39.3,12.8,-10.0,-50.2,-45.5,-32.7,-34.4,-12.0,,-41.8,-79.8,,-23.0,-21.0,-43.5,,-43.0,-24.0,62.6,277.2,-35.0,-61.0,-289.1,-39.3,-104.0,False,True,True,True,True,True,False,True,True,True,False,,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,True,,False,False,,True,True,False,,False,True,False,False,True,False,False,False,False
Iowa,1381,1348.6,1359.0,1350.0,1359.0,1362.0,1439.0,1331.0,1335.8,1401.0,1347.3,1350.0,1393.6,,1382.2,1360.0,1405.0,1403.3,1384.6,1389.8,1397.3,1352.8,1339.9,1366.8,1395.0,1366.0,,1406.3,1365.7,1343.0,,1371.4,1295.9,,1376.0,1370.0,1359.4,,1373.2,1350.0,1370.2,1453.0,1332.0,1313.5,1325.6,1362.0,1327.0,-32.4,-22.0,-31.0,-22.0,-19.0,58.0,-50.0,-45.2,20.0,-33.7,-31.0,12.6,,1.2,-21.0,24.0,22.3,3.6,8.8,16.3,-28.2,-41.1,-14.2,14.0,-15.0,,25.3,-15.3,-38.0,,-9.6,-85.1,,-5.0,-11.0,-21.6,,-7.8,-31.0,-10.8,72.0,-49.0,-67.5,-55.4,-19.0,-54.0,True,True,True,True,False,False,False,True,False,True,True,,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,False,,True,False,,True,True,True,,True,True,True,False,False,False,False,True,False
Kansas,698,719.4,732.3,703.0,730.0,688.0,685.0,698.0,707.1,661.0,688.3,709.4,700.6,,654.4,664.0,690.0,680.1,663.5,702.5,704.6,676.3,697.3,650.2,746.0,639.9,,637.0,704.8,739.0,,,632.4,,712.0,745.0,708.9,,647.1,678.0,669.7,673.8,698.0,707.0,634.0,670.7,694.0,22.4,35.3,6.0,33.0,-9.0,-12.0,1.0,10.1,-36.0,-8.7,12.4,3.6,,-42.6,-33.0,-7.0,-16.9,-33.5,5.5,7.6,-20.7,0.3,-46.8,49.0,-57.1,,-60.0,7.8,42.0,,,-64.6,,15.0,48.0,11.9,,-49.9,-19.0,-27.3,-23.2,1.0,10.0,-63.0,-26.3,-3.0,False,True,False,True,True,True,True,False,True,True,True,,False,False,True,True,False,True,True,True,True,False,False,False,,False,True,False,,,False,,True,False,True,,False,True,False,False,True,True,False,False,True
Kentucky,1205,1205.7,1207.3,1201.0,1210.0,1217.0,1236.0,1248.0,1200.1,1223.0,1232.3,1251.1,1244.2,,1208.1,1189.0,1355.0,1238.2,1221.3,1254.0,1239.7,1205.5,1204.3,1200.1,1283.0,1216.5,1250.0,1178.4,1214.7,1252.0,,1216.6,1179.8,,1229.0,1241.0,1217.3,,1223.7,1176.0,1201.9,1271.4,1202.0,1217.0,1172.5,1210.7,1171.0,0.7,2.3,-4.0,5.0,12.0,31.0,43.0,-4.9,18.0,27.3,46.1,39.2,,3.1,-16.0,150.0,33.2,16.3,49.0,34.7,0.5,-0.7,-4.9,78.0,11.5,45.0,-26.6,9.7,47.0,,11.6,-25.2,,24.0,36.0,12.3,,18.7,-29.0,-3.1,66.4,-3.0,12.0,-32.5,5.7,-34.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False
Louisiana,5545,5615.0,5590.9,5606.0,5622.0,5585.0,5459.0,5609.0,5545.3,5554.0,5603.1,5639.4,5442.2,,5572.5,5580.0,5650.0,5538.1,5527.9,5505.7,5550.9,5565.7,5542.0,5769.4,5575.0,5736.7,,5506.1,5560.7,5536.0,,5572.1,5575.6,,5621.0,5641.0,5651.5,,5743.9,5572.0,5694.3,5653.3,5576.0,5569.0,5396.2,5596.5,5473.0,70.0,45.9,61.0,77.0,40.0,-86.0,64.0,0.3,9.0,58.1,94.4,-102.8,,27.5,35.0,105.0,-6.9,-17.1,-39.3,5.9,20.7,-3.0,224.4,30.0,191.7,,-38.9,15.7,-9.0,,27.1,30.6,,76.0,96.0,106.5,,198.9,27.0,149.3,108.3,31.0,24.0,-148.8,51.5,-72.0,True,True,False,True,False,True,True,True,True,False,False,,True,True,False,True,True,True,True,True,True,False,True,False,,True,True,True,,True,True,,False,False,False,,False,True,False,False,True,True,False,True,False
Maine,142,144.6,146.4,146.0,147.0,145.0,140.0,144.0,140.8,141.0,146.9,146.0,143.3,,134.2,147.0,162.0,144.3,145.2,152.5,144.8,143.6,139.9,148.9,152.0,142.7,,140.5,145.4,141.0,,,142.6,,145.0,161.0,145.3,,150.0,144.0,149.3,149.5,145.0,147.0,142.6,143.7,,2.6,4.4,4.0,5.0,3.0,-2.0,2.0,-1.2,-1.0,4.9,4.0,1.3,,-7.8,5.0,20.0,2.3,3.2,10.5,2.8,1.6,-2.1,6.9,10.0,0.7,,-1.5,3.4,-1.0,,,0.6,,3.0,19.0,3.3,,8.0,2.0,7.3,7.5,3.0,5.0,0.6,1.7,,False,False,False,False,True,True,True,True,False,False,True,,False,False,False,True,False,False,False,True,True,False,False,True,,True,False,True,,,True,,False,False,False,,False,True,False,False,False,False,True,True,
Maryland,3957,3955.1,3959.2,3959.0,3956.1,3962.0,4073.0,3978.0,3942.4,3894.0,3966.4,3980.1,4012.3,,3986.4,3969.0,3990.0,3961.5,4057.0,3960.7,3962.3,3941.6,3938.4,3951.4,3970.0,3907.0,,4004.5,3964.9,3962.0,,3942.5,3922.8,,3962.0,3976.0,3947.6,,3914.2,3956.0,4089.6,4160.2,3962.0,4002.0,3927.3,3954.9,3970.0,-1.9,2.2,2.0,-0.9,5.0,116.0,21.0,-14.6,-63.0,9.4,23.1,55.3,,29.4,12.0,33.0,4.5,100.0,3.7,5.3,-15.4,-18.6,-5.6,13.0,-50.0,,47.5,7.9,5.0,,-14.5,-34.2,,5.0,19.0,-9.4,,-42.8,-1.0,132.6,203.2,5.0,45.0,-29.7,-2.1,13.0,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,,False,True,False,False,False,False,False,False,False
