,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
New Jersey,16135,16145.1,16888.0,,15930.6,16005.0,16081.0,16241.0,16086.6,,16230.2,15971.0,,16372.8,,16095.6,17073.4,16080.0,,16113.6,10.1,753.0,,-204.4,-130.0,-54.0,106.0,-48.4,,95.2,-164.0,,237.8,,-39.4,938.4,-55.0,,-21.4,False,,False,False,False,False,False,,False,False,,False,,False,False,False,,False
New Mexico,890,926.6,874.0,,767.8,868.0,873.5,956.0,847.6,,850.7,829.0,,825.3,,870.3,946.3,840.0,,915.7,36.6,-16.0,,-122.2,-22.0,-16.5,66.0,-42.4,,-39.3,-61.0,,-64.7,,-19.7,56.3,-50.0,,25.7,True,,False,True,True,False,False,,False,False,,False,,True,False,False,,True
New York,33375,33134.9,35029.0,,33022.1,32893.0,32666.4,33260.0,33105.8,,34073.8,33030.5,,33258.2,,33050.4,34755.0,33142.0,,33120.3,-272.1,1622.0,,-384.9,-514.0,-740.6,-147.0,-301.2,,666.8,-376.5,,-148.8,,-356.6,1348.0,-265.0,,-286.7,False,,False,False,False,True,False,,False,False,,True,,False,False,True,,False
North Carolina,3629,3608.7,3370.0,,3139.1,3528.0,3614.5,3267.0,3285.4,,3365.1,4204.5,,2895.1,,3366.2,3645.7,3290.0,,3345.5,-20.3,-259.0,,-489.9,-101.0,-14.5,-362.0,-343.6,,-263.9,575.5,,-733.9,,-262.8,16.7,-339.0,,-283.5,False,,False,False,True,False,False,,False,False,,False,,False,True,False,,False
North Dakota,271,200.4,190.0,,216.6,141.0,208.6,187.0,189.8,,228.9,270.0,,154.9,,179.7,272.6,234.0,,199.5,-70.6,-81.0,,-54.4,-130.0,-62.4,-84.0,-81.2,,-42.1,-1.0,,-116.1,,-91.3,1.6,-37.0,,-71.5,False,,True,False,True,False,False,,True,True,,False,,False,True,True,,False
Ohio,4925,4868.3,4587.0,,4233.4,4830.0,4552.2,4771.0,4416.4,10075.5,6197.7,5032.0,,4459.8,,4796.2,5253.6,4745.0,,4806.4,-56.7,-338.0,,-691.6,-95.0,-372.8,-154.0,-508.6,5150.5,1272.7,107.0,,-465.2,,-128.8,328.6,-180.0,,-118.6,False,,False,False,False,False,False,False,False,False,,False,,False,False,False,,False
Oklahoma,1051,1106.7,1017.0,,1034.0,1058.0,971.9,941.0,967.3,,1235.3,1185.0,,910.0,,1034.2,1150.3,1008.0,,1038.2,55.7,-34.0,,-17.0,7.0,-79.1,-110.0,-83.7,,184.3,134.0,,-141.0,,-16.8,99.3,-43.0,,-12.8,True,,True,True,False,False,False,,False,False,,False,,True,False,True,,True
Oregon,571,586.9,552.0,,540.2,620.0,690.4,568.0,520.8,,689.1,806.0,,452.3,,581.9,584.2,565.0,,594.1,15.9,-19.0,,-30.8,49.0,119.4,-3.0,-50.2,,118.1,235.0,,-118.7,,10.9,13.2,-6.0,,23.1,False,,False,False,False,True,False,,False,False,,False,,True,True,True,,False
Pennsylvania,8180,8166.1,8245.0,,7738.5,7961.0,9137.8,7910.0,7875.0,,7896.4,8111.0,,7799.6,,7979.9,9051.2,8098.0,,8118.5,-13.9,65.0,,-441.5,-219.0,957.8,-270.0,-305.0,,-283.6,-69.0,,-380.4,,-200.1,871.2,-82.0,,-61.5,False,,False,False,False,False,False,,False,False,,False,,False,False,False,,False
Rhode Island,1118,1082.7,1138.0,,1061.4,1037.0,1068.9,1150.0,1050.1,,1044.6,1035.0,,1048.5,,1076.5,1203.2,1060.0,,1080.5,-27.3,28.0,,-48.6,-73.0,-41.1,40.0,-59.9,,-65.4,-75.0,,-61.5,,-33.5,93.2,-50.0,,-29.5,False,,False,False,False,False,False,,False,False,,False,,False,False,False,,False
South Carolina,3442,3880.4,3399.0,,2395.6,3582.0,3364.4,3185.0,3321.5,,4571.4,3162.0,,3146.8,,3515.4,3249.5,3178.0,,3436.9,438.4,-43.0,,-1046.4,140.0,-77.6,-257.0,-120.5,,1129.4,-280.0,,-295.2,,73.4,-192.5,-264.0,,-5.1,True,,False,True,True,True,True,,False,True,,True,,True,True,True,,True
South Dakota,248,207.9,222.0,,226.5,178.0,200.2,220.0,221.3,,202.2,171.0,,176.6,,197.0,292.4,263.0,,206.6,-40.1,-26.0,,-21.5,-70.0,-47.8,-28.0,-26.7,,-45.8,-77.0,,-71.4,,-51.0,44.4,15.0,,-41.4,True,,True,False,False,True,True,,False,False,,False,,False,False,True,,False
Tennessee,2560,2744.3,2353.0,,2147.0,2286.0,2467.0,2314.0,2341.0,,3319.8,2856.0,,2154.1,,2592.0,2204.3,2133.0,,2321.2,184.3,-207.0,,-413.0,-274.0,-93.0,-246.0,-219.0,,759.8,296.0,,-405.9,,32.0,-355.7,-427.0,,-238.8,False,,False,False,True,False,False,,False,False,,False,,True,False,False,,False
Texas,16363,19330.9,16625.0,,11979.6,18647.0,19869.5,19576.0,15310.4,,17672.1,16449.0,,15636.9,14995.0,17354.6,15466.1,17630.0,,16753.8,3117.9,412.0,,-4233.4,2434.0,3656.5,3363.0,-902.6,,1459.1,236.0,,-576.1,-1218.0,1141.6,-746.9,1417.0,,540.8,True,,False,True,False,False,True,,True,True,,True,True,True,True,True,,True
Utah,476,513.9,652.0,,549.9,456.0,503.2,543.0,471.9,,614.3,497.5,,428.1,,522.0,476.5,466.0,,523.8,37.9,176.0,,73.9,-20.0,27.2,67.0,-4.1,,138.3,21.5,,-47.9,,46.0,0.5,-10.0,,47.8,False,,False,True,True,False,True,,False,True,,False,,False,True,True,,False
Vermont,58,58.0,66.0,,62.6,59.0,61.2,58.0,59.2,,60.8,58.0,,58.0,,58.5,69.2,58.0,,65.1,0.0,8.0,,4.6,1.0,3.2,0.0,1.2,,2.8,0.0,,0.0,,0.5,11.2,0.0,,7.1,False,,False,False,False,True,False,,False,True,,True,,False,False,True,,False
Virginia,3270,2970.7,3074.0,,2885.1,2603.0,2506.5,2713.0,2726.3,,2984.4,2929.5,,2790.7,,2705.7,3283.0,2606.0,,2860.3,-299.3,-196.0,,-384.9,-667.0,-763.5,-557.0,-543.7,,-285.6,-340.5,,-479.3,,-564.3,13.0,-664.0,,-409.7,True,,False,False,False,False,False,,True,False,,False,,False,True,False,,False
Washington,2123,2343.3,2242.0,,2094.0,2365.0,2374.5,2206.0,2144.2,,2718.1,2688.0,,2125.8,,2306.8,2449.2,2276.0,,2325.0,206.3,105.0,,-43.0,228.0,237.5,69.0,7.2,,581.1,551.0,,-11.2,,169.8,312.2,139.0,,188.0,True,,True,False,False,True,True,,False,False,,True,,True,False,True,,True
West Virginia,363,290.3,239.0,,208.1,244.0,375.2,241.0,232.7,,369.4,753.5,,231.0,,239.2,257.7,277.0,,294.7,-72.7,-124.0,,-154.9,-119.0,12.2,-122.0,-130.3,,6.4,390.5,,-132.0,,-123.8,-105.3,-86.0,,-68.3,False,,False,False,True,False,False,,True,False,,False,,False,False,False,,True
Wisconsin,1443,1327.0,1463.0,,1472.9,1435.0,1238.9,1274.0,1246.2,2760.0,1340.1,1349.0,,1191.2,,1283.4,1510.5,1285.0,,1352.1,-62.0,74.0,,83.9,46.0,-150.1,-115.0,-142.8,1371.0,-48.9,-40.0,,-197.8,,-105.6,121.5,-104.0,,-36.9,False,,False,True,False,False,False,False,True,True,,False,,False,False,False,,True
Wyoming,53,78.0,56.0,,52.4,51.0,34.0,38.0,46.3,,142.2,68.0,,37.0,,57.1,54.9,37.0,,56.6,25.0,3.0,,-0.6,-2.0,-19.0,-15.0,-6.7,,89.2,15.0,,-16.0,,4.1,1.9,-16.0,,3.6,True,,True,True,True,True,True,,False,True,,True,,True,True,True,,True
US,209695,216337.7,199172.0,204081.0,189194.5,209792.0,220353.7,209621.0,196727.8,,215009.5,217152.5,209065.1,192985.5,208805.0,206953.4,215135.6,203453.0,203286.0,205940.8,6810.7,-10355.0,-5446.0,-20332.5,265.0,10826.7,94.0,-12799.2,,5482.5,7625.5,-461.9,-16541.5,-722.0,-2573.6,5608.6,-6074.0,-6241.0,-3586.2,False,True,False,True,False,True,False,,True,False,True,False,True,True,True,True,True,True
