,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7133,7240.9,7228.4,7221.0,7229.0,7171.0,7063.0,7174.0,6952.2,7177.0,7306.0,7202.4,7228.0,7162.3,,7056.2,7270.0,7177.0,7165.7,7023.7,7132.9,7162.7,7120.4,7185.9,7215.1,7125.0,7214.7,,7166.4,7238.7,6996.0,,7160.4,7118.2,7234.0,6887.0,7169.0,7219.4,,7217.7,7176.0,7201.6,7161.8,7239.0,6964.0,6998.2,7214.0,6894.0,107.9,95.4,88.0,96.0,38.0,-70.0,41.0,-180.8,44.0,173.0,69.4,95.0,29.3,,-76.8,137.0,44.0,32.7,-109.3,-0.1,29.7,-12.6,52.9,82.1,-8.0,81.7,,33.4,105.7,-137.0,,27.4,-14.8,101.0,-246.0,36.0,86.4,,84.7,43.0,68.6,28.8,106.0,-169.0,-134.8,81.0,-239.0,True,True,True,True,True,True,False,True,False,True,True,True,,True,False,True,True,False,True,True,True,True,True,True,True,,True,True,False,,True,True,True,False,True,True,,True,True,True,True,True,False,False,True,False
Hawaii,153,142.3,143.6,142.0,142.0,144.0,140.0,142.0,134.4,139.0,150.4,,141.9,151.0,,136.3,,,141.5,136.8,151.2,143.9,144.4,140.3,149.2,146.0,154.6,,147.4,142.8,144.0,,,137.9,144.0,142.7,150.0,141.6,,157.8,142.0,140.0,137.7,140.0,145.0,140.4,143.9,132.0,-10.7,-9.4,-11.0,-11.0,-9.0,-13.0,-11.0,-18.6,-14.0,-2.6,,-11.1,-2.0,,-16.7,,,-11.5,-16.2,-1.8,-9.1,-8.6,-12.7,-3.8,-7.0,1.6,,-5.6,-10.2,-9.0,,,-15.1,-9.0,-10.3,-3.0,-11.4,,4.8,-11.0,-13.0,-15.3,-13.0,-8.0,-12.6,-9.1,-21.0,True,False,False,True,False,False,False,False,True,,False,True,,False,,,False,False,True,True,True,False,True,True,True,,True,True,True,,,False,True,True,True,False,,True,False,False,False,False,True,False,True,False
Idaho,480,474.6,480.1,480.0,479.0,484.0,496.0,499.0,472.5,480.0,489.7,487.2,470.9,485.1,,499.9,479.0,490.0,484.1,499.8,501.5,486.2,482.8,481.2,491.6,509.0,493.5,,484.2,482.1,482.0,,,463.1,487.0,428.6,488.0,479.4,,496.7,477.0,480.7,481.5,481.0,473.0,479.1,478.8,489.0,-5.4,0.1,0.0,-1.0,4.0,16.0,19.0,-7.5,0.0,9.7,7.2,-9.1,5.1,,19.9,-1.0,10.0,4.1,19.8,21.5,6.2,2.8,1.2,11.6,29.0,13.5,,4.2,2.1,2.0,,,-16.9,7.0,-51.4,8.0,-0.6,,16.7,-3.0,0.7,1.5,1.0,-7.0,-0.9,-1.2,9.0,True,True,True,True,False,False,False,True,False,False,False,True,,False,True,False,True,False,False,False,True,True,False,False,False,,True,True,True,,,False,False,False,False,True,,False,True,True,True,True,False,True,True,False
Illinois,9023,8981.3,8992.2,8985.0,8992.0,8988.0,9020.0,8972.0,8903.8,8990.0,8985.3,8973.5,8997.6,9040.2,,8711.2,8994.0,9002.0,8984.3,9126.6,9010.8,8989.2,8961.9,9007.1,8991.5,8977.0,9014.3,9363.5,8961.9,8997.0,8934.0,,8968.1,8927.3,8987.0,9068.6,9023.0,8985.7,,9017.5,8978.0,9030.5,9297.7,8993.0,8965.0,8672.6,8974.4,8582.0,-41.7,-30.8,-38.0,-31.0,-35.0,-3.0,-51.0,-119.2,-33.0,-37.7,-49.5,-25.4,17.2,,-311.8,-29.0,-21.0,-38.7,103.6,-12.2,-33.8,-61.1,-15.9,-31.5,-46.0,-8.7,340.5,-61.1,-26.0,-89.0,,-54.9,-95.7,-36.0,45.6,0.0,-37.3,,-5.5,-45.0,7.5,274.7,-30.0,-58.0,-350.4,-48.6,-441.0,True,True,True,True,True,False,False,True,True,False,True,True,,False,True,True,True,False,True,True,False,True,True,False,True,False,False,True,False,,False,False,True,False,True,True,,True,False,True,False,True,False,False,False,False
Indiana,3669,3643.4,3652.0,3650.0,3651.0,3652.0,3665.0,3640.0,3607.8,3661.0,3650.2,3623.9,3651.7,3684.4,,3662.3,3652.0,3655.0,3650.1,3691.7,3675.3,3649.0,3643.4,3650.8,3678.7,3663.0,3665.6,3696.5,3639.6,3651.8,3654.0,,3637.4,3631.0,3652.0,4114.5,3647.0,3647.4,,3668.8,3646.0,3676.2,3794.5,3646.0,3650.5,3406.2,3645.4,3649.0,-25.6,-17.0,-19.0,-18.0,-17.0,-4.0,-29.0,-61.2,-8.0,-18.8,-45.1,-17.3,15.4,,-6.7,-17.0,-14.0,-18.9,22.7,6.3,-20.0,-25.6,-18.2,9.7,-6.0,-3.4,27.5,-29.4,-17.2,-15.0,,-31.6,-38.0,-17.0,445.5,-22.0,-21.6,,-0.2,-23.0,7.2,125.5,-23.0,-18.5,-262.8,-23.6,-20.0,True,True,True,True,True,False,False,True,True,False,True,True,,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,,False,False,True,False,True,True,,True,True,True,False,True,True,False,True,True
Iowa,1381,1359.7,1364.0,1364.0,1363.0,1363.0,1400.0,1357.0,1336.3,1375.0,1377.5,1356.8,1350.3,1369.1,,1349.0,1360.0,1379.0,1377.3,1404.3,1368.2,1375.0,1358.7,1363.6,1378.0,1392.0,1364.5,,1353.7,1366.9,1386.0,,1361.9,1339.8,1367.0,1443.3,1361.0,1363.4,,1367.6,1356.0,1361.8,1399.9,1368.0,1340.0,1347.2,1360.5,1360.0,-21.3,-17.0,-17.0,-18.0,-18.0,19.0,-24.0,-44.7,-6.0,-3.5,-24.2,-30.7,-11.9,,-32.0,-21.0,-2.0,-3.7,23.3,-12.8,-6.0,-22.3,-17.4,-3.0,11.0,-16.5,,-27.3,-14.1,5.0,,-19.1,-41.2,-14.0,62.3,-20.0,-17.6,,-13.4,-25.0,-19.2,18.9,-13.0,-41.0,-33.8,-20.5,-21.0,True,True,True,True,True,False,False,True,True,False,False,True,,False,True,True,True,False,True,True,False,True,True,True,True,,False,True,True,,True,False,True,False,True,True,,True,False,True,True,True,False,False,True,True
Kansas,698,669.3,673.9,678.0,676.0,675.0,668.0,692.0,698.4,668.0,673.2,688.0,663.7,693.6,,782.3,667.0,676.0,680.2,705.1,686.4,692.4,669.7,669.7,680.8,749.0,659.3,,666.8,682.2,688.0,,,644.7,688.0,673.3,681.0,674.4,,662.5,668.0,665.8,672.1,678.0,663.0,656.6,667.6,639.0,-28.7,-24.1,-20.0,-22.0,-23.0,-30.0,-6.0,0.4,-30.0,-24.8,-10.0,-34.3,-4.4,,84.3,-31.0,-22.0,-17.8,7.1,-11.6,-5.6,-28.3,-28.3,-17.2,51.0,-38.7,,-31.2,-15.8,-10.0,,,-53.3,-10.0,-24.7,-17.0,-23.6,,-35.5,-30.0,-32.2,-25.9,-20.0,-35.0,-41.4,-30.4,-59.0,True,True,True,True,False,True,True,False,True,True,False,True,,False,False,True,True,True,True,True,True,True,True,False,False,,False,True,True,,,False,True,True,True,True,,False,False,False,True,True,False,False,False,False
Kentucky,1205,1196.4,1200.1,1200.0,1200.0,1208.0,1234.0,1207.0,1176.3,1209.0,1210.9,1233.4,1199.9,1218.9,,1239.6,1193.0,1212.0,1210.1,1216.8,1222.2,1211.4,1196.6,1204.5,1225.4,1256.0,1206.8,1202.5,1190.0,1205.3,1222.0,,,1173.7,1209.0,1255.1,1203.0,1202.8,,1210.0,1205.0,1197.0,1239.1,1202.0,1219.0,1189.0,1202.6,1170.0,-8.6,-4.9,-5.0,-5.0,3.0,29.0,2.0,-28.7,4.0,5.9,28.4,-5.1,13.9,,34.6,-12.0,7.0,5.1,11.8,17.2,6.4,-8.4,-0.5,20.4,51.0,1.8,-2.5,-15.0,0.3,17.0,,,-31.3,4.0,50.1,-2.0,-2.2,,5.0,0.0,-8.0,34.1,-3.0,14.0,-16.0,-2.4,-35.0,True,True,True,True,False,True,False,True,True,False,True,False,,False,False,True,True,False,False,True,True,True,False,False,True,True,False,True,False,,,False,True,False,True,True,,True,True,True,False,True,False,False,True,False
Louisiana,5545,5548.1,5549.4,5532.0,5546.0,5546.0,5484.0,5553.0,5532.1,5545.0,5570.6,5573.4,5551.5,5534.2,,5629.6,5544.0,5540.0,5534.2,5536.7,5517.7,5543.7,5545.6,5536.1,5579.1,5540.0,5551.3,,5530.6,5531.1,5524.0,,5542.9,5528.7,5562.0,5283.9,5578.0,5555.6,,5554.4,5549.0,5592.6,5595.6,5530.0,5525.0,5371.5,5558.3,5546.0,3.1,4.4,-13.0,1.0,1.0,-61.0,8.0,-12.9,0.0,25.6,28.4,6.5,-10.8,,84.6,-1.0,-5.0,-10.8,-8.3,-27.3,-1.3,0.6,-8.9,34.1,-5.0,6.3,,-14.4,-13.9,-21.0,,-2.1,-16.3,17.0,-261.1,33.0,10.6,,9.4,4.0,47.6,50.6,-15.0,-20.0,-173.5,13.3,1.0,False,False,True,True,False,False,False,True,False,False,False,False,,False,True,False,False,False,False,True,True,False,False,False,False,,False,False,False,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,True
Maine,142,140.9,141.1,141.0,141.0,142.0,141.0,143.0,143.4,141.0,143.6,142.2,140.0,141.7,,142.0,141.0,151.0,142.7,143.3,145.3,142.4,141.4,140.0,144.6,151.0,141.7,,140.7,141.2,142.0,,,140.3,143.0,147.8,142.0,141.0,,144.9,142.0,143.7,145.7,142.0,141.0,141.7,141.3,,-1.1,-0.9,-1.0,-1.0,0.0,-1.0,1.0,1.4,-1.0,1.6,0.2,-2.0,-0.3,,0.0,-1.0,9.0,0.7,1.3,3.3,0.4,-0.6,-2.0,2.6,9.0,-0.3,,-1.3,-0.8,0.0,,,-1.7,1.0,5.8,0.0,-1.0,,2.9,0.0,1.7,3.7,0.0,-1.0,-0.3,-0.7,,True,True,True,True,True,True,False,True,False,True,False,True,,True,True,False,True,False,False,True,True,False,False,False,True,,False,True,True,,,False,True,False,True,True,,False,True,False,False,True,True,True,True,
Maryland,3957,3983.0,3973.2,3974.0,3974.0,3974.0,4022.0,3966.0,3938.8,3943.0,3981.1,3964.7,3971.7,3987.4,,3949.1,3976.0,4008.0,3965.2,3987.0,3967.7,3968.5,3964.9,3982.1,3994.3,3972.0,3984.5,,3982.3,3976.4,3966.0,,3958.7,3956.1,3974.0,4177.6,3989.0,3970.3,,3987.7,3972.0,3976.2,4070.3,3970.0,3978.0,3941.2,3982.8,4011.0,26.0,16.2,17.0,17.0,17.0,65.0,9.0,-18.2,-14.0,24.1,7.7,14.7,30.4,,-7.9,19.0,51.0,8.2,30.0,10.7,11.5,7.9,25.1,37.3,15.0,27.5,,25.3,19.4,9.0,,1.7,-0.9,17.0,220.6,32.0,13.3,,30.7,15.0,19.2,113.3,13.0,21.0,-15.8,25.8,54.0,True,True,True,True,False,True,True,True,True,True,True,False,,True,True,False,True,False,True,True,True,True,False,True,False,,True,True,True,,True,True,True,False,False,True,,False,True,True,False,True,True,True,True,False
Massachusetts,9507,9484.6,9489.7,9486.0,9487.0,9483.0,9521.0,9502.0,9449.5,9437.0,9487.5,9468.5,9493.5,9487.7,,9472.9,9474.0,9442.0,9496.6,9500.1,9490.1,9481.3,9509.0,9487.1,9486.0,9452.0,9516.1,,9458.5,9495.9,9409.0,,9479.2,9457.5,9502.0,9720.2,9506.0,9477.0,,9519.2,9490.0,9521.4,9531.2,9507.0,9544.0,9424.0,9476.9,9392.0,-22.4,-17.3,-21.0,-20.0,-24.0,14.0,-5.0,-57.5,-70.0,-19.5,-38.5,-13.5,-19.3,,-34.1,-33.0,-65.0,-10.4,-6.9,-16.9,-25.7,2.0,-19.9,-21.0,-55.0,9.1,,-48.5,-11.1,-98.0,,-27.8,-49.5,-5.0,213.2,-1.0,-30.0,,12.2,-17.0,14.4,24.2,0.0,37.0,-83.0,-30.1,-115.0,True,True,True,False,True,True,False,False,True,False,True,True,,False,False,False,True,True,True,False,True,True,True,False,True,,False,True,False,,False,False,True,False,True,False,,True,True,True,False,True,False,False,False,False
Michigan,7124,7108.3,7124.7,7119.0,7119.0,7119.0,7147.0,7117.0,7071.9,7070.0,7115.5,7121.9,7125.7,7071.1,,7093.7,7113.0,7154.0,7111.0,7284.7,7174.9,7130.6,7079.4,7107.7,7140.5,7145.0,7118.5,7072.0,7075.1,7119.9,7124.0,,7012.8,7080.7,7120.0,7414.8,7104.0,7113.0,,7121.8,7112.0,7160.2,7373.1,7118.0,7100.0,6989.5,7101.5,7074.0,-15.7,0.7,-5.0,-5.0,-5.0,23.0,-7.0,-52.1,-54.0,-8.5,-2.1,1.7,-52.9,,-30.3,-11.0,30.0,-13.0,160.7,50.9,6.6,-44.6,-16.3,16.5,21.0,-5.5,-52.0,-48.9,-4.1,0.0,,-111.2,-43.3,-4.0,290.8,-20.0,-11.0,,-2.2,-12.0,36.2,249.1,-6.0,-24.0,-134.5,-22.5,-50.0,True,True,True,True,False,True,False,False,True,True,True,False,,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,,False,False,True,False,False,True,,True,True,False,False,True,False,False,False,False
Minnesota,2126,2096.9,2097.3,2098.0,2097.0,2106.0,2179.0,2110.0,2095.3,2081.0,2116.3,2096.8,2086.3,2106.7,,2138.5,2108.0,2106.0,2108.9,2152.1,2123.9,2108.6,2115.4,2110.6,2108.8,2143.0,2094.7,2108.5,2075.1,2109.5,2113.0,,2108.9,2078.8,2107.0,2232.4,2102.0,2099.7,,2097.8,2105.0,2113.9,2162.3,2115.0,2090.0,2038.0,2104.6,2116.0,-29.1,-28.7,-28.0,-29.0,-20.0,53.0,-16.0,-30.7,-45.0,-9.7,-29.2,-39.7,-19.3,,12.5,-18.0,-20.0,-17.1,26.1,-2.1,-17.4,-10.6,-15.4,-17.2,17.0,-31.3,-17.5,-50.9,-16.5,-13.0,,-17.1,-47.2,-19.0,106.4,-24.0,-26.3,,-28.2,-21.0,-12.1,36.3,-11.0,-36.0,-88.0,-21.4,-10.0,True,True,True,True,False,True,False,False,True,False,False,True,,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,,True,False,True,False,True,True,,True,True,True,False,True,False,False,True,True
Mississippi,3011,3012.4,3009.9,3011.0,3013.0,3004.0,2944.0,3003.0,2953.1,2998.0,3029.4,2998.7,3009.2,3000.0,,3044.8,3022.0,2969.0,3002.7,2974.2,2979.8,2999.1,3001.8,2998.3,3009.1,2990.0,3032.7,,2981.1,3034.6,2994.0,,3011.5,2982.1,3017.0,2753.2,2995.0,3011.8,,3035.9,3006.0,3024.7,3011.2,3009.0,2977.5,3004.5,3004.6,3021.0,1.4,-1.1,0.0,2.0,-7.0,-67.0,-8.0,-57.9,-13.0,18.4,-12.3,-1.8,-11.0,,33.8,11.0,-42.0,-8.3,-36.8,-31.2,-11.9,-9.2,-12.7,-1.9,-21.0,21.7,,-29.9,23.6,-17.0,,0.5,-28.9,6.0,-257.8,-16.0,0.8,,24.9,-5.0,13.7,0.2,-2.0,-33.5,-6.5,-6.4,10.0,True,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,True,False,False,False,False,True,,False,False,False,True,False,False,False,False,False
Missouri,2177,2247.6,2292.3,2238.0,2283.0,2182.0,2219.0,2206.0,2018.8,2146.0,2153.8,2193.4,2306.2,2038.8,,1976.9,2218.0,2059.0,2158.8,2005.6,2175.8,2185.8,2191.6,2216.5,2188.8,2180.0,2183.3,,2145.5,2234.0,2174.0,,1997.0,2138.4,2245.0,2474.0,2226.0,2259.3,,2186.5,2126.0,2147.4,2232.8,2269.0,2236.0,1983.1,2169.3,1983.0,70.6,115.3,61.0,106.0,5.0,42.0,29.0,-158.2,-31.0,-23.2,16.4,129.2,-138.2,,-200.1,41.0,-118.0,-18.2,-171.4,-1.2,8.8,14.6,39.5,11.8,3.0,6.3,,-31.5,57.0,-3.0,,-180.0,-38.6,68.0,297.0,49.0,82.3,,9.5,-51.0,-29.6,55.8,92.0,59.0,-193.9,-7.7,-194.0,False,True,False,True,True,True,False,True,True,True,False,False,,False,True,False,True,False,True,True,True,True,True,True,True,,True,True,True,,False,True,True,False,True,False,,True,True,True,True,False,True,False,True,False
Montana,186,186.7,185.3,186.0,186.0,189.0,175.0,209.0,191.4,179.0,189.8,193.7,193.0,191.7,,192.3,189.0,184.0,188.7,194.4,189.8,195.2,191.5,188.6,197.2,228.0,187.8,,186.0,193.4,190.0,,,179.8,195.0,211.1,202.0,185.3,,191.1,193.0,183.9,183.5,193.0,189.0,182.7,188.0,174.0,0.7,-0.7,0.0,0.0,3.0,-11.0,23.0,5.4,-7.0,3.8,7.7,7.0,5.7,,6.3,3.0,-2.0,2.7,8.4,3.8,9.2,5.5,2.6,11.2,42.0,1.8,,0.0,7.4,4.0,,,-6.2,9.0,25.1,16.0,-0.7,,5.1,7.0,-2.1,-2.5,7.0,3.0,-3.3,2.0,-12.0,True,True,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,,,False,False,False,False,True,,False,False,False,False,False,False,False,False,False
Nebraska,497,494.0,499.1,496.0,496.0,492.0,524.0,494.0,481.2,482.0,491.8,489.4,496.6,496.6,,503.2,484.0,496.0,488.7,508.2,500.3,494.5,487.3,487.0,488.2,564.0,484.3,,489.6,492.6,490.0,,,483.9,492.0,509.1,501.0,493.3,,487.5,488.0,487.7,495.2,492.0,501.0,481.7,487.4,479.0,-3.0,2.1,-1.0,-1.0,-5.0,27.0,-3.0,-15.8,-15.0,-5.2,-7.6,-0.4,-0.4,,6.2,-13.0,-1.0,-8.3,11.2,3.3,-2.5,-9.7,-10.0,-8.8,67.0,-12.7,,-7.4,-4.4,-7.0,,,-13.1,-5.0,12.1,4.0,-3.7,,-9.5,-9.0,-9.3,-1.8,-5.0,4.0,-15.3,-9.6,-18.0,True,True,True,False,False,False,False,False,False,False,True,True,,False,False,True,False,False,False,True,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,True,False,False,False,False,False
Nevada,1620,1631.3,1635.7,1635.0,1636.0,1638.0,1678.0,1664.0,1621.5,1633.0,1651.8,1636.3,1649.2,1643.7,,1667.5,1645.0,1649.0,1628.9,1614.8,1632.9,1630.6,1656.8,1633.3,1641.4,1640.0,1649.4,,1628.5,1648.0,1632.0,,1653.2,1615.1,1640.0,1865.1,1639.0,1640.1,,1652.6,1634.0,1641.3,1623.3,1651.0,1630.0,1637.3,1628.2,1609.0,11.3,15.7,15.0,16.0,18.0,58.0,44.0,1.5,13.0,31.8,16.3,29.2,23.7,,47.5,25.0,29.0,8.9,-5.2,12.9,10.6,36.8,13.3,21.4,20.0,29.4,,8.5,28.0,12.0,,33.2,-4.9,20.0,245.1,19.0,20.1,,32.6,14.0,21.3,3.3,31.0,10.0,17.3,8.2,-11.0,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,True,True,False,True,False,False,False,False,False,,True,False,False,,False,True,False,False,False,False,,False,False,False,True,False,True,False,True,True
New Hampshire,442,439.9,439.9,440.0,440.0,441.0,439.0,441.0,441.1,439.0,442.7,446.3,442.9,442.5,,440.1,439.0,441.0,440.7,445.4,445.8,442.1,442.0,439.0,443.7,446.0,444.6,,443.7,440.1,440.0,,,440.5,441.0,468.3,445.0,440.5,,447.8,441.0,448.1,452.0,440.0,439.0,440.9,440.5,,-2.1,-2.1,-2.0,-2.0,-1.0,-3.0,-1.0,-0.9,-3.0,0.7,4.3,0.9,0.5,,-1.9,-3.0,-1.0,-1.3,3.4,3.8,0.1,-0.0,-3.0,1.7,4.0,2.6,,1.7,-1.9,-2.0,,,-1.5,-1.0,26.3,3.0,-1.5,,5.8,-1.0,6.1,10.0,-2.0,-3.0,-1.1,-1.5,,True,True,True,True,False,True,True,False,True,False,True,True,,True,False,True,True,False,False,True,True,False,True,False,False,,True,True,True,,,True,True,False,False,True,,False,True,False,False,True,False,True,True,
New Jersey,16135,16139.4,16147.3,16142.0,16142.0,16148.0,16349.0,16175.0,16148.0,16114.0,16134.2,16152.6,16125.8,16153.6,,16252.9,16142.0,16169.0,16148.8,16256.1,16141.2,16145.5,16153.3,16143.0,16212.1,16146.0,16169.2,,16146.1,16148.3,16104.0,,16133.4,16144.6,16147.0,16695.8,16150.0,16139.5,,16172.4,16142.0,16424.9,16339.5,16141.0,16248.0,16135.2,16143.3,16324.0,4.4,12.3,7.0,7.0,13.0,214.0,40.0,13.0,-21.0,-0.8,17.6,-9.2,18.6,,117.9,7.0,34.0,13.8,121.1,6.2,10.5,18.3,8.0,77.1,11.0,34.2,,11.1,13.3,-31.0,,-1.6,9.6,12.0,560.8,15.0,4.5,,37.4,7.0,289.9,204.5,6.0,113.0,0.2,8.3,189.0,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,True,False,False,False,False,False,,False,False,False,False,False,False,True,False,False
New Mexico,890,888.0,892.2,892.0,893.0,891.0,879.0,899.0,876.9,882.0,895.3,900.4,892.8,891.5,,883.5,899.0,892.0,890.4,891.4,894.9,893.7,900.4,887.3,899.4,897.0,895.3,,887.3,897.4,882.0,,,877.9,895.0,1035.4,910.0,891.3,,898.5,889.0,902.2,891.4,896.0,883.0,887.3,892.9,890.0,-2.0,2.2,2.0,3.0,1.0,-11.0,9.0,-13.1,-8.0,5.3,10.4,2.8,1.5,,-6.5,9.0,2.0,0.4,1.4,4.9,3.7,10.4,-2.7,9.4,7.0,5.3,,-2.7,7.4,-8.0,,,-12.1,5.0,145.4,20.0,1.3,,8.5,-1.0,12.2,1.4,6.0,-7.0,-2.7,2.9,0.0,False,False,False,True,False,False,False,False,False,False,False,True,,False,False,False,True,True,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,True,,False,True,False,True,False,False,False,False,True
New York,33375,33168.7,33167.5,33169.0,33169.0,33173.0,33255.0,33169.0,33180.3,33132.0,33166.4,33186.2,33193.7,33179.4,,33097.4,33157.0,33188.0,33175.9,33389.5,33223.5,33173.8,33175.0,33176.9,33350.4,33216.0,33170.2,,33182.5,33172.9,33142.0,,33156.5,33181.2,33160.0,33462.5,33171.0,33166.6,,33173.4,33181.0,33373.6,33539.4,33171.0,32857.0,33055.0,33186.1,33074.0,-44.3,-45.5,-44.0,-44.0,-40.0,42.0,-44.0,-32.7,-81.0,-46.6,-26.8,-19.3,-33.6,,-115.6,-56.0,-25.0,-37.1,176.5,10.5,-39.2,-38.0,-36.1,137.4,3.0,-42.8,,-30.5,-40.1,-71.0,,-56.5,-31.8,-53.0,249.5,-42.0,-46.4,,-39.6,-32.0,160.6,326.4,-42.0,-356.0,-158.0,-26.9,-139.0,False,True,True,True,True,True,True,False,False,True,True,True,,False,False,True,True,False,True,True,True,True,False,True,True,,True,True,False,,False,True,False,False,True,False,,True,True,False,False,True,False,False,True,False
