,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7133,7178.7,7231.4,7064.0,7216.7,7157.0,6818.0,7205.0,7053.4,7160.0,7862.7,7003.8,8147.3,6977.3,,7167.0,7137.4,6829.9,7028.5,7201.8,7022.5,7092.1,7350.7,6963.0,7657.0,,7172.0,7036.5,7068.0,,7468.7,6907.4,,7124.0,6887.0,7066.0,7158.2,,7608.0,7120.0,7223.1,7112.0,6989.0,7354.0,6796.6,7020.1,6858.0,45.7,98.4,-69.0,83.7,24.0,-315.0,72.0,-79.6,27.0,729.7,-129.2,1014.3,-155.7,,34.0,4.4,-303.1,-104.5,68.8,-110.5,-40.9,217.7,-170.0,524.0,,39.0,-96.5,-65.0,,335.7,-225.6,,-9.0,-246.0,-67.0,25.2,,475.0,-13.0,90.1,-21.0,-144.0,221.0,-336.4,-112.9,-275.0,False,False,False,True,False,False,False,True,False,False,False,False,,True,True,False,False,False,False,True,False,False,False,,True,False,False,,False,False,,True,False,False,True,,False,True,False,True,False,False,False,False,False
Hawaii,153,139.0,132.7,133.0,136.0,134.0,126.0,134.0,139.4,136.0,178.7,,,230.3,,,145.0,115.5,179.9,154.7,123.6,131.2,119.0,146.0,128.7,,118.6,128.1,227.0,,,131.6,,142.9,125.0,134.0,135.1,,141.0,127.0,133.8,127.0,129.0,206.0,118.8,138.1,135.0,-14.0,-20.3,-20.0,-17.0,-19.0,-27.0,-19.0,-13.6,-17.0,25.7,,,77.3,,,-8.0,-37.5,26.9,1.7,-29.4,-21.8,-34.0,-7.0,-24.3,,-34.4,-24.9,74.0,,,-21.4,,-10.1,-28.0,-19.0,-17.9,,-12.0,-26.0,-19.2,-26.0,-24.0,53.0,-34.2,-14.9,-18.0,False,False,False,False,False,False,True,False,False,,,False,,,True,False,False,True,False,False,False,True,False,,False,False,False,,,False,,True,False,False,False,,True,False,False,False,False,False,False,False,False
Idaho,480,500.7,521.9,458.0,508.0,498.0,455.0,491.0,499.6,480.0,556.8,505.1,,527.4,,498.0,490.0,460.8,571.8,502.7,501.8,476.1,714.4,492.0,490.0,,457.2,534.1,500.0,,,437.1,,486.5,428.6,534.0,496.8,,498.2,469.0,475.4,472.8,497.0,493.5,475.3,491.5,489.0,20.7,41.9,-22.0,28.0,18.0,-25.0,11.0,19.6,0.0,76.8,25.1,,47.4,,18.0,10.0,-19.2,91.8,22.7,21.8,-3.9,234.4,12.0,10.0,,-22.8,54.1,20.0,,,-42.9,,6.5,-51.4,54.0,16.8,,18.2,-11.0,-4.6,-7.2,17.0,13.5,-4.7,11.5,9.0,False,False,False,True,False,True,True,True,False,False,,False,,True,True,True,False,False,False,True,False,True,True,,False,False,True,,,False,,True,False,False,True,,True,True,True,True,True,True,True,True,True
Illinois,9023,8972.4,8968.5,8878.0,8953.8,8971.0,9156.0,9089.0,8954.8,9007.0,8963.0,8954.1,,9038.9,,8974.0,9043.6,9571.1,9114.2,8999.6,8811.1,8961.6,8765.0,8904.0,9198.3,9885.0,8591.4,8944.0,9277.0,,8871.9,8814.5,,8975.5,9211.5,8991.0,8909.0,,9122.5,8946.0,9289.3,10039.0,8947.0,8933.0,8513.9,8913.7,8557.0,-50.6,-54.5,-145.0,-69.2,-52.0,133.0,66.0,-68.2,-16.0,-60.0,-68.9,,15.9,,-49.0,20.6,548.1,91.2,-23.4,-211.9,-61.4,-258.0,-119.0,175.3,862.0,-431.6,-79.0,254.0,,-151.1,-208.5,,-47.5,188.5,-32.0,-114.0,,99.5,-77.0,266.3,1016.0,-76.0,-90.0,-509.1,-109.3,-466.0,False,False,False,False,False,False,False,True,False,False,,True,,True,True,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,,True,False,True,False,,False,False,False,False,False,False,False,False,False
Indiana,3669,3649.4,3657.6,3638.0,3662.5,3672.0,3704.0,3631.0,3659.0,3724.0,3656.4,3650.8,,3645.9,,3780.0,3672.6,3860.1,3798.3,3677.2,3635.1,3628.0,3708.7,3601.0,3715.3,3655.0,3755.2,3644.8,3688.0,,3611.1,3532.7,,3642.6,4224.4,3747.0,3630.5,,3683.7,3688.0,3785.6,4127.9,3640.0,3592.0,3362.6,3633.5,3585.0,-19.6,-11.4,-31.0,-6.5,3.0,35.0,-38.0,-10.0,55.0,-12.6,-18.2,,-23.1,,111.0,3.6,191.1,129.3,8.2,-33.9,-41.0,39.7,-68.0,46.3,-14.0,86.2,-24.2,19.0,,-57.9,-136.3,,-26.4,555.4,78.0,-38.5,,14.7,19.0,116.6,458.9,-29.0,-77.0,-306.4,-35.5,-84.0,True,False,True,True,False,False,True,False,True,True,,False,,False,True,False,False,True,False,False,False,False,False,True,False,False,True,,False,False,,False,False,False,False,,True,True,False,False,False,False,False,False,False
Iowa,1381,1371.4,1383.9,1363.0,1380.0,1384.0,1426.0,1428.0,1411.0,1430.0,1420.4,1359.3,,1437.2,,1450.0,1444.2,1393.0,1407.7,1538.7,1315.3,1340.5,1375.6,1407.0,1404.0,,1471.8,1398.3,1287.0,,1356.3,1291.3,,1406.4,1502.8,1383.0,1369.0,,1384.0,1335.0,1388.6,1537.3,1444.0,1293.0,1307.9,1391.0,1344.0,-9.6,2.9,-18.0,-1.0,3.0,45.0,47.0,30.0,49.0,39.4,-21.7,,56.2,,69.0,63.2,12.0,26.7,157.7,-65.7,-40.5,-5.4,26.0,23.0,,90.8,17.3,-94.0,,-24.7,-89.7,,25.4,121.8,2.0,-12.0,,3.0,-46.0,7.6,156.3,63.0,-88.0,-73.1,10.0,-37.0,True,False,True,True,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,True,False,False,,False,False,False,,False,False,,False,False,True,False,,True,False,True,False,False,False,False,False,False
Kansas,690,662.3,664.2,642.0,664.0,623.0,642.0,611.0,648.9,624.0,628.3,595.3,,566.2,,572.0,619.7,613.3,699.1,638.8,559.3,618.0,607.9,702.0,612.2,,598.0,668.1,632.0,,,581.0,,622.2,678.4,592.0,641.0,,629.6,607.0,590.7,638.2,646.0,737.5,573.0,613.3,649.0,-27.7,-25.8,-48.0,-26.0,-67.0,-48.0,-79.0,-41.1,-66.0,-61.7,-94.7,,-123.8,,-118.0,-70.3,-76.7,9.1,-51.2,-130.7,-72.0,-82.1,12.0,-77.8,,-92.0,-21.9,-58.0,,,-109.0,,-67.8,-11.6,-98.0,-49.0,,-60.4,-83.0,-99.3,-51.8,-44.0,47.5,-117.0,-76.7,-41.0,True,False,True,False,False,False,False,False,False,False,,False,,False,False,False,True,False,False,False,False,True,False,,False,True,False,,,False,,False,True,False,False,,False,False,False,False,False,False,False,False,False
Kentucky,1205,1242.9,1237.5,1211.0,1248.9,1243.0,1259.0,1294.0,1254.7,1230.0,1262.0,1225.1,,1230.8,,1316.0,1260.3,1229.4,1285.6,1261.0,1208.4,1207.0,1194.7,1250.0,1290.2,1198.0,1186.0,1249.7,1266.0,,1214.3,1157.0,,1237.4,1265.2,1258.0,1241.4,,1282.0,1234.0,1190.9,1320.4,1234.0,1246.0,1147.0,1215.8,1194.0,37.9,32.5,6.0,43.9,38.0,54.0,89.0,49.7,25.0,57.0,20.1,,25.8,,111.0,55.3,24.4,80.6,56.0,3.4,2.0,-10.3,45.0,85.2,-7.0,-19.0,44.7,61.0,,9.3,-48.0,,32.4,60.2,53.0,36.4,,77.0,29.0,-14.1,115.4,29.0,41.0,-58.0,10.8,-11.0,True,True,False,False,False,False,False,True,False,True,,True,,False,False,True,False,False,True,True,True,False,False,True,True,False,False,,True,False,,True,False,False,True,,False,True,True,False,True,False,False,True,True
Louisiana,5545,5640.7,5712.7,5577.0,5702.9,5568.0,5461.0,6020.0,5549.9,5542.0,5668.1,5671.3,,5498.5,,5521.0,5486.7,5500.1,5472.8,5437.9,5631.0,5500.7,5785.1,5462.0,5599.6,,5414.3,5568.4,5460.0,,5534.4,5536.0,,5579.1,5283.9,5991.0,5742.3,,5531.5,5600.0,5735.4,5702.6,5569.0,5496.0,5364.5,5560.7,5465.0,95.7,167.7,32.0,157.9,23.0,-84.0,475.0,4.9,-3.0,123.1,126.3,,-46.5,,-24.0,-58.3,-44.9,-72.2,-107.1,86.0,-44.3,240.1,-83.0,54.6,,-130.7,23.4,-85.0,,-10.6,-9.0,,34.1,-261.1,446.0,197.3,,-13.5,55.0,190.4,157.6,24.0,-49.0,-180.5,15.7,-80.0,False,True,False,True,True,False,True,True,False,False,,True,,True,True,True,True,False,True,True,False,True,True,,False,True,True,,True,True,,True,False,False,False,,True,True,False,False,True,True,False,True,True
Maine,142,141.7,137.5,138.0,138.8,141.0,136.0,139.0,140.3,140.0,146.0,141.7,,142.0,,159.0,142.9,143.7,156.8,139.0,142.9,136.5,149.6,155.0,137.9,,137.5,139.6,141.0,,,140.4,,139.6,149.9,151.0,137.8,,141.9,144.0,149.0,150.8,139.0,141.0,139.8,141.6,,-0.3,-4.5,-4.0,-3.2,-1.0,-6.0,-3.0,-1.7,-2.0,4.0,-0.3,,-0.0,,17.0,0.9,1.7,14.8,-3.0,0.9,-5.5,7.6,13.0,-4.1,,-4.5,-2.4,-1.0,,,-1.6,,-2.4,7.9,9.0,-4.2,,-0.1,2.0,7.0,8.8,-3.0,-1.0,-2.2,-0.4,,False,False,False,False,False,False,False,False,False,True,,True,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,True,False,False,False,False,False,False,False,
Maryland,3957,3949.4,3957.8,3955.0,3957.9,3953.0,4143.0,4234.0,3974.9,3871.0,3961.8,3991.7,,4005.1,,3924.0,3969.6,4095.0,3969.4,3948.3,3944.9,3949.4,3950.3,3932.0,3888.9,,3943.1,3954.2,3879.0,,3963.5,3944.3,,3966.1,4231.5,3953.0,3938.9,,3896.2,3965.0,4176.4,4257.9,3962.0,3917.0,3917.0,3958.4,3986.0,-7.6,0.8,-2.0,0.9,-4.0,186.0,277.0,17.9,-86.0,4.8,34.7,,48.1,,-33.0,12.6,138.0,12.4,-8.7,-12.1,-7.6,-6.7,-25.0,-68.1,,-13.9,-2.8,-78.0,,6.5,-12.7,,9.1,274.5,-4.0,-18.1,,-60.8,8.0,219.4,300.9,5.0,-40.0,-40.0,1.4,29.0,True,True,True,True,False,False,False,False,True,False,,False,,False,False,False,False,False,False,False,True,False,False,,False,True,False,,True,False,,False,False,True,False,,False,False,False,False,True,False,False,True,False
