,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
South Carolina,3442,2632.9,3432.7,2844.0,,2121.9,3476.1,-809.1,-9.3,-598.0,,-1320.1,34.1,True,True,,False,True
South Dakota,248,251.3,161.7,190.0,,140.9,196.1,3.3,-86.3,-58.0,,-107.1,-51.9,False,False,,False,False
Tennessee,2560,1879.3,2834.8,3020.0,,1435.0,2738.7,-680.7,274.8,460.0,,-1125.0,178.7,True,True,,False,True
Texas,16295,10033.9,18983.2,17245.0,10063.0,8979.3,11868.6,-5738.1,3211.2,1473.0,-5709.0,-6792.7,-3903.4,True,True,True,False,True
Utah,476,582.6,956.8,714.0,,513.5,800.8,106.6,480.8,238.0,,37.5,324.8,False,False,,True,False
Vermont,58,56.0,60.0,57.0,,57.4,70.4,-2.0,2.0,-1.0,,-0.6,12.4,False,True,,True,False
Virginia,3270,3305.9,2486.1,2719.0,,2575.5,3790.2,35.9,-783.9,-551.0,,-694.5,520.2,False,False,,False,False
Washington,2142,2374.7,2493.0,2192.0,,2023.4,2390.8,232.7,351.0,50.0,,-118.6,248.8,False,True,,True,False
West Virginia,363,119.7,381.1,176.0,,130.6,137.0,-243.3,18.1,-187.0,,-232.4,-226.0,True,True,,True,True
Wisconsin,1372,1104.6,1800.6,1248.0,,1112.1,1472.3,-267.4,428.6,-124.0,,-259.9,100.3,False,True,,True,True
Wyoming,53,32.9,93.2,43.0,,27.7,39.4,-20.1,40.2,-10.0,,-25.3,-13.6,False,True,,False,True
US,209387,197395.7,223499.5,193248.0,149969.0,179542.0,205864.9,-11412.3,14691.5,-15560.0,-58839.0,-29266.0,-2943.1,False,False,False,False,True
