,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Georgia,7133,8151.1,6395.0,,6050.6,6508.0,6294.0,5906.1,4681.5,5778.4,,7063.3,6896.5,7318.0,6983.1,1018.1,-738.0,,-1082.4,-625.0,-839.0,-1226.9,-2451.5,-1354.6,,-69.7,-236.5,185.0,-149.9,True,,False,True,True,False,False,False,,True,True,True,True
Hawaii,153,101.7,77.0,,234.4,125.0,,104.6,28.9,58.9,,101.6,162.5,74.0,119.2,-51.3,-76.0,,81.4,-28.0,,-48.4,-124.1,-94.1,,-51.4,9.5,-79.0,-33.8,False,,False,True,,True,False,False,,False,True,False,True
Idaho,480,488.4,425.0,,466.1,444.0,379.0,363.7,527.8,315.8,,382.6,421.7,414.0,502.1,8.4,-55.0,,-13.9,-36.0,-101.0,-116.3,47.8,-164.2,,-97.4,-58.3,-66.0,22.1,False,,False,False,False,False,False,False,,False,False,False,False
Illinois,9023,8709.3,9075.0,,8856.7,8408.0,8471.0,8352.5,9261.2,8300.2,,8521.8,11148.5,8766.0,8917.6,-313.7,52.0,,-166.3,-615.0,-552.0,-670.5,238.2,-722.8,,-501.2,2125.5,-257.0,-105.4,True,,True,False,False,False,True,False,,False,False,True,True
Indiana,3669,3763.9,3570.0,,3663.6,3461.0,3536.0,3433.8,3762.9,3458.6,,3685.3,4691.6,3868.0,3830.2,94.9,-99.0,,-5.4,-208.0,-133.0,-235.2,93.9,-210.4,,16.3,1022.6,199.0,161.2,False,,True,False,False,False,True,False,,True,False,False,False
Iowa,1381,1276.7,1264.0,,1233.7,1021.0,1277.0,1203.2,1079.8,1134.9,,1136.7,1518.4,1249.0,1289.3,-104.3,-117.0,,-147.3,-360.0,-104.0,-177.8,-301.2,-246.1,,-244.3,137.4,-132.0,-91.7,False,,False,False,True,False,False,False,,False,False,False,True
Kansas,698,584.3,596.0,,625.3,579.0,564.0,497.5,505.5,445.6,,528.4,652.8,591.0,576.0,-113.7,-102.0,,-72.7,-119.0,-134.0,-200.5,-192.5,-252.4,,-169.6,-45.2,-107.0,-122.0,True,,True,False,False,False,False,False,,False,True,True,False
Kentucky,1205,1063.7,1027.0,,,1068.0,966.0,911.8,1266.9,910.7,,1070.1,1306.6,1065.0,1084.0,-141.3,-178.0,,,-137.0,-239.0,-293.2,61.9,-294.3,,-134.9,101.6,-140.0,-121.0,False,,,True,False,False,True,False,,True,True,True,True
Louisiana,5545,6180.1,5258.0,,,5228.0,5801.0,5151.3,4260.4,5554.8,,5198.8,5845.7,5057.0,5508.9,635.1,-287.0,,,-317.0,256.0,-393.7,-1284.6,9.8,,-346.2,300.7,-488.0,-36.1,True,,,True,True,True,False,True,,True,True,True,True
Maine,142,140.7,149.0,,,130.0,137.0,141.7,150.0,131.4,,136.0,164.2,135.0,142.6,-1.3,7.0,,,-12.0,-5.0,-0.3,8.0,-10.6,,-6.0,22.2,-7.0,0.6,False,,,False,False,True,False,False,,False,False,False,True
Maryland,3957,4009.3,4179.0,,,3855.0,3840.0,3821.6,4043.4,4002.5,,3922.3,4677.7,3943.0,4176.7,52.3,222.0,,,-102.0,-117.0,-135.4,86.4,45.5,,-34.7,720.7,-14.0,219.7,False,,,False,False,False,False,True,,True,False,True,False
Massachusetts,9507,9544.3,9475.0,,,9290.0,8917.0,9216.2,8535.0,9257.1,,9338.6,9377.3,9550.0,9561.8,37.3,-32.0,,,-217.0,-590.0,-290.8,-972.0,-249.9,,-168.4,-129.7,43.0,54.8,True,,,False,False,False,False,False,,False,False,False,False
Michigan,7124,7092.6,7130.0,,,6687.0,6976.0,6809.7,7899.0,6981.7,,6918.2,8782.3,6966.0,7052.1,-31.4,6.0,,,-437.0,-148.0,-314.3,775.0,-142.3,,-205.8,1658.3,-158.0,-71.9,True,,,False,False,False,False,False,,False,False,False,False
Minnesota,2126,2122.3,2109.0,,,1831.0,1982.0,1918.8,1972.6,1956.7,,1794.9,2581.8,1942.0,2108.4,-3.7,-17.0,,,-295.0,-144.0,-207.2,-153.4,-169.3,,-331.1,455.8,-184.0,-17.6,False,,,False,False,False,False,False,,False,False,False,False
Mississippi,3011,3373.1,2895.0,,,3043.0,3120.0,2582.0,2498.1,2611.2,,2994.8,2906.8,2707.0,2963.7,362.1,-116.0,,,32.0,109.0,-429.0,-512.9,-399.8,,-16.2,-104.2,-304.0,-47.3,True,,,True,True,False,False,False,,True,True,True,True
Missouri,2177,1719.0,1767.0,,,1960.0,1657.0,1647.7,1815.7,1542.6,,2051.7,2634.6,1661.0,1797.8,-458.0,-410.0,,,-217.0,-520.0,-529.3,-361.3,-634.4,,-125.3,457.6,-516.0,-379.2,True,,,True,False,False,True,False,,True,True,False,True
Montana,186,130.0,117.0,,,141.0,155.0,136.6,239.8,102.8,,100.2,161.0,168.0,164.0,-56.0,-69.0,,,-45.0,-31.0,-49.4,53.8,-83.2,,-85.8,-25.0,-18.0,-22.0,False,,,True,True,True,True,False,,False,True,True,True
Nebraska,497,470.7,529.0,,,392.0,466.0,408.9,433.7,404.2,,443.0,498.3,452.0,466.1,-26.3,32.0,,,-105.0,-31.0,-88.1,-63.3,-92.8,,-54.0,1.3,-45.0,-30.9,False,,,False,False,False,False,False,,False,True,False,False
Nevada,1620,1860.6,1544.0,,,1530.0,1763.0,1555.6,1227.3,1249.5,,1522.6,1623.3,1614.0,1690.3,240.6,-76.0,,,-90.0,143.0,-64.4,-392.7,-370.5,,-97.4,3.3,-6.0,70.3,True,,,True,True,True,False,False,,True,True,True,True
New Hampshire,442,450.4,459.0,,,432.0,425.0,444.9,475.6,444.3,,472.3,485.3,425.0,467.0,8.4,17.0,,,-10.0,-17.0,2.9,33.6,2.3,,30.3,43.3,-17.0,25.0,False,,,False,False,True,False,True,,False,False,False,False
New Jersey,16135,16172.6,16861.0,,,15994.0,16180.0,16244.8,16087.5,16138.4,,16243.2,17651.3,16276.0,16069.8,37.6,726.0,,,-141.0,45.0,109.8,-47.5,3.4,,108.2,1516.3,141.0,-65.2,False,,,False,False,False,False,True,,False,False,False,False
New Mexico,890,912.9,841.0,,,855.0,898.0,791.4,917.8,784.2,,865.1,921.0,807.0,919.6,22.9,-49.0,,,-35.0,8.0,-98.6,27.8,-105.8,,-24.9,31.0,-83.0,29.6,False,,,False,True,False,False,False,,False,False,False,False
New York,33375,33292.6,35014.0,,,32853.0,33169.0,33135.8,28634.5,33071.8,,33082.9,35694.6,33183.0,33157.2,-106.4,1615.0,,,-546.0,-230.0,-263.2,-4764.5,-327.2,,-316.1,2295.6,-216.0,-241.8,False,,,False,False,False,False,False,,False,False,False,False
North Carolina,3629,3409.9,3149.0,,,3133.0,3350.0,2974.6,2622.5,2817.3,,2914.5,3230.9,3022.0,3373.2,-219.1,-480.0,,,-496.0,-279.0,-654.4,-1006.5,-811.7,,-714.5,-398.1,-607.0,-255.8,False,,,False,False,False,False,False,,False,False,False,False
North Dakota,271,214.1,173.0,,,133.0,185.0,159.0,209.8,163.4,,189.2,222.1,189.0,191.0,-56.9,-98.0,,,-138.0,-86.0,-112.0,-61.2,-107.6,,-81.8,-48.9,-82.0,-80.0,False,,,False,False,False,False,False,,False,True,False,False
Ohio,4925,4902.6,4415.0,,,4618.0,4547.0,4340.3,4720.7,4384.8,,4595.8,5330.4,4647.0,4856.6,-22.4,-510.0,,,-307.0,-378.0,-584.7,-204.3,-540.2,,-329.2,405.4,-278.0,-68.4,False,,,False,False,False,False,False,,False,False,False,False
Oklahoma,1051,1058.7,933.0,,,1028.0,903.0,821.6,838.7,877.9,,880.0,1108.4,910.0,1013.7,7.7,-118.0,,,-23.0,-148.0,-229.4,-212.3,-173.1,,-171.0,57.4,-141.0,-37.3,False,,,False,False,False,False,False,,False,False,False,False
Oregon,571,607.4,517.0,,,565.0,567.0,513.7,1054.6,548.6,,511.1,617.5,578.0,622.5,36.4,-54.0,,,-6.0,-4.0,-57.3,483.6,-22.4,,-59.9,46.5,7.0,51.5,False,,,True,True,False,False,True,,False,False,True,False
Pennsylvania,8180,8426.7,8132.0,,,7980.0,7690.0,7790.1,8149.7,7878.5,,8318.1,9697.6,8159.0,8261.4,246.7,-48.0,,,-200.0,-490.0,-389.9,-30.3,-301.5,,138.1,1517.6,-21.0,81.4,True,,,True,False,False,True,False,,True,False,True,True
Rhode Island,1118,1069.0,1128.0,,,1032.0,1068.0,1041.6,1035.7,1021.9,,1076.5,1226.9,1043.0,1080.3,-43.0,16.0,,,-80.0,-44.0,-70.4,-76.3,-90.1,,-35.5,114.9,-69.0,-31.7,True,,,False,False,False,False,False,,True,False,False,True
South Carolina,3442,3901.0,3219.0,,,3489.0,3066.0,2876.4,2565.2,2913.7,,3260.9,3061.1,3076.0,3530.9,459.0,-223.0,,,47.0,-376.0,-565.6,-876.8,-528.3,,-181.1,-380.9,-366.0,88.9,True,,,True,True,False,False,False,,True,True,True,True
South Dakota,248,201.0,210.0,,,175.0,218.0,203.4,213.1,178.2,,192.9,244.9,200.0,205.7,-47.0,-38.0,,,-73.0,-30.0,-44.6,-34.9,-69.8,,-55.1,-3.1,-48.0,-42.3,True,,,False,True,True,True,False,,False,True,False,True
Tennessee,2560,2346.6,2117.0,,,2173.0,2193.0,2001.5,2014.6,2558.5,,1855.7,2082.9,1828.0,2153.8,-213.4,-443.0,,,-387.0,-367.0,-558.5,-545.4,-1.5,,-704.3,-477.1,-732.0,-406.2,False,,,False,False,False,False,True,,False,False,False,False
Texas,16363,18892.0,16236.0,,,16518.0,19693.0,17202.8,10428.9,14787.1,14995.0,14992.6,15860.3,16452.0,16770.6,2687.0,31.0,,,313.0,3488.0,997.8,-5776.1,-1417.9,-1210.0,-1212.4,-344.7,247.0,565.6,True,,,True,False,True,False,True,True,True,True,True,True
Utah,476,548.1,623.0,,,460.0,510.0,461.3,440.8,434.0,,525.7,468.2,470.0,550.0,72.1,147.0,,,-16.0,34.0,-14.7,-35.2,-42.0,,49.7,-7.8,-6.0,74.0,False,,,True,True,True,True,True,,True,True,True,False
Vermont,58,58.0,66.0,,,58.0,58.0,62.2,59.9,58.0,,58.7,76.5,58.0,66.2,0.0,8.0,,,0.0,0.0,4.2,1.9,0.0,,0.7,18.5,0.0,8.2,False,,,True,True,False,False,True,,False,False,True,False
Virginia,3270,2758.1,2969.0,,,2552.0,2755.0,2714.6,2686.8,2681.5,,2575.1,3342.1,2554.0,3071.0,-511.9,-301.0,,,-718.0,-515.0,-555.4,-583.2,-588.5,,-694.9,72.1,-716.0,-199.0,True,,,False,False,False,False,False,,False,True,False,True
Washington,2123,2418.7,2151.0,,,2326.0,2157.0,2101.0,2637.4,2657.0,,2016.7,2508.0,2187.0,2451.0,316.7,49.0,,,224.0,55.0,-1.0,535.4,555.0,,-85.3,406.0,85.0,349.0,True,,,True,True,True,False,False,,True,False,True,False
West Virginia,363,304.0,221.0,,,220.0,233.0,240.8,179.5,185.0,,307.5,286.6,377.0,323.9,-59.0,-142.0,,,-143.0,-130.0,-122.2,-183.5,-178.0,,-55.5,-76.4,14.0,-39.1,False,,,False,False,False,False,False,,True,False,True,True
Wisconsin,1443,1320.1,1406.0,,,1380.0,1229.0,1209.8,1299.5,1229.5,,1194.8,1615.4,1261.0,1390.2,-62.9,23.0,,,-3.0,-154.0,-173.2,-83.5,-153.5,,-188.2,232.4,-122.0,7.2,True,,,True,False,False,False,False,,False,False,False,True
Wyoming,53,43.7,48.0,,,45.0,31.0,37.8,47.5,30.0,,38.2,56.3,30.0,41.2,-9.3,-5.0,,,-8.0,-22.0,-15.2,-5.5,-23.0,,-14.8,3.3,-23.0,-11.8,True,,,True,False,False,True,False,,False,True,False,False
US,209695,218833.7,192310.0,208126.0,190265.7,203750.0,205125.0,193791.5,185433.1,190493.4,209640.0,207733.1,221166.5,201097.0,209750.6,9359.7,-17164.0,-1348.0,-19208.3,-5724.0,-4349.0,-15682.5,-24040.9,-18980.6,166.0,-1740.9,11692.5,-8377.0,276.6,False,True,False,True,True,False,False,False,True,True,False,True,True
