,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Maine,142,131.7,126.9,119.8,137.0,,109.6,260.4,-10.3,-15.1,-22.2,-5.0,,-32.4,118.4,False,False,True,,False,False
Maryland,3957,4581.4,3584.3,3518.9,3486.0,,3511.7,3534.1,624.4,-372.7,-438.1,-471.0,,-445.3,-422.9,True,True,True,,True,True
Massachusetts,9507,10858.1,8319.4,10218.9,8315.0,,8512.0,9462.6,1352.1,-1186.6,712.9,-1191.0,,-994.0,-43.4,True,True,True,,True,True
Michigan,7124,7085.4,6609.6,6435.7,6936.0,,6496.5,6919.9,-38.6,-514.4,-688.3,-188.0,,-627.5,-204.1,False,False,False,,False,False
Minnesota,2126,2125.1,1954.8,1825.0,1576.0,,1803.0,1934.1,-0.9,-171.2,-301.0,-550.0,,-323.0,-191.9,False,False,False,,False,False
Mississippi,3011,2438.6,2339.1,1983.5,2170.0,,1289.9,2347.9,-572.4,-671.9,-1027.5,-841.0,,-1721.1,-663.1,False,False,False,,False,False
Missouri,2177,1544.4,1974.4,1667.6,1494.0,,1883.7,1770.3,-622.6,-192.6,-499.4,-673.0,,-283.3,-396.7,True,True,False,,True,True
Montana,186,49.7,147.3,48.9,50.0,,26.8,74.5,-136.3,-38.7,-137.1,-136.0,,-159.2,-111.5,True,False,True,,False,True
Nebraska,497,585.7,378.7,502.3,386.0,,351.2,391.2,88.7,-118.3,5.3,-111.0,,-145.8,-105.8,False,True,False,,False,False
Nevada,1620,680.1,5755.5,957.4,564.0,,743.3,2164.2,-939.9,4135.5,-662.6,-1056.0,,-876.7,544.2,False,True,False,,True,True
New Hampshire,442,755.0,469.7,781.9,386.0,,536.4,453.5,313.0,27.7,339.9,-56.0,,94.4,11.5,True,False,True,,True,True
New Jersey,16135,43188.1,13522.5,16024.1,16312.0,,15342.6,16485.2,27053.1,-2612.5,-110.9,177.0,,-792.4,350.2,True,True,True,,True,True
New Mexico,890,810.7,811.5,801.5,827.0,,629.6,624.3,-79.3,-78.5,-88.5,-63.0,,-260.4,-265.7,True,False,True,,False,False
New York,33197,35166.1,32062.0,33255.1,32045.0,,31812.4,31941.0,2650.1,-454.0,739.1,-471.0,,-703.6,-575.0,True,True,True,,True,True
North Carolina,3629,3139.6,3437.3,2222.1,3147.0,,2219.2,2383.4,-489.4,-191.7,-1406.9,-482.0,,-1409.8,-1245.6,True,False,True,,False,False
North Dakota,271,106.7,107.1,89.7,129.0,,97.4,110.0,-164.3,-163.9,-181.3,-142.0,,-173.6,-161.0,True,False,True,,False,True
Ohio,4925,4289.7,3945.4,4133.7,3437.0,,4004.0,5972.2,-635.3,-979.6,-791.3,-1488.0,,-921.0,1047.2,False,False,False,,False,False
Oklahoma,1051,606.7,1990.1,497.0,621.0,,539.8,985.2,-444.3,939.1,-554.0,-430.0,,-511.2,-65.8,False,False,True,,False,True
Oregon,571,368.3,931.9,509.0,547.0,,325.9,734.2,-202.7,360.9,-62.0,-24.0,,-245.1,163.2,False,True,True,,False,True
Pennsylvania,8180,9141.9,7771.9,8155.1,7838.0,,7455.1,7116.2,961.9,-408.1,-24.9,-342.0,,-724.9,-1063.8,True,True,True,,True,False
Rhode Island,1118,1384.3,1070.3,1339.2,1239.0,,1115.2,977.7,266.3,-47.7,221.2,121.0,,-2.8,-140.3,True,True,True,,True,True
South Carolina,3442,1589.0,4055.7,1378.5,1142.0,,948.2,1785.3,-1853.0,613.7,-2063.5,-2300.0,,-2493.8,-1656.7,True,False,False,,False,True
South Dakota,248,229.6,194.8,227.8,133.0,,108.6,118.1,-18.4,-53.2,-20.2,-115.0,,-139.4,-129.9,False,False,False,,False,False
Tennessee,2560,1387.7,2331.8,1591.3,2275.0,,840.9,1343.8,-1172.3,-228.2,-968.7,-285.0,,-1719.1,-1216.2,True,True,True,,False,False
Texas,16295,5325.9,16984.9,9941.1,5280.0,6386.0,4833.7,13373.5,-10743.1,915.9,-6127.9,-10789.0,-9683.0,-11235.3,-2695.5,True,True,False,True,False,True
Utah,476,291.7,1127.4,412.5,274.0,,256.4,331.6,-184.3,651.4,-63.5,-202.0,,-219.6,-144.4,False,True,False,,False,True
Vermont,58,56.0,67.8,75.8,57.0,,62.7,58.6,-2.0,9.8,17.8,-1.0,,4.7,0.6,False,False,True,,False,True
Virginia,3270,3408.7,2137.8,2246.3,2277.0,,1912.5,1872.8,138.7,-1132.2,-1023.7,-993.0,,-1357.5,-1397.2,False,False,False,,False,False
Washington,2142,1864.3,2196.7,2088.8,1390.0,,1420.5,2049.3,-277.7,54.7,-53.2,-752.0,,-721.5,-92.7,True,True,False,,False,True
West Virginia,363,148.4,152.2,138.2,99.0,,134.6,347.8,-214.6,-210.8,-224.8,-264.0,,-228.4,-15.2,True,False,False,,False,True
Wisconsin,1372,1234.3,1430.8,1266.7,1114.0,,892.6,1613.0,-137.7,58.8,-105.3,-258.0,,-479.4,241.0,True,True,False,,False,False
Wyoming,53,20.0,123.9,24.0,23.0,,21.8,29.0,-33.0,70.9,-29.0,-30.0,,-31.2,-24.0,False,True,True,,True,True
US,209387,206507.0,224685.7,176294.9,141562.0,144703.0,156776.5,200846.0,-1962.0,16216.7,-32174.1,-66907.0,-63766.0,-51692.5,-7623.0,False,False,False,False,False,False
