,actual_deaths,Baseline,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Kentucky,585,625.3,473.7,561.0,527.0,502.0,566.5,595.0,553.5,513.0,702.0,572.6,612.3,40.3,-111.3,-24.0,-58.0,-83.0,-18.5,10.0,-31.5,-72.0,117.0,-12.4,27.3,False,True,False,False,True,True,True,False,False,True,True
Louisiana,3278,3276.7,2998.2,2915.0,2936.0,3049.0,3454.2,,3322.0,2994.0,3188.0,1911.4,3342.3,-1.3,-279.8,-363.0,-342.0,-229.0,176.2,,44.0,-284.0,-90.0,-1366.6,64.3,False,False,False,False,False,,False,False,False,False,False
Maine,107,142.4,104.4,142.0,142.7,144.0,115.8,,90.0,1418.0,100.0,141.4,108.5,35.4,-2.6,35.0,35.7,37.0,8.8,,-17.0,1311.0,-7.0,34.4,1.5,True,True,False,False,True,,True,False,True,True,True
Maryland,3236,3770.6,3072.3,3636.0,2850.4,3622.0,3454.9,,3448.0,3811.0,3859.3,3269.7,3795.3,534.6,-163.7,400.0,-385.6,386.0,218.9,,212.0,575.0,623.3,33.7,559.3,True,True,True,True,True,,True,False,False,True,False
Massachusetts,8172,9148.3,7462.1,7812.0,8595.2,8555.0,8053.9,,8411.0,7340.0,8374.0,7242.9,8161.7,976.3,-709.9,-360.0,423.2,383.0,-118.1,,239.0,-832.0,202.0,-929.1,-10.3,True,True,True,True,True,,True,True,True,True,True
Michigan,6218,6768.4,5810.2,5827.0,5915.7,6025.0,6700.4,5714.5,5777.0,5916.0,6217.8,5240.4,6182.7,790.4,-167.8,-151.0,-62.3,47.0,722.4,-263.5,-201.0,-62.0,239.8,-737.6,204.7,True,True,True,True,True,True,True,True,True,True,True
Minnesota,1503,1885.4,1582.2,2116.0,1588.2,2228.0,1664.1,2363.0,1671.5,1379.0,1650.3,1358.4,1943.6,382.4,79.2,613.0,85.2,725.0,161.1,860.0,168.5,-124.0,147.3,-144.6,440.6,True,False,True,False,True,False,True,True,True,True,False
Mississippi,1107,1263.4,834.2,1159.0,932.3,838.0,1217.0,,1451.0,1037.0,1014.0,1106.3,1394.8,156.4,-272.8,52.0,-174.7,-269.0,110.0,,344.0,-70.0,-93.0,-0.7,287.8,False,True,False,False,True,,False,True,True,True,False
Missouri,1050,1213.1,795.2,1052.0,952.5,1039.0,1078.3,,1208.0,1208.0,1219.0,940.7,1301.1,201.1,-216.8,40.0,-59.5,27.0,66.3,,196.0,196.0,207.0,-71.3,289.1,False,True,True,True,True,,True,True,False,True,False
Montana,23,21.9,18.0,17.0,16.0,17.0,27.4,,16.0,30.0,19.8,15.2,19.5,-1.1,-5.0,-6.0,-7.0,-6.0,4.4,,-7.0,7.0,-3.2,-7.8,-3.5,False,False,False,False,False,,False,False,False,False,False
Nebraska,284,281.7,279.3,244.0,365.3,342.0,255.5,,300.0,240.0,289.2,189.4,339.4,-2.3,-4.7,-40.0,81.3,58.0,-28.5,,16.0,-44.0,5.2,-94.6,55.4,False,False,False,False,False,,False,False,False,False,False
Nevada,530,596.7,463.8,518.0,637.9,607.0,534.4,,558.0,514.0,548.1,505.6,562.3,66.7,-66.2,-12.0,107.9,77.0,4.4,,28.0,-16.0,18.1,-24.4,32.3,True,True,False,False,True,,True,True,True,True,True
New Hampshire,379,419.9,252.7,460.0,338.0,275.0,408.0,,383.0,386.0,380.7,335.2,464.4,40.9,-126.3,81.0,-41.0,-104.0,29.0,,4.0,7.0,1.7,-43.8,85.4,False,False,False,False,True,,True,True,True,False,False
New Jersey,15189,14418.0,12338.7,12696.0,12542.4,13331.0,13890.7,,13830.0,13129.0,13538.6,11603.3,13362.8,1049.0,-1030.3,-673.0,-826.6,-38.0,521.7,,461.0,-240.0,169.6,-1765.7,-6.2,True,True,True,True,True,,True,True,True,False,True
New Mexico,513,545.4,394.2,508.0,521.8,446.0,496.0,,550.0,545.0,531.9,422.9,560.3,32.4,-118.8,-5.0,8.8,-67.0,-17.0,,37.0,32.0,18.9,-90.1,47.3,False,True,True,False,True,,False,True,True,False,False
New York,32206,32907.1,31421.8,30359.0,31233.5,32751.0,32120.8,,29506.0,29669.0,31106.9,28791.0,31515.3,1616.1,130.8,-932.0,-57.5,1460.0,829.8,,-1785.0,-1622.0,-184.1,-2500.0,224.3,True,True,True,True,True,,False,False,True,False,True
North Carolina,1422,1680.1,1222.4,2033.0,1377.8,1193.0,1731.8,,1557.5,1123.0,1531.2,1874.1,1613.5,258.1,-199.6,611.0,-44.2,-229.0,309.8,,135.5,-299.0,109.2,452.1,191.5,True,False,True,True,False,,True,False,True,False,True
North Dakota,80,99.9,82.0,101.0,85.5,163.0,75.0,,88.0,869.0,82.2,84.3,117.4,19.9,2.0,21.0,5.5,83.0,-5.0,,8.0,789.0,2.2,4.3,37.4,True,False,True,False,True,,True,False,True,True,False
Ohio,2907,3058.4,2478.7,2854.0,3035.3,2807.0,2943.1,3981.5,2620.0,3218.0,2942.8,2548.2,3353.2,151.4,-428.3,-53.0,128.3,-100.0,36.1,1074.5,-287.0,311.0,35.8,-358.8,446.2,False,True,True,True,True,False,False,False,True,False,False
Oklahoma,398,445.7,368.1,444.0,359.8,348.0,369.4,,392.0,366.0,380.7,430.2,445.3,47.7,-29.9,46.0,-38.2,-50.0,-28.6,,-6.0,-32.0,-17.3,32.2,47.3,True,True,True,False,True,,True,True,True,True,True
Oregon,213,177.3,169.5,190.0,170.7,174.0,191.9,,188.0,163.0,194.7,199.5,178.6,-35.7,-43.5,-23.0,-42.3,-39.0,-21.1,,-25.0,-50.0,-18.3,-13.5,-34.4,False,True,False,False,True,,True,False,True,True,True
Pennsylvania,6749,7590.1,5993.3,7088.0,6337.2,5918.0,6866.3,,7513.5,6657.0,7228.7,5949.4,7060.5,841.1,-755.7,339.0,-411.8,-831.0,117.3,,764.5,-92.0,479.7,-799.6,311.5,True,True,True,True,True,,True,True,True,True,True
Rhode Island,980,1252.3,746.6,877.0,1085.2,942.0,943.6,,1254.0,,916.0,632.5,1114.1,379.3,-126.4,4.0,212.2,69.0,70.6,,381.0,,43.0,-240.5,241.1,True,True,True,True,True,,False,,True,True,True
South Carolina,813,780.6,560.1,750.0,652.6,590.0,866.2,,682.0,679.0,716.5,748.2,875.1,-32.4,-252.9,-63.0,-160.4,-223.0,53.2,,-131.0,-134.0,-96.5,-64.8,62.1,False,False,False,False,False,,False,False,False,False,False
South Dakota,97,120.3,89.2,97.0,68.8,84.0,82.7,,125.0,79.0,83.0,74.2,126.8,23.3,-7.8,0.0,-28.2,-13.0,-14.3,,28.0,-18.0,-14.0,-22.8,29.8,True,True,False,True,True,,False,True,True,True,False
Tennessee,637,500.0,515.8,514.0,610.7,557.0,468.6,,494.0,444.0,447.3,455.5,562.0,-137.0,-121.2,-123.0,-26.3,-80.0,-168.4,,-143.0,-193.0,-189.7,-181.5,-75.0,True,True,True,True,False,,False,False,False,False,True
Texas,3043,2389.0,2205.6,2412.0,1963.3,2259.0,2684.4,,2658.0,2246.0,2516.4,2559.4,2865.4,-499.0,-682.4,-476.0,-924.7,-629.0,-203.6,,-230.0,-642.0,-371.6,-328.6,-22.6,False,True,False,False,True,,True,False,True,True,True
Utah,181,190.7,192.6,180.0,191.2,168.0,210.8,,218.0,164.0,191.1,153.9,226.2,9.7,11.6,-1.0,10.2,-13.0,29.8,,37.0,-17.0,10.1,-27.1,45.2,False,True,False,False,False,,False,False,False,False,False
Vermont,56,59.9,56.7,55.0,56.5,55.0,59.8,,56.0,55.0,64.7,54.3,59.2,3.9,0.7,-1.0,0.5,-1.0,3.8,,0.0,-1.0,8.7,-1.7,3.2,True,True,True,True,True,,True,True,False,True,True
Virginia,1849,2365.9,1757.3,2280.0,2315.7,2031.0,2057.6,,1935.0,1899.0,2232.7,2293.1,2232.6,516.9,-91.7,431.0,466.7,182.0,208.6,,86.0,50.0,383.7,444.1,383.6,True,True,True,True,True,,True,True,True,True,True
Washington,1335,1394.9,1226.8,1234.0,1181.8,1302.0,1413.5,,1234.0,1210.0,1251.7,1243.1,1306.8,64.9,-103.2,-96.0,-148.2,-28.0,83.5,,-96.0,-120.0,-78.3,-86.9,-23.2,False,False,False,True,False,,False,False,False,False,True
West Virginia,94,89.6,92.8,95.0,103.5,78.0,115.7,,86.0,79.0,114.6,104.9,97.2,-4.4,-1.2,1.0,9.5,-16.0,21.7,,-8.0,-15.0,20.6,10.9,3.2,True,True,False,False,False,,False,False,False,False,True
Wisconsin,827,990.3,747.1,1141.0,757.8,867.0,796.5,1254.0,772.0,732.0,798.8,1237.9,905.4,221.3,-21.9,372.0,-11.2,98.0,27.5,485.0,3.0,-37.0,29.8,468.9,136.4,True,False,True,True,True,False,True,True,True,False,True
Wyoming,20,35.4,19.2,23.0,33.5,16.0,22.0,,15.0,,17.6,15.4,34.1,15.4,-0.8,3.0,13.5,-4.0,2.0,,-5.0,,-2.4,-4.6,14.1,True,True,True,True,True,,True,,True,True,True
US,130193,136739.3,115931.6,125208.0,125822.9,126725.0,126585.4,,130105.5,123484.0,123383.7,116716.5,133078.8,9884.3,-10923.4,-1647.0,-1032.1,-130.0,-269.6,,3250.5,-3371.0,-3471.3,-10138.5,6223.8,False,True,True,True,True,,True,True,True,False,True
