,actual_deaths,Baseline,Baseline_0.98,IHME-CurveFit,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-IHME-CurveFit,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Michigan,6218,8499.3,6960.4,6167.8,6469.1,6878.3,2509.3,970.4,177.8,479.1,888.3,True,True,True
Minnesota,1503,1835.1,1344.7,1946.2,1591.4,2371.7,332.1,-158.3,443.2,88.4,868.7,False,True,False
Mississippi,1107,1427.9,1038.5,1147.9,730.8,1811.9,320.9,-68.5,40.9,-376.2,704.9,True,False,False
Missouri,1050,1461.6,1087.6,1620.8,802.1,1659.7,513.6,139.6,672.8,-145.9,711.7,False,True,False
Montana,23,16.0,16.0,14.0,22.3,24.9,-7.0,-7.0,-9.0,-0.7,1.9,False,True,True
Nebraska,284,184.3,147.5,210.7,646.7,270.9,-99.7,-136.5,-73.3,362.7,-13.1,True,False,True
Nevada,530,718.6,559.2,501.8,493.6,698.9,188.6,29.2,-28.2,-36.4,168.9,True,True,True
New Hampshire,379,502.3,358.2,219.9,261.7,443.4,123.3,-20.8,-159.1,-117.3,64.4,False,True,True
New Jersey,15189,20138.1,15892.3,14627.3,13514.4,15438.5,4949.1,703.3,-561.7,-1674.6,249.5,True,True,True
New Mexico,513,585.0,434.8,376.3,333.8,620.4,72.0,-78.2,-136.7,-179.2,107.4,False,False,False
New York,32157,41828.9,35903.1,31589.5,37816.4,32817.7,10670.9,4745.1,431.5,6658.4,1659.7,True,True,True
North Carolina,1422,1585.4,1186.9,1153.1,948.6,1319.8,163.4,-235.1,-268.9,-473.4,-102.2,False,False,True
North Dakota,80,113.6,82.9,79.8,88.3,158.3,33.6,2.9,-0.2,8.3,78.3,True,True,False
Ohio,2907,3713.9,2788.1,2824.5,2312.5,3424.5,806.9,-118.9,-82.5,-594.5,517.5,True,True,True
Oklahoma,398,539.1,434.9,460.2,464.7,535.3,141.1,36.9,62.2,66.7,137.3,True,True,True
Oregon,213,268.4,213.2,202.6,227.7,218.3,55.4,0.2,-10.4,14.7,5.3,True,True,True
Pennsylvania,6749,12338.9,9009.6,9954.8,5265.6,9414.2,5589.9,2260.6,3205.8,-1483.4,2665.2,True,True,True
Rhode Island,960,1223.4,910.7,674.1,835.6,1142.8,263.4,-49.3,-285.9,-124.4,182.8,False,True,True
South Carolina,813,771.0,599.3,724.4,532.1,962.3,-42.0,-213.7,-88.6,-280.9,149.3,False,False,False
South Dakota,97,136.1,96.3,137.0,64.6,144.9,39.1,-0.7,40.0,-32.4,47.9,False,True,False
Tennessee,637,502.3,401.1,491.0,496.2,393.9,-134.7,-235.9,-146.0,-140.8,-243.1,False,False,False
Texas,2620,2791.1,2129.0,2370.5,2086.3,3704.3,171.1,-491.0,-249.5,-533.7,1084.3,False,False,False
Utah,181,200.6,148.5,143.3,125.6,224.5,19.6,-32.5,-37.7,-55.4,43.5,False,False,False
Vermont,56,53.0,53.0,52.3,75.9,77.9,-3.0,-3.0,-3.7,19.9,21.9,False,False,False
Virginia,1849,2245.4,1696.7,1375.8,1755.2,2395.6,396.4,-152.3,-473.2,-93.8,546.6,False,True,False
Washington,1354,1693.1,1395.8,1118.2,1351.1,1322.7,339.1,41.8,-235.8,-2.9,-31.3,True,True,True
West Virginia,94,101.1,82.7,75.9,82.6,123.2,7.1,-11.3,-18.1,-11.4,29.2,False,False,False
Wisconsin,796,879.3,692.3,657.0,906.2,676.6,83.3,-103.7,-139.0,110.2,-119.4,False,False,False
Wyoming,20,7.0,7.0,6.0,16.3,18.3,-13.0,-13.0,-14.0,-3.7,-1.7,False,True,True
US,129689,172586.0,136277.3,131638.6,124696.4,149565.6,44226.0,7917.3,3278.6,-3663.6,21205.6,True,True,True
