,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,2857,3225.3,4051.0,3254.1,3044.0,3187.0,2727.7,2797.2,2802.0,,3057.3,3163.8,2801.0,2913.7,3118.9,3169.2,,3290.8,2906.0,,2984.0,3014.0,3079.4,3105.0,2618.2,2934.0,3142.8,3448.0,368.3,1194.0,397.1,187.0,330.0,-129.3,-59.8,-55.0,,200.3,306.8,-56.0,56.7,261.9,312.2,,433.8,49.0,,127.0,157.0,222.4,248.0,-238.8,77.0,285.8,591.0,False,False,True,True,True,True,True,,True,True,True,True,True,True,,False,True,,True,True,True,True,True,True,True,False
Hawaii,19,17.0,30.0,18.0,21.1,17.0,18.3,27.2,17.0,,,17.8,,17.8,22.9,17.7,,17.0,17.0,,26.0,43.0,17.7,22.0,22.8,17.0,18.0,,-2.0,11.0,-1.0,2.1,-2.0,-0.7,8.2,-2.0,,,-1.2,,-1.2,3.9,-1.3,,-2.0,-2.0,,7.0,24.0,-1.3,3.0,3.8,-2.0,-1.0,,False,True,False,False,True,False,False,,,True,,True,False,True,,False,False,,False,False,True,False,False,False,True,
Idaho,93,98.4,150.0,99.1,98.9,89.0,97.7,132.9,126.0,100.2,,92.1,86.0,121.8,94.6,90.1,,103.9,87.0,,90.0,94.0,92.1,97.0,98.8,92.0,93.5,,5.4,57.0,6.1,5.9,-4.0,4.7,39.9,33.0,7.2,,-0.9,-7.0,28.8,1.6,-2.9,,10.9,-6.0,,-3.0,1.0,-0.9,4.0,5.8,-1.0,0.5,,False,False,False,True,True,False,False,False,,True,False,False,True,True,,False,False,,True,True,True,True,False,True,True,
Illinois,7014,7462.3,10140.0,7564.5,7442.6,6748.0,6945.6,7590.8,6830.0,7174.9,,6912.7,7637.0,7782.7,6992.9,7488.3,8109.0,7089.9,9771.5,,8096.0,6926.0,7030.2,6914.0,6719.7,7887.5,7321.7,7697.0,448.3,3126.0,550.5,428.6,-266.0,-68.4,576.8,-184.0,160.9,,-101.3,623.0,768.7,-21.1,474.3,1095.0,75.9,2757.5,,1082.0,-88.0,16.2,-100.0,-294.3,873.5,307.7,683.0,False,False,True,True,True,False,True,True,,True,False,False,True,False,False,True,False,,False,True,True,True,True,False,True,False
Indiana,2607,2762.0,3728.0,2775.8,2748.8,2757.0,2790.5,2807.9,2667.0,,,2556.4,2471.0,2594.1,2734.8,2763.1,2903.5,2737.3,2758.0,,2763.0,2698.0,2648.1,2691.0,2858.6,2759.0,2829.8,2967.0,105.0,1071.0,118.8,91.8,100.0,133.5,150.9,10.0,,,-100.6,-186.0,-62.9,77.8,106.1,246.5,80.3,101.0,,106.0,41.0,-8.9,34.0,201.6,102.0,172.8,310.0,False,False,True,True,False,False,True,,,True,False,True,True,False,False,True,True,,False,True,True,True,False,True,False,False
Iowa,721,786.3,1151.0,803.2,816.0,965.0,884.5,770.6,749.0,768.0,,808.4,723.0,912.7,823.1,873.1,,799.0,929.0,,951.0,700.0,772.1,754.0,772.6,804.0,792.5,,65.3,430.0,82.2,95.0,244.0,163.5,49.6,28.0,47.0,,87.4,2.0,191.7,102.1,152.1,,78.0,208.0,,230.0,-21.0,51.1,33.0,51.6,83.0,71.5,,False,False,False,False,False,True,True,True,,False,True,False,False,False,,False,False,,False,True,True,True,True,False,False,
Kansas,283,279.3,449.0,281.0,277.4,280.0,272.2,268.8,261.0,300.2,,287.2,308.0,325.2,268.6,264.3,,267.1,265.0,,291.0,259.0,272.9,265.0,199.0,267.0,281.0,,-3.7,166.0,-2.0,-5.6,-3.0,-10.8,-14.2,-22.0,17.2,,4.2,25.0,42.2,-14.4,-18.7,,-15.9,-18.0,,8.0,-24.0,-10.1,-18.0,-84.0,-16.0,-2.0,,False,True,False,True,False,False,False,False,,False,False,False,False,False,,False,False,,False,False,False,False,False,False,True,
Kentucky,585,581.9,852.0,586.0,613.7,640.0,578.5,792.5,609.0,653.0,,598.2,577.0,680.1,601.3,573.1,674.0,588.7,564.0,,591.0,547.0,614.4,561.0,560.5,616.0,603.2,,-3.1,267.0,1.0,28.7,55.0,-6.5,207.5,24.0,68.0,,13.2,-8.0,95.1,16.3,-11.9,89.0,3.7,-21.0,,6.0,-38.0,29.4,-24.0,-24.5,31.0,18.2,,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,
Louisiana,3278,3236.9,3909.0,3242.8,3285.8,3342.0,3316.5,3279.4,3343.0,,,3365.5,3232.0,3300.6,3593.1,3133.7,,3385.5,3200.0,,3222.0,3199.0,3215.6,3300.0,3066.7,3150.0,3305.8,,-41.1,631.0,-35.2,7.8,64.0,38.5,1.4,65.0,,,87.5,-46.0,22.6,315.1,-144.3,,107.5,-78.0,,-56.0,-79.0,-62.4,22.0,-211.3,-128.0,27.8,,False,True,True,False,True,True,False,,,False,False,True,False,False,,False,False,,False,False,False,True,False,False,True,
Maine,107,102.9,163.0,106.8,114.0,114.0,99.1,123.2,134.0,118.0,,120.0,113.0,126.2,115.2,110.4,,106.3,110.0,,107.0,113.0,105.6,110.0,118.5,112.0,109.7,,-4.1,56.0,-0.2,7.0,7.0,-7.9,16.2,27.0,11.0,,13.0,6.0,19.2,8.2,3.4,,-0.7,3.0,,0.0,6.0,-1.4,3.0,11.5,5.0,2.7,,False,True,False,False,False,False,False,False,,False,False,False,False,True,,True,True,,True,False,True,True,False,False,True,
Maryland,3236,3481.9,4491.0,3483.6,3385.1,3303.0,3330.2,3520.0,3382.0,3382.2,,3443.6,3616.0,3651.3,3307.6,3367.7,,3255.7,3337.0,,3319.0,3112.0,3274.0,3252.0,3359.8,3471.0,3396.5,3656.0,245.9,1255.0,247.6,149.1,67.0,94.2,284.0,146.0,146.2,,207.6,380.0,415.3,71.6,131.7,,19.7,101.0,,83.0,-124.0,38.0,16.0,123.8,235.0,160.5,420.0,False,False,True,True,True,False,True,True,,True,False,False,True,True,,True,True,,True,True,True,True,True,True,True,False
Massachusetts,8172,8504.0,10418.0,8439.7,8188.5,8021.0,8077.1,8205.0,7983.0,,,7981.6,8613.0,8304.6,8149.7,8391.9,,8073.3,8334.0,,8267.0,7877.0,8118.7,8099.0,8122.4,8236.0,8233.5,8409.0,332.0,2246.0,267.7,16.5,-151.0,-94.9,33.0,-189.0,,,-190.4,441.0,132.6,-22.3,219.9,,-98.7,162.0,,95.0,-295.0,-53.3,-73.0,-49.6,64.0,61.5,237.0,False,True,True,True,True,True,True,,,True,False,True,True,True,,True,True,,True,True,True,True,True,True,True,True
Michigan,6218,6270.3,7229.0,6318.5,6402.3,6534.0,6273.8,6614.4,6473.0,6568.4,,6608.3,6700.0,6533.7,6268.7,6239.2,6455.0,6182.4,6666.0,,6195.0,6210.0,6423.3,6159.0,5938.3,6304.5,6280.8,,52.3,1011.0,100.5,184.3,316.0,55.8,396.4,255.0,350.4,,390.3,482.0,315.7,50.7,21.2,237.0,-35.6,448.0,,-23.0,-8.0,205.3,-59.0,-279.7,86.5,62.8,,False,False,False,False,False,False,False,False,,False,False,False,True,True,False,True,False,,True,True,False,False,False,False,False,
Minnesota,1503,1706.1,2165.0,1713.0,1670.9,1712.0,1726.2,1586.7,1650.0,1659.0,,1617.9,1477.0,1776.6,1643.9,1763.4,1707.0,1587.9,1641.0,,2014.0,1370.0,1613.9,1568.0,1358.7,1751.0,1703.5,1864.0,203.1,662.0,210.0,167.9,209.0,223.2,83.7,147.0,156.0,,114.9,-26.0,273.6,140.9,260.4,204.0,84.9,138.0,,511.0,-133.0,110.9,65.0,-144.3,248.0,200.5,361.0,False,False,True,False,False,True,True,True,,True,True,False,True,False,False,True,True,,False,True,True,True,True,False,True,False
Mississippi,1107,1102.4,1615.0,1123.0,1110.6,1208.0,1244.1,1261.8,1111.0,1072.5,,1074.2,943.0,1105.1,1106.9,1150.1,,1132.9,1124.5,,1176.0,939.0,1044.6,1038.0,1077.0,1139.0,1147.3,,-4.6,508.0,16.0,3.6,101.0,137.1,154.8,4.0,-34.5,,-32.8,-164.0,-1.9,-0.1,43.1,,25.9,17.5,,69.0,-168.0,-62.4,-69.0,-30.0,32.0,40.3,,False,False,True,False,False,False,True,False,,False,False,True,True,False,,False,False,,False,False,False,False,False,False,False,
Missouri,1061,985.0,1254.0,996.0,1052.7,1034.0,1075.0,1352.1,1074.0,1034.3,,1075.5,1065.0,1039.2,1076.1,945.6,,990.3,945.0,,1095.0,910.0,1152.0,949.0,1025.6,1042.0,1125.7,,-64.0,205.0,-53.0,3.7,-15.0,26.0,303.1,25.0,-14.7,,26.5,16.0,-9.8,27.1,-103.4,,-58.7,-104.0,,46.0,-139.0,103.0,-100.0,-23.4,-7.0,76.7,,False,True,True,True,True,False,True,True,,True,True,True,True,False,,True,False,,True,False,False,False,True,True,False,
Montana,23,21.9,30.0,19.0,22.4,18.0,19.1,39.8,19.0,21.5,,18.6,18.0,25.2,25.1,18.6,,23.5,19.0,,22.0,23.0,20.6,25.0,18.3,21.0,20.8,,-1.1,7.0,-4.0,-0.6,-5.0,-3.9,16.8,-4.0,-1.5,,-4.4,-5.0,2.2,2.1,-4.4,,0.5,-4.0,,-1.0,0.0,-2.4,2.0,-4.7,-2.0,-2.2,,False,False,True,False,False,False,False,False,,False,False,False,False,False,,True,False,,True,True,False,False,False,False,False,
Nebraska,284,295.0,506.0,299.0,281.7,323.0,270.3,296.0,235.0,,,277.9,262.0,371.2,247.3,286.8,,284.5,340.0,,283.0,243.0,273.7,252.0,226.6,286.0,296.9,,11.0,222.0,15.0,-2.3,39.0,-13.7,12.0,-49.0,,,-6.1,-22.0,87.2,-36.7,2.8,,0.5,56.0,,-1.0,-41.0,-10.3,-32.0,-57.4,2.0,12.9,,False,False,True,False,False,False,False,,,True,False,False,False,True,,True,False,,True,False,True,False,False,True,False,
Nevada,530,534.4,784.0,537.0,570.3,524.0,559.8,868.9,632.0,585.4,,562.5,576.0,627.2,581.2,506.4,,588.6,506.0,,538.0,534.0,529.7,554.0,549.6,508.0,541.7,,4.4,254.0,7.0,40.3,-6.0,29.8,338.9,102.0,55.4,,32.5,46.0,97.2,51.2,-23.6,,58.6,-24.0,,8.0,4.0,-0.3,24.0,19.6,-22.0,11.7,,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,,False,True,True,False,False,False,False,
New Hampshire,379,417.1,461.0,423.0,409.4,370.0,386.7,393.4,418.0,388.6,,429.5,327.0,407.2,371.2,449.9,,406.7,390.0,,455.0,396.0,396.9,378.0,385.4,486.0,426.0,,38.1,82.0,44.0,30.4,-9.0,7.7,14.4,39.0,9.6,,50.5,-52.0,28.2,-7.8,70.9,,27.7,11.0,,76.0,17.0,17.9,-1.0,6.4,107.0,47.0,,False,False,True,True,True,True,False,True,,False,False,True,True,False,,True,True,,False,True,True,True,True,False,False,
New Jersey,15189,14039.0,16847.0,14166.0,13417.2,13081.0,13037.6,13128.0,13024.0,13979.2,,13204.0,13688.0,13360.8,13321.5,13322.6,,13435.2,13435.0,,13381.0,12999.0,13454.6,13404.0,12925.1,13454.5,13516.2,14171.0,706.0,3514.0,833.0,84.2,-252.0,-295.4,-205.0,-309.0,646.2,,-129.0,355.0,27.8,-11.5,-10.4,,102.2,102.0,,48.0,-334.0,121.6,71.0,-407.9,121.5,183.2,838.0,False,False,True,True,True,True,True,True,,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,False
New Mexico,513,546.4,707.0,548.0,531.5,530.0,583.0,542.1,524.0,569.7,,578.6,493.0,526.0,498.4,541.5,,542.1,510.0,,627.0,473.0,509.9,522.0,489.8,548.0,538.0,,33.4,194.0,35.0,18.5,17.0,70.0,29.1,11.0,56.7,,65.6,-20.0,13.0,-14.6,28.5,,29.1,-3.0,,114.0,-40.0,-3.1,9.0,-23.2,35.0,25.0,,False,False,True,True,False,True,True,False,,False,True,True,True,True,,True,True,,False,False,True,True,True,False,True,
New York,32206,32113.6,37067.0,32499.8,31542.9,31325.0,31199.5,31190.0,31019.0,,,31872.1,32119.0,31791.6,31638.2,31182.7,,31688.8,31395.0,,24898.0,31217.0,31374.3,31538.0,32440.9,31128.0,31537.2,32375.0,677.6,5631.0,1063.8,106.9,-111.0,-236.5,-246.0,-417.0,,,436.1,683.0,355.6,202.2,-253.3,,252.8,-41.0,,-6538.0,-219.0,-61.7,102.0,1004.9,-308.0,101.2,939.0,False,False,True,True,True,True,True,,,True,False,True,True,True,,True,True,,False,True,True,True,False,True,True,False
North Carolina,1422,1417.7,2426.0,1424.0,1574.2,2410.0,1638.1,1552.3,1777.0,1546.8,1889.3,1432.0,1376.0,1841.7,1544.0,1390.8,,1543.4,1370.0,,1536.0,1498.0,1527.7,1449.0,1459.8,1513.0,1476.9,,-4.3,1004.0,2.0,152.2,988.0,216.1,130.3,355.0,124.8,467.3,10.0,-46.0,419.7,122.0,-31.2,,121.4,-52.0,,114.0,76.0,105.7,27.0,37.8,91.0,54.9,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,
North Dakota,80,79.7,140.0,80.5,95.1,83.0,75.1,116.6,87.0,98.2,,92.1,93.0,109.3,89.7,93.0,,89.3,114.0,,102.0,84.0,86.5,85.0,83.6,105.0,93.9,,-0.3,60.0,0.5,15.1,3.0,-4.9,36.6,7.0,18.2,,12.1,13.0,29.3,9.7,13.0,,9.3,34.0,,22.0,4.0,6.5,5.0,3.6,25.0,13.9,,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,
Ohio,2621,3073.3,3639.0,3107.9,3063.6,2860.0,3005.4,2867.8,2915.0,3276.6,,2876.4,3008.0,3386.3,3023.0,3075.4,3543.0,3013.8,3150.0,,3168.0,2760.0,2942.2,2909.0,2921.2,3109.0,3077.3,3174.0,270.3,836.0,304.9,260.6,57.0,202.4,64.8,112.0,473.6,,73.4,205.0,583.3,220.0,272.4,740.0,210.8,347.0,,365.0,-43.0,139.2,106.0,118.2,306.0,274.3,371.0,False,False,True,True,True,True,True,False,,True,True,False,True,False,False,True,False,,False,True,True,True,True,False,False,False
Oklahoma,398,390.4,577.0,395.6,418.2,471.0,395.0,480.0,460.0,461.5,,429.2,376.0,454.5,447.7,374.0,,420.7,384.0,,385.0,404.0,384.6,418.0,422.7,390.0,399.9,,-7.6,179.0,-2.4,20.2,73.0,-3.0,82.0,62.0,63.5,,31.2,-22.0,56.5,49.7,-24.0,,22.7,-14.0,,-13.0,6.0,-13.4,20.0,24.7,-8.0,1.9,,False,True,False,False,True,False,False,False,,False,False,False,False,False,,False,False,,False,True,False,False,False,False,True,
Oregon,213,201.6,291.0,209.0,214.0,261.0,183.5,340.0,205.0,224.7,,220.3,200.0,273.7,199.5,186.4,,224.0,183.0,,181.0,178.0,196.5,199.0,221.6,204.0,194.7,,-8.4,81.0,-1.0,4.0,51.0,-26.5,130.0,-5.0,14.7,,10.3,-10.0,63.7,-10.5,-23.6,,14.0,-27.0,,-29.0,-32.0,-13.5,-11.0,11.6,-6.0,-15.3,,False,True,True,False,False,False,True,False,,False,False,False,False,False,,False,False,,False,False,False,False,False,True,False,
Pennsylvania,6749,6992.1,8390.0,7051.8,6927.6,6590.0,7253.6,7235.0,7072.0,,,6857.3,6619.0,6870.5,7041.0,7005.2,,6787.3,7005.5,,7241.0,6582.0,6893.0,6703.0,6818.3,6999.5,6865.6,7130.0,243.1,1641.0,302.8,178.6,-159.0,504.6,486.0,323.0,,,108.3,-130.0,121.5,292.0,256.2,,38.3,256.5,,492.0,-167.0,144.0,-46.0,69.3,250.5,116.6,381.0,False,False,True,True,False,False,False,,,True,True,True,False,False,,True,False,,False,True,True,True,True,False,True,False
Rhode Island,986,1007.3,1129.0,1016.0,939.1,878.0,953.9,914.8,939.0,953.6,,981.0,953.0,843.7,914.2,1011.8,,932.2,1004.0,,991.0,881.0,959.6,894.0,741.8,956.0,981.3,,97.3,219.0,106.0,29.1,-32.0,43.9,4.8,29.0,43.6,,71.0,43.0,-66.3,4.2,101.8,,22.2,94.0,,81.0,-29.0,49.6,-16.0,-168.2,46.0,71.3,,False,False,True,True,True,True,True,True,,True,True,True,True,False,,True,True,,True,True,True,True,False,True,True,
South Carolina,813,754.3,1251.0,778.9,883.2,1523.0,910.9,1069.8,1045.0,874.5,,916.5,707.0,848.5,826.5,714.1,,927.6,708.0,,767.0,942.0,755.7,882.0,810.3,744.0,806.2,,-58.7,438.0,-34.1,70.2,710.0,97.9,256.8,232.0,61.5,,103.5,-106.0,35.5,13.5,-98.9,,114.6,-105.0,,-46.0,129.0,-57.3,69.0,-2.7,-69.0,-6.8,,False,True,False,False,False,False,False,False,,False,False,True,True,False,,False,False,,True,False,True,False,True,False,True,
South Dakota,97,103.6,180.0,105.0,102.3,156.0,87.7,115.8,93.0,106.9,,102.7,84.0,127.1,94.8,91.9,,96.1,113.0,,90.0,91.0,86.2,94.0,89.9,115.0,99.8,,6.6,83.0,8.0,5.3,59.0,-9.3,18.8,-4.0,9.9,,5.7,-13.0,30.1,-2.2,-5.1,,-0.9,16.0,,-7.0,-6.0,-10.8,-3.0,-7.1,18.0,2.8,,False,False,True,False,False,False,True,False,,True,False,False,True,True,,True,False,,False,True,False,True,False,False,True,
Tennessee,637,634.0,1134.0,637.0,635.5,882.0,571.3,667.4,575.0,,,684.7,643.0,713.8,588.3,627.1,,651.4,577.0,,595.0,681.0,585.4,636.0,565.3,591.0,601.4,,-3.0,497.0,0.0,-1.5,245.0,-65.7,30.4,-62.0,,,47.7,6.0,76.8,-48.7,-9.9,,14.4,-60.0,,-42.0,44.0,-51.6,-1.0,-71.7,-46.0,-35.6,,False,True,True,False,False,False,False,,,False,False,False,False,False,,False,False,,False,False,False,True,False,False,False,
