,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,2857,2999.6,3180.0,3031.8,3062.6,3044.0,2900.0,3093.6,2997.0,3239.2,3057.3,3114.0,2960.0,3056.5,3355.8,2980.5,,2779.2,3259.1,2951.0,2902.0,2976.2,3078.0,2691.2,3002.0,3026.1,3247.0,142.6,323.0,174.8,205.6,187.0,43.0,236.6,140.0,382.2,200.3,257.0,103.0,199.5,498.8,123.5,,-77.8,402.1,94.0,45.0,119.2,221.0,-165.8,145.0,169.1,390.0,False,False,False,False,True,False,True,False,False,False,True,False,False,True,,True,False,True,True,True,False,False,False,False,False
Hawaii,19,17.0,19.0,17.0,20.4,39.0,18.6,28.0,18.0,,,17.0,,20.6,19.9,17.4,,17.6,17.0,17.0,20.0,17.5,19.0,23.3,18.0,17.3,,-2.0,0.0,-2.0,1.4,20.0,-0.4,9.0,-1.0,,,-2.0,,1.6,0.9,-1.6,,-1.4,-2.0,-2.0,1.0,-1.5,0.0,4.3,-1.0,-1.7,,True,False,True,False,True,False,True,,,False,,True,True,True,,True,False,False,True,True,True,False,True,True,
Idaho,93,92.7,102.0,93.2,97.9,91.0,98.8,129.6,101.0,94.6,,99.1,93.0,115.5,109.4,90.7,,102.9,94.9,89.0,95.0,92.1,97.0,100.9,92.0,92.5,,-0.3,9.0,0.2,4.9,-2.0,5.8,36.6,8.0,1.6,,6.1,0.0,22.5,16.4,-2.3,,9.9,1.9,-4.0,2.0,-0.9,4.0,7.9,-1.0,-0.5,,False,True,False,False,False,False,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,
Illinois,7014,7276.6,7349.0,7296.9,7320.9,6860.0,6954.2,7479.7,6919.0,7231.5,,7063.6,7576.0,7500.9,7199.7,7326.6,8002.0,7205.5,7228.6,8578.0,7117.0,7054.5,7060.0,6829.0,7280.0,7158.7,7367.0,262.6,335.0,282.9,306.9,-154.0,-59.8,465.7,-95.0,217.5,,49.6,562.0,486.9,185.7,312.6,988.0,191.5,214.6,1564.0,103.0,40.5,46.0,-185.0,266.0,144.7,353.0,False,False,False,True,True,False,True,True,,True,False,False,True,False,False,True,True,False,True,True,True,True,False,True,False
Indiana,2687,2759.1,2761.0,2782.0,2747.2,2720.0,2729.2,2823.6,2696.0,,,2533.6,2581.0,2621.5,2708.3,2741.0,2983.0,2689.5,2750.2,2689.5,2734.0,2664.3,2720.0,2876.6,2801.0,2757.3,2902.0,72.1,74.0,95.0,60.2,33.0,42.2,136.6,9.0,,,-153.4,-106.0,-65.5,21.3,54.0,296.0,2.5,63.2,2.5,47.0,-22.7,33.0,189.6,114.0,70.3,215.0,False,False,True,True,True,False,True,,,False,False,True,True,True,False,True,True,True,True,True,True,False,False,True,False
Iowa,721,749.1,775.0,743.0,752.7,801.0,816.9,768.6,744.0,712.5,,742.2,729.0,831.6,756.3,785.6,,740.2,734.3,796.0,729.0,758.2,743.0,763.3,751.0,749.8,,28.1,54.0,22.0,31.7,80.0,95.9,47.6,23.0,-8.5,,21.2,8.0,110.6,35.3,64.6,,19.2,13.3,75.0,8.0,37.2,22.0,42.3,30.0,28.8,,False,True,False,False,False,False,True,True,,True,True,False,False,False,,True,True,False,True,False,True,False,False,False,
Kansas,283,279.3,298.0,278.0,283.0,304.0,275.4,304.3,265.0,288.3,,281.4,295.0,341.0,281.9,268.2,,269.4,292.2,277.0,276.0,272.9,279.0,209.6,281.0,278.7,,-3.7,15.0,-5.0,0.0,21.0,-7.6,21.3,-18.0,5.3,,-1.6,12.0,58.0,-1.1,-14.8,,-13.6,9.2,-6.0,-7.0,-10.1,-4.0,-73.4,-2.0,-4.3,,False,False,True,False,False,False,False,False,,True,False,False,True,False,,False,False,False,False,False,False,False,True,False,
Kentucky,585,576.1,586.0,574.0,589.2,585.0,572.0,709.2,603.0,590.6,,578.5,606.0,672.6,585.4,569.0,614.0,547.9,579.7,564.0,561.0,612.0,568.0,536.2,585.0,573.2,,-8.9,1.0,-11.0,4.2,0.0,-13.0,124.2,18.0,5.6,,-6.5,21.0,87.6,0.4,-16.0,29.0,-37.1,-5.3,-21.0,-24.0,27.0,-17.0,-48.8,0.0,-11.8,,True,False,True,True,False,False,False,True,,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,
Louisiana,3278,3274.0,3271.0,3304.0,3267.4,3336.0,3272.8,3312.6,3214.0,3407.6,,3344.6,3220.0,3259.2,3244.0,3196.0,,3244.3,3336.6,3204.0,3219.0,3203.3,3261.0,3043.0,3189.0,3252.9,3350.0,-4.0,-7.0,26.0,-10.6,58.0,-5.2,34.6,-64.0,129.6,,66.6,-58.0,-18.8,-34.0,-82.0,,-33.7,58.6,-74.0,-59.0,-74.7,-17.0,-235.0,-89.0,-25.1,72.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
Maine,107,105.7,112.0,106.0,107.9,108.0,106.3,113.6,117.0,107.7,,108.5,106.0,121.2,108.6,107.4,,107.0,104.5,107.0,103.0,105.2,107.0,106.1,108.0,106.3,,-1.3,5.0,-1.0,0.9,1.0,-0.7,6.6,10.0,0.7,,1.5,-1.0,14.2,1.6,0.4,,-0.0,-2.5,0.0,-4.0,-1.8,0.0,-0.9,1.0,-0.7,,False,True,True,True,True,False,False,True,,False,True,False,False,True,,True,False,True,False,False,True,True,True,True,
Maryland,3236,3301.9,3354.0,3303.7,3292.0,3292.0,3286.5,3308.6,3256.0,3284.1,,3233.7,3455.0,3558.0,3240.3,3311.6,,3249.4,3206.5,3281.0,3221.0,3261.0,3228.0,3277.9,3386.0,3278.5,3429.0,65.9,118.0,67.7,56.0,56.0,50.5,72.6,20.0,48.1,,-2.3,219.0,322.0,4.3,75.6,,13.4,-29.5,45.0,-15.0,25.0,-8.0,41.9,150.0,42.5,193.0,False,False,True,True,True,False,True,True,,True,False,False,True,False,,True,True,True,True,True,True,True,False,True,False
Massachusetts,8172,8289.7,8270.0,8329.5,8180.3,8056.0,8067.4,8120.6,8037.0,,,8119.3,8394.0,8270.9,8124.3,8291.7,,8134.3,8105.9,8207.5,8151.0,8152.0,8126.0,8075.5,8228.0,8184.5,8363.0,118.7,99.0,158.5,9.3,-115.0,-103.6,-50.4,-134.0,,,-51.7,223.0,99.9,-46.7,120.7,,-36.7,-65.1,36.5,-20.0,-19.0,-45.0,-95.5,57.0,13.5,192.0,True,False,True,True,True,True,False,,,True,False,True,True,False,,True,True,True,True,True,True,True,True,True,False
Michigan,6218,6227.4,6304.0,6239.5,6275.1,6258.0,6228.1,6299.7,6148.0,6314.8,,6154.1,6467.0,6439.2,6466.5,6211.5,6508.5,6143.0,6266.8,6223.5,6178.0,6326.8,6207.0,6005.2,6183.0,6210.7,,9.4,86.0,21.5,57.1,40.0,10.1,81.7,-70.0,96.8,,-63.9,249.0,221.2,248.5,-6.5,290.5,-75.0,48.8,5.5,-40.0,108.8,-11.0,-212.8,-35.0,-7.3,,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,
Minnesota,1503,1566.1,1632.0,1584.0,1578.4,1561.0,1633.8,1576.7,1539.0,1549.8,,1554.5,1496.0,1725.3,1611.4,1657.8,1776.0,1487.2,1552.4,1588.5,1521.0,1585.1,1540.0,1384.6,1598.0,1584.6,,63.1,129.0,81.0,75.4,58.0,130.8,73.7,36.0,46.8,,51.5,-7.0,222.3,108.4,154.8,273.0,-15.8,49.4,85.5,18.0,82.1,37.0,-118.4,95.0,81.6,,False,False,False,True,False,False,True,True,,True,True,False,False,False,False,True,True,False,True,False,True,False,False,False,
Mississippi,1107,1025.3,1042.0,1036.0,1038.9,1043.0,1155.8,1171.0,1093.0,1029.8,,1032.1,984.0,1070.4,994.5,1068.1,,1037.1,994.4,1060.0,1056.0,1027.4,976.0,988.0,1025.0,1053.1,,-81.7,-65.0,-71.0,-68.1,-64.0,48.8,64.0,-14.0,-77.2,,-74.9,-123.0,-36.6,-112.5,-38.9,,-69.9,-112.6,-47.0,-51.0,-79.6,-131.0,-119.0,-82.0,-53.9,,True,True,True,True,True,True,True,True,,True,False,True,False,True,,True,False,True,True,True,False,False,False,True,
Missouri,1050,1113.6,1077.0,1125.0,1103.7,1106.0,1062.7,1304.4,1069.0,1153.8,,1136.9,1105.0,1139.0,1142.1,1015.8,,1027.1,1150.7,995.0,1093.0,1132.3,1142.0,1081.5,1060.0,1041.0,,73.6,37.0,85.0,63.7,66.0,22.7,264.4,29.0,113.8,,96.9,65.0,99.0,102.1,-24.2,,-12.9,110.7,-45.0,53.0,92.3,102.0,41.5,20.0,1.0,,True,False,True,True,True,False,True,False,,False,True,False,False,True,,True,False,True,True,False,False,True,True,True,
Montana,23,21.9,22.0,24.0,22.9,20.0,19.8,27.4,21.0,23.8,,21.0,20.0,36.0,28.0,20.5,,21.0,27.4,20.0,22.0,21.1,25.0,20.0,23.0,21.7,,-1.1,-1.0,1.0,-0.1,-3.0,-3.2,4.4,-2.0,0.8,,-2.0,-3.0,13.0,5.0,-2.5,,-2.0,4.4,-3.0,-1.0,-1.9,2.0,-3.0,0.0,-1.3,,True,True,True,False,False,False,False,True,,False,False,False,False,False,,False,False,False,True,False,False,False,True,False,
Nebraska,284,297.9,305.0,302.0,287.9,299.0,269.4,300.9,256.0,,,295.5,271.0,347.3,273.5,296.7,,265.4,301.5,328.0,283.0,278.2,272.0,241.6,291.0,296.6,,13.9,21.0,18.0,3.9,15.0,-14.6,16.9,-28.0,,,11.5,-13.0,63.3,-10.5,12.7,,-18.6,17.5,44.0,-1.0,-5.8,-12.0,-42.4,7.0,12.6,,False,False,True,False,False,False,False,,,True,True,False,True,True,,False,False,False,True,True,True,False,True,True,
Nevada,530,531.6,539.0,534.0,552.2,644.0,548.4,,571.0,556.8,,567.1,568.0,598.5,575.4,515.2,,529.1,574.4,508.0,536.0,532.5,556.0,514.0,540.0,530.7,,1.6,9.0,4.0,22.2,114.0,18.4,,41.0,26.8,,37.1,38.0,68.5,45.4,-14.8,,-0.9,44.4,-22.0,6.0,2.5,26.0,-16.0,10.0,0.7,,False,False,False,False,False,,False,False,,False,False,False,False,False,,True,False,False,False,False,False,False,False,True,
New Hampshire,379,374.3,394.0,381.0,382.3,369.0,382.7,361.9,388.0,381.0,,412.8,336.0,398.7,375.1,406.1,,364.4,367.7,386.0,373.0,385.9,365.0,376.3,418.0,376.6,,-4.7,15.0,2.0,3.3,-10.0,3.7,-17.1,9.0,2.0,,33.8,-43.0,19.7,-3.9,27.1,,-14.6,-11.3,7.0,-6.0,6.9,-14.0,-2.7,39.0,-2.4,,False,True,True,False,True,False,False,True,,False,False,False,True,False,,False,False,False,False,False,False,True,False,True,
New Jersey,15189,13459.0,13652.0,13529.9,13363.9,13200.0,13141.5,13187.4,13135.0,,,13159.8,13601.0,13424.5,13360.3,13301.8,,12943.5,13305.6,13384.0,13158.0,13413.2,13290.0,12896.6,13452.0,13261.8,13634.0,133.0,326.0,203.9,37.9,-126.0,-184.5,-138.6,-191.0,,,-166.2,275.0,98.5,34.3,-24.2,,-382.5,-20.4,58.0,-168.0,87.2,-36.0,-429.4,126.0,-64.2,308.0,False,False,True,True,False,False,False,,,False,False,True,True,True,,False,True,True,False,True,True,False,True,True,False
New Mexico,513,532.1,516.0,536.0,526.4,493.0,540.8,549.7,524.0,552.8,,551.7,501.0,553.2,524.7,534.5,,522.1,525.8,507.0,558.0,517.2,520.0,486.0,538.0,524.5,,19.1,3.0,23.0,13.4,-20.0,27.8,36.7,11.0,39.8,,38.7,-12.0,40.2,11.7,21.5,,9.1,12.8,-6.0,45.0,4.2,7.0,-27.0,25.0,11.5,,True,False,True,False,False,False,True,False,,False,True,False,True,False,,True,True,True,False,True,True,False,False,True,
New York,32157,31682.1,32360.0,31713.4,31565.2,31537.0,31273.2,31385.1,31207.0,,,31381.4,31733.0,31693.2,31575.2,31283.2,,24855.3,31584.5,31350.0,31345.0,31537.3,31539.0,32567.2,31615.0,31451.7,31965.0,139.1,817.0,170.4,22.2,-6.0,-269.8,-157.9,-336.0,,,-161.6,190.0,150.2,32.2,-259.8,,-6687.7,41.5,-193.0,-198.0,-5.7,-4.0,1024.2,72.0,-91.3,422.0,False,False,True,True,False,False,False,,,False,False,False,True,False,,False,True,False,False,True,True,False,True,True,False
North Carolina,1422,1369.1,1451.0,1391.0,1495.0,2248.0,1544.5,,1762.0,1441.7,1889.3,1382.2,1369.0,1674.0,1417.4,1379.2,,1408.7,1354.2,1360.5,1427.0,1432.6,1350.0,1215.1,1403.0,1374.9,,-22.9,59.0,-1.0,103.0,856.0,152.5,,370.0,49.7,497.3,-9.8,-23.0,282.0,25.4,-12.8,,16.7,-37.8,-31.5,35.0,40.6,-42.0,-176.9,11.0,-17.1,,False,True,False,False,False,,False,False,False,True,False,False,False,True,,True,False,False,False,False,False,False,True,True,
North Dakota,80,82.6,88.0,80.0,87.1,79.0,78.4,104.3,83.0,86.0,,81.8,85.0,106.5,83.6,84.9,,94.3,83.5,98.0,86.0,84.5,84.0,79.8,94.0,86.8,,2.6,8.0,0.0,7.1,-1.0,-1.6,24.3,3.0,6.0,,1.8,5.0,26.5,3.6,4.9,,14.3,3.5,18.0,6.0,4.5,4.0,-0.2,14.0,6.8,,False,True,False,True,True,False,False,False,,True,False,False,False,False,,False,False,False,False,False,False,True,False,False,
Ohio,2907,2961.9,3016.0,2979.0,2989.0,3013.0,2940.3,2927.6,2928.0,3061.0,,2900.9,3005.0,3277.4,3060.3,3006.0,3005.0,2868.8,3079.1,2979.5,2957.0,2943.0,2985.0,2981.6,2995.0,2959.2,3077.0,54.9,109.0,72.0,82.0,106.0,33.3,20.6,21.0,154.0,,-6.1,98.0,370.4,153.3,99.0,98.0,-38.2,172.1,72.5,50.0,36.0,78.0,74.6,88.0,52.2,170.0,False,False,False,False,True,True,True,False,,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False
Oklahoma,398,387.6,405.0,386.0,408.9,514.0,402.3,,434.0,424.5,,403.5,392.0,463.4,432.2,376.5,,379.4,401.0,379.0,401.0,389.4,422.0,362.8,395.0,396.4,,-10.4,7.0,-12.0,10.9,116.0,4.3,,36.0,26.5,,5.5,-6.0,65.4,34.2,-21.5,,-18.6,3.0,-19.0,3.0,-8.6,24.0,-35.2,-3.0,-1.6,,True,False,False,False,True,,False,False,,True,True,False,False,False,,False,True,False,True,True,False,False,True,True,
Oregon,213,210.3,216.0,218.0,213.7,228.0,192.5,,219.0,234.7,,234.7,212.0,261.2,212.1,200.2,,204.8,230.3,193.0,203.0,204.3,210.0,210.3,210.0,206.1,,-0.7,5.0,7.0,2.7,17.0,-18.5,,8.0,23.7,,23.7,1.0,50.2,1.1,-10.8,,-6.2,19.3,-18.0,-8.0,-6.7,-1.0,-0.7,-1.0,-4.9,,False,False,False,False,False,,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,
Pennsylvania,6749,6809.3,6895.0,6835.4,6790.5,6764.0,7012.2,6758.8,6748.0,,,6619.5,6644.0,6940.7,6852.1,6861.1,,6899.5,6723.6,6827.0,6660.0,6780.8,6698.0,6734.5,6818.0,6739.6,6938.0,60.3,146.0,86.4,41.5,15.0,263.2,9.8,-1.0,,,-129.5,-105.0,191.7,103.1,112.1,,150.5,-25.4,78.0,-89.0,31.8,-51.0,-14.5,69.0,-9.4,189.0,False,False,True,True,False,True,True,,,False,False,False,False,False,,False,True,False,False,True,True,True,False,True,False
Rhode Island,960,1007.3,953.0,1016.0,967.2,931.0,957.3,941.2,950.0,1065.7,,983.9,968.0,913.3,944.2,1004.0,,951.1,977.9,994.0,922.0,967.2,941.0,751.2,995.0,970.1,,47.3,-7.0,56.0,7.2,-29.0,-2.7,-18.8,-10.0,105.7,,23.9,8.0,-46.7,-15.8,44.0,,-8.9,17.9,34.0,-38.0,7.2,-19.0,-208.8,35.0,10.1,,True,False,True,True,True,True,True,False,,True,True,True,True,True,,True,True,True,True,True,True,False,True,True,
South Carolina,813,751.4,791.0,734.0,792.5,1132.0,902.3,,760.0,775.9,,750.2,736.0,835.0,799.2,717.0,,754.8,775.9,716.0,850.0,771.1,837.0,605.7,762.0,771.0,,-61.6,-22.0,-79.0,-20.5,319.0,89.3,,-53.0,-37.1,,-62.8,-77.0,22.0,-13.8,-96.0,,-58.2,-37.1,-97.0,37.0,-41.9,24.0,-207.3,-51.0,-42.0,,True,False,True,False,False,,True,True,,False,False,True,True,False,,True,True,False,True,True,True,False,True,True,
South Dakota,97,92.1,102.0,93.0,97.1,99.0,87.9,116.9,93.0,99.4,,101.1,85.0,117.6,91.7,91.1,,85.2,93.1,106.0,90.0,87.8,91.0,90.5,105.0,94.6,,-4.9,5.0,-4.0,0.1,2.0,-9.1,19.9,-4.0,2.4,,4.1,-12.0,20.6,-5.3,-5.9,,-11.8,-3.9,9.0,-7.0,-9.2,-6.0,-6.5,8.0,-2.4,,False,True,True,True,False,False,True,True,,True,False,False,False,False,,False,True,False,False,False,False,False,False,True,
Tennessee,637,622.6,653.0,628.0,651.6,878.0,586.1,704.2,638.0,664.2,,651.4,668.0,724.0,627.2,630.5,,585.8,673.3,590.0,634.0,591.2,620.0,572.1,646.0,620.1,,-14.4,16.0,-9.0,14.6,241.0,-50.9,67.2,1.0,27.2,,14.4,31.0,87.0,-9.8,-6.5,,-51.2,36.3,-47.0,-3.0,-45.8,-17.0,-64.9,9.0,-16.9,,False,True,False,False,False,False,True,False,,True,False,False,True,True,,False,False,False,True,False,False,False,True,False,
Texas,2951,2575.4,2638.0,2607.0,2734.9,3839.0,2588.9,,2818.0,,,2778.5,2566.0,2958.1,2792.8,2464.2,,2490.2,2904.8,2459.0,2794.0,2547.1,2781.0,2322.1,2579.0,2609.6,2714.0,-198.6,-136.0,-167.0,-39.1,1065.0,-185.1,,44.0,,,4.5,-208.0,184.1,18.8,-309.8,,-283.8,130.8,-315.0,20.0,-226.9,7.0,-451.9,-195.0,-164.4,-60.0,True,True,True,False,True,,True,,,True,False,True,True,False,,False,True,False,True,False,True,False,True,True,True
