,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Mississippi,1107,976.1,481.3,347.0,599.3,921.0,-130.9,-625.7,-760.0,-507.7,-186.0,False,False,False,False
Missouri,1050,1249.0,1057.8,920.0,613.7,1142.5,302.0,110.8,-27.0,-333.3,195.5,True,True,False,True
Montana,23,33.7,13.2,16.0,22.7,34.9,10.7,-9.8,-7.0,-0.3,11.9,True,True,True,False
Nebraska,284,272.9,354.6,1458.0,265.1,308.1,-11.1,70.6,1174.0,-18.9,24.1,False,False,False,False
Nevada,530,718.6,471.6,481.0,437.4,609.4,188.6,-58.4,-49.0,-92.6,79.4,True,True,True,True
New Hampshire,379,316.3,165.1,156.0,156.6,322.3,-62.7,-213.9,-223.0,-222.4,-56.7,False,False,False,True
New Jersey,15189,24991.9,15874.0,11784.0,12567.2,15062.0,11387.9,2270.0,-1820.0,-1036.8,1458.0,True,True,True,True
New Mexico,513,611.6,417.0,358.0,279.4,517.4,98.6,-96.0,-155.0,-233.6,4.4,True,False,False,True
New York,32206,46310.6,32110.0,25691.0,30748.9,33434.0,14880.6,680.0,-5739.0,-681.1,2004.0,True,True,True,True
North Carolina,1422,1408.3,1142.9,741.0,858.9,1128.7,-13.7,-279.1,-681.0,-563.1,-293.3,False,False,False,False
North Dakota,80,95.9,37.7,180.0,51.8,74.9,15.9,-42.3,100.0,-28.2,-5.1,False,False,False,True
Ohio,2907,3793.6,2509.7,1628.0,1847.7,2887.4,886.6,-397.3,-1279.0,-1059.3,-19.6,True,False,False,True
Oklahoma,398,618.9,485.1,486.0,423.8,604.9,220.9,87.1,88.0,25.8,206.9,True,True,True,True
Oregon,213,259.6,192.6,153.0,182.9,218.0,46.6,-20.4,-60.0,-30.1,5.0,True,False,True,True
Pennsylvania,6749,10726.9,8276.7,4578.0,4615.5,7304.7,3977.9,1527.7,-2171.0,-2133.5,555.7,True,True,True,True
Rhode Island,980,1152.6,485.4,809.0,760.4,782.6,228.6,-438.6,-115.0,-163.6,-141.4,False,True,True,True
South Carolina,813,1169.6,1061.6,289.0,412.6,982.0,356.6,248.6,-524.0,-400.4,169.0,True,False,False,True
South Dakota,97,109.6,198.0,804.0,37.8,68.2,12.6,101.0,707.0,-59.2,-28.8,False,False,False,False
Tennessee,637,466.9,538.6,951.0,514.3,389.3,-170.1,-98.4,314.0,-122.7,-247.7,True,False,True,False
Texas,3043,2888.6,3166.2,4146.0,1659.0,2864.7,-53.4,224.2,1204.0,-1283.0,-77.3,False,False,False,False
Utah,181,129.7,85.8,181.0,98.2,152.8,-51.3,-95.2,0.0,-82.8,-28.2,False,True,False,True
Vermont,56,115.0,53.6,59.0,72.3,98.6,59.0,-2.4,3.0,16.3,42.6,True,True,True,True
Virginia,1849,2528.9,1193.5,1210.0,1426.7,1842.6,679.9,-655.5,-639.0,-422.3,-6.4,True,True,True,True
Washington,1335,1586.9,1159.2,1287.0,1300.7,1285.7,291.9,-135.8,-8.0,5.7,-9.3,True,True,True,True
West Virginia,94,172.0,110.4,51.0,76.4,172.1,78.0,16.4,-43.0,-17.6,78.1,True,True,True,False
Wisconsin,827,932.4,694.4,606.0,686.9,600.9,151.4,-86.6,-175.0,-94.1,-180.1,True,False,True,False
Wyoming,20,7.0,6.0,7.0,12.0,26.6,-13.0,-14.0,-13.0,-8.0,6.6,False,False,True,True
US,130193,181062.3,129732.5,102912.0,112114.3,135817.6,53895.3,2565.5,-24255.0,-15052.7,8650.6,True,True,True,True
