,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Kansas,283,339.0,313.6,276.0,231.7,288.4,426.6,313.6,56.0,30.6,-7.0,-51.3,5.4,143.6,30.6,True,True,True,True,False,True
Kentucky,585,539.7,494.3,450.0,471.7,440.1,726.6,522.6,-45.3,-90.7,-135.0,-113.3,-144.9,141.6,-62.4,False,False,False,False,False,False
Louisiana,3278,3896.7,3120.4,3066.0,3647.5,3071.2,2718.4,3436.9,618.7,-157.6,-212.0,369.5,-206.8,-559.6,158.9,True,True,True,True,True,True
Maine,107,111.1,79.5,560.5,120.6,116.0,129.4,104.1,4.1,-27.5,453.5,13.6,9.0,22.4,-2.9,False,False,False,False,False,True
Maryland,3236,4378.3,3893.2,3050.0,3051.3,3492.6,2927.8,4121.0,1142.3,657.2,-186.0,-184.7,256.6,-308.2,885.0,True,True,True,True,True,True
Massachusetts,8172,11406.1,8801.3,8230.0,8122.8,9484.6,6506.2,9249.9,3234.1,629.3,58.0,-49.2,1312.6,-1665.8,1077.9,True,True,True,True,True,True
Michigan,6218,7195.0,6006.6,5826.0,6577.4,6114.9,4935.5,6305.2,1210.0,21.6,-159.0,592.4,129.9,-1049.5,320.2,True,True,True,True,True,True
Minnesota,1503,1780.1,1693.6,1844.5,1349.9,1720.3,2399.7,2060.5,277.1,190.6,341.5,-153.1,217.3,896.7,557.5,True,False,True,True,False,False
Mississippi,1107,1145.0,940.0,793.0,899.9,938.7,848.8,1746.8,38.0,-167.0,-314.0,-207.1,-168.3,-258.2,639.8,False,False,False,False,False,False
Missouri,1050,1265.1,1352.6,958.0,899.7,953.0,832.9,1660.0,313.1,400.6,6.0,-52.3,1.0,-119.1,708.0,False,True,True,True,True,False
Montana,23,16.0,12.0,16.0,17.3,21.0,17.8,21.4,-7.0,-11.0,-7.0,-5.7,-2.0,-5.2,-1.6,False,False,True,True,True,True
Nebraska,284,349.3,232.7,334.0,171.7,403.2,141.3,401.7,65.3,-51.3,50.0,-112.3,119.2,-142.7,117.7,True,True,False,False,False,False
Nevada,530,624.3,581.5,512.0,557.7,527.2,496.0,639.7,94.3,51.5,-18.0,27.7,-2.8,-34.0,109.7,True,True,True,True,True,False
New Hampshire,379,439.4,309.4,316.0,271.1,416.8,321.2,607.7,60.4,-69.6,-63.0,-107.9,37.8,-57.8,228.7,False,False,False,True,True,False
New Jersey,15189,17953.9,13940.6,13111.0,12760.6,13321.3,10961.0,14933.6,4519.9,506.6,-323.0,-673.4,-112.7,-2473.0,1499.6,True,True,True,True,True,True
New Mexico,513,710.7,506.1,329.0,478.4,782.9,507.2,810.0,197.7,-6.9,-184.0,-34.6,269.9,-5.8,297.0,True,True,True,False,True,False
New York,32157,39141.7,32067.8,32737.5,32737.7,31930.9,29101.7,32609.2,7735.7,661.8,1331.5,1331.7,524.9,-2304.3,1203.2,True,True,True,True,True,True
North Carolina,1422,1522.6,1948.3,734.0,1321.7,1321.6,1670.1,1493.0,100.6,526.3,-688.0,-100.3,-100.4,248.1,71.0,False,False,True,True,False,True
North Dakota,80,97.9,125.9,85.0,105.8,76.9,105.1,141.1,17.9,45.9,5.0,25.8,-3.1,25.1,61.1,False,True,False,True,False,False
Ohio,2907,3572.4,2872.3,2140.5,2449.9,2741.8,3129.9,4198.0,665.4,-34.7,-766.5,-457.1,-165.2,222.9,1291.0,True,False,True,True,True,False
Oklahoma,398,397.7,365.9,292.0,440.2,422.8,467.1,435.1,-0.3,-32.1,-106.0,42.2,24.8,69.1,37.1,False,False,False,False,False,False
Oregon,213,205.6,222.8,158.0,173.0,222.6,234.6,193.1,-7.4,9.8,-55.0,-40.0,9.6,21.6,-19.9,False,False,False,False,False,False
Pennsylvania,6749,9219.6,9033.0,6350.5,6065.6,7030.5,5346.5,8920.3,2470.6,2284.0,-398.5,-683.4,281.5,-1402.5,2171.3,True,True,True,True,True,True
Rhode Island,960,1027.0,765.8,1144.0,765.0,851.0,546.0,989.9,67.0,-194.2,184.0,-195.0,-109.0,-414.0,29.9,False,False,False,False,False,True
South Carolina,813,755.3,484.9,411.0,672.7,631.9,614.5,1050.8,-57.7,-328.1,-402.0,-140.3,-181.1,-198.5,237.8,False,False,False,False,False,False
South Dakota,97,112.6,121.7,159.0,66.5,72.0,56.7,151.2,15.6,24.7,62.0,-30.5,-25.0,-40.3,54.2,False,False,False,False,False,False
Tennessee,637,675.1,477.6,641.0,382.1,561.3,489.1,501.5,38.1,-159.4,4.0,-254.9,-75.7,-147.9,-135.5,False,True,False,False,False,False
Texas,2951,3050.4,3166.7,2017.0,2239.1,2600.0,2905.0,4411.9,167.4,283.7,-866.0,-643.9,-283.0,22.0,1528.9,False,False,False,False,True,False
Utah,181,169.1,143.4,88.0,137.5,129.8,156.8,215.6,-11.9,-37.6,-93.0,-43.5,-51.2,-24.2,34.6,False,False,False,False,False,False
Vermont,56,60.9,49.0,53.0,58.1,73.8,63.8,69.2,4.9,-7.0,-3.0,2.1,17.8,7.8,13.2,False,True,True,False,False,False
Virginia,1849,2182.6,1897.0,1441.0,1685.9,1759.1,2017.3,2224.8,333.6,48.0,-408.0,-163.1,-89.9,168.3,375.8,True,False,True,True,True,False
Washington,1354,1481.0,1249.7,1249.5,1236.8,1259.9,1219.6,1302.0,127.0,-104.3,-104.5,-117.2,-94.1,-134.4,-52.0,True,True,True,True,False,True
West Virginia,94,156.1,106.1,63.0,100.4,107.4,104.4,121.0,62.1,12.1,-31.0,6.4,13.4,10.4,27.0,True,True,True,True,True,True
Wisconsin,796,816.4,711.9,900.0,741.1,704.3,1029.8,746.2,20.4,-84.1,104.0,-54.9,-91.7,233.8,-49.8,False,False,False,False,False,False
Wyoming,20,14.9,4.0,7.0,14.3,12.9,9.7,14.4,-5.1,-16.0,-13.0,-5.7,-7.1,-10.3,-5.6,False,False,False,False,False,False
US,130020,158380.3,135368.0,118554.0,120512.4,129864.2,114038.4,150832.0,31265.3,8253.0,-8561.0,-6602.6,2749.2,-13076.6,23717.0,True,True,True,True,True,True
