,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Illinois,7014,7886.6,9827.0,7999.3,7242.2,6636.0,6405.9,6942.4,6824.0,6550.8,,6844.0,7404.0,8039.4,6917.4,7715.2,7489.0,6863.9,15418.0,7888.0,6492.0,7704.3,6885.0,6516.5,7160.1,7352.8,872.6,2813.0,985.3,228.2,-378.0,-608.1,-71.6,-190.0,-463.2,,-170.0,390.0,1025.4,-96.6,701.2,475.0,-150.1,8404.0,874.0,-522.0,690.3,-129.0,-497.5,146.1,338.8,False,False,True,True,True,True,True,True,,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True
Indiana,2687,2954.9,3781.0,2959.9,2798.8,2913.0,2472.4,2892.4,2687.0,,,2593.8,2412.0,3147.6,2754.1,2879.9,3114.5,2759.4,2475.0,2906.0,2793.0,2788.5,2759.0,2665.5,2672.3,3034.6,267.9,1094.0,272.9,111.8,226.0,-214.6,205.4,0.0,,,-93.2,-275.0,460.6,67.1,192.9,427.5,72.4,-212.0,219.0,106.0,101.5,72.0,-21.5,-14.7,347.6,False,False,True,True,True,True,True,,,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False
Iowa,721,875.0,1457.0,871.1,878.1,976.0,698.5,863.3,751.0,1009.3,,963.5,704.0,1134.7,804.4,986.7,,796.8,1297.0,958.0,704.0,786.9,780.0,656.9,843.0,923.4,154.0,736.0,150.1,157.1,255.0,-22.5,142.3,30.0,288.3,,242.5,-17.0,413.7,83.4,265.7,,75.8,576.0,237.0,-17.0,65.9,59.0,-64.1,122.0,202.4,False,True,False,False,True,True,True,False,,False,True,False,True,False,,True,False,False,True,True,True,True,True,False
Kansas,283,302.4,439.0,305.0,292.1,275.0,269.8,311.0,265.0,314.4,,309.0,314.0,504.5,254.5,260.6,,278.3,281.5,250.0,260.0,279.6,260.0,230.7,256.1,287.5,19.4,156.0,22.0,9.1,-8.0,-13.2,28.0,-18.0,31.4,,26.0,31.0,221.5,-28.5,-22.4,,-4.7,-1.5,-33.0,-23.0,-3.4,-23.0,-52.3,-26.9,4.5,False,False,True,True,True,False,True,False,,False,False,False,False,False,,True,True,False,False,True,False,False,False,True
Kentucky,585,620.4,722.0,625.8,677.7,1192.0,509.2,856.9,581.0,820.5,,711.1,550.0,896.6,594.4,579.0,622.0,625.3,499.0,674.0,498.0,703.5,590.0,628.4,552.6,632.8,35.4,137.0,40.8,92.7,607.0,-75.8,271.9,-4.0,235.5,,126.1,-35.0,311.6,9.4,-6.0,37.0,40.3,-86.0,89.0,-87.0,118.5,5.0,43.4,-32.4,47.8,False,False,False,False,False,False,True,False,,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False
Louisiana,3278,3495.3,4040.0,3481.7,3237.1,3379.0,3042.5,3360.0,3123.0,,,3130.6,3138.0,3482.3,3374.1,3127.4,,3455.8,3179.0,3101.0,3461.0,3210.3,3340.0,2854.2,3113.5,3417.5,217.3,762.0,203.7,-40.9,101.0,-235.5,82.0,-155.0,,,-147.4,-140.0,204.3,96.1,-150.6,,177.8,-99.0,-177.0,183.0,-67.7,62.0,-423.8,-164.5,139.5,False,True,True,True,False,True,True,,,True,True,True,True,True,,True,True,True,True,True,True,False,True,True
Maine,107,137.6,157.0,134.0,130.5,141.0,109.1,144.2,154.0,138.8,,156.6,116.0,170.5,123.6,117.8,,121.2,105.0,109.0,164.0,107.2,126.0,135.1,124.3,117.4,30.6,50.0,27.0,23.5,34.0,2.1,37.2,47.0,31.8,,49.6,9.0,63.5,16.6,10.8,,14.2,-2.0,2.0,57.0,0.2,19.0,28.1,17.3,10.4,False,True,True,False,True,False,False,False,,False,True,False,True,True,,True,True,True,False,True,True,True,True,True
Maryland,3236,3586.0,4546.0,3664.2,3515.5,3459.0,3105.4,3879.9,3620.0,3352.0,,3344.8,3582.0,4249.4,3207.4,3389.7,,3241.2,3090.5,4093.0,3004.0,3663.7,3242.0,3381.2,3260.6,3732.8,350.0,1310.0,428.2,279.5,223.0,-130.6,643.9,384.0,116.0,,108.8,346.0,1013.4,-28.6,153.7,,5.2,-145.5,857.0,-232.0,427.7,6.0,145.2,24.6,496.8,False,False,True,True,True,False,False,True,,True,True,False,True,True,,True,True,False,True,False,True,True,True,False
Massachusetts,8172,9128.9,9520.0,9373.2,8241.4,8252.0,7800.6,8241.3,7904.0,,,7895.0,8644.0,8472.2,8086.6,8627.6,,8317.4,7327.0,8247.0,7448.0,8435.9,8074.0,7318.4,7970.6,8193.7,956.9,1348.0,1201.2,69.4,80.0,-371.4,69.3,-268.0,,,-277.0,472.0,300.2,-85.4,455.6,,145.4,-845.0,75.0,-724.0,263.9,-98.0,-853.6,-201.4,21.7,False,False,True,True,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True
Michigan,6218,7453.3,7737.0,6231.5,6496.2,6378.0,5865.8,6582.5,6471.0,,,6124.5,6753.0,6977.6,6983.0,5963.8,6552.0,6179.8,5821.0,6683.0,6713.0,6508.3,5929.0,5544.4,6967.3,6361.1,1267.3,1551.0,45.5,310.2,192.0,-320.2,396.5,285.0,,,-61.5,567.0,791.6,797.0,-222.2,366.0,-6.2,-365.0,497.0,527.0,322.3,-257.0,-641.6,781.3,175.1,False,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minnesota,1503,1764.0,2322.0,1760.8,1744.6,2030.0,1439.7,1999.5,1821.0,,,1690.7,1471.0,2236.2,1598.2,1861.1,1818.0,1546.4,1384.0,1802.0,1573.0,1621.7,1604.0,1389.0,1713.3,1868.8,261.0,819.0,257.8,241.6,527.0,-63.3,496.5,318.0,,,187.7,-32.0,733.2,95.2,358.1,315.0,43.4,-119.0,299.0,70.0,118.7,101.0,-114.0,210.3,365.8,False,True,True,False,True,False,False,,,True,True,False,True,False,False,True,True,False,True,True,True,True,True,False
Mississippi,1107,1137.1,1439.0,1163.0,1109.3,1213.0,893.3,1263.1,1135.0,909.4,,1168.4,893.0,1292.0,1024.6,1222.1,,1051.9,1181.5,1312.0,1284.0,1021.6,1005.0,1055.0,1063.3,1203.1,30.1,332.0,56.0,2.3,106.0,-213.7,156.1,28.0,-197.6,,61.4,-214.0,185.0,-82.4,115.1,,-55.1,74.5,205.0,177.0,-85.4,-102.0,-52.0,-43.7,96.1,False,False,True,False,False,False,True,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Missouri,1050,965.4,1265.0,979.0,1073.3,1110.0,877.3,2033.7,1106.0,1146.8,,1063.9,1009.0,1254.2,1034.9,998.1,,1103.1,1041.5,1276.0,894.0,1205.2,986.0,973.2,965.1,1153.9,-49.6,250.0,-36.0,58.3,95.0,-137.7,1018.7,91.0,131.8,,48.9,-6.0,239.2,19.9,-16.9,,88.1,26.5,261.0,-121.0,190.2,-29.0,-41.8,-49.9,138.9,False,True,False,False,False,False,False,False,,True,True,False,True,True,,False,True,False,False,False,True,True,False,False
Montana,23,21.9,30.0,22.6,23.0,18.0,18.9,106.6,19.0,22.7,,18.5,18.0,63.8,24.6,19.1,,20.4,10.0,28.0,24.0,20.0,24.0,16.3,21.1,20.0,-1.1,7.0,-0.4,-0.0,-5.0,-4.1,83.6,-4.0,-0.3,,-4.5,-5.0,40.8,1.6,-3.9,,-2.6,-13.0,5.0,1.0,-3.0,1.0,-6.7,-1.9,-3.0,False,True,True,False,False,False,False,True,,False,False,False,False,False,,False,False,False,True,False,True,False,False,False
Nebraska,284,252.6,497.0,255.1,300.7,540.0,273.7,315.4,219.0,,,328.5,255.0,474.4,227.1,266.4,,231.6,368.5,269.0,297.0,272.6,233.0,206.9,257.0,286.7,-31.4,213.0,-28.9,16.7,256.0,-10.3,31.4,-65.0,,,44.5,-29.0,190.4,-56.9,-17.6,,-52.4,84.5,-15.0,13.0,-11.4,-51.0,-77.1,-27.0,2.7,False,True,True,False,True,False,False,,,False,True,False,False,True,,False,False,True,True,True,False,False,True,True
Nevada,530,519.0,696.0,517.1,556.3,682.0,475.2,5032.3,614.0,624.6,,561.3,552.0,651.6,551.4,499.2,,515.6,445.0,552.0,707.0,527.4,537.0,507.1,489.7,543.1,-11.0,166.0,-12.9,26.3,152.0,-54.8,4502.3,84.0,94.6,,31.3,22.0,121.6,21.4,-30.8,,-14.4,-85.0,22.0,177.0,-2.6,7.0,-22.9,-40.3,13.1,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,True,True,False,False,False
New Hampshire,379,444.1,457.0,463.0,411.1,392.0,276.1,341.3,444.0,518.2,,396.1,305.0,475.9,365.8,490.8,,393.7,440.0,538.0,312.0,404.9,376.0,340.9,442.6,427.1,65.1,78.0,84.0,32.1,13.0,-102.9,-37.7,65.0,139.2,,17.1,-74.0,96.9,-13.2,111.8,,14.7,61.0,159.0,-67.0,25.9,-3.0,-38.1,63.6,48.1,False,False,True,True,False,True,True,False,,True,False,False,True,False,,True,True,False,False,True,True,True,True,True
New Jersey,15189,14019.7,16779.0,14000.1,13147.3,13090.0,12478.3,13052.1,12792.0,,,13030.3,13493.0,13144.1,13080.2,13141.9,,13159.2,13927.5,13175.0,12539.0,13487.2,13074.0,11863.3,13014.1,13404.3,670.7,3430.0,651.1,-201.7,-259.0,-870.7,-296.9,-557.0,,,-318.7,144.0,-204.9,-268.8,-207.1,,-189.8,578.5,-174.0,-810.0,138.2,-275.0,-1485.7,-334.9,55.3,False,True,True,True,False,True,True,,,True,True,True,True,True,,True,True,True,False,True,True,False,True,True
New Mexico,513,550.3,603.0,555.9,535.6,524.0,420.5,1822.6,519.0,584.9,,565.2,475.0,567.4,570.6,552.1,,590.1,450.0,580.0,535.0,573.9,526.0,426.1,503.2,555.0,37.3,90.0,42.9,22.6,11.0,-92.5,1309.6,6.0,71.9,,52.2,-38.0,54.4,57.6,39.1,,77.1,-63.0,67.0,22.0,60.9,13.0,-86.9,-9.8,42.0,False,False,True,True,False,False,True,False,,False,False,False,False,False,,False,False,False,True,False,True,False,True,False
New York,32206,32649.7,37104.0,32965.1,31355.4,31105.0,31352.4,31902.2,30753.0,,,31572.9,32167.0,31632.7,31623.7,30951.4,,31478.6,28991.0,30767.0,31105.0,31212.9,31452.0,29551.6,30911.7,31629.2,1295.7,5750.0,1611.1,1.4,-249.0,-1.6,548.2,-601.0,,,218.9,813.0,278.7,269.7,-402.6,,124.6,-2363.0,-587.0,-249.0,-141.1,98.0,-1802.4,-442.3,275.2,False,False,True,True,True,True,True,,,True,True,True,True,True,,True,False,True,True,True,True,False,True,True
North Carolina,1422,1398.4,2437.0,1424.5,1762.0,3096.0,1328.4,1731.7,2139.0,1690.2,,1785.9,1310.0,2382.8,1498.0,1401.0,,,1382.0,1867.0,1849.0,1532.5,1450.0,1855.6,1355.3,1516.5,-23.6,1015.0,2.5,340.0,1674.0,-93.6,309.7,717.0,268.2,,363.9,-112.0,960.8,76.0,-21.0,,,-40.0,445.0,427.0,110.5,28.0,433.6,-66.7,94.5,False,True,False,False,False,False,False,False,,False,False,False,False,True,,,False,False,False,False,False,False,False,False
North Dakota,80,114.4,163.0,120.0,107.4,87.0,80.5,129.6,96.0,136.7,,102.3,95.0,166.8,95.6,123.3,,112.8,100.0,1033.0,140.0,90.1,98.0,77.7,128.0,112.4,34.4,83.0,40.0,27.4,7.0,0.5,49.6,16.0,56.7,,22.3,15.0,86.8,15.6,43.3,,32.8,20.0,953.0,60.0,10.1,18.0,-2.3,48.0,32.4,False,False,True,True,True,False,True,False,,True,True,False,True,False,,True,True,False,False,True,True,True,False,True
Ohio,2907,3243.0,3510.0,3264.6,3134.7,2896.0,2581.1,2930.2,2862.0,3803.6,,3109.1,2966.0,4137.8,2930.9,3147.6,3535.0,2912.2,3612.5,3681.0,2694.0,2983.8,2809.0,2869.7,3001.6,3336.5,336.0,603.0,357.6,227.7,-11.0,-325.9,23.2,-45.0,896.6,,202.1,59.0,1230.8,23.9,240.6,628.0,5.2,705.5,774.0,-213.0,76.8,-98.0,-37.3,94.6,429.5,False,False,True,True,True,True,True,False,,True,True,False,True,True,False,True,False,False,True,True,True,True,True,False
Oklahoma,398,402.0,566.0,399.5,408.4,379.0,376.6,491.9,448.0,484.3,,409.7,357.0,588.2,401.1,370.7,,388.9,355.0,442.0,503.0,387.8,396.0,402.9,380.8,416.8,4.0,168.0,1.5,10.4,-19.0,-21.4,93.9,50.0,86.3,,11.7,-41.0,190.2,3.1,-27.3,,-9.1,-43.0,44.0,105.0,-10.2,-2.0,4.9,-17.2,18.8,False,True,False,False,False,False,False,False,,False,False,False,True,False,,False,False,False,False,False,True,False,False,False
Oregon,213,201.6,252.0,193.1,201.0,183.0,174.5,517.5,191.0,212.3,,189.9,184.0,393.1,197.9,176.2,,201.4,155.0,170.0,311.0,197.5,204.0,195.1,179.6,186.0,-11.4,39.0,-19.9,-12.0,-30.0,-38.5,304.5,-22.0,-0.7,,-23.1,-29.0,180.1,-15.1,-36.8,,-11.6,-58.0,-43.0,98.0,-15.5,-9.0,-17.9,-33.4,-27.0,False,False,False,False,False,False,False,True,,False,False,False,False,False,,False,False,False,False,False,True,False,False,False
Pennsylvania,6749,7439.6,8925.0,7507.0,7011.1,6701.0,6189.7,6695.0,7174.0,,,6870.2,6460.0,8019.0,6913.8,7225.9,,6698.2,7580.0,7813.0,6413.0,7283.2,6741.0,6146.7,6788.5,7076.0,690.6,2176.0,758.0,262.1,-48.0,-559.3,-54.0,425.0,,,121.2,-289.0,1270.0,164.8,476.9,,-50.8,831.0,1064.0,-336.0,534.2,-8.0,-602.3,39.5,327.0,False,False,True,True,True,True,True,,,True,True,False,True,True,,True,False,False,True,True,True,True,True,True
Rhode Island,960,980.3,1350.0,1016.1,919.5,843.0,805.7,872.1,930.0,,,939.9,919.0,861.7,864.0,1056.1,,841.9,975.5,1076.0,806.0,913.2,859.0,634.6,940.2,1044.2,20.3,390.0,56.1,-40.5,-117.0,-154.3,-87.9,-30.0,,,-20.1,-41.0,-98.3,-96.0,96.1,,-118.1,15.5,116.0,-154.0,-46.8,-101.0,-325.4,-19.8,84.2,False,False,False,False,False,False,False,,,True,False,False,False,False,,False,True,False,False,False,False,False,True,False
South Carolina,813,746.6,958.0,746.8,870.6,1449.0,608.0,1065.8,946.0,866.3,,726.4,621.0,1055.0,855.7,683.0,,1030.4,644.0,807.0,1441.0,724.6,1032.0,779.4,689.6,834.4,-66.4,145.0,-66.2,57.6,636.0,-205.0,252.8,133.0,53.3,,-86.6,-192.0,242.0,42.7,-130.0,,217.4,-169.0,-6.0,628.0,-88.4,219.0,-33.6,-123.4,21.4,False,True,True,False,False,False,False,True,,False,False,False,True,False,,False,False,True,False,False,False,True,False,True
South Dakota,97,76.6,171.0,77.7,102.3,165.0,88.4,128.5,89.0,97.7,,83.2,77.0,175.8,88.3,84.7,,82.1,110.0,96.0,148.0,80.7,83.0,72.6,91.0,98.3,-20.4,74.0,-19.3,5.3,68.0,-8.6,31.5,-8.0,0.7,,-13.8,-20.0,78.8,-8.7,-12.3,,-14.9,13.0,-1.0,51.0,-16.3,-14.0,-24.4,-6.0,1.3,False,True,True,False,True,False,True,True,,True,True,False,True,True,,True,True,True,False,True,True,False,True,True
Tennessee,637,626.3,944.0,629.0,631.0,934.0,560.9,688.9,553.0,888.2,,601.2,607.0,901.1,525.2,585.8,,630.4,456.5,564.0,596.0,542.8,620.0,559.3,529.9,623.7,-10.7,307.0,-8.0,-6.0,297.0,-76.1,51.9,-84.0,251.2,,-35.8,-30.0,264.1,-111.8,-51.2,,-6.6,-180.5,-73.0,-41.0,-94.2,-17.0,-77.7,-107.1,-13.3,False,True,True,False,False,False,False,False,,False,False,False,False,False,,True,False,False,False,False,False,False,False,False
Texas,2951,2481.3,4062.0,2556.9,2644.8,3568.0,2272.5,2926.1,2500.0,2632.3,,2523.0,2175.0,3796.0,2258.6,2378.0,,2595.8,2400.0,3003.0,3015.0,2421.2,2642.0,2725.9,2309.9,2713.3,-344.7,1236.0,-269.1,-181.2,742.0,-553.5,100.1,-326.0,-193.7,,-303.0,-651.0,970.0,-567.4,-448.0,,-230.2,-426.0,177.0,189.0,-404.8,-184.0,-100.1,-516.1,-112.7,False,True,True,False,False,True,True,True,,True,False,False,False,False,,True,False,True,True,False,True,True,False,True
Utah,181,151.9,370.0,157.1,219.5,472.0,196.1,1107.8,196.0,223.5,,195.7,199.0,287.6,195.8,168.5,,,220.0,3421.0,388.0,188.0,232.0,181.0,163.5,182.1,-29.1,189.0,-23.9,38.5,291.0,15.1,926.8,15.0,42.5,,14.7,18.0,106.6,14.8,-12.5,,,39.0,3240.0,207.0,7.0,51.0,0.0,-17.5,1.1,False,True,False,False,True,False,True,False,,True,True,False,True,True,,,False,False,False,True,False,True,True,True
