,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,2857,2893.7,2991.0,2910.0,2943.4,3057.0,2947.6,2982.0,2934.4,3057.3,2953.6,,,2985.0,2920.7,2977.8,2956.3,2912.0,,2835.2,2939.2,2871.0,,2910.0,2890.0,2930.9,2986.0,2441.0,2968.5,2898.0,2912.7,3024.7,36.7,134.0,53.0,86.4,200.0,90.6,125.0,77.4,200.3,96.6,,,128.0,63.7,120.8,99.3,55.0,,-21.8,82.2,14.0,,53.0,33.0,73.9,129.0,-416.0,111.5,41.0,55.7,167.7,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,,True,False,True,,False,True,False,False,False,False,False,False,False
Hawaii,19,18.9,19.0,19.0,18.6,18.0,18.6,18.0,,,16.8,,,,19.3,19.0,18.5,18.2,,18.6,18.3,18.0,,18.0,18.0,18.2,19.0,22.3,19.3,19.0,18.2,,-0.1,0.0,0.0,-0.4,-1.0,-0.4,-1.0,,,-2.2,,,,0.3,-0.0,-0.5,-0.8,,-0.4,-0.7,-1.0,,-1.0,-1.0,-0.8,0.0,3.3,0.3,0.0,-0.8,,True,True,False,False,False,False,,,False,,,,False,True,False,False,,False,False,False,,False,False,False,True,False,False,True,False,
Idaho,93,92.7,102.0,93.0,95.2,93.0,100.4,99.0,95.0,,95.6,,,92.0,103.3,96.7,101.9,91.7,,97.2,95.4,91.0,,,94.0,92.8,95.0,51.1,95.1,93.0,92.8,,-0.3,9.0,0.0,2.2,0.0,7.4,6.0,2.0,,2.6,,,-1.0,10.3,3.7,8.9,-1.3,,4.2,2.4,-2.0,,,1.0,-0.2,2.0,-41.9,2.1,0.0,-0.2,,False,True,False,True,False,False,False,,False,,,False,False,False,False,False,,False,False,False,,,False,True,False,False,False,True,True,
Illinois,7014,7094.6,7208.0,7121.0,7165.2,7033.0,6978.5,6977.0,7044.8,,7059.3,,,7501.0,7220.1,7165.9,7129.9,7176.4,7289.5,7282.5,7135.3,7703.5,,7108.0,7028.0,7035.0,7069.0,6846.8,7056.0,7125.0,7089.4,7175.0,80.6,194.0,107.0,151.2,19.0,-35.5,-37.0,30.8,,45.3,,,487.0,206.1,151.9,115.9,162.4,275.5,268.5,121.3,689.5,,94.0,14.0,21.0,55.0,-167.2,42.0,111.0,75.4,161.0,False,False,False,True,True,True,True,,True,,,False,False,False,False,False,False,False,False,False,,False,True,True,True,False,True,False,True,False
Indiana,2687,2686.7,2727.0,2696.0,2702.0,2685.0,2690.3,2687.0,,,2478.3,,,2638.0,2538.4,2716.2,2796.1,2705.2,2697.5,2678.7,2698.9,2680.0,,2697.0,2672.0,2666.1,2692.0,2828.2,2711.0,2756.0,2687.8,,-0.3,40.0,9.0,15.0,-2.0,3.3,0.0,,,-208.7,,,-49.0,-148.6,29.2,109.1,18.2,10.5,-8.3,11.9,-7.0,,10.0,-15.0,-20.9,5.0,141.2,24.0,69.0,0.8,,False,False,False,False,False,True,,,False,,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,
Iowa,721,723.1,762.0,727.0,738.1,757.0,779.5,730.0,722.4,,726.4,,,732.0,765.2,739.6,830.7,743.3,,718.4,726.1,767.0,,749.0,724.0,735.1,726.0,734.9,736.3,728.0,728.9,,2.1,41.0,6.0,17.1,36.0,58.5,9.0,1.4,,5.4,,,11.0,44.2,18.6,109.7,22.3,,-2.6,5.1,46.0,,28.0,3.0,14.1,5.0,13.9,15.3,7.0,7.9,,False,False,False,False,False,False,True,,False,,,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,
Kansas,283,279.3,296.0,280.0,282.4,301.0,279.4,274.0,279.0,,282.5,,,276.0,306.2,285.3,289.6,274.1,,283.6,286.3,280.0,,273.0,273.0,274.9,282.0,227.1,282.8,283.0,279.9,,-3.7,13.0,-3.0,-0.6,18.0,-3.6,-9.0,-4.0,,-0.5,,,-7.0,23.2,2.3,6.6,-8.9,,0.6,3.3,-3.0,,-10.0,-10.0,-8.1,-1.0,-55.9,-0.2,0.0,-3.1,,False,True,True,False,True,False,False,,True,,,False,False,True,False,False,,True,True,True,,False,False,False,True,False,True,True,True,
Kentucky,585,585.4,589.0,584.0,589.9,599.0,576.7,596.0,581.6,,571.4,,,625.0,617.4,582.0,764.2,576.4,598.5,599.8,591.6,569.0,,579.0,580.0,591.4,582.0,530.9,586.1,591.0,583.3,,0.4,4.0,-1.0,4.9,14.0,-8.3,11.0,-3.4,,-13.6,,,40.0,32.4,-3.0,179.2,-8.6,13.5,14.8,6.6,-16.0,,-6.0,-5.0,6.4,-3.0,-54.1,1.1,6.0,-1.7,,False,False,False,False,False,False,False,,False,,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,
Louisiana,3278,3279.6,3309.0,3276.0,3269.9,3311.0,3260.4,3283.0,3279.4,,3290.7,,,3225.0,3202.7,3313.3,3307.1,3236.1,,3245.3,3309.3,3238.0,,3249.0,3305.0,3231.5,3290.0,2965.9,3323.7,3241.0,3271.6,,1.6,31.0,-2.0,-8.1,33.0,-17.6,5.0,1.4,,12.7,,,-53.0,-75.3,35.3,29.1,-41.9,,-32.7,31.3,-40.0,,-29.0,27.0,-46.5,12.0,-312.1,45.7,-37.0,-6.4,,False,False,False,False,False,False,True,,False,,,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,
Maine,107,105.7,110.0,106.0,106.8,106.0,106.6,109.0,105.9,,108.7,,,104.0,112.3,107.8,132.5,106.3,,107.9,106.5,104.0,,,106.0,105.2,106.0,100.2,106.7,106.0,105.9,,-1.3,3.0,-1.0,-0.2,-1.0,-0.4,2.0,-1.1,,1.7,,,-3.0,5.3,0.8,25.5,-0.7,,0.9,-0.5,-3.0,,,-1.0,-1.8,-1.0,-6.8,-0.3,-1.0,-1.1,,False,True,True,True,True,False,True,,False,,,False,False,True,False,True,,True,True,False,,,True,False,True,False,True,True,True,
Maryland,3236,3255.4,3296.0,3262.0,3253.8,3242.0,3247.2,3238.0,3205.2,,3202.3,,,3304.0,3299.7,3249.9,3563.5,3272.3,,3231.2,3239.6,3245.5,,3252.0,3247.0,3228.1,3239.0,3207.7,3239.9,3328.0,3256.5,3243.3,19.4,60.0,26.0,17.8,6.0,11.2,2.0,-30.8,,-33.7,,,68.0,63.7,13.9,327.5,36.3,,-4.8,3.6,9.5,,16.0,11.0,-7.9,3.0,-28.3,3.9,92.0,20.5,7.3,False,False,True,True,True,True,False,,False,,,False,False,True,False,False,,True,True,True,,True,True,True,True,False,True,False,False,True
Massachusetts,8172,8232.1,8262.0,8253.0,8188.1,8130.0,8071.9,8125.0,,,8154.6,,,8170.0,8213.2,8199.5,8159.4,8243.8,,8164.7,8230.6,8138.0,,8217.0,8257.0,8138.5,8190.0,8388.2,8193.1,8216.0,8211.7,8206.3,61.1,91.0,82.0,17.1,-41.0,-99.1,-46.0,,,-16.4,,,-1.0,42.2,28.5,-11.6,72.8,,-6.3,59.6,-33.0,,46.0,86.0,-32.5,19.0,217.2,22.1,45.0,40.7,35.3,False,False,True,True,False,True,,,True,,,True,True,True,True,False,,True,True,True,,True,False,True,True,False,True,True,True,True
Michigan,6218,6214.4,6285.0,6219.0,6232.8,6221.0,6195.4,6186.0,6255.2,,6261.4,,,6236.0,6218.9,6323.6,6860.7,6205.5,6348.0,6212.1,6242.0,6189.0,,6207.0,6206.0,6229.6,6215.0,6052.2,6217.0,6197.0,6214.9,,-3.6,67.0,1.0,14.8,3.0,-22.6,-32.0,37.2,,43.4,,,18.0,0.9,105.6,642.7,-12.5,130.0,-5.9,24.0,-29.0,,-11.0,-12.0,11.6,-3.0,-165.8,-1.0,-21.0,-3.1,,False,True,False,True,False,False,False,,False,,,False,True,False,False,False,False,False,False,False,,False,False,False,True,False,True,False,True,
Minnesota,1503,1501.1,1536.0,1500.0,1528.4,1558.0,1586.7,1507.0,1489.1,,1515.8,,,1455.0,1542.2,1539.3,1715.1,1550.1,1583.0,1498.2,1501.2,1504.0,,1539.0,1511.0,1517.6,1501.0,1363.9,1526.9,1516.0,1507.0,,-1.9,33.0,-3.0,25.4,55.0,83.7,4.0,-13.9,,12.8,,,-48.0,39.2,36.3,212.1,47.1,80.0,-4.8,-1.8,1.0,,36.0,8.0,14.6,-2.0,-139.1,23.9,13.0,4.0,,False,False,False,False,False,False,False,,False,,,False,False,False,False,False,False,False,True,True,,False,False,False,False,False,False,False,False,
Mississippi,1107,1125.6,1117.0,1132.0,1109.9,1179.0,1131.4,1122.0,1098.6,,1102.8,,,1079.0,1106.2,1102.7,1277.8,1109.0,,1093.9,1173.5,1085.0,,1097.0,1076.0,1077.7,1106.0,925.2,1134.0,1095.0,1109.7,,18.6,10.0,25.0,2.9,72.0,24.4,15.0,-8.4,,-4.2,,,-28.0,-0.8,-4.3,170.8,2.0,,-13.1,66.5,-22.0,,-10.0,-31.0,-29.3,-1.0,-181.8,27.0,-12.0,2.7,,True,False,True,False,False,True,True,,True,,,False,True,True,False,True,,True,False,False,,True,False,False,True,False,False,True,True,
Missouri,1050,1037.4,1087.0,1043.0,1058.7,1105.0,1056.5,1065.0,1045.8,,1083.2,,,1090.0,1070.7,1053.6,1244.2,1027.8,,1058.4,1074.6,1024.0,,1030.0,1040.0,1063.2,1048.0,1023.3,1048.4,1046.0,1038.0,,-2.6,47.0,3.0,18.7,65.0,16.5,25.0,5.8,,43.2,,,50.0,30.7,13.6,204.2,-12.2,,18.4,34.6,-16.0,,-10.0,0.0,23.2,8.0,-16.7,8.4,6.0,-2.0,,False,False,False,False,False,False,False,,False,,,False,False,False,False,False,,False,False,False,,False,True,False,False,False,False,False,True,
Montana,23,23.7,23.0,24.0,23.6,22.0,20.5,23.0,24.5,,21.2,,,22.0,28.8,24.5,21.9,22.3,,25.9,26.5,22.0,,22.0,23.0,22.5,24.0,20.8,24.2,24.0,23.0,,0.7,0.0,1.0,0.6,-1.0,-2.5,0.0,1.5,,-1.8,,,-1.0,5.8,1.5,-1.1,-0.7,,2.9,3.5,-1.0,,-1.0,0.0,-0.5,1.0,-2.2,1.2,1.0,-0.0,,True,False,True,False,False,True,False,,False,,,False,False,False,False,False,,False,False,False,,False,True,True,False,False,False,False,True,
Nebraska,284,286.7,304.0,290.0,290.5,291.0,272.0,274.0,,,299.0,,,282.0,311.6,285.0,303.7,292.0,,294.5,290.1,308.0,,287.0,286.0,280.8,281.0,251.4,280.3,290.0,287.5,,2.7,20.0,6.0,6.5,7.0,-12.0,-10.0,,,15.0,,,-2.0,27.6,1.0,19.7,8.0,,10.5,6.1,24.0,,3.0,2.0,-3.2,-3.0,-32.6,-3.7,6.0,3.5,,False,False,False,False,False,False,,,False,,,True,False,True,False,False,,False,False,False,,False,True,False,False,False,False,False,False,
Nevada,530,511.1,535.0,514.0,531.4,607.0,540.4,549.0,519.4,,561.9,,,520.0,542.7,550.9,552.3,512.9,,506.8,530.8,510.0,,511.0,512.0,521.0,522.0,347.4,528.1,529.0,516.8,,-18.9,5.0,-16.0,1.4,77.0,10.4,19.0,-10.6,,31.9,,,-10.0,12.7,20.9,22.3,-17.1,,-23.2,0.8,-20.0,,-19.0,-18.0,-9.0,-8.0,-182.6,-1.9,-1.0,-13.2,,True,True,True,False,True,False,True,,False,,,True,True,False,False,True,,False,True,False,,False,True,True,True,False,True,True,True,
New Hampshire,379,391.0,388.0,395.0,389.9,381.0,382.9,386.0,408.5,,398.0,,,368.0,394.0,385.2,445.3,397.9,,386.0,388.5,382.0,,395.0,397.0,386.4,382.0,386.3,381.3,396.0,385.2,,12.0,9.0,16.0,10.9,2.0,3.9,7.0,29.5,,19.0,,,-11.0,15.0,6.2,66.3,18.9,,7.0,9.5,3.0,,16.0,18.0,7.4,3.0,7.3,2.3,17.0,6.2,,True,False,True,True,True,True,False,,False,,,True,False,True,False,False,,True,True,True,,False,False,True,True,True,True,False,True,
New Jersey,15189,16720.1,15431.0,16972.0,15209.7,15070.0,13172.6,15071.0,,,15098.9,,,15560.0,15233.2,15152.3,13177.6,15435.8,,16378.8,15157.1,15145.5,,15136.0,16427.0,15028.8,15261.0,13479.2,15282.9,15216.0,15149.4,14602.7,1531.1,242.0,1783.0,20.7,-119.0,-2016.4,-118.0,,,-90.1,,,371.0,44.2,-36.7,-2011.4,246.8,,1189.8,-31.9,-43.5,,-53.0,1238.0,-160.2,72.0,-1709.8,93.9,27.0,-39.6,-586.3,True,False,True,True,False,True,,,True,,,True,True,True,False,True,,True,True,True,,True,True,True,True,False,True,True,True,True
New Mexico,513,511.7,524.0,516.0,520.4,520.0,534.9,518.0,518.6,,534.0,,,542.0,527.3,527.2,539.0,521.0,,511.0,524.0,516.0,,519.0,515.0,512.4,513.0,482.3,521.7,518.0,512.7,,-1.3,11.0,3.0,7.4,7.0,21.9,5.0,5.6,,21.0,,,29.0,14.3,14.2,26.0,8.0,,-2.0,11.0,3.0,,6.0,2.0,-0.6,0.0,-30.7,8.7,5.0,-0.3,,False,False,False,False,False,False,False,,False,,,False,False,False,False,False,,False,False,False,,False,False,True,True,False,False,False,True,
New York,32206,31630.1,32117.0,31653.0,31587.8,31505.0,31305.5,31425.0,,,31604.3,,,31503.0,31339.0,31639.5,30911.4,31447.2,,31278.4,31623.1,31476.0,,31479.0,31465.0,31492.0,31581.0,32564.4,31597.5,31747.0,31592.0,31593.0,105.1,592.0,128.0,62.8,-20.0,-219.5,-100.0,,,79.3,,,-22.0,-186.0,114.5,-613.6,-77.8,,-246.6,98.1,-49.0,,-46.0,-60.0,-33.0,56.0,1039.4,72.5,222.0,67.0,68.0,False,False,True,True,False,True,,,True,,,True,False,False,False,True,,False,True,True,,True,True,True,True,False,True,False,True,True
North Carolina,1422,1462.6,1481.0,1491.0,1460.0,1725.0,1500.9,1601.0,1430.7,1420.3,1399.3,,,1393.0,1523.3,1456.1,1467.6,1449.5,,1411.0,1467.3,1438.5,,1435.0,1442.0,1444.8,1444.0,1055.8,1468.3,1476.0,1441.7,1449.0,40.6,59.0,69.0,38.0,303.0,78.9,179.0,8.7,-1.7,-22.7,,,-29.0,101.3,34.1,45.6,27.5,,-11.0,45.3,16.5,,13.0,20.0,22.8,22.0,-366.2,46.3,54.0,19.7,27.0,False,False,True,False,False,False,True,True,True,,,True,False,True,False,True,,True,False,True,,True,True,True,True,False,False,False,True,True
North Dakota,80,80.7,85.0,80.0,83.4,79.0,81.2,81.0,82.4,,80.7,,,89.0,91.3,82.0,100.0,81.7,,93.6,81.1,84.0,,81.0,82.0,81.2,81.0,80.1,82.6,87.0,82.2,,0.7,5.0,0.0,3.4,-1.0,1.2,1.0,2.4,,0.7,,,9.0,11.3,2.0,20.0,1.7,,13.6,1.1,4.0,,1.0,2.0,1.2,1.0,0.1,2.6,7.0,2.2,,False,True,False,False,False,False,False,,True,,,False,False,False,False,False,,False,False,False,,False,False,False,False,True,False,False,False,
Ohio,2907,2898.7,2926.0,2911.0,2946.7,2993.0,2947.7,2928.0,,,2901.0,,,2945.0,3058.3,2955.6,3277.9,2941.9,3062.5,2876.5,2969.5,2901.0,,2924.0,2888.0,2912.9,2922.0,2956.8,2953.9,2908.0,2903.5,3022.0,-8.3,19.0,4.0,39.7,86.0,40.7,21.0,,,-6.0,,,38.0,151.3,48.6,370.9,34.9,155.5,-30.5,62.5,-6.0,,17.0,-19.0,5.9,15.0,49.8,46.9,1.0,-3.5,115.0,False,True,False,False,False,False,,,True,,,False,False,False,False,False,False,False,False,True,,False,False,True,False,False,False,True,True,False
Oklahoma,398,398.7,411.0,400.0,403.0,436.0,401.7,425.0,406.7,,398.2,,,382.0,423.3,398.5,448.4,388.3,,396.2,402.4,389.0,,389.0,404.0,391.9,405.0,269.5,411.0,399.0,399.9,,0.7,13.0,2.0,5.0,38.0,3.7,27.0,8.7,,0.2,,,-16.0,25.3,0.5,50.4,-9.7,,-1.8,4.4,-9.0,,-9.0,6.0,-6.1,7.0,-128.5,13.0,1.0,1.9,,False,False,False,False,False,False,False,,True,,,False,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,
Oregon,213,212.3,219.0,215.0,218.7,238.0,197.8,222.0,218.4,,222.4,,,232.0,234.0,218.2,213.4,209.4,,219.2,220.9,207.0,,217.0,211.0,210.7,216.0,165.7,219.5,213.0,211.9,,-0.7,6.0,2.0,5.7,25.0,-15.2,9.0,5.4,,9.4,,,19.0,21.0,5.2,0.4,-3.6,,6.2,7.9,-6.0,,4.0,-2.0,-2.3,3.0,-47.3,6.5,0.0,-1.1,,False,False,False,False,False,False,False,,False,,,False,False,False,True,False,,False,False,False,,False,False,False,False,False,False,True,False,
