,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Montana,90,28.9,28.6,32.6,31.0,,23.5,20.6,30.4,-61.1,-61.4,-57.4,-59.0,,-66.5,-69.4,-59.6,False,True,True,,False,False,True
Nebraska,376,500.9,361.0,448.2,302.0,,337.3,265.9,529.6,124.9,-15.0,72.2,-74.0,,-38.7,-110.1,153.6,True,True,True,,True,True,False
Nevada,1197,699.6,717.8,719.2,662.0,,650.1,855.8,748.5,-497.4,-479.2,-477.8,-535.0,,-546.9,-341.2,-448.5,True,True,False,,False,True,True
New Hampshire,429,507.3,490.9,590.5,341.0,,499.9,440.0,557.1,78.3,61.9,161.5,-88.0,,70.9,11.0,128.1,True,False,False,,True,True,False
New Jersey,15943,15419.0,13468.5,13734.3,13932.0,,14044.9,13000.2,13721.2,1339.0,-611.5,-345.7,-148.0,,-35.1,-1079.8,-358.8,True,True,True,,True,True,True
New Mexico,743,770.1,697.8,750.8,537.0,,605.2,567.2,747.0,27.1,-45.2,7.8,-206.0,,-137.8,-175.8,4.0,False,True,False,,False,False,True
New York,32839,33782.1,31738.1,31811.7,32319.0,,31911.0,32720.1,31892.5,1672.1,-371.9,-298.3,209.0,,-199.0,610.1,-217.5,True,True,True,,True,True,True
North Carolina,2521,1950.1,2708.8,1793.4,2145.0,,2163.1,2562.0,2220.8,-540.9,217.8,-697.6,-346.0,,-327.9,71.0,-270.2,True,False,True,,True,True,True
North Dakota,135,103.6,96.8,90.0,96.0,,97.4,88.2,126.0,-31.4,-38.2,-45.0,-39.0,,-37.6,-46.8,-9.0,False,False,False,,False,False,True
Ohio,3975,3948.9,3419.7,3514.3,3207.0,,3378.2,3483.1,4177.0,-26.1,-555.3,-460.7,-768.0,,-596.8,-491.9,202.0,False,False,False,,False,False,False
Oklahoma,725,457.6,501.8,494.3,787.0,,426.9,795.5,537.8,-267.4,-223.2,-230.7,62.0,,-298.1,70.5,-187.2,True,True,True,,False,True,True
Oregon,417,294.3,293.5,493.7,254.0,,247.3,444.8,305.5,-120.7,-121.5,78.7,-161.0,,-167.7,29.8,-109.5,False,True,False,,False,True,True
Pennsylvania,7555,8265.3,7875.1,7468.3,6759.0,,7402.7,7430.5,7659.0,710.3,320.1,-86.7,-796.0,,-152.3,-124.5,104.0,True,True,False,,True,True,True
Rhode Island,1030,1434.3,1071.7,1109.0,1011.0,,1094.0,797.2,1233.4,404.3,41.7,79.0,-19.0,,64.0,-232.8,203.4,True,True,True,,True,True,True
South Carolina,2493,1122.4,1922.7,1049.3,1102.0,,1225.2,2469.4,1430.4,-1370.6,-570.3,-1443.7,-1391.0,,-1267.8,-23.6,-1062.6,True,False,False,,True,True,True
South Dakota,160,134.1,124.4,157.2,95.0,,100.2,105.1,156.5,-25.9,-35.6,-2.8,-65.0,,-59.8,-54.9,-3.5,False,True,False,,False,False,True
Tennessee,1563,986.6,938.2,905.3,1258.0,,741.4,916.7,1100.3,-576.4,-624.8,-657.7,-305.0,,-821.6,-646.3,-462.7,False,False,True,,False,False,True
Texas,11578,4024.4,4433.8,7014.6,5204.0,2741.0,3632.0,5758.2,4881.2,-7376.6,-6967.2,-4386.4,-6197.0,-8660.0,-7769.0,-5642.8,-6519.8,True,True,True,False,False,True,True
Utah,385,326.3,664.1,320.5,307.0,,222.6,398.3,374.8,-58.7,279.1,-64.5,-78.0,,-162.4,13.3,-10.2,False,False,False,,False,True,True
Vermont,58,64.9,65.7,63.1,57.0,,63.7,52.2,64.0,6.9,7.7,5.1,-1.0,,5.7,-5.8,6.0,False,True,True,,True,True,True
Virginia,2443,2186.7,2109.7,1766.5,1890.0,,1857.2,1837.4,2170.1,-256.3,-333.3,-676.5,-553.0,,-585.8,-605.6,-272.9,False,False,False,,False,False,False
Washington,1857,1739.4,1601.1,1646.5,1483.0,,1376.6,1746.1,1822.5,-117.6,-255.9,-210.5,-374.0,,-480.4,-110.9,-34.5,False,False,False,,False,True,True
West Virginia,177,97.9,108.3,107.9,89.0,,125.2,141.1,119.5,-79.1,-68.7,-69.1,-88.0,,-51.8,-35.9,-57.5,True,True,False,,True,True,True
Wisconsin,1081,1204.6,1025.2,996.6,977.0,,872.4,915.2,1255.3,123.6,-55.8,-84.4,-104.0,,-208.6,-165.8,174.3,True,True,True,,False,False,False
Wyoming,37,37.7,31.9,20.3,18.0,,21.6,39.1,45.0,0.7,-5.1,-16.7,-19.0,,-15.4,2.1,8.0,False,False,False,,False,False,False
US,176318,157470.1,152222.2,156259.5,145288.0,120743.0,134327.3,156677.8,156871.7,-16035.9,-21283.8,-17246.5,-28218.0,-52763.0,-39178.7,-16828.2,-16634.3,False,False,False,False,False,False,False
