,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,5092,4817.1,4904.0,4817.5,4692.0,5173.0,,4766.3,4736.0,4748.8,4556.9,4821.3,4871.2,4572.0,5016.1,4905.1,4962.5,4578.2,4246.5,4828.1,,3700.1,4906.6,6024.0,,,4353.9,,4631.0,4685.3,,4684.0,4408.4,5101.0,4939.0,4952.0,4729.9,4402.0,-274.9,-188.0,-274.5,-400.0,81.0,,-325.7,-356.0,-343.2,-535.1,-270.7,-220.8,-520.0,-75.9,-186.9,-129.5,-513.8,-845.5,-263.9,,-1391.9,-185.4,932.0,,,-738.1,,-461.0,-406.7,,-408.0,-683.6,9.0,-153.0,-140.0,-362.1,-690.0,True,True,False,True,,False,False,False,False,True,True,False,True,True,True,False,False,True,,False,True,False,,,False,,False,False,,False,False,True,True,True,False,False
Hawaii,47,26.0,36.0,27.0,36.0,57.0,,37.2,31.0,37.9,,,33.8,,32.0,60.3,48.8,42.2,28.1,30.1,,71.5,45.9,41.0,,,29.2,,41.0,27.0,,40.0,,38.1,26.0,31.0,31.6,,-21.0,-11.0,-20.0,-11.0,10.0,,-9.8,-16.0,-9.1,,,-13.2,,-15.0,13.3,1.8,-4.8,-18.9,-16.9,,24.5,-1.1,-6.0,,,-17.8,,-6.0,-20.0,,-7.0,,-8.9,-21.0,-16.0,-15.4,,True,True,True,True,,True,True,True,,,True,,True,True,True,True,True,True,,False,True,True,,,True,,True,True,,True,,True,False,True,True,
Idaho,306,342.7,303.0,350.0,341.0,293.0,,341.4,277.0,545.1,366.0,,257.0,263.0,355.9,435.5,317.8,237.9,283.9,439.8,,234.3,353.5,737.5,,,234.2,,348.0,341.5,,292.0,,288.5,332.0,801.0,374.9,325.0,36.7,-3.0,44.0,35.0,-13.0,,35.4,-29.0,239.1,60.0,,-49.0,-43.0,49.9,129.5,11.8,-68.1,-22.1,133.8,,-71.7,47.5,431.5,,,-71.8,,42.0,35.5,,-14.0,,-17.5,26.0,495.0,68.9,19.0,True,False,True,True,,True,True,False,False,,False,False,False,False,True,False,True,False,,False,False,False,,,False,,False,True,,True,,True,True,False,False,True
Illinois,8083,8068.3,8489.0,8038.1,8084.0,8294.0,,8084.1,7747.0,7955.6,8073.3,,7830.5,8087.0,8139.4,8145.4,8073.7,7983.3,8473.6,8040.8,8681.0,7753.1,8125.8,7908.0,,,8134.3,,8034.0,8084.8,,8069.0,8360.8,8875.4,8122.0,7916.5,8135.2,7759.0,-14.7,406.0,-44.9,1.0,211.0,,1.1,-336.0,-127.4,-9.7,,-252.5,4.0,56.4,62.4,-9.3,-99.7,390.6,-42.2,598.0,-329.9,42.8,-175.0,,,51.3,,-49.0,1.8,,-14.0,277.8,792.4,39.0,-166.5,52.2,-324.0,False,False,True,False,,True,False,False,True,,False,True,False,False,True,False,False,False,False,False,False,False,,,False,,False,True,,True,False,False,False,False,False,False
Indiana,3218,3180.7,3264.0,3199.0,3209.0,3222.0,,3189.6,3243.0,3134.7,3209.3,,3270.4,3060.0,3296.2,3137.1,3332.2,3145.7,3367.3,3467.8,3033.0,3020.3,3243.5,3122.0,,,3269.2,,3163.0,3177.8,,3223.0,3167.7,3664.4,3245.0,3296.0,3258.3,3175.0,-37.3,46.0,-19.0,-9.0,4.0,,-28.4,25.0,-83.3,-8.7,,52.4,-158.0,78.2,-80.9,114.2,-72.3,149.3,249.8,-185.0,-197.7,25.5,-96.0,,,51.2,,-55.0,-40.2,,5.0,-50.3,446.4,27.0,78.0,40.3,-43.0,False,True,True,True,,True,True,False,True,,False,False,False,False,False,False,False,False,False,False,True,False,,,False,,False,False,,True,False,False,True,False,False,False
Iowa,1033,1018.0,1077.0,1018.0,992.0,982.0,,1015.4,953.0,981.9,958.0,,1035.8,910.0,1015.2,1104.7,1082.0,960.2,970.0,1046.8,,920.2,989.1,1100.0,,,960.7,,995.0,1000.9,,974.0,981.1,1076.9,994.0,1062.0,1022.6,,-15.0,44.0,-15.0,-41.0,-51.0,,-17.6,-80.0,-51.1,-75.0,,2.8,-123.0,-17.8,71.7,49.0,-72.8,-63.0,13.8,,-112.8,-43.9,67.0,,,-72.3,,-38.0,-32.1,,-59.0,-51.9,43.9,-39.0,29.0,-10.4,,False,True,False,False,,False,False,False,False,,True,False,False,False,False,False,False,True,,False,False,False,,,False,,False,False,,False,False,False,False,False,True,
Kansas,426,446.7,484.0,445.0,441.0,447.0,,477.3,396.0,461.8,,,410.6,478.0,446.6,545.6,438.8,392.2,418.9,449.7,,364.2,447.5,439.0,,,416.6,,408.0,437.0,,414.0,,467.3,440.0,501.5,448.7,,20.7,58.0,19.0,15.0,21.0,,51.3,-30.0,35.8,,,-15.4,52.0,20.6,119.6,12.8,-33.8,-7.1,23.7,,-61.8,21.5,13.0,,,-9.4,,-18.0,11.0,,-12.0,,41.3,14.0,75.5,22.7,,False,True,True,False,,False,False,False,,,True,False,True,False,True,False,True,False,,False,False,True,,,True,,True,True,,True,,False,True,False,False,
Kentucky,872,862.0,880.0,872.0,889.0,895.0,,911.7,906.0,909.1,943.3,,841.9,835.0,919.2,1061.4,895.9,832.1,944.2,888.9,885.0,920.6,901.2,889.0,,,820.9,,882.0,885.8,,871.0,829.5,1011.9,918.0,936.0,898.3,,-10.0,8.0,-0.0,17.0,23.0,,39.7,34.0,37.1,71.3,,-30.1,-37.0,47.2,189.4,23.9,-39.9,72.2,16.9,13.0,48.6,29.2,17.0,,,-51.1,,10.0,13.8,,-1.0,-42.5,139.9,46.0,64.0,26.3,,True,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,,False,,False,False,,True,False,False,False,False,False,
Louisiana,4687,4704.1,4648.0,4650.9,4613.0,4540.0,,4501.8,4583.0,4690.6,4568.5,,4589.7,4514.0,4845.0,4447.7,5079.0,4802.1,4117.3,4830.8,,4021.8,4655.3,5000.0,,,4426.4,,4815.0,4564.8,,4643.0,,5326.8,4458.0,5229.0,4605.4,4457.0,17.1,-39.0,-36.1,-74.0,-147.0,,-185.2,-104.0,3.6,-118.5,,-97.3,-173.0,158.0,-239.3,392.0,115.1,-569.7,143.8,,-665.2,-31.7,313.0,,,-260.6,,128.0,-122.2,,-44.0,,639.8,-229.0,542.0,-81.6,-230.0,False,False,False,False,,False,False,True,False,,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,,False,False,False,False,False
Maine,130,134.4,139.0,135.0,135.0,123.0,,127.9,126.0,135.9,133.6,,129.1,146.0,136.4,142.5,132.0,129.5,134.2,130.1,,128.6,136.7,139.0,,,140.3,,137.0,135.1,,130.0,130.3,135.4,130.0,139.0,133.6,,4.4,9.0,5.0,5.0,-7.0,,-2.1,-4.0,5.9,3.6,,-0.9,16.0,6.4,12.5,2.0,-0.5,4.2,0.1,,-1.4,6.7,9.0,,,10.3,,7.0,5.1,,0.0,0.3,5.4,0.0,9.0,3.6,,False,False,False,False,,True,True,False,True,,True,False,False,False,True,True,True,True,,True,False,False,,,False,,False,False,,True,True,False,True,False,True,
Maryland,3685,3729.3,3899.0,3725.7,3735.0,3900.0,,3746.3,3763.0,3657.4,3754.9,,3670.9,3671.0,3827.4,3761.8,3760.4,3684.5,3782.4,4121.4,,3622.9,3769.2,3575.0,,,3743.9,,3727.0,3724.3,,3773.0,,4133.0,3807.0,3802.0,3793.8,3697.0,44.3,214.0,40.7,50.0,215.0,,61.3,78.0,-27.6,69.9,,-14.1,-14.0,142.4,76.8,75.4,-0.5,97.4,436.4,,-62.1,84.2,-110.0,,,58.9,,42.0,39.3,,88.0,,448.0,122.0,117.0,108.8,12.0,False,True,False,False,,False,False,True,False,,True,True,False,False,False,True,False,False,,False,False,False,,,False,,True,True,,False,,False,False,False,False,True
Massachusetts,8921,8949.4,9117.0,8988.4,8976.0,9162.0,,8675.9,8666.0,8830.3,9006.5,,8993.0,8751.0,9027.7,8874.3,8726.8,9029.7,8513.0,8947.5,,8648.2,9099.1,8696.0,,,8900.7,,9160.0,8963.2,,8994.0,,9131.6,9078.0,9103.0,8946.3,8761.0,28.4,196.0,67.4,55.0,241.0,,-245.1,-255.0,-90.7,85.5,,72.0,-170.0,106.7,-46.7,-194.2,108.7,-408.0,26.5,,-272.8,178.1,-225.0,,,-20.3,,239.0,42.2,,73.0,,210.6,157.0,182.0,25.3,-160.0,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,True,,False,False,False,,,True,,False,False,,False,,False,False,False,True,False
Michigan,6655,6619.9,6833.0,6640.8,6640.0,6882.0,,6649.4,6690.0,6559.7,6744.3,,6557.9,6702.0,6622.7,6830.8,6601.8,6575.4,7129.3,6489.1,6644.0,6780.9,6650.9,6488.0,,,6749.0,,6562.0,6648.2,,6603.0,6673.5,7465.6,6582.0,6586.0,6640.6,6557.0,-35.1,178.0,-14.2,-15.0,227.0,,-5.6,35.0,-95.3,89.3,,-97.1,47.0,-32.3,175.8,-53.2,-79.6,474.3,-165.9,-11.0,125.9,-4.1,-167.0,,,94.0,,-93.0,-6.8,,-52.0,18.5,810.6,-73.0,-69.0,-14.4,-98.0,False,True,True,False,,True,True,False,False,,False,False,True,False,False,False,False,False,True,False,True,False,,,False,,False,True,,False,True,False,False,False,True,False
Minnesota,1807,1768.3,1895.0,1751.2,1764.0,1871.0,,1840.0,1761.0,1722.2,1755.2,,1770.6,1673.0,1778.1,1870.6,1780.1,1752.6,1779.5,1922.8,1738.5,1650.9,1777.9,1673.0,,,1750.8,,1796.0,1754.5,,1792.0,1819.0,2039.7,1770.0,1730.5,1801.4,,-38.7,88.0,-55.8,-43.0,64.0,,33.0,-46.0,-84.8,-51.8,,-36.4,-134.0,-28.9,63.6,-26.9,-54.4,-27.5,115.8,-68.5,-156.1,-29.1,-134.0,,,-56.2,,-11.0,-52.5,,-15.0,12.0,232.7,-37.0,-76.5,-5.6,,False,False,False,False,,True,False,False,False,,True,False,True,False,True,False,True,False,False,False,True,False,,,False,,True,False,,True,True,False,True,False,True,
Mississippi,2237,2303.0,2169.0,2338.0,2226.0,2296.0,,1974.1,2189.0,2303.9,2225.2,,2072.5,1943.0,2659.8,2201.2,1993.8,2003.7,2026.0,2321.5,,1932.7,2505.0,2335.0,,,1965.2,,2203.0,2345.8,,2332.0,2144.1,2347.7,2392.0,2420.5,2369.8,2164.0,66.0,-68.0,101.0,-11.0,59.0,,-262.9,-48.0,66.9,-11.8,,-164.5,-294.0,422.8,-35.8,-243.2,-233.3,-211.0,84.5,,-304.3,268.0,98.0,,,-271.8,,-34.0,108.8,,95.0,-92.9,110.7,155.0,183.5,132.8,-73.0,False,False,True,True,,False,True,False,True,,False,False,False,True,False,False,False,False,,False,False,False,,,False,,True,False,,False,False,False,False,False,False,False
Missouri,1451,1467.4,1522.0,1504.0,1504.0,1873.0,,1639.9,1642.0,1479.3,1489.1,,1501.6,1416.0,1594.2,1662.3,1505.3,1379.5,1490.1,1439.5,,1349.3,1616.3,1584.0,,,1454.3,,1406.0,1573.4,,1489.0,1402.2,1783.9,1680.0,1545.0,1542.6,1468.0,16.4,71.0,53.0,53.0,422.0,,188.9,191.0,28.3,38.1,,50.6,-35.0,143.2,211.3,54.3,-71.5,39.1,-11.5,,-101.7,165.3,133.0,,,3.3,,-45.0,122.4,,38.0,-48.8,332.9,229.0,94.0,91.6,17.0,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,True,,False,False,False,,,True,,False,False,,False,False,False,False,False,False,False
Montana,90,103.9,97.0,106.0,101.0,77.0,,93.4,86.0,174.8,103.7,,70.4,95.0,111.6,132.2,97.8,95.4,113.3,138.6,,139.9,109.3,165.0,,,74.9,,102.0,98.1,,101.0,,94.7,107.0,199.0,102.6,,13.9,7.0,16.0,11.0,-13.0,,3.4,-4.0,84.8,13.7,,-19.6,5.0,21.6,42.2,7.8,5.4,23.3,48.6,,49.9,19.3,75.0,,,-15.1,,12.0,8.1,,11.0,,4.7,17.0,109.0,12.6,,True,False,True,True,,True,True,False,True,,False,True,False,False,True,True,False,False,,False,False,False,,,False,,True,True,,True,,True,False,False,True,
Nebraska,376,377.7,449.0,380.0,382.0,400.0,,402.7,354.0,398.1,394.1,,441.7,362.0,401.6,461.5,375.8,366.4,380.2,376.8,,377.6,391.2,348.0,,,378.0,,396.0,373.4,,381.0,374.1,397.2,382.0,383.0,387.1,,1.7,73.0,4.0,6.0,24.0,,26.7,-22.0,22.1,18.1,,65.7,-14.0,25.6,85.5,-0.2,-9.6,4.2,0.8,,1.6,15.2,-28.0,,,2.0,,20.0,-2.6,,5.0,-1.9,21.2,6.0,7.0,11.1,,False,False,False,False,,False,False,False,False,,False,False,False,False,True,False,False,True,,True,False,False,,,False,,False,False,,False,False,False,False,False,False,
Nevada,1197,1112.0,1130.0,1131.9,1109.0,1102.0,,1116.8,1072.0,1213.5,1134.6,,1129.4,1177.0,1202.9,1212.8,1118.2,1067.8,992.3,1229.2,,1093.1,1237.4,1426.5,,,990.1,,1067.0,1086.4,,1070.0,977.2,1188.9,1134.0,1749.5,1105.5,1046.0,-85.0,-67.0,-65.1,-88.0,-95.0,,-80.2,-125.0,16.5,-62.4,,-67.6,-20.0,5.9,15.8,-78.8,-129.2,-204.7,32.2,,-103.9,40.4,229.5,,,-206.9,,-130.0,-110.6,,-127.0,-219.8,-8.1,-63.0,552.5,-91.5,-151.0,True,True,False,False,,True,False,True,True,,True,True,True,True,True,False,False,True,,False,True,False,,,False,,False,False,,False,False,True,True,False,False,False
New Hampshire,429,439.9,444.0,437.9,437.0,437.0,,422.6,429.0,441.3,444.7,,433.9,421.0,448.4,445.6,431.6,445.5,444.4,448.2,,466.3,440.9,426.0,,,452.9,,440.0,436.5,,438.0,461.7,455.4,447.0,432.0,456.5,,10.9,15.0,8.9,8.0,8.0,,-6.4,0.0,12.3,15.7,,4.9,-8.0,19.4,16.6,2.6,16.5,15.4,19.2,,37.3,11.9,-3.0,,,23.9,,11.0,7.5,,9.0,32.7,26.4,18.0,3.0,27.5,,False,True,True,True,,True,True,False,False,,True,True,False,False,True,False,False,False,,False,False,True,,,False,,False,True,,True,False,False,False,True,False,
