,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR
Pennsylvania,7555,13377.4,6484.9,5825.0,8291.5,5720.4,5822.4,-1070.1,-1730.0,736.5,-1834.6,True,True,True,True
Rhode Island,1038,2009.4,776.8,870.0,973.2,621.3,982.4,-250.2,-157.0,-53.8,-405.7,True,True,True,True
South Carolina,2493,1077.9,650.0,664.0,987.9,732.2,-1415.1,-1843.0,-1829.0,-1505.1,-1760.8,False,False,False,False
South Dakota,160,127.1,139.9,396.0,82.3,63.7,-32.9,-20.1,236.0,-77.7,-96.3,True,False,False,False
Tennessee,1563,824.6,767.5,723.0,449.7,547.1,-738.4,-795.5,-840.0,-1113.3,-1015.9,False,False,False,False
Texas,11582,3906.6,3397.0,5842.0,2898.5,3188.1,-7588.4,-8098.0,-5653.0,-8596.5,-8306.9,False,True,False,False
Utah,385,315.6,349.0,126.0,242.0,197.1,-69.4,-36.0,-259.0,-143.0,-187.9,True,False,False,False
Vermont,58,54.0,56.4,55.0,70.8,56.3,-4.0,-1.6,-3.0,12.8,-1.7,True,True,False,True
Virginia,2443,3241.0,2120.1,1719.0,2016.5,2219.6,798.0,-322.9,-724.0,-426.5,-223.4,True,True,True,True
Washington,1857,1832.4,1340.3,1238.0,1269.5,1286.4,-24.6,-516.7,-619.0,-587.5,-570.6,False,False,False,False
West Virginia,177,136.3,96.8,75.0,152.9,143.4,-40.7,-80.2,-102.0,-24.1,-33.6,False,False,True,True
Wisconsin,1131,1242.9,949.7,1310.0,867.4,1168.0,165.9,-127.3,233.0,-209.6,91.0,True,False,False,True
Wyoming,37,63.4,25.0,13.0,14.4,65.9,26.4,-12.0,-24.0,-22.6,28.9,True,True,True,False
US,176380,202608.6,131787.4,142560.0,131162.0,122887.7,29472.6,-41348.6,-30576.0,-41974.0,-50248.3,False,False,False,False
