,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Georgia,5092,3558.9,2898.5,5086.1,2623.0,2900.2,2730.1,3982.6,-1533.1,-2193.5,-5.9,-2469.0,-2191.8,-2361.9,-1109.4,False,True,False,False,False,True
Hawaii,47,17.0,17.8,28.9,,18.4,17.7,20.2,-30.0,-29.2,-18.1,,-28.6,-29.3,-26.8,True,True,,True,True,True
Idaho,306,93.9,130.6,182.4,84.0,92.5,85.4,99.9,-212.1,-175.4,-123.6,-222.0,-213.5,-220.6,-206.1,True,True,False,False,False,True
Illinois,8083,11484.6,7152.2,7544.1,7732.0,8868.7,6673.5,10197.9,3401.6,-930.8,-538.9,-351.0,785.7,-1409.5,2114.9,True,True,True,True,True,True
Indiana,3218,4137.9,2705.7,3077.2,2430.0,3126.7,2840.4,4569.5,919.9,-512.3,-140.8,-788.0,-91.3,-377.6,1351.5,True,True,True,True,True,False
Iowa,1033,1365.0,858.5,1864.9,776.0,908.3,671.4,1471.6,332.0,-174.5,831.9,-257.0,-124.7,-361.6,438.6,True,False,True,True,False,False
Kansas,426,428.4,306.9,614.1,330.0,301.3,231.4,377.6,2.4,-119.1,188.1,-96.0,-124.7,-194.6,-48.4,False,False,False,False,False,False
Kentucky,872,893.4,598.1,1009.3,559.0,946.3,794.5,1103.7,21.4,-273.9,137.3,-313.0,74.3,-77.5,231.7,False,False,False,False,False,False
Louisiana,4687,4510.3,3326.4,3238.0,3298.0,3319.2,2912.3,4210.0,-176.7,-1360.6,-1449.0,-1389.0,-1367.8,-1774.7,-477.0,False,False,False,False,False,False
Maine,130,207.6,144.7,440.0,124.0,111.8,182.5,153.3,77.6,14.7,310.0,-6.0,-18.2,52.5,23.3,True,False,True,True,True,True
Maryland,3685,5105.0,3876.8,3697.2,3727.0,4240.6,3674.6,5754.6,1420.0,191.8,12.2,42.0,555.6,-10.4,2069.6,True,True,True,True,True,False
Massachusetts,8921,12418.9,8409.1,8122.8,8815.0,9050.4,7365.7,9273.7,3497.9,-511.9,-798.2,-106.0,129.4,-1555.3,352.7,True,True,True,True,True,True
Michigan,6655,10281.3,6064.5,6602.5,7413.0,6768.7,5777.9,7025.4,3658.3,-558.5,-20.5,790.0,145.7,-845.1,402.4,True,True,True,True,True,True
Minnesota,1807,2793.0,1699.7,2463.6,2383.0,1860.1,1417.2,3791.8,986.0,-107.3,656.6,576.0,53.1,-389.8,1984.8,True,True,True,True,True,False
Mississippi,2237,1718.1,1126.1,1436.8,955.0,1170.5,1249.7,2002.3,-518.9,-1110.9,-800.2,-1282.0,-1066.5,-987.3,-234.7,False,False,False,False,False,True
Missouri,1451,1238.4,999.0,1293.1,1030.0,1780.0,1182.0,2097.9,-177.6,-417.0,-122.9,-386.0,364.0,-234.0,681.9,False,True,False,False,False,False
Montana,90,28.9,19.7,19.2,18.0,21.2,16.4,21.5,-61.1,-70.3,-70.8,-72.0,-68.8,-73.6,-68.5,False,False,False,False,False,False
Nebraska,376,371.6,403.6,1130.0,271.0,329.2,210.3,473.4,-4.4,27.6,754.0,-105.0,-46.8,-165.7,97.4,False,False,False,False,False,False
Nevada,1197,666.0,538.4,691.4,562.0,606.3,611.7,835.1,-531.0,-658.6,-505.6,-635.0,-590.7,-585.3,-361.9,False,True,False,False,False,True
New Hampshire,429,731.1,314.6,535.0,312.0,545.6,375.1,760.8,302.1,-114.4,106.0,-117.0,116.6,-53.9,331.8,True,True,True,True,True,False
New Jersey,15943,17365.7,12794.0,13286.4,13610.0,14100.7,11882.9,14565.9,3262.7,-1309.0,-816.6,-493.0,-2.3,-2220.1,462.9,True,True,True,True,True,True
New Mexico,743,830.3,492.7,731.7,501.0,749.4,451.5,1000.2,87.3,-250.3,-11.3,-242.0,6.4,-291.5,257.2,False,True,False,True,False,False
New York,32839,36779.7,31939.8,31803.9,32510.0,31418.2,29587.0,32973.5,4792.7,-47.2,-183.1,523.0,-568.8,-2400.0,986.5,True,True,True,True,True,True
North Carolina,2521,2063.4,2227.9,4449.0,1722.0,2002.3,3226.6,3024.6,-457.6,-293.1,1928.0,-799.0,-518.7,705.6,503.6,True,False,False,False,False,False
North Dakota,135,191.4,105.6,202.0,124.0,102.5,80.0,175.8,56.4,-29.4,67.0,-11.0,-32.5,-55.0,40.8,True,False,True,True,True,True
Ohio,3975,4811.0,2950.5,4121.2,3068.0,3413.9,3114.4,5963.4,836.0,-1024.5,146.2,-907.0,-561.1,-860.6,1988.4,False,True,False,True,False,False
Oklahoma,725,500.0,415.2,474.1,395.0,410.2,485.5,508.1,-225.0,-309.8,-250.9,-330.0,-314.8,-239.5,-216.9,False,False,False,False,False,True
Oregon,417,271.6,179.8,250.7,190.0,227.4,238.8,237.5,-145.4,-237.2,-166.3,-227.0,-189.6,-178.2,-179.5,False,False,False,False,False,False
Pennsylvania,7555,10155.6,6562.7,7649.5,6522.0,8250.2,6435.0,9157.7,2600.6,-992.3,94.5,-1033.0,695.2,-1120.0,1602.7,True,True,True,True,True,True
Rhode Island,1038,1358.3,872.6,1004.6,940.0,993.1,637.8,1590.8,420.3,-65.4,66.6,2.0,55.1,-300.2,652.8,True,True,True,True,True,False
South Carolina,2493,1110.6,839.4,877.8,653.0,921.8,1120.9,1633.3,-1382.4,-1653.6,-1615.2,-1840.0,-1571.2,-1372.1,-859.7,False,False,False,False,True,True
South Dakota,160,97.6,124.6,110.6,85.0,91.0,75.2,164.0,-62.4,-35.4,-49.4,-75.0,-69.0,-84.8,4.0,True,True,False,False,False,True
Tennessee,1563,1004.3,769.7,943.1,830.0,703.2,743.2,1084.1,-558.7,-793.3,-619.9,-733.0,-859.8,-819.8,-478.9,False,False,False,False,False,True
Texas,11724,3643.3,3266.3,4129.1,2612.0,2838.3,4050.9,4557.1,-7920.7,-8297.7,-7434.9,-8952.0,-8725.7,-7513.1,-7006.9,False,True,False,False,True,True
Utah,385,207.9,430.3,579.5,266.0,300.0,277.1,376.6,-177.1,45.3,194.5,-119.0,-85.0,-107.9,-8.4,True,False,True,True,True,True
Vermont,58,55.0,57.8,70.3,56.0,64.5,51.6,62.8,-3.0,-0.2,12.3,-2.0,6.5,-6.4,4.8,True,False,True,False,False,False
Virginia,2443,2394.7,2163.6,2290.8,1991.0,2235.4,2189.1,3309.5,-37.3,-268.4,-141.2,-441.0,-196.6,-242.9,877.5,False,False,False,False,False,False
Washington,1845,1580.4,1491.1,1244.6,1360.0,1311.1,1457.8,1811.8,-251.6,-340.9,-587.4,-472.0,-520.9,-374.2,-20.2,False,False,False,False,False,True
West Virginia,177,181.7,126.9,162.4,86.0,130.5,131.6,136.1,4.7,-50.1,-14.6,-91.0,-46.5,-45.4,-40.9,False,False,False,False,False,False
Wisconsin,1131,1244.1,1124.7,2362.8,1031.0,859.1,1061.7,1636.9,161.1,41.7,1279.8,-52.0,-223.9,-21.3,553.9,True,False,True,False,True,False
Wyoming,37,27.9,25.6,34.5,17.0,18.4,27.4,30.6,-9.1,-11.4,-2.5,-20.0,-18.6,-9.6,-6.4,False,True,False,False,False,True
US,176511,177100.9,133345.4,156006.3,133242.0,133432.7,132026.1,175662.2,3663.9,-40091.6,-17430.7,-40195.0,-40004.3,-41410.9,2225.2,False,False,False,False,False,True
