,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Oklahoma,725,467.4,444.6,538.7,563.0,,402.6,573.2,468.2,-257.6,-280.4,-186.3,-162.0,,-322.4,-151.8,-256.8,False,True,True,,False,True,True
Oregon,417,271.6,234.6,382.6,224.0,,221.3,355.2,262.3,-142.4,-179.4,-31.4,-190.0,,-192.7,-58.8,-151.7,False,True,False,,False,True,False
Pennsylvania,7555,8896.1,8369.3,7993.5,6745.0,,7561.3,7468.4,8498.0,1341.1,814.3,438.5,-810.0,,6.3,-86.6,943.0,True,True,True,,True,True,True
Rhode Island,1038,1434.3,1087.8,1103.1,996.0,,1089.0,782.7,1363.6,446.3,99.8,115.1,8.0,,101.0,-205.3,375.6,True,True,True,,True,True,True
South Carolina,2493,1132.3,1723.9,1917.4,893.0,,1029.4,2145.3,1531.9,-1360.7,-769.1,-575.6,-1600.0,,-1463.6,-347.7,-961.1,True,True,False,,False,True,True
South Dakota,160,173.6,120.2,157.4,99.0,,98.0,102.3,154.6,13.6,-39.8,-2.6,-61.0,,-62.0,-57.7,-5.4,False,True,False,,False,False,True
Tennessee,1563,1026.0,841.3,1335.4,1126.0,,728.6,822.8,949.6,-537.0,-721.7,-227.6,-437.0,,-834.4,-740.2,-613.4,False,True,True,,False,False,False
Texas,11578,3393.6,3861.2,3821.2,3700.0,11157.0,2627.1,4559.1,3722.5,-8021.4,-7553.8,-7593.8,-7715.0,-258.0,-8787.9,-6855.9,-7692.5,True,True,True,True,False,True,True
Utah,385,316.4,597.8,365.2,279.0,,217.8,369.8,397.8,-68.6,212.8,-19.8,-106.0,,-167.2,-15.2,12.8,False,True,False,,False,True,True
Vermont,58,55.0,70.9,60.1,58.0,,66.1,54.4,62.7,-3.0,12.9,2.1,0.0,,8.1,-3.6,4.7,False,True,True,,False,False,False
Virginia,2443,2275.4,2358.2,1986.9,2008.0,,1872.9,1929.9,2864.6,-167.6,-84.8,-456.1,-435.0,,-570.1,-513.1,421.6,True,False,False,,False,False,False
Washington,1857,1808.4,1564.4,1492.7,1411.0,,1351.7,1601.9,1861.7,-48.6,-292.6,-364.3,-446.0,,-505.3,-255.1,4.7,False,False,False,,False,False,True
West Virginia,177,127.4,104.3,128.4,87.0,,127.3,152.9,126.3,-49.6,-72.7,-48.6,-90.0,,-49.7,-24.1,-50.7,False,True,False,,False,True,False
Wisconsin,1081,1135.6,1086.9,1139.3,1091.0,,867.8,882.0,1447.3,54.6,5.9,58.3,10.0,,-213.2,-199.0,366.3,True,False,True,,False,False,False
Wyoming,37,27.9,26.0,20.2,18.0,,19.4,34.6,26.1,-9.1,-11.0,-16.8,-19.0,,-17.6,-2.4,-10.9,False,False,False,,False,True,False
US,176326,166565.3,151624.5,161808.4,143602.0,146977.0,132089.9,148723.6,167243.2,-6914.7,-21855.5,-11671.6,-29878.0,-26503.0,-41390.1,-24756.4,-6236.8,False,False,False,False,False,False,True
